Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.531387,2.937063,3.037891,3.021125,3.009917,3.005299,3.029070,2.995877,2.906380,2.936427,0.836112,0.856154,0.789194,0.779612,0.765452,0.799377,0.778329,0.765942,0.758393,0.811263,0.303958,0.288076,0.280361,0.285109,0.304929,0.277998,0.302381,0.270409,0.295515,0.303858,0.280245,0.292710,0.239846,0.220456,0.304192,0.242657,0.207628,0.217716,0.242736,0.259080,0.221110,0.222466,0.250594,0.256219,0.248458,0.237677,0.226218,0.244649,0.226973,0.195372,0.221288,0.224408,0.244691,0.229811,0.201753,0.221328,0.132868,0.234001,0.274706,0.233433,0.245481,0.242234,0.233174,0.086196,0.099351,0.086187,0.086651,0.086010,0.076052,0.058351,0.087694,0.059669,0.082613,0.097793,0.082504,0.090978,0.083180,0.107090,0.084564,0.094675,0.091866,0.099772,0.078454,0.083298,0.078987,0.107064,0.080495,0.068098,0.083608,0.090603,0.097204,0.088353,0.093822,0.080544,0.079251,0.084121,0.096530,0.072236,0.098700,0.090310,0.091894,0.081536,0.081340,0.110881,0.090588,0.090985,0.068169,0.087319,0.064674,0.097254,0.091113,0.065827,0.063796,0.080801,0.083218,0.090833,0.076435,0.099150,0.093507,0.077780,0.079914,0.082939,0.076759,0.092443,0.100893,0.096430,0.094533,0.084370,0.068057,0.074255,0.047831,0.101236,0.077649,0.088619,0.098558,0.080741,0.066578,0.067704,0.064802,0.078007,0.053947,0.064724,0.073988,0.091099,0.084407,0.067557,0.086185,0.082126,0.105961,0.089306
1,3.358208,0.919731,0.944156,0.851098,0.922832,0.336964,0.335697,0.346775,0.288910,0.289570,0.296255,0.297298,0.303780,0.232887,0.212229,0.220514,0.201690,0.226398,0.221710,0.223668,0.138099,0.127470,0.131484,0.140098,0.136117,0.138010,0.134438,0.134553,0.129295,0.131080,0.116518,0.126986,0.138655,0.113549,0.118366,0.115655,0.141583,0.142990,0.191179,0.131272,0.103889,0.133066,0.099549,0.114354,0.116667,0.164232,0.131179,0.121604,0.148113,0.126056,0.132110,0.140073,0.133614,0.130982,0.101757,0.129705,0.127972,0.136293,0.119843,0.126072,0.138169,0.127423,0.114323,0.122816,0.132495,0.129225,0.127826,0.146687,0.107060,0.131817,0.141150,0.111098,0.117565,0.127040,0.145603,0.125056,0.123467,0.145043,0.104488,0.108524,0.131876,0.133890,0.141910,0.140190,0.121594,0.131927,0.128434,0.134208,0.155363,0.118169,0.126361,0.107585,0.122039,0.137933,0.132028,0.142074,0.157598,0.150019,0.118610,0.136351,0.141822,0.131352,0.143230,0.134791,0.151076,0.125609,0.124030,0.125233,0.125684,0.126429,0.128835,0.149323,0.126683,0.136027,0.131894,0.113888,0.122264,0.118784,0.143772,0.137409,0.133676,0.120951,0.148863,0.142668,0.125378,0.117006,0.135969,0.147596,0.099489,0.127704,0.119263,0.121378,0.138970,0.145726,0.125945,0.136007,0.140496,0.107070,0.117597,0.099813,0.140212,0.117035,0.134629,0.119042,0.125647,0.099653,0.135627,0.122789,0.118464,0.128948
2,6.329511,3.019413,2.971003,2.946805,2.945363,2.954282,2.975224,2.948590,2.963500,0.808696,0.556395,0.519847,0.714002,0.554064,0.578384,0.573849,0.562247,0.689595,0.530496,0.509743,0.535587,0.499726,0.513238,0.539981,0.514298,0.525065,0.453350,0.522373,0.505178,0.523583,0.516078,0.518073,0.541498,0.538462,0.509060,0.550415,0.521394,0.523351,0.520267,0.497457,0.496723,0.500981,0.534463,0.518952,0.540695,0.520226,0.536726,0.524171,0.546177,0.517546,0.504300,0.523972,0.510504,0.544195,0.524724,0.528468,0.502953,0.527699,0.513209,0.529289,0.490827,0.507639,0.532268,0.505294,0.530953,0.494697,0.546719,0.516574,0.523577,0.529543,0.515821,0.512408,0.531847,0.534877,0.519846,0.517604,0.526530,0.512878,0.478184,0.530771,0.514421,0.530311,0.530049,0.501893,0.503591,0.522683,0.494496,0.510520,0.513569,0.503695,0.525916,0.538960,0.514554,0.505134,0.512684,0.494103,0.509731,0.535171,0.545721,0.500039,0.517914,0.517674,0.518051,0.517035,0.533326,0.530962,0.502678,0.555856,0.519561,0.534294,0.502229,0.507691,0.512354,0.532510,0.516689,0.530016,0.549913,0.500778,0.531283,0.534477,0.503997,0.516638,0.503330,0.515901,0.510547,0.515439,0.526263,0.521641,0.533408,0.547380,0.537258,0.507596,0.525549,0.538721,0.529527,0.523571,0.503158,0.524892,0.538563,0.521479,0.509716,0.521519,0.501306,0.513841,0.515857,0.535623,0.525421,0.558982,0.533789,0.511516
3,4.991449,3.973169,2.891062,0.731823,0.757713,0.769659,0.728590,0.693160,0.618530,0.590264,0.658842,0.649078,0.725887,0.683463,0.721823,0.604437,0.596826,0.600838,0.560484,0.592549,0.671178,0.588620,0.599018,0.645027,0.683646,0.667641,0.691811,0.593178,0.604692,0.668657,0.582146,0.586300,0.602515,0.580024,0.616571,0.595645,0.600918,0.591685,0.586619,0.564315,0.595868,0.590721,0.608937,0.604247,0.608668,0.612769,0.607253,0.570826,0.600263,0.602793,0.575228,0.601214,0.588770,0.584115,0.585274,0.621217,0.585332,0.601290,0.600930,0.599392,0.603807,0.590905,0.621340,0.608087,0.598094,0.601132,0.593826,0.581303,0.596913,0.578874,0.601781,0.588621,0.559807,0.593850,0.596115,0.626911,0.588005,0.602678,0.613018,0.587073,0.598185,0.597694,0.603082,0.613843,0.585289,0.575852,0.579877,0.610176,0.587147,0.571174,0.597940,0.609081,0.582261,0.608964,0.607554,0.597665,0.599345,0.583511,0.599868,0.598712,0.591887,0.605567,0.573292,0.622901,0.578892,0.602239,0.617931,0.579784,0.605943,0.598008,0.603408,0.586797,0.590841,0.583154,0.579282,0.579142,0.594015,0.607035,0.592408,0.603866,0.588975,0.584443,0.597115,0.597854,0.598597,0.597119,0.589659,0.606285,0.564144,0.586160,0.581866,0.581193,0.612297,0.571477,0.607595,0.586830,0.586168,0.610183,0.598798,0.577534,0.582899,0.614074,0.586410,0.589492,0.585423,0.569012,0.596888,0.601592,0.577299,0.593281
4,3.064224,3.017555,3.033189,3.035800,3.165044,2.995608,0.845236,0.805929,0.805123,0.776870,0.770664,0.770125,0.783077,0.762598,0.781140,0.775793,0.764306,0.798598,0.781296,0.790364,0.791551,0.771004,0.794818,0.784507,0.779046,0.754029,0.757355,0.750163,0.793348,0.785323,0.696060,0.780859,0.769941,0.785038,0.784686,0.772169,0.769760,0.769828,0.703123,0.701573,0.687049,0.738028,0.729240,0.729916,0.742944,0.728077,0.721286,0.721926,0.726813,0.723226,0.726538,0.706560,0.725507,0.735515,0.716156,0.722364,0.705078,0.716017,0.696216,0.721626,0.721432,0.728865,0.704212,0.720205,0.703645,0.717142,0.732219,0.717064,0.708858,0.724736,0.733208,0.708203,0.717676,0.718543,0.702282,0.698970,0.702384,0.708635,0.730244,0.713529,0.732594,0.713583,0.714036,0.726155,0.701622,0.735501,0.699976,0.730787,0.699801,0.724531,0.723824,0.725906,0.692391,0.732112,0.751851,0.717221,0.716897,0.710874,0.721159,0.718268,0.692746,0.720326,0.705248,0.724295,0.704914,0.708867,0.740681,0.706209,0.730299,0.707467,0.712065,0.726736,0.677869,0.698102,0.699138,0.697448,0.734203,0.726591,0.696381,0.729889,0.715422,0.730406,0.719450,0.698791,0.752487,0.717909,0.712632,0.748693,0.707448,0.739683,0.716650,0.715713,0.717419,0.751204,0.704570,0.730179,0.704521,0.730482,0.713588,0.735964,0.717408,0.710276,0.732880,0.712277,0.728216,0.721332,0.745709,0.697572,0.717832,0.728341
5,4.297887,3.797255,4.205935,3.807640,3.797469,3.802769,4.174648,4.282909,4.162003,4.108186,4.093979,4.087303,1.562630,1.473255,0.743388,0.779710,0.744831,0.734877,0.713502,0.737047,0.726959,0.726810,0.741987,0.732288,0.752395,0.723370,0.733798,0.752122,0.725845,0.746575,0.728695,0.720131,0.743172,0.743246,0.733696,0.721453,0.730484,0.716767,0.743940,0.723360,0.735507,0.742739,0.561143,0.553988,0.550793,0.557434,0.555685,0.561539,0.548137,0.563958,0.558938,0.547608,0.542838,0.557884,0.570769,0.563648,0.539713,0.565896,0.563586,0.578528,0.529570,0.556522,0.543154,0.556608,0.574122,0.572910,0.575018,0.570020,0.568772,0.540980,0.544454,0.547057,0.553184,0.554409,0.560992,0.549679,0.588072,0.522651,0.575300,0.553366,0.556545,0.569111,0.545891,0.542668,0.545434,0.559619,0.569455,0.566944,0.543776,0.532658,0.532667,0.554017,0.525332,0.561912,0.569851,0.571362,0.548512,0.555529,0.560200,0.557227,0.554911,0.532123,0.581678,0.558098,0.557920,0.547607,0.544792,0.534140,0.584690,0.539710,0.579953,0.557137,0.555858,0.530638,0.577140,0.565431,0.565680,0.547950,0.530311,0.554048,0.550806,0.558907,0.577790,0.562235,0.573059,0.567884,0.560388,0.555729,0.556860,0.544309,0.571077,0.565236,0.552974,0.565959,0.545889,0.565067,0.551638,0.576454,0.560215,0.565093,0.551972,0.575154,0.549501,0.534354,0.545142,0.562253,0.568266,0.547533,0.552855,0.565748
6,4.986870,3.606339,3.765928,3.439382,3.466868,3.445376,3.469814,3.541517,3.000094,3.036054,3.006999,2.943681,2.939798,2.935591,3.030385,3.038504,3.015667,3.038694,3.020855,3.040314,3.025672,3.021347,3.031441,3.011995,0.874810,0.884099,0.870603,0.832708,0.901646,0.875381,0.842401,0.843311,0.839887,0.832764,0.803277,0.821926,0.824910,0.804030,0.811527,0.799974,0.784523,0.780082,0.802493,0.800454,0.816045,0.809923,0.808734,0.828068,0.820587,0.791779,0.821229,0.776593,0.771827,0.814015,0.806431,0.790515,0.790399,0.793513,0.803841,0.803067,0.815493,0.796364,0.804639,0.811881,0.820469,0.809479,0.812504,0.800659,0.823662,0.813153,0.802947,0.784099,0.820499,0.807638,0.785692,0.790862,0.815990,0.805862,0.804208,0.806622,0.816316,0.799496,0.779938,0.797705,0.804453,0.805488,0.822434,0.804970,0.808486,0.826354,0.824960,0.794585,0.794223,0.800288,0.829091,0.804579,0.797551,0.805922,0.813976,0.809948,0.797449,0.813416,0.795132,0.805318,0.775631,0.782802,0.792220,0.783635,0.807406,0.772739,0.816906,0.798804,0.811395,0.769479,0.793867,0.801217,0.779944,0.782494,0.790844,0.804565,0.810903,0.828318,0.819970,0.812500,0.777004,0.797393,0.812756,0.808556,0.769290,0.810545,0.794070,0.784964,0.795905,0.822876,0.800950,0.806550,0.783361,0.809461,0.793643,0.804479,0.773478,0.786315,0.762369,0.800931,0.801777,0.788548,0.822984,0.812558,0.799730,0.812406
7,3.089202,3.113148,2.244786,2.259588,2.199513,0.418523,0.398496,0.244569,0.278511,0.292087,0.283030,0.249934,0.256175,0.213345,0.201522,0.236857,0.241701,0.254584,0.241782,0.245735,0.241702,0.217871,0.253253,0.269376,0.227989,0.256213,0.218675,0.244999,0.197264,0.259870,0.261986,0.223099,0.214486,0.218086,0.210988,0.179865,0.203658,0.204909,0.211360,0.203161,0.194774,0.226489,0.202704,0.214461,0.204923,0.214290,0.228394,0.198622,0.206731,0.229005,0.211221,0.216747,0.240113,0.219272,0.230376,0.196427,0.214737,0.213180,0.207961,0.200788,0.219137,0.229894,0.217904,0.203136,0.221439,0.200733,0.190704,0.190420,0.214830,0.192016,0.194512,0.205728,0.202425,0.229601,0.216604,0.215501,0.203632,0.220035,0.235936,0.209193,0.221823,0.231295,0.232937,0.207490,0.216041,0.206223,0.196727,0.199489,0.221812,0.209720,0.210382,0.184933,0.221710,0.208453,0.216330,0.227453,0.192176,0.202267,0.225670,0.221062,0.228409,0.216977,0.210256,0.210871,0.216328,0.212210,0.212668,0.203475,0.192706,0.230079,0.210117,0.212581,0.208330,0.194542,0.211087,0.206036,0.216305,0.198673,0.218155,0.207630,0.192813,0.196517,0.206806,0.203205,0.184157,0.236479,0.214200,0.221472,0.234860,0.219855,0.213401,0.234574,0.224624,0.196515,0.209617,0.213314,0.191501,0.201723,0.218593,0.213253,0.204401,0.207727,0.198429,0.210789,0.199356,0.230087,0.197270,0.201856,0.218307,0.220400
8,2.973001,3.109604,0.904386,0.893660,0.900760,0.892437,0.901754,0.787443,0.889871,0.918959,0.887281,0.783693,0.891426,0.883107,0.914945,0.862897,0.290933,0.299837,0.286315,0.288381,0.286974,0.287952,0.293504,0.294746,0.296324,0.240536,0.276323,0.261537,0.276823,0.305277,0.294323,0.298893,0.298082,0.265172,0.313111,0.291006,0.283968,0.302056,0.301807,0.309318,0.282691,0.239936,0.232218,0.237197,0.221195,0.201030,0.225964,0.204532,0.198701,0.237221,0.182266,0.194741,0.181637,0.164633,0.239675,0.243350,0.238600,0.246444,0.259501,0.264752,0.252867,0.242879,0.256410,0.246848,0.228960,0.260109,0.260303,0.261033,0.213217,0.249639,0.248046,0.239222,0.205398,0.264528,0.263222,0.228055,0.245621,0.259293,0.241124,0.236730,0.237251,0.260977,0.231874,0.251793,0.231837,0.271649,0.230518,0.264128,0.247666,0.239063,0.247691,0.254391,0.244400,0.236233,0.249742,0.241150,0.271883,0.264467,0.245402,0.229672,0.255931,0.242349,0.243194,0.267679,0.254244,0.245682,0.254454,0.230197,0.216342,0.260659,0.258214,0.248129,0.261300,0.277803,0.243682,0.210784,0.257345,0.255897,0.268463,0.255335,0.256985,0.178120,0.179527,0.170560,0.185370,0.186850,0.202373,0.179643,0.196931,0.161969,0.177818,0.185846,0.184262,0.170633,0.213644,0.181005,0.165208,0.186352,0.189940,0.173887,0.176344,0.214168,0.189066,0.177999,0.176165,0.169115,0.202931,0.180454,0.182729,0.194397
9,4.405968,4.398863,4.396954,4.382400,4.475779,4.554395,4.532963,4.371360,4.543795,4.439089,4.523161,3.383659,4.513880,3.388933,3.346681,2.146095,2.153534,2.135155,0.337107,0.328226,0.325486,0.176198,0.186057,0.178097,0.181895,0.134511,0.025407,0.016882,0.019952,0.014047,0.008446,0.041757,0.030877,0.017949,0.019262,0.029442,0.040964,0.023219,0.004275,0.026592,0.034337,0.028526,0.035467,0.022040,0.012869,0.033665,0.031430,0.023505,0.012613,0.019038,0.025829,0.015859,0.032754,0.034815,0.012840,0.031153,0.004377,0.019765,0.018150,0.019949,0.031779,0.014133,0.015507,0.020717,0.052253,0.028773,0.017907,0.035451,0.061854,0.024201,0.005611,0.024290,0.027786,0.005159,0.034604,0.031674,0.010167,0.021902,0.040042,0.025898,0.013238,0.039096,0.017548,0.036942,0.027051,0.027838,0.029405,0.008050,0.016977,0.034741,0.038286,0.021814,0.032628,0.028802,0.028088,0.044080,0.032744,0.027884,0.058482,0.007522,0.036306,0.027717,-0.011350,0.021177,0.025016,0.015829,0.020988,0.014837,0.033761,0.015402,0.054610,0.028122,0.041465,0.022930,0.030144,0.021656,0.024011,0.024075,0.016763,0.011417,0.005715,0.005393,0.018337,0.034471,0.042270,-0.000573,0.041387,0.034713,0.018135,0.032410,0.019520,0.029369,0.012575,0.027352,0.021095,0.024683,0.040063,0.031545,0.017354,0.061164,0.028524,0.022806,0.030880,0.030046,0.021192,0.013484,0.020196,0.034290,0.046184,0.037552
