Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.774698,2.105984,1.119955,1.703185,1.296879,2.352794,2.163883,1.812184,1.567738,2.936417,1.924975,1.641514,1.667185,2.412101,1.101008,1.553920,3.065709,1.737009,1.823547,0.711917,3.156187,0.838160,1.325404,1.052794,2.287990,1.215053,0.972314,0.528974,1.337581,0.834520,1.187429,1.527542,1.540083,1.449240,1.230020,0.615491,1.165041,1.090302,1.901537,2.168158,1.751196,1.406869,1.492359,1.636726,0.902305,0.806413,2.465108,1.364363,1.427689,1.061139,1.870416,1.088526,0.702099,0.675151,2.132389,0.434900,0.405331,2.391763,0.903448,1.250934,0.961707,2.306477,0.862372,2.255372,1.021943,1.375117,0.698536,1.180632,1.076843,0.977697,1.074164,0.380800,0.941843,0.715144,1.120834,0.985083,0.568491,0.918989,1.374786,0.641325,2.621206,1.021057,1.166529,1.467406,0.993388,0.637266,0.286220,0.295474,2.492414,0.758145,0.733940,1.215882,0.959396,0.237276,0.938743,0.971095,1.577333,0.724089,0.877223,0.389663,0.720053,0.785399,0.825227,0.935302,0.323822,0.905704,1.123706,0.725407,1.638227,1.012683,2.489558,0.923992,0.633771,0.799910,1.650132,0.907771,0.689981,0.341516,1.027155,1.038556,2.215664,1.111781,1.021536,0.677428,1.017011,1.124380,0.708808,0.464313,1.239815,0.614926,1.063114,1.761614,0.376346,0.623974,1.239042,0.832106,0.927127,0.553644,1.024026,0.623211,1.154876,2.220683,0.698421,0.983991,0.867412,0.677253,0.676307,0.238593,0.480177,0.897519
1,1.426849,2.288761,2.112435,1.729341,2.579729,3.171488,1.798398,0.802173,1.462937,0.983827,1.378701,1.752473,2.795636,1.259799,1.933572,1.452084,1.780700,2.913857,1.142686,1.144388,2.011220,1.398108,1.233723,0.938233,1.390685,2.560860,2.857241,1.039556,2.206174,0.426630,1.953350,2.154843,1.652698,1.063387,2.269495,0.877830,1.157690,2.843025,0.448411,0.349607,0.675948,1.044555,0.532079,0.119834,1.100619,0.212017,1.092915,0.840187,1.711023,0.611884,0.906030,0.880165,1.006746,1.473458,0.082009,1.320272,0.972717,0.427660,1.893759,1.088017,0.994999,1.245011,1.217874,0.666923,1.258861,0.105554,0.117499,1.950780,1.773749,0.923190,1.012809,1.032712,0.979901,1.235429,0.444076,1.406175,0.500373,1.377753,0.385717,1.561115,0.496943,0.587708,0.363178,0.873061,1.164341,0.706076,0.612985,0.974152,0.555107,1.273887,0.028533,0.870127,0.889364,0.731281,0.779029,0.747424,1.186590,0.738399,1.059356,0.951323,0.237691,-0.049814,0.783551,0.858385,1.099117,0.994619,1.327960,1.809163,0.193061,1.146133,0.831324,0.812159,1.068438,0.450798,0.389365,1.148507,0.378232,0.751361,0.194398,0.959724,1.559214,0.990932,1.251308,0.547424,0.796860,0.966906,0.567294,1.276845,1.074651,1.069131,1.072418,1.183513,0.827614,0.630945,1.707103,0.992671,0.942968,0.624507,1.682406,0.970175,0.936355,0.982479,0.675732,0.906017,0.636946,0.835894,0.714999,0.843209,1.729925,1.230707
2,2.053295,2.421659,1.653633,2.990402,2.257469,2.241940,1.528227,1.243735,1.171935,1.280618,0.619810,1.929296,1.388175,1.135936,1.144066,1.283325,0.704043,2.068027,0.839845,1.854581,0.684567,0.268900,0.767527,0.190066,0.572320,1.518373,1.015017,0.319080,0.409981,0.778893,1.507510,0.833449,1.824017,1.283720,1.102026,1.746769,1.557534,0.927976,0.377993,0.829873,0.466992,0.264248,0.242577,1.038521,1.612369,1.700404,0.438333,0.467880,0.587372,0.787740,0.515642,0.944354,0.913019,0.391396,0.271288,0.358211,0.458365,1.243278,1.980916,2.392506,0.892805,1.560205,0.275611,1.136714,1.221596,0.908301,0.923923,0.572012,0.829870,0.458943,0.159311,0.887317,1.122391,0.559800,0.756543,0.642866,0.775842,0.299187,1.582638,0.733666,1.477200,0.651357,0.793100,1.037549,0.377627,1.756785,0.123387,2.370046,0.778782,0.641545,1.450418,2.293803,0.959136,0.750910,0.356403,0.423356,1.150713,0.756676,0.291983,1.578925,0.948373,1.489277,0.236957,0.428257,2.392151,0.155470,-0.073473,0.687698,0.442438,0.605818,0.093365,0.492837,0.163609,0.970053,0.371416,-0.033693,0.598859,0.481426,2.390487,0.530024,2.118467,2.252231,0.671241,0.478411,0.904814,0.217298,-0.137954,0.372657,0.171223,0.499170,0.308976,0.028622,0.945888,0.996970,0.655337,0.740177,0.510059,0.684780,0.851444,0.215542,0.795726,0.180172,0.399502,0.276582,-0.051865,-0.093915,-0.082289,0.681735,0.293051,0.451074
3,1.494614,2.692525,1.990058,2.068427,0.972862,1.759282,1.217046,1.604047,1.414040,1.403301,1.942014,2.666984,1.372466,1.589068,1.723527,1.438472,2.344713,1.795849,2.840311,1.822830,1.973596,1.788049,1.427202,1.552338,2.510847,2.721192,1.718750,1.578257,2.307401,1.201392,2.105761,1.554005,2.056774,0.669122,1.332679,1.316199,1.301932,1.209267,0.902612,1.401782,2.700490,2.829932,0.438481,2.229029,2.425750,1.355907,0.795972,1.318842,2.417188,1.378903,1.784977,1.218283,1.786648,2.546784,0.753646,1.708714,1.682705,2.560912,1.807297,1.683434,1.548941,1.733650,2.383367,2.459003,0.258602,2.434237,2.037452,2.372403,1.664891,1.851921,0.889945,2.716027,1.592829,1.201838,1.641348,0.891769,2.109718,2.221342,2.494956,2.140049,0.858693,1.875546,1.182419,1.436260,1.391190,1.249111,2.327000,3.143534,1.839869,1.067957,1.471049,1.953678,1.620607,2.173673,0.398498,2.363217,0.328848,1.518836,1.080254,0.879267,1.483487,2.248326,2.144286,2.221415,1.135131,1.712672,1.247433,0.973431,0.877487,0.743311,0.799900,1.174921,1.280191,1.410429,2.469468,1.563636,0.772058,2.158421,1.600408,1.248535,2.375648,1.834234,0.722255,0.799320,1.035649,1.347883,0.452535,1.074239,1.019971,2.266566,0.950434,2.708115,1.113056,1.300506,1.170040,2.242550,0.967055,1.150789,1.253602,1.296451,0.901168,1.060628,0.998509,1.393086,0.509607,1.675309,0.802836,1.025947,0.971252,2.251825
4,2.185161,1.253258,2.652170,1.170037,2.301085,2.453805,1.392468,1.713638,2.401867,1.793591,2.441212,1.722381,2.431511,0.914245,2.323444,2.693724,1.302431,2.146454,2.537038,1.659455,0.239854,2.111931,2.329469,2.087332,0.584599,2.615329,1.183189,1.893357,2.635610,0.829083,0.871626,0.978048,1.549256,0.530872,1.556473,2.002185,0.817692,1.229655,0.537619,2.980961,0.692686,2.178956,0.775475,2.885950,2.412757,1.574008,1.487386,2.823813,0.432104,1.868816,0.999534,0.858058,2.313890,2.860205,1.491687,1.569472,2.481401,0.502979,1.004998,2.390085,2.208784,2.039789,1.328951,0.882993,2.107352,0.865374,1.502689,1.728400,2.267804,2.451861,1.519944,0.815576,2.847228,0.762915,3.050436,1.382911,2.341958,1.730814,1.297631,0.700844,0.486716,0.422873,0.724164,1.649264,0.855692,2.542608,0.878359,1.397061,0.643574,0.929579,1.912611,0.347260,2.076326,0.315770,2.716012,0.602361,-0.010263,0.169020,0.598029,0.927239,1.353474,0.461704,2.313102,0.350601,0.780486,-0.033302,0.774521,0.036359,1.176295,0.824805,0.978453,0.367361,0.281995,0.149744,0.811060,1.227846,0.628791,0.710486,1.695924,0.557898,0.686180,0.889823,0.417610,0.421547,0.943506,0.001410,-0.098639,0.185840,0.536099,0.546505,1.801964,0.895334,0.562528,0.777817,0.938120,1.009647,1.822918,0.740535,0.954469,0.562925,0.825041,2.206481,1.869714,0.619720,1.510830,0.874356,0.456686,0.665410,0.061639,1.572272
5,1.086243,2.059058,1.476785,1.717066,1.872337,1.197965,0.733396,2.296675,1.087605,1.538015,2.444170,0.207343,0.342220,2.394011,0.800205,1.276892,1.661195,0.952426,1.784194,1.325293,1.239327,1.532569,1.945904,1.608713,1.435833,1.673096,0.776892,1.137553,2.361590,1.537062,1.206770,1.770990,0.483420,2.185226,0.489715,0.745876,0.669847,1.098271,1.470192,1.132672,0.780753,0.926343,1.009719,1.479168,1.527666,2.077712,0.084805,0.835364,0.753992,1.104197,1.638637,1.680370,1.306880,1.520678,0.928846,1.301550,0.345351,1.145513,0.877741,1.322852,0.926345,1.526575,1.288707,0.917983,0.939258,0.523775,1.168777,1.478585,2.731389,1.230947,1.416604,0.753053,1.544642,0.283964,0.824291,0.771477,1.765103,2.080301,0.974696,1.323206,1.722642,1.118448,0.409560,1.225360,0.832615,0.676707,0.570215,0.537792,1.638705,0.684403,0.808959,0.408995,0.404330,0.675724,0.482429,0.875885,0.628474,0.492010,0.632514,0.548180,0.343148,0.403536,0.711631,0.357529,0.467943,0.788469,2.265499,0.554118,1.245731,2.821638,1.024440,0.909472,1.824910,0.561737,0.167994,0.776089,0.797676,0.225868,0.477687,0.914024,0.330568,0.760139,0.239718,0.721361,0.736620,0.074533,-0.099180,0.680386,0.268296,0.519013,0.519160,0.799629,1.174008,1.557995,0.490179,0.564108,0.395548,0.438489,0.411064,0.606325,0.655277,0.251413,0.604478,0.849854,1.246027,0.294700,0.894652,0.237045,1.126489,0.592438
6,2.078083,1.485139,2.156957,1.629291,1.800565,2.549143,1.886834,2.090834,1.147278,1.937584,2.301572,1.019421,2.476412,0.810381,2.701211,2.395983,0.637903,1.519778,2.246392,1.244331,1.239734,1.048097,0.558775,1.998807,1.988498,1.111856,1.643653,1.706483,2.603656,0.477408,0.555221,0.701986,2.626169,1.537634,2.289545,1.390422,1.500701,0.647359,1.795361,1.774004,1.205838,1.731022,1.439412,1.997898,1.000212,1.660914,1.859624,0.774114,1.464640,1.612997,0.890805,1.240057,0.820889,0.434260,2.645873,1.993845,2.594125,2.680453,2.224101,0.595928,1.681445,1.079931,1.198211,1.873388,1.528654,0.879544,1.505484,1.320711,1.257054,0.727278,1.284371,0.814635,0.924255,1.643314,0.694231,0.981293,1.206639,0.223836,0.466016,0.266721,0.806750,0.657891,0.303741,0.864173,0.542548,0.445550,1.515983,1.383887,1.063671,1.014433,0.879043,1.382898,1.496322,0.546203,0.755339,0.860394,0.263084,0.864301,0.382693,1.254720,0.045787,0.241245,0.242373,0.268224,0.903680,0.468871,0.223631,0.880582,0.867203,0.449784,0.951091,0.331592,0.467149,1.095568,0.386091,0.720586,0.258613,0.606801,-0.146648,0.633174,2.212072,1.665923,0.414013,1.113568,0.329962,0.685256,0.725183,0.190776,0.544550,1.069586,1.658772,0.200826,0.319875,0.446939,0.470528,1.801903,0.307336,-0.131117,0.143657,0.692459,1.672607,0.224690,1.045306,1.359937,0.938254,1.504920,0.948831,1.086912,0.791249,0.485554
7,1.534516,1.840714,2.414047,1.230986,1.199790,1.869141,1.443694,0.871776,2.393555,0.364652,2.677934,1.278061,2.201492,1.462631,1.512930,1.806180,1.285583,1.604427,1.378537,1.077478,1.874197,1.085130,1.239369,2.736570,1.554633,2.082404,2.342757,2.668297,1.959379,1.686571,1.092017,1.372547,1.487804,1.282028,1.223932,1.490449,0.249797,1.437404,1.272621,1.179357,1.846067,1.296290,1.144036,2.253795,1.856053,1.007467,1.614750,0.962370,1.569594,1.526736,1.293696,2.204085,1.419887,0.200182,0.739322,0.219827,1.062604,1.477650,1.791730,1.764363,2.199467,1.778700,2.017817,2.492665,1.341423,1.770423,1.377646,0.355341,1.398308,1.452645,2.326264,1.053079,0.955724,1.572810,2.256634,1.251462,2.553356,0.127709,1.067259,0.388435,0.676407,1.542503,0.893115,1.466571,1.553682,1.402083,1.456262,1.404894,1.317311,2.117648,2.405230,1.833150,1.544651,2.360056,1.830871,1.204620,1.687384,1.816063,1.608633,0.777594,0.892389,1.114623,0.282238,1.181266,1.950225,0.624170,1.073093,0.286674,0.245825,1.029376,1.746436,0.971369,0.750748,2.147643,1.287498,0.323241,0.927340,0.517933,0.770361,1.840060,1.324645,2.288460,1.689310,1.367589,1.312947,0.700793,2.412961,0.819757,1.591305,0.806472,1.351884,1.174272,1.586531,0.567286,0.965999,0.590167,1.692451,0.897304,0.762637,1.518090,0.544438,1.572066,1.654678,1.068049,0.794076,0.591667,0.484431,0.907944,0.287496,1.249154
8,1.430778,1.037181,2.323904,1.409400,1.197731,1.760408,0.926796,1.438938,1.142870,1.785526,0.613402,1.121923,1.659243,0.298163,0.855870,1.155208,1.120621,0.857311,2.210054,1.988820,1.666593,0.580023,1.440889,0.367812,1.680627,1.702822,1.161024,0.881585,1.156988,0.802417,1.071478,1.182873,0.626543,0.915372,1.158192,0.913492,0.802270,0.548371,0.743164,0.656028,0.553228,0.973899,0.833902,1.122346,0.479706,0.256316,2.065350,0.720557,0.382967,0.292246,0.440903,1.365290,0.444634,0.344271,0.402072,0.934782,0.439031,0.511661,1.932293,0.836414,0.624426,0.451897,0.274629,0.860515,0.725326,0.697738,0.506267,0.516538,0.351938,0.532278,0.662138,0.453540,0.117718,0.879534,0.281394,0.298664,1.393878,0.781794,1.364662,0.604797,1.506396,0.266648,1.786610,1.661105,1.115713,0.777922,1.285437,0.895584,2.155476,0.878660,0.825086,0.093084,1.000390,0.420230,0.660996,0.282066,0.996575,0.801075,0.756610,0.693646,0.619290,0.977385,0.721361,0.749830,0.802326,0.464522,0.262629,0.992563,0.269079,0.783803,0.468788,0.653066,0.446112,1.787242,0.446494,2.035030,0.943284,0.335276,0.761943,0.345220,0.606749,0.838715,0.449290,0.461622,0.624526,0.597310,0.906681,0.607205,0.513831,0.291582,0.999111,0.568150,0.373679,1.221644,0.473533,0.903340,0.633036,0.591806,0.984551,0.579066,0.839908,0.965134,1.080328,0.803548,0.496974,0.790627,0.917790,0.464459,-0.045518,0.884086
9,1.900718,2.200933,1.317412,1.591692,1.516331,1.564845,2.242183,1.432312,0.801568,1.873962,0.671064,1.126813,1.202863,0.660053,2.792473,1.196644,1.757210,1.391328,0.697774,1.129825,1.298476,1.062265,1.078324,0.897826,1.418173,1.626461,1.175577,1.519847,2.166887,1.710823,1.216910,1.880625,1.583814,1.408537,0.888599,2.713801,1.258602,1.517790,1.659764,0.911551,1.328528,0.978819,1.057737,0.927945,0.952109,1.205416,1.640185,1.355179,1.556025,1.337757,0.908118,0.893623,1.447641,1.028405,1.398575,1.146265,0.825473,1.476319,1.101834,1.173789,1.549942,1.065735,0.908866,0.853947,1.406908,1.166334,1.185795,1.234112,0.820069,0.950624,1.401437,1.475851,0.994166,1.265773,0.941535,1.322882,0.945666,1.460799,1.528222,1.334696,1.104682,1.256787,1.831707,0.971147,0.980722,0.979850,1.264226,0.915273,1.676878,1.863485,1.418603,1.255160,1.163319,1.802244,0.956454,1.001184,1.335421,1.057449,1.566041,0.886159,1.280882,1.050800,1.228952,0.595691,1.488021,0.654081,1.187122,1.417549,1.032049,0.909140,1.072576,0.658694,1.231535,1.366382,0.871083,0.791899,1.295016,0.973622,0.926347,0.982054,0.961796,0.915277,1.219089,1.023417,1.446022,0.924854,0.938687,0.910687,0.891103,1.165873,0.966196,1.122938,1.153696,0.888488,1.106356,1.022023,1.305215,0.922387,1.129024,0.830028,0.944589,1.153838,0.910829,0.873108,0.959303,1.061894,1.095980,1.139783,1.616339,1.370223
