Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.760964,1.045994,1.565972,0.481482,0.711590,1.989703,1.069567,1.292849,1.352710,1.330832,1.320522,1.132563,1.191521,1.363874,1.357078,1.613424,1.350127,1.601460,1.207903,1.245834,1.222592,1.204287,1.172640,1.568966,1.187034,1.218583,1.184225,1.293689,0.849740,0.831104,0.832573,0.848231,1.223664,1.008838,1.255794,0.883008,0.851869,1.056333,0.875091,1.633505,1.951838,1.018712,0.930603,0.820783,1.130728,1.085845,1.104043,1.065867,1.127646,0.710123,1.046243,1.009272,0.970320,1.835913,1.064797,0.968854,0.987735,1.099339,1.080615,1.099163,1.087097,1.133610,1.123100,1.088819,0.708564,0.717420,0.821461,0.901536,0.939544,0.697589,0.922713,0.944629,0.878007,1.041747,0.533323,0.531090,0.906196,1.027038,1.030075,0.990529,0.991693,1.029147,1.158558,0.926675,0.923231,0.971574,0.808471,0.680803,0.729887,1.100998,0.726448,0.736598,0.716922,0.943653,0.712768,0.302438,0.340083,0.347474,0.327060,0.557891,0.486038,0.558052,0.295886,0.344046,0.575791,0.572774,0.559585,0.954976,0.514528,0.508580,0.501646,0.512115,0.661587,0.677201,0.841322,0.498059,0.508074,0.503795,0.672314,0.695910,0.755051,0.837241,0.667727,0.515184,0.523195,0.503381,0.488497,0.923708,0.891533,0.918362,0.908904,0.889132,0.920083,0.919380,0.509462,0.571628,0.595365,0.542965,0.522183,0.489704,0.536096,0.581669,0.501877,0.554672,0.796510,0.779662,0.609446,0.590572,0.606136,0.549839
1,1.050468,1.690053,1.603317,1.223185,1.737682,1.356990,1.440495,1.082404,1.137545,1.696043,1.272077,3.008020,1.280863,1.266710,1.253242,1.218962,1.754425,1.172319,1.312187,1.248457,1.214601,1.163074,1.023662,1.085654,0.318739,1.163243,1.136199,1.182910,1.783174,2.754990,1.367844,0.394966,0.366545,0.384526,0.374648,0.400374,0.349590,0.409352,0.339189,0.367565,0.366172,0.101326,0.104991,0.123336,0.052397,0.051186,0.113365,0.873399,0.902631,0.880603,0.681690,0.910665,0.927670,0.928295,0.907783,0.897809,0.888345,0.863616,0.906433,0.695440,1.086387,0.673412,0.701875,0.690360,0.745410,0.423849,0.693550,0.733144,0.693934,0.718420,0.718611,0.714798,0.682681,0.671039,0.706146,0.729269,0.707805,0.684743,0.894048,0.708856,0.911593,0.896818,0.590472,0.894065,0.613405,0.942045,0.711129,0.702194,0.717135,0.697543,0.716720,0.717325,0.707748,0.731281,0.742314,0.713101,0.568116,0.645326,0.575859,0.582489,0.584268,0.575552,0.586495,0.725092,0.709286,0.726351,0.769917,0.710132,0.680795,0.728919,0.731734,0.729467,0.730748,0.712138,0.738275,0.685270,0.705448,0.677182,0.658394,0.688049,0.698884,0.711200,0.665859,1.056088,0.664314,0.721094,0.704741,0.605234,0.626222,0.580992,0.640227,0.653202,0.795908,0.798115,0.778502,0.593253,0.713717,0.713469,0.707230,0.715108,0.672836,0.742172,0.689409,0.701200,0.677166,0.697016,0.638441,0.574189,0.626662,0.579668
2,1.528015,2.072760,1.339761,1.440812,1.766864,1.794733,1.874655,1.799624,1.684746,1.828453,1.647182,1.675901,1.649961,0.492994,0.544997,0.561180,0.532777,0.677184,0.655315,0.210267,0.616629,0.642867,0.618023,0.398612,0.882851,0.908827,0.685096,0.789334,0.839611,0.808594,0.747799,0.309813,0.598569,0.738991,0.761922,0.692395,0.868616,0.927066,0.902588,0.910340,0.698979,0.703322,0.703077,0.731581,0.725993,0.734180,0.725049,0.707583,0.732417,0.724020,0.863163,0.715961,0.724086,0.705734,0.769836,0.137347,0.160162,0.293629,0.305235,0.743143,0.220228,0.223006,0.675750,0.653125,0.655894,0.625999,0.660102,0.637260,0.689999,0.656085,0.680304,0.639918,0.345321,0.315241,0.343719,0.344904,0.681045,0.249415,0.283991,0.268728,0.305079,0.332296,0.317646,0.794703,0.448440,0.767547,0.711217,0.463230,0.337178,0.334710,0.316593,0.356439,0.296668,0.435432,0.776211,0.754874,0.428902,0.462118,0.479640,0.516162,0.465433,0.309550,0.478887,0.420373,0.363588,0.222856,0.135971,0.335926,0.327095,0.327452,0.310894,0.217920,0.175596,0.212305,0.225177,0.177134,0.682489,0.510042,0.505326,0.498049,0.492659,0.300902,0.188697,0.256204,0.008023,0.029979,0.017978,0.029271,0.560226,0.516615,0.477985,0.548878,0.485859,0.863002,0.798136,0.839848,0.363990,0.353878,0.301741,0.342604,0.376834,0.399602,0.352631,0.368981,0.322584,0.326445,0.446041,0.343812,0.347433,0.331290
3,1.197160,1.771926,1.224922,1.505098,1.505250,1.357742,1.925642,2.559176,2.338297,2.536286,2.397438,1.567840,1.662089,2.267046,1.525706,2.424136,2.432009,1.566968,1.536917,1.289227,1.647572,1.659231,1.665912,2.399526,2.361889,2.398761,2.409311,2.235900,2.220308,2.582323,2.580834,2.621915,2.319043,2.575401,2.576677,2.600609,2.635853,2.633083,2.634523,2.430881,2.476462,2.506726,2.436227,2.457029,2.489496,2.444271,2.466256,2.486846,2.423662,2.466035,2.422637,2.443374,2.462785,2.485199,2.483092,2.345521,2.447817,2.582527,2.290646,2.285192,2.422692,2.410401,2.214641,2.225717,2.181767,2.232265,2.208588,2.197755,2.182352,2.228859,2.196784,2.250491,2.280601,2.207143,2.100471,2.357534,2.367231,2.241854,2.245759,2.265191,2.281750,2.277361,2.203864,2.213840,2.253869,2.262099,2.238666,2.327292,2.293527,2.295451,2.188921,2.250485,2.226821,2.262514,2.277631,2.317734,2.217645,2.218117,2.229833,2.229617,2.232890,2.189686,2.178598,2.221655,2.268247,2.261838,2.187392,1.588633,1.440107,1.833744,1.845584,1.808013,1.797016,1.817359,1.797233,1.789838,1.834557,1.443817,1.507686,1.179498,1.143148,1.176891,1.514793,1.527845,1.528929,1.538461,1.571416,0.949226,0.970586,0.940683,0.959439,0.650802,0.703104,1.093404,1.064072,1.075897,1.168487,0.710619,0.927348,0.678170,0.639256,0.622586,0.679235,0.653834,0.618083,0.638887,0.941618,0.914435,0.924148,0.917467
4,1.232042,2.555593,2.707397,2.303847,2.330830,2.360307,2.331332,2.314479,2.274494,2.553324,2.399806,2.411867,2.429578,2.289601,2.263184,2.503935,2.508488,2.707454,2.401744,2.285948,2.146176,2.673037,2.296817,2.733088,2.713709,2.831402,2.555961,2.644789,2.011392,2.793034,1.792202,1.615660,1.687193,1.636169,1.609994,2.000586,1.884995,1.561006,1.783173,1.500656,1.615951,1.540263,1.563689,1.914917,1.820903,1.585809,1.958962,1.910881,1.731886,1.804211,1.837576,1.845311,1.609156,1.900648,1.889817,1.771663,1.808756,1.499042,1.837250,1.491271,1.502541,1.992143,1.939270,2.491120,2.502207,2.449421,2.494163,2.503151,2.485979,2.511528,2.496194,1.897956,1.897669,1.983240,1.990297,1.942017,1.985423,1.923019,2.054072,1.501845,2.004748,1.549957,1.943444,1.916679,1.946044,1.912911,1.911387,1.950928,0.788051,0.778145,1.916303,0.739931,0.779860,0.750267,0.827128,0.768899,0.800022,0.812819,0.638928,0.807625,0.615897,0.568041,0.465170,0.599081,0.480613,0.480974,0.600029,0.635608,0.435482,0.778597,0.819519,0.756944,0.747426,0.764967,0.769561,0.785325,0.597807,0.393130,0.763822,0.792490,0.778968,0.766336,0.790886,0.341653,0.346647,0.763691,0.729315,0.789493,0.778638,0.711598,0.771628,0.801805,0.785466,0.803086,0.774872,0.776791,0.797112,0.748659,0.783559,0.773123,0.718042,0.751278,0.726714,0.776527,0.738381,0.724154,0.790140,0.752446,0.723438,0.804452
5,1.369913,2.474526,2.491464,2.415211,2.373086,1.543969,1.475956,1.468691,1.694451,1.055971,1.552384,2.361834,1.182043,1.130709,1.547203,1.015548,1.553294,0.984814,0.802379,0.834346,0.370696,0.632102,1.043428,0.841132,1.174301,0.947143,1.696824,2.094650,1.560763,0.345935,0.375714,0.704534,0.629710,0.822206,0.641374,0.557525,0.276582,0.258469,0.350078,0.290418,0.622615,0.834456,0.270319,0.672475,0.565013,0.365532,0.580011,0.638451,0.632395,0.596766,0.620765,0.595245,0.842961,0.839442,0.834875,0.816665,0.675192,0.596884,0.598076,0.520192,0.586164,0.598473,0.604796,0.531703,0.482112,0.504005,0.404456,0.507834,0.479627,0.793020,0.518635,0.181107,0.539626,0.583797,0.298825,0.541713,0.234412,0.308000,0.537272,0.582153,0.593967,0.533520,0.576974,0.593279,0.184976,0.224353,0.226046,0.534291,0.542071,0.570154,0.554629,0.544980,0.548126,0.485607,0.554759,0.530767,0.514487,0.423753,0.326445,0.325932,0.463938,0.213431,0.280272,0.315464,0.270174,0.526668,0.532271,0.541547,0.503046,0.577155,0.538135,0.664136,0.528192,0.543757,0.417718,0.262429,0.362011,0.385128,0.366360,0.358867,0.498545,0.234965,0.522663,0.569297,0.366156,0.357477,0.373419,0.359194,0.354567,0.341451,0.209730,0.266981,0.205575,0.494483,0.504716,0.514719,0.537404,0.512040,0.509270,0.504695,0.474855,0.499675,0.475492,0.512225,0.523944,0.672733,0.625434,0.658630,0.618753,0.539199
6,1.791588,1.167448,1.047891,1.991958,1.089607,1.487776,1.480238,1.589202,1.226651,1.472318,1.335852,1.593336,1.641880,1.296432,1.739485,1.720510,1.309302,1.305662,1.321343,1.347182,1.348631,1.456066,2.158326,2.172894,1.200228,1.195274,0.957289,0.733807,0.726123,1.165742,1.183023,1.382691,1.320849,1.348584,1.319958,1.077687,1.136142,1.124307,1.089315,1.093110,1.074286,1.089421,1.607409,1.608890,1.577405,1.583363,1.599880,1.625698,1.075818,1.602653,1.085266,1.067819,1.114413,1.092630,1.139131,1.100173,1.584701,1.567672,1.603012,1.603141,1.593269,1.593423,1.607682,1.614517,1.606652,1.571821,1.609254,1.594980,1.525466,1.643870,1.636213,0.883915,0.810714,0.844557,0.846430,0.711037,0.685756,0.773389,0.765443,0.772650,0.761576,0.214125,0.237877,0.221175,0.645499,0.660624,0.590219,0.196032,0.224992,0.249030,0.230571,0.206665,0.588186,0.612616,0.573813,0.634228,0.220289,0.569979,0.568299,0.575561,0.574378,0.545916,0.549602,0.611616,0.582390,0.542385,0.225309,0.204867,0.230569,0.206476,0.649301,0.609680,0.594030,0.611123,0.607627,0.593905,0.601520,0.592275,0.200666,0.206543,0.255069,0.265779,0.222108,0.230428,0.236127,0.217558,0.219096,0.192063,0.225725,0.252026,0.241885,0.271462,0.227496,0.200779,0.247862,0.237314,0.241000,0.204044,0.641464,0.601905,0.372354,0.421243,0.657275,0.702015,0.373744,0.438169,0.609505,0.597149,0.546596,0.243303
7,0.916308,0.813502,0.351849,0.608586,0.685068,0.700037,2.054865,1.263053,2.656659,2.229995,1.618155,1.504052,2.361669,2.168497,1.477235,1.622834,1.468967,1.530956,1.358700,2.010653,0.940237,1.122729,1.029455,1.006791,1.006843,0.881348,1.002021,0.845223,0.989949,1.273540,0.872517,1.322561,1.224956,1.271693,1.192677,1.227846,1.527119,1.474912,1.197600,1.183097,1.473859,1.333838,1.317638,1.322189,1.235276,1.428935,1.036115,1.221872,1.308370,1.267632,1.645553,1.737305,1.717803,2.360325,2.385216,2.384900,2.451309,1.580246,2.509727,2.505513,2.497303,1.678894,2.468069,1.660406,1.620662,1.598506,1.901839,2.768457,2.746808,1.736484,1.790751,1.852699,1.806443,1.767913,1.804350,2.571034,1.791063,1.784770,1.728868,1.593099,1.696657,1.647774,1.384467,1.380204,1.085656,1.693878,1.622572,1.444712,1.494792,1.560402,1.624050,1.661277,1.606905,1.582016,1.621163,1.938890,1.619605,1.655506,1.642727,1.066616,1.474196,1.516584,1.566445,1.516404,1.535745,1.526891,1.591316,1.489627,1.524654,1.539915,1.508280,1.490257,1.575012,1.584487,1.502947,1.536497,1.540744,1.536358,1.537249,1.575179,1.557513,1.585832,1.131850,1.560145,1.147407,1.572809,1.146561,1.155217,1.152019,1.173335,1.155781,1.126401,1.151546,1.181846,1.295847,0.973433,1.012195,1.052997,0.759012,0.755476,0.793579,0.997576,0.628888,0.687195,0.700715,0.670755,0.673229,0.700726,0.694127,0.670848
8,1.284589,1.897692,1.737532,1.151845,1.180908,1.702809,1.144247,0.843362,0.715547,0.785713,0.903576,1.411277,0.328257,2.012446,2.264597,1.467080,1.581913,1.196475,0.386339,0.374074,0.416623,0.787735,0.806923,0.823179,1.544502,1.979758,1.998930,1.984846,1.017297,0.521246,0.462204,0.482195,0.470644,0.474337,0.975205,0.868118,0.495061,0.793041,0.493070,0.386198,0.442438,0.365846,0.465182,0.358221,0.341971,0.320219,0.408807,0.342620,0.412422,0.406357,0.758437,0.740454,0.746200,0.751982,0.746522,0.365629,0.343570,0.378226,0.802152,0.855617,0.511224,0.837972,0.871555,0.902914,0.528336,0.484180,0.418136,0.351503,0.532544,0.406662,0.382405,0.504678,0.507282,0.508832,0.844274,0.846602,0.885723,0.842640,0.879896,0.825156,0.935468,0.910346,0.882530,0.929974,0.924656,0.925431,0.919035,0.927065,0.830532,0.894474,0.870706,0.860322,0.860939,0.884102,0.842618,0.860912,0.893953,0.884591,0.814741,0.827701,0.849190,0.494751,0.811064,0.859891,0.529172,0.914004,0.881052,0.974902,0.950112,0.874484,1.153194,0.971632,0.987264,0.968627,0.939035,0.965633,0.902463,0.957399,0.969902,0.941142,1.001459,0.974382,0.944972,0.996171,0.979793,0.965216,0.964674,0.990707,1.057618,0.969600,0.939300,0.975483,0.939535,0.985696,0.979028,0.980043,0.990811,0.998256,0.977750,0.982865,0.980721,0.950847,1.012706,1.011041,0.981493,0.988391,0.978849,0.975284,0.999129,0.975630
9,1.449263,1.888437,0.933150,1.234201,0.933148,2.232066,0.964603,2.070112,2.132149,0.570212,0.304937,0.747977,0.474979,1.088341,0.792205,1.640013,1.352291,1.184224,1.137007,1.146136,1.363163,1.324750,1.298534,1.258120,1.299611,1.133074,1.090391,1.234412,1.505203,1.284633,1.516012,1.489636,1.508760,1.490466,1.510013,1.282676,1.537299,1.308834,1.181813,1.141539,1.128371,1.294656,1.294359,1.345451,1.121882,1.172577,1.128320,0.925125,0.989400,0.930530,1.215998,0.887841,1.226969,1.148474,1.180428,1.176390,0.950325,0.943222,1.133175,1.176369,1.070884,0.702040,0.874301,0.856112,0.902721,0.870587,1.008353,0.877631,1.033410,0.965274,0.978188,0.986185,0.984490,0.956242,0.921538,0.945542,0.838798,0.870350,0.899519,1.185519,0.834669,1.079128,0.939978,0.876239,0.866285,0.976221,0.902359,0.795213,0.847596,0.903450,1.019593,1.065124,1.072954,1.001002,1.029902,0.846165,1.039392,1.045262,1.049869,0.878369,1.014078,1.062310,1.028029,1.046611,1.038167,1.081390,0.849721,1.041856,0.859085,0.846799,1.056210,1.047105,1.019035,0.995100,1.089145,1.111470,1.037700,1.056125,1.057558,1.053087,1.071507,1.049788,1.003480,1.045321,1.086434,1.116155,1.107156,1.089137,0.994470,1.062554,1.057892,1.007209,1.006924,1.081687,0.891689,0.853995,1.021690,1.028543,1.035547,1.038973,1.076877,1.070877,1.102843,0.929410,0.940696,0.920707,0.935546,1.111575,0.919449,1.134659
