Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.346955,0.153578,0.660987,0.400656,0.557710,0.755347,2.269050,1.474287,1.818387,1.461443,1.462915,0.601835,0.596201,0.607737,0.604460,0.496334,0.847040,0.522333,0.751410,0.474323,0.715225,0.567710,0.452086,0.430148,0.400989,0.225631,0.206193,0.225384,0.397403,0.420609,-0.017191,0.423860,0.537462,0.413013,0.268989,0.341906,0.301560,0.302997,0.374992,0.870469,0.238912,0.226691,0.252322,0.349382,0.327298,0.257744,0.372249,0.308203,0.830197,0.836224,0.792979,0.823560,0.350926,0.352335,0.370742,0.390114,0.347311,0.362071,0.369867,0.417993,0.350274,0.375438,0.355302,0.372278,0.363204,0.400763,0.373671,0.361142,0.365886,0.347003,0.364173,0.372914,0.358303,0.348493,0.338656,0.375907,0.342885,0.347595,0.326070,0.367523,0.431545,0.348134,0.350581,0.453590,0.340349,0.369788,0.391853,0.389788,0.369682,0.376374,0.369380,0.369619,0.368614,0.384659,0.193004,0.355848,0.177443,0.159055,0.217069,0.301593,0.155219,0.175259,0.187867,0.224421,0.226502,0.187051,0.165888,0.224597,0.157228,0.171104,0.265878,0.277871,0.446196,0.402936,0.167646,0.188339,0.196673,0.178266,0.310034,0.288371,0.291475,0.315858,0.293624,0.261603,0.131062,0.154044,0.403038,0.409382,0.287770,0.321797,0.056864,0.161354,0.146366,0.083357,0.146294,0.145325,0.126353,0.195143,0.153627,0.146964,0.142222,0.324128,0.496557,0.146580,0.131644,0.557855,0.581076,0.556425,0.070962,0.012203
1,0.753216,1.814870,0.473577,1.734031,1.124601,1.228688,1.403270,1.055158,0.553166,0.547957,0.552292,0.536615,0.703064,0.643820,0.581249,0.589494,0.595285,0.555257,0.128801,0.290364,0.340275,0.314609,0.315282,0.374928,1.215213,1.182783,1.265859,1.139172,1.310528,1.322603,1.104820,1.137567,1.064723,0.852246,0.456547,0.135711,0.420803,0.110304,0.330492,0.348173,0.403649,0.228316,0.299282,0.377106,0.301301,0.255898,0.394459,0.452534,0.115130,0.135148,0.460238,0.478612,0.175770,0.230848,0.288334,0.222787,0.158929,0.107515,0.250058,0.295775,0.295514,0.137796,0.652277,0.921104,1.230517,1.099194,1.125546,1.101070,0.681096,0.716720,0.677598,0.129923,0.171037,0.219195,0.152266,0.151477,0.280066,0.335330,0.236807,0.280806,0.324385,0.362660,0.354479,0.337097,0.357330,0.356035,0.355235,0.354864,0.324687,0.379216,0.129591,0.158708,0.186248,0.141071,0.149622,0.002520,0.018970,0.035307,0.171442,0.161560,0.130383,0.148013,0.093543,0.142865,0.156436,0.173781,0.161202,0.128822,-0.015575,-0.015277,0.188161,0.093686,0.136446,0.250884,0.267209,0.116087,0.262921,-0.044590,-0.076868,-0.047146,-0.031734,-0.055375,-0.037094,-0.054360,0.207551,0.158777,0.167042,0.169876,0.201204,0.219786,0.206575,0.267702,0.204829,0.200094,0.191330,0.218595,0.160393,0.189021,0.247808,0.283794,0.271791,0.230216,0.246062,0.206837,0.238938,0.216565,0.185133,0.212709,0.256027,0.250234
2,4.905183,6.881402,6.967478,1.049740,1.967233,1.132466,1.222445,1.938435,2.567092,1.802822,2.444394,2.587352,2.568201,1.800758,1.789566,1.880348,0.986015,0.980249,0.617936,0.541100,1.018459,0.618050,0.525368,0.485074,0.267576,0.469246,0.506210,1.008930,1.030896,0.925790,0.871819,0.766437,1.092013,1.135868,0.928915,0.660960,0.781154,0.965326,0.757546,0.905855,0.091925,0.916394,0.899871,0.905467,0.538167,0.930282,0.908787,0.589176,0.723946,0.557197,0.590316,0.570217,0.553744,0.555250,0.077298,0.356622,0.050029,0.030495,0.030893,0.091098,0.021819,0.064776,0.077804,0.244385,0.474950,0.310338,0.731150,0.482763,0.484394,0.461444,0.873953,0.472892,0.479991,0.446743,0.494136,0.469502,0.497728,0.526966,0.493241,0.495644,0.867902,0.529275,0.469451,0.702675,0.476194,0.474551,0.474381,0.486178,0.549926,0.527683,0.409963,0.532052,0.355739,0.605604,0.595008,0.614465,0.369283,0.345174,0.353488,0.301858,0.366616,0.370301,0.617782,0.620988,0.620502,0.642027,0.611693,0.621621,0.344749,0.632149,0.611324,0.350028,0.380395,0.343007,0.486621,0.528696,0.511843,0.521996,0.510648,0.460464,0.516052,0.889883,0.615122,0.573450,0.612968,0.341385,0.352605,0.351560,0.341112,0.349199,0.366212,0.359283,0.329787,0.373908,0.384625,0.357977,0.636527,0.333298,0.381138,0.635284,0.374988,0.631889,0.589047,0.349389,0.385598,0.369268,0.350670,0.319088,0.350595,0.333506
3,0.684427,0.706954,0.834592,1.166902,0.859451,0.676818,0.639776,0.356584,1.100540,0.263767,0.570716,0.569383,0.575915,0.559716,1.126145,0.736518,0.184169,0.182271,0.184375,0.375890,0.205236,0.818042,0.388095,0.395369,0.397517,0.838000,0.380206,0.374947,0.059381,0.107198,0.365844,0.440072,0.383619,0.231611,0.095084,0.213608,0.201550,0.183602,0.713581,0.712970,0.731390,0.722857,0.697943,0.717096,0.742834,0.728180,0.772714,0.709691,0.418753,0.538660,0.839813,0.845974,0.848949,0.881859,0.573639,0.856152,0.791938,0.817963,0.794165,0.824658,1.142041,1.119572,1.146731,1.115173,1.157913,1.159066,0.565915,0.536033,0.537474,0.539873,0.523199,0.512429,0.617453,0.649176,0.543745,0.526697,0.546277,0.359399,0.503780,0.535846,0.521010,0.468599,0.518944,0.542162,0.312971,0.537100,0.485910,0.324826,0.291594,0.286296,0.291871,0.333326,0.295013,0.308464,0.328750,0.289759,0.324887,0.270029,0.292391,0.280506,0.300530,0.304983,0.307906,0.337197,0.294267,0.302874,0.274111,0.253559,0.269013,0.301628,0.298771,0.311049,0.308250,0.319534,0.308657,0.240592,0.290702,0.305475,0.317747,0.381751,0.313190,0.287438,0.307847,0.348128,0.341011,0.321143,0.286515,0.300336,0.300968,0.288612,0.269324,0.328032,0.306638,0.294997,0.349626,0.331994,0.301187,0.316578,0.422822,0.415099,0.335467,0.326225,0.313003,0.302290,0.285987,0.314246,0.356838,0.343728,0.318869,0.310589
4,1.598224,1.891509,1.458504,1.340421,1.364215,1.387855,1.203993,1.471474,1.421130,0.980116,1.269187,1.689050,1.682815,1.408319,1.229051,1.509413,1.442398,1.176667,1.315492,1.448775,1.475145,1.750105,1.726885,1.658202,1.723698,1.176854,1.498968,1.701542,1.298629,1.454173,1.385163,1.352860,1.393871,1.041820,1.528668,1.339113,1.526521,1.096920,1.123680,1.423337,1.276426,1.238705,1.243002,1.482233,0.770061,0.742673,0.728695,1.114291,0.923776,1.158236,1.065812,1.164075,0.961182,0.962040,1.154173,1.105162,1.133990,0.770874,0.756028,0.775241,0.798279,1.207487,1.176998,0.784245,0.768462,0.778360,1.109130,1.157643,0.756043,0.727379,0.581760,0.892262,0.841514,0.859961,0.856712,0.780299,0.844091,0.624308,0.626679,0.640470,0.658303,0.651356,0.649293,0.642187,0.847607,0.644400,0.659703,0.631519,0.778241,0.769126,0.782291,0.607891,0.610421,0.788048,0.603430,0.651768,0.782907,0.778033,1.132347,1.210751,0.758063,0.769425,0.787205,0.775377,1.129881,1.466041,1.514146,1.328372,1.484798,1.334131,1.325023,1.309685,1.320865,1.061496,1.097260,0.975552,0.963456,0.924586,0.958067,1.199899,1.206623,1.219197,1.501575,1.492715,1.472462,1.072153,1.069447,1.114668,1.072354,1.053341,1.046100,1.017636,1.533111,1.541752,1.506663,1.507888,1.549000,1.522744,1.515249,0.841490,1.487361,1.226825,1.122610,1.256972,1.181688,1.163658,0.943939,0.987935,0.980460,0.999306
5,0.736999,0.597130,2.593593,1.991834,1.470319,1.842713,1.812792,1.756208,2.598744,1.221508,1.922318,2.472996,1.460276,2.395226,2.402843,1.673318,1.371279,1.430019,0.163689,0.325203,0.277880,0.315106,0.259715,0.028063,1.159590,1.042419,0.455107,2.253116,2.350395,1.004588,0.025896,0.058371,0.327984,0.119099,0.567792,0.041846,0.099168,0.017964,0.222225,0.994206,1.023666,1.140807,1.233936,0.232513,0.891909,1.045425,1.034147,0.798571,1.089912,1.062866,1.045363,1.076877,0.911860,0.774491,0.764729,0.766147,1.025440,1.094459,1.034727,1.050007,1.253358,1.264148,1.137436,1.175646,1.030600,1.009681,1.050464,0.899788,1.018388,1.092612,0.844990,0.596422,0.583811,0.811757,0.770234,0.793152,0.765726,1.138300,1.110337,0.194629,1.131448,0.809168,0.796386,0.807207,0.795434,1.115550,0.756457,1.097326,0.785089,0.810817,0.918187,1.004004,0.935148,1.056549,0.944985,0.808798,0.779088,0.782455,0.949404,0.962693,0.912714,0.936431,0.893510,0.968288,0.892217,0.948196,0.938992,0.939480,0.751349,0.991862,0.768518,0.798065,0.900138,0.810962,0.805857,0.764555,0.799573,0.911613,0.814790,0.983927,0.886189,0.869526,0.892580,0.660773,0.780456,0.871994,1.082767,0.700652,0.659608,0.659863,0.679693,0.663213,0.669186,0.695071,0.642197,0.690667,0.717660,0.660420,0.662360,0.702563,0.670885,0.675685,0.702902,0.674872,0.737980,0.667633,0.689221,0.683976,0.636474,0.698466
6,2.995789,2.251326,0.512039,0.545336,1.297774,1.021572,1.444883,2.236498,2.288874,2.257516,2.080582,2.250971,2.095746,1.795197,0.970533,0.909555,0.861202,0.551933,0.501334,-0.159708,0.304130,0.752241,0.393294,0.526964,0.980447,1.089239,1.096426,0.830070,1.194904,1.395893,1.893837,1.579762,1.257544,0.885492,0.614515,0.313062,0.300974,0.796186,0.886300,0.633791,0.265843,0.400570,0.284968,0.244536,0.115832,0.110388,0.181215,0.124790,0.124892,0.095009,0.065268,-0.069529,0.070093,0.199835,0.279072,-0.006198,0.226867,-0.054299,-0.055530,-0.050545,-0.113337,-0.023728,0.243368,0.205996,0.259712,-0.035221,0.236826,0.206352,0.224669,0.169069,0.213930,0.386222,0.369777,0.513056,0.726692,0.231143,0.184187,0.452493,0.203869,0.173125,0.448988,0.458391,0.458374,0.457862,0.687067,0.660963,0.719135,0.721911,0.666009,0.681270,0.700283,0.696868,0.630872,0.183208,0.695559,0.697330,0.635640,0.727352,0.742169,0.680645,0.686407,0.170454,0.709454,0.144850,0.140718,0.180103,0.144075,0.189967,0.089777,0.428817,0.323910,0.319731,0.305745,0.301757,0.377629,0.071074,0.182166,0.221301,0.163787,0.192058,0.508364,0.444609,0.760917,0.222004,0.222492,0.222316,0.210952,0.211829,0.274143,0.242931,0.247949,0.215643,0.215456,0.236392,0.238819,0.216773,0.244906,0.232606,0.200510,0.249445,0.235525,0.354756,0.060589,0.085628,0.080592,0.103700,0.091814,0.049642,0.356843,0.333245
7,2.102968,6.354804,3.160923,2.362254,3.129113,3.348481,2.801745,1.644885,1.364680,1.570873,1.325317,1.570897,1.797645,1.855811,1.612818,1.271134,1.720031,1.723576,1.699896,1.552563,1.660100,1.130778,1.221994,0.992115,0.591951,1.040233,1.021159,1.037473,1.275324,1.278875,1.291328,1.133853,1.035577,1.080964,1.157420,1.194132,0.951677,1.336087,0.675813,0.933361,0.981898,1.210466,1.107532,1.088350,0.933837,0.615203,1.261907,1.570572,1.545730,1.486840,1.110137,1.118337,1.417518,1.405668,1.543395,1.254848,1.553047,1.545653,1.169521,1.120422,1.100492,1.105743,1.283942,0.932585,0.915861,0.932391,1.220713,1.262849,1.271729,1.308100,1.268463,1.249355,1.297352,1.267963,1.241566,1.251350,1.016618,1.313714,1.228432,1.020733,0.989589,1.261120,1.273565,1.261093,1.252579,1.240265,1.279062,1.096579,1.134839,1.284212,1.218232,1.255820,1.281212,1.414907,1.294442,1.016920,1.175476,1.125099,1.074530,1.076295,1.087891,0.796317,0.803648,0.787579,1.061149,0.803258,1.019761,1.040972,0.902267,0.912812,0.932867,0.869497,0.917403,0.881299,0.929114,0.768470,0.778931,0.759185,1.040576,0.884388,0.910429,0.891130,0.907130,0.904248,0.913186,1.266759,0.899844,0.915674,1.157003,1.174343,1.203308,1.163109,1.126799,1.228680,1.114951,1.068447,0.826349,0.823650,1.108930,1.170506,1.051690,1.185301,1.159073,1.127751,1.167836,1.158215,1.127131,1.127704,1.116805,1.109523
8,1.702290,0.721878,1.180276,1.276940,0.425953,0.921561,1.634415,2.717308,2.925345,2.274022,2.734251,1.462879,2.040005,2.484522,2.077861,2.090620,2.082687,1.827002,2.213602,1.808881,1.672644,2.143639,1.742967,0.999122,0.830475,1.281541,1.265655,1.774477,1.462519,0.694042,0.847678,1.460004,2.451502,2.451313,2.576641,2.396751,2.478694,2.472816,2.582060,2.712117,2.628319,2.631462,2.696974,2.649598,2.760424,2.449686,2.534467,1.440152,1.531028,0.883028,0.850114,1.098591,0.856679,1.734996,1.828518,1.791785,1.782936,1.348270,1.331447,1.346458,1.333112,1.711291,1.724613,1.708205,1.764417,1.335936,1.328597,0.887479,0.895956,1.302589,0.892372,1.117285,1.138600,0.998833,1.269455,1.292047,1.323654,1.298555,1.301420,1.473229,1.467752,1.236635,1.342040,1.371218,1.984937,1.981033,1.263658,2.424653,0.731322,0.754450,2.019521,0.994227,0.982210,1.016086,0.891957,1.915630,0.908971,0.865141,0.864451,0.892140,0.403135,0.392716,0.391534,0.366172,0.371368,0.382965,0.354222,0.377644,0.359124,0.372221,0.365355,0.111624,0.105965,0.104041,0.102805,0.384918,0.115222,0.157072,0.143846,0.128673,0.086054,0.091996,0.096047,0.724118,0.420554,0.640997,0.631260,0.629065,0.643428,0.483091,0.494022,0.494684,0.502657,0.456226,0.508091,0.447338,0.480612,0.472553,0.417437,0.499676,0.520406,0.506828,0.138829,0.235337,0.228109,0.251149,0.164905,0.280999,0.292282,0.217525
9,1.671022,1.388804,1.388798,0.924651,0.792486,0.794331,0.789549,0.781515,0.950477,1.012397,0.984158,0.944656,0.811901,0.934698,0.933659,0.913467,0.987941,0.848427,0.917145,0.786297,0.801481,0.834694,0.967971,0.991759,0.963690,1.089030,0.968308,0.987516,1.004324,1.356810,1.356146,1.377527,1.421599,1.431121,1.404722,1.086313,1.090036,1.069667,1.121509,1.095554,1.087346,1.087641,0.217204,1.109361,0.989809,0.884818,1.180318,1.179673,1.106732,1.162243,1.176178,1.144292,-0.020005,0.316633,0.137441,0.099282,0.402830,0.430667,0.587736,0.858183,0.926407,0.487802,0.539026,0.526251,0.189775,0.522201,0.520351,0.240721,0.208450,0.214703,0.652991,0.504853,0.174903,0.252991,0.601099,0.628805,0.661886,0.640983,0.631827,0.525218,0.789619,0.767003,0.780436,0.535367,0.210762,0.123561,0.093952,0.113452,0.117723,0.126353,0.137680,0.509115,0.463377,0.100453,0.088901,0.105273,0.107749,0.129833,0.112208,0.114088,0.093302,0.118196,0.133843,0.462819,0.090907,0.474113,0.465357,0.484373,0.473819,0.484161,0.479720,0.526802,0.495935,0.465986,0.516628,0.446704,0.474996,0.504529,0.517296,0.476268,0.494297,0.531342,0.520479,0.506513,0.506140,0.565063,0.437239,0.485309,0.141795,0.476564,0.170692,0.106787,0.159389,0.109038,0.136312,0.120492,0.152771,0.106654,0.149721,0.144600,0.475637,0.472498,0.499210,0.472649,0.506526,0.480825,0.508616,0.149480,0.142602,0.145706
