Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.726558,0.515884,1.685407,-0.125640,0.901413,0.665776,-0.619163,0.269126,0.433941,0.563598,0.234019,-0.025188,0.039931,0.347032,0.667108,0.435776,0.076159,0.443060,0.881400,-0.064164,-0.767546,0.573122,0.975564,0.880584,-0.145055,1.018152,1.278956,-0.265331,0.065971,0.369956,0.663183,0.651226,0.466004,-0.326826,0.030393,-0.107337,-0.458330,1.097943,-0.004077,0.545387,0.418770,-0.314682,0.330292,0.108481,0.065152,-0.180111,-0.165143,-0.303726,-0.347997,0.322051,0.101927,-0.383043,0.381040,0.446650,0.077627,0.118386,0.232752,0.209257,-0.228362,-0.019153,0.187391,0.193368,0.219714,-0.569877,-0.358374,-0.269036,-0.148463,0.235932,-0.486270,0.123096,0.134607,0.372879,0.012320,0.253421,-0.384603,-0.210245,-0.040411,0.290711,0.053076,0.337404,-0.526771,0.090994,-0.063007,-0.312426,-0.099763,-0.023506,-0.008812,0.588476,-0.083747,0.317380,-0.510998,0.473532,-0.115964,-0.758352,-0.128254,0.530681,0.544906,0.424979,-0.110129,-0.265908,0.145025,0.641236,0.486887,1.051711,0.213743,-0.284508,-0.451331,0.044335,-0.051219,-0.079629,-0.032248,0.042426,-0.350270,0.473574,-0.591548,-0.781496,-0.025394,-0.168588,-0.399828,0.047305,-0.391744,0.874808,-0.190079,-0.378972,-0.551354,0.073914,0.041987,-0.591030,0.056925,-0.642510,0.909343,-0.206020,-0.545099,-0.682804,-0.328914,-0.763437,0.019990,-0.623041,-0.659977,-0.632719,-0.737712,-0.466599,-0.187544,0.198920,-0.277894,-0.564957,-0.415252,-0.079996,-0.669260,0.084965
1,1.650814,0.503529,0.671970,1.045926,0.613976,1.858018,0.312170,0.736220,0.594757,-0.383356,0.676439,0.250087,0.094853,-0.298870,0.717210,0.860988,0.284778,0.712869,1.325796,-0.053130,0.067821,0.014078,0.317016,0.558865,-0.340774,-0.382954,0.434395,0.424593,0.430855,-0.021868,0.268853,-0.012220,-0.057828,0.650920,-0.101867,-0.356513,0.040081,0.774399,-0.263317,0.131656,0.323964,-0.483648,0.220436,0.595205,-0.937546,-0.441032,-0.214884,-0.127465,-0.150271,-0.193405,-0.310898,-0.482712,-0.039218,-0.127710,-0.284358,-0.287555,0.063797,-0.229307,-0.155931,-0.064113,-0.376827,0.230302,-0.563951,-0.247135,-0.344981,0.118142,-0.473742,0.038970,-0.687403,-0.462288,0.388884,-0.361031,-0.419940,-0.422071,-0.299805,-0.489391,-0.385378,-0.558492,-0.601834,-0.836646,-0.008916,-0.230101,-0.371478,-0.348032,-0.447885,-0.505812,-0.626371,-0.763883,0.149039,-0.663536,-0.217324,-0.689772,-0.022759,-0.211446,-0.548957,-0.723512,-0.656581,-0.490417,-0.505071,-0.242172,-0.501195,-0.664287,-0.518357,-0.408284,-0.192489,-0.618795,-0.409154,0.093592,0.170650,-0.678390,0.026505,-0.447859,0.270037,0.370683,0.147963,-0.023182,0.092928,0.767536,-0.302230,-0.296258,-0.481320,-0.692155,-0.628186,-0.406179,-0.416184,-0.217392,-0.488236,-0.544104,-0.144275,-0.410159,-0.189650,-0.803685,-0.199433,-0.541218,-0.473770,-0.129958,-0.059154,-0.688790,0.500410,-0.049285,-0.166622,-0.433024,-0.490468,-0.404676,-0.130433,0.275610,-0.303653,-0.169565,-0.390702,-0.009022
2,0.203778,0.796736,3.736708,0.449825,1.277253,0.604931,1.081736,0.806157,0.851454,-0.051734,1.562503,-0.294909,0.412989,0.398717,0.099195,1.140521,-0.133749,0.092698,-0.105632,0.291970,0.024054,-0.043126,0.130566,0.249573,-0.143055,0.035010,-0.126908,-0.219101,0.340160,0.512764,-0.139103,-0.161628,0.229903,0.893211,1.238534,0.182775,0.314056,-0.082763,-0.316301,-0.279575,-0.158757,-0.067488,-0.173898,0.028330,-0.366634,0.339006,0.023894,0.265835,0.497131,-0.320599,0.440295,0.137587,-0.479669,-0.084790,-0.020683,-0.021853,-0.071914,0.051715,-0.362899,-0.304801,0.412606,-0.198220,-0.023315,-0.558594,0.117957,-0.292290,0.071508,-0.400769,0.456129,0.573335,-0.253870,0.329970,0.127199,-0.380390,-0.313130,0.487383,-0.258656,-0.135331,-0.492542,-0.478504,0.047728,-0.736692,-0.005107,-0.147129,-0.267459,0.594993,0.429117,-0.309601,-0.362933,-0.222268,-0.370073,-0.635971,-0.476602,0.265153,-0.120069,-0.153414,0.146382,-0.363432,-0.164797,0.407233,-0.367035,0.166681,-0.325198,-0.117571,0.758501,-0.111422,-0.588660,-0.365713,0.270836,-0.647693,0.101204,-0.205498,0.103690,-0.047282,-0.567538,0.152699,0.636422,-0.241409,-0.153814,0.101925,0.271481,-0.307917,0.317862,-0.061440,-0.010903,0.102024,0.145416,-0.443199,0.282632,-0.258113,-0.145413,0.145862,-0.568384,0.072893,-0.453240,0.236628,-0.055576,0.077184,-0.144729,-0.085785,-0.430399,-0.204576,-0.072464,-0.136501,-0.399816,-0.316779,-0.466998,-0.125162,0.099166,-0.049458
3,0.303718,-0.113096,0.371303,0.320869,-0.065239,-0.220630,-0.500438,0.866097,-0.200962,-0.204333,0.571722,-0.999060,-0.167283,-0.065942,-0.607476,-0.164947,-0.307005,-0.421347,-0.163374,0.706024,0.346656,0.152775,-0.312837,0.118983,-0.309191,-0.343107,-0.319702,0.101484,-0.299522,-0.755102,-0.157424,0.717136,-0.353511,1.406619,0.193732,0.186453,0.297897,0.936282,0.195634,-0.003901,-0.164075,-0.092091,-0.168032,0.144408,0.325448,-0.493763,-0.273451,-0.413743,-0.221089,-0.459795,0.871528,-0.091673,0.107832,-0.101064,1.011710,-0.285931,-0.152056,0.389819,-0.653383,-0.360707,0.004838,0.138550,-0.068365,0.408246,-0.420749,0.272199,-0.257868,0.350390,-0.668831,0.863988,-0.259927,0.191840,-0.227635,0.105659,0.855207,0.039025,-0.561676,-0.024595,0.044895,-0.043034,0.082426,0.337791,-0.226622,0.700325,0.167234,0.586683,0.172136,-0.155331,-0.362429,0.250960,0.187424,-0.746864,-0.247788,-0.448719,-0.039007,-0.345392,-0.192012,-0.022383,-0.049662,-0.642988,0.191309,-0.238750,-0.247923,-0.341188,0.095625,-0.462637,0.029207,-0.389933,0.209523,-0.201985,0.112447,-0.247015,-0.242998,0.077462,-0.074247,0.100124,-0.594897,0.203011,-0.315657,-0.165122,-0.112690,-0.352539,0.253720,-0.213951,-0.467752,0.208102,-0.107866,0.071926,-0.063991,0.098944,-0.440824,-0.510677,0.230258,0.063801,-0.012455,-0.149133,-0.204374,-0.366479,-0.063892,-0.441018,-0.140414,0.279865,-0.305605,-0.356515,-0.235251,-0.353359,-0.018258,0.236567,0.011229,0.130148
4,2.109785,-0.221205,0.243694,0.326407,0.272521,0.567084,1.869878,-0.190483,0.667321,0.245516,0.006937,-0.023946,0.057146,0.331441,-0.575144,1.464180,0.016470,1.040174,0.905645,0.636961,0.060378,0.580867,-0.170936,-0.566476,-0.130891,0.239415,0.000390,-0.293923,0.508619,1.258896,-0.342162,-0.374350,-0.027728,-0.007287,0.164942,-0.134042,-0.236266,-0.545822,0.094440,-0.038980,-0.338783,0.154369,0.111666,0.375362,0.114546,-0.009421,0.281039,0.164843,1.242141,-0.214897,0.444852,-0.101950,0.964566,-0.352389,-0.084099,-0.185819,-0.038650,0.249844,-0.195910,-0.126917,-0.514624,-0.351809,-0.204790,-0.281141,-0.110085,0.004074,-0.067774,0.080000,-0.651947,0.080210,-0.535379,-0.072979,0.479123,-0.158255,0.243128,-0.166432,0.086185,-0.323729,0.066632,-0.074192,-0.249121,0.174851,0.094106,-0.153848,0.368107,-0.539156,-0.448860,0.200789,-0.083968,0.373164,-0.141858,-0.523383,-0.062021,0.255364,-0.553091,-0.036592,-0.226699,-0.583904,-0.370425,-0.497083,-0.499247,-0.103431,-0.652741,-0.431850,-0.576299,-0.324396,-0.494146,-0.263356,-0.297043,0.264734,0.086309,-0.596964,-0.289104,-0.176416,0.706430,-0.241088,-0.201846,-0.342578,-0.013924,-0.250550,-0.146335,-0.306246,0.427879,-0.084803,-0.127373,0.000039,-0.244477,-0.016848,0.267592,0.247388,-0.183568,-0.174458,0.335883,-0.059044,0.201444,-0.399294,0.706035,0.156506,0.154598,0.066729,-0.321259,0.324002,-0.350464,-0.405605,-0.877447,-0.282614,-0.787894,0.052438,0.156514,-0.250003
5,0.460552,0.281939,-0.536164,1.725797,-0.053315,0.162610,0.415623,0.657568,-0.090660,0.811888,0.142921,0.659555,-0.008920,0.363909,-0.118748,0.025247,1.128080,0.229064,-0.282128,1.013797,0.056633,0.236908,1.177921,0.707831,-0.111061,1.174182,0.241779,0.062655,1.085904,0.591720,0.003228,-0.016651,0.356315,0.891708,0.523423,0.552565,1.060279,-0.085737,-0.166622,-0.089023,0.367329,1.145674,0.064808,0.528670,0.422223,0.737989,1.057817,1.050644,0.633764,0.213112,0.464551,-0.379864,-0.552796,-0.177590,-0.178167,-0.376948,0.307575,-0.007598,0.247066,-0.168612,0.099333,0.227208,0.691852,-0.049325,-0.242084,0.614537,-0.130430,-0.093902,-0.224325,0.283305,0.038395,0.263312,-0.432784,-0.322718,0.000185,0.585661,-0.318995,0.122069,0.371550,-0.439236,-0.654343,-0.378505,-0.179841,-0.154085,-0.439150,0.689909,-0.108120,-0.034350,-0.387216,-0.289378,0.023990,-0.370548,-0.266593,-0.059419,-0.477251,-0.431978,-0.463186,0.535621,0.460645,0.002071,-0.103502,0.424663,-0.060164,0.004310,0.320264,0.027455,0.180014,0.025539,-0.368155,-0.063299,0.040111,-0.179873,0.084381,0.058725,-0.335410,0.017223,0.067802,-0.052814,-0.111314,-0.299349,0.034119,-0.139533,-0.194811,-0.742599,0.529193,0.010005,-0.025608,-0.272234,-0.096729,-0.199481,-0.231559,-0.117391,-0.184256,-0.426625,-0.589572,-0.057800,0.809434,-0.254746,0.211231,-0.587726,-0.224909,0.188470,-0.465684,-0.401261,0.631236,-0.117909,-0.467943,-0.215483,0.315698,-0.283636
6,0.578623,2.309105,1.105003,0.559606,0.588197,4.119392,1.709479,1.070025,1.648889,1.279326,0.078116,-0.322096,0.363120,1.004527,-0.147566,-0.439713,-0.391454,0.645297,0.403850,0.343047,0.619568,0.499975,2.068900,0.317263,1.057112,1.702043,0.749457,1.127193,0.998964,0.036691,0.024023,-0.065668,-0.121228,0.219745,1.162576,0.622422,0.966298,-0.105973,0.460555,-0.203378,0.733405,0.229714,-0.175906,-0.160139,1.272656,0.942461,-0.062989,-0.108133,0.276655,1.243765,0.586492,0.229946,0.442505,1.047492,0.272567,0.219717,0.428110,-0.020995,0.075414,0.007871,-0.171784,0.462986,-0.009672,0.374620,0.292063,0.325102,-0.275942,0.226490,0.826547,0.119511,-0.383588,0.214755,0.581922,-0.078753,-0.306485,-0.295742,-0.452150,0.056402,-0.013036,0.125515,0.516946,-0.049199,0.008205,-0.314867,-0.153149,0.300840,-0.130228,-0.205682,-0.666075,0.193644,-0.054123,-0.112640,-0.394343,0.234301,-0.216653,-0.356136,0.157170,1.009679,-0.131519,-0.430659,0.331397,-0.027797,0.516164,0.311246,-0.257649,-0.480980,0.015499,-0.223447,0.026268,0.316290,-0.106609,0.507112,-0.119453,-0.121717,0.171131,0.036090,-0.082472,0.309115,0.197878,-0.412964,0.444810,0.262698,-0.250082,0.192973,-0.015513,0.319701,0.310012,0.021552,0.482530,-0.127683,0.448719,0.017133,-0.030605,-0.741896,-0.301609,0.025478,-0.113638,-0.102324,-0.343736,-0.063407,0.176889,1.008131,-0.065181,0.507226,0.100033,-0.480536,0.096913,-0.102084,-0.127585,0.127940
7,1.010341,1.000032,0.626498,0.430241,0.063256,-0.189696,-0.298793,-0.302849,0.449696,-0.072047,0.300399,0.584200,0.620056,0.178815,-0.136328,0.463052,-0.208028,0.351806,0.417423,0.417004,0.583309,-0.037761,0.195707,0.238203,0.717933,0.136197,-0.345516,0.278293,0.282129,0.442936,0.621033,0.556650,0.205144,0.387610,-0.015204,0.117478,-0.257399,0.107338,-0.099441,0.432906,0.419469,0.124091,0.130320,0.873175,0.495155,0.045757,0.008586,-0.007835,0.189381,0.569930,0.875729,-0.092686,-0.309342,0.176067,-0.101311,0.214983,0.057869,1.595104,0.366365,-0.103427,0.611062,0.606821,0.657989,-0.156864,0.488812,0.003958,0.294446,0.369903,0.580290,0.277571,0.278465,0.593247,0.560251,0.064582,-0.337701,0.536710,0.349292,0.131858,0.878677,0.209694,-0.271658,-0.313696,0.093756,0.191921,0.281443,0.182829,-0.034798,-0.062376,-0.123843,0.171781,0.388287,0.628236,0.279770,0.119730,0.092900,0.030151,0.042709,0.218327,0.240176,-0.228776,0.287034,-0.221770,-0.016594,-0.707263,-0.690910,0.324185,-0.551607,-0.092624,0.369067,0.097311,0.814639,0.012475,0.320638,0.150365,0.507657,0.647430,0.142774,0.161227,-0.325226,-0.185209,-0.723422,-0.792054,0.304980,0.053844,0.178072,0.112149,0.041273,0.252490,0.082301,-0.117517,-0.067889,0.374682,0.334422,1.384832,0.484653,0.134628,0.252032,-0.486941,0.182714,0.347428,-0.236111,0.162121,0.095611,0.268255,0.009132,0.055505,0.015056,0.115272,0.956095,0.336796
8,1.392268,-0.011341,-0.320035,-0.424083,0.662389,0.576383,0.325436,-0.598087,-0.179735,0.156688,0.174865,1.044096,-0.250966,0.095519,-0.452188,0.832419,0.283386,-0.269548,0.849915,-0.365923,0.243859,0.266760,-0.377289,0.462882,0.128174,-0.259992,0.061735,0.619648,0.294151,0.554962,0.307267,0.522604,0.476532,1.098730,-0.178210,0.070580,0.043052,1.221922,-0.420093,0.874530,-0.590562,0.516736,-0.604394,-0.114170,-0.209941,-0.279529,-0.044649,-0.153258,-0.221238,0.514935,-0.302751,-0.526085,-0.284588,0.146948,-0.650928,-0.580142,-0.140790,-0.298439,-0.165351,-0.440809,-0.094649,0.157594,-0.029778,-0.523976,-0.061012,1.437397,-0.540426,-0.295744,0.354002,-0.063767,0.419741,-0.209406,-0.128064,-0.166568,0.466234,-0.361305,-0.431776,-0.478159,-0.548771,-0.729878,-0.021202,0.000447,-0.585154,-0.492642,0.070476,-0.224965,0.255143,0.236526,0.067335,-0.366355,-0.794820,0.105044,-0.345850,0.150032,-0.590380,-0.038060,-0.585677,0.109620,-0.273484,-0.762069,0.565762,-0.475134,0.075791,0.294034,-0.136624,-0.204916,-0.433777,-0.304002,0.078917,-0.828368,-0.472059,-0.399823,0.618675,-0.005035,-0.395734,-0.541671,-0.094249,-0.937236,-0.913768,0.066564,-0.570241,-0.853335,-0.232532,0.229689,-0.062044,0.053605,-0.419312,-0.341903,0.332106,-0.349423,-0.380354,-0.411996,0.375398,-0.344450,-0.194452,-0.728961,-0.528276,-0.389189,-0.515634,-0.359674,-0.308889,-0.601585,-0.277935,-0.526378,0.133241,-0.399018,0.102817,-0.028829,-0.049125,-0.226220
9,1.031330,0.178847,-0.127036,-0.104500,0.720176,-0.123217,-0.089906,0.072843,-0.312574,-0.114046,0.482439,0.457932,1.568930,0.298130,1.017490,0.476859,0.515122,-0.452019,0.471434,0.026171,-0.617693,0.600731,-0.233590,-0.196688,0.017263,0.970374,0.454445,0.673002,-0.116677,-0.389206,-0.300041,0.199310,0.282188,-0.611528,0.228095,0.079551,-0.585672,-0.188452,0.615891,-0.305882,-0.159334,-0.310516,0.337884,-0.219541,-0.141923,0.317626,-0.477169,-0.002953,0.516937,-0.093879,0.556830,-0.354204,0.530926,-0.325215,-0.338823,-0.199436,-0.455398,-0.337959,0.171999,0.056307,-0.708101,-0.818659,-0.678468,-0.362590,-0.334319,-0.449896,-0.226527,0.355177,-0.344904,-0.125873,-0.530608,-0.616693,-0.572894,-0.375511,-0.109422,0.303187,-0.474656,-0.574038,-0.427036,-0.256653,-0.420458,-0.835784,-0.481396,-0.503594,-0.338980,-0.766388,-0.513012,-0.306869,-0.418799,-0.699077,-0.723553,-0.440756,-0.174932,-0.539021,-0.475252,-0.490600,-0.335276,-0.331107,-0.464074,-0.727492,-0.710796,-0.575997,-0.554013,-0.323733,-0.544601,-0.392940,0.219183,-0.317231,-0.187455,-0.772035,-0.444961,-0.361526,-0.714572,0.001682,-0.030890,-0.626182,-0.193511,-0.533885,0.297720,1.348006,-0.172480,-0.796595,-0.393638,-0.300692,-0.567793,-0.615122,-0.379057,-0.793914,-0.625182,-0.538566,-0.373606,-0.458318,-0.456719,-0.597269,-0.388857,-0.201452,-0.337578,-0.366919,-0.595016,-0.572058,-0.721820,-0.666812,-0.413463,-0.686687,-0.055766,-0.637016,-0.552772,-0.258643,-0.967151,-0.102026
