Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.380145,0.421579,1.050234,1.048707,0.917597,0.929746,1.940867,0.966362,1.209711,1.122817,0.309431,0.926179,1.211788,1.089859,1.587965,1.382078,2.013075,0.290619,1.010780,0.121575,-0.068139,0.515080,0.425510,0.073840,0.483674,0.330702,0.183857,0.428728,0.549818,0.163878,0.168122,0.154718,-0.003353,0.294284,0.173418,-0.060106,0.219871,0.049082,0.094657,-0.023468,0.030537,0.202116,1.136235,0.203647,0.229760,0.010671,0.215039,0.017532,0.025585,0.084023,0.007506,0.036921,-0.110993,0.105031,0.189411,-0.022891,0.179526,0.042445,0.000453,0.042559,0.133772,0.045735,0.179166,-0.101298,-0.035987,0.000938,0.026752,0.003608,0.087564,0.038959,0.113089,0.025817,0.048001,0.103353,0.030889,0.146300,0.228716,0.051462,-0.078990,0.035428,0.024712,0.180017,0.001340,-0.052515,0.025914,-0.020531,0.014294,0.021370,0.014475,0.018910,0.107863,0.016817,0.061115,0.015488,-0.007707,-0.041406,-0.043302,-0.081893,0.084907,0.146002,0.029671,0.016705,0.007393,0.170139,0.035159,0.022550,0.019010,-0.114365,0.041984,0.082918,0.019632,0.034337,0.030689,0.001552,-0.002455,-0.027045,0.008307,0.027936,0.142136,0.031390,-0.006374,-0.105541,-0.093565,0.008272,0.108441,-0.095037,-0.006771,0.247463,-0.028609,0.037832,0.007005,0.027525,-0.001462,-0.078438,-0.027808,0.035024,0.012854,0.013189,0.025447,0.096741,0.017494,0.018233,-0.119997,-0.117277,0.077374,0.004854,0.123038,-0.095640,-0.005978,-0.002907
1,4.674519,3.241091,6.548007,7.741629,2.974398,1.119256,1.367052,0.515992,1.680266,1.071014,1.085498,1.235857,0.932895,1.075607,0.916884,0.503823,0.726600,0.216285,0.044611,0.472124,0.468270,0.077952,0.184713,0.594645,0.057538,0.561233,0.030127,0.233493,0.402331,0.455280,0.110191,0.345459,0.192492,-0.071358,0.060811,0.370978,1.012428,0.134474,0.145169,0.274684,0.190779,0.093757,0.074149,0.150116,0.039726,0.276142,0.380815,-0.081675,0.095634,0.234770,0.060294,-0.085579,-0.077967,0.135996,-0.035028,0.116897,0.644516,0.049598,0.068834,-0.088811,-0.092313,-0.021207,-0.029816,0.012112,-0.097936,0.007651,0.130314,-0.094987,0.302588,0.239600,0.157388,0.052161,0.260380,0.003051,0.064829,0.028775,0.039448,0.119316,-0.016638,0.055562,0.049666,0.081781,-0.010828,0.008032,-0.075976,0.003323,-0.001807,-0.077834,-0.099419,-0.108633,0.190362,0.108924,0.041112,-0.101072,0.160833,-0.016807,0.055679,0.311627,-0.082349,-0.108603,0.465415,-0.009992,0.044044,0.004168,0.003856,0.085788,0.056988,-0.025717,-0.103345,-0.082168,-0.074533,-0.000516,0.374423,0.051352,0.059516,0.012348,0.022921,0.214207,-0.100947,-0.079745,-0.090324,0.011764,0.042493,-0.091759,0.014378,0.008835,0.125441,0.083151,0.083552,-0.013185,0.052226,0.051022,0.011921,0.008099,0.024890,0.002554,-0.014870,-0.088234,0.121651,-0.017519,0.009202,0.058995,0.017521,0.029468,0.034728,0.063096,0.006429,0.041854,0.049068,0.011047
2,3.023131,1.661606,1.304959,1.098114,0.220068,0.061260,1.784268,1.537735,1.351775,0.140151,0.127531,0.222313,-0.036684,0.154660,0.842660,1.858524,0.694487,0.393885,1.439866,2.091202,0.117085,0.664520,0.204858,0.064466,0.482094,0.190889,0.203696,0.321722,0.090030,0.330614,0.322196,0.334630,0.110938,0.156113,0.284730,0.007788,-0.121489,0.146170,0.115591,0.037755,0.186822,0.568989,0.307419,0.316229,0.063946,-0.025014,-0.124072,-0.008793,0.053044,0.241799,0.093551,0.009636,0.060407,0.055764,0.070148,0.090615,0.116352,0.165125,-0.011106,-0.020600,-0.023516,0.138020,-0.011368,-0.012030,-0.112575,-0.106670,0.192682,-0.019094,-0.038114,0.089224,-0.097981,0.006219,0.211752,-0.125082,0.002284,-0.012532,0.245455,-0.013869,-0.027232,-0.014400,-0.054299,-0.035026,-0.113700,0.076040,0.088966,-0.125341,-0.085714,-0.005664,-0.009957,-0.007049,-0.111447,-0.114491,0.007819,0.194598,0.111570,0.062813,-0.024327,-0.105597,-0.106275,0.146001,-0.103616,0.145947,-0.099112,0.088921,0.092846,0.004289,0.096376,-0.093101,-0.113901,-0.100586,0.009034,-0.085900,-0.081911,-0.034680,-0.099042,0.003485,0.005761,-0.107790,-0.058592,-0.000182,0.168488,0.001221,-0.102798,-0.109121,-0.116944,0.009905,-0.018466,0.031604,-0.104052,0.030224,0.020963,-0.025372,-0.102323,0.001110,-0.114204,-0.138632,0.351712,-0.096110,0.021747,0.111784,0.099278,-0.096858,0.003620,0.013786,0.062790,-0.089564,0.014501,0.009182,-0.027698,-0.025124
3,2.738332,2.319876,2.361476,1.636000,1.597996,2.496857,2.249682,1.845951,1.926319,1.074813,1.411293,2.116997,0.881074,1.304561,1.995420,1.948725,1.226927,1.819858,1.129201,1.872660,1.192303,1.292129,2.054722,1.136727,1.287228,1.450757,1.679390,-0.010590,1.600963,2.306499,-0.089973,0.138938,1.602764,0.056516,0.363965,0.681863,0.359396,0.737548,0.544837,0.717203,0.454220,0.104345,0.676905,0.670296,0.186391,0.149887,0.692467,0.974330,0.568140,1.115005,0.139601,0.072972,0.621726,0.109080,0.091385,1.224683,0.440109,0.006667,0.584418,0.106494,0.047552,0.086740,0.055097,0.075831,0.149346,0.497521,0.264122,0.114069,0.020676,0.065799,0.073928,0.137912,0.108794,0.051120,0.216380,0.117897,0.202402,0.116317,0.107005,0.095781,0.109161,0.116183,0.106290,-0.047689,0.119024,0.089435,0.088844,-0.132882,0.327917,0.200420,-0.002750,-0.009055,0.029118,0.120355,-0.008248,0.115816,0.112316,0.133446,0.157997,0.343223,0.141085,-0.027809,0.037782,0.067610,-0.033516,0.089721,0.016276,0.102195,0.071319,0.301989,0.117308,0.370887,0.145979,-0.036297,-0.051303,0.261115,0.020148,0.043556,0.095760,0.199906,0.107459,0.237364,0.043325,0.260050,-0.005773,0.041074,0.092520,0.005774,0.086755,0.088251,0.094873,0.156532,0.317382,-0.039449,-0.043067,0.097689,0.036836,0.009978,0.017655,0.033552,0.017061,0.171914,0.284330,0.045769,0.116398,0.094437,0.055239,0.080922,0.020852,0.304360
4,2.196873,2.580611,1.566404,1.184862,2.920399,1.873090,2.401465,1.434058,1.273661,2.239591,2.249114,2.132151,0.634767,1.710885,1.711939,2.711405,1.826846,1.835517,0.173590,2.126220,2.362976,1.614977,1.296987,1.249657,1.283455,1.291349,1.508173,1.246845,0.670372,0.315553,1.452999,0.219485,1.114439,1.488551,1.261820,0.549784,1.415277,1.323809,1.763822,0.044986,0.439357,0.219510,0.507675,0.827585,0.242688,0.515752,0.309458,0.204581,0.596020,0.134942,0.168980,0.118385,0.627551,0.017106,0.041370,0.305622,0.040951,0.118978,0.099141,0.249028,0.132590,-0.031036,0.139419,0.439342,0.045166,0.138133,0.090018,0.552938,0.157070,0.628190,0.075195,0.090025,0.676766,0.313572,0.205398,0.393963,0.310642,0.027844,0.123924,0.058101,0.083115,0.194858,-0.089770,0.282566,0.231442,0.746314,0.067749,0.144160,0.131930,0.040979,0.065318,0.189940,0.471204,0.118633,0.056059,0.185636,0.127122,0.162074,0.068928,0.028109,0.122191,0.190686,0.114295,0.038489,0.135299,0.147419,0.101203,0.189805,0.165549,0.136272,0.183376,0.195156,0.134414,0.112542,0.081380,0.178357,0.133809,0.164844,0.148398,0.137045,0.225372,0.077200,-0.080599,0.113451,0.073333,0.169206,0.151117,0.088603,0.025422,0.051750,0.170291,0.110846,0.064661,0.170491,0.133277,0.159875,0.185731,0.240321,0.104111,0.177044,0.016963,0.202487,0.136502,0.213443,-0.023416,0.210731,0.219327,0.059356,0.055217,0.144806
5,0.324117,2.949112,1.161258,2.661411,0.896773,0.679680,1.130902,1.695050,0.564404,0.277521,0.406097,0.429108,1.065959,0.999446,0.357579,0.345691,0.482777,0.956773,0.022040,0.094276,0.207696,0.139688,0.956965,0.312896,0.224659,0.662285,0.181909,0.173364,1.622358,0.715776,0.220468,0.639452,0.148237,0.193845,0.153593,0.318714,0.624931,0.184542,-0.013289,0.124967,0.266305,0.102140,-0.112112,0.184702,0.188031,0.150243,0.041257,-0.113973,0.063387,0.091247,0.038927,0.011741,0.158306,0.207296,0.028395,0.152258,0.030085,-0.042413,0.028935,-0.031057,0.024319,0.001381,0.165733,0.029510,-0.006463,0.114817,0.029815,-0.016790,0.157604,0.125061,-0.122011,-0.044338,-0.101196,0.034813,0.174490,0.021771,0.043580,-0.012466,0.155039,-0.097279,-0.123939,-0.104141,-0.087308,-0.030443,0.245032,-0.116906,0.037680,0.007109,-0.045116,-0.118633,0.035799,0.107268,0.104574,-0.033321,-0.107495,0.012705,-0.060317,0.136230,0.001695,0.074616,-0.120059,-0.003180,0.016984,0.052353,-0.046746,-0.000276,0.000053,0.012933,-0.020774,0.007943,0.002392,0.011270,0.009719,0.012075,-0.001239,-0.023822,-0.028897,0.070082,-0.115546,-0.143702,0.029362,0.035428,0.027735,0.045927,0.015356,-0.003891,0.010903,0.037110,-0.109724,-0.123324,0.002877,0.010147,-0.107148,-0.105173,-0.084418,-0.108642,0.042683,-0.026373,-0.124431,0.000480,0.093756,-0.113299,0.055148,-0.116720,0.032459,-0.028834,0.019214,0.017258,0.026062,0.115357
6,0.055246,0.622900,0.408381,0.796860,0.415335,0.179140,0.449805,0.446255,2.083551,0.786860,0.292442,0.410688,0.106906,0.287267,0.528475,0.113806,0.314765,0.123092,0.378113,0.066959,0.125229,0.239524,0.250799,0.512258,0.288919,0.210762,-0.120501,0.201454,0.200383,0.366706,-0.103811,0.265732,0.317527,0.723874,0.362591,0.366849,0.228389,0.282281,0.099239,0.116360,0.272956,0.197084,0.071564,0.102420,0.246900,0.181927,0.343639,0.032133,0.085547,0.374452,0.027866,0.283036,0.167011,0.121964,-0.016131,0.178524,0.131622,0.388552,-0.046345,0.215701,-0.068844,0.324813,0.062138,0.069501,0.213217,0.084513,-0.009059,0.022532,0.320313,0.084834,-0.079062,0.084880,0.007631,0.354153,0.142592,0.153083,0.077894,0.221990,0.288789,0.056246,0.020534,-0.023410,0.130613,-0.075966,0.085848,-0.010293,0.112535,0.056799,-0.008902,0.161338,0.270028,-0.081633,0.059326,0.080305,0.028222,0.000988,-0.001114,0.076881,0.297249,-0.041041,-0.003898,0.093417,0.048599,0.025553,-0.003720,0.019136,-0.022458,0.005620,-0.022086,0.093129,0.099090,0.067783,0.037658,-0.084866,0.016148,0.022786,0.053934,0.004335,0.112734,-0.128171,-0.026262,-0.006581,-0.021419,-0.055319,0.004821,-0.062529,0.060336,0.136510,0.064609,0.002580,0.047240,-0.039336,0.059273,0.097146,0.063828,0.032077,0.185803,-0.011066,0.111021,0.048368,0.111940,0.175851,-0.005449,0.102458,-0.007508,0.073095,0.093989,0.055086,0.149905,0.018537
7,4.349990,1.961334,2.017976,0.920380,0.983049,0.530958,0.412183,0.633678,0.136358,1.414398,0.068214,1.367175,0.051781,0.059123,0.204131,0.395886,0.308865,0.376495,0.636959,0.364302,0.271426,0.428933,0.197845,0.277402,0.358976,0.612250,0.402515,0.394807,0.268509,0.116802,0.132079,0.289820,-0.088362,-0.047053,0.511189,0.012359,0.558806,0.328723,0.044890,0.180421,0.152211,0.039625,0.108614,0.049704,0.037426,0.093304,0.065336,0.251188,0.163086,0.106227,-0.090430,-0.105597,0.149418,0.051015,-0.081567,0.056278,0.438645,0.024426,0.082699,0.072728,0.077886,0.039143,0.077264,0.028544,-0.072577,-0.014428,-0.090157,-0.048953,0.277845,-0.087435,0.059974,0.111692,0.167190,-0.032364,0.053879,0.005371,0.095434,0.036067,0.185161,0.019275,0.079478,0.092446,-0.034228,-0.102131,-0.070165,0.067755,0.068640,0.018359,-0.084767,0.132310,-0.091639,-0.103473,0.679251,0.060792,0.023099,-0.105997,0.081484,-0.118580,-0.068207,0.032699,-0.050910,0.037826,0.060468,0.056114,0.078309,-0.054969,0.127959,0.065811,0.063757,0.051300,0.040825,0.119694,0.115347,-0.081576,-0.081731,0.028861,0.049528,0.059496,0.009051,0.105823,0.089719,0.581347,-0.069127,0.009728,0.031865,0.036703,0.116445,-0.057879,0.105270,-0.085392,-0.083562,-0.089874,0.066465,0.048192,0.024145,-0.035469,-0.068125,-0.083753,-0.115888,0.045697,-0.056391,0.090599,0.069238,-0.016550,0.146837,-0.003445,-0.083994,0.171196,0.410460,-0.028712
8,1.130249,0.994509,2.120669,0.938743,0.838974,0.752717,0.393866,1.047229,0.604396,0.834764,0.765747,0.776690,0.960897,0.151945,0.167711,1.084808,1.267244,0.571352,0.190893,0.472054,0.298603,0.067240,0.256915,0.169892,-0.001432,0.204585,0.122403,-0.023131,-0.087349,0.152959,0.298519,0.045458,0.059805,0.292320,0.253561,0.082350,-0.009341,0.030224,0.002458,0.269711,-0.110312,0.241768,0.017063,0.033946,0.052487,-0.115688,0.023244,-0.107201,0.136005,0.007676,-0.114227,0.002905,-0.022707,0.049143,-0.014998,0.053217,0.053547,0.194756,0.047798,-0.139534,0.207426,0.024272,-0.017768,0.056622,-0.089323,0.030266,0.071348,0.019100,0.008115,0.024346,-0.040861,0.029516,0.192573,0.121572,0.039035,0.033140,0.022926,0.029205,0.038349,0.337072,0.037530,-0.009335,0.026704,0.303724,0.337421,0.034812,0.182329,0.151080,-0.099186,0.188672,-0.003022,0.034465,0.034606,-0.115266,-0.016371,-0.019882,0.919405,0.133855,-0.009987,-0.009546,-0.020295,0.119639,-0.005345,-0.015691,0.013147,-0.001153,0.136723,0.134841,0.046606,-0.004758,0.183718,-0.022811,0.045283,0.391839,-0.007984,-0.013374,-0.071661,-0.001834,-0.033987,-0.008805,-0.029641,-0.135009,-0.001830,0.171462,0.032073,-0.114497,0.029766,0.085031,0.102522,0.246188,0.138202,0.016584,0.044620,-0.094627,-0.108871,0.014576,-0.005088,-0.015407,0.084742,-0.013064,-0.032137,0.077374,0.003686,0.187505,-0.020846,-0.005892,0.137894,0.082554,-0.020458,-0.117159
9,0.917782,1.524535,0.729887,0.498684,0.704449,0.383591,1.395721,0.559914,0.351840,0.567752,0.893779,0.668912,0.399967,0.436741,0.412166,0.513868,0.270693,0.331662,0.785766,0.269774,0.447413,0.304484,0.418911,0.111121,0.351337,0.296168,0.100511,0.057697,0.131058,0.329537,0.313019,0.298496,0.056407,0.596910,0.292215,0.282340,0.202113,0.243200,0.062932,0.147542,0.229425,0.396701,0.339225,0.236602,0.041961,-0.004072,0.084148,0.090783,0.160527,-0.073467,0.068562,0.294760,0.027971,0.041072,0.032748,0.072146,0.079868,-0.001316,0.060586,0.088194,0.178165,-0.026581,0.035701,0.039598,0.056171,0.076418,0.084016,0.055785,0.060280,0.012310,0.080941,-0.019713,0.052153,-0.077221,-0.073604,0.043340,0.067990,0.069205,0.051454,0.069934,0.079231,0.002511,0.157456,0.079001,0.003608,0.068344,0.017674,-0.090913,0.076595,-0.002208,0.050188,0.008228,0.052950,0.044668,0.025575,0.063160,0.008779,-0.019152,0.153122,0.038646,0.080678,-0.076377,-0.088912,0.086445,0.086509,0.017058,0.085950,0.069419,0.021583,0.051192,-0.070283,-0.062279,0.010698,0.159713,0.072951,0.055561,-0.092214,0.021252,-0.067966,-0.071410,-0.077582,0.033959,0.011801,-0.079195,-0.066131,0.017271,0.004675,0.142831,-0.006591,0.015917,-0.050795,0.034922,-0.075287,0.031325,0.024333,-0.078627,0.019042,0.151964,-0.071774,0.051850,0.019451,0.023291,0.067192,0.031264,-0.076314,0.024799,0.031119,-0.072422,0.127584,0.007479
