Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.861614,0.869702,0.990963,0.410099,0.404314,0.281020,0.422156,-0.134783,0.024935,0.052843,0.004607,0.007299,0.018716,0.029051,0.251346,0.117836,0.133005,0.119630,0.111646,-0.101884,-0.089852,0.084904,-0.105511,-0.104215,0.070998,0.076575,-0.095552,-0.109766,-0.119046,-0.111959,-0.108413,-0.105453,-0.119149,-0.113635,-0.101491,-0.113299,-0.117559,-0.112166,-0.092436,-0.108515,-0.083036,-0.110817,0.025956,0.345772,0.109771,-0.096847,-0.098388,-0.100689,-0.123566,-0.078787,-0.096756,0.121870,0.098323,0.113058,0.108696,0.338033,0.334858,0.367701,0.404807,0.198403,0.332266,0.152493,0.099901,0.126540,0.120764,0.099140,0.100048,0.108107,0.116347,0.117193,0.110184,0.092066,0.101356,0.134238,0.126278,0.121416,0.127215,0.122304,0.102471,0.122243,0.113017,0.125192,0.118909,0.134014,0.115331,0.122226,0.120788,0.128293,0.121538,0.116124,0.113236,0.121652,0.128503,0.132112,0.113745,0.128067,0.116880,0.126459,0.112316,0.117899,0.121472,0.116785,0.123399,0.099220,0.119851,0.128499,0.111664,0.133514,0.143157,0.114637,0.109534,0.116682,0.122911,0.123677,0.120379,0.128092,0.112054,0.110427,0.122330,0.117504,0.113714,0.110428,0.121843,0.120814,0.141323,0.132731,0.104349,0.110634,0.122350,-0.131194,-0.128186,0.141350,0.121115,0.131823,0.138488,0.177921,0.129346,0.124912,0.211151,0.232863,0.113345,0.125565,0.242783,0.232856,0.251657,0.218462,0.084004,0.097542,0.098179,-0.009643
1,0.219570,1.068594,1.032245,0.278186,0.180874,0.163757,0.301775,0.173878,0.181423,0.186333,0.182625,0.406543,0.376258,0.272700,0.287714,0.265904,0.279697,0.235725,0.221540,0.197609,0.165458,0.188463,0.192739,0.317615,0.327646,0.311381,0.197180,0.334652,0.326204,0.340813,0.348213,0.374010,0.149294,0.154124,0.186913,0.178096,0.156451,0.179776,0.157183,0.172526,0.181434,0.157648,0.143652,0.164551,0.210721,0.184850,0.207575,0.205026,0.391430,0.396113,0.181522,0.174236,0.182007,0.186319,0.162316,0.156771,0.221397,0.163067,0.163722,0.166032,0.184290,0.167863,0.166238,0.166546,0.174803,0.181211,0.186834,0.155840,0.164695,0.161170,0.129957,0.139458,0.129962,0.117450,0.131154,0.148386,0.097993,0.093928,0.114644,0.098096,0.112047,0.115951,0.122438,0.114116,0.138067,0.097143,0.141051,0.100752,0.118761,0.121040,0.113468,0.122212,0.123209,0.129140,0.125962,0.114761,0.101890,0.113209,0.105975,0.125436,0.099915,0.107193,0.182947,0.182375,0.209673,0.183115,0.094419,0.107214,0.123334,0.090495,0.109862,0.108244,0.093432,0.111036,0.132900,0.111431,0.107937,0.103519,0.095697,0.102671,0.097899,0.105121,0.086164,0.105625,0.151415,0.149695,0.164729,0.133061,0.124303,0.122012,0.089358,0.095418,0.091849,0.098324,0.105601,0.132399,0.151284,0.093590,0.122134,0.130950,0.131052,0.129567,0.113692,0.096966,0.095812,0.085409,0.116949,0.084049,0.123254,0.091829
2,0.364261,0.366527,0.282250,0.290187,0.299746,0.340089,0.308971,0.313978,0.662889,0.311834,0.335250,0.296573,0.316910,0.322584,0.324237,0.311191,0.314171,0.132341,0.185009,0.134234,0.273040,0.261898,0.295423,0.275630,0.274285,0.274771,0.292777,0.170795,0.113055,0.110856,0.286300,0.173787,0.376760,0.239900,0.118267,0.260604,0.146615,0.287973,0.291509,0.128935,-0.009167,-0.067531,-0.007852,0.003886,0.066867,0.086840,0.177367,0.114839,0.221976,0.051216,0.140147,0.121916,0.156269,0.092060,0.100900,0.149043,0.110440,0.073132,0.104242,0.116431,0.097494,0.129443,0.113068,0.098400,0.092758,0.108321,0.099884,0.099989,0.153768,0.161307,0.152900,0.148026,0.139690,0.163094,0.134296,0.164530,0.149685,0.108705,0.109012,0.103655,0.081512,0.081212,0.104889,0.120708,0.119328,0.122413,0.109414,0.129617,0.110088,0.096783,0.103597,0.107816,0.118588,0.133950,0.116318,0.119102,0.121318,0.039424,0.108697,0.095754,0.112235,0.121218,0.105482,0.119247,0.073080,0.099173,0.103159,0.121580,0.050120,0.047626,0.045462,0.050835,0.099421,0.101017,0.133660,0.043452,0.037028,0.058273,0.076190,0.053142,0.108660,0.094354,0.102204,0.108076,0.002614,-0.006049,0.105949,0.103623,0.075852,0.110746,0.098748,0.106087,0.116558,0.103199,0.080386,0.107951,0.112224,0.109727,0.114631,0.088578,0.110152,0.113347,0.084894,0.089695,0.090716,0.119795,0.118747,0.092682,0.105790,0.011025
3,1.254557,0.351201,0.365964,0.365163,0.292289,0.252488,0.206343,0.198130,0.218643,0.197289,0.226220,0.212980,0.185610,0.209237,0.187330,0.239591,0.192333,0.177936,0.206761,0.228804,0.185248,0.255871,0.223832,0.055268,0.073176,0.190287,0.179220,0.179616,0.199475,0.222803,0.230278,0.217117,0.238623,0.212719,0.208352,0.243672,0.214252,0.232145,0.200566,0.240808,0.229470,0.236685,0.198514,0.231148,0.231233,-0.010447,0.028321,0.040712,0.050467,0.040370,0.003758,0.033740,0.154230,0.035806,0.260612,0.262513,0.259787,0.015967,0.014183,-0.013291,-0.004938,0.217650,0.222442,0.213114,0.202832,0.193104,0.199633,0.220484,0.188767,-0.001395,0.227597,0.109457,0.012546,0.003983,0.000329,-0.011696,-0.000753,0.002663,-0.017273,0.016313,0.110715,0.103131,0.107534,0.110482,0.103942,0.156234,0.173496,0.134466,0.112662,0.124055,0.119026,0.162691,0.150268,0.189565,0.156120,0.165094,0.149774,0.145936,0.155538,0.149989,0.168260,0.141468,0.164553,0.156038,0.140962,0.140192,0.153041,0.033415,0.023291,0.030587,0.039399,0.159957,0.162477,0.169200,0.153458,0.144229,0.149404,0.151644,0.149819,0.471675,0.500659,0.174396,0.171952,0.494798,0.506652,0.481700,0.177655,0.145380,0.167033,0.165395,0.152401,0.144330,0.159657,0.156472,0.177207,0.154883,0.136047,0.142690,0.132620,0.183730,0.157559,0.147577,0.156286,0.154969,0.171106,0.136688,0.160626,0.158177,0.154649,0.160025
4,0.275613,0.885480,0.177863,0.101845,0.036894,0.221609,0.201975,0.305598,0.221842,0.086771,0.017978,0.014450,0.012535,0.006360,-0.005718,0.122125,0.012094,-0.021141,0.113490,0.100451,0.050819,0.106205,0.115812,0.110791,0.127037,0.139650,0.082302,0.122715,0.029906,0.045222,0.025019,0.090020,0.170898,0.162899,0.171067,0.121289,0.160928,0.184609,0.140274,0.158172,0.167269,0.166793,0.169002,0.164057,0.164894,0.160644,0.159089,0.182325,0.159331,0.149861,0.144392,0.166749,0.171564,0.162870,0.114760,0.126222,0.101515,0.106288,0.162886,0.090820,0.108258,0.099925,0.096726,0.121943,0.160271,0.155485,0.157082,0.184505,0.173258,0.149829,0.183035,0.057921,0.030179,0.093933,0.108000,0.105309,0.145955,0.121986,0.098252,-0.005671,0.041648,0.116050,0.102718,0.122145,0.129500,-0.008513,0.129179,0.121269,0.124244,0.129322,0.127310,-0.006076,-0.016472,0.009485,0.012223,0.033865,0.004008,0.019268,-0.028580,0.019730,-0.001352,0.029693,0.003714,0.015211,-0.007297,0.005571,0.000198,0.013000,0.002803,-0.008880,-0.015596,0.009651,0.007822,-0.002489,0.000664,0.018833,0.009422,0.011795,-0.043695,-0.039703,-0.002510,0.005584,-0.023781,-0.024666,0.002286,0.014827,0.008165,-0.002557,-0.011549,-0.020931,-0.001369,-0.115623,-0.033577,-0.065333,-0.018610,-0.039035,-0.037811,-0.009571,-0.007116,0.005253,-0.019281,-0.041233,0.008435,-0.015703,-0.036022,-0.037764,-0.053212,-0.021103,-0.020403,-0.019576
5,0.257240,0.688151,0.002823,0.107755,0.304696,0.364688,0.344260,0.342606,0.371110,0.141030,0.149798,0.195548,0.112800,0.110419,0.128132,0.237775,0.134629,0.115401,0.109486,0.250423,0.240858,0.225570,0.361127,0.379448,0.216780,0.196933,0.203796,0.193957,0.185663,0.113360,0.229258,0.263901,0.237780,0.257183,0.231825,0.078138,0.259411,0.365306,0.564387,0.169179,0.131441,0.178596,0.069528,0.199911,0.233770,0.154036,0.186290,0.199224,0.082275,0.016253,0.041893,0.150437,0.068542,0.039228,0.136449,0.126998,0.018336,0.013426,0.015681,0.093718,0.102371,0.104945,0.116528,0.117692,0.114185,0.079958,0.088489,0.127545,0.102288,0.087562,0.112045,0.127354,0.113221,0.096134,0.110128,0.092844,0.107739,0.114997,0.046276,0.024936,-0.027865,0.020376,0.159942,0.135729,0.138891,0.154842,0.150019,0.155319,0.135684,0.142220,0.159792,0.170568,0.144223,0.160334,0.155833,0.139517,0.109346,0.145389,0.176732,0.163086,0.130272,0.131683,0.147553,0.156369,0.129784,0.130337,0.167545,0.179671,0.175537,0.220800,0.205859,0.222448,0.202974,0.224815,0.196512,0.199193,0.207809,0.178266,0.120939,0.056275,0.029602,0.049235,0.047256,0.073226,0.052003,0.071250,0.032101,0.178620,-0.002820,0.018771,0.040112,0.069747,0.069151,0.039420,0.042320,0.035186,0.008824,0.027323,0.021218,0.029942,0.022310,0.024694,0.102908,0.106852,0.025775,0.014744,0.030777,0.022998,0.030775,0.022726
6,0.885372,1.102712,0.399550,0.101574,0.059646,0.098248,0.380013,0.494924,0.236227,0.663728,0.415932,0.559798,1.264504,0.575531,1.182341,1.206843,1.174371,0.573148,0.881616,0.906136,0.538683,0.682100,0.705395,0.192475,0.175416,0.163583,0.174559,0.219938,0.198435,0.210241,0.101865,0.056898,0.047920,0.124433,0.077776,0.120528,0.112221,0.069130,0.034403,0.104959,0.070704,0.063082,0.084170,0.145084,0.168038,-0.027822,0.157142,0.145968,0.162116,0.165560,0.148921,0.165363,0.060767,0.051179,0.064769,0.061874,0.064026,0.067381,0.068656,0.065461,0.051497,0.046902,0.054902,0.062003,0.055825,0.058092,0.056637,0.038387,0.047508,0.069562,0.057609,0.055839,0.063110,0.030770,0.067169,0.049909,0.060558,0.058622,0.038215,0.062918,0.057905,0.075780,-0.020910,0.062398,0.073341,0.010459,0.006557,0.014547,0.007041,0.005643,0.008890,0.025919,0.021065,0.031248,-0.000171,0.026508,0.012981,0.016462,0.005722,-0.006943,0.007062,0.010340,0.034048,0.012890,0.021795,-0.006420,0.015188,0.024333,-0.012647,0.025195,0.030297,0.020959,0.009742,0.004419,-0.085210,-0.090821,-0.103848,-0.082383,-0.078128,-0.095932,-0.092834,-0.089326,-0.101924,-0.085520,-0.100765,-0.064983,-0.003647,0.011105,0.017268,0.012254,0.000469,-0.000563,0.008694,0.029963,-0.007502,0.043832,0.040742,0.008104,0.016099,0.036936,0.013273,0.011108,-0.001403,0.030328,0.008343,0.028973,0.004704,-0.004714,0.021564,0.015835
7,1.004138,0.492966,0.553175,0.854452,0.744651,0.757736,0.459114,0.402943,0.000152,0.164248,0.332148,0.699778,0.283589,0.315593,0.339934,0.312070,0.228734,0.167078,0.175436,0.131015,0.172096,0.166684,0.169647,0.120368,0.068616,0.061077,0.082895,0.077491,0.086663,0.104646,0.047043,0.131632,0.105587,0.024867,0.014936,0.039756,-0.073032,-0.097671,-0.073262,0.065258,0.034034,0.063373,0.026547,-0.085394,-0.080024,-0.075961,-0.098087,-0.082580,-0.096141,-0.101846,-0.099241,-0.101644,-0.109435,-0.083380,-0.102560,0.045686,-0.087862,0.043536,0.062947,0.069829,0.047002,0.052367,0.044776,0.059036,0.035331,0.041253,0.012564,0.029564,0.022669,0.028419,0.014572,-0.098258,-0.078541,-0.105592,-0.087006,-0.079238,0.029159,0.021678,0.030608,0.021207,-0.005595,0.109713,0.135748,0.116236,0.104127,0.136393,0.141755,0.131509,0.111709,0.157855,0.117581,0.154866,0.155715,0.147097,0.135686,0.161352,0.137092,0.126517,0.131491,0.122430,0.143174,0.131094,0.131108,0.163635,0.155197,0.153324,0.153101,0.146240,0.125742,0.153058,0.152065,0.159500,0.139467,0.159651,0.123781,0.156918,0.143268,0.468541,0.157167,0.109593,0.153943,0.150946,0.137377,0.154910,0.114894,0.147032,0.144947,0.133254,0.143663,0.150095,0.159992,0.135785,0.165950,0.137575,0.149255,0.140345,0.142806,0.160713,0.152876,0.161876,0.163628,0.172308,0.140144,0.180503,0.166407,0.140381,0.145327,0.145986,0.137435,0.120859
8,-0.000920,0.057636,0.918562,0.399893,0.381892,0.325175,0.148610,0.137688,0.135574,0.126521,0.160519,0.138530,0.135206,0.235042,0.148003,0.128124,0.088014,0.032130,0.042122,0.041463,0.089820,0.070391,0.102252,0.045281,0.036957,0.081201,0.086540,0.090469,0.098302,0.093529,0.084988,0.105602,0.103053,0.112563,0.031407,0.005442,0.023174,0.064985,0.027734,0.005768,0.033980,0.011338,0.003861,-0.002734,0.015713,-0.019633,0.023132,0.008905,0.005362,0.031656,0.022312,0.011047,0.009445,0.023858,0.009998,0.006331,0.008202,0.008042,0.027552,-0.003257,0.026914,-0.008891,0.015803,0.003184,0.002310,-0.026301,-0.007159,-0.017145,-0.035508,-0.019198,-0.035815,-0.020308,0.034568,0.003343,-0.014091,0.021805,-0.033238,-0.030093,-0.042735,-0.046571,-0.036500,-0.022658,-0.035409,-0.037271,-0.035278,-0.043578,-0.024312,-0.026347,-0.039184,-0.048155,-0.021874,-0.038782,-0.034937,-0.045878,-0.033769,-0.029180,-0.044976,-0.031872,-0.033515,-0.035092,-0.035970,-0.043096,-0.047403,-0.021778,-0.030446,-0.037279,-0.053171,-0.048371,-0.056123,-0.042676,-0.028805,-0.024741,-0.030962,-0.046603,-0.018291,-0.056190,-0.049240,-0.010186,-0.012619,-0.018426,-0.025669,-0.019258,-0.025521,-0.002243,-0.041341,-0.044814,-0.042370,-0.012475,-0.029103,-0.050009,-0.030642,-0.031463,-0.037425,-0.027259,-0.044961,-0.051532,-0.032471,-0.017202,-0.026961,-0.042627,-0.033946,-0.020765,-0.047657,-0.017622,-0.042173,-0.035969,-0.031339,-0.037637,-0.027922,-0.035375
9,1.224650,0.006776,0.101432,0.092750,0.090985,-0.002933,0.012318,0.105414,0.328539,0.150886,0.141840,0.143489,0.089645,0.180316,0.167859,0.233303,0.157871,0.164378,0.150494,0.158010,0.166062,0.030005,0.156329,0.155703,0.168850,0.170670,0.164569,0.018811,0.155849,0.182373,0.031996,0.007752,0.021566,0.163153,0.116912,0.052214,0.196971,0.194409,0.167350,0.017675,0.024565,0.014335,-0.000127,-0.004460,0.025631,0.013239,-0.010909,0.023794,0.016460,0.052152,-0.002456,-0.003036,0.032029,0.001552,0.027667,0.049744,0.013926,0.021169,0.024841,0.013133,0.017623,0.003362,0.021190,0.018946,0.002380,0.029500,-0.006380,0.015277,0.003008,0.018743,0.014996,0.011532,0.010477,0.008111,0.019189,-0.003154,0.021097,0.020192,0.013027,-0.006859,0.025588,0.016964,0.009515,0.005369,0.018041,0.023191,0.007908,0.032555,-0.017549,0.036890,0.009059,0.032358,0.010285,0.011380,0.015268,0.010135,0.039126,0.007030,0.019083,0.020741,0.033060,0.021969,0.011538,0.036548,0.023800,-0.005383,0.008905,0.001916,0.027355,0.020317,0.007271,0.078479,0.005034,0.015143,0.001133,-0.010393,0.005260,0.014017,-0.013838,0.027925,0.002894,0.008886,-0.009108,0.026087,0.017931,0.012697,-0.001913,0.019976,0.015136,0.002421,0.031643,-0.007454,-0.016630,0.010691,0.004036,0.016516,0.021692,0.011323,0.013321,-0.007779,0.004932,0.000377,0.005353,0.019241,0.003102,0.018916,0.024285,0.005860,0.007850,0.009668
