Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.506774,1.049575,1.041899,1.034364,1.034215,0.964124,0.976789,0.982387,0.719056,0.750171,0.701291,-0.047725,0.047921,0.028816,0.016961,0.014417,0.037426,0.012284,0.014115,0.016714,0.023904,0.024100,0.008746,0.458400,0.017000,0.020464,0.602392,0.020295,0.056623,0.024759,-0.032370,0.139253,0.111111,0.157197,0.138523,-0.040668,0.158183,-0.043465,-0.029463,-0.060111,-0.021405,-0.025867,-0.041290,-0.041337,-0.023912,-0.023808,-0.026277,0.008859,0.035604,-0.037798,0.019022,0.029836,0.032168,-0.061196,0.026522,0.038781,0.044190,-0.003694,0.023714,0.042654,0.032835,0.041748,0.032042,0.021514,0.030682,0.042503,0.030498,0.016066,0.012225,-0.029373,0.040064,-0.044685,-0.007352,-0.041718,-0.008450,-0.033208,-0.097377,-0.032268,-0.118850,-0.013431,-0.121016,-0.023397,-0.116191,-0.053677,-0.030487,-0.013859,-0.013682,-0.030694,-0.123812,-0.119948,-0.084409,-0.123212,-0.082460,-0.100845,-0.102820,-0.104572,-0.098499,-0.092344,-0.090534,-0.085885,-0.090706,-0.134471,-0.102699,-0.106483,-0.105904,-0.115993,-0.104290,-0.087781,-0.119524,-0.082099,-0.130834,-0.102172,-0.117393,-0.106032,-0.101443,-0.093696,-0.107899,-0.107008,-0.106185,-0.115283,-0.069853,-0.088778,-0.100205,-0.100376,-0.121898,-0.092090,-0.106609,-0.111782,-0.105034,-0.096476,-0.109194,-0.108385,-0.088725,-0.107312,-0.088554,-0.113484,-0.108934,-0.101710,-0.103654,-0.130181,-0.108532,-0.127384,-0.120720,-0.104675,-0.099665,-0.088868,-0.106511,-0.094223,-0.107068,-0.117400
1,0.769557,0.222649,0.222881,0.200559,0.201423,0.238353,0.233002,0.201829,0.198305,0.219729,0.027787,0.016566,0.033387,0.047140,-0.003253,-0.018183,0.227555,0.310441,0.300018,0.479482,0.300282,0.488639,0.222882,0.154504,0.158342,0.146949,0.168581,0.150226,0.147558,0.154630,0.173521,0.147687,0.150150,0.135988,0.146629,0.153075,-0.040627,-0.031563,-0.015214,-0.019132,-0.062959,-0.032759,-0.039904,-0.017996,-0.010401,-0.018537,-0.022420,-0.103388,-0.026919,-0.014401,-0.012806,-0.044859,-0.030873,-0.038634,-0.045807,-0.097933,-0.038144,-0.102264,-0.055208,-0.024685,-0.010740,-0.030528,-0.062938,-0.023397,-0.084637,-0.034200,-0.021397,-0.036246,-0.062224,-0.100864,-0.007003,-0.076697,-0.092346,-0.098673,-0.110907,-0.062919,-0.085609,-0.110910,-0.100303,-0.028586,-0.080893,-0.108233,-0.053406,-0.068514,-0.103732,-0.100966,-0.023427,-0.031954,-0.094221,-0.099973,-0.120076,-0.086067,-0.066120,-0.029082,-0.093493,-0.090894,-0.090014,-0.106621,-0.103036,-0.095756,-0.083661,-0.113106,-0.101066,-0.121645,-0.096504,-0.094213,-0.098408,-0.093010,-0.108263,-0.103228,-0.030185,-0.091494,-0.084371,-0.126632,-0.108213,-0.099222,-0.077735,-0.114633,-0.090566,-0.089432,-0.082133,-0.103293,-0.092827,-0.125934,-0.114000,-0.102796,-0.123770,-0.126233,-0.114583,-0.093811,-0.110210,-0.091734,-0.121218,-0.106346,-0.109200,-0.101222,-0.085314,-0.075131,-0.084194,-0.094946,-0.092208,-0.074163,-0.090250,-0.111639,-0.112471,-0.112136,-0.122968,-0.109717,-0.091547,-0.077080
2,1.514945,1.790153,1.552995,3.239519,3.228199,1.132575,1.162175,0.813309,0.809441,0.813924,0.801039,0.786201,0.805548,0.808971,1.156112,1.124077,1.155358,0.744848,0.741002,1.161631,1.135612,0.525156,0.631998,0.622692,0.314607,0.338805,0.325596,0.332370,0.306343,0.350218,0.338533,0.399486,0.403602,0.365128,-0.038003,0.383306,-0.061414,0.381511,0.405710,0.367771,0.408522,0.302726,0.311401,0.312745,0.291167,-0.042212,0.311585,0.271450,0.279238,0.288782,0.270713,0.273748,0.261494,0.285599,0.260511,0.278945,0.301839,-0.028475,0.239770,0.255791,0.274088,0.270073,-0.058581,0.280979,0.263770,0.263061,0.256577,0.249350,0.274030,0.241475,0.231804,0.226255,0.248248,0.260483,0.239308,0.253100,0.258375,0.247713,0.226960,0.246368,0.205240,0.251735,0.189448,0.201456,0.210797,0.266312,-0.026328,-0.051881,-0.064850,-0.023137,-0.040236,-0.049922,-0.043243,0.062122,-0.031205,-0.072230,-0.044962,-0.035555,-0.060600,0.054087,-0.043034,-0.059284,-0.044289,-0.037413,-0.059672,-0.024155,-0.036961,-0.052273,-0.038159,-0.046940,-0.076512,-0.040824,-0.044411,-0.022734,-0.044277,-0.037240,-0.033213,-0.044524,-0.050509,-0.049178,-0.048594,-0.038351,-0.061394,-0.046683,0.113176,-0.043249,-0.045700,-0.056936,-0.050690,-0.057405,-0.055819,-0.047106,-0.036995,-0.060531,-0.034627,-0.058555,-0.058372,-0.042162,-0.076782,-0.055298,-0.030430,-0.061875,-0.046215,-0.071073,-0.022180,-0.043043,-0.050380,-0.045353,-0.031547,-0.049903
3,1.522629,0.983022,0.992536,0.986166,2.210922,1.176068,1.153300,1.172195,1.156640,0.464725,0.268530,0.226142,0.253921,0.340981,0.277685,0.205726,0.122563,0.132533,0.102684,0.141277,0.132733,0.144165,0.181191,0.204164,0.213484,0.191091,0.105425,0.200502,0.095955,0.139293,0.181055,0.180344,0.198163,0.186729,0.144538,0.126719,0.206849,0.180729,0.147891,0.175307,0.155058,0.169774,0.140724,0.171638,0.138371,0.161978,0.173069,0.197323,0.186380,0.173560,0.160972,0.144520,0.164346,0.168546,0.175987,0.172592,0.155432,0.169050,0.167539,0.184062,0.197071,0.169685,0.172098,0.106689,0.104073,0.201440,0.113967,0.133085,0.117143,0.111358,0.128353,0.109444,0.131467,0.142536,0.131221,0.115569,0.192572,0.130320,0.220367,0.184571,0.211321,0.207955,0.213017,0.108825,0.148730,0.121850,0.163670,0.128592,0.117548,0.144114,0.110564,0.148963,0.221785,0.207815,0.181440,0.219078,0.124761,0.200634,0.205359,0.049555,0.022278,0.039819,0.032199,0.039685,0.029172,0.031738,0.062544,0.003671,-0.044604,0.056349,0.037466,0.050305,0.022423,0.005728,0.027010,0.021329,0.006683,0.045406,-0.104198,0.040620,-0.119574,-0.145512,-0.074408,-0.117158,-0.085568,-0.114746,-0.096823,-0.104975,-0.092967,-0.124807,-0.003312,-0.008217,0.012052,0.027109,0.025890,-0.132468,0.011906,0.049121,0.041530,0.012236,-0.140298,-0.018935,-0.028115,0.075727,-0.020994,-0.004642,0.009831,0.035664,-0.003409,0.003135
4,0.201426,0.213000,1.659386,1.615015,1.634770,1.650540,0.201206,0.207421,0.384160,0.260156,0.233211,0.479038,0.486500,0.478932,0.518092,0.251640,0.521377,0.490489,0.149506,0.125791,0.130720,0.140822,0.124909,0.172069,0.133408,0.175342,0.262705,0.242207,0.264528,0.270434,-0.109552,0.198121,-0.123190,-0.113052,-0.108392,-0.127145,-0.097915,-0.048127,-0.026767,-0.025872,-0.132321,-0.102412,-0.007590,-0.111070,-0.155814,0.028194,-0.123973,-0.127133,0.039357,-0.092198,-0.104721,-0.119382,-0.142126,-0.140429,-0.097171,-0.118234,-0.099572,-0.121041,-0.114516,-0.123751,-0.104791,-0.130136,-0.122890,-0.090523,-0.107069,-0.132295,-0.131247,-0.117039,-0.130582,-0.116438,-0.105514,-0.090792,-0.106514,-0.129520,-0.140118,-0.105913,-0.119780,-0.112915,-0.097653,-0.105767,-0.122775,-0.115727,-0.101015,-0.119813,-0.121110,-0.112165,-0.108767,-0.111399,-0.104261,-0.112111,-0.132715,-0.131478,-0.119287,-0.113159,-0.115232,-0.111082,-0.139105,-0.124728,-0.119600,-0.095145,-0.130170,-0.135324,-0.116162,-0.115592,-0.102513,-0.120371,-0.119025,-0.060727,-0.088585,-0.126516,-0.142241,-0.127610,-0.119530,-0.075096,-0.057527,-0.120709,-0.075185,-0.112742,-0.090666,-0.097033,-0.074839,-0.062625,-0.124496,-0.117564,-0.071183,-0.051008,-0.110676,-0.111534,-0.128572,-0.098088,-0.088672,-0.107646,-0.119316,-0.107452,-0.117463,-0.124772,-0.058466,-0.098001,-0.103527,-0.070736,-0.122899,-0.110224,-0.110357,-0.123057,-0.070704,-0.110186,-0.109878,-0.097624,-0.023679,-0.027062
5,1.510616,0.311498,1.078473,1.108663,0.619513,1.095847,1.077871,1.106591,1.075567,0.418556,0.421162,0.388076,0.406873,0.396164,0.796954,0.803365,0.785396,0.301574,0.310605,0.337522,0.309238,0.407831,0.433578,0.432430,0.434006,0.419890,0.317882,0.160074,0.126730,0.133019,0.112362,0.130317,0.208534,0.260085,0.416143,0.161731,0.141510,0.148228,0.150028,0.118284,0.153616,0.138993,0.150908,0.160878,0.158399,0.458254,0.451323,0.448538,0.156343,0.445597,0.147869,0.250956,0.152818,0.264070,0.147443,0.138817,0.230866,0.144649,0.168980,0.143344,0.250605,0.253933,0.161853,0.230224,0.232118,0.225024,0.241177,0.252517,0.251458,0.243734,0.230838,0.246112,0.143045,0.158069,0.147552,0.004934,-0.000572,0.014093,0.015680,-0.000816,0.241330,0.002918,0.004466,0.014985,0.006828,-0.007217,-0.020304,0.000493,0.008123,0.003845,0.004089,-0.007638,0.032310,0.031586,0.000038,0.002451,-0.062246,-0.048536,-0.064287,-0.068580,-0.066500,-0.045281,0.007261,-0.065563,-0.049719,-0.066920,0.032819,-0.080914,-0.060711,-0.049489,-0.061207,-0.073337,0.005558,-0.058789,-0.069709,-0.054994,-0.070368,-0.056078,-0.068289,-0.032652,-0.051608,0.001497,-0.074604,-0.071403,0.004300,-0.067746,-0.069389,-0.007684,-0.069023,-0.035021,0.013246,-0.062985,-0.051830,-0.058372,-0.059747,-0.066337,-0.069292,-0.057549,-0.051815,-0.070167,-0.050483,0.028302,-0.014207,-0.059964,-0.002255,0.016723,-0.085198,-0.064187,-0.070920,-0.048842
6,3.223803,1.494007,1.871950,2.723941,1.849701,1.825722,1.967383,1.940389,1.966200,1.893075,0.260126,0.263579,0.267230,0.944814,0.941317,0.954758,0.929753,0.947707,0.926009,0.253110,0.265647,0.268054,0.283721,0.288724,0.274597,0.297650,0.272220,0.277459,0.510036,0.290388,0.272630,0.376494,0.263273,0.230461,-0.106135,-0.078039,-0.081444,-0.073789,-0.059976,-0.076107,-0.054945,-0.060278,-0.059941,-0.062191,-0.055146,-0.093382,-0.046513,-0.083107,-0.048879,-0.108808,-0.091041,-0.098051,-0.082610,-0.063781,-0.018315,-0.008037,-0.011964,0.062079,-0.087505,-0.007389,-0.013597,-0.017115,-0.102473,-0.107314,-0.042527,-0.032242,-0.008527,-0.105854,-0.134275,-0.050545,-0.031497,-0.040716,-0.020948,-0.019435,-0.111660,-0.120676,-0.081127,-0.121930,-0.111515,-0.121315,-0.107682,-0.143640,-0.114431,-0.118591,-0.134408,-0.104042,-0.103412,-0.123268,-0.115702,-0.118194,-0.136683,-0.122255,-0.103698,-0.124698,-0.096882,-0.141162,-0.111448,-0.121762,-0.122431,-0.109614,-0.106461,-0.112125,-0.113657,-0.114349,-0.125696,-0.111638,-0.123676,-0.114150,-0.114810,0.053629,-0.123181,-0.128795,-0.124080,-0.096798,-0.130307,-0.113838,-0.094299,-0.101203,-0.128847,-0.116788,-0.091437,-0.093353,-0.102901,-0.101684,-0.082334,-0.104989,-0.081179,-0.098329,-0.081668,-0.111725,-0.079312,-0.113820,-0.081090,-0.104666,-0.135421,-0.076292,-0.114997,-0.147444,-0.108623,-0.124825,-0.128689,-0.089170,-0.068967,-0.116311,-0.116562,-0.101593,-0.101580,-0.091724,-0.081877,-0.089660
7,1.481040,1.489809,0.200935,0.204740,0.185378,0.233749,0.197931,0.213330,0.064383,0.061146,0.065131,-0.039298,-0.001889,0.004166,-0.050195,-0.012937,-0.029494,-0.028121,0.039056,0.010556,0.104473,0.114790,0.109870,0.127360,0.093574,0.116092,-0.054531,0.067514,0.019107,0.024269,0.025818,0.013458,0.019868,0.013752,-0.046220,-0.058408,-0.046407,-0.139197,-0.134578,-0.120230,-0.134966,-0.122706,-0.124493,-0.126192,-0.147614,-0.134840,-0.143692,-0.114779,-0.146720,-0.154523,-0.148476,-0.131390,-0.113808,-0.151595,-0.126689,-0.100649,-0.123175,-0.129130,-0.151377,-0.141070,-0.124141,-0.147200,-0.127080,-0.145681,-0.122744,-0.148800,-0.096423,-0.131053,-0.110766,-0.158852,-0.124192,-0.140371,-0.109944,-0.140309,-0.110564,-0.146273,-0.144303,-0.123821,-0.133139,-0.124904,-0.163596,-0.150212,-0.132892,-0.166224,-0.132603,-0.120529,-0.129029,-0.134410,-0.105643,-0.123185,-0.153749,-0.114258,-0.131462,-0.142759,-0.144899,-0.150788,-0.141180,-0.137490,-0.151450,-0.127916,-0.152252,-0.154654,-0.139050,-0.135538,-0.130458,-0.148137,-0.138355,-0.142672,-0.123042,-0.134921,-0.147371,-0.124801,-0.144295,-0.126141,-0.125777,-0.120654,-0.143556,-0.135209,-0.151810,-0.121126,-0.146708,-0.142612,-0.157437,-0.148177,-0.143619,-0.148905,-0.148684,-0.135881,-0.130448,-0.154571,-0.147186,-0.149741,-0.137444,-0.143163,-0.132616,-0.147776,-0.139744,-0.150142,-0.139270,-0.158855,-0.139461,-0.128834,-0.142542,-0.133418,-0.148795,-0.145606,-0.131859,-0.129271,-0.138352,-0.135289
8,1.496092,1.557060,1.488299,1.523613,1.569174,1.114532,0.275522,0.280246,0.883049,0.276033,0.485502,0.530622,0.518286,0.535372,0.328467,0.347780,0.305558,0.164858,0.337209,0.167670,0.029055,0.121694,0.341867,0.310639,0.111762,0.022502,0.035355,0.012770,0.002043,0.021697,0.023582,-0.031471,-0.014957,0.022736,0.002716,-0.105334,-0.123784,-0.112920,-0.113105,-0.112859,-0.118995,-0.103528,-0.094880,-0.111180,-0.120404,-0.107563,-0.127637,-0.110521,-0.132815,-0.129948,-0.031564,-0.116009,-0.139062,-0.125151,-0.113504,-0.128889,-0.146153,-0.109641,-0.133752,-0.121801,-0.040817,-0.020823,-0.087579,-0.129334,-0.115409,-0.120036,-0.142345,-0.086308,-0.112354,-0.119106,-0.097278,-0.105046,-0.120104,-0.120462,-0.113569,-0.104300,-0.129565,-0.115903,-0.121166,-0.119173,-0.109830,-0.108496,-0.140633,-0.100177,-0.099791,-0.120405,-0.133449,-0.125065,-0.120982,-0.138416,-0.108683,-0.138228,-0.099469,-0.116327,-0.108866,-0.114829,-0.123935,-0.121835,-0.120992,-0.142425,-0.116659,-0.132531,-0.111412,-0.116251,-0.123895,-0.115723,-0.113085,-0.120290,-0.103449,-0.122396,-0.117532,-0.137126,-0.114002,-0.091592,-0.104900,-0.118154,-0.136060,-0.136880,-0.113540,-0.109789,-0.113847,-0.126642,-0.123058,-0.110023,-0.117841,-0.109866,-0.108936,-0.129246,-0.117803,-0.119365,-0.145347,-0.113625,-0.136576,-0.127837,-0.112686,-0.120754,-0.121510,-0.145813,-0.138776,-0.104204,-0.125568,-0.115446,-0.143611,-0.114713,-0.105682,-0.133266,-0.114984,-0.103676,-0.121879,-0.105336
9,1.498729,0.260082,0.249074,0.268572,0.254816,0.258998,0.670182,0.665370,0.662565,0.675524,0.250465,0.204335,0.313061,0.126351,0.204394,0.258782,0.240192,0.228206,0.213707,0.195622,0.200940,-0.107742,-0.111254,-0.080704,-0.114268,-0.106071,0.014722,0.024430,0.007834,0.059847,0.028342,0.034101,0.136264,0.142827,-0.094745,0.141402,0.130146,0.032514,0.111591,-0.116548,0.059475,0.148806,-0.121688,0.141215,0.153996,0.151488,0.019307,-0.101681,-0.092427,0.009225,-0.092104,0.036511,0.032880,0.024375,0.028058,0.014364,0.044237,0.028115,0.044005,0.048685,0.051690,0.052410,0.041525,0.051501,0.064207,0.039271,0.001767,0.060791,-0.124544,-0.104580,-0.110279,-0.001573,-0.101859,-0.112784,-0.087258,-0.096187,-0.113456,-0.123829,-0.112969,-0.095578,-0.103588,-0.128108,-0.084667,-0.092312,-0.115383,-0.092822,-0.117622,-0.086534,-0.138594,-0.090849,-0.107059,-0.109686,-0.090768,-0.071070,-0.096997,-0.105008,-0.095769,-0.093206,-0.104446,-0.101644,-0.098429,-0.104474,-0.101471,-0.090713,-0.096263,-0.094309,-0.126985,-0.106192,-0.088085,-0.098970,-0.120879,-0.117408,-0.102848,-0.098474,-0.114068,-0.127541,-0.096766,-0.104016,-0.113244,-0.122781,-0.103010,-0.121090,-0.088997,-0.108251,-0.089107,-0.108425,-0.112383,-0.089139,-0.101099,-0.099313,-0.084370,-0.114280,-0.105898,-0.095644,-0.111761,-0.115156,-0.098511,-0.132773,-0.103634,-0.126177,-0.135599,-0.093118,-0.101686,-0.112409,-0.093474,-0.130061,-0.071112,-0.116915,-0.106520,-0.094508
