Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cluster,1,21,175_186_174_68_172_24_117_177_176_143,52.913239
cluster,1,22,36_31_32_75_89_132_78_33_76_143,57.191116
cluster,1,23,158_163_1_161_0_58_162_2_108_143,59.716845
cluster,1,24,96_122_123_82_95_24_97_121_41_143,60.266301
cluster,1,25,137_14_12_13_64_24_63_156_19_143,56.770078
cluster,1,26,179_182_178_198_180_132_199_148_194_143,48.763672
cluster,1,27,71_182_114_115_180_24_181_113_183_143,49.907359
cluster,1,28,6_7_178_8_192_58_166_191_5_143,54.310327
cluster,1,29,179_45_178_77_180_24_181_177_74_143,48.385287
cluster,1,30,179_66_178_67_180_24_181_177_176_143,47.824325
cluster,1,31,179_26_27_28_180_24_181_22_85_143,50.405028
cluster,1,32,179_73_178_61_159_24_93_102_129_143,50.760656
cluster,1,33,179_80_178_75_180_24_181_177_176_143,48.027479
cluster,1,34,179_182_178_55_180_24_181_177_176_143,47.606717
cluster,1,35,179_73_178_68_72_24_181_193_74_143,49.639908
cluster,1,36,179_92_178_77_180_24_181_177_176_143,48.132247
cluster,1,37,179_139_178_161_180_24_181_157_176_143,48.473048
cluster,1,38,179_182_178_67_180_24_181_177_176_143,47.346642
cluster,1,39,179_40_178_77_180_24_65_177_50_143,48.838643
cluster,1,40,179_182_178_77_180_24_181_177_76_143,47.769143
cluster,1,41,179_80_178_75_180_132_181_177_37_143,48.308809
cluster,1,42,179_80_79_77_180_24_78_81_176_143,50.466201
cluster,1,43,179_182_178_67_180_58_181_177_176_143,47.354786
cluster,1,44,179_182_160_77_180_24_181_177_183_143,48.627796
cluster,1,45,179_182_178_82_180_24_181_177_183_143,47.603473
cluster,1,46,179_182_178_44_180_132_181_177_196_143,47.866791
cluster,1,47,179_182_178_28_180_132_181_177_47_143,47.874175
cluster,1,48,179_182_178_75_180_132_135_177_176_143,47.864198
cluster,1,49,179_182_178_77_180_132_181_69_176_143,47.699438
cluster,1,50,179_182_178_68_180_132_181_133_183_143,47.903702
cluster,1,51,179_182_178_67_180_132_181_177_183_143,47.328118
cluster,1,52,179_182_178_68_180_132_181_177_183_143,47.563443
cluster,1,53,179_182_178_67_180_132_181_177_176_143,47.345255
cluster,1,54,179_182_178_68_180_132_181_177_176_143,47.525062
cluster,1,55,179_182_178_67_180_132_181_177_176_143,47.350792
cluster,1,56,179_182_178_68_180_132_181_177_176_143,47.548177
cluster,1,57,179_66_178_67_180_132_181_177_176_143,47.813119
cluster,1,58,179_182_178_68_180_132_181_177_176_143,47.557717
cluster,1,59,179_182_178_153_180_132_181_177_176_143,47.584326
cluster,1,60,126_151_178_153_180_132_181_152_176_143,49.403000
cluster,1,61,179_155_178_115_180_132_181_177_176_143,48.115761
cluster,1,62,179_182_178_77_180_132_181_177_185_143,47.817454
cluster,1,63,179_182_184_77_180_132_181_177_187_143,48.917292
cluster,1,64,179_182_178_67_180_132_181_177_183_143,47.345016
cluster,1,65,179_182_178_161_180_132_181_177_183_143,47.607849
cluster,1,66,179_182_178_25_180_132_181_177_183_143,47.586656
cluster,1,67,179_182_178_77_180_132_181_177_183_143,47.564701
cluster,1,68,179_182_178_170_180_132_181_177_189_143,47.862954
cluster,1,69,179_182_178_67_180_132_181_177_183_143,47.351551
cluster,1,70,179_182_178_67_180_132_181_177_183_143,47.371355
cluster,1,71,179_182_178_68_180_132_181_177_183_143,47.553390
cluster,1,72,179_182_70_68_180_132_181_177_183_143,48.369305
cluster,1,73,179_182_178_67_180_132_181_177_183_143,47.354643
cluster,1,74,179_92_178_67_180_132_181_177_183_143,47.846268
cluster,1,75,179_182_178_67_180_132_181_177_183_143,47.351859
cluster,1,76,179_182_178_67_180_132_181_177_183_143,47.357550
cluster,1,77,179_182_178_67_180_132_181_177_183_143,47.355330
cluster,1,78,179_182_178_67_180_132_181_177_183_143,47.346493
cluster,1,79,179_182_178_67_180_132_181_177_197_143,47.595267
cluster,1,80,179_182_178_67_180_132_181_177_183_143,47.367246
cluster,1,81,179_182_178_67_180_132_181_177_183_143,47.345213
cluster,1,82,179_182_178_67_180_132_181_177_41_143,47.590276
cluster,1,83,179_182_178_67_180_132_181_177_176_143,47.356026
cluster,1,84,179_66_178_67_180_132_116_177_176_143,48.212722
cluster,1,85,179_182_178_68_180_58_181_177_176_143,47.530266
cluster,1,86,179_182_178_68_180_132_181_177_176_143,47.547583
cluster,1,87,179_182_178_68_180_132_181_177_176_143,47.541894
cluster,1,88,179_182_178_67_180_132_181_177_29_143,47.579378
cluster,1,89,179_182_178_67_180_132_181_177_176_143,47.354304
cluster,1,90,179_182_178_68_180_132_181_17_183_143,47.899954
cluster,1,91,179_182_178_101_180_24_181_177_76_143,47.771778
cluster,1,92,179_182_178_67_180_24_181_177_183_143,47.364854
cluster,1,93,179_182_178_67_180_24_181_177_176_143,47.357855
cluster,1,94,179_182_178_82_180_24_181_81_183_143,47.928589
cluster,1,95,179_182_178_67_180_132_181_177_183_143,47.361783
cluster,1,96,179_182_178_75_180_132_181_177_183_143,47.534333
cluster,1,97,179_182_178_68_180_132_181_177_183_143,47.546417
cluster,1,98,179_182_178_53_180_132_181_177_176_143,47.595400
cluster,1,99,179_182_178_52_180_132_181_177_176_143,47.586412
cluster,1,100,179_182_178_77_180_132_181_177_176_143,47.569913
cluster,1,101,179_182_178_67_180_132_181_177_176_143,47.349620
cluster,1,102,179_182_178_67_180_132_181_177_176_143,47.379049
cluster,1,103,179_182_178_67_180_132_181_177_176_143,47.371593
cluster,1,104,179_182_178_67_180_132_181_177_176_143,47.347094
cluster,1,105,179_182_178_67_180_132_181_177_176_143,47.349383
cluster,1,106,179_182_178_68_180_132_181_177_176_143,47.546965
cluster,1,107,179_182_178_67_180_132_181_177_176_143,47.346627
cluster,1,108,179_182_178_77_180_132_181_177_183_143,47.576009
cluster,1,109,179_182_178_67_180_132_181_177_183_143,47.359988
cluster,1,110,179_182_178_67_180_132_181_157_183_143,47.608205
cluster,1,111,179_182_178_161_180_132_181_156_183_143,47.857077
cluster,1,112,179_155_178_153_180_132_181_157_183_143,48.428271
cluster,1,113,179_182_178_67_180_132_181_156_176_143,47.600019
cluster,1,114,179_182_178_68_180_132_181_177_176_143,47.546953
cluster,1,115,179_182_178_68_180_132_181_177_176_143,47.549624
cluster,1,116,179_182_178_67_180_132_181_177_176_143,47.360695
cluster,1,117,179_182_178_68_180_132_181_177_176_143,47.541630
cluster,1,118,179_182_178_68_180_132_181_177_176_143,47.536145
cluster,1,119,179_182_178_67_180_132_181_177_176_143,47.361326
cluster,1,120,179_182_178_67_180_132_181_177_176_143,47.341689
cluster,1,121,179_182_178_67_180_132_181_177_176_143,47.337955
cluster,1,122,179_182_178_67_180_132_181_177_176_143,47.363223
cluster,1,123,179_182_178_198_180_132_181_177_176_143,47.588159
cluster,1,124,179_182_178_75_180_132_181_177_176_143,47.524116
cluster,1,125,179_182_178_68_180_24_181_177_176_143,47.571821
cluster,1,126,179_182_178_68_180_24_181_177_176_143,47.543442
cluster,1,127,179_182_178_68_180_24_181_177_176_143,47.528061
cluster,1,128,179_182_178_67_180_24_181_177_176_143,47.332261
cluster,1,129,179_182_178_67_180_24_181_177_176_143,47.343680
cluster,1,130,179_182_178_67_180_24_181_177_176_143,47.350727
cluster,1,131,179_182_178_67_180_24_181_177_176_143,47.338745
cluster,1,132,179_182_178_67_180_24_181_177_176_143,47.363937
cluster,1,133,179_182_178_67_180_24_181_177_176_143,47.363430
cluster,1,134,179_182_178_67_180_132_181_177_183_143,47.346836
cluster,1,135,179_182_178_67_180_132_181_177_176_143,47.355266
cluster,1,136,179_182_178_68_180_132_181_177_183_143,47.543942
cluster,1,137,179_182_178_67_180_132_181_177_183_143,47.362601
cluster,1,138,179_182_178_67_180_132_181_177_183_143,47.360140
cluster,1,139,179_182_178_67_180_132_181_177_183_143,47.350879
cluster,1,140,179_182_178_67_180_132_181_157_183_143,47.615422
cluster,1,141,179_182_178_67_180_132_181_177_183_143,47.356090
cluster,1,142,179_182_178_67_180_132_181_177_183_143,47.369709
cluster,1,143,179_182_178_67_180_132_181_177_183_143,47.366436
cluster,1,144,179_182_178_67_180_132_181_177_183_143,47.361025
cluster,1,145,179_182_178_67_180_132_181_177_183_143,47.377791
cluster,1,146,179_182_178_67_180_132_181_177_183_143,47.352931
cluster,1,147,179_182_178_67_180_132_181_177_183_143,47.353101
cluster,1,148,179_182_178_67_180_132_181_177_183_143,47.365793
cluster,1,149,179_182_178_67_180_132_181_177_183_143,47.358024
cluster,1,150,179_182_178_67_180_132_181_177_183_143,47.366008
cluster,2,21,158_163_160_161_159_132_162_157_74_143,56.857604
cluster,2,22,175_16_174_34_42_58_116_173_35_143,57.736659
cluster,2,23,4_92_1_198_0_24_199_2_5_143,58.651657
cluster,2,24,48_124_49_107_51_24_181_109_50_143,55.857150
cluster,2,25,87_139_84_28_138_24_86_88_85_143,60.464029
cluster,2,26,10_186_184_9_168_24_97_69_185_143,56.225426
cluster,2,27,71_155_195_77_72_24_78_193_194_143,56.855207
cluster,2,28,54_120_178_53_180_24_63_121_119_143,51.008670
cluster,2,29,179_147_127_68_180_132_112_148_146_143,51.151642
cluster,2,30,179_40_178_75_180_132_181_177_176_143,48.050741
cluster,2,31,179_66_178_67_21_132_135_128_129_143,50.319891
cluster,2,32,179_31_178_101_180_132_190_177_189_143,49.048954
cluster,2,33,179_182_178_68_180_132_181_177_76_143,47.743753
cluster,2,34,179_80_178_8_180_132_181_177_176_143,48.108359
cluster,2,35,179_182_178_77_180_24_181_177_19_143,47.872741
cluster,2,36,179_73_178_61_180_132_181_156_183_143,48.342437
cluster,2,37,136_182_178_75_180_132_181_177_74_143,48.329669
cluster,2,38,179_182_70_44_180_132_181_177_183_143,48.448490
cluster,2,39,179_182_178_68_180_24_181_69_37_143,47.934860
cluster,2,40,179_7_178_170_180_24_181_177_176_143,48.179008
cluster,2,41,179_182_178_67_180_24_181_102_183_143,47.668069
cluster,2,42,179_182_178_8_180_24_181_22_74_143,48.192347
