Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
independent,1,21,43_139_182_112_178_52_55_134_50_165,51.634683
independent,1,22,88_107_197_120_172_121_104_118_173_174,60.057959
independent,1,23,16_22_24_19_23_18_80_17_20_1,59.718336
independent,1,24,188_39_154_94_95_62_38_97_191_96,57.396930
independent,1,25,160_177_143_130_176_128_126_159_129_127,53.581926
independent,1,26,30_31_113_74_115_114_34_76_33_75,56.467901
independent,1,27,5_65_9_4_2_0_12_67_3_11,55.799103
independent,1,28,137_153_199_180_44_150_46_157_156_45,52.972841
independent,1,29,70_78_91_66_59_92_53_54_69_64,53.816026
independent,1,30,178_156_176_157_73_69_147_67_183_27,50.026585
independent,1,31,151_140_136_41_138_69_67_175_68_185,53.966454
independent,1,32,101_158_69_67_156_137_157_169_155_170,54.317907
independent,1,33,193_102_82_76_179_84_178_99_101_100,51.093956
independent,1,34,7_194_180_71_181_182_195_70_196_178,48.894932
independent,1,35,177_63_67_73_183_181_179_182_180_178,47.301872
independent,1,36,180_177_181_176_61_65_62_182_179_178,47.488574
independent,1,37,135_75_181_60_63_179_62_180_182_178,48.108752
independent,1,38,111_181_177_70_69_62_179_180_182_178,47.596593
independent,1,39,13_183_65_181_69_62_182_179_180_178,47.614242
independent,1,40,176_67_177_137_181_62_182_179_180_178,47.334266
independent,1,41,62_67_176_69_177_181_179_182_178_180,47.185158
independent,1,42,125_178_62_181_69_176_177_182_179_180,47.430825
independent,1,43,70_176_69_181_67_177_178_179_182_180,47.151825
independent,1,44,176_181_177_192_67_69_182_179_180_178,47.200754
independent,1,45,35_93_67_69_177_181_179_182_180_178,47.438035
independent,1,46,41_176_181_177_69_67_182_179_180_178,47.192622
independent,1,47,40_67_177_181_42_41_182_179_180_178,47.600352
independent,1,48,180_177_65_69_149_67_181_179_182_178,47.370189
independent,1,49,177_176_181_65_69_67_182_179_180_178,47.120606
independent,1,50,74_177_62_181_64_67_179_182_180_178,47.483521
independent,1,51,181_176_65_67_62_177_182_179_180_178,47.249653
independent,1,52,177_65_63_62_181_67_182_179_180_178,47.485768
independent,1,53,67_177_8_62_139_181_179_182_180_178,47.564189
independent,1,54,176_177_183_69_181_67_179_182_178_180,47.017250
independent,1,55,174_177_161_176_62_181_182_179_180_178,47.551065
