Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cyclic,1,8,17_23_25_19_20_18_22_24,64.195430
cyclic,1,9,33_35_11_34_48_1_0_49,54.719363
cyclic,1,10,13_39_2_30_12_38_14_1,56.157433
cyclic,1,11,35_3_34_4_2_1_0_7,54.210269
cyclic,1,12,36_33_35_1_34_0_47_21,54.801066
cyclic,1,13,2_1_0_8_32_35_34_33,53.710364
cyclic,1,14,9_35_49_8_34_1_0_33,54.755799
cyclic,1,15,1_7_33_34_32_35_0_2,53.717197
cyclic,1,16,46_34_47_35_0_33_2_1,54.255411
cyclic,1,17,34_47_35_0_45_2_33_1,54.244935
cyclic,1,18,2_35_28_34_1_32_0_33,53.694942
cyclic,1,19,2_48_10_1_23_0_34_33,54.697686
cyclic,1,20,20_7_18_33_11_0_34_1,55.090750
cyclic,1,21,35_8_27_0_47_1_33_34,54.793701
cyclic,1,22,35_32_9_7_0_33_34_1,54.222480
cyclic,1,23,35_0_7_34_33_9_32_1,54.214210
cyclic,1,24,9_32_16_34_0_33_1_11,54.528047
cyclic,1,25,37_47_43_1_35_33_0_34,54.812459
cyclic,1,26,2_8_32_34_33_0_35_1,53.786738
cyclic,1,27,12_0_2_35_1_32_34_33,53.716805
cyclic,1,28,35_0_32_2_1_31_34_33,53.528928
cyclic,1,29,0_34_2_32_35_3_33_1,53.478843
cyclic,1,30,34_6_35_41_0_1_49_33,54.779940
cyclic,1,31,32_7_30_35_1_33_0_34,53.821296
cyclic,1,32,2_35_8_49_1_34_0_33,54.202858
cyclic,1,33,2_32_33_3_35_1_0_34,53.489801
cyclic,1,34,3_4_33_2_0_35_34_1,53.684800
cyclic,1,35,0_2_34_4_3_35_33_1,53.675881
cyclic,1,36,35_34_7_4_0_33_2_1,53.977808
cyclic,1,37,34_2_35_3_1_33_0_47,53.917177
cyclic,1,38,3_0_4_33_2_1_35_34,53.677566
cyclic,1,39,2_0_35_33_34_29_1_7,54.005960
cyclic,1,40,2_1_31_35_34_30_32_33,53.297200
cyclic,1,41,29_2_35_1_31_30_33_34,53.477001
cyclic,1,42,3_2_1_32_35_34_33_30,53.263652
cyclic,1,43,32_35_2_3_1_30_34_33,53.252498
cyclic,1,44,34_2_32_18_35_1_33_30,53.536156
cyclic,1,45,30_32_33_35_2_0_34_1,53.412842
cyclic,1,46,2_1_3_35_32_30_33_34,53.244744
cyclic,1,47,35_33_2_1_30_34_32_31,53.274137
cyclic,1,48,35_28_32_31_34_1_33_30,53.704977
cyclic,1,49,35_34_31_32_33_2_1_30,53.311657
cyclic,1,50,33_31_35_1_34_0_32_30,53.604788
cyclic,1,51,2_32_35_36_33_34_1_30,53.547325
cyclic,1,52,32_0_35_2_1_34_30_33,53.396854
cyclic,1,53,28_2_34_35_33_32_30_1,53.489917
cyclic,1,54,34_33_32_2_1_11_31_30,53.504337
cyclic,1,55,2_31_32_33_1_35_34_30,53.297886
cyclic,1,56,34_32_33_31_1_35_30_2,53.285843
