Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
dynamic,1,8,0_1_3_2_4_5_34_43,54.575393
dynamic,1,9,27_28_26_29_39_38_43_11,59.090248
dynamic,1,10,19_20_18_30_2_49_31_1,55.491251
dynamic,1,11,30_32_31_3_2_1_33_28,53.591942
dynamic,1,12,32_30_31_33_2_3_1_6,53.673319
dynamic,1,13,30_31_3_29_2_1_33_41,53.895362
dynamic,1,14,4_30_3_2_31_1_0_7,54.098588
dynamic,1,15,32_30_31_2_3_1_33_45,53.643977
dynamic,1,16,0_2_33_34_49_31_3_35,54.171894
dynamic,1,17,0_1_8_32_7_31_2_3,54.422224
dynamic,1,18,30_31_1_32_2_3_33_48,53.668342
dynamic,1,19,31_30_32_1_2_33_3_28,53.581088
dynamic,1,20,31_30_32_1_2_33_3_17,53.660172
dynamic,1,21,31_30_42_1_2_3_33_0,53.887665
dynamic,1,22,31_30_32_1_2_3_33_0,53.491514
dynamic,1,23,31_30_1_32_2_3_33_0,53.453596
dynamic,1,24,31_30_1_32_2_3_33_0,53.502884
dynamic,1,25,31_30_1_32_2_3_33_0,53.474610
dynamic,1,26,31_30_1_32_2_3_33_0,53.475160
dynamic,1,27,31_30_1_29_2_3_0_33,53.718308
dynamic,1,28,31_30_1_29_2_3_0_33,53.692174
dynamic,1,29,31_30_1_32_3_2_0_33,53.487982
dynamic,1,30,31_30_1_29_3_2_0_48,54.312403
dynamic,1,31,31_30_1_32_3_2_0_44,54.029573
dynamic,1,32,31_30_1_32_2_3_0_28,53.930087
dynamic,1,33,31_30_1_32_2_3_0_33,53.467788
dynamic,1,34,31_30_1_32_2_3_0_33,53.511145
dynamic,1,35,31_30_1_32_2_3_0_33,53.496707
dynamic,1,36,31_30_1_32_2_3_33_0,53.524565
dynamic,1,37,31_30_1_32_2_3_33_0,53.489546
dynamic,1,38,31_30_1_32_2_3_33_0,53.500988
dynamic,1,39,31_30_1_32_2_3_33_0,53.486698
dynamic,1,40,31_30_1_32_2_3_33_0,53.482836
dynamic,1,41,31_30_1_32_3_2_33_0,53.476779
dynamic,1,42,31_30_1_32_3_2_33_0,53.484663
dynamic,1,43,31_30_1_49_3_2_33_0,53.821609
dynamic,1,44,31_30_1_32_3_2_33_0,53.486332
dynamic,1,45,31_30_1_32_2_3_33_0,53.499721
dynamic,1,46,31_30_1_32_2_3_33_12,53.576516
dynamic,1,47,31_30_1_32_2_33_3_14,53.669956
dynamic,1,48,31_30_1_32_2_3_33_0,53.481834
dynamic,1,49,31_30_1_32_2_3_33_0,53.469175
dynamic,1,50,31_30_1_32_2_33_3_0,53.474402
dynamic,1,51,31_30_1_32_2_33_3_0,53.496828
dynamic,1,52,31_30_1_32_2_33_3_0,53.498266
dynamic,1,53,31_30_1_32_2_33_3_0,53.499642
dynamic,1,54,31_30_1_32_2_33_3_28,53.620073
dynamic,1,55,31_30_1_32_2_33_3_0,53.453984
dynamic,1,56,31_30_1_32_2_33_3_0,53.499893
dynamic,1,57,31_30_1_32_2_33_3_0,53.500061
dynamic,1,58,31_30_1_32_2_33_3_0,53.480613
dynamic,1,59,31_30_1_32_2_33_3_0,53.496296
dynamic,1,60,31_30_1_32_2_33_3_0,53.472554
dynamic,1,61,31_30_1_32_2_33_3_0,53.507199
dynamic,1,62,31_30_1_32_2_33_3_7,53.573735
dynamic,1,63,31_30_1_32_2_33_3_6,53.673746
dynamic,1,64,31_30_1_32_2_33_3_0,53.499446
dynamic,1,65,31_30_32_1_2_33_3_21,53.661567
dynamic,1,66,31_30_32_1_2_33_3_19,53.665584
dynamic,1,67,31_30_32_1_2_33_3_48,53.661507
dynamic,1,68,31_30_32_1_2_33_3_17,53.639825
dynamic,1,69,31_30_32_1_2_33_3_20,53.669013
dynamic,1,70,31_30_32_1_2_33_3_0,53.485880
dynamic,1,71,31_30_32_1_2_33_3_0,53.481998
dynamic,1,72,31_30_32_1_2_33_3_36,53.648707
