Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
smallest,1,8,49_48_47_46_45_44_35_10,60.456853
smallest,1,9,28_29_27_30_20_3_2_19,55.874261
smallest,1,10,6_5_8_31_7_33_30_34,55.407645
smallest,1,11,13_14_1_40_41_12_42_0,57.986356
smallest,1,12,37_36_1_0_2_29_23_30,55.769432
smallest,1,13,2_3_1_31_30_0_29_49,54.302175
smallest,1,14,2_1_0_3_31_30_32_4,53.923995
smallest,1,15,2_1_3_0_31_30_15_29,54.306861
smallest,1,16,2_1_3_0_31_30_4_32,53.918489
smallest,1,17,2_1_3_0_31_30_4_32,53.901272
smallest,1,18,2_1_3_0_31_30_32_4,53.899905
smallest,1,19,2_1_3_0_31_30_32_29,53.997891
smallest,1,20,2_1_3_0_30_31_4_29,54.118328
smallest,1,21,2_1_3_0_31_30_32_4,53.907550
smallest,1,22,2_1_3_0_31_30_4_11,54.118067
smallest,1,23,2_1_3_31_0_30_32_33,53.474468
smallest,1,24,2_1_3_31_0_30_12_49,54.370903
smallest,1,25,2_1_3_31_0_30_32_47,54.059682
smallest,1,26,2_1_3_31_0_30_32_33,53.485423
smallest,1,27,2_1_3_31_0_30_32_4,53.901981
smallest,1,28,2_1_3_31_0_30_32_4,53.921763
smallest,1,29,2_1_3_31_30_0_32_43,54.041768
smallest,1,30,2_1_3_31_30_32_0_13,54.033763
smallest,1,31,2_1_3_31_30_0_32_46,54.054915
smallest,1,32,2_1_3_31_30_0_11_32,53.946213
smallest,1,33,2_1_3_31_30_0_32_4,53.924143
smallest,1,34,2_1_3_31_30_0_32_48,54.046318
smallest,1,35,2_1_3_31_30_32_0_4,53.877467
smallest,1,36,2_1_3_31_30_0_32_29,53.952743
smallest,1,37,2_1_3_31_30_0_32_4,53.895529
smallest,1,38,2_1_3_31_30_0_32_4,53.901940
smallest,1,39,2_1_3_31_30_0_32_49,54.049083
smallest,1,40,2_1_31_3_30_0_32_12,54.001070
smallest,1,41,2_1_31_3_30_32_0_33,53.471073
smallest,1,42,2_1_31_3_30_32_0_33,53.509294
smallest,1,43,2_31_1_3_30_32_0_29,53.989123
smallest,1,44,2_31_1_30_3_32_0_29,54.000542
smallest,1,45,31_2_30_1_3_32_0_5,53.977563
smallest,1,46,31_2_30_1_3_32_34_33,53.244489
smallest,1,47,31_30_2_1_3_32_39_16,54.214883
smallest,1,48,31_30_2_1_32_3_0_40,54.031240
smallest,1,49,31_2_30_1_32_3_0_33,53.458682
smallest,1,50,31_30_2_1_32_3_0_33,53.472086
smallest,1,51,31_30_2_1_32_3_0_41,54.061087
smallest,1,52,31_30_2_1_32_3_0_40,54.053498
smallest,1,53,31_2_30_1_32_3_0_42,54.031151
smallest,1,54,31_2_30_1_32_3_0_13,54.010738
smallest,1,55,31_2_30_1_32_3_0_9,54.048164
smallest,1,56,31_30_32_1_2_10_11_0,54.613512
smallest,1,57,31_30_2_32_1_0_3_38,54.031028
smallest,1,58,31_30_2_1_32_3_0_33,53.491892
smallest,1,59,31_30_32_2_1_3_0_33,53.481491
smallest,1,60,31_30_32_2_1_3_0_45,54.028356
smallest,1,61,31_30_32_2_1_3_0_33,53.481835
smallest,1,62,31_30_32_2_1_3_0_49,54.048579
smallest,1,63,31_30_32_2_1_3_0_33,53.484496
smallest,1,64,31_30_32_2_1_0_3_48,54.029246
smallest,1,65,31_30_32_2_1_0_3_9,54.040893
smallest,1,66,31_30_32_2_1_3_0_33,53.493195
smallest,1,67,31_30_32_2_1_3_0_17,54.046857
smallest,1,68,18_31_30_2_32_1_16_17,54.944481
smallest,1,69,31_30_32_2_1_3_0_29,53.995811
