Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.487945,2.840890,1.595862,2.751046,2.426577,2.840367,2.506076,2.415550,2.645923,2.860055,2.876594,2.320875,2.630438,1.107341,0.687685,0.655397,0.620997,0.611353,0.664503,0.494828,0.337356,0.299817,0.344654,0.242651,0.200222,0.120612,0.144638,0.161168,0.201707,0.184285,0.159265,0.146987,0.206289,0.024993,0.250974,0.142297,0.182490,0.260220,0.225827,0.120946,0.100877,0.168816,0.093856,0.084370,0.068310,0.071549,0.073138,0.044196,0.068008,0.082649,0.078262,0.092847,0.091728,0.072523,0.166672,0.091317,0.100960,0.178697,0.105346,0.129865,0.141361,0.074961,0.079687,0.166215,0.074589,0.040580,0.089646,0.060425,0.194931,0.185218,-0.003621,-0.018175,0.038411,-0.003670,-0.018649,0.035636,0.043727,0.011520,0.015334,-0.008927,0.024713,0.049690,0.054551,0.032329,0.043181,0.040219,0.037855,0.059812,0.051534,0.016758,0.070727,0.052311,0.051857,0.043257,0.027667,-0.049775,0.023697,0.015062,0.037811,0.029006,0.023923,0.049731,0.031587,0.028163,0.045695,0.024755,0.059283,0.028160,0.030412,0.070768,0.032050,0.057145,0.039807,0.051381,0.039506,0.053438,0.051688,0.050758,0.029020,0.026594,0.030585,0.044610,0.027931,0.055005,0.032236,-0.036647,0.047906,0.039487,0.033399,0.026501,0.061393,0.016967,0.000212,-0.014393,0.041039,0.060632,0.033394,0.041319,0.061285,0.037647,0.032459,0.040772,-0.069866,0.050424,0.037275,0.016012,0.056738,0.052680,0.036194,0.034783
1,3.656581,2.876506,0.995039,1.127217,0.616694,0.269396,0.962779,0.979375,0.856720,1.058276,0.333115,0.257862,0.252291,0.132983,0.145761,0.136931,0.183315,0.188569,0.117896,0.130446,0.106309,0.177805,0.175683,0.079904,0.148791,0.222609,0.086944,0.062888,0.083724,0.018118,0.007010,0.006176,0.021674,0.009140,0.018178,-0.013729,0.032952,0.012292,0.007025,-0.013013,-0.064491,0.003362,-0.011245,0.010551,-0.045142,-0.005787,-0.009731,0.000853,-0.019893,-0.002544,0.002045,0.002680,-0.019921,-0.023951,0.003512,-0.017519,-0.022187,-0.037969,-0.049459,-0.022948,-0.003567,-0.015583,-0.050242,-0.038120,-0.060432,-0.010777,0.018008,0.009534,-0.039050,-0.036127,-0.030543,-0.025891,-0.039096,-0.021408,-0.040799,0.004534,-0.005927,-0.009942,-0.089680,0.019119,0.025001,0.020641,0.017165,0.029123,0.026845,-0.002927,0.016284,0.012535,-0.006974,0.012147,0.023151,0.012911,0.009103,0.003140,0.007082,0.021415,0.026962,0.004632,-0.001065,0.018566,0.002216,-0.007134,0.010238,-0.019795,0.005499,0.003050,0.004935,0.007117,0.011464,-0.059118,-0.048577,0.002812,-0.038954,-0.025378,-0.058852,0.015876,-0.036704,-0.013565,0.005980,-0.013241,-0.008299,0.005691,-0.020160,-0.020204,0.008091,0.010712,-0.050296,-0.053389,-0.005606,0.019238,0.006119,0.013758,-0.010415,0.000505,-0.054197,-0.045542,-0.022880,-0.038860,0.008104,0.012826,-0.051676,-0.025923,-0.053586,-0.047080,-0.041734,-0.027752,-0.001952,-0.001130,-0.005921,-0.061513
2,5.895442,2.311314,3.663397,3.705424,3.294054,3.679393,0.127206,1.067266,1.185187,0.970010,0.894981,0.869413,0.387039,0.383889,0.287895,0.192840,0.200065,0.147141,0.168021,0.318503,0.313563,0.174394,0.342971,0.148048,0.162673,0.183967,0.194154,0.247423,0.203630,0.182052,0.168781,0.138895,0.151329,0.080396,0.103732,0.033803,0.128498,0.187997,0.120316,0.214064,0.051070,0.188371,0.125700,0.136673,0.156663,0.119884,0.105395,0.074594,0.071802,0.072782,0.053621,0.062824,0.098883,0.104323,0.082052,0.057897,0.091096,0.140546,0.110354,0.058838,0.047266,0.005223,-0.000612,-0.002198,0.014645,0.067761,0.062261,0.037605,-0.003253,0.041623,-0.018841,0.039386,-0.004303,-0.028727,0.002811,-0.010281,-0.008362,-0.039853,-0.017482,-0.020209,-0.007712,-0.021241,-0.010238,-0.034120,-0.028758,-0.004054,-0.001253,-0.017405,0.000481,0.012542,-0.023941,-0.020649,0.016441,-0.006751,0.000222,-0.009601,-0.005185,0.070785,0.081753,0.067320,0.079211,0.069221,0.001418,-0.006721,-0.003201,0.021552,-0.020922,0.013693,-0.014085,-0.016438,-0.017758,0.026855,-0.015117,0.003271,0.007141,0.002686,0.005048,0.000215,0.019168,0.022530,-0.014289,-0.012458,-0.022568,-0.004291,-0.021670,-0.020111,0.007559,-0.001484,-0.004945,0.010845,-0.022816,-0.005252,-0.000013,-0.007684,-0.003014,-0.011289,0.003245,0.010176,-0.011588,-0.021784,-0.009372,0.035349,-0.003138,-0.001395,-0.006300,0.005485,-0.014620,0.003160,-0.005851,-0.001949
3,3.767824,2.248862,1.191227,1.023835,0.669166,0.535786,0.548537,0.737662,0.597282,0.489497,0.154278,0.241021,0.246688,0.128410,0.423605,0.212560,0.264410,0.257758,0.243825,0.209397,0.138655,0.091158,0.181385,0.195615,0.235694,0.203576,0.126675,0.074848,0.047328,0.129964,0.147237,0.141307,0.120755,0.105042,0.108635,0.191778,0.153601,0.110598,0.121064,0.053138,0.061043,0.049633,0.077051,0.076162,0.082078,0.050101,0.134978,0.120723,0.084320,0.041581,0.053101,0.061501,0.107179,0.111943,0.123948,0.088022,0.099289,0.034996,-0.012874,0.034359,0.094567,0.106425,0.105655,0.072682,0.034563,0.021715,0.034473,0.068675,0.031105,0.028264,0.027199,0.054843,0.025784,0.050512,0.049178,0.034621,0.054596,0.065008,0.045711,0.044723,0.002879,0.052489,-0.004011,-0.041821,-0.018217,0.027875,0.004620,0.036393,0.004239,0.042892,0.022147,0.031001,0.028042,0.005126,0.024995,-0.008703,0.037432,0.023043,0.019106,0.014593,0.064766,0.037753,0.010233,0.034365,0.044177,0.030124,0.027838,0.000989,0.031984,0.035040,0.015669,0.022696,0.027852,0.023401,0.018853,0.025758,0.052445,0.034270,0.088965,0.073095,0.066689,0.059571,0.089715,0.077963,0.076031,0.099251,0.089814,0.093269,0.098805,0.073555,0.060901,0.075362,0.052517,0.075376,0.105612,0.073632,0.048062,0.055403,0.039467,0.022763,0.011328,0.038588,0.036323,0.032899,0.026335,-0.044913,0.011428,0.011341,0.017226,0.021475
4,3.393692,1.595473,1.727245,1.459300,1.815505,1.738661,1.546982,3.409363,2.026806,2.101351,1.251752,1.431465,0.150638,0.148777,0.084792,0.121415,0.189346,0.127398,0.192801,0.172047,0.060442,0.174154,0.148209,0.130168,0.111286,0.029683,0.052443,0.158190,0.148775,0.165756,0.153555,0.141329,0.121959,0.123323,0.068082,-0.036570,-0.106280,-0.067495,-0.026607,-0.011257,-0.102867,0.030397,-0.003727,0.010944,-0.001479,-0.007884,-0.035078,0.003879,-0.021499,0.136487,-0.010624,0.021331,0.035843,0.011808,0.077509,-0.000115,0.001022,0.034002,0.042005,0.010664,0.034920,0.037237,0.005143,0.056549,0.040390,0.035829,0.042075,0.047055,0.034221,0.049690,0.040207,0.013876,0.007833,0.026479,0.047878,0.037860,0.032297,0.060374,0.042101,0.042828,0.058397,0.071377,0.079560,0.053900,0.045065,0.063285,0.023349,0.021158,0.062099,0.055167,-0.047699,-0.019492,-0.032844,-0.018985,-0.018945,-0.004623,0.001284,-0.011402,-0.023151,-0.018288,-0.013249,0.015368,0.002249,0.000756,-0.008424,0.003712,-0.013616,0.004702,0.019830,-0.000777,0.017898,-0.013480,-0.001640,-0.007448,0.014960,-0.010116,0.007270,0.005093,0.002140,0.010460,-0.012071,-0.008944,0.002650,0.003973,-0.004972,-0.004129,0.002215,0.013420,-0.018896,-0.006992,0.001397,-0.007345,-0.007508,-0.001753,-0.010661,-0.008135,-0.017318,-0.005544,-0.010488,-0.012505,-0.019284,-0.021921,-0.012353,-0.022568,-0.013331,-0.019011,-0.011660,-0.004141,-0.013587,-0.019559
5,5.100725,2.672737,2.412038,4.082139,2.183497,4.739485,3.191754,2.359106,2.441847,2.313974,0.523784,0.511245,1.074408,0.947816,0.945247,0.655320,0.584559,0.536941,0.620819,0.545050,0.498540,0.440361,0.420304,0.492610,0.539740,0.240297,0.245966,0.193289,0.195076,0.077626,0.153612,0.055165,0.044331,0.030354,-0.008981,0.009807,0.010647,0.026965,-0.004296,0.017936,0.030567,0.020995,0.002968,0.035069,0.017836,0.008160,0.033658,0.001496,0.042807,0.013404,0.012473,0.040328,0.014219,0.011631,0.018598,0.043640,0.023050,-0.006806,-0.005415,0.028260,0.027945,-0.003414,0.034971,0.028423,0.001190,0.010776,0.034795,0.014501,0.027948,0.044932,0.118850,0.041322,0.054642,0.099848,0.137733,0.112954,0.121270,0.069463,0.083008,0.097564,0.099226,0.083649,0.079081,0.075077,0.061006,0.059692,0.073298,0.008716,0.003974,0.050243,0.011328,0.035043,0.030693,0.019409,0.033660,0.024796,0.020256,-0.001049,0.010373,0.003215,0.029955,0.024882,0.005218,0.018922,0.023563,0.024708,0.020371,0.011856,0.013661,0.009760,0.037671,0.033032,0.016376,0.040353,0.011589,0.041184,0.017487,0.048717,0.032959,0.040244,0.047465,0.025587,0.034426,0.053051,0.027616,0.032787,0.012721,0.004745,0.029234,0.035024,0.025594,0.017814,0.037789,0.006666,0.004938,0.009490,0.034025,0.040055,-0.002451,0.030042,0.042633,0.011252,-0.003360,0.033877,0.026816,0.019008,0.010708,0.018675,0.017493,0.009317
6,3.162495,2.896781,1.275555,1.161061,0.311718,0.216379,0.148528,0.635590,0.233455,0.146460,0.201237,-0.018611,0.199155,0.098509,0.163353,0.133353,0.046397,-0.016368,0.091620,0.072042,0.068926,0.046206,0.067706,0.071301,0.047362,0.024640,0.059354,0.079169,0.039179,0.073998,0.053367,0.031832,0.036575,-0.010053,-0.009640,0.007884,0.029912,0.067234,0.010792,0.021437,0.068076,0.024122,-0.009826,-0.118954,-0.020677,-0.001821,-0.026469,0.010996,0.026379,0.112714,0.022319,-0.078527,-0.042303,-0.049674,-0.044332,-0.030999,-0.021014,0.035056,0.031558,0.014849,0.065427,0.016523,0.038918,0.037189,0.065487,0.056729,0.054849,0.040877,0.050306,0.069865,-0.002237,0.002092,0.061735,-0.005778,0.013882,-0.006521,-0.033245,-0.002841,-0.009024,-0.017994,-0.026955,-0.007836,-0.032925,0.028012,0.039679,0.055629,0.061896,0.045046,0.054751,0.060274,0.053274,0.028845,0.060897,0.032568,0.063976,0.056339,0.050408,0.044491,0.033055,0.045205,-0.047020,-0.064420,-0.001910,-0.035998,-0.048792,-0.066490,-0.088301,-0.078768,-0.102397,-0.091680,-0.076878,-0.056432,-0.052328,-0.058121,-0.076123,-0.063821,-0.066537,-0.061170,-0.054276,-0.069526,-0.035237,0.000522,0.025754,0.010648,0.011724,-0.051609,-0.023268,-0.009982,-0.018706,-0.023309,0.003253,-0.010008,0.014792,0.011576,0.006697,0.002792,0.013601,0.019084,0.013892,0.004107,0.008166,-0.001155,0.011024,-0.000449,0.025051,-0.036323,-0.025899,-0.008599,-0.021983,-0.017134
7,4.097727,2.662983,2.517323,0.260394,0.229571,0.369647,0.216395,0.315350,0.243817,0.127782,0.404728,0.416719,0.232881,0.178513,0.326172,0.184581,0.154111,0.113666,0.184702,0.153506,0.165831,0.135925,0.133501,0.137982,0.130387,0.102464,0.054425,0.121401,0.062634,0.126093,0.106676,0.141462,0.107423,0.075121,0.058159,0.098687,0.067812,0.149643,0.142088,0.117544,0.117540,0.137108,0.100319,0.116281,0.100095,0.130511,0.153753,0.128793,0.119931,0.113250,0.120264,0.104906,0.131323,0.171730,0.155584,0.067732,0.061041,0.085201,-0.030473,0.060094,0.065122,0.067620,0.073891,0.055505,0.078962,0.077963,0.119935,0.090013,0.091021,-0.011674,0.076430,0.075114,0.055153,0.065553,0.057062,0.103248,0.072965,0.078078,0.090306,0.061288,-0.006208,0.076442,0.083131,0.076402,0.059294,0.070434,0.060064,0.049587,0.073287,0.079501,0.075359,0.070957,0.049784,0.082806,0.063396,0.098835,0.080857,0.078479,0.089033,0.077831,0.052796,0.073264,0.058966,0.045685,0.077943,0.053002,0.101710,0.073546,0.070580,0.114200,0.094766,0.079108,0.061843,0.099294,0.070571,0.076503,0.079704,0.050067,0.068561,0.072398,0.074254,0.056409,0.115853,0.110811,0.103620,0.095385,0.096657,0.081584,0.081442,0.110994,0.092781,-0.003803,0.099620,0.053037,0.059708,0.111931,0.088336,0.103930,0.090509,0.073010,0.075284,0.084950,0.063043,0.110318,0.101931,0.075024,0.091122,0.064822,0.090363,0.082225
8,5.085826,5.085393,4.142689,2.190264,0.764386,0.445275,0.121034,0.138378,0.522550,0.130438,0.089705,0.179206,0.397563,0.162105,0.211091,0.201953,0.278834,0.252753,0.166513,0.243672,0.198951,0.134060,0.221916,0.120772,0.179475,0.164183,0.126512,0.026168,0.075441,-0.002618,0.174743,0.081524,0.096163,0.112700,0.118280,0.182474,0.247169,0.258000,0.080381,0.216255,0.137051,0.039208,0.128741,0.020100,-0.012131,0.133939,0.123524,0.120626,0.120173,0.120891,0.189389,0.145474,0.033065,0.244752,0.270597,0.223219,0.255518,0.235063,0.219062,0.112596,0.064612,0.025779,0.095866,0.145626,0.115122,0.097667,0.224205,0.132100,0.102283,0.084745,0.002386,0.116439,0.086793,0.117893,0.106486,0.103474,0.112677,0.084937,0.109008,0.135325,0.109939,0.128116,0.119404,0.125828,0.128924,0.092658,0.108248,0.121432,0.115121,0.130688,0.131428,0.142715,0.136744,0.105893,0.112252,0.113092,0.125810,0.121220,0.123009,0.121102,0.131571,0.085017,0.023869,0.092564,0.061477,0.045224,0.101420,0.082127,0.055182,0.071129,0.087184,0.097159,0.035595,0.068016,0.088875,0.096820,0.059847,0.097277,0.074560,-0.043414,0.075121,0.034118,0.007386,0.015749,0.068995,0.099580,0.112508,0.092361,0.069071,0.085167,0.090108,0.038910,0.058488,0.080081,0.036308,0.069458,0.023219,-0.004026,-0.022426,-0.021304,0.076278,0.055756,0.066076,0.060115,0.094398,0.126173,0.104993,0.062177,0.050770,0.057619
9,2.889301,3.333190,3.645240,1.101078,0.982727,0.625970,0.128667,0.696887,0.978908,1.066041,0.126901,0.221051,0.280481,0.307843,0.236032,0.036328,0.129110,0.197594,0.091065,0.076169,0.096224,0.182523,0.137314,0.153686,0.234833,1.053695,0.222088,0.288234,0.088839,0.098230,0.071042,0.064091,0.056802,0.065744,0.069896,0.081064,0.102420,0.089137,0.109653,0.115594,0.101359,0.092524,0.081147,0.014843,0.025803,0.002996,-0.004046,-0.009119,0.022777,0.023047,0.035018,0.024984,0.022630,-0.003893,0.009081,0.030992,0.040809,0.064671,0.179935,0.012373,0.024671,0.023566,0.008500,0.033829,0.048047,0.046460,0.018696,0.017356,0.009425,0.000984,0.001101,-0.003297,0.047035,0.036351,0.051630,0.041747,0.034352,0.043470,0.039510,0.128276,0.098540,0.119421,0.092118,0.073915,0.112782,0.101247,0.109497,0.106819,0.017083,0.043843,0.096476,0.080161,0.050217,-0.007751,0.004401,0.038130,0.068242,0.022349,0.031668,0.039097,0.036182,0.031745,0.039466,0.018004,0.049870,0.061923,-0.007470,0.000063,-0.002749,0.042240,0.036878,0.094045,0.021876,0.015321,0.018467,0.015094,0.001417,-0.004521,0.013226,0.004847,0.004367,0.014562,-0.040095,-0.037275,-0.024211,0.015848,0.014661,0.008706,0.023865,0.014493,0.008300,0.003098,0.036612,0.027867,0.041410,0.034191,0.018486,0.025543,0.013145,0.036147,0.026145,0.024154,0.058916,0.029317,0.022157,0.042443,0.018958,0.026973,0.022727,0.015713
