Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150,Step_151,Step_152,Step_153,Step_154,Step_155,Step_156,Step_157,Step_158,Step_159,Step_160,Step_161,Step_162,Step_163,Step_164,Step_165,Step_166,Step_167,Step_168,Step_169,Step_170,Step_171,Step_172,Step_173,Step_174,Step_175,Step_176,Step_177,Step_178,Step_179,Step_180,Step_181,Step_182,Step_183,Step_184,Step_185,Step_186,Step_187,Step_188,Step_189,Step_190,Step_191,Step_192,Step_193,Step_194,Step_195,Step_196,Step_197,Step_198,Step_199,Step_200
0,6.801305,6.808759,5.680120,5.686951,5.672231,2.479717,2.513172,2.491683,2.480080,2.271758,2.281882,2.387283,2.353216,2.276914,2.086575,1.060312,1.059451,1.081963,0.329315,0.308239,0.325219,0.318172,0.315124,0.308233,0.313226,0.306691,0.344069,0.322206,-0.175318,-0.177662,-0.182606,-0.179472,-0.173607,-0.176002,-0.150450,-0.195692,-0.130859,-0.163132,-0.198372,-0.193560,-0.172821,-0.214987,-0.167451,-0.153653,-0.207623,-0.181976,-0.188344,-0.169102,-0.172312,-0.180363,-0.194996,-0.185275,-0.196810,-0.187694,-0.173567,-0.176138,-0.178438,-0.167323,-0.197244,-0.187112,-0.193123,-0.189703,-0.167518,-0.177023,-0.195995,-0.199518,-0.180388,-0.221349,-0.176885,-0.178876,-0.196495,-0.154567,-0.194003,-0.162398,-0.172082,-0.182292,-0.186661,-0.171145,-0.183992,-0.175180,-0.169239,-0.170298,-0.186529,-0.180568,-0.189252,-0.185913,-0.179325,-0.188074,-0.183429,-0.187371,-0.182838,-0.188128,-0.191191,-0.190322,-0.208042,-0.190234,-0.174032,-0.172350,-0.158914,-0.157763,-0.153921,-0.195550,-0.187906,-0.171811,-0.176060,-0.145242,-0.188509,-0.169892,-0.165380,-0.173153,-0.189982,-0.207125,-0.187611,-0.170242,-0.170934,-0.198606,-0.171493,-0.181083,-0.163625,-0.175272,-0.192105,-0.174092,-0.169873,-0.204972,-0.165779,-0.159302,-0.190279,-0.172545,-0.196531,-0.195291,-0.186957,-0.184926,-0.194950,-0.193506,-0.180930,-0.162319,-0.162355,-0.175999,-0.199996,-0.167379,-0.177783,-0.176847,-0.169986,-0.180355,-0.182550,-0.179974,-0.173268,-0.191320,-0.164843,-0.176982,-0.181552,-0.172986,-0.189739,-0.200860,-0.167732,-0.178926,-0.168101,-0.194379,-0.180938,-0.170865,-0.183489,-0.181851,-0.170832,-0.172106,-0.170420,-0.178303,-0.206286,-0.203606,-0.171570,-0.193019,-0.179960,-0.183451,-0.186499,-0.156501,-0.178664,-0.182598,-0.170930,-0.162934,-0.157267,-0.210786,-0.175026,-0.163031,-0.173237,-0.189748,-0.175084,-0.172261,-0.144758,-0.194346,-0.151220,-0.176702,-0.162117,-0.179739,-0.170679,-0.206823,-0.182773,-0.151175,-0.191898,-0.200792,-0.193731,-0.187027
1,6.772475,8.709171,8.705017,8.719529,6.779977,5.264178,6.779525,5.183499,4.727237,7.544480,4.724624,6.260607,7.551494,4.721408,2.972104,1.153372,0.496347,0.508171,0.477803,0.496796,0.481602,0.481145,0.503871,0.498285,0.494043,0.500177,0.525198,0.493363,0.488780,0.512838,0.221030,0.211997,-0.158456,-0.141197,-0.137288,-0.146250,-0.166055,-0.145434,-0.145456,-0.166643,-0.154383,-0.158150,-0.133205,-0.150427,-0.134486,-0.140384,-0.136806,-0.142069,-0.127427,-0.148075,-0.130528,-0.145474,-0.173248,-0.156832,-0.152468,-0.146414,-0.150894,-0.153650,-0.118526,-0.153622,-0.156860,-0.157680,-0.143225,-0.158963,-0.139985,-0.140062,-0.167098,-0.170742,-0.149452,-0.128694,-0.151510,-0.162068,-0.141703,-0.155952,-0.155042,-0.179588,-0.140259,-0.145766,-0.146398,-0.147506,-0.154688,-0.155485,-0.145750,-0.163381,-0.140401,-0.124467,-0.134739,-0.132561,-0.150666,-0.129205,-0.131358,-0.167944,-0.133703,-0.139011,-0.157214,-0.157257,-0.155714,-0.139277,-0.142114,-0.171603,-0.161399,-0.119655,-0.148886,-0.151296,-0.158260,-0.152922,-0.147156,-0.145255,-0.140825,-0.140810,-0.130226,-0.145512,-0.162908,-0.124895,-0.151574,-0.161939,-0.155567,-0.159810,-0.144666,-0.157186,-0.148071,-0.144941,-0.151571,-0.152892,-0.151589,-0.174827,-0.167212,-0.129733,-0.166925,-0.149611,-0.124511,-0.131465,-0.161078,-0.140814,-0.165415,-0.161708,-0.159370,-0.128267,-0.133448,-0.165083,-0.153624,-0.134859,-0.148873,-0.148818,-0.119532,-0.121331,-0.148782,-0.146150,-0.148179,-0.154597,-0.148932,-0.152386,-0.142293,-0.128650,-0.155651,-0.135467,-0.122599,-0.170745,-0.133413,-0.137370,-0.145630,-0.142200,-0.134310,-0.127183,-0.158805,-0.151318,-0.161451,-0.142156,-0.142550,-0.144962,-0.145107,-0.147242,-0.157606,-0.163838,-0.156209,-0.143954,-0.126906,-0.147025,-0.114391,-0.161534,-0.147310,-0.141436,-0.153748,-0.146717,-0.145675,-0.146180,-0.133716,-0.168679,-0.163637,-0.172236,-0.128810,-0.151825,-0.168485,-0.138577,-0.133582,-0.141917,-0.144970,-0.154246,-0.207911,-0.167545
2,1.375986,1.370988,1.370513,1.381464,1.374693,1.390539,1.402312,1.387217,1.376914,1.380825,1.374464,0.502006,0.470289,-0.139050,-0.141245,-0.156234,-0.160030,-0.127311,-0.154410,-0.162763,-0.153561,-0.142149,-0.163479,-0.156159,-0.149429,-0.144961,-0.051814,-0.123245,-0.151154,-0.154502,-0.041262,-0.175164,-0.117090,-0.136470,-0.136215,-0.169148,-0.122505,-0.170499,-0.152921,-0.158826,-0.173667,-0.154855,-0.131899,-0.154609,-0.158259,-0.180876,-0.054946,-0.052781,-0.031562,-0.057052,-0.048538,-0.058666,-0.140475,-0.029892,-0.036574,-0.032331,-0.063846,-0.033230,-0.030340,-0.046629,-0.037349,-0.030133,-0.034314,-0.049851,-0.034259,-0.017967,-0.052335,-0.027979,-0.025824,-0.014624,-0.138124,-0.142530,-0.025653,-0.037835,-0.139521,-0.048575,-0.045955,-0.151035,-0.155224,-0.151240,-0.149932,-0.120304,-0.143131,-0.131244,-0.140257,-0.153996,-0.134434,-0.146346,-0.148607,-0.144677,-0.133928,-0.147884,-0.142184,-0.164654,-0.157490,-0.156343,-0.142524,-0.187854,-0.179259,-0.201531,-0.220063,-0.170420,-0.191046,-0.182010,-0.196467,-0.172414,-0.192848,-0.191094,-0.186198,-0.210792,-0.147451,-0.185059,-0.183697,-0.208311,-0.117448,-0.147546,-0.169498,-0.148745,-0.180530,-0.192160,-0.181983,-0.148140,-0.186519,-0.191133,-0.203764,-0.202149,-0.186583,-0.136821,-0.188493,-0.173648,-0.182327,-0.184116,-0.207969,-0.172093,-0.195451,-0.196591,-0.163899,-0.148729,-0.150481,-0.147844,-0.136858,-0.154458,-0.168291,-0.144500,-0.137559,-0.161135,-0.158941,-0.137365,-0.143612,-0.150357,-0.152489,-0.157282,-0.148372,-0.128970,-0.163953,-0.149170,-0.140508,-0.145028,-0.158349,-0.149301,-0.157296,-0.147806,-0.125740,-0.153107,-0.162430,-0.144205,-0.141029,-0.151828,-0.160003,-0.158311,-0.166813,-0.151902,-0.159652,-0.137330,-0.120976,-0.159993,-0.155826,-0.152851,-0.139243,-0.143041,-0.151034,-0.141711,-0.144038,-0.153048,-0.154055,-0.159640,-0.134133,-0.162763,-0.155568,-0.157419,-0.138287,-0.152702,-0.141288,-0.137379,-0.158459,-0.150689,-0.117842,-0.157984,-0.149936,-0.143714
3,3.536685,3.553852,3.524262,6.808051,1.033702,1.058290,4.153418,4.133369,1.018637,4.306508,4.332457,2.498845,2.531745,3.208300,3.187518,0.355805,2.504718,2.505846,2.536236,2.502219,3.128883,2.535613,2.497213,2.522183,0.386052,0.379086,0.399032,0.326578,0.359896,0.380816,0.348173,0.350516,0.345292,0.325556,0.347130,0.313559,0.338195,0.354269,0.362271,0.333823,0.331135,0.337974,0.345460,0.331226,0.338279,0.317527,0.333450,0.335082,0.394852,0.520542,0.555803,0.517463,0.549105,0.375642,0.396733,0.389269,0.335410,0.326884,0.326973,0.325204,0.342217,0.331073,-0.159405,-0.131967,-0.168558,-0.158523,-0.164405,-0.164687,-0.136021,-0.151644,-0.178327,-0.136176,-0.149424,-0.170610,-0.165208,-0.155862,-0.140999,-0.141478,-0.175021,-0.175649,-0.156653,-0.140935,-0.153622,-0.156942,-0.147385,-0.145527,-0.140615,-0.145201,-0.136054,-0.143027,-0.151837,-0.146844,-0.174177,-0.141029,-0.142705,-0.165678,-0.140691,-0.141273,-0.164236,-0.145330,-0.143318,-0.161717,-0.144143,-0.152777,-0.138825,-0.152129,-0.137576,-0.118024,-0.134513,-0.142080,-0.162236,-0.174185,-0.135988,-0.142814,-0.152159,-0.166642,-0.134144,-0.136284,-0.147988,-0.177790,-0.134307,-0.162707,-0.164084,-0.114877,-0.142499,-0.133667,-0.139994,-0.154744,-0.145868,-0.145156,-0.136855,-0.160221,-0.145900,-0.154254,-0.143703,-0.141884,-0.116841,-0.143573,-0.147365,-0.146018,-0.153283,-0.142631,-0.137921,-0.126294,-0.141036,-0.166323,-0.134264,-0.163373,-0.153767,-0.158479,-0.128787,-0.141019,-0.151955,-0.122166,-0.158586,-0.168211,-0.148043,-0.138530,-0.147288,-0.158820,-0.144569,-0.124690,-0.142756,-0.131625,-0.149165,-0.144931,-0.130826,-0.139030,-0.178920,-0.120208,-0.163278,-0.133355,-0.149991,-0.155696,-0.166089,-0.147228,-0.153064,-0.182359,-0.138295,-0.134193,-0.145809,-0.143624,-0.156057,-0.138336,-0.163397,-0.148812,-0.157893,-0.133933,-0.129389,-0.132310,-0.125386,-0.138105,-0.139321,-0.155061,-0.145633,-0.133485,-0.144123,-0.156953,-0.150583,-0.165431
4,1.840022,1.836502,1.829549,1.833885,1.865239,1.865461,2.267559,2.281575,2.302744,0.636118,0.634054,0.622039,1.331866,0.456099,0.793653,0.569462,0.593351,0.588795,0.571385,0.578002,0.426162,0.430615,0.446113,-0.009406,0.004037,-0.016126,-0.018336,-0.128405,-0.141143,-0.151077,-0.156144,-0.157496,-0.156151,-0.155162,-0.135770,-0.139288,-0.135766,-0.126996,-0.124815,-0.127336,-0.137931,-0.124667,-0.149233,-0.142241,-0.166613,-0.121288,-0.149598,-0.138404,-0.145856,-0.144026,-0.150686,-0.147189,-0.150330,-0.160559,-0.153753,-0.142858,-0.141241,-0.143534,-0.149326,-0.154777,-0.144361,-0.150408,-0.146789,-0.142326,-0.135873,-0.140269,-0.127396,-0.146729,-0.124033,-0.157078,-0.146375,-0.140114,-0.155707,-0.147852,-0.143161,-0.144901,-0.135421,-0.130073,-0.134161,-0.135005,-0.137489,-0.130447,-0.151908,-0.144006,-0.148430,-0.148519,-0.138675,-0.148269,-0.151446,-0.127679,-0.152056,-0.163441,-0.127978,-0.121660,-0.144770,-0.122749,-0.148322,-0.123730,-0.144184,-0.157534,-0.158706,-0.156193,-0.131602,-0.117229,-0.147428,-0.162751,-0.128167,-0.140134,-0.141928,-0.143382,-0.141676,-0.128354,-0.149998,-0.154603,-0.149109,-0.124399,-0.137583,-0.144734,-0.144916,-0.152304,-0.147214,-0.131183,-0.108194,-0.133870,-0.139016,-0.142590,-0.152567,-0.136750,-0.154604,-0.138166,-0.129835,-0.143466,-0.139440,-0.134319,-0.148289,-0.144427,-0.149082,-0.140244,-0.143546,-0.152902,-0.159368,-0.136019,-0.126488,-0.155976,-0.148410,-0.114797,-0.147256,-0.123564,-0.148063,-0.125645,-0.142110,-0.152451,-0.136908,-0.145778,-0.127474,-0.139363,-0.151805,-0.160764,-0.135120,-0.145293,-0.153270,-0.158387,-0.145203,-0.127099,-0.153918,-0.153632,-0.151619,-0.154319,-0.137188,-0.142478,-0.151711,-0.148188,-0.159747,-0.126608,-0.146420,-0.157167,-0.134570,-0.119504,-0.158155,-0.149411,-0.162127,-0.141535,-0.132230,-0.130095,-0.146804,-0.123856,-0.167229,-0.124796,-0.154437,-0.151405,-0.119949,-0.165467,-0.136210,-0.145196,-0.126878,-0.139570,-0.149341,-0.153916,-0.128392,-0.133045
5,6.991294,6.945958,6.972666,6.965073,6.982833,2.932212,2.917432,3.121993,3.105497,5.908410,5.888640,2.925028,2.924782,2.903710,0.468896,0.469780,0.479217,0.442350,0.482529,0.466140,0.453005,0.475268,0.432611,0.472582,0.474169,0.468353,-0.136168,-0.149143,-0.128013,-0.151069,-0.140780,-0.169045,-0.145686,-0.168778,-0.171344,-0.165474,-0.127272,-0.170210,-0.149937,-0.151267,-0.153390,-0.159946,-0.134407,-0.135016,-0.151967,-0.146886,-0.174766,-0.152907,-0.155559,-0.160227,-0.164833,-0.140507,-0.169253,-0.137820,-0.146161,-0.161005,-0.169332,-0.141914,-0.161134,-0.141072,-0.163258,-0.160819,-0.139123,-0.157224,-0.155228,-0.167837,-0.126209,-0.161551,-0.136217,-0.150489,-0.157227,-0.125004,-0.145014,-0.144299,-0.116086,-0.168737,-0.144030,-0.169256,-0.132575,-0.173020,-0.177721,-0.152328,-0.156367,-0.166463,-0.186531,-0.158356,-0.151742,-0.152749,-0.143798,-0.149057,-0.162914,-0.153393,-0.165383,-0.157802,-0.158435,-0.145452,-0.150642,-0.148105,-0.132690,-0.158611,-0.159755,-0.161809,-0.160252,-0.144363,-0.140951,-0.164530,-0.130499,-0.165496,-0.150776,-0.156985,-0.141361,-0.143803,-0.144837,-0.140661,-0.176705,-0.143614,-0.164756,-0.154310,-0.131229,-0.136665,-0.158860,-0.147931,-0.130114,-0.156379,-0.176173,-0.148813,-0.171919,-0.176104,-0.143146,-0.159146,-0.163415,-0.166009,-0.139936,-0.148491,-0.174750,-0.151445,-0.157628,-0.141674,-0.140624,-0.134241,-0.161939,-0.145735,-0.143616,-0.165837,-0.149700,-0.148437,-0.158751,-0.157730,-0.145621,-0.159993,-0.145834,-0.167027,-0.147918,-0.148099,-0.153004,-0.161145,-0.150119,-0.168184,-0.148409,-0.163245,-0.155420,-0.148833,-0.177479,-0.170356,-0.128028,-0.124306,-0.126187,-0.153309,-0.149522,-0.142031,-0.147074,-0.150562,-0.175913,-0.162283,-0.147732,-0.178515,-0.149760,-0.167086,-0.171928,-0.168289,-0.153123,-0.152360,-0.173032,-0.139146,-0.164160,-0.163510,-0.152508,-0.164283,-0.153573,-0.158529,-0.143370,-0.151240,-0.165882,-0.164912,-0.165670,-0.132949,-0.137996,-0.154642,-0.161725,-0.151962
6,6.837475,8.648968,6.814522,4.847983,4.860735,6.251479,6.039570,1.652011,1.647629,1.654914,1.660504,1.641383,1.683602,1.665226,1.670133,1.666881,1.342809,1.354052,1.338589,1.146908,1.152860,1.156328,1.163621,1.150802,1.141516,0.309229,0.331194,0.460479,0.423756,0.443157,0.436760,0.444424,0.424345,0.432309,0.408377,0.455631,0.431703,0.396945,0.373699,0.427254,0.362940,0.310877,0.382699,0.415208,0.379209,-0.110951,0.383461,-0.170790,-0.155555,-0.181136,-0.178054,-0.180679,-0.157706,-0.180233,-0.160987,-0.161907,-0.153335,-0.161172,-0.186200,-0.142136,-0.172698,-0.155818,-0.165728,-0.137533,-0.173749,-0.190565,-0.174246,-0.174295,-0.171309,-0.159464,-0.169683,-0.161380,-0.148398,-0.167647,-0.172036,-0.142675,-0.184577,-0.160935,-0.162299,-0.171908,-0.150268,-0.174995,-0.158694,-0.165539,-0.157187,-0.165926,-0.169675,-0.164963,-0.152749,-0.187139,-0.169344,-0.154264,-0.188404,-0.170459,-0.172173,-0.174320,-0.165936,-0.146851,-0.165399,-0.157318,-0.159229,-0.163271,-0.192678,-0.160808,-0.149168,-0.177805,-0.181173,-0.149920,-0.192433,-0.175392,-0.183717,-0.165355,-0.178436,-0.153574,-0.172260,-0.163120,-0.183263,-0.158382,-0.168326,-0.177769,-0.169271,-0.161687,-0.168948,-0.155941,-0.180431,-0.161916,-0.166348,-0.148621,-0.166503,-0.157635,-0.204409,-0.164092,-0.175083,-0.159125,-0.174174,-0.162244,-0.153136,-0.161628,-0.174154,-0.182563,-0.134967,-0.151366,-0.182662,-0.186577,-0.154341,-0.156257,-0.160065,-0.161458,-0.165640,-0.167659,-0.162086,-0.163013,-0.164809,-0.175226,-0.196090,-0.172015,-0.167980,-0.156530,-0.158696,-0.170398,-0.163800,-0.171785,-0.181892,-0.167111,-0.178514,-0.158920,-0.186922,-0.140969,-0.176503,-0.165859,-0.156054,-0.184982,-0.164617,-0.178776,-0.152951,-0.136407,-0.162426,-0.175689,-0.173436,-0.177638,-0.166985,-0.179359,-0.164247,-0.178272,-0.198335,-0.162097,-0.157710,-0.174000,-0.157878,-0.202681,-0.168203,-0.171147,-0.155932,-0.204949,-0.146188,-0.165481,-0.188810,-0.175132,-0.161641,-0.160525
7,4.462937,4.465822,0.447011,0.460274,0.464134,0.469997,0.472985,0.470257,1.391557,1.382622,1.169511,1.142655,0.357160,0.338251,1.061448,1.080141,1.068721,1.069220,1.052143,1.077456,0.364890,0.359827,0.382515,0.391046,0.386603,0.369678,0.391375,0.364456,0.369452,0.364087,0.348654,0.406863,0.431751,0.408455,0.436791,0.405006,0.409466,0.386079,0.385159,0.402188,0.374067,0.375190,0.395628,0.350926,0.361698,0.162730,0.168857,-0.143693,0.084332,0.072753,-0.116668,-0.118942,-0.129464,-0.124531,-0.119579,-0.111744,-0.147420,-0.123124,-0.146060,-0.164658,-0.147160,-0.177355,-0.185602,-0.176171,-0.164091,-0.160866,-0.183051,-0.166662,-0.175969,-0.175742,-0.179454,-0.162038,-0.172650,-0.167496,-0.136531,-0.177751,-0.168962,-0.158655,-0.156534,-0.175154,-0.179170,-0.198589,-0.192063,-0.184678,-0.136441,-0.179936,-0.139845,-0.167298,-0.164056,-0.157372,-0.194199,-0.181999,-0.182514,-0.154213,-0.151064,-0.192262,-0.178781,-0.180681,-0.180581,-0.156711,-0.140589,-0.159999,-0.166007,-0.159104,-0.199442,-0.149538,-0.164230,-0.174778,-0.171510,-0.158984,-0.179857,-0.155748,-0.171995,-0.172907,-0.179625,-0.188739,-0.194148,-0.185716,-0.180497,-0.190022,-0.172237,-0.165421,-0.173252,-0.164030,-0.165018,-0.165406,-0.184001,-0.174815,-0.160152,-0.158547,-0.169984,-0.166881,-0.180574,-0.178850,-0.206874,-0.157475,-0.181183,-0.198714,-0.145552,-0.149235,-0.178872,-0.196896,-0.206043,-0.170739,-0.170817,-0.166992,-0.185975,-0.191568,-0.178072,-0.169706,-0.171233,-0.185741,-0.203714,-0.157174,-0.156424,-0.199926,-0.205637,-0.166026,-0.179021,-0.220709,-0.154965,-0.174404,-0.169402,-0.161223,-0.147710,-0.180205,-0.172039,-0.166675,-0.140684,-0.193130,-0.175517,-0.190227,-0.166889,-0.170573,-0.182542,-0.178048,-0.156806,-0.156739,-0.184665,-0.162870,-0.192073,-0.181078,-0.161576,-0.193082,-0.151502,-0.173597,-0.176360,-0.160792,-0.179524,-0.182468,-0.169005,-0.176402,-0.160290,-0.181420,-0.179808,-0.149814,-0.184496,-0.156766,-0.171773,-0.152356
8,6.776073,6.783613,11.096139,7.798955,7.790420,7.813617,6.719985,6.731712,3.418033,3.399364,3.415937,2.735840,3.625511,3.744025,3.765389,0.672747,0.665766,0.664966,0.677225,0.657250,0.633328,0.626696,0.690547,0.636676,0.697634,0.664335,0.229700,0.152095,-0.151034,-0.128187,-0.178646,-0.149558,0.095877,0.083634,0.083676,0.084730,0.081262,-0.160258,-0.143350,0.089974,0.084164,-0.127324,-0.172633,0.053115,0.041508,0.046239,0.057771,0.044643,0.052958,0.059973,0.056371,0.051556,0.066165,0.038041,0.051714,0.053518,0.069008,0.091116,0.081712,0.087891,0.081978,0.063205,0.087967,-0.143575,-0.003174,-0.174640,0.056892,0.028539,0.042283,0.060454,0.030254,0.047584,0.059456,0.064637,0.042114,0.027410,-0.155504,-0.159466,0.021404,-0.204927,-0.162361,-0.155961,0.046611,0.087263,-0.226908,-0.147001,-0.141337,-0.165569,-0.173679,-0.151016,-0.151398,-0.155770,-0.145511,-0.139764,-0.156080,-0.151260,-0.171954,-0.158296,-0.159661,-0.168514,-0.157534,-0.161826,-0.121502,-0.137692,-0.148116,-0.167029,-0.152603,-0.155241,-0.155221,-0.166327,-0.156271,-0.156466,-0.136154,-0.145909,-0.143874,-0.151142,-0.159076,-0.163430,-0.124804,-0.144816,-0.146775,-0.148914,-0.136313,-0.168176,-0.158218,-0.162447,-0.152697,-0.151795,-0.146844,-0.164831,-0.140563,-0.142183,-0.178177,-0.172480,-0.183752,-0.149454,-0.139734,-0.142334,-0.149323,-0.147332,-0.142740,-0.154179,-0.167093,-0.153742,-0.167400,-0.161314,-0.145193,-0.174946,-0.158377,-0.160554,-0.139813,-0.149675,-0.156539,-0.160122,-0.152129,-0.129513,-0.150105,-0.153755,-0.149748,-0.162956,-0.167564,-0.160873,-0.166767,-0.155484,-0.156183,-0.158084,-0.166856,-0.152455,-0.162511,-0.166086,-0.145129,-0.161157,-0.154055,-0.166903,-0.170163,-0.166519,-0.155710,-0.152832,-0.135304,-0.137331,-0.139872,-0.113726,-0.136042,-0.160768,-0.150286,-0.145706,-0.147647,-0.180022,-0.146851,-0.137160,-0.144085,-0.124483,-0.136753,-0.140587,-0.159705,-0.157656,-0.151011,-0.148923,-0.161794,-0.138509
9,6.828507,6.801807,6.797343,6.788708,6.816491,2.331221,2.331008,3.221548,4.348749,0.601427,0.598266,0.602699,0.568154,0.565675,0.583235,0.574798,0.588977,0.561199,0.594478,0.599087,0.590391,-0.119376,-0.139795,-0.131502,-0.126710,-0.138627,-0.166474,-0.161025,-0.104743,-0.141477,-0.143350,-0.152425,-0.130196,-0.134998,-0.130791,-0.126242,-0.131874,-0.135786,-0.160427,-0.131570,-0.132755,-0.127264,-0.128601,-0.157353,-0.137231,-0.102346,-0.156203,-0.135925,-0.151624,-0.144009,-0.137186,-0.145239,-0.124808,-0.164806,-0.149770,-0.145648,-0.135496,-0.121124,-0.153645,-0.147242,-0.156046,-0.138678,-0.130501,-0.145664,-0.148819,-0.148701,-0.141048,-0.128374,-0.136785,-0.122733,-0.121527,-0.141218,-0.138412,-0.142082,-0.113913,-0.133417,-0.160674,-0.124514,-0.134894,-0.117788,-0.125686,-0.172103,-0.143220,-0.141619,-0.143115,-0.158549,-0.137551,-0.140938,-0.145688,-0.142450,-0.126888,-0.160410,-0.145508,-0.150115,-0.153562,-0.137270,-0.122394,-0.148780,-0.148856,-0.150337,-0.142563,-0.147644,-0.164790,-0.152920,-0.124522,-0.122889,-0.137553,-0.120950,-0.139684,-0.138557,-0.135587,-0.126486,-0.132021,-0.149154,-0.132450,-0.136465,-0.155762,-0.134103,-0.122591,-0.149182,-0.171126,-0.146645,-0.128096,-0.132801,-0.128805,-0.152868,-0.144816,-0.111562,-0.128961,-0.156783,-0.141905,-0.120603,-0.141593,-0.164562,-0.146804,-0.160964,-0.124689,-0.149548,-0.111306,-0.123254,-0.155087,-0.128190,-0.137316,-0.131065,-0.160641,-0.131241,-0.126485,-0.119147,-0.115395,-0.120576,-0.132446,-0.152557,-0.141610,-0.144285,-0.146537,-0.154274,-0.165068,-0.113475,-0.149530,-0.140031,-0.114781,-0.139114,-0.164131,-0.135473,-0.133568,-0.147693,-0.154064,-0.154963,-0.129309,-0.127623,-0.153576,-0.148989,-0.131171,-0.117493,-0.137424,-0.146648,-0.136634,-0.145397,-0.153692,-0.125629,-0.134308,-0.135170,-0.132051,-0.134809,-0.148562,-0.141557,-0.145673,-0.142574,-0.124949,-0.123868,-0.169058,-0.120235,-0.138737,-0.138304,-0.134419,-0.137947,-0.160702,-0.148583,-0.125366,-0.141394
