Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.927893,3.707630,1.120187,1.070179,0.968274,0.961224,0.982985,0.991474,1.036684,0.863142,0.868807,0.248008,0.266157,0.151660,0.165018,0.183522,0.250519,0.538048,0.525834,0.516087,0.669682,0.065191,0.086652,0.116837,0.109875,0.087457,0.146000,0.138665,0.022897,0.034377,0.036312,0.177455,0.169262,0.182434,0.240612,0.208453,0.222661,0.117308,0.013253,0.067017,0.063578,0.084305,0.069218,0.080432,0.061818,0.085135,0.097268,0.083390,0.112240,0.096315,0.112876,0.057693,0.051262,0.052542,0.067449,0.095152,0.110294,0.137552,0.110663,0.145444,0.141264,0.125803,0.134557,0.136100,0.123436,0.122091,0.139769,0.124150,0.113556,0.105932,0.118208,0.122014,0.140205,0.134467,0.123325,0.117822,0.139719,0.162231,0.130070,0.129946,0.139155,0.110293,0.126825,0.121405,0.153957,0.105659,0.100074,0.125242,0.118182,0.109130,0.150354,0.117359,0.010510,0.027385,0.022343,0.023830,0.021587,0.030544,0.023873,0.029663,0.031570,0.044040,0.059509,0.008191,0.043198,0.038451,0.043706,-0.010049,-0.008016,-0.008960,-0.008102,-0.015488,0.000248,0.037353,0.013254,-0.014107,0.013289,-0.009205,-0.021782,0.022088,0.002442,-0.007738,0.015090,-0.017480,-0.026451,0.005335,0.017507,0.000040,-0.012262,0.004026,-0.006625,0.003981,0.011391,-0.015339,0.006689,-0.003971,0.001511,0.017239,0.001633,-0.008581,-0.016100,-0.003617,0.019788,0.008864,-0.018121,-0.019649,-0.004766,0.012702,-0.018355,0.011528
1,2.850560,2.174159,2.818164,2.033686,0.679692,0.503227,0.435981,0.120717,0.120099,0.218382,0.222438,0.229755,0.259234,0.229102,0.255906,0.216857,0.276733,0.322736,0.269184,0.216032,0.163048,0.172568,0.140827,0.125916,0.153362,0.128102,0.141564,0.215077,0.178903,0.181430,0.185871,0.150380,0.157495,0.219363,0.167364,0.120884,0.130123,0.213787,0.213338,0.182372,0.193447,0.237934,0.212014,0.235288,0.220706,0.223975,0.199087,0.109861,0.197122,0.332906,0.348685,0.418160,0.458085,0.440498,0.356044,0.340336,0.358093,0.272844,0.286381,0.299766,0.294600,0.290880,0.224961,0.090473,0.155364,0.143111,0.157719,0.138294,0.136542,0.181674,0.163003,0.217448,0.233282,0.221289,0.097471,0.209199,0.074393,0.099769,0.062954,0.200661,0.252899,0.314643,0.253325,0.242917,0.230049,0.258079,0.257179,0.258790,0.238276,0.275368,0.255150,0.255478,0.252900,0.257377,0.246716,0.269358,0.251122,0.186502,0.208923,0.048879,0.085827,0.058040,0.069044,0.029070,0.033269,0.047286,0.058569,0.032282,0.060200,0.049584,0.069874,0.044606,0.034494,0.063611,0.064808,0.028368,0.063306,0.049263,0.047676,0.030706,0.047152,0.052486,0.044004,0.050574,0.069268,0.039574,0.061534,0.055854,0.040476,0.035184,0.065414,0.054058,0.063637,0.048272,0.064572,0.020311,0.049624,0.037348,0.044235,0.047107,0.033033,0.016670,0.008092,0.007381,0.019560,0.026547,0.030369,0.005214,0.041519,0.030067
2,3.849506,3.030418,3.291162,1.269167,0.873444,0.631549,0.407484,0.398891,1.338336,1.370324,1.349738,1.354252,1.335859,1.380888,0.140621,0.137417,0.136343,0.104852,0.161261,0.129853,0.135844,0.143355,0.051355,0.139636,0.121725,0.107899,0.105767,0.029772,0.073655,0.087599,0.084876,0.100939,0.078050,0.048064,0.075746,0.053006,0.076525,0.199972,0.190408,0.169401,0.172011,0.173035,0.208446,0.198527,0.167946,0.176955,0.176637,0.215515,0.190608,0.176980,0.207380,0.172689,0.180723,0.171950,0.094051,0.117191,0.119728,0.111074,0.111876,0.137449,0.085967,0.090175,0.083446,0.076600,0.074797,0.058226,0.075312,0.067387,0.048235,0.098472,0.105947,0.092965,0.112122,0.059156,0.076941,0.056336,0.067765,0.088000,0.093832,0.082884,0.087839,0.116276,0.060133,0.117712,0.091960,0.115394,0.173262,0.146259,0.134495,0.152596,0.147777,0.160441,0.137619,0.163152,0.164318,0.155910,0.175277,0.171107,0.153312,0.175766,0.173939,0.161024,0.113365,0.151130,0.129508,0.160085,0.190668,0.163134,0.169699,0.183615,0.156516,0.129071,0.125115,0.144942,0.119443,0.116413,0.159885,0.141961,0.138636,0.178017,0.144672,0.162338,0.159971,0.148675,0.174590,0.173265,0.160774,0.176143,0.163899,0.170696,0.194453,0.138126,0.166790,0.109684,0.118836,0.157754,0.127091,0.169160,0.130709,0.162828,0.146612,0.143575,0.156863,0.158017,0.084094,0.111553,0.140796,0.128412,0.094525,0.146502
3,3.510638,1.806305,1.132357,1.846099,5.199124,4.768357,0.327707,0.323213,1.030913,0.995946,0.323127,0.313898,0.272168,0.308473,0.292443,0.290174,0.289559,0.246574,0.266414,0.178973,0.191623,0.199154,0.525072,0.558642,0.538012,0.541362,0.530839,0.542378,0.557295,0.547982,0.557093,0.534570,0.527323,0.543502,0.550600,0.145772,0.240979,0.238299,0.251068,0.260142,0.267274,0.253776,0.183291,0.183688,0.171531,0.189951,0.193141,0.177103,0.240272,0.213801,0.194522,0.209430,0.194824,0.219730,0.190004,0.217117,0.192960,0.211107,0.211461,0.202551,0.220630,0.229430,0.206403,0.168284,0.179412,0.168046,0.095339,0.100919,0.080921,0.126909,0.087453,0.105555,0.107128,0.103019,0.098501,0.083287,0.093151,0.094062,0.091054,0.091913,0.109348,0.107917,0.080306,0.114606,0.090877,0.088543,0.106378,0.090166,0.099454,0.099612,0.090816,0.107632,0.113316,0.119886,0.109409,0.122947,0.131857,0.102737,0.152789,0.114909,0.087935,0.124524,0.122419,0.104232,0.126360,0.129163,0.105439,0.132884,0.106031,0.098431,0.105064,0.095626,0.111701,0.126212,0.115179,0.110138,0.125396,0.115175,0.104249,0.133971,0.109915,0.119798,0.136524,0.107112,0.132526,0.115094,0.125381,0.088743,0.119381,0.113704,0.099734,0.174599,0.160516,0.153262,0.076715,0.102176,0.106134,0.123609,0.139794,0.138666,0.149533,0.131214,0.155315,0.110148,0.108473,0.123366,0.133154,0.121271,0.128948,0.117743
4,3.366694,3.881485,1.792916,0.275035,0.157358,0.178984,1.506361,0.231323,0.176670,0.061869,0.087168,0.110784,0.116775,0.093295,0.113091,0.099043,0.209412,0.215418,0.214221,0.197943,0.211736,0.211700,0.271821,0.194829,0.191647,0.155183,0.151623,0.176219,0.188107,0.163427,0.172491,0.171806,0.250179,0.252226,0.192153,0.217130,0.227252,0.259853,0.251981,0.245013,0.235389,0.231459,0.202695,0.145515,0.183321,0.181183,0.136724,0.188614,0.202788,0.209533,0.186852,0.203387,0.202036,0.181528,0.170468,0.187126,0.207196,0.201670,0.177701,0.195831,0.171044,0.170522,0.190882,0.182910,0.200632,0.226018,0.150406,0.145267,0.131078,0.170311,0.168005,0.160823,0.226019,0.229084,0.240001,0.253698,0.162052,0.166008,0.161520,0.172367,0.163570,0.165684,0.156833,0.186831,0.169675,0.274925,0.246655,0.240502,0.224319,0.252866,0.257584,0.216615,0.248443,0.258231,0.267093,0.239661,0.266607,0.182809,0.194625,0.179959,0.174855,0.172130,0.139079,0.121798,0.109327,0.133370,0.118135,0.129490,0.121252,0.141837,0.123454,0.119870,0.144342,0.124183,0.085522,0.154370,0.116332,0.138308,0.115714,0.084650,0.118387,0.118254,0.112754,0.154272,0.056227,0.042536,0.059497,0.040233,0.143431,0.110231,0.113422,0.133101,0.118748,0.152277,0.117726,0.123371,0.103583,0.115904,0.110895,0.104664,0.114582,0.108275,0.086116,0.116342,0.114996,0.100971,0.109305,0.093785,0.110911,0.105834
5,3.888538,2.123542,2.009725,2.792726,0.611023,0.441602,0.110932,0.263715,-0.005129,0.139278,0.121629,0.117108,0.103949,0.159143,0.912387,0.916038,0.918081,0.916621,0.848689,0.796485,0.811247,0.171118,0.158147,0.114272,0.121652,0.089321,0.100154,0.107156,0.786639,0.790210,0.181294,0.104545,0.093756,0.209824,0.108210,0.145338,0.092953,0.101972,0.087913,0.178150,0.097833,0.106842,0.095291,0.111887,0.135344,0.117242,0.048765,0.064157,0.074894,0.191576,0.167825,0.181766,0.183833,0.208153,0.181431,0.151719,0.178224,0.207848,0.188636,0.097262,0.120039,0.183313,0.189881,0.164441,0.186909,0.172190,0.185818,0.184922,0.187787,0.170389,0.151840,0.182823,0.172953,0.178530,0.185146,0.186800,0.177984,0.177852,0.187314,0.130821,0.155479,0.157743,0.178770,0.159125,0.158554,0.194349,0.161403,0.143084,0.185723,0.155850,0.160203,0.163694,0.154972,0.155006,0.183639,0.159452,0.159295,0.173632,0.184919,0.178591,0.181402,0.173974,0.190751,0.170995,0.179084,0.177532,0.162665,0.175390,0.180794,0.174604,0.181709,0.164591,0.167429,0.183647,0.169567,0.187267,0.169822,0.156671,0.176563,0.158195,0.167028,0.166277,0.183183,0.170497,0.182622,0.163968,0.162204,0.149248,0.150573,0.169282,0.179361,0.149411,0.158156,0.162375,0.124077,0.131217,0.164473,0.142985,0.153887,0.106012,0.090923,0.095151,0.137825,0.100291,0.174125,0.118633,0.106160,0.086761,0.109925,0.125100
6,5.073897,5.070662,1.708409,0.409710,0.395531,0.362439,0.278984,0.275120,0.282250,0.128203,0.130207,0.425288,0.410752,0.430538,0.454822,0.476907,0.470754,0.471881,0.471663,0.477533,0.413100,0.415057,0.406158,0.418114,0.487719,0.485637,0.406835,0.391554,0.490845,0.405834,0.428090,0.402570,0.421179,0.379243,0.404196,0.411092,0.417354,0.430585,0.383150,0.401037,0.369304,0.414829,0.376527,0.366214,0.371178,0.373705,0.390915,0.391938,0.377352,0.399383,0.392221,0.433207,0.421954,0.410797,0.400016,0.387416,0.443211,0.411465,0.416302,0.397634,0.372210,0.411640,0.432292,0.385791,0.380780,0.392849,0.378208,0.387699,0.380893,0.406688,0.370130,0.371634,0.362743,0.368685,0.425985,0.427513,0.384919,0.400975,0.415306,0.415292,0.400949,0.413065,0.378384,0.416274,0.414072,0.388321,0.391018,0.440910,0.400067,0.407355,0.402493,0.418937,0.424610,0.403654,0.413039,0.420998,0.406407,0.428479,0.403464,0.030629,0.007315,0.017995,0.036149,0.425764,0.410502,0.005469,0.392443,0.402803,0.388168,0.409795,0.420071,0.405722,0.428951,0.400518,0.406507,0.421087,0.305001,0.304721,0.335738,0.331572,0.313452,0.312805,0.332766,0.314083,0.322412,0.317814,0.348878,0.322579,0.313504,0.307950,0.315708,0.316854,0.319199,0.320892,0.327242,0.338242,0.339980,0.324540,0.322099,0.340577,0.303381,0.319008,0.331113,0.314607,0.331493,0.327933,0.329856,0.319950,0.343720,0.319328
7,4.274869,2.435934,2.976279,0.956401,2.722855,2.941041,2.735125,2.726143,2.819604,2.793995,2.766399,2.770852,2.911033,2.920150,2.915928,2.206162,1.445904,1.612076,1.444916,3.084252,3.081895,2.116508,1.931736,1.913007,1.913443,1.919560,1.920461,1.902024,0.446402,0.515338,0.529359,0.539678,0.507860,0.512959,0.516450,0.512655,0.542776,0.518111,0.100250,0.078643,0.091082,0.094195,0.100582,0.100942,0.095218,0.091129,0.095544,0.077050,0.091184,0.101657,0.103235,0.114983,0.079473,0.084825,0.102992,0.108317,0.127062,0.106727,0.079463,0.082478,0.114823,0.104230,0.066677,0.081153,0.125593,0.107242,0.126198,0.086688,0.086053,0.076826,0.100202,0.465368,0.450027,0.082307,0.102437,0.082453,0.115842,0.108759,0.090770,0.064891,0.113347,0.086108,0.084539,0.098323,0.088706,0.070640,0.099528,0.092331,0.085991,0.092577,0.104156,0.112433,0.080268,0.068364,0.081157,0.067778,0.086187,0.093986,0.104112,0.104641,0.100073,0.091182,0.089778,0.103893,0.074534,0.076532,0.093890,0.081444,0.059311,0.086107,0.092820,0.083732,0.102400,0.097432,0.059775,0.081595,0.087435,0.075188,0.084143,0.102801,0.076684,0.093527,0.094255,0.076576,0.075177,0.067758,0.041826,0.093719,0.101701,0.089280,0.104745,0.099906,0.070749,0.059981,0.031447,0.027081,0.044574,0.030896,0.043488,0.026359,0.039602,0.014167,-0.006751,0.027119,0.032409,0.077269,0.027514,0.050057,0.010615,0.028573
8,2.679457,3.998763,3.057174,1.316841,0.321616,0.609531,0.536180,0.500510,0.140656,0.476425,0.475635,0.497472,0.516682,0.133067,0.207987,0.217236,0.190853,0.153426,0.149882,0.158083,0.138320,0.127447,0.134800,0.232800,0.218090,0.219230,0.233512,0.135391,0.152199,0.141698,0.120749,0.092892,0.106295,0.104492,0.208692,0.105733,0.178512,0.182724,0.218702,0.244500,0.200429,0.226967,0.244214,0.253373,0.269631,0.246918,0.283870,0.250201,0.270449,0.176213,0.220003,0.219934,0.229849,0.234531,0.136423,0.140206,0.179149,0.219104,0.191443,0.196784,0.212123,0.146574,0.156023,0.149984,0.161454,0.154422,0.174107,0.162897,0.162633,0.162302,0.134118,0.250889,0.264623,0.241505,0.273953,0.233664,0.257395,0.231054,0.233937,0.236183,0.239916,0.239024,0.218144,0.265533,0.229053,0.254228,0.262769,0.257692,0.150996,0.162676,0.172504,0.150681,0.162454,0.178365,0.171860,0.175493,0.156159,0.170250,0.155789,0.138962,0.171857,0.148935,0.162750,0.149278,0.132536,0.170085,0.158107,0.158556,0.165861,0.149681,0.137808,0.141082,0.156027,0.136341,0.168655,0.157548,0.153583,0.149863,0.171509,0.173944,0.176660,0.155580,0.163432,0.146847,0.172310,0.140870,0.158399,0.165605,0.167523,0.166401,0.145827,0.159868,0.160403,0.130964,0.151213,0.150145,0.144403,0.157769,0.160406,0.154213,0.146235,0.156255,0.155721,0.142091,0.147858,0.148212,0.153451,0.170212,0.159878,0.140334
9,3.201780,1.401894,1.145218,1.253554,0.635597,1.108505,0.416254,0.522914,0.481361,0.558783,0.561331,0.530521,0.480709,0.487142,0.607926,0.552995,0.574165,0.226237,0.528868,0.579172,0.587469,0.561234,0.513144,0.226245,0.068399,0.083739,0.513999,0.474525,0.478139,0.465833,0.461117,0.453130,0.455585,0.444421,0.460001,0.456301,0.457049,0.468615,0.457284,0.456129,0.445535,0.493323,0.467967,0.466193,0.496741,0.477408,0.584015,0.593778,0.595816,0.503183,0.484297,0.488606,0.473238,0.474974,0.412208,0.437387,0.427413,0.406237,0.438342,0.419888,0.410870,0.417896,0.421323,0.083109,0.081365,0.092372,0.075681,0.063928,0.114726,0.103134,0.096301,0.070610,0.095907,0.063794,0.039897,0.041317,0.058492,0.002020,0.008610,0.008910,0.012254,0.043680,0.009485,0.021492,0.003335,0.010817,-0.003122,0.021402,0.009311,0.011419,0.047924,0.106085,0.071567,0.065321,0.106019,0.090434,0.083934,0.067412,0.009243,0.026809,0.003694,0.017183,0.008885,0.005809,0.019859,0.009401,0.050651,0.020356,0.020615,0.014683,0.025959,0.026621,0.009562,0.027959,0.007114,0.014278,-0.005236,0.010086,0.015727,0.002787,0.006823,0.017758,0.051044,0.027694,0.022080,0.010917,0.033344,0.099695,0.031036,0.033355,-0.004627,0.021993,0.030469,0.032059,0.140355,0.115749,0.131101,0.002871,0.036715,0.031274,0.024449,0.025949,0.004897,0.028113,0.022787,0.039783,-0.016824,0.020360,0.028892,0.017707
