Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.110296,4.093646,2.542936,2.563574,2.549513,2.581116,2.552787,2.551417,2.077365,2.060817,2.096016,2.103805,2.080191,2.088763,2.079481,2.094751,2.064858,2.084946,2.093661,2.300671,2.287528,2.121831,2.131331,2.323159,2.246519,2.249432,2.322049,2.310787,2.285311,2.300249,2.314487,2.307140,2.105095,2.123565,2.084036,2.100294,2.093405,2.120096,2.082694,2.102575,2.097759,2.097302,2.105968,2.115086,2.118308,2.103298,2.102202,2.093654,0.649676,0.635057,2.111512,2.104170,2.102879,2.117157,2.084379,2.094540,2.110067,2.079156,2.111424,2.105148,2.090785,2.084213,2.130952,2.104098,2.122197,2.764713,1.469377,1.435994,2.227072,2.242195,2.207006,2.235510,2.215061,2.275314,2.227552,2.231721,2.239633,2.212502,2.214865,1.616403,2.224858,1.627613,1.653924,1.618454,1.638492,1.442073,1.454247,1.383349,1.331453,1.460868,1.322819,1.307463,1.407746,0.135578,0.110435,0.107945,0.102804,0.117770,0.130884,0.106252,0.062327,0.073075,0.125640,0.130139,0.125498,0.090631,0.096273,0.129396,0.246699,0.123013,0.251390,0.250872,0.262659,0.101941,0.267955,0.269966,0.245201,0.253940,0.260117,0.263841,0.260294,0.267503,0.257842,0.249959,0.266497,0.272356,0.258611,0.259614,0.246812,0.245192,0.253646,0.292525,0.270250,0.262066,0.306625,0.270422,0.252703,0.319466,0.269601,0.245066,0.262143,0.133977,0.058604,0.063313,0.067112,0.039506,0.052066,0.071167,0.051384,0.086545
1,2.603848,2.603079,3.332981,3.337948,1.958782,1.968902,2.067269,1.874023,1.882299,2.263309,1.879840,1.883246,1.878216,0.543116,0.566383,0.566703,0.508639,0.379506,0.399825,0.199797,0.184853,0.193547,0.333311,0.115169,0.112300,0.131320,0.136914,0.200451,0.141736,0.138176,0.119361,0.145758,0.144432,0.144008,0.130411,0.134683,0.151890,0.128888,0.127417,0.121912,0.132918,0.111494,0.153560,0.188988,0.111990,0.141339,0.123915,0.124814,0.131613,0.131225,0.110848,0.104956,0.156206,0.149881,0.143999,0.117744,0.110466,0.118453,0.139575,0.157205,0.106494,0.079855,0.123133,0.111310,0.095795,0.111636,0.033852,0.053933,0.032146,0.085209,0.039778,0.014548,0.056593,0.034292,0.023998,0.038921,0.021651,0.053673,0.075843,0.039387,0.041704,0.071354,0.065855,0.064247,0.052101,0.055289,0.190343,0.072232,0.082871,0.110757,0.079603,0.078771,0.076150,0.091063,0.654681,0.657446,0.624316,0.070312,0.040694,0.042989,0.077561,0.090189,0.078186,0.076987,0.064126,0.076506,0.038062,0.074779,0.032388,0.037586,-0.003195,0.027071,0.020272,0.028948,0.020579,0.017430,0.013473,0.038131,0.038850,0.041909,0.041011,0.049956,0.158442,0.144088,0.143192,0.125615,0.144055,0.146630,0.135275,0.158408,0.149845,0.139495,0.144348,0.141077,0.039516,0.025526,0.151748,0.081721,0.098494,0.147749,0.133376,0.045713,0.028534,0.055222,0.051196,0.014352,0.010286,0.034843,0.039457,0.030267
2,1.994397,3.767812,3.804424,3.757182,2.989865,3.014103,3.031388,2.993602,2.999672,2.242140,2.262174,2.234590,2.238780,2.275772,2.423179,2.356945,2.389518,2.408245,2.431508,2.409030,2.021802,2.036848,2.047366,2.080752,1.995036,2.244623,2.260390,2.032749,0.468545,0.463135,0.465085,0.475927,0.484629,0.485392,0.477790,0.472720,0.473055,0.477416,0.486102,0.476018,0.466100,0.460725,0.492302,0.463717,0.455913,0.469282,0.452494,0.483312,0.457471,0.481437,0.482868,0.459031,0.323001,0.446356,0.303435,0.316288,0.314218,0.346978,0.364594,0.321949,0.334013,0.337921,0.365404,0.303643,0.334669,0.332905,0.324848,0.342834,0.346522,0.356116,0.356108,0.372306,0.345669,0.338283,0.352277,0.364197,0.035183,-0.018818,0.005772,0.005741,0.052274,0.068220,-0.010265,-0.005016,0.048424,0.048651,0.081711,0.047903,0.065213,0.077563,0.031536,0.060736,0.038484,0.042209,0.056771,0.158482,0.037100,0.187814,0.170230,0.173916,0.169075,0.195513,0.193298,0.176435,0.107690,0.115259,0.273034,0.248339,0.267497,0.114870,0.105087,0.286323,0.132652,0.261358,0.276428,0.244837,0.229295,0.289949,0.279507,0.249116,0.276862,0.101618,0.098863,0.098539,0.117078,0.084646,0.096136,0.088251,0.096685,0.107369,0.114784,0.102735,0.113122,0.131793,0.100006,0.107394,0.097434,0.084945,0.118136,0.122529,0.102685,0.112343,0.102839,0.102216,0.086897,0.098632,0.110283,0.102477,0.106074,0.106858
3,2.572488,2.566155,2.545210,2.566743,3.145826,3.184911,3.195903,2.965963,2.990535,1.996801,1.998623,2.144884,1.797848,1.596707,1.585715,1.603353,1.593409,1.604141,1.569816,1.557606,1.577948,1.575832,0.047004,0.042892,0.060978,0.031725,0.077410,-0.022919,0.068967,-0.022923,-0.019051,0.047704,-0.038082,0.044993,0.018323,0.073878,0.038919,0.016057,0.077507,0.026952,0.043640,0.035327,0.037546,0.021017,0.044023,0.055654,0.023573,0.057943,0.048551,0.024412,0.053935,-0.022030,-0.021326,-0.047640,0.076121,-0.033956,0.088283,-0.061400,-0.033303,-0.060530,0.039322,0.051213,0.018229,0.044627,0.063297,-0.009556,0.024971,0.010789,-0.045957,-0.032008,-0.050311,-0.041567,-0.040456,-0.015409,-0.043887,-0.027687,0.003055,-0.039500,-0.033101,-0.051972,-0.026459,-0.018553,-0.010451,-0.038169,-0.025199,-0.031049,0.054604,0.051063,-0.049932,-0.035492,0.007251,-0.033040,-0.047908,-0.029753,-0.019798,-0.036026,-0.011945,0.030680,0.068010,0.034101,0.011696,0.009616,0.061511,-0.007457,0.003649,-0.008479,0.051600,0.018148,0.021164,0.071777,0.028815,0.061018,0.055852,0.040362,0.052909,0.016508,0.027853,0.016932,0.032560,0.169632,0.064951,-0.030664,-0.021956,-0.022331,-0.009626,0.055358,0.057286,0.069048,0.046362,-0.018269,-0.003401,-0.035541,0.008442,-0.002320,0.009443,0.005184,0.069527,0.010013,-0.006974,0.000535,-0.014618,0.005188,-0.019438,-0.011846,-0.020802,-0.007744,0.010002,-0.044024,-0.009573,0.012478
4,2.301206,2.331124,2.299448,2.734671,2.275877,2.280596,2.289524,2.757618,2.219719,2.232354,2.202122,2.226791,2.208938,2.865261,1.028959,1.019228,1.047063,1.038411,1.017169,1.089748,0.389778,0.364641,0.789583,0.774195,0.877923,0.792778,0.797722,0.788987,0.582435,1.002253,0.793617,0.566553,0.292756,0.300058,0.740910,0.796336,0.312650,0.333585,0.304328,0.292528,0.875841,0.895038,0.342489,0.320067,0.317414,0.300555,0.530217,0.288892,0.485902,0.297448,0.295940,0.297436,0.297362,0.312171,0.301791,0.293900,0.324847,0.305651,0.316184,0.298192,0.329517,0.304404,0.291642,0.304234,0.336065,0.278657,0.304492,0.314373,0.285948,0.277159,0.307701,0.298680,0.283607,0.318170,0.274007,0.298809,0.295684,0.303985,0.312333,0.301619,0.288072,0.247397,0.298572,0.290954,0.310036,0.311847,0.310736,0.322799,0.343424,0.334374,0.303563,0.301238,0.304974,0.314460,0.298059,0.290695,0.301589,0.510146,0.310590,0.307119,0.316221,0.328106,0.301078,0.270841,0.531623,0.484762,0.320203,0.304839,0.441362,0.453544,0.434233,0.458548,0.452665,0.438987,0.429427,0.434860,0.454661,0.433842,0.421654,0.424979,0.450005,0.432834,0.447168,0.446579,0.460232,0.443241,0.428807,0.452591,0.454682,0.588481,0.443168,0.445044,0.382885,0.313649,0.286549,0.438565,0.428341,0.431139,0.305768,0.308102,0.304785,0.291789,0.309832,0.292863,0.424966,0.290218,-0.034297,-0.030093,-0.019631,0.289234
5,2.711355,1.837414,1.823134,1.461049,1.749782,1.913375,1.919861,1.913647,1.905037,1.900120,1.881622,1.560273,1.747866,1.734070,1.558872,1.743367,1.530679,1.568040,1.579775,1.548868,1.560426,1.573968,1.461738,1.454273,1.565637,1.559794,1.416126,1.572462,1.731657,1.716105,1.728062,1.457693,1.546061,1.550085,1.490665,1.468370,1.578188,1.483143,1.489812,1.481231,1.377198,1.481052,1.509265,1.486903,1.389993,-0.001067,0.020260,1.499448,0.073777,0.095048,0.010750,0.075056,0.057398,0.067210,0.021590,-0.012936,0.071939,0.029800,0.073230,0.072520,0.056742,0.065787,0.071680,0.076899,0.067152,0.059565,0.074039,0.065193,0.062617,0.076607,0.066014,0.077237,0.067752,-0.075192,0.083957,-0.031345,0.003701,-0.007393,0.062687,0.026696,0.006942,0.014258,-0.003815,0.033384,0.028553,-0.002017,-0.034471,-0.009423,-0.034634,-0.025198,0.009472,0.007261,-0.012486,-0.028230,-0.022784,-0.046547,0.020945,-0.056313,-0.015870,-0.036013,-0.049884,-0.019802,-0.041806,-0.046520,0.010277,0.086289,0.067469,-0.027142,0.010897,0.008442,-0.038187,0.074920,0.055813,0.102676,-0.048603,0.007111,-0.037567,0.055882,0.059656,-0.070246,-0.051570,0.233305,0.237144,0.081356,0.090767,0.161005,0.092347,-0.024107,0.090995,0.084456,-0.073327,0.166017,-0.048120,-0.056239,-0.053729,-0.057019,-0.057198,-0.058826,0.142172,0.143550,0.110191,0.044908,-0.073200,0.021449,0.037096,0.071391,-0.081250,-0.041885,-0.044884,-0.064875
6,2.367628,1.259767,3.326063,2.534217,2.533158,2.525260,2.501602,2.893534,2.913545,2.524677,2.540209,1.581336,1.577233,1.540625,1.673157,0.103010,0.104530,0.107772,-0.003362,0.015034,0.001725,0.093116,0.096039,0.086345,-0.010516,0.008008,-0.024503,-0.033674,-0.006792,-0.016458,0.091008,-0.018632,-0.012385,-0.025738,0.007513,0.092526,0.091021,-0.021538,-0.032869,0.106236,0.004964,-0.003499,0.042720,0.001203,0.090137,0.019403,0.024239,0.063472,0.043257,0.090136,0.033269,0.044748,0.067951,0.027803,0.025942,0.004572,0.036743,0.026418,-0.033881,0.002106,-0.011424,-0.001264,0.022133,-0.012309,0.018404,-0.002648,-0.002940,0.032577,-0.012744,0.052581,0.024037,0.030566,0.038592,0.031731,0.030172,0.038007,0.040906,-0.003712,0.008102,0.030361,0.027502,0.028062,0.005987,0.017745,0.019855,0.011141,0.164601,0.028570,0.011229,-0.014749,0.000620,0.063225,0.080720,0.097511,0.078097,0.089824,0.089639,0.088582,0.085822,0.085454,0.101782,0.030260,0.058729,0.096114,0.054186,0.070258,0.086146,0.058351,0.074438,0.093620,0.083818,0.074788,0.072995,0.022238,0.036590,0.059912,0.007963,0.033679,0.096744,0.018705,0.075734,0.074395,0.082033,0.068069,0.079299,0.067558,0.085451,0.079915,0.108662,0.085025,0.079344,0.096923,0.094805,0.104322,0.076093,0.087226,0.074610,0.080419,0.089675,0.087974,0.087630,0.078462,0.237951,0.081112,0.125032,0.096088,0.104837,0.122374,0.129404,0.124434
7,2.478573,2.319002,2.335574,5.350033,4.121228,4.119546,3.505226,2.118840,2.113826,2.120485,2.120403,2.142645,1.283167,0.828505,0.916312,0.930690,0.502866,0.479172,0.494761,0.459738,0.664586,0.497808,0.462671,0.561356,0.567645,0.559088,0.474071,0.484609,0.469130,0.477535,0.477607,0.475574,0.487300,0.505219,0.470633,0.590441,0.572371,0.484710,0.601396,0.500372,0.495387,0.609063,0.579615,0.566915,0.474278,0.574476,0.475851,0.467659,0.514914,0.487906,0.326884,0.352252,0.320706,0.340943,0.312993,0.315811,0.341185,0.324456,0.308041,0.335991,0.340905,0.338290,0.313434,0.325940,0.322907,0.334728,0.308170,0.333110,0.321415,0.328345,0.324711,0.303735,0.322017,0.324567,0.289238,0.305461,0.279208,0.287211,0.324522,0.295096,0.314799,0.329187,0.340297,0.315872,0.285919,0.310658,0.309227,0.306746,0.311937,0.303039,0.312397,0.304153,0.297483,0.312104,0.270879,0.298812,0.313401,0.325766,0.303023,0.301329,0.311570,0.298692,0.292110,0.319622,0.313327,0.418778,0.419061,0.438433,0.391117,0.406885,0.406847,0.395854,0.408409,0.418095,0.416883,0.311512,0.287462,0.429642,0.429846,0.407001,0.259024,0.280879,0.278319,0.269524,0.286908,0.284935,0.282759,0.273943,0.299863,0.201414,0.150172,0.192296,0.004636,-0.022768,0.001620,-0.041223,-0.032036,-0.060770,-0.054298,-0.039784,-0.030752,-0.027259,-0.022460,-0.033054,-0.035558,-0.032451,-0.055934,-0.034827,-0.025348,-0.013812
8,2.419375,2.701715,3.003973,3.835093,4.696549,4.667593,4.675639,2.531385,3.550495,3.518333,3.536481,2.527558,3.875484,3.877817,3.881845,3.880376,3.852461,3.884004,3.163428,3.166149,3.153384,2.407131,2.425562,0.815189,0.808885,0.575951,0.758627,1.241893,0.584825,1.259487,0.717789,1.233721,0.702834,0.713299,0.639746,0.699788,0.700049,0.691740,0.705105,-0.002152,0.003062,-0.042988,-0.051473,0.002757,0.544348,0.546424,-0.014349,-0.009593,-0.017796,0.028873,-0.031522,0.073036,0.048755,-0.009000,-0.023491,0.040384,0.050451,0.065809,0.058217,0.072610,0.042714,0.027736,0.054147,0.075634,0.076580,0.076709,0.055825,0.008756,0.077262,-0.003658,-0.056467,-0.050300,-0.042086,-0.026980,-0.037011,0.044480,-0.062104,-0.040565,0.080253,0.045500,0.067112,0.026718,0.050569,0.022999,0.026728,-0.020322,-0.020654,-0.029967,0.087408,-0.042515,-0.046428,-0.050956,-0.003107,-0.022313,-0.025131,-0.025943,-0.019453,-0.033486,-0.043170,-0.041239,-0.047302,-0.037925,-0.034897,0.001503,-0.007608,-0.018104,-0.044392,-0.032161,-0.055244,-0.037672,0.005855,0.002651,0.022732,-0.014782,-0.033898,-0.042027,0.024751,-0.042557,-0.065825,-0.055242,0.057207,-0.030938,-0.024822,-0.042491,0.071701,-0.063038,-0.007628,-0.013076,-0.007467,0.007540,-0.039846,-0.026719,-0.014190,0.035763,0.005306,-0.054909,-0.010319,-0.010530,-0.024448,-0.007686,-0.007748,0.006819,0.044858,-0.020807,-0.012510,0.040950,0.059341,0.051665,0.057196,0.035213
9,2.354875,3.698094,3.707911,4.833406,4.822970,4.826402,3.271388,3.264433,1.608307,1.596334,2.009163,1.547108,1.488850,1.505117,1.521428,1.525702,1.695604,0.126829,0.136859,0.130457,0.107462,1.496696,0.136874,0.130223,0.158737,0.135970,0.155529,0.126411,0.527485,0.529358,0.518615,0.477051,0.544789,0.501138,0.589634,0.316036,0.329230,0.310346,0.289195,0.450561,0.307717,0.401449,0.374880,0.392006,0.382916,0.391792,0.372342,0.510313,0.148935,0.104813,0.135338,0.145084,0.148667,0.129205,0.380129,0.136737,0.135897,0.169201,0.321870,0.333031,0.349935,0.316633,0.342718,0.232508,0.207333,0.201993,0.224753,0.213081,0.236125,0.219113,0.208923,0.262249,0.220322,0.225515,0.294516,0.205087,0.284952,0.203759,0.193935,0.235797,0.230811,0.206608,0.212470,0.221269,0.208682,0.094285,0.080110,0.077332,0.103615,0.092935,0.037990,0.093608,0.114448,0.086755,0.080821,0.086208,0.089811,0.091727,0.073053,0.099684,0.094021,0.110764,0.084877,0.095094,0.113584,0.071768,0.095224,0.121353,0.092040,0.012575,0.113056,0.023806,-0.010061,0.011048,0.027463,0.027837,0.016952,-0.018183,0.010760,0.010943,0.004165,0.082858,0.016989,0.007940,0.007636,-0.014557,0.036418,0.062809,0.027257,0.020882,0.002583,0.045574,-0.031189,0.071418,0.007886,0.008095,0.026899,0.017669,0.082357,0.074334,0.035741,0.063736,0.103044,0.072291,0.099175,0.061352,0.036229,0.021555,0.066806,0.158213
