Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,6.240127,6.244822,4.180223,3.825977,3.894407,3.725186,1.107540,0.925624,0.542133,0.916010,0.437226,0.496442,0.319422,0.456094,0.320702,0.549686,0.355759,0.496505,0.345019,0.171346,0.544631,0.553408,0.688244,0.262835,0.150590,0.141714,0.367668,0.278190,0.363609,0.169792,0.374686,0.247034,0.025322,0.141037,0.188291,0.186339,0.267367,0.316783,0.136733,0.239729,0.713214,0.478464,0.292459,0.298984,0.235481,0.123550,0.166519,0.405004,0.253745,0.360872,0.285878,0.524250,0.238429,0.180248,0.052742,0.216176,0.202600,0.307466,0.418184,0.254001,0.327149,0.364123,0.399574,0.298400,0.305078,0.209284,0.024001,0.212445,0.264600,0.158106,0.169312,0.153568,0.210221,0.163084,0.393790,0.237824,0.255445,0.222572,0.147420,0.210803,0.274502,0.252047,0.273119,0.247827,0.129442,0.226084,0.060871,0.324365,0.615669,0.217066,0.313736,0.202348,0.854739,0.232361,0.157082,0.653938,0.763731,0.285525,0.261535,0.335217,0.634567,0.256565,0.298616,0.345805,0.202478,0.212341,0.448771,0.649475,0.199334,0.073418,0.219135,0.351589,0.298183,0.176244,0.363064,0.135631,0.411885,0.232628,0.332448,0.206660,0.317259,0.685018,0.662074,0.178620,0.194921,0.393280,0.587700,0.047731,0.648909,0.719574,0.177140,0.771456,0.377278,0.209495,0.247211,0.173154,0.206511,0.211638,0.254248,0.166386,0.702573,0.355863,0.009595,0.136569,0.328023,0.058047,0.112087,0.364663,0.357258,0.140803
1,5.270448,5.600334,5.502457,6.465689,4.435798,1.910868,4.437249,1.515183,4.138242,0.834088,0.751660,1.983003,1.621254,1.574363,1.619870,0.702510,1.631141,1.407983,1.753255,0.957783,0.769980,1.101293,0.922251,1.050842,1.311358,0.490334,0.939781,1.156906,1.217599,0.268525,0.865074,0.229424,0.418999,0.433531,0.217557,0.662818,0.200463,0.242631,0.358879,0.252165,0.139462,0.879086,0.159406,0.252128,0.231274,0.351982,0.340653,0.028434,0.347197,0.374520,0.291079,0.182399,0.498124,0.246156,0.263521,0.325528,0.677475,0.228163,0.220487,0.235827,0.232839,0.347132,0.151840,0.198899,0.188679,0.211117,0.383711,0.316212,0.325188,0.218800,0.157097,0.797226,0.234627,0.471489,0.611808,1.434875,0.336264,0.225730,0.343119,0.845403,0.209436,0.298533,0.277637,0.057227,0.377402,0.322020,0.080164,0.167130,0.066151,0.366595,0.367651,0.282378,0.411336,0.300945,0.560946,0.199072,0.341248,0.063910,0.279117,0.386688,0.282251,0.291984,0.250077,0.103258,0.197481,0.213072,0.489096,0.294562,0.179935,0.219838,0.382191,0.297833,0.816388,0.224868,0.224617,0.120783,0.322816,0.233337,0.171027,0.201658,0.316538,0.352652,0.252511,0.288009,0.223858,0.255273,0.160885,0.191244,0.042034,0.212217,0.266452,0.179068,0.260674,0.157719,0.272428,0.245786,0.184808,0.535343,0.149605,0.185018,0.745055,0.166180,0.190344,0.360905,0.214661,0.454535,0.084571,0.224576,0.270312,0.196414
2,3.380160,2.237137,2.628665,2.487065,0.963462,1.295333,1.291078,1.061445,1.120004,1.136755,0.815055,0.721877,0.608761,1.243305,0.645181,1.472510,0.941016,0.852057,0.951263,0.865096,0.869440,0.945153,0.918445,0.855646,0.750366,0.811496,0.889525,0.904684,0.849296,0.939219,0.841947,0.851701,0.768325,0.863471,0.545183,0.782130,0.772371,0.685930,0.157806,1.394777,0.753566,0.775727,0.517679,0.825649,0.690175,0.255421,0.317888,0.179222,0.163217,0.171000,0.292256,0.167992,0.298080,0.318524,0.448799,0.179617,0.251890,0.253292,0.302103,0.157894,0.259870,0.178390,0.280047,0.203652,0.166033,0.204723,0.409466,0.185401,0.393374,0.263059,0.518315,0.412294,0.208980,0.202498,0.325842,0.423644,0.162318,0.319350,0.497137,0.177632,0.302087,0.907277,0.183657,0.215864,0.268709,0.178834,0.163710,0.073098,0.309945,0.152492,0.353097,0.007811,0.222376,0.234523,1.040389,0.789068,0.232339,0.238024,0.152848,0.858164,0.164654,0.182610,0.167470,0.354548,0.319248,0.164496,0.738584,0.173780,0.193193,0.047995,0.122259,0.310095,0.174535,0.330281,0.371823,0.276594,0.196312,0.883765,0.294273,0.746067,0.313155,0.136110,0.246238,0.257570,0.053643,0.170044,0.105535,0.286943,0.209661,0.281725,2.031697,0.249386,0.316546,0.281735,0.168871,0.158466,0.184199,0.165289,0.326411,0.227816,0.020702,0.242308,0.971949,0.184999,0.199972,0.284692,0.759744,0.210308,0.181031,0.157678
3,2.198462,3.770544,3.407177,1.696377,2.265434,2.195616,1.859097,1.184438,1.712707,2.001716,1.248477,1.710614,1.169138,0.508047,1.104799,0.390829,0.413921,0.394633,1.000617,0.623735,0.709417,0.379037,0.423458,0.461272,0.452813,0.443389,0.478226,0.491281,0.937755,0.420680,0.593256,0.418389,0.579772,0.492650,0.594953,0.439020,0.607487,0.665641,0.478546,0.468084,0.397928,0.473565,0.411108,0.636994,0.462348,0.434785,0.556479,0.499789,0.566222,0.364811,0.543976,0.852055,0.641680,0.357944,0.242753,0.244210,0.350835,0.377888,0.350749,0.723697,0.446746,0.218584,0.371353,0.446259,0.468475,0.403445,0.335385,0.338457,0.339783,0.463053,0.216159,0.460616,0.393777,0.402895,0.483379,0.198000,0.205739,0.316966,0.354985,0.429521,0.619543,0.229524,0.377165,0.191663,0.370285,1.318287,0.375122,0.359739,0.330048,0.377520,0.347328,0.382215,0.414014,0.241737,0.414885,0.396851,0.936106,0.773774,0.573617,0.237428,0.400810,0.741177,0.136740,0.786108,0.378771,0.339922,0.167825,0.178014,0.171108,0.160430,0.761561,0.218765,0.185841,0.356791,0.405705,0.709894,0.236083,0.203625,0.558885,0.260263,0.307379,0.283897,0.344361,0.193845,0.414700,0.244007,0.050360,0.426170,0.248307,0.048111,0.194917,0.051579,0.131980,0.098532,0.243649,0.195701,0.190456,0.114076,0.208416,0.179825,0.185026,0.154781,0.172575,0.165233,0.349285,0.145848,0.167135,0.094309,0.025724,0.139649
4,0.998429,0.988713,1.074547,0.830919,0.924158,1.087171,1.021251,0.819824,1.086249,0.565660,0.268279,0.531464,0.161661,0.521806,1.122711,0.731617,1.157552,0.784688,0.272358,0.862539,0.642034,0.778400,0.293823,0.319322,0.317351,0.146598,0.234093,0.151932,0.640409,0.507691,0.296864,0.361609,0.288128,0.133773,0.273725,0.324385,0.331090,0.158639,0.214695,0.293338,0.290109,0.669322,0.174397,0.180242,0.149767,0.711908,0.812074,0.073569,0.262039,0.230514,0.266102,0.233584,0.293021,0.200447,0.441016,0.234881,0.278100,0.236292,0.169620,0.108908,0.271740,0.132541,0.355234,0.429780,0.094923,0.096211,0.186607,0.156756,0.218658,0.151538,0.330418,0.375506,0.394165,0.160609,0.394785,0.153300,0.200347,0.001284,0.171099,0.410929,0.261629,0.165573,0.217283,0.207105,0.338588,0.356288,0.348486,0.324686,0.297142,0.150280,0.182232,0.292292,0.210338,0.273001,0.192295,0.897451,0.764340,0.650540,0.687732,0.212912,0.933233,0.164569,0.557380,0.755787,0.715393,0.286451,0.624190,0.143671,0.309273,0.158510,0.120780,0.270608,0.251462,0.320907,0.247520,0.273890,0.259253,0.108467,0.005920,0.634958,0.117109,0.160052,0.036412,0.473695,0.397730,0.016844,0.448471,0.056304,0.176105,0.468039,0.396266,0.601413,0.301780,0.225785,0.566779,0.109680,0.103694,0.261425,0.550658,0.143578,0.108814,0.165382,0.298803,0.199653,0.832097,0.891031,0.618011,0.182635,0.286072,0.198382
5,1.996083,3.103771,3.354955,0.707750,0.826243,0.729087,0.827859,0.626326,1.752867,0.692175,0.851431,0.816263,0.857041,0.787562,0.722386,0.825664,0.735464,0.672374,0.223102,0.958121,0.692091,0.288869,0.124915,0.740277,0.174022,0.200093,0.508173,0.452622,0.314587,0.293507,0.727848,0.816735,0.661897,0.266501,0.698323,0.719376,0.267964,0.618636,0.642854,0.789279,0.839998,0.672558,0.161840,0.757930,0.266497,0.714393,0.419878,0.428006,0.289232,0.703640,0.172423,0.754303,0.323187,0.176188,0.338871,0.655520,0.649412,0.202076,0.233208,0.286653,0.277575,0.317085,0.157448,0.843478,0.166199,0.217452,0.284595,0.287605,0.845870,0.345804,0.095311,0.334709,0.281918,0.257361,0.294892,0.232740,0.301535,0.217031,0.313467,0.230428,0.333085,0.292469,0.024083,0.333960,0.134275,0.151113,0.197165,0.350560,0.350443,0.335157,0.287018,0.217055,0.197620,0.188839,0.162148,0.281471,0.180723,0.259141,0.240884,0.306960,0.195200,0.733359,0.636581,0.551170,0.303911,0.877838,0.804557,0.188245,0.335614,0.895391,0.047043,0.245657,0.051028,0.004611,0.198964,0.305522,0.162398,0.261956,0.465096,0.358664,0.251344,0.029793,0.423845,0.350632,0.147370,0.387441,0.407754,0.187293,0.461738,0.359331,0.254021,0.186365,0.992100,0.146267,0.185318,0.264383,0.110014,0.422655,0.192546,0.223281,0.282953,0.047581,0.308941,0.155257,0.192055,0.270838,0.278547,0.360724,0.121824,0.481543
6,0.489338,1.091837,0.765951,0.576877,0.565070,0.591974,0.712719,0.472695,0.513090,0.477281,0.501252,0.242182,0.368556,0.922654,1.252500,0.301895,0.481666,0.417698,0.388733,0.236566,0.207111,0.272193,0.435261,0.473864,0.450669,0.357107,0.212249,0.421015,0.282927,0.211019,0.625560,0.289925,0.192196,0.505856,0.189532,0.201315,0.305254,0.078166,0.185361,0.254291,0.082423,0.377615,0.283861,0.282983,0.178784,0.213821,0.143722,0.231612,0.161396,0.311600,0.366963,0.321959,0.194630,0.239628,0.188475,0.344471,0.314739,0.191331,0.303338,0.217474,0.217320,0.160737,0.161888,0.294427,0.413448,0.132940,0.335383,0.385175,0.364792,0.063240,0.170779,0.204909,0.180432,0.213332,0.369471,0.471467,0.065178,0.265727,0.195993,0.153240,0.336464,0.163734,0.451382,0.259061,0.053430,0.425551,0.278096,0.385813,0.163635,0.880750,0.993205,0.933638,0.721283,0.251207,0.196586,0.143873,0.790543,0.200483,0.206234,0.344386,0.358002,0.334731,0.225218,0.467106,0.275688,0.217760,0.189891,0.470262,0.308696,0.322615,0.539631,0.418457,0.211336,0.204351,0.211493,0.227870,0.235272,0.190195,0.223924,0.390122,0.289972,0.445216,0.503026,0.180462,0.369169,0.425679,0.200755,0.182698,0.307413,0.261560,0.124059,0.315952,0.355278,0.166888,0.351534,0.198801,0.062772,0.065563,0.314330,0.513838,0.299259,0.298556,0.348660,0.425874,0.197241,0.369011,0.198438,0.342974,0.224827,0.341051
7,3.207671,5.190469,3.166311,3.413314,3.450428,3.555249,0.414756,0.977596,0.964413,0.953070,1.020742,1.068188,0.492929,0.764698,0.494722,0.554355,0.494742,0.487063,0.588988,0.574080,0.502570,0.603426,0.540305,0.601001,0.492856,0.587915,0.283322,0.601911,0.612761,0.509007,0.489870,0.637010,0.299139,0.419867,0.578253,0.271190,0.534128,0.510927,0.582222,0.466874,0.492878,0.623926,0.526629,0.583313,0.563428,0.633049,0.596665,0.616245,0.612857,0.410211,0.707560,0.324707,0.497977,0.052342,0.312457,0.247514,0.019627,0.288863,0.338812,0.432921,0.445682,0.412245,0.239839,0.267026,0.319607,0.370834,0.120408,0.208464,0.390216,0.315361,0.654316,0.102612,0.280519,0.027394,0.414420,0.396739,0.079920,0.495682,0.286113,0.296247,0.170024,0.346078,0.370266,0.179922,0.365380,0.160575,0.260586,0.124906,0.279425,0.297446,0.310828,0.209350,0.288972,0.278514,0.281866,1.320691,0.234828,0.841707,0.168079,0.311961,0.325798,0.149761,0.736670,0.331412,0.079637,0.158353,0.353169,0.177043,0.115099,0.329258,0.557892,0.476852,0.237356,0.225756,0.166487,0.443629,0.865533,0.179808,0.751146,0.850573,0.046328,0.039525,0.058235,0.223901,0.188801,0.183251,0.225440,0.435880,0.154124,0.608418,0.415102,0.178797,0.299768,0.241384,0.283610,0.431169,0.305409,0.179600,0.393245,0.168507,0.582667,0.073763,0.431208,0.236637,0.278144,0.352724,0.114720,0.183132,0.200248,1.468663
8,2.197536,5.269211,5.006428,3.841981,4.952602,2.846966,4.048589,3.577201,3.916552,2.495347,2.549964,2.354510,2.536805,2.615354,2.545877,2.459030,2.288184,0.518514,0.564536,0.538824,0.564904,0.354288,0.380553,0.519524,0.206790,0.492905,0.394488,0.394443,0.231012,0.197896,0.547436,0.372353,0.562143,0.283195,0.364830,0.349785,0.507662,0.126777,0.319228,0.317554,0.448041,0.173591,0.434312,0.176707,0.171478,0.152471,0.061706,0.112464,0.075541,0.071125,0.320550,0.141580,0.123217,0.153932,0.247050,0.104670,0.163352,0.242189,0.163741,0.411141,0.454259,0.366230,0.360495,0.476471,0.169112,0.329915,0.157878,0.216973,0.378585,0.207493,0.391070,0.289088,0.291456,0.368450,0.163400,0.244896,0.356265,0.279228,0.298944,0.314255,0.281375,0.333392,0.177386,0.324500,0.360937,0.312060,0.142579,0.177614,0.171055,0.318666,0.059723,0.064349,0.390530,0.331874,0.316162,0.338807,0.863187,0.328077,0.860923,0.242538,0.972650,0.172317,0.694073,0.266996,0.161917,0.285755,0.212027,0.267341,0.353314,0.184001,0.166360,0.624238,0.258187,0.114272,0.448733,0.040683,0.236200,0.184217,0.032610,0.245491,0.287313,0.206695,0.275685,0.423407,0.307776,0.299456,0.166209,0.136362,0.021690,0.209964,0.134802,0.197096,0.465261,0.140342,0.491534,0.323021,0.523705,0.398882,0.248938,0.209670,0.317563,0.336834,0.098130,0.130592,0.227446,0.209483,0.145019,0.313385,0.444594,0.304919
9,3.471097,8.380612,6.749314,4.089870,4.876407,2.380524,2.564225,2.414845,2.329212,0.402312,0.414943,0.166140,0.979559,0.162345,0.914921,0.347775,0.340130,0.976254,0.498031,0.379156,0.330670,0.314204,0.565305,0.314971,0.425326,0.643593,0.333734,0.379448,0.431114,0.485737,0.264186,0.383551,0.386098,0.480166,0.635037,0.368240,0.261659,0.380351,0.377496,0.412499,0.187687,0.389248,0.399856,0.454822,0.474187,0.166174,0.375640,0.346317,0.391588,0.331831,0.470025,0.517833,0.354463,0.268662,0.361701,0.328803,0.423667,0.257120,0.396887,0.467189,0.472924,0.164721,0.475844,0.297622,0.258688,0.337702,0.278939,0.330658,0.269156,0.351486,0.317345,0.547987,0.353353,0.363675,0.517291,0.341261,0.477836,0.235838,0.257934,0.546736,0.382954,0.740553,0.191723,0.281388,0.329021,0.425975,0.419787,0.552874,0.689484,0.467025,0.332026,0.394313,0.252715,0.248789,0.434103,0.353091,0.394363,0.404177,0.253877,0.655229,0.182029,0.084114,0.314690,0.347344,0.297339,0.233360,0.258110,0.506597,0.139324,0.962809,0.248681,0.464573,0.263353,0.330464,0.384831,0.125357,0.421208,0.330475,0.208248,0.173913,0.129106,0.718933,0.179464,0.214656,0.151855,0.306397,0.172584,0.113295,0.116997,0.493103,0.156294,0.343438,0.740791,0.172447,0.242224,0.251170,0.180050,0.118453,0.343923,0.179078,0.727952,0.258394,0.285978,0.192189,0.056284,0.191520,0.358035,0.215759,0.224811,0.249159
