Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,5.751398,5.580378,3.441947,3.785526,3.571740,3.555998,0.933909,1.254679,0.641545,0.505654,0.546703,0.508404,0.213472,0.259661,0.391432,0.233155,0.538725,0.401732,0.258036,0.266584,0.354502,0.171732,0.072381,-0.018450,0.054713,0.164289,0.150624,0.086948,0.107525,0.169460,0.168274,-0.008980,0.028653,-0.027928,0.041373,0.101907,0.104205,0.126273,0.076004,0.102363,0.095639,0.084582,0.013076,0.019877,-0.009512,-0.029780,0.031612,0.034132,0.053093,0.055833,0.063568,0.064550,0.093862,0.071168,0.003895,-0.007266,0.021569,0.011273,0.007746,0.236160,0.219525,0.024617,-0.020006,0.157249,0.180069,0.149111,0.171234,0.157204,0.149625,0.004813,0.135493,0.214711,0.208229,0.194145,0.035088,0.120159,0.122490,0.103665,0.141015,0.146477,0.121850,0.222607,0.159165,0.068174,0.266691,0.157557,0.180596,0.086390,0.097407,0.069012,0.153333,0.174803,0.164495,0.167931,0.156678,0.192048,0.267814,0.208832,0.179022,0.121300,0.269665,0.077335,0.268396,0.180689,0.185286,0.193190,0.144061,0.155146,0.146038,0.205957,0.201461,0.185826,0.200658,0.166096,0.187077,0.221789,0.196632,0.199974,0.177303,0.184042,0.199182,0.199361,0.204028,0.197281,0.037617,0.185415,0.193401,0.196449,0.177212,0.015276,0.001475,0.008335,0.034513,-0.015752,-0.000095,0.045817,0.024082,0.001220,0.011837,0.002844,-0.006712,0.011514,0.037858,0.155716,0.201260,0.017944,0.179829,0.000341,0.016260,0.021935
1,5.646316,3.623111,5.016042,3.531174,2.838715,1.505492,1.582952,1.567841,1.590888,0.798365,1.485646,1.661163,1.792363,1.617681,0.920671,1.144231,0.915589,1.160604,1.164153,0.367780,0.976534,0.237506,0.266412,0.252601,0.234710,0.218156,0.180624,0.205058,0.173693,0.003175,0.015769,0.195227,0.187009,0.170225,0.183849,0.148141,0.176542,0.188562,0.188562,0.220226,0.201565,0.026493,0.011409,0.003644,0.012544,0.169707,0.008141,0.025439,-0.000106,0.002898,0.192659,0.169218,0.163478,0.132908,0.152103,0.034198,0.018481,0.001685,0.007226,0.030983,0.178856,0.188172,0.152056,0.003666,0.202790,0.188304,0.187935,0.174525,0.187953,0.165167,0.181871,0.171726,0.168090,0.176525,0.156564,0.187441,0.173105,0.195392,0.178375,0.174540,0.075469,0.228731,0.111401,0.104177,0.024023,0.020870,0.107726,0.157738,0.151349,0.174943,0.056520,-0.001568,0.028663,0.130550,0.019409,0.018445,0.135131,0.120238,0.121572,0.106898,0.148145,0.009516,-0.004062,0.001063,-0.011680,-0.019645,0.003525,0.007143,-0.011440,-0.006431,-0.011270,0.103016,0.148609,0.156529,0.043573,0.034793,0.037159,0.019589,0.046105,0.023988,0.027290,0.032465,0.008933,0.020870,0.032838,0.015149,0.013065,0.029572,0.026911,0.041401,0.024097,0.017868,0.015655,0.015616,0.031264,0.040029,0.039788,0.015452,0.055284,0.005664,0.035868,0.222118,0.012112,0.040970,0.032753,0.023666,0.000702,-0.002798,0.028131,0.160268
2,3.637006,2.763655,0.969618,1.460508,1.276965,1.311184,1.079446,0.859151,0.824387,0.646863,0.827766,0.637775,0.659117,0.664322,0.838369,1.381540,0.837533,0.770762,0.780839,0.886157,0.841747,0.786575,0.778381,0.760881,0.850755,0.870613,0.808994,0.798301,0.804264,0.809452,0.827915,0.807677,0.762531,0.764195,0.775360,0.752448,0.713134,0.644377,0.132152,0.120903,0.140559,0.179963,0.150479,0.156628,0.176660,0.172590,0.178749,0.179844,0.164532,0.193062,0.136918,0.160117,0.152729,0.022781,0.044532,0.028088,0.014885,-0.001232,0.005557,-0.005753,0.155324,0.123044,0.010510,0.013536,0.005992,0.030315,0.008037,0.037040,-0.012925,0.012199,0.001251,0.015914,0.022559,0.019849,0.012066,0.001788,0.015454,0.024351,0.015561,0.031654,0.031417,0.004055,0.030935,0.026337,0.019870,0.024127,0.029930,0.041934,0.014287,0.026515,-0.008118,0.017586,-0.010380,0.018130,0.026868,-0.001276,0.016621,0.228861,0.014147,0.035276,0.027337,0.009879,0.039058,0.122736,0.209147,-0.001739,0.007114,0.042849,0.019458,0.162461,0.113264,0.144350,0.137238,0.008456,0.139562,0.127947,0.117995,0.113469,-0.017615,0.032300,0.022101,0.035053,0.008109,0.024461,0.017307,0.026433,0.002133,0.013372,0.004637,0.167427,0.156093,0.008770,-0.000498,0.016955,0.000531,-0.015827,-0.004142,0.026221,0.008356,-0.006424,-0.001980,0.033179,0.007896,0.034973,0.078401,0.007161,0.019066,0.011044,0.009112,0.009520
3,3.036781,3.111562,3.244072,1.665636,1.577111,0.943092,0.987055,0.985332,0.965207,1.083467,0.900209,0.937913,0.885273,0.186384,0.414058,0.329456,0.318798,0.213833,0.351946,0.363795,0.154049,0.348743,0.397358,0.307495,0.397973,0.371434,0.343725,0.406454,0.158676,0.450500,0.303902,0.355208,0.363602,0.356679,0.344571,0.360695,0.339687,0.371490,0.389382,0.398627,0.334548,0.326706,0.429708,0.577604,0.294724,0.278549,0.306335,0.319077,0.331131,0.316234,0.368676,0.355060,0.321168,0.367127,0.155804,0.200702,0.165020,0.147222,0.142824,0.152176,0.336055,0.139513,0.204134,0.213408,0.186668,0.175072,0.202569,0.207289,0.205934,0.186435,0.211149,0.167312,0.186535,0.201553,0.175961,0.182024,0.175298,0.192433,0.161711,0.200150,0.179104,0.158009,0.179225,0.289151,0.175746,0.178934,0.188796,0.198310,0.196942,0.254017,0.253659,0.091463,0.168831,0.174681,0.599259,0.604287,0.592102,0.022109,-0.009333,0.028410,0.032128,0.003927,0.007300,-0.014026,0.030441,0.018574,0.013204,0.172910,0.178180,-0.002032,0.005342,0.164758,0.035779,0.025555,0.018645,0.190579,0.174095,0.178014,0.155786,0.188526,0.181374,0.179862,0.167674,0.201418,0.184776,0.179996,0.156499,0.164018,0.177221,0.158724,0.034601,0.022327,0.008312,0.009367,0.012751,0.026923,0.008775,0.006612,0.006812,0.099802,0.014619,0.030920,0.119171,0.126745,0.015378,0.019263,0.113655,0.289319,0.126365,0.053175
4,0.811001,0.915337,0.922916,0.930533,0.915076,1.293313,0.933092,0.962625,0.858303,0.546031,0.246129,0.246967,0.242298,0.244361,0.226793,0.264008,0.261937,0.241079,0.202492,0.247240,0.246418,0.234332,0.229088,0.221573,0.246422,0.254543,0.264715,0.236949,0.220971,0.223297,0.196678,0.079303,0.106002,0.116385,0.090244,0.143894,0.111825,0.131268,0.121071,0.109640,0.100682,0.104824,0.035516,0.006235,0.004502,0.138361,0.195835,0.201097,0.136950,0.171927,0.075660,0.218779,0.162896,0.080988,0.098703,0.157020,0.168482,0.111099,0.091448,0.105543,0.091002,0.113814,0.122870,0.131015,0.108747,0.087609,0.166163,0.064157,0.036695,-0.003763,0.037017,0.011994,0.031306,0.043542,0.036192,0.045783,-0.006704,-0.014435,0.022466,-0.021832,0.006937,0.008495,0.010212,-0.018801,0.134406,0.117882,0.112124,0.020777,-0.007826,0.003266,0.122085,0.133664,0.126139,0.121364,0.152928,0.452731,0.129076,0.464038,0.601543,0.616413,0.632215,0.587502,0.462323,0.602642,0.619465,-0.014383,-0.003600,0.020393,0.013331,0.127235,-0.021073,0.130154,-0.007215,0.006050,0.002259,-0.003497,0.002983,0.022279,0.011989,0.177183,-0.000252,0.007564,-0.004262,0.148640,0.164027,0.177696,0.079319,0.079261,-0.009201,0.192099,0.152316,0.029183,0.041557,0.012181,0.014225,0.115289,0.014418,0.144491,0.016134,0.019668,0.000974,-0.003573,0.021072,0.062713,0.010784,0.177766,0.181257,0.183867,0.185463,0.172657
5,2.138876,1.918877,1.918073,0.361805,0.320361,0.305571,0.738838,0.673975,0.606234,0.757535,0.848062,0.733252,0.768899,0.321175,0.804997,0.719842,0.721778,0.268460,0.301501,0.312017,0.330724,0.336066,0.182819,0.166197,0.129193,0.126229,0.122306,0.143086,0.123688,0.127693,0.120920,0.220141,0.143590,0.614144,0.583094,0.589315,0.617135,0.114683,0.129419,0.123896,0.161818,0.188392,0.156731,0.119014,0.124318,0.126079,0.140611,0.597441,0.582612,0.584928,0.583311,0.625654,0.133984,0.140768,0.134559,0.149353,0.145395,0.144177,0.157449,0.126793,0.157327,0.208802,0.187106,0.333564,0.034210,0.330876,0.132170,0.296078,0.269395,0.181420,0.160205,0.278353,0.271431,0.143996,0.158786,0.146813,0.124787,0.133761,0.153091,0.134282,0.152451,0.166720,0.126660,0.157762,0.295255,0.147796,0.129910,0.134053,0.117479,0.044845,0.154062,0.252681,0.101886,0.105133,0.080715,0.105134,0.083678,0.133041,0.116425,0.329926,0.271010,0.212427,0.332681,0.272287,0.278597,0.321852,0.295707,0.078516,0.158020,0.190021,0.046206,0.012338,0.011928,0.025235,0.033509,0.012489,0.019588,0.032319,0.037887,0.022817,-0.004884,0.024882,0.014836,0.021767,0.039571,0.027894,0.146660,0.123008,0.024377,0.041248,0.023327,0.041756,0.021376,0.023018,0.006717,0.012715,0.018449,0.024452,0.173921,0.161301,0.166150,0.183311,0.182662,0.011482,0.114074,0.050439,0.143722,0.032575,0.035896,0.045789
6,0.541051,0.433915,0.398310,0.343015,0.338458,0.376351,0.367812,0.360230,0.384709,0.369154,0.368371,0.169313,0.155522,0.210210,0.365538,0.197378,0.181649,0.177768,0.140802,0.018988,0.159836,0.158351,0.165479,0.041381,0.038597,0.055343,0.027967,0.036177,0.045349,0.156384,0.175376,0.176626,0.039652,0.073877,0.007148,0.072383,0.036613,0.013130,0.023177,0.015362,0.040742,0.040094,0.016199,-0.007535,0.019166,-0.004755,0.008841,0.032397,0.140281,0.000797,0.031313,0.050306,0.036831,0.003943,0.056255,0.047498,0.121395,0.114456,0.115355,0.120805,0.044143,0.062756,0.065051,0.016443,0.032909,0.024300,0.036705,0.025245,0.031854,0.006391,0.029895,0.044894,-0.007284,0.039598,0.030919,0.018690,0.014733,0.035035,0.019391,0.026699,0.013966,0.015379,0.003482,0.017600,0.012519,0.011437,0.162846,0.147437,0.118871,0.119297,0.141974,0.024646,0.145714,0.139035,0.109796,0.121651,0.150701,0.142107,0.135726,0.157353,0.137063,0.016585,0.008544,0.023955,0.025646,0.013280,-0.008193,0.026423,0.010846,0.103413,0.112790,0.122992,-0.001159,0.030862,0.029927,0.036283,0.023409,0.187052,0.180993,0.191083,0.177596,0.186923,0.171323,0.082270,0.132046,0.136710,0.155706,0.142358,0.173308,0.157629,0.144571,0.170639,0.154111,0.015028,0.192144,0.151102,0.035223,0.194118,0.109809,0.139739,0.120678,0.153375,0.129016,0.116325,0.023731,0.133740,0.025297,0.026267,0.069677,0.221359
7,3.276142,0.999848,3.315373,0.987767,1.003404,0.478483,0.392006,0.403511,0.482605,0.301146,0.209743,0.290227,0.302944,0.297801,0.206196,0.327551,0.313906,0.235779,0.418889,0.513516,0.445829,0.435704,0.443232,0.444161,0.428372,0.440045,0.441081,0.429552,0.452390,0.432336,0.431811,0.403406,0.469439,0.475114,0.468536,0.473121,0.451343,0.468032,0.466484,0.438312,0.487853,0.467875,0.250513,0.520182,0.527994,0.502211,0.289922,0.270732,0.286775,0.290359,0.283752,0.510427,0.311325,0.205913,0.157991,0.055668,0.022520,0.075919,0.015363,0.045534,0.078556,0.059507,0.026471,0.027065,0.031894,0.093854,0.046228,0.046205,0.048564,0.039917,0.057761,0.054998,0.030708,0.021005,0.008574,0.181502,0.220033,0.184491,0.176172,0.026044,0.170392,0.171079,0.026419,0.020858,0.025627,0.012378,0.037195,0.156325,0.009255,0.010375,0.028756,0.112782,0.112754,0.119070,0.107578,0.008467,0.077986,0.130367,0.128647,0.122381,0.144413,0.122387,0.115900,0.132986,0.153804,0.123342,0.136916,0.134691,0.157648,0.122223,0.167567,0.145614,0.218794,0.197820,0.200470,0.217859,0.197710,0.217281,0.273646,0.165657,0.203946,0.154798,0.034905,0.040708,0.034823,0.149338,0.075416,0.189999,0.195818,0.195679,0.168090,0.202507,0.261317,0.051437,0.050432,0.070664,0.148401,0.034653,0.035592,0.030148,0.036444,0.036209,0.041007,0.028084,0.038615,0.052881,0.159169,0.217291,0.546804,0.556982
8,3.416062,2.532314,4.944108,3.403496,5.093063,2.362956,3.097135,2.530618,3.070044,2.561857,0.555320,0.560427,0.554934,0.560208,2.224649,2.216239,0.353201,0.393108,0.577120,0.409136,0.216634,0.215802,0.225185,0.213594,0.278417,0.222468,0.225695,0.217597,0.228698,0.021494,0.152073,0.133945,0.050408,0.007107,0.033993,0.032831,0.039436,0.022464,0.021699,0.119062,0.132390,0.034260,0.005232,0.181168,0.138144,0.002424,0.039553,0.018321,0.050980,0.052174,0.013897,0.010184,0.024378,0.071554,0.035158,0.051165,0.015697,0.004823,0.009783,0.010644,0.012774,0.013528,0.022411,0.176579,0.121870,0.136679,0.153197,0.012883,0.022716,0.138992,0.026191,0.024902,0.025552,0.013470,0.017398,0.019534,0.036971,0.187109,0.161151,0.207416,0.182923,0.195311,0.196977,0.010962,0.010023,0.012075,0.020892,0.021270,0.013017,0.043907,0.053862,0.151348,0.056889,0.178546,0.218451,0.205383,0.178734,0.209094,0.299727,0.195417,0.196461,0.192906,0.144952,0.191597,0.148306,0.148082,0.171610,0.067147,0.075963,0.045736,0.037587,0.018287,0.056650,0.026109,0.016101,-0.006703,0.006449,0.055126,0.014334,0.010134,0.022938,0.011933,0.014426,0.031779,0.027604,0.032999,0.136455,0.082117,-0.004780,0.049623,0.053322,0.090412,0.117043,0.128375,0.116279,0.092986,0.077251,0.058988,0.133566,0.158847,0.097863,0.124673,0.001287,0.105481,0.041949,0.112237,0.109227,0.093912,0.117713,0.106190
9,5.264239,4.293923,4.694480,2.133099,2.389114,0.345838,0.319955,2.279307,0.428305,0.334986,0.337616,0.320505,0.316700,0.314472,0.320513,0.260351,0.358116,0.326013,0.303875,0.293063,0.184629,0.262339,0.265438,0.318792,0.312199,0.304599,0.127246,0.131188,0.134353,0.115931,0.143822,0.119875,0.131057,0.340863,0.292881,0.313073,0.309400,0.303832,0.308862,0.167408,0.130758,0.156252,0.322214,0.294589,0.109643,0.143946,0.328519,0.299895,0.328345,0.133924,0.121394,0.144996,0.128937,0.131630,0.132833,0.117861,0.128274,0.133270,0.146914,0.128394,0.121817,0.122982,0.137994,0.131573,0.143173,0.172036,0.170761,0.149877,0.148423,0.112763,0.176035,0.190449,0.189967,0.205539,0.175457,0.178882,0.149832,0.130215,0.141691,0.159631,0.123199,0.132753,0.141033,0.159370,0.136629,0.193361,0.265377,0.254725,0.272166,0.301118,0.244404,0.308248,0.341509,0.224191,0.220233,0.208410,0.158825,0.204126,0.200598,0.192963,0.211069,0.153986,0.004259,0.148885,0.160658,0.159244,0.140682,0.163364,-0.029680,0.015213,-0.015669,0.006495,-0.030830,-0.000720,-0.016312,0.001324,-0.028089,-0.007943,0.008060,-0.023456,0.028302,0.026489,0.013099,0.035849,-0.009277,0.016757,0.016708,0.062380,0.027819,0.006992,0.001907,0.044132,0.073614,0.010441,0.023562,0.050329,-0.016290,-0.034559,0.180939,0.062306,0.070507,0.051282,0.063528,-0.002158,0.004125,-0.016420,0.151760,0.147131,0.028358,0.039915
