Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.342369,4.10077,4.10453,3.924193,3.902949,4.041985,4.025245,4.008839,2.912921,2.808247,2.720874,2.697827,2.723961,2.72682,2.73723,2.724338,2.014341,2.412808,0.299369,0.274394,0.273956,0.27307,0.270778,0.258189,0.280177,0.248453,0.27249,0.263013,0.219428,0.219609,0.165686,0.204251,0.189475,0.169134,0.199654,0.183986,0.174073,0.188785,0.191546,0.207344,0.111772,0.157202,0.137491,0.135508,0.142245,0.154936,0.146596,0.148389,0.167719,0.175742,0.149004,0.152022,0.187731,0.159823,0.148262,0.171894,0.174864,0.15815,0.168239,0.149844,0.148152,0.161883,0.13153,0.147887,0.141387,0.131643,0.158248,0.149501,0.175543,0.140766,0.147741,0.15494,0.154489,0.152609,0.145569,0.175539,0.161504,0.145487,0.146247,0.168344,0.139727,0.151445,0.159483,0.154109,0.178103,0.166733,0.139498,0.136341,0.149027,0.156519,0.153212,0.155469,0.143485,0.026143,0.138621,-0.016733,0.179994,0.161995,0.170486,-0.018575,-0.021536,-0.010769,-0.012151,0.007887,-0.020469,-0.007492,-0.019267,0.002361,-0.028283,-0.006784,0.000272,-0.005077,-0.006863,-0.007877,0.004757,0.004399,0.047636,0.016453,0.035239,-0.005794,0.039729,0.032765,-0.012146,0.035792,0.03562,0.020153,0.002725,-0.004748,0.030729,0.041952,0.02936,0.024569,0.020499,-0.005976,0.026812,0.029856,0.02965,-0.019164,0.042818,0.021262,0.009157,0.01994,-0.020188,0.00567,0.02479,0.000482,0.014834,0.03413,0.058797,0.057643
1,6.381428,4.929877,2.115424,2.129669,1.703389,2.116999,2.099885,2.107056,1.082919,1.088819,1.067525,0.324445,0.347556,0.184081,0.19425,0.199059,0.168892,0.176362,0.188813,0.173922,0.170876,0.16399,0.189246,0.178489,0.171518,0.181001,0.164174,0.175019,0.148829,0.160994,0.193741,0.181686,0.178826,0.19426,0.173491,0.177,0.185942,0.211616,0.175556,0.163445,0.202333,0.205179,0.178716,0.191092,0.151836,0.178857,0.163269,0.19447,0.156776,0.15544,0.183464,0.14438,0.162982,0.045634,0.022093,0.024984,0.01576,0.020653,0.035822,0.030764,0.04123,0.026233,0.011227,0.029464,0.035577,0.024801,0.054118,0.030419,0.035067,0.009977,0.042426,0.038855,0.012223,0.013909,0.028286,0.069122,-0.01067,-0.00103,0.026718,0.008479,-0.005353,0.019225,0.040937,0.003233,-0.013674,-0.001793,-0.001849,0.011316,-0.005642,0.003995,0.020459,0.041971,0.03447,0.000257,0.030623,0.016966,-0.017548,0.008427,0.010058,0.025769,0.023126,-0.005633,0.011984,0.001775,-0.01197,-0.029737,0.024123,0.002392,0.004617,-0.006616,-0.000195,0.036888,0.008591,0.001461,0.005231,0.001529,0.028154,0.004454,0.006884,-0.002883,0.004125,0.015002,0.011174,0.034292,0.001539,0.026463,0.011358,-0.004909,-0.007689,0.034143,0.031222,0.015772,0.033374,0.017965,0.043634,0.03772,0.049614,0.028831,0.037719,0.036175,0.035002,0.009556,0.017846,0.033152,0.00413,0.029571,-0.000647,0.01277,0.028603,0.01878
2,5.471187,10.139883,5.931726,4.320936,4.335555,5.349416,3.708895,3.687091,3.660166,3.759468,3.755603,0.453767,0.459033,0.491033,0.42912,0.41162,0.372985,0.392923,0.405209,0.376917,0.422561,0.397962,0.411434,0.408993,0.403829,0.415096,0.386184,0.175963,0.165543,-0.0108,0.278841,0.011409,-0.017568,0.222553,0.216092,0.235099,0.169666,0.22472,0.220377,0.192583,0.159815,0.023571,0.022606,0.006782,0.023916,-0.011905,0.003662,0.011587,0.020602,0.01555,0.044348,0.004845,-0.005566,0.030479,0.032595,-0.004777,0.010796,0.035209,0.029581,0.001781,0.007691,0.026631,0.003782,0.017243,0.008448,0.009438,0.011098,0.041669,0.007672,0.002945,0.001545,0.006619,0.014738,0.023861,0.012422,0.004395,-0.014173,0.018185,0.004169,-0.007344,0.008787,0.014964,0.008925,0.018607,0.03923,-0.002492,-0.002639,0.010422,0.018608,0.012102,0.04253,0.0034,-0.019598,0.002351,0.028801,-0.003277,-0.018006,0.002291,0.008551,0.037159,0.031868,-0.014323,0.031675,0.030228,0.014035,0.013588,0.015512,0.014134,0.019518,0.000116,0.020224,0.022222,0.00043,0.052801,0.005537,-0.005241,0.012338,0.023397,0.017812,0.022564,0.001985,0.025961,0.00623,-0.009279,0.016556,0.00376,0.01371,-0.001782,0.012552,0.027029,0.016482,0.016945,-0.013452,0.016661,0.009131,0.024602,0.042039,0.037488,0.001128,0.012718,0.021248,-0.002767,0.024623,0.007186,-0.000319,0.001546,0.020157,-0.01288,0.007186,0.05023
3,2.745235,2.840214,1.574149,1.555523,1.543965,1.515036,1.173934,1.19516,0.216885,0.2399,1.303994,0.252836,0.223625,0.271348,0.252993,0.248543,0.263783,0.262467,0.241688,0.17322,0.242573,0.275231,0.182563,0.134204,0.178177,0.180266,0.178276,0.206571,0.259945,0.261018,0.180446,0.259352,0.275193,0.157104,0.153521,0.17456,0.248731,0.255792,0.312288,0.242536,0.152176,0.269719,0.310783,0.272661,0.246625,0.156931,0.166632,0.165298,0.177506,0.18601,0.183326,0.176377,0.191339,0.194382,0.19701,0.205131,0.184142,0.215804,0.204913,0.211993,0.15979,0.170584,0.178387,0.162687,0.164888,0.18061,0.192473,0.177974,0.201569,0.168913,0.177393,0.179886,0.184643,0.179911,0.207981,0.188165,0.189128,0.180984,0.16436,0.16291,0.173854,0.201371,0.197638,0.181169,0.181957,0.171888,0.163419,0.184916,0.172994,0.193562,0.181373,0.188017,0.201665,0.178289,0.185085,0.211084,0.191562,0.163365,0.201955,0.195789,0.169328,0.17693,0.185362,0.190679,0.172307,0.1802,0.162182,0.187115,0.220965,0.186159,0.161031,0.18985,0.190223,0.188919,0.19343,0.177834,0.189423,0.204679,0.186896,0.176449,0.177326,0.192431,0.158913,0.199134,0.154497,0.182097,0.181145,0.194036,0.201849,0.191422,0.196394,0.190333,0.201455,0.170546,0.18468,0.140455,0.180754,0.199041,0.156294,0.174421,0.189482,0.189878,0.191216,0.176686,0.197815,0.177233,0.182173,0.178111,0.192906,0.199887
4,10.518311,10.510743,3.005152,2.982487,2.97973,3.000857,4.306369,5.646733,2.866606,2.88061,2.858334,2.291459,0.302937,0.338194,0.328248,0.311687,0.510991,0.345961,0.369401,0.222252,0.231942,0.37006,0.39633,0.266663,0.213667,0.203777,0.22197,0.219339,0.195352,0.252806,0.210652,0.208397,0.21346,0.196112,0.222119,0.186336,0.182399,0.189787,0.038606,0.05178,0.062973,0.171063,0.191762,0.215978,0.057885,0.019803,0.176474,0.201132,0.190721,0.189332,0.16987,0.188164,0.213307,0.175617,0.209325,0.251254,0.213195,0.170469,0.211664,0.167448,0.225317,0.212461,0.208648,0.201303,0.223847,0.054809,0.187809,0.054943,0.072104,0.04011,0.08248,0.069297,0.040496,0.062518,0.057467,0.049456,0.034039,0.054586,0.063256,0.034572,0.064531,0.065819,0.054782,0.031461,0.023218,0.069849,0.042415,0.046758,0.053143,0.042189,0.048374,0.066219,0.056426,0.061653,0.061261,0.053839,0.040119,0.033869,0.052148,0.059157,0.047609,0.053459,0.063046,0.041573,0.06089,0.049021,0.068502,0.047574,0.039553,0.053751,0.059331,0.05531,0.062868,0.045308,0.059274,0.070923,0.04584,0.048755,0.050626,0.046755,0.039291,0.05796,0.044909,0.016017,0.057673,0.055419,0.044075,0.045155,0.073832,0.071126,0.061182,0.055108,0.046059,0.046598,0.06997,0.02501,0.054348,0.038087,0.044976,0.043878,0.039781,0.044264,0.035556,0.039518,0.043721,0.048224,0.06258,0.049787,0.063185,0.054782
5,6.180505,0.776016,3.410535,2.089459,0.791603,0.780029,0.772072,0.758349,0.742054,0.904368,0.913073,0.779702,0.153632,0.166889,0.159815,0.180418,0.18177,0.176403,0.180048,0.166365,0.080693,0.199264,0.104685,0.050099,0.048853,0.025862,0.017653,0.039415,0.019761,0.011811,0.025501,0.040747,0.010195,0.033446,0.014138,0.026432,0.025373,0.034042,0.008307,0.056208,0.032697,0.015961,0.00606,0.03541,0.020011,0.041534,0.013929,0.017557,0.040012,0.040151,0.0468,0.044187,0.021773,0.041891,0.051855,0.011542,0.024381,-0.000276,0.029268,0.032351,0.008921,0.030697,0.028076,0.030871,0.009807,0.044394,-0.019819,0.011143,-0.002588,0.006478,0.032337,0.01357,0.010735,0.001263,-0.017024,0.031717,0.016608,0.042758,-0.00228,0.016936,0.030225,0.049145,0.020806,0.010758,0.005055,0.020419,-0.012765,0.010989,0.003525,0.00723,0.02777,0.056332,-0.020483,-0.005257,-0.007767,0.026374,0.005354,0.001643,-0.015525,0.041879,0.019914,-0.003012,-0.021345,-0.000598,0.007246,0.008229,-0.024772,-0.017957,0.00064,-0.000951,0.028892,0.041176,0.046676,0.040202,0.043294,-0.000493,0.031932,-0.003626,0.022999,0.013135,0.022194,-0.003532,0.018193,-0.014415,-0.020324,0.014777,0.019515,0.046557,0.023907,-0.003348,-0.001384,0.022475,0.029621,0.010377,0.01162,-0.001012,0.039694,0.003728,0.020272,0.015002,-0.005347,0.027984,0.030559,0.017318,-0.01175,0.017282,0.032565,0.009163,0.030967,-0.002341
6,4.976408,4.056097,4.055642,2.960378,3.472295,3.478252,3.450715,0.979832,0.538258,0.552992,0.548942,0.588766,0.566365,0.559844,0.668527,0.703668,0.61959,0.667824,0.628065,0.322239,0.647538,0.643661,0.628226,0.282582,0.314724,0.165424,0.191429,0.171761,0.216508,0.210795,0.212919,0.15358,0.216928,0.207154,0.208436,0.209625,0.215557,0.249927,0.229435,0.193198,0.213419,0.047487,0.04071,0.064952,0.051279,0.047635,0.062189,0.036986,0.052551,0.010227,0.018533,0.017111,0.028151,0.050427,0.034757,0.031036,0.04492,0.042019,0.025767,0.047157,0.031076,0.03661,0.034879,0.030751,0.039064,0.043316,0.060896,0.0195,0.035423,0.06575,0.02778,0.062396,0.022555,0.039978,0.027924,0.013985,0.023444,-0.028686,-0.008151,0.016734,-0.017763,-0.019138,0.009523,0.011108,0.010186,0.033942,0.015725,0.003982,0.033793,-0.010676,0.013672,0.008577,-0.012339,0.006969,0.009176,-0.011936,-0.003958,-0.016244,0.005337,-0.001507,-0.013868,-0.002332,0.011745,0.00824,0.026556,-0.017757,-0.000826,0.001332,-0.00706,-0.002828,0.003062,-0.014742,0.006913,0.023237,-0.012452,0.006341,-0.000551,0.007146,-0.006558,0.012066,-0.021383,-0.027007,-0.002188,0.009929,-0.025499,-0.003605,0.019121,0.004452,-0.005966,-0.000934,-0.001586,-0.001549,-0.000626,-0.026286,0.0003,-0.005243,0.022543,0.003724,-0.005519,0.011725,0.013999,-0.007053,0.009958,0.002069,0.006898,-0.011145,0.013817,-0.009722,-0.00709,-0.001391
7,6.398531,4.821115,4.829112,4.437964,4.802824,4.810915,3.033488,3.015815,3.027453,2.565682,2.554077,2.044144,1.789299,1.811451,0.191654,0.203023,0.205254,0.198414,0.198162,0.207712,0.117815,0.116921,0.114608,0.105523,0.088641,0.138652,0.052938,0.003605,-0.014172,-0.015431,-0.008531,-0.000895,0.011887,0.013972,0.009319,0.01869,0.002805,-0.014527,0.010312,0.006563,0.010689,-0.015703,0.008016,-0.00526,0.003733,0.010104,-0.00041,-0.022605,0.012423,-0.000905,0.00732,-0.02091,0.002218,-0.022525,-0.009863,0.004548,-0.000365,-0.002292,-0.005418,0.017568,-0.030587,0.001443,-0.006962,-0.002455,0.004265,0.001402,0.013287,-0.003804,0.002382,0.002388,0.007065,0.016511,0.014294,0.009289,-0.010043,0.016208,-0.010453,0.008097,0.004795,0.006632,-0.013323,-0.015759,-0.00443,0.014632,0.013661,-0.023411,0.01893,-0.006346,-0.014291,-0.009239,-0.0094,0.005471,-0.033204,-0.02198,-0.000728,0.017256,-0.002203,-0.003067,-0.003462,0.010479,0.026973,0.003408,0.018782,-0.001655,-0.001758,0.006573,0.002352,-0.021201,0.007162,-0.002282,-0.007651,0.01477,-0.020065,-0.00781,0.001546,-0.019207,-0.000207,0.002245,-0.001329,0.009757,0.010571,0.001736,0.012935,-0.009887,0.00415,-0.022357,0.003458,0.012995,0.013535,-0.002854,-0.016453,-0.001512,0.005977,0.021758,0.000588,0.013631,-0.037108,-0.007595,-0.008382,-0.012627,0.011852,0.002079,-0.033416,0.021149,-0.039948,-0.003978,-0.010587,-0.014381,-0.006413,0.004449
8,4.338778,4.309225,4.321366,4.312124,4.30389,4.297893,4.316517,1.929722,0.706745,0.6804,0.694538,0.698366,0.725983,0.687172,0.697563,0.690981,0.87203,0.833362,0.825028,0.831699,0.825793,0.617083,0.630423,0.629101,0.633587,0.638295,0.650526,0.643422,0.656166,0.620306,0.567596,0.529035,0.519375,0.51134,0.526342,0.528866,0.517231,0.51881,0.544709,0.503402,0.517358,0.509077,0.498468,0.502237,0.491241,0.508149,0.49492,0.480539,0.470475,0.46781,0.453633,0.461237,0.467986,0.450777,0.456407,0.456708,0.460886,0.457451,0.468859,0.449194,0.467444,0.484798,0.476056,0.464115,0.436721,0.474495,0.450752,0.45925,0.473542,0.457576,0.462841,0.458704,0.460587,0.468905,0.475942,0.467871,0.46555,0.460456,0.442503,0.454572,0.458151,0.448415,0.433131,0.464888,0.459579,0.459253,0.430366,0.464676,0.462759,0.449583,0.467032,0.463897,0.43768,0.466363,0.473473,0.455662,0.439425,0.461587,0.489017,0.026382,0.031708,0.45767,0.048086,0.036793,0.0424,0.031575,0.023732,0.035775,0.038784,0.034843,0.021728,0.018014,0.047758,0.053381,-0.022757,0.039221,0.02491,0.032683,0.056655,0.015634,0.032892,0.01005,0.048591,0.029062,0.072947,0.020015,0.039454,0.051713,0.043924,0.052186,0.025085,0.053503,0.045592,0.077048,0.036276,0.047987,0.022075,0.028624,0.056795,0.033739,0.055577,0.034191,0.042409,0.019946,0.036087,0.057227,0.015041,0.043063,0.050341,0.025591
9,6.404778,6.391691,5.860108,5.851863,5.854251,4.08881,4.06562,3.23993,2.121532,2.132854,2.127044,2.14193,1.999237,0.669194,2.008119,1.953563,2.068645,1.932819,1.95286,1.943404,0.250285,0.206561,0.039678,0.232051,0.048765,0.05249,0.056865,0.064181,0.17558,0.17303,0.168295,0.205089,0.187443,0.165358,0.202203,0.205563,0.196197,0.159003,0.162427,0.15141,0.181797,0.162625,0.157986,0.145971,0.154203,0.124752,0.143631,0.139853,0.16818,0.14146,0.138697,0.139308,0.170905,0.042467,0.150616,0.016892,0.141726,0.167521,0.139568,0.155145,0.037511,0.008745,0.017306,-0.000225,0.009973,0.013936,0.026464,0.001806,0.005614,0.019341,0.162637,0.001414,0.023184,0.010388,0.016597,0.016115,0.02976,0.016229,0.014087,0.01277,-0.007211,0.019893,0.038986,0.011441,0.019932,0.018332,0.013006,0.009329,0.010136,-0.015683,-0.004552,0.011204,-0.030413,0.007332,-0.036487,0.005893,-0.017321,-0.012034,0.00651,-0.007758,0.022313,0.006924,-0.017008,0.008884,-0.01524,-0.012681,-0.002335,-0.008576,0.004342,-0.000603,0.014119,0.005045,0.014833,0.003348,-0.004099,-0.008617,-0.003659,0.031809,0.016096,-0.01719,0.002469,-0.010301,-0.010856,0.004985,-0.00685,0.005968,0.006755,0.001926,-0.027992,-0.004604,0.003141,-0.021071,-0.011607,-0.012291,0.003955,-0.019418,-0.013924,0.027014,-0.012681,-0.000243,-0.000447,-0.00709,-0.00948,0.011431,-0.009662,-0.029024,0.020694,-0.015583,-0.013633,0.012946
