Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,5.074274,4.905954,5.061985,4.822248,0.981981,0.700645,0.737179,0.737758,0.701863,0.335235,0.096456,0.080306,0.077348,0.167807,0.189611,0.318888,0.175800,0.151251,0.143314,0.269842,0.155948,0.167452,0.185895,0.157566,0.072297,0.144694,0.154392,0.133799,0.260516,0.079859,0.086920,0.238676,0.227969,0.133210,0.136506,0.138429,0.146436,0.056581,0.053047,0.165490,0.159064,0.172337,0.067747,0.099961,0.056690,0.073837,0.074338,0.083236,0.060772,0.065748,0.084492,0.037978,0.089761,0.074784,0.068776,-0.015238,0.156813,0.062602,-0.026750,0.100988,0.002515,0.144866,0.081045,0.079708,0.132821,0.029898,0.086970,0.092896,0.102718,0.088660,0.092671,0.096441,0.022940,0.142177,0.085641,0.065769,0.149767,0.011475,0.142860,0.150578,0.113367,0.099180,-0.037045,-0.020968,-0.112685,-0.128245,-0.098641,-0.120951,-0.112723,-0.032035,0.001650,-0.118706,-0.111936,-0.117630,-0.109619,-0.118282,-0.098862,-0.101551,-0.134555,-0.007174,-0.004554,-0.009000,-0.017295,-0.042227,-0.004767,-0.010958,-0.120270,-0.114150,-0.006607,0.062799,-0.031055,0.150919,0.094652,0.054306,0.073881,0.070386,0.068535,0.127531,0.117079,0.087138,0.066140,0.133790,-0.049380,0.147379,0.165044,0.143566,0.160742,0.063667,0.021165,-0.010301,-0.063562,-0.101696,0.359652,-0.043360,0.024878,0.023519,0.044120,0.543619,0.115221,0.112098,0.106678,0.109214,0.307092,0.151204,-0.099421,-0.019427,0.274704,0.118431,0.257045,0.010983
1,3.240844,3.218190,3.230567,3.209914,2.935072,1.391951,0.413975,0.415666,0.661704,0.654139,0.642261,0.168963,0.178280,0.187533,0.188585,0.150037,0.452534,0.440714,0.293356,0.327004,0.182336,0.536838,0.187231,0.171007,0.189035,0.192627,0.174485,0.184387,0.178767,0.183425,0.263201,0.283242,0.247685,0.271019,0.265749,0.230035,0.257753,0.269134,0.264441,0.238128,0.246861,0.271353,0.369449,0.210379,0.212664,0.230984,0.337857,0.274876,0.248250,0.250631,0.231012,0.169317,0.301382,0.178164,0.244225,0.257685,0.237411,0.190177,0.247712,0.170605,0.107859,0.278031,0.250630,0.247837,0.301200,0.173461,0.127071,0.123873,0.158464,0.136579,0.206045,0.183452,0.146811,0.127045,0.121986,0.262489,0.114666,0.185802,0.125230,0.219748,0.359707,0.390576,0.138912,0.133645,0.134030,0.360919,0.116284,0.147244,0.151770,0.144362,-0.018754,0.004920,0.011512,-0.028860,0.025758,0.246320,-0.012237,-0.017498,0.114471,0.129027,0.007151,0.129692,0.017116,0.136159,0.013452,0.009846,0.074468,0.001870,0.013142,-0.009359,-0.031342,-0.004615,0.007093,-0.021804,-0.011107,0.007025,0.018906,0.190589,0.201455,0.184909,0.175432,0.140596,0.225415,0.162965,-0.045133,-0.010300,0.101427,0.131795,-0.057501,0.149293,0.324344,0.123398,0.183915,0.113695,0.388678,-0.073837,-0.044329,-0.043887,-0.030942,-0.022163,-0.014414,-0.037372,0.205819,0.223319,0.140500,-0.021384,0.118276,-0.051532,-0.019724,0.025485
2,0.651756,0.653661,0.647362,1.126536,1.155237,0.639577,1.142767,0.918304,0.747819,0.757384,0.999191,0.999068,0.601041,0.597729,0.742784,0.555681,0.249432,0.210997,0.014873,0.011180,0.021832,0.036123,0.040616,-0.112820,-0.127205,0.019546,-0.092705,0.068445,0.071002,-0.103859,-0.084326,-0.087891,-0.104146,-0.101289,0.003149,-0.113060,0.019388,-0.086234,-0.096266,-0.003912,-0.026334,0.006021,0.000367,0.007906,0.004831,0.192284,-0.028814,-0.027397,-0.056189,-0.022439,-0.013276,-0.012825,0.032919,0.013316,0.032535,0.002989,-0.038991,0.008999,0.008407,-0.000158,0.012440,-0.039018,0.011544,-0.054570,0.019730,-0.048851,-0.054543,-0.032126,-0.056213,-0.054670,-0.009475,0.093770,0.020428,-0.050289,-0.046039,-0.039615,-0.050036,0.049810,0.305030,0.292650,0.037522,-0.058673,-0.087394,0.192426,-0.065885,-0.056362,0.053206,0.071589,0.042274,0.049692,0.040789,0.026625,0.050466,0.136867,0.113349,0.121482,-0.090829,0.020678,0.011354,-0.068216,-0.094707,-0.006502,0.030076,0.021480,-0.054064,-0.059560,-0.045338,0.127948,0.059526,0.039772,0.065075,0.037890,0.070218,0.069704,0.074444,0.055329,0.049264,0.075372,0.042065,0.062043,0.033314,0.027577,0.017704,0.060757,0.032906,0.163176,0.161672,0.017313,0.044315,0.022240,0.011557,0.042756,-0.016664,0.015840,0.052002,-0.050941,-0.022067,-0.020240,-0.052498,-0.017255,-0.000899,0.031919,-0.067150,-0.051075,-0.083421,-0.068575,-0.051937,-0.105429,-0.090952,-0.076366
3,0.574821,0.583273,3.647914,3.621346,3.472555,3.479655,3.444981,0.513410,0.532036,0.523423,0.525654,0.526467,0.520730,0.412819,0.520224,0.511558,0.453113,0.150419,0.225637,0.219792,0.219175,0.098959,0.098608,0.095403,0.111220,0.184403,0.110059,0.143690,0.164460,0.156260,0.160622,0.136319,0.096604,0.072153,0.033264,0.135359,0.170352,0.064465,0.056060,0.075950,0.070585,0.064950,0.073175,0.081086,0.067057,0.086932,0.054188,0.101478,0.121494,0.107328,0.075763,0.079554,0.076850,0.102033,0.134078,0.163812,0.036018,0.177385,0.154344,0.148851,0.144645,0.014417,0.176080,0.132092,0.121204,0.099642,-0.075298,0.060951,0.101025,0.087896,0.047418,0.124535,0.150804,0.178197,0.150052,0.135711,-0.080091,-0.067968,0.328210,0.079824,0.129342,0.078782,0.086253,0.028301,0.126619,0.250270,0.271560,0.275382,0.123773,0.074008,0.081522,0.087790,-0.069755,0.060667,0.071626,0.071503,0.067780,-0.016140,-0.041654,-0.033991,-0.001466,-0.036929,-0.049464,-0.044785,-0.032726,-0.020661,0.017721,-0.024231,-0.035424,-0.029625,0.119243,0.114258,0.042422,-0.026424,0.026680,0.035410,-0.039566,-0.077570,0.004578,0.086235,0.081042,0.214928,0.072103,0.076310,0.005330,-0.012239,-0.052913,0.027361,0.032769,0.024481,-0.046941,0.012030,0.015144,0.018314,0.027719,-0.017500,0.302082,0.051284,0.021243,-0.071149,0.036758,0.131792,0.042878,0.016923,0.017517,0.073894,0.016410,0.011909,0.024496,0.023016
4,0.899089,1.267646,0.894105,1.290906,1.928450,2.347254,0.926641,1.004865,0.978848,0.546347,0.541460,0.555884,1.149858,0.481442,0.377862,0.363983,0.109097,0.068878,0.108292,0.406915,0.096661,0.068673,0.272761,0.104008,0.090621,0.112445,0.089425,0.205146,0.235070,0.207976,0.196886,0.192098,0.215179,0.193893,0.206192,0.109117,0.105690,0.105865,0.110532,0.034414,0.097558,0.150102,0.162717,0.100880,0.176473,0.151750,0.222786,0.089789,0.149179,0.041115,0.242201,0.223772,0.239276,0.202156,0.201067,0.418929,0.193960,0.224679,0.218736,0.423966,0.185452,0.232983,0.171319,0.215801,0.129655,0.077577,0.121824,0.469878,0.109056,0.421369,0.449064,0.114585,0.388583,0.087149,0.374233,0.289406,0.269314,0.296876,0.314809,0.099410,0.102824,0.093600,0.278800,0.273602,0.287486,0.092826,0.043793,0.303800,0.275343,0.063289,0.348741,0.152022,0.122267,0.150809,0.067838,0.146228,0.044564,0.151595,-0.001299,0.041073,-0.017809,-0.003915,0.151167,-0.006089,0.168395,-0.019191,-0.044581,0.112610,0.003140,0.002671,-0.013333,-0.004978,-0.016774,-0.000838,0.014629,-0.010691,0.041323,0.005543,-0.006644,0.009870,-0.011170,0.011335,-0.007498,0.031881,0.031748,0.038343,0.082720,0.194651,0.176096,0.181854,0.163357,0.194083,0.161231,0.171722,0.188160,0.197207,0.032294,0.193991,0.051961,0.027330,0.026119,0.040467,0.051662,0.038219,0.120064,0.027921,0.095892,0.101741,0.044236,0.040046
5,1.056478,1.044565,1.028382,1.139689,1.086368,1.176397,1.195474,0.021776,-0.017533,1.085493,1.200970,1.049318,0.683723,0.523972,0.525865,0.481458,0.496968,0.815358,0.486757,0.490355,0.469523,0.109711,0.118233,0.119347,0.096377,0.439241,0.423270,0.419550,0.505152,0.434690,0.096500,0.108226,0.093863,0.106964,0.095414,0.382939,0.409476,0.105281,0.097671,0.098926,0.106513,0.121354,0.117113,0.090031,0.125638,0.103474,0.190821,0.227014,0.168748,0.191287,0.174773,0.121886,0.120196,0.102662,0.112599,0.116300,0.306531,0.291367,0.189556,0.195783,-0.018935,0.188386,0.103027,0.152496,0.097033,-0.017135,0.117662,-0.011952,-0.035221,-0.008286,-0.006504,-0.012250,0.032739,0.010107,0.022067,-0.003493,0.011545,0.019616,0.023621,0.011256,0.149157,0.121350,0.110502,0.229198,-0.032126,0.040422,0.121715,0.095347,-0.028932,-0.019544,0.072659,-0.024812,0.166596,0.162807,0.020805,-0.047963,-0.048781,-0.043438,-0.049959,0.113938,-0.068778,-0.073529,-0.044412,0.050064,0.055453,-0.048924,0.036747,0.029431,0.045345,-0.117148,-0.126748,-0.052380,-0.136707,-0.144743,-0.129388,-0.059782,0.053025,-0.040229,-0.114363,-0.141064,-0.039940,-0.116311,-0.140398,-0.127675,0.054060,0.045626,-0.011619,0.034099,0.042266,-0.008341,-0.045268,-0.049081,-0.029681,-0.032712,-0.117193,-0.006672,-0.006128,-0.054196,-0.009553,-0.039522,-0.019513,-0.019731,0.112181,0.132277,0.025891,0.138140,0.009816,0.015156,-0.013745,0.082614
6,0.958437,1.169554,0.863435,0.613361,0.852978,0.505444,0.637163,0.630895,0.637388,0.636781,0.626745,0.629717,0.617849,0.574372,0.555718,0.542809,0.873953,0.575761,0.544409,1.022372,0.545341,1.024298,0.548498,0.541189,0.829715,1.021692,0.205923,0.865970,0.849264,1.022162,1.020470,0.819333,1.040870,0.602749,0.207430,0.226889,0.306176,0.330864,0.317189,0.305647,0.305709,0.330130,0.332873,0.292754,0.319701,0.274447,0.321672,0.169428,0.175761,0.156180,0.178215,0.180657,0.187981,0.160550,0.224523,0.217973,0.076012,0.042573,0.076214,0.079054,0.279348,0.071681,0.175195,0.164674,0.125273,0.137902,0.168963,0.123765,0.043874,0.056117,0.068596,0.051965,0.056332,0.075392,0.063047,0.109409,0.084125,0.060328,0.059694,0.075250,0.036294,0.058629,0.214439,0.012924,-0.004103,0.101865,0.282949,0.051769,0.190646,-0.002967,0.036706,0.018050,0.023891,-0.022399,0.087616,0.105866,0.003573,0.069535,0.212506,0.126509,0.092642,0.135529,0.001356,0.132285,0.100538,0.089269,0.175922,-0.002251,0.002437,0.186132,0.073356,0.066918,0.081380,0.040725,-0.015694,-0.020197,0.159285,0.168134,0.179739,0.177079,0.153943,0.158256,0.164184,0.211427,0.198725,0.169479,0.178207,0.181940,0.199811,0.165848,0.307185,0.229814,0.187236,0.163601,-0.003260,-0.007345,0.035497,-0.045300,-0.036412,0.024141,0.043518,-0.040637,0.095259,0.105440,0.085953,0.093828,0.065200,0.090253,0.111915,-0.091225
7,1.346370,0.955515,1.012644,1.014617,1.005766,1.015396,1.013229,0.707144,0.689645,0.754333,0.747283,0.770554,0.737606,0.745970,0.653424,1.303192,0.755103,0.729494,0.740269,0.712166,0.710082,0.714794,0.740323,0.746752,0.276086,0.061888,0.302644,0.082305,0.096010,0.075842,0.082778,0.080564,0.076985,0.079914,0.071293,0.080235,0.072665,0.066346,0.041080,0.086696,-0.039996,0.077397,0.094082,0.226757,0.226009,0.063529,0.074008,0.159031,0.175709,0.116465,0.134323,0.061320,0.119587,0.119251,0.124813,0.152648,0.128228,0.169167,0.112228,0.171628,0.176367,0.156791,0.155705,0.240149,0.214411,0.132595,0.230266,0.119446,0.122166,0.108197,0.355233,0.352073,0.005986,0.049767,0.252688,0.255395,0.280175,0.275158,-0.055900,-0.048132,-0.060700,0.045771,0.164512,0.134874,-0.041262,0.034795,0.043522,0.017247,0.152707,0.152106,0.040876,0.190097,0.159425,0.025915,0.193949,0.041306,0.080021,0.006783,0.025372,0.005009,0.032254,0.049011,0.040672,0.069302,0.055537,0.065373,0.056069,0.062406,0.078785,0.052465,0.054490,0.037391,0.084378,0.166331,0.147381,0.156599,0.080132,0.140045,-0.026639,0.039356,0.052977,0.059130,0.050261,0.217947,0.051516,0.207803,0.041077,0.039596,0.044823,0.073331,-0.085642,0.044905,-0.049971,-0.047910,-0.084582,-0.066087,-0.060927,-0.080433,-0.071006,0.018861,-0.070260,-0.048865,0.030852,-0.005057,0.012715,-0.083646,0.074673,0.028458,-0.074201,-0.063690
8,2.992426,3.085080,3.102272,4.287764,4.032338,4.015101,3.999083,1.322882,1.237233,1.257955,0.500506,0.514715,0.547327,0.524069,0.518642,0.530744,0.407606,0.342594,0.340422,0.352097,0.331624,0.322474,0.324859,0.332427,0.349138,0.095080,0.027854,0.025949,0.030830,0.046646,0.013377,-0.047104,0.029828,-0.058370,0.025099,-0.034963,-0.036874,-0.040707,-0.057512,-0.063309,-0.045512,-0.033684,-0.042116,0.077506,0.055016,-0.055252,0.073766,-0.052464,-0.021782,0.063826,0.042349,0.045941,0.047293,0.198770,0.044978,0.136781,0.136044,0.090781,0.099654,0.113744,0.202924,-0.058143,-0.023476,0.108270,0.311571,0.258430,0.249724,-0.053033,0.101746,-0.066099,-0.047818,-0.037137,0.132592,-0.051334,-0.037713,-0.048665,-0.032535,-0.041542,-0.056948,0.050064,0.054751,0.052228,0.061285,0.032023,0.044240,0.044357,0.271346,0.303343,0.313484,0.330303,0.028684,-0.014827,0.033572,0.066899,-0.033848,0.023596,-0.072876,-0.037380,-0.054901,0.245144,0.282901,0.247755,0.227606,0.249993,0.240044,0.247884,-0.053538,0.263890,0.107064,0.022046,0.101217,-0.058851,-0.054842,-0.044986,0.034658,-0.045886,-0.041369,0.044817,-0.041452,0.099934,-0.033594,-0.035904,-0.062087,-0.023167,0.123983,-0.036305,-0.016094,-0.031065,0.054917,0.002113,-0.013803,0.099194,0.068002,0.145028,0.100408,0.110035,0.288092,0.104158,0.012937,0.134266,0.108338,0.117571,0.097868,0.261202,0.195843,0.212629,0.218185,0.212048,-0.009372,-0.000875
9,0.791108,0.780556,0.758542,0.761982,0.754824,1.318393,0.362584,0.372642,0.331015,0.355510,0.369195,0.200294,0.200848,0.207969,0.191994,0.204903,0.225524,0.206960,0.212861,0.224853,0.213106,0.198904,0.213919,0.424023,0.426513,0.402652,0.195439,0.181683,0.204911,0.209342,0.204815,0.206154,0.213910,0.234258,0.622465,0.402970,0.221429,0.381354,0.204259,0.386017,0.377555,0.202465,0.419328,0.381632,0.400851,0.414246,0.485472,0.477184,0.479042,0.485418,0.472968,0.506953,0.375487,0.394472,0.367261,0.368969,0.512251,0.419455,0.427884,0.412432,0.430757,0.447869,0.465483,0.413858,0.402239,0.401443,0.459959,0.406199,0.414474,0.432799,0.424812,0.388206,0.423141,0.538499,0.216184,0.223749,0.167637,0.146217,0.153451,0.024720,0.021387,0.029915,0.033044,0.001785,0.037662,0.040561,0.021808,0.408448,-0.094531,-0.075858,-0.086891,-0.091569,0.446906,0.459150,0.408436,0.410257,0.089152,0.101788,-0.001483,0.013572,-0.000451,0.113724,-0.001539,0.021163,0.094152,0.004887,0.005633,0.028656,0.115467,-0.008974,0.115063,0.109802,0.124698,0.132062,0.352963,0.075702,0.284717,0.077028,0.079792,-0.019672,0.124629,0.101567,0.138260,0.150278,0.140092,0.154387,0.146300,0.173681,0.154832,0.232630,0.195803,0.223102,0.126669,0.200576,0.196804,0.106769,-0.110026,-0.115520,0.119378,0.069214,0.158336,0.203065,0.203100,0.183573,0.222708,0.198007,0.189500,0.178449,0.163175,0.182184
