Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,5.729487,3.808755,1.224878,1.008312,2.223826,2.852688,0.580434,2.542392,3.379202,3.563181,0.670446,1.097794,1.047641,0.747406,0.722677,0.84175,0.486647,0.564875,0.407529,0.28001,0.731732,0.541878,0.248261,0.764273,0.765846,0.93478,1.039672,0.510761,0.72934,0.786947,0.40067,0.366176,0.813256,0.315971,0.30968,0.363377,0.67585,0.319987,0.203705,0.338112,0.462989,0.487108,0.332449,0.446605,0.724506,0.602448,0.252627,0.649004,0.501753,0.627672,0.67858,0.143423,0.203797,0.259139,0.628215,0.541933,0.458116,0.442407,0.21834,0.676637,0.355158,0.401233,0.205016,0.402025,0.277985,0.414243,0.551288,0.678787,0.352322,0.333093,0.584735,0.058014,0.515729,-0.052001,0.1878,-0.059527,0.175537,0.122158,0.277583,0.124364,0.120704,0.144365,0.219356,0.199705,0.276327,0.08553,0.208655,0.36326,0.207568,0.592399,0.314549,-0.015716,0.221683,0.138521,0.25118,0.542763,-0.004957,0.151145,0.240482,0.231778,0.237541,0.132856,0.149798,0.131952,0.110192,0.097883,0.070967,0.193901,0.153123,-0.062963,0.490173,-0.034506,-0.030346,0.267099,0.122994,0.132006,-0.008522,0.261543,0.050589,0.131982,0.138629,0.190479,0.020709,0.113988,-0.068805,0.457748,-0.062409,0.514962,0.185527,0.149542,-0.058098,-0.051282,0.288141,0.291706,0.053361,0.245093,0.248507,0.230879,0.250877,0.131424,0.143521,0.145214,0.097643,0.4207,0.144532,0.12571,0.09885,0.208787,0.113499,0.075391
1,3.787042,7.529773,4.218228,1.619137,5.171172,1.121118,1.47863,1.221809,0.939902,0.435919,1.37683,0.844447,3.264925,0.727868,0.57448,0.543498,1.466589,1.007028,0.550218,1.086722,1.127744,1.266205,0.645748,0.620723,0.700641,0.56221,0.642396,0.899048,0.910208,0.653072,0.564448,0.899498,0.302685,0.925654,1.001654,0.650914,1.004844,0.272224,0.484517,0.370127,0.601362,0.566977,0.807688,0.395141,0.386669,0.630405,0.243508,1.130412,0.569994,0.828718,0.499531,0.517756,0.390092,0.62478,0.546128,0.205914,0.455675,0.146174,0.483376,0.357141,0.623841,0.195528,0.655757,0.19165,-0.057931,0.4122,0.362309,0.490787,0.171862,0.248335,0.144383,0.42119,0.218761,0.38418,0.236442,0.493213,0.073679,0.421381,0.209651,0.87445,0.534719,0.23612,0.150151,0.29107,0.481978,0.327786,0.387843,0.581733,0.137199,0.810177,0.317575,0.201717,0.359427,0.030197,0.161113,0.540629,0.099604,0.205167,0.382849,0.225704,0.067134,0.492173,0.298962,0.139794,0.213226,0.402954,0.285158,0.708986,0.17528,0.132714,0.282377,0.071812,0.379507,0.435412,0.351272,0.217531,0.245227,0.148073,0.448368,0.141616,0.237112,0.141598,0.135877,0.137284,0.030573,0.143371,0.359653,0.044879,0.123407,0.069187,0.520495,0.139504,0.214618,0.200291,0.1512,0.101304,0.146566,0.446969,0.146148,0.002961,0.237208,0.24195,0.21286,0.194809,0.132501,0.138842,0.028142,0.037171,0.229385,0.093152
2,3.173069,5.986772,6.258381,5.918047,4.157652,1.403696,3.020817,3.414675,1.508341,3.659309,4.520243,3.629429,1.118771,3.696554,2.975798,2.702584,1.9881,0.79324,0.798611,0.676276,0.355087,0.643522,0.52391,1.008772,0.658158,0.508577,1.17685,0.919221,0.015245,0.390938,0.607159,0.65057,0.440553,0.173955,0.000019,0.792426,0.266607,0.150348,0.065025,0.197069,0.494384,0.519644,0.012231,0.358809,-0.02195,0.07501,-0.017406,0.274402,0.016418,0.171597,0.005593,0.005869,0.248805,0.365737,0.002967,0.238337,0.19977,-0.008932,0.004917,0.030249,-0.013096,0.00995,0.272157,0.02652,0.251227,0.096603,0.47429,0.295356,0.290924,0.274449,-0.0334,-0.022632,0.240206,0.089147,-0.028873,0.077707,0.008869,0.09464,0.147712,0.141455,0.330546,0.264329,0.155194,-0.037792,0.270293,0.359928,0.273566,-0.004871,0.049459,0.064861,0.066825,0.247356,0.220325,0.262647,0.008613,0.000565,0.016013,0.260092,0.276413,0.177746,0.02007,0.057696,0.045814,0.1483,0.063936,0.208252,0.00809,0.011303,-0.014342,0.456721,0.046218,0.138913,0.21862,0.251568,0.044751,0.303902,0.030306,0.262539,0.252702,0.376381,0.249877,0.537045,0.028195,0.013977,0.016274,0.017879,0.032764,0.013973,0.008911,0.148225,0.233985,0.27931,0.019041,0.021801,0.263813,-0.02508,0.160763,0.016409,0.000993,0.007996,0.010087,0.012913,0.018881,0.276716,0.000281,0.061556,0.02728,0.199884,0.067871,0.301636
3,4.267902,6.281395,3.488753,5.216984,4.023948,6.244788,1.946437,2.249489,4.599601,4.202027,5.142574,3.278635,2.413933,3.544074,4.513919,3.94392,2.145474,3.017675,3.328476,2.099925,1.847626,3.655831,2.008558,1.910372,0.317907,2.277636,2.301094,2.812463,1.671111,2.542161,2.971632,1.949893,0.83803,2.250764,2.139835,1.814334,0.313519,2.087651,0.998323,0.67984,0.794443,0.402869,0.477944,0.71377,0.270251,0.615215,0.733216,0.797675,0.6083,0.438996,0.451495,0.452355,0.373853,0.421438,0.370491,0.068728,0.311559,0.434819,0.529098,0.328302,0.595286,0.441146,0.782482,0.170546,0.161211,0.26808,0.178535,0.308909,0.681933,0.557027,0.448803,0.290675,0.470814,0.261461,0.129506,0.301817,0.269476,0.468178,0.105353,0.120043,0.220601,0.3598,0.142582,0.175083,0.313996,0.178226,0.563111,0.255686,0.11798,0.15773,0.685267,0.291139,0.293719,0.167177,0.379778,0.184182,0.177452,0.290989,0.18548,0.498691,0.366235,0.124981,0.154914,0.21899,0.229701,0.118163,0.262775,0.181886,0.191784,0.277533,0.160844,0.241127,0.187809,0.083397,0.25447,0.197682,0.296839,0.460612,0.267005,0.163717,0.211517,0.366194,0.263583,0.117553,0.253705,0.215101,0.178961,0.375647,0.190908,0.384477,0.165112,0.115221,0.185029,0.341657,0.352056,0.439335,0.494498,0.174646,0.521888,0.172063,0.371029,0.163874,0.305035,0.111699,0.204299,0.176018,0.423231,0.202617,0.250996,0.085305
4,4.966343,3.307727,3.971572,1.722155,3.822414,0.158375,1.637094,2.313131,0.700341,0.693448,1.357937,2.803679,0.289864,0.04857,0.427204,0.411718,0.270401,0.944966,0.737076,2.03127,0.684449,0.346355,0.40604,-0.028949,-0.097593,0.708377,0.659957,0.504121,0.046381,0.501172,0.215791,-0.020161,0.542689,0.297471,0.079028,0.289597,0.381886,0.536313,0.170053,0.150823,0.224464,0.460671,0.502663,0.029756,0.606021,0.893299,0.259739,0.444232,0.519575,0.637316,0.640639,0.399995,0.409675,0.56301,0.580564,0.314749,0.409547,0.303619,0.405162,0.586978,0.367843,0.318012,0.531689,0.371334,0.622383,0.70595,0.131911,0.326245,0.548206,0.37288,0.462142,0.364505,0.369784,0.19512,0.341624,0.792922,0.230138,0.335079,0.157539,0.313165,0.213827,0.343887,0.216975,0.236936,0.238142,0.24561,0.373048,0.124677,0.138134,0.302979,0.504366,0.320366,0.142533,0.188562,0.503617,0.32798,0.290742,0.074221,0.017741,0.231303,0.195184,0.191179,0.380108,0.011421,0.190437,0.139014,0.188655,0.41106,0.25232,0.092562,0.321845,0.132445,0.376367,0.209139,0.036623,0.141099,0.219147,0.126324,0.071756,0.386937,0.027098,0.137461,0.489255,0.350743,0.025206,0.158469,0.000006,0.208939,0.429635,0.166272,0.161863,0.132124,0.267154,0.249279,0.162743,0.430223,0.196512,-0.024891,0.078089,0.100786,0.013968,0.02817,0.000797,0.396483,0.212975,0.145988,0.110934,0.029756,0.157686,0.174839
5,2.041544,5.109282,4.198438,1.151954,1.287928,2.252276,0.829895,1.474038,0.851912,1.122556,0.688463,1.067535,0.789975,0.910075,0.481184,0.690089,0.546201,0.705526,0.902808,1.185026,0.749703,0.994349,0.764018,1.141124,0.751158,1.014635,0.93582,0.560453,0.129828,0.877865,0.689048,0.382154,1.079897,0.810273,0.488402,0.673993,0.189003,0.455482,0.424772,0.279248,0.452248,0.773276,0.738505,0.219876,0.122983,0.341817,0.593034,0.52136,0.521173,0.216543,0.339006,0.50308,0.459749,0.267281,0.358301,0.333698,0.447997,0.531344,0.215636,0.519996,0.220076,0.183406,0.331346,0.213862,0.342366,0.147366,0.179976,0.336631,0.339983,0.336536,0.347257,0.174771,0.15962,0.151897,0.163326,0.587754,0.192079,0.15716,0.497391,0.379179,0.291121,0.195234,0.097778,0.172423,0.05465,0.245073,0.359463,0.194572,0.189397,0.278258,0.174123,0.901709,0.296121,0.25726,0.283979,0.072427,0.35792,0.200746,0.104854,0.194139,0.270139,0.051951,0.36658,0.108593,0.170221,0.052188,0.190067,0.0636,0.184755,0.207719,0.139094,0.202603,0.301402,0.514725,0.623836,0.269619,0.140986,0.14179,0.098004,0.090086,0.07867,0.200701,0.27525,0.181383,0.058805,0.241679,0.177661,0.068917,0.329592,0.206312,0.066685,0.16319,0.205242,0.125802,0.07573,0.354228,0.054513,0.098572,0.087534,0.199235,0.076021,0.192064,0.058698,0.092196,0.084296,0.132979,0.193419,0.161089,0.329072,0.322822
6,2.832284,4.556262,1.333603,1.754655,1.848091,2.536192,5.709144,1.040149,0.141075,0.300298,0.49108,0.412544,0.449972,0.600067,1.095517,0.283937,0.726299,1.05509,0.76982,0.471761,0.289292,0.473251,0.686372,0.96697,0.716361,0.399156,0.438611,0.253974,0.516989,0.117178,0.276055,0.511525,-0.00973,0.13941,0.339864,0.205037,-0.020504,0.097602,-0.015626,0.308155,0.532266,-0.020975,0.785359,0.128931,-0.00112,0.407971,0.525667,0.388628,0.007585,0.318039,0.082999,0.184078,0.142576,0.20396,0.249635,0.235497,0.801727,0.226523,0.396012,0.159084,-0.048549,0.310693,0.175031,0.250203,0.092104,0.281485,0.571616,0.218933,0.35735,0.332492,-0.001483,0.427027,-0.036943,0.071849,0.280559,0.605341,0.123289,0.251706,0.421012,0.086704,0.196836,-0.003419,0.351191,0.118616,-0.006,0.075033,0.264022,-0.009375,0.142419,-0.008269,0.065361,0.127225,0.219282,0.003078,0.111184,0.107743,0.128829,0.128973,0.186372,-0.016976,0.062392,0.147505,0.126882,0.26964,-0.025487,0.193997,0.081962,0.209439,0.072431,-0.002771,0.189533,-0.004796,-0.015002,0.186144,0.005765,0.167098,-0.004078,0.089084,0.179398,-0.009862,0.198984,0.262012,0.116956,0.011527,0.068104,0.103685,0.075426,0.247639,0.236987,0.126828,0.107482,0.195826,0.060692,0.143269,0.06132,-0.004232,0.062487,-0.024336,0.001225,0.253405,0.083592,0.146783,-0.005665,0.253225,0.126919,0.073757,-0.016228,-0.010806,0.367121,0.074195
7,1.713983,2.842932,1.197902,1.684067,2.689093,4.011959,0.68567,0.757141,0.733466,0.596666,0.99858,0.563208,0.735744,0.901924,0.781144,1.056275,0.936211,0.500119,0.89565,0.858223,0.907386,1.054464,0.71429,0.936855,0.801264,0.759525,1.969067,0.677082,0.449932,0.848868,0.884355,0.957811,0.951442,0.525198,0.124021,0.66045,0.504419,0.391278,0.321228,0.387409,0.464529,0.499549,0.70511,0.825501,0.622053,0.481521,0.798466,0.360093,0.800738,0.729513,0.344775,0.619963,0.463201,0.808225,0.502211,0.508334,0.479272,0.491289,0.670843,0.357366,-0.016832,0.237562,0.471944,0.628698,0.355404,0.513558,0.467683,0.693546,0.519539,0.565637,0.521907,0.495923,0.195465,0.645661,0.318897,0.154931,0.776302,0.37384,0.038797,-0.042269,0.171474,0.298291,0.372256,0.090737,0.278112,0.230293,0.562126,0.234135,0.48557,0.200288,0.117417,0.425021,0.178948,0.961201,0.160368,0.074477,0.206423,0.200672,0.199587,0.312941,0.745927,0.205688,0.123188,0.105859,0.2935,0.385739,0.353577,0.107554,0.179583,0.314276,0.479466,0.087793,0.651829,0.118783,0.35155,0.429817,0.232817,0.354554,0.709907,0.319405,0.170654,0.121339,-0.045415,0.143495,0.204486,0.074283,0.382472,0.206529,0.164676,0.19114,0.22937,0.470101,0.208229,0.128751,0.334344,0.090169,0.255729,0.281278,0.265559,0.187366,0.116021,0.206914,-0.046476,0.114155,0.347432,0.191547,0.142957,-0.029632,0.10293,0.231769
8,7.787549,2.16575,2.49542,1.986833,2.7347,1.937414,0.971998,1.054541,0.610748,1.134333,2.828918,1.022288,0.825427,0.646401,1.269164,1.430197,2.941711,0.479018,1.8995,0.473276,0.917142,0.542266,0.46397,0.296159,0.585523,0.382134,0.5078,0.404492,0.105662,0.351944,0.332528,0.337558,0.368191,0.636591,0.073533,0.333966,0.263295,0.120069,0.220141,0.362689,0.06608,0.412322,0.352274,0.488398,0.39754,0.746925,0.589463,0.680224,0.207082,0.255015,0.363316,0.138817,0.275651,0.141622,0.133635,0.122612,0.136873,0.130341,0.094129,0.215219,0.149024,0.26375,0.187375,0.306995,0.151761,0.31255,0.311067,0.312982,0.226065,0.320023,0.359851,0.301669,0.135027,0.06761,0.466274,0.213154,0.345896,0.37492,0.134948,0.37894,0.036826,0.236864,0.13855,0.191513,0.133556,0.194747,0.136834,0.418946,0.225081,0.41357,0.257547,0.339977,0.115237,0.259098,0.39466,0.137554,0.148612,0.361509,0.130327,0.054339,0.197149,0.152983,0.131492,0.263718,0.042966,0.095637,0.155839,0.028898,0.275326,0.308922,0.477269,0.109983,0.206056,0.048274,0.263661,0.284068,0.153666,0.021299,0.006599,0.25974,0.271285,0.200309,0.059963,0.07212,0.252109,0.292188,0.055523,0.139417,0.143813,0.063715,0.105047,0.251716,0.482547,0.426337,0.196782,0.451392,0.017173,0.141951,0.052628,0.533696,0.263129,0.113141,0.065664,0.27204,0.137466,0.04748,0.403556,0.060243,0.042132,0.327626
9,3.719103,3.181732,3.166948,4.331608,2.68633,1.254415,0.527861,3.035254,0.753008,2.6531,1.387713,0.873332,0.512403,0.560908,0.768701,0.481287,0.606335,1.367146,0.534174,0.452508,0.815827,0.972652,0.645904,0.659048,0.838673,0.068945,0.431745,0.470903,0.382381,0.224274,0.181408,0.37642,0.157432,0.199671,0.149671,0.881228,0.516691,0.46592,0.582516,0.996964,0.496317,0.745053,0.347385,0.365735,0.759993,0.474289,0.350537,0.310545,0.274152,0.581666,0.50261,0.609755,0.6176,0.279637,0.133516,0.143015,0.876081,0.318252,0.659132,0.422605,0.458327,0.527282,0.303095,0.260878,0.690961,0.364702,0.176528,0.284506,0.271784,0.217694,0.231298,0.143088,0.666347,0.211999,0.073781,0.412413,0.083994,0.227717,0.243264,0.063038,0.228077,0.322355,0.404105,0.396416,0.290887,0.286827,0.010923,0.495667,0.406711,0.095435,0.337982,0.18605,0.451904,0.204886,0.403936,0.226522,0.018669,0.220019,0.315173,0.205485,0.333482,0.837261,0.484891,0.221865,0.530204,0.266213,0.140852,0.038293,0.281903,0.528282,0.263943,0.444455,0.101124,0.259061,0.043248,0.288702,0.009468,0.04514,0.359612,0.208332,0.259589,0.320831,0.361439,0.301985,0.409397,0.023064,-0.000257,0.026914,0.104975,0.367202,0.017573,0.05339,0.017277,0.041264,0.148434,0.636409,0.258665,-0.033048,0.506129,0.16237,0.010873,0.169949,0.115603,0.045751,0.324322,0.031036,0.145768,0.285177,0.06258,0.108224
