Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.462183,1.635314,1.148700,1.691761,3.532642,3.052598,3.820687,4.953912,5.319861,4.958590,3.725578,5.485544,5.674024,3.751288,3.632435,3.265465,4.630348,4.675364,3.159386,2.029601,2.018815,2.034609,0.916504,0.925257,0.993931,0.967892,1.052115,0.932450,0.971483,0.964010,0.946989,1.010654,0.972033,0.965244,0.968013,0.913261,0.940527,0.944841,0.963475,0.942852,1.000455,0.930377,0.933194,0.983183,0.944653,0.990919,0.909795,0.959908,0.961401,0.970611,0.946873,0.980771,0.980123,1.563668,1.565167,1.596331,1.612066,1.540411,1.563481,1.582851,1.554105,1.521071,1.545463,1.577984,0.995114,0.887143,0.906566,0.900117,0.954626,0.918477,0.967000,0.974686,0.949344,1.833296,2.463059,2.416362,2.490525,2.450922,2.459956,2.422566,2.513853,2.408875,2.457845,2.493400,2.413874,2.450791,2.407622,2.428840,2.400444,2.491228,2.423793,2.489608,2.505177,1.556295,1.529054,1.571625,1.818895,1.879024,1.867481,1.842752,1.907578,1.813694,1.846345,1.843853,1.843241,1.880465,1.803706,2.164369,2.205892,2.351099,2.288709,2.308684,2.352038,1.521443,1.557773,1.492506,1.542768,1.531018,1.544107,1.528992,1.548046,1.535119,1.524605,1.529382,1.506750,1.510283,1.442437,0.670160,0.650464,0.681028,2.304367,0.655197,0.636811,0.687406,0.692831,0.711363,0.679406,0.694279,0.705744,0.672812,0.655550,0.670498,0.700192,0.662945,0.676896,0.726117,0.696057,0.680001,0.674851,0.710731
1,2.601675,2.132119,1.863438,4.334686,2.091414,1.568268,1.320977,1.301928,1.243235,1.239578,1.210370,0.128473,0.351371,0.317581,0.141473,0.164841,0.626284,1.176067,1.233541,0.615597,0.131014,0.180168,0.201279,0.158554,0.213108,1.086050,1.081365,-0.025441,-0.006681,0.430714,0.439419,-0.053087,-0.003141,0.020447,0.775545,0.686586,0.259472,0.253945,0.299634,-0.097969,-0.118846,0.886249,0.809865,-0.098508,-0.069355,-0.092827,-0.090265,-0.066192,-0.074845,-0.043671,-0.112277,-0.080323,-0.117836,-0.041800,0.599914,0.634010,0.650379,0.621768,0.573680,0.656743,0.737368,0.774992,0.741489,0.706294,0.710121,0.702293,0.730692,0.756395,0.747440,0.690041,0.735796,0.767395,0.707567,0.745659,0.734977,0.633089,0.667887,0.632284,0.622857,0.682431,0.640304,0.664146,0.594585,0.676845,0.660294,-0.034355,-0.054969,0.743939,0.723953,0.728060,0.760431,0.731514,0.730669,0.719865,0.731019,0.756749,1.154417,1.179929,1.174711,1.200398,0.735086,0.749767,1.140023,1.155390,1.126490,1.158699,0.620282,0.607315,0.683819,0.661126,0.642214,0.643685,0.670907,0.653301,0.615949,0.616889,0.618674,0.588503,0.608327,0.679114,0.626073,0.617381,0.645074,0.648990,0.653347,0.612974,1.140342,0.662566,0.637517,0.668322,0.646899,0.612583,0.647751,0.625470,0.622531,0.684724,1.413950,1.330310,1.332066,1.371044,1.437297,1.377821,1.393498,1.399947,1.359395,1.363606,0.629371,0.685394,0.669774,0.583348
2,2.197399,5.115637,6.568021,7.708021,6.388157,5.582348,5.648490,6.405605,4.667692,4.735974,3.447085,4.347252,4.291966,4.230256,4.005069,2.797577,3.957240,4.062516,2.306751,3.516061,2.495335,2.936466,2.559579,2.363467,2.582185,2.502873,2.886783,2.855258,2.913962,2.887905,2.882626,2.638872,2.659863,2.616970,2.667406,2.667701,2.718365,2.694858,2.599333,2.633960,2.949123,2.919401,2.921012,2.953292,2.954516,3.058136,3.075397,3.126434,3.121268,3.119479,3.116299,3.083228,3.093904,2.292148,2.351620,2.284617,2.295306,2.290457,2.297594,2.362812,2.295536,2.362970,2.308218,2.288515,2.280428,2.290205,2.364615,2.318173,2.304744,2.302643,2.293301,2.286850,2.296270,2.311437,2.350648,2.565341,2.328374,2.544877,2.532087,2.540570,2.335942,2.293995,2.302605,2.325952,2.303307,2.318232,2.328983,2.300260,2.314779,2.312442,2.330070,2.288443,2.337567,2.916296,2.906971,2.929725,2.884187,2.861728,2.929916,2.845910,2.894450,2.886847,2.890252,2.886803,2.871129,2.058864,1.821896,1.803881,1.843445,1.852714,1.889667,1.819777,1.831170,1.812285,1.530891,1.945101,1.990215,1.993532,1.965587,1.957068,1.959686,1.939663,2.081980,2.088123,2.093983,2.156819,1.758269,2.048316,1.966948,1.959367,2.007149,1.968695,2.042723,1.981924,2.028025,1.967027,1.962106,2.300013,2.285175,2.303931,2.306759,2.316125,2.305163,2.285637,2.294368,1.761578,1.735647,0.579516,0.600246,1.700679
3,3.690414,3.654893,3.877034,5.602628,5.591508,5.538316,2.737125,1.389828,1.364522,1.402289,1.399371,1.402118,1.377842,1.325706,2.992811,2.940560,1.749373,0.797102,0.832688,1.883362,0.805320,1.889943,1.910101,1.948551,1.582136,1.623545,1.910969,1.912128,1.859076,1.284722,0.767407,0.673241,0.756106,0.705047,0.676312,0.705185,0.702601,0.697566,0.758418,0.749931,0.669535,1.184508,1.164501,0.724416,1.152187,1.166785,0.758089,0.775427,0.765209,0.710802,0.726979,0.742871,0.718730,0.767394,0.777856,0.744344,0.745027,0.741617,0.705465,0.808562,0.809032,0.773562,0.739831,0.775350,0.798829,0.805810,0.813984,0.799888,0.770426,0.856172,0.986614,0.898147,0.838106,0.903523,0.738349,1.639595,1.607839,1.608720,1.589872,1.581978,1.596257,1.555102,1.543413,1.563311,1.607044,0.725038,0.633462,0.686206,0.678898,0.681278,0.659263,0.692819,0.678120,-0.579516,-0.624067,0.653711,0.659889,-0.092269,0.673526,-0.078570,-0.047991,-0.584042,-0.585098,-0.617930,-0.571200,-0.597568,-0.640051,-0.596017,0.370207,0.349906,0.339800,0.324610,0.324992,0.372994,0.408431,0.327471,0.405096,0.379179,-0.093738,-0.061107,-0.096066,0.328493,0.369669,-0.216714,-0.266638,0.371213,0.314536,0.349133,0.358957,0.319456,0.349291,0.289046,0.346573,0.286763,0.320595,0.376805,0.321640,0.326976,-0.243837,-0.218462,-0.267113,-0.209945,-0.273511,-0.221752,-0.282549,-0.202532,-0.231119,-0.221519,-0.211286,-0.230235
4,4.710848,4.785125,4.312537,6.074112,6.114051,6.890417,2.775817,2.021519,2.878456,2.290773,4.249394,2.302675,2.266464,3.098068,1.618965,1.646062,1.170322,1.989868,1.680838,1.691148,1.641810,1.692230,1.697510,1.725390,1.246292,1.268376,1.750938,1.727868,1.760347,1.605321,1.614978,1.591761,1.599495,1.056189,1.103032,1.113543,1.667477,1.639101,1.682346,1.620745,1.674114,1.611730,1.633246,1.673067,1.599026,1.714357,1.645335,1.629204,1.644676,1.056334,1.020581,1.022054,1.614959,1.629461,1.607910,1.602750,1.651936,1.635457,1.693535,1.601211,1.669181,1.665797,1.671968,1.614861,1.252960,1.310478,1.609529,1.674990,1.684734,1.621963,1.258822,1.635999,1.592031,1.334766,2.064034,2.049158,0.863272,1.085614,1.145858,0.888530,0.861420,0.882054,0.876185,0.850837,1.192121,1.152546,0.562609,0.525063,0.831380,0.987076,0.987290,0.952417,1.023909,0.992287,0.824524,0.905635,0.833813,0.885129,0.883141,0.857618,0.833352,0.817469,0.884025,0.866146,0.861813,0.866880,0.888461,0.874084,0.860731,0.878471,0.870503,0.832875,0.837195,0.851839,0.851105,0.919653,0.855973,0.868174,0.864639,0.861239,0.878064,0.828339,0.852076,0.911268,0.896648,0.844600,0.866260,0.876315,0.883848,0.904623,0.873228,0.858707,0.885157,0.914451,0.875197,0.859749,0.858491,0.869194,0.886756,0.907563,0.879164,0.872672,0.842099,0.890546,0.873929,0.907923,0.869171,0.853606,0.905383,0.872017
5,0.317128,3.880421,1.803643,2.809027,2.863240,3.528786,4.466688,4.181980,5.308151,5.260326,4.730991,6.121464,5.340422,5.311849,3.649711,3.709293,3.638303,5.410638,3.662022,3.622525,3.652993,3.684449,3.641259,5.336116,3.665508,3.640019,3.382354,3.419590,3.460114,3.427443,3.345821,3.439940,3.423029,3.258730,1.776416,2.207490,2.218377,2.769791,2.778783,2.739107,2.778129,2.770893,2.772316,3.110329,3.885750,3.105240,3.109054,3.099019,3.087713,3.065279,3.069839,3.072590,3.078113,3.176889,2.059266,2.047765,1.998300,2.053384,2.056866,2.041667,1.991446,2.019724,2.005684,2.471140,2.466344,3.525160,3.535313,3.555363,3.535890,3.525290,3.520234,2.459095,2.405093,2.606903,2.670361,2.653496,2.604522,2.611914,2.572080,2.601851,2.625220,2.581765,3.061244,2.978487,2.022868,3.081077,3.616535,3.591182,3.544234,3.612409,2.692573,2.688906,2.731694,2.673199,2.665277,2.678965,3.206016,3.179332,3.210892,3.222470,3.187963,3.185881,3.164065,2.571831,3.159110,2.582516,2.557120,2.567856,2.570456,2.568726,2.536484,2.535025,2.565039,2.416158,2.471949,3.669182,3.644561,3.639552,3.652586,3.642861,3.590613,3.642415,3.636007,3.610162,3.590969,2.525988,3.116014,3.120407,3.121151,3.173009,3.122505,3.093344,3.118389,3.266558,2.873736,2.900236,3.274326,3.319712,3.331414,3.270965,3.278793,3.271833,3.309225,3.260778,3.294876,3.283382,3.326018,3.365667,3.285669,3.261729
6,2.463871,3.086121,3.424292,4.308420,3.204794,3.842516,3.222846,5.414212,5.394026,6.439359,6.391033,4.083689,4.129489,4.106933,2.488260,0.936628,3.399935,2.014857,1.466079,2.838296,3.835862,2.219919,2.190433,2.138461,1.862563,1.964179,1.908826,1.850401,1.489246,1.493007,1.577621,1.558010,1.529302,1.535535,1.569946,2.628005,1.766915,1.746760,2.672866,2.649896,2.681694,1.748846,1.751821,1.728141,1.753353,1.731417,1.766118,1.754903,1.747945,1.734741,3.771495,3.773963,1.811962,1.791811,0.955718,0.974268,1.377190,1.135904,1.442111,1.475496,1.926164,0.137242,0.103117,0.111401,0.909079,0.941091,1.939976,1.900726,1.901520,1.967388,1.907943,2.856688,2.885436,2.911048,2.942730,2.908045,2.834753,2.930246,2.888154,2.881618,2.903621,2.926422,2.872543,2.891895,1.496042,1.501078,0.470584,0.450430,0.427595,0.428734,0.499188,0.413671,0.405244,0.406559,0.432605,0.411353,0.418805,0.938951,0.935556,0.912624,0.918530,0.891463,0.855344,1.415452,0.883736,1.387935,0.895300,0.851538,0.883624,0.884445,0.888400,-0.186922,-0.286463,-0.205539,0.112303,0.096162,0.130866,0.195043,0.132308,0.087367,0.060802,-0.005347,0.021901,-0.041090,-0.029954,0.001030,-0.019330,-0.012938,0.016677,0.028842,0.008331,0.006618,-0.059835,-0.031765,0.035987,-0.023279,0.098297,0.412271,0.401049,0.449700,0.208633,0.126814,0.169895,0.126501,0.105923,0.133387,0.157745,0.745889,0.765851,0.727646
7,1.078210,1.563155,1.511780,2.666961,1.595599,1.651379,2.700297,2.684927,4.467991,4.760001,3.718170,5.677735,2.526461,1.862062,2.469469,3.456015,2.514635,3.921702,1.638766,1.679801,3.890051,3.027797,3.055940,2.993847,1.948576,1.869139,0.151293,1.954463,3.015591,3.053921,2.507790,2.411074,2.445055,2.480042,2.447772,2.462192,0.614751,0.589196,0.575981,0.598004,0.807087,0.856412,0.855827,-0.184940,0.301028,0.253963,0.389474,-0.149772,-0.128282,-0.093394,-0.087177,-0.127519,-0.144638,-0.132600,-0.146746,-0.132813,0.281327,0.370008,0.908806,0.919536,0.469347,0.514663,0.751628,0.755098,0.736933,0.722135,0.769158,1.638604,1.586555,1.542689,1.628812,0.456578,0.407541,0.476838,0.472296,0.400792,0.798179,0.819608,0.829110,0.843112,0.800758,0.830531,0.733281,0.788225,0.792357,0.820050,0.805158,0.786188,0.827495,0.782080,0.840151,0.808194,1.407323,1.404716,1.436060,1.347643,1.405140,1.372515,1.440753,1.418115,1.452445,1.458455,0.802722,0.793604,0.781046,0.843412,0.808000,0.649684,0.609811,0.607887,0.616435,0.592547,0.554014,0.606715,0.645590,0.588055,0.510081,0.829803,0.791090,0.867347,0.778774,0.783222,0.826259,0.810895,0.803457,0.823284,0.842601,0.802688,0.846848,0.820945,0.813294,0.829679,0.819381,0.760206,0.790026,0.812674,0.440228,0.422093,0.384184,0.457759,0.395839,0.383508,0.352361,0.389930,0.468115,0.396764,0.403892,-0.409286,-0.375696,-0.363024
8,1.208394,1.146048,-0.333893,0.258635,0.848358,0.856436,0.199640,0.774962,2.937320,0.968113,0.103082,0.078181,0.120581,0.135179,1.494671,1.540555,0.512732,0.463897,0.521188,0.500665,0.558604,0.496255,0.492579,0.492578,1.080117,1.104758,1.167548,2.176400,1.196343,1.163082,1.096686,1.061483,1.057156,1.202802,1.149720,1.180977,1.178579,1.080549,1.112877,1.085635,1.151481,1.113071,1.694990,1.752832,1.701775,1.687056,1.692520,1.676568,1.724996,1.708408,1.701602,1.737034,1.192662,0.488919,0.544523,0.473553,0.528490,0.514239,0.458321,0.480856,0.858951,0.535973,0.502987,0.521631,0.487873,0.506278,0.854216,0.841776,0.864559,0.839413,0.894888,0.812605,0.910867,0.921507,0.683344,0.739101,0.719053,0.686533,0.832812,0.754387,0.819927,0.880591,0.631234,0.753768,0.387908,0.397740,0.383465,0.407579,0.368952,0.379299,0.384662,0.296077,0.379242,0.423197,0.359549,0.393483,0.398566,0.324074,0.394800,0.399367,0.368377,0.394616,0.364578,0.333416,0.427624,0.451134,0.460858,0.412745,0.418448,0.388168,0.440395,0.479630,0.459642,0.394630,0.786646,0.826397,0.876967,0.824873,0.803457,0.806655,0.827878,0.792015,0.858015,0.768935,0.285676,0.270119,0.967149,0.505174,0.426466,0.457647,0.376635,0.450176,0.452021,0.471441,0.485059,0.389079,0.440909,0.463465,0.461549,0.415000,0.739628,0.691762,0.758761,0.726126,0.728109,0.719963,0.686233,0.711934,0.729408,0.727813
9,2.202324,2.555616,2.964349,2.629487,4.292474,3.968633,3.949524,4.142205,2.308970,1.257936,1.272664,1.202481,1.277131,2.232371,2.223181,2.253185,2.238871,2.265242,2.176364,2.196859,2.948167,2.309441,2.368078,1.871804,1.834090,1.846731,2.101834,2.502319,2.508367,2.515374,2.480729,3.002280,3.016346,2.631203,4.196865,4.185475,3.931460,2.531082,2.530421,3.129899,3.092494,3.173291,3.998661,3.983700,3.928076,3.919326,2.151447,1.716166,1.691993,1.668542,1.723350,1.736410,2.202149,2.210198,2.197661,2.208013,2.168187,2.171459,2.221612,2.285869,2.218230,2.208616,2.145637,1.356192,1.348445,1.340611,1.328158,2.801417,2.800435,2.777016,2.774355,2.744296,1.320400,1.254457,1.302720,1.308392,1.275057,2.725341,2.751582,2.786313,2.761851,2.780729,2.766549,2.755820,2.752851,2.760611,2.753371,2.061265,2.073866,2.088502,2.104033,2.089345,1.979122,2.020605,1.934508,2.013834,2.007782,1.991157,2.031084,2.012100,2.019615,1.978960,2.041953,1.980007,2.002123,1.718171,1.704197,2.025202,2.009760,1.992393,2.049593,1.980356,1.703947,2.025792,1.971345,1.702357,1.732849,1.687079,1.732956,1.663126,1.695403,1.730252,1.697763,2.128780,2.088521,2.088790,2.884138,2.884823,2.874166,2.880674,3.046250,3.048913,3.135304,3.077822,3.085403,3.076384,2.007083,1.959681,2.024361,2.015243,1.984593,2.028766,2.018250,2.022066,2.031538,2.006580,3.063647,3.072461,3.126153,3.047383
