Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.104751,3.949939,2.575739,2.674628,0.839053,2.386349,1.584423,0.611947,2.048561,1.442907,2.281949,1.874867,1.860435,1.969830,1.826957,1.444979,1.181549,1.176975,1.366252,0.774676,0.448454,1.134793,0.743213,0.876942,1.154270,1.348266,0.257432,0.748881,0.632372,0.651590,0.656836,0.572041,0.874883,0.974310,0.629261,0.623961,0.994140,1.185757,0.614601,0.039372,0.628566,0.660396,0.648051,0.619789,0.653513,0.625523,0.623325,0.614954,0.641219,0.635681,0.623269,0.660900,-0.021741,0.515787,0.529116,0.507254,0.010043,-0.023067,0.317035,0.207751,0.160827,0.325958,0.179648,0.453824,0.518153,0.597872,0.500957,0.285218,0.891342,1.142882,0.658730,0.722886,0.689248,0.759732,0.759498,0.784099,0.725123,0.717940,0.690711,0.713755,0.746650,0.708707,0.762830,0.677185,0.734643,0.479136,1.033374,1.180075,0.870225,1.460176,1.135737,0.873524,0.892874,1.015811,1.013573,0.955219,0.961673,1.054478,0.992560,0.664773,1.057851,0.763954,0.609230,0.103400,-0.060147,0.279101,-0.079120,-0.006514,-0.108432,-0.088421,-0.068273,-0.079811,-0.070756,0.141658,0.484660,0.478848,0.768149,0.408329,0.231287,0.290069,0.323859,0.292390,0.457698,0.210539,0.247262,0.252611,0.269770,0.178971,0.213178,0.140915,0.179827,-0.124996,0.202898,-0.127300,0.180065,0.210676,1.020190,1.002279,1.153609,0.690694,0.685473,1.158547,-0.049547,1.744504,0.529613,1.528364,0.696936,0.621573,0.281909,0.254568
1,1.254135,1.935326,2.125212,2.364375,3.820038,3.426015,4.245191,3.288972,2.718689,3.165798,1.962350,3.119798,2.032177,2.087756,1.813380,1.459224,1.842043,1.554621,1.485568,1.799638,2.068117,1.638988,2.076937,2.029540,1.628259,2.003969,2.007097,1.174379,2.136531,2.213276,1.851453,1.939092,1.574956,1.639333,1.468917,0.953634,1.643889,1.586718,1.172628,1.332052,2.252077,1.770627,1.521887,1.742602,0.839639,1.989938,1.617560,1.454661,1.790388,1.830996,0.802125,0.819689,0.811935,1.745664,1.687667,1.779194,1.783015,1.747095,1.806353,1.808369,1.780863,1.796550,1.789160,1.795005,1.805923,1.770972,1.764727,1.813179,1.797210,1.083248,1.799815,1.805212,1.847036,1.760470,1.751906,1.615628,1.932309,1.441601,2.749237,2.325747,1.694185,2.151951,1.656486,2.456427,3.088680,2.562513,1.568665,2.554911,3.186971,3.021660,2.752588,3.343157,2.957999,2.703429,3.488337,3.253273,3.124230,3.389658,2.694241,3.356702,2.672732,2.678516,2.687251,2.483834,1.941587,1.996372,2.864500,3.109880,3.556292,3.149091,1.962031,3.157385,3.114740,3.174628,2.579842,2.606031,1.472516,1.476472,1.423425,2.630730,2.003761,0.923761,1.480446,2.599968,1.478715,2.260094,2.521238,2.598020,1.941853,2.634646,1.329777,1.338127,1.693290,0.456471,0.198219,0.424970,0.473922,1.241748,0.457051,0.476216,0.466344,0.476147,0.427213,0.495332,0.922473,0.633305,0.248414,0.603007,0.293299,0.331062
2,0.199906,3.172056,4.386611,3.628373,1.406998,2.188975,2.274029,3.717205,2.429980,3.350240,2.430145,2.052870,1.495431,1.306160,1.078208,2.371401,2.443714,1.779067,1.241134,1.721218,1.273425,1.332684,2.108490,1.362442,1.345249,1.977904,2.011936,2.034287,2.618440,3.327562,2.463648,1.777481,1.175664,1.715023,1.182041,0.923033,0.824121,0.804309,0.842549,0.494403,0.974075,0.868942,0.980514,1.155552,0.997732,0.570188,0.591784,0.825706,0.816849,0.536807,0.562789,0.433243,0.561488,0.494455,0.902355,0.524489,0.814843,1.107096,0.598995,0.557896,1.456921,0.951030,1.289026,1.619915,0.853327,0.716817,0.352849,0.803779,1.795905,1.605298,0.699371,0.700264,2.479286,2.452260,1.619647,1.589114,1.597898,0.724830,1.611197,1.601791,1.582513,0.657864,0.905007,0.887273,1.136699,1.163634,1.136616,0.879547,0.803014,1.591428,1.999918,0.711604,0.988673,0.829567,0.706392,0.991328,0.571101,0.582178,0.392747,0.884637,1.532695,0.949487,0.945596,1.008468,0.960143,1.993722,0.962818,1.973169,2.654675,2.623701,1.958216,3.186600,2.021465,2.029084,2.014639,2.154040,1.602331,1.827781,1.359718,0.678876,1.358325,0.610832,0.376031,0.348535,0.884455,1.319716,0.723579,0.720296,0.682336,0.373218,1.422183,1.216650,1.218283,1.180034,1.182643,1.222023,1.254013,0.404285,1.027029,1.005958,1.008555,2.129572,1.027407,1.029886,0.972963,0.994210,0.786720,0.977969,0.894529,0.953049
3,1.199661,1.984376,2.542462,1.453472,1.254182,1.170311,1.388164,2.076732,1.673617,2.323450,1.866351,1.574445,1.767449,1.334817,2.199907,2.703214,1.587986,2.685650,0.978359,1.578424,1.539206,1.554516,1.588675,1.556472,1.890418,1.301716,2.196070,2.787822,2.830094,2.889513,1.986380,2.160326,2.041715,1.359127,1.367265,2.211910,2.175046,2.197865,1.385734,2.090864,2.325188,2.286849,1.749573,1.946743,2.136790,2.394586,2.987901,5.061654,2.968430,5.823832,6.145836,4.132274,5.841755,3.879284,3.035361,3.303448,3.293839,3.281471,2.170145,2.092603,2.630443,2.566941,1.177737,1.344320,1.225405,2.169978,2.135682,2.083886,1.569916,1.544612,1.520604,1.526027,1.589512,1.570973,1.534122,1.552401,1.577045,1.589055,1.407827,0.818292,1.503156,1.490348,1.556593,1.396136,2.089522,2.531605,1.059619,1.699496,1.214248,2.601704,1.475642,2.092438,2.023927,1.875061,1.856380,1.768526,0.873582,1.591153,2.220579,1.560867,2.234786,1.667699,1.888889,1.623834,2.256718,1.731162,1.734680,1.823033,1.916572,1.939503,2.541016,1.789350,1.593640,1.334308,2.440284,1.873491,1.906214,1.872573,1.872205,2.008094,2.061494,2.110254,2.046540,2.020374,2.018803,1.885661,2.051667,2.085176,1.911470,2.089227,1.847358,1.747186,2.119510,2.106796,1.999050,1.998505,1.958708,2.013432,1.975036,1.391183,1.391355,1.981122,1.952617,1.983400,1.993951,2.002726,1.989028,1.962756,1.562279,1.957129
4,3.009834,2.164108,5.546326,4.781614,4.126378,1.558252,2.856698,4.287247,3.113844,2.487591,2.479694,1.850410,1.852795,2.180372,1.749291,1.412591,1.775815,1.765136,1.716629,1.325728,1.052936,1.067028,1.276752,1.803010,0.937042,1.280765,1.368418,1.580430,0.722584,1.018720,0.993886,1.044878,2.233389,0.997613,1.334299,1.398448,1.028732,1.057048,1.081021,0.973171,1.013543,1.062806,1.533367,1.035395,0.555266,1.036629,0.253034,0.577654,0.505695,0.164098,0.337408,0.697330,0.284448,2.295715,0.908171,0.972887,1.045306,0.619925,0.597388,1.322929,1.457855,1.353999,1.687446,1.356876,1.674801,1.677611,1.736181,1.079378,1.218665,1.718577,1.329956,1.908398,1.655936,0.647230,1.465262,0.642085,1.085016,0.971122,0.494249,1.308723,1.405855,0.917709,1.117829,0.971671,0.681911,0.792711,0.442407,0.400035,0.366502,0.329692,0.350434,0.248248,0.824794,0.347617,0.815155,0.454481,0.388062,0.382870,0.678306,0.614894,0.740883,0.743080,0.642058,0.525965,0.738033,0.722498,0.363836,0.299258,0.357691,0.280215,0.382247,0.722488,0.375556,0.406475,0.915233,0.353449,0.357723,0.414788,0.380375,0.391155,0.430930,0.329591,0.432950,0.387311,0.421504,0.371585,0.604749,1.085967,1.120669,1.104672,1.123814,1.058323,1.402936,1.288766,1.084357,0.829853,0.849534,0.871559,0.872478,1.142426,2.149490,0.826989,1.355956,1.793975,1.106013,1.171907,1.203187,1.985343,1.077702,2.024891
5,1.159761,2.955751,3.973584,1.140827,1.944262,2.028019,2.107970,2.528868,2.543295,2.064002,2.484586,1.782440,2.123644,2.106185,2.117862,2.507551,2.490285,2.047354,2.403345,2.123557,0.468023,0.302277,1.634364,2.186495,1.414002,0.305314,0.971568,0.841031,0.083086,0.505737,0.535865,-0.275451,-0.296185,-0.008257,-0.264866,-0.244699,-0.226259,-0.278319,-0.178240,0.468320,-0.229231,-0.251580,-0.298428,-0.240215,-0.287528,-0.255630,-0.301572,-0.276616,0.523115,0.480753,0.573931,0.520780,0.503739,0.554585,0.558354,0.523008,0.507289,1.261185,0.323979,0.564439,0.489415,0.600374,0.584670,0.465569,0.451889,0.413429,0.438077,0.432103,0.756841,1.248557,0.770833,0.798444,0.722596,0.764398,0.637894,0.662879,0.546722,1.588125,1.327981,0.757321,0.837161,0.290141,0.610220,0.936090,0.434846,0.664827,1.122854,0.156689,0.166060,0.902090,0.327119,0.890277,0.290728,0.223660,0.271558,0.399116,0.312847,0.847293,0.286162,0.084893,0.074374,0.061296,0.369460,0.492214,0.125073,0.072331,0.505048,0.681454,1.195925,0.484598,1.547176,1.091632,0.818125,1.342077,1.143161,0.666311,0.472402,0.250638,0.019403,0.037680,0.037614,0.023813,-0.152183,-0.053901,-0.108474,-0.041684,-0.042166,-0.067080,-0.048334,-0.061612,-0.086516,0.247716,0.290748,0.301790,-0.070369,-0.078011,-0.065852,0.834899,-0.081032,0.274412,0.340452,0.282982,0.280496,0.270614,0.247448,0.304635,0.262364,0.230219,0.273332,0.268154
6,1.232593,2.198250,2.293683,0.605399,1.595536,0.850452,0.532048,1.214117,1.531405,0.846361,0.850013,1.887339,2.375996,2.392687,1.434366,2.921045,1.537812,1.764421,1.641605,1.994080,1.305904,0.659182,1.479802,0.955368,2.124112,1.380025,1.538506,2.867382,2.798132,1.380378,2.070085,1.957785,1.994522,0.724947,0.748700,-0.062886,0.817055,0.022931,0.625628,0.348745,0.727415,1.119443,0.904242,0.261237,0.981838,0.700552,-0.056495,0.401215,0.328321,0.120533,0.067182,0.579219,0.314876,0.584681,0.851328,0.125830,0.537772,0.529030,0.251312,0.536726,0.576170,0.540302,0.125363,0.557290,0.655771,1.002753,0.530361,1.352889,0.267087,1.429555,1.368719,1.391749,1.329734,1.410682,1.383957,1.423270,1.354180,2.014167,1.372763,0.502708,0.415343,0.110698,1.501939,0.169607,1.385625,1.384924,1.506082,1.478115,0.602786,0.582941,0.565535,0.520102,0.582889,0.562217,0.538121,0.466766,1.501835,1.117448,0.198519,1.082207,1.144240,1.367619,1.117538,0.702929,1.195298,0.527158,0.888887,1.284924,1.087238,0.465452,1.410564,1.517372,1.388283,0.273694,1.152963,0.587132,0.518218,-0.092967,0.541337,0.116687,0.330238,0.589481,0.326121,0.202561,0.596223,-0.110344,-0.134794,-0.090288,-0.093850,-0.070524,-0.075574,-0.060537,0.051029,0.667068,0.027221,-0.010736,0.749026,0.715709,0.381321,0.457319,0.344235,0.345534,0.390067,0.101624,0.050007,0.085737,0.431294,0.380308,0.427829,0.992307
7,1.688510,4.177155,1.743127,2.137458,1.589909,1.631310,1.175760,1.701054,1.003982,1.297174,1.461505,0.370406,0.961024,0.877720,1.195473,1.465206,1.202291,1.399579,1.583270,2.160623,1.369406,2.295362,2.323891,3.234813,1.884752,1.979378,2.142461,2.100402,1.829309,2.545013,2.129676,3.623109,1.828595,1.877704,1.872947,2.225668,2.072303,1.681874,2.522819,1.702511,1.693337,2.066186,1.855322,1.500624,1.491148,1.073507,1.396569,1.407600,1.378447,1.022398,1.567207,1.116313,1.083883,1.131476,0.891295,1.110624,1.112913,1.125928,0.948528,0.978129,1.810252,0.942212,0.703321,1.090770,0.793621,1.197823,1.117131,1.181592,1.178991,1.706987,1.685744,1.237426,0.718779,0.740873,1.208516,1.246081,0.940180,0.906078,0.921013,0.918138,0.927947,0.884147,1.566325,1.554280,1.230462,2.754094,2.711934,1.262854,1.454498,1.477772,1.447103,2.734450,1.209046,1.256285,1.608366,2.307956,2.395962,1.679240,0.806548,2.084347,1.990913,2.157072,1.956696,1.675991,1.388525,1.424230,1.362310,2.246743,0.859453,1.344293,2.118000,2.496408,1.593481,2.534404,1.669986,2.552195,2.180223,2.630110,2.520697,2.552060,2.596155,1.509631,0.962938,1.550673,2.169994,1.852199,2.188525,2.150436,2.369102,2.490743,1.910898,2.562537,2.541403,1.970043,1.606859,2.089645,2.385130,1.817987,2.712996,2.032185,2.056390,2.510983,2.223979,2.060779,2.322532,2.450768,2.064659,3.222862,2.264265,2.579685
8,2.280077,1.683202,2.467171,2.355941,1.744565,1.615157,0.966203,1.782293,1.156102,0.946385,1.002616,1.461112,1.513242,1.047618,1.101928,1.016171,0.962970,2.110210,1.759606,2.302586,1.469109,1.532402,1.992326,1.611347,2.608319,2.142572,1.410747,1.380431,1.442801,0.768545,0.771552,0.851794,1.388673,1.357831,1.351437,1.414078,1.284551,1.419391,1.417398,0.771634,0.758404,0.800082,0.807536,0.761154,0.797508,0.793285,0.804868,0.774034,0.687259,1.378801,0.859065,0.794204,0.819399,0.788986,0.809404,0.806991,1.387416,1.332533,1.687456,2.136099,1.630917,1.630799,2.350481,1.490033,1.669739,1.681793,0.943266,1.342325,1.314206,1.325506,1.964789,1.857046,0.857086,1.440408,1.417116,0.855421,0.824216,0.821873,0.839995,0.785242,1.151011,0.858479,1.327971,0.640987,1.134407,1.173168,1.141013,1.169313,1.667452,0.599838,1.110096,1.068491,1.066422,2.178292,1.700449,1.935999,2.230983,2.165368,2.052626,1.443827,1.876157,2.759465,2.777936,1.827346,2.170878,1.503787,2.173764,1.862028,2.282215,2.920944,2.124144,2.156164,3.090059,3.600381,2.630069,2.631669,2.604500,2.587797,2.586557,2.802498,2.612752,2.641939,2.570146,1.146144,1.759131,2.571461,1.458057,2.307592,2.343680,1.380397,2.580535,1.143889,1.774139,1.794806,1.180924,1.788622,1.685975,1.539705,1.977773,0.323661,0.162846,0.657998,0.537143,0.273040,0.729841,0.270007,0.738420,0.844490,1.440980,0.715615
9,0.850575,1.579581,2.044587,1.994920,2.733549,2.523452,2.299656,2.222141,0.763844,1.099292,1.531271,1.133301,0.997970,1.642784,3.472911,2.231785,2.580920,2.569047,1.437303,2.283422,2.743843,2.269973,2.410056,2.219859,1.669664,2.275101,2.803672,3.644579,3.267938,3.103200,2.474730,2.805811,2.049614,2.353081,2.351261,2.375775,4.030281,4.625148,3.419020,4.117649,2.866517,4.918651,3.599125,3.536432,4.112731,3.666841,4.033230,2.858394,4.086112,4.185126,2.723851,2.738829,3.401283,3.671037,3.276564,2.743134,3.286456,2.818149,3.142320,5.600277,4.547985,3.252537,3.903046,3.830230,3.519645,3.471910,2.484972,2.463684,1.542337,2.809802,2.735622,1.083564,2.886257,1.882782,1.413167,2.385688,1.778031,2.778460,2.240516,1.428313,1.416851,1.036396,0.646287,0.729954,0.688608,1.149135,1.689256,1.729716,0.868402,1.781868,2.184633,2.163237,1.608467,1.130026,0.922566,1.908496,0.782926,1.210556,1.223420,1.312632,0.914655,1.235817,0.854038,0.802072,0.846499,1.145143,1.422787,1.319948,1.730433,0.908608,1.088217,0.363352,1.189054,0.347620,0.900760,1.107341,-0.141284,1.493630,0.363887,0.848618,1.051197,1.179238,1.654911,1.278632,2.202412,0.845947,0.381317,0.868491,0.865250,1.560190,0.391910,0.378222,0.842167,0.972186,0.478714,0.801696,0.851726,0.378145,1.201278,0.352814,0.894120,0.853109,1.645266,2.355348,2.048746,1.523022,1.483279,0.893862,1.427528,1.521261
