Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.306387,3.243623,3.282922,3.313179,3.224328,3.158933,3.333199,3.227562,3.244770,3.255085,3.240271,3.230348,3.228735,3.281152,3.241332,3.211544,3.300538,3.262261,3.268081,3.202345,3.272310,3.278722,3.247951,3.291268,3.207106,3.298520,3.251017,3.238600,3.288727,3.259590,3.198181,3.214821,3.208616,3.183616,3.246103,3.271406,4.383682,3.214181,3.263725,3.267610,3.250342,3.246208,3.240383,3.155194,3.241778,3.261437,3.252611,3.267646,3.236833,3.250793,3.254986,3.190721,3.252803,3.272455,2.574621,2.585833,2.567993,1.552078,1.579359,1.552251,1.558424,1.543888,1.590994,1.614050,1.571640,1.608647,1.591555,1.614849,1.580544,1.578713,1.599981,1.596966,2.547711,2.564639,2.612675,1.621866,2.476233,2.472113,2.488325,1.622614,1.620897,1.600358,1.546489,1.591799,1.603791,1.602758,2.538386,2.487493,1.580301,1.552889,1.602289,1.596666,1.598180,1.600665,1.599540,1.591670,1.590829,1.551749,2.516755,2.441511,2.525147,2.461126,2.523185,2.528226,1.614166,2.510958,1.598545,1.591105,1.573266,1.562616,1.598113,1.631222,1.604920,1.602671,1.599136,1.593057,1.579450,1.611253,1.579059,1.590440,1.621013,1.562087,1.591694,1.601479,1.553261,1.547845,1.604209,1.602001,1.614180,1.576723,1.581336,1.613188,1.594743,1.566032,1.579022,1.582887,1.608441,1.592473,1.588301,1.585190,1.582457,1.567076,1.590731,1.535844,1.566325,1.591475,1.530484,1.603229,1.593658,1.578442
1,3.245305,3.245892,3.197762,3.241941,3.193598,3.228324,3.190972,3.285140,3.231043,3.176909,3.175166,3.230538,3.199801,3.244296,3.207418,3.215317,3.260270,3.226493,3.183213,1.535353,1.579387,1.512553,1.517410,1.554588,1.587020,1.581013,1.558580,1.588878,1.546479,1.508682,1.578035,1.530908,1.568387,1.518017,1.546422,1.545892,1.564630,1.553353,1.523221,1.506779,1.543258,1.529888,1.577117,1.521892,1.585564,1.565651,1.571654,1.582547,1.533207,1.523233,1.513756,1.556052,1.555794,1.543593,1.547556,1.526395,1.539595,1.589040,1.547351,1.520357,1.529899,1.529001,1.526715,1.547312,1.536655,1.522896,1.530819,1.491281,1.542603,1.563534,1.577769,1.580245,1.563021,1.512605,1.569561,1.548464,1.529936,1.556982,1.558809,1.546978,1.514794,1.517682,1.584958,1.528921,1.550323,1.521370,1.578772,1.584400,1.528021,1.574727,1.504620,1.540476,1.567461,1.581128,1.526946,1.569348,1.606392,1.569898,1.580339,1.514213,1.543742,1.610652,1.621806,1.527061,1.566785,1.560584,1.535830,1.542703,1.573096,1.530336,1.566257,1.535063,1.577689,1.531020,1.591955,1.553286,1.575983,1.556020,1.552056,1.591564,1.543960,1.558137,1.561317,1.528136,1.509363,1.535299,1.529564,1.551734,1.563221,1.581585,1.549583,1.536583,1.561532,1.565622,1.515526,1.586998,1.561692,1.519564,1.580766,1.529376,1.553265,1.511836,1.532513,1.536800,1.559438,1.569414,1.550338,1.528278,1.503156,1.547935
2,3.244060,3.186672,3.199586,3.148545,3.231783,3.253554,3.229136,3.243538,3.223747,3.183806,3.224440,3.191638,3.209294,3.210635,3.196092,3.233728,3.249207,3.198246,3.217986,3.160912,3.214288,3.221255,3.199717,3.236390,3.223296,3.204839,3.172661,3.267070,3.204621,3.168276,3.175241,3.151632,3.197533,3.175627,3.161730,3.151151,3.191608,3.183041,3.187552,3.154522,3.217039,3.140857,3.226584,3.197125,3.218878,3.202047,3.185169,3.173445,3.181347,1.525263,1.488613,1.473203,1.555119,1.538134,1.502843,1.549830,1.596698,1.510809,1.528749,1.512105,1.529079,1.606666,1.555027,1.596440,1.543944,1.485603,1.546782,1.520586,1.526488,1.541991,1.530194,1.576506,1.539459,1.500493,1.527827,1.575365,1.574185,1.515562,1.507921,1.509542,1.548256,1.558467,1.529585,1.522109,1.540993,1.516919,1.529562,1.541037,1.511856,1.551083,1.519649,1.500871,1.509631,1.549940,1.553207,1.522018,1.482009,1.568415,1.561450,1.554910,1.533865,1.530877,1.509952,1.541546,1.537462,1.492098,1.519333,1.539436,1.480070,1.497677,1.523955,1.558869,1.527197,1.548141,1.520597,1.537786,1.575085,1.485322,1.524754,1.505512,1.581607,1.593845,1.520966,1.603905,1.543710,1.574301,1.522937,1.538791,1.533019,1.594802,1.537463,1.502753,1.529583,1.549233,1.575574,1.453458,1.554629,1.538048,1.524939,1.525174,1.530602,1.566303,1.513406,1.540838,1.533028,1.502609,1.514473,1.510278,1.523241,1.567494
3,3.277501,3.282062,3.208884,3.270125,3.276061,3.161920,3.215463,3.293504,3.295859,3.205284,3.206103,3.290067,3.263885,3.310855,3.272935,3.292592,3.239746,3.261434,3.237508,4.358539,3.278415,3.307361,3.265106,3.249504,4.397727,4.326220,4.351930,4.341721,4.378751,4.359992,4.363014,4.394834,4.359879,4.362155,4.328832,4.368521,4.441366,4.337272,4.373243,4.377274,4.339601,4.411898,4.346564,4.394393,4.329919,4.410553,4.414557,2.503960,2.520257,2.448823,2.546857,2.511080,2.488292,2.522651,2.541401,2.529779,2.456669,2.508866,2.543509,2.552040,2.446932,2.473785,2.472364,2.509433,2.502316,2.526770,2.512817,2.527092,2.470314,2.478514,2.494806,2.496511,2.512645,2.531222,2.504844,2.489953,2.550077,2.488733,2.535611,2.515062,2.470520,2.536047,2.506880,2.496172,2.505124,2.515208,2.512520,2.528107,2.486690,2.519831,2.492975,2.499746,2.523671,2.498320,2.497726,2.519374,2.496261,2.514086,2.480699,2.482185,2.487565,2.533907,2.499169,2.479555,2.505527,2.484404,2.508582,2.557507,2.533338,2.495839,2.515576,2.505161,2.509887,2.506044,2.507094,2.478465,2.474110,2.504748,2.496079,2.535105,2.497074,2.539483,2.521743,2.526270,2.540427,2.543740,2.523646,2.522581,2.504433,2.487007,2.508084,2.517874,2.493737,2.544858,2.494060,2.579217,2.545718,2.521383,2.506889,2.514525,2.506486,2.536362,2.509667,2.519028,2.482715,2.491107,2.546286,2.479058,2.508244,2.557012
4,3.189960,3.244889,3.222458,3.218225,3.232288,3.218326,3.237154,3.238349,3.161865,3.227332,3.206289,3.263546,3.259435,3.261071,3.274224,4.376933,4.368270,4.374659,4.416426,4.371293,3.215022,1.595508,1.579366,3.284790,3.277566,3.282332,3.244033,3.201449,1.571437,1.630180,1.571382,1.564633,1.564997,1.561465,1.550785,1.607076,1.554034,1.573127,1.537660,4.360335,1.581192,1.572988,1.566703,1.560691,1.558647,1.574900,1.623817,1.571980,1.611116,1.600179,1.602894,1.572562,1.576780,1.581150,1.565581,1.606767,1.550843,1.573563,1.566835,1.582956,3.237953,3.298922,3.284971,3.245033,3.235433,3.177318,3.302166,3.211735,3.250605,3.230571,3.240085,3.228766,3.295907,3.276209,3.214311,1.592637,1.589064,1.583964,1.591034,1.577225,1.560323,1.544532,1.540591,1.599006,1.601409,1.558430,1.600811,1.536550,1.585327,1.608303,1.609114,1.571500,1.546903,1.590371,1.594712,1.572494,1.526958,1.544358,1.618978,1.606659,1.625839,1.549980,1.580935,1.599502,1.579486,1.654172,1.622068,1.537666,1.556623,1.570677,1.598441,1.583414,1.617506,1.607500,1.624087,1.564799,1.629445,1.597179,1.583106,1.571820,1.548431,1.562528,1.554751,1.594419,1.580026,1.624980,1.578155,1.591613,1.597644,1.581059,1.597029,1.584515,1.543699,1.612420,1.561238,1.559881,1.579676,1.603804,1.566991,1.594259,1.621577,1.579406,1.595377,1.557591,1.607658,1.560995,1.581490,1.576790,1.590557,1.580605
5,3.232788,3.238452,3.272586,3.296689,3.227135,3.273661,3.259024,3.293252,3.225012,3.228605,3.232712,3.196418,3.244473,3.286095,3.249184,3.268515,3.168268,3.260826,2.673616,1.580401,4.300620,1.554925,1.612769,1.587961,1.587023,4.348471,4.384798,2.723420,1.549507,2.693719,2.721552,2.699432,4.339743,1.565169,1.599917,1.617190,1.566413,3.263415,3.243565,1.573092,1.597257,1.578881,1.561173,1.581813,1.617389,1.580415,1.597179,1.573495,2.540127,2.514052,1.599552,2.460185,1.575898,1.554585,2.495001,2.484823,2.494190,1.566070,2.469337,1.555329,2.490680,2.472032,2.479300,1.558764,1.607660,1.581979,1.563191,1.544064,1.570693,1.595467,1.541100,1.599003,1.574192,1.609990,1.562937,1.587536,1.625583,1.544088,1.567550,1.578641,1.511923,1.518959,1.597467,1.570231,1.552866,1.624952,1.591332,1.598683,1.586933,1.597447,1.539419,1.597313,1.587084,1.564145,1.531955,1.519971,1.575755,1.606867,1.582462,1.551099,1.521128,1.559897,1.563953,1.562140,1.636032,1.596570,1.576581,1.576894,1.537578,1.624942,1.637268,1.568815,1.580766,1.610775,1.517665,1.576739,1.591441,1.612632,1.587550,1.593531,1.554736,1.573906,1.568082,1.611806,1.570789,1.573307,1.548202,1.592707,1.566843,1.625825,1.527282,1.594734,1.571054,1.578040,1.591884,1.511730,1.613480,1.564097,1.570741,1.530839,1.605938,1.574838,1.588530,1.584524,1.568519,1.576416,1.548827,1.565536,1.587745,1.593559
6,3.203258,3.207353,3.185758,3.212106,3.201265,3.170167,3.195546,3.175813,3.240156,3.202012,3.267487,3.218676,3.293568,3.209255,3.207716,3.202050,3.188112,3.188830,3.185569,3.224139,3.193621,3.262075,3.186029,3.158307,3.251615,3.194541,3.235900,3.163283,3.239341,3.208194,3.190057,3.249502,1.548506,1.510578,1.555043,1.524515,1.531103,1.557931,1.530589,1.538787,1.568183,1.544375,1.555669,1.567632,1.527674,1.511197,1.524686,1.569908,1.554308,1.570152,1.573910,1.545363,1.553493,1.520335,1.588435,1.531330,1.533797,1.533982,1.569158,1.512981,1.497938,1.563903,1.594631,1.544792,1.536874,1.566759,1.529763,1.559904,1.539541,1.552359,1.557597,1.541745,1.567175,1.545235,1.549938,1.559884,1.531096,1.498603,1.535549,1.535306,1.560829,1.559912,1.515347,1.580689,1.561800,1.560693,1.579563,1.560798,1.577292,1.539954,1.514665,1.499057,1.539238,1.539447,1.541819,1.524451,1.523466,1.543082,1.552765,1.528060,1.571488,1.558366,1.543442,1.535145,1.570316,1.513672,1.517333,1.530447,1.553604,1.583732,1.553133,1.528403,1.513591,1.532727,1.527685,1.533595,1.508853,1.520481,1.570338,1.582946,1.578526,1.567500,1.525115,1.556428,1.538586,1.536670,1.591223,1.559505,1.550909,1.537174,1.545368,1.596781,1.541747,1.600979,1.523852,1.529552,1.561534,1.502588,1.544210,1.535672,1.556298,1.507296,1.536388,1.543549,1.519507,1.588483,1.486500,1.471281,1.525099,1.508597
7,3.262850,3.222787,3.262143,3.263262,3.248597,3.286820,3.305254,3.193944,3.276283,3.197180,3.258877,3.291426,3.236136,3.273093,3.266322,3.219152,3.226273,3.300189,3.266963,1.572316,1.614661,1.577772,1.622948,1.555578,1.554383,1.616460,1.554646,1.596097,1.539185,1.591249,1.625879,1.554177,1.576959,1.571474,1.592855,1.591299,1.555389,1.540662,1.584016,1.580876,1.585023,1.591088,1.565330,1.611833,1.569915,1.590440,1.551935,1.590864,1.571696,1.616761,1.566977,1.561755,1.633835,1.574489,1.582929,1.600321,1.600141,1.590528,1.554658,1.597841,1.586048,1.560204,1.592470,1.579385,1.564932,1.609961,1.583619,1.575681,1.599895,1.603994,1.614730,1.559711,1.590036,2.534277,1.576839,1.525997,1.560605,1.543545,1.582418,2.546990,1.577705,2.465190,2.469724,2.494549,2.535004,2.492478,2.509655,2.506911,2.536963,2.515509,2.491174,2.503551,2.513024,2.503596,2.520853,2.545842,2.482067,2.464690,2.482124,2.486325,2.502292,2.498254,2.544206,2.493419,2.464605,2.501780,2.539618,2.507054,2.513546,2.480314,2.461901,2.464331,2.502999,2.544947,2.528871,2.508744,2.514450,2.469991,2.505522,2.527246,2.449450,2.471562,2.505244,2.481858,2.550875,2.490450,2.464273,2.533368,2.469367,2.482013,2.553628,2.535069,2.538648,2.508631,2.470504,2.532426,2.516076,2.474001,2.529204,2.520274,2.499932,2.474642,2.485715,2.521926,2.541368,2.519322,2.496672,2.540685,2.508342,2.471643
8,3.254319,3.205001,3.209369,3.222579,3.290055,3.296051,3.213736,3.294907,3.266948,3.314037,3.346447,3.265328,3.263981,3.272731,3.249650,3.249953,3.245364,3.256955,3.239287,3.236845,3.302579,3.268044,3.296311,3.260589,3.274515,3.299005,3.229826,3.234009,3.258742,3.277390,3.228871,3.218815,3.258453,3.285414,3.267682,3.255115,3.237939,3.238201,3.222458,3.227249,3.258234,3.229632,3.270620,3.237393,3.290620,3.263279,3.280043,3.258700,3.255848,3.299338,3.230147,3.283430,3.302268,3.256498,3.244141,3.281938,3.240932,3.247206,3.260534,3.266768,3.268997,3.250553,3.259239,3.289173,3.260715,3.266150,3.265291,3.286098,3.287306,3.284257,3.261762,3.262652,3.325711,3.285607,3.254159,3.241878,3.254639,3.235803,3.309687,3.205756,3.270902,3.212749,3.247991,3.307039,3.250911,3.266005,3.306959,3.283234,3.242934,3.293992,3.278248,3.239675,3.273365,3.273886,3.258391,3.220516,3.248298,3.285700,3.291207,3.270218,3.316873,3.278336,3.227100,3.284068,3.257091,3.248252,3.214232,3.296853,3.255680,3.238304,3.301869,3.241676,3.232971,3.263279,3.277364,3.232226,3.218695,3.228006,3.264672,3.256691,3.269232,3.289434,3.286423,3.268835,3.263574,3.326723,3.268639,3.282167,3.245721,3.208265,3.238060,3.299037,3.262144,3.252063,3.252079,3.265425,3.275274,3.303815,3.275416,3.238625,3.239668,3.291054,3.244924,3.239902,3.254532,3.241351,3.242197,3.237522,3.197586,3.261047
9,3.273529,3.238035,3.208081,3.277976,3.234681,3.288945,3.204794,3.257035,3.249362,3.242157,3.218506,3.224121,3.176732,3.241575,3.216034,3.203041,3.241575,3.232471,3.215933,3.266550,3.200613,3.231301,3.186568,3.235530,3.230918,3.157828,3.222062,3.248616,3.234931,3.240873,3.267719,1.589170,1.574848,1.540846,1.564377,1.597102,1.561312,1.538178,1.560846,1.548219,1.568838,1.531525,1.557365,1.569255,1.572026,1.586469,1.576850,1.544914,1.537616,1.595293,1.562662,1.581957,1.592553,1.563827,1.552997,1.574499,1.598867,1.565684,1.572508,1.517717,1.570544,1.554900,1.598888,1.553154,1.603343,1.566176,1.572467,1.614831,1.550819,1.562834,1.543033,1.581486,1.598591,1.513915,1.553567,1.585796,1.535834,1.584577,1.539537,1.542467,1.594600,1.613449,1.563914,1.553697,1.569419,1.594902,1.572073,1.537291,1.577962,1.566266,1.588111,1.534232,1.573641,1.522906,1.529562,1.612143,1.592469,1.526090,1.597422,1.579758,1.557346,1.552485,1.570727,1.550933,1.596721,1.545774,1.565024,1.568349,1.554674,1.567298,1.549570,1.597136,1.593359,1.590323,1.540574,1.569203,1.558585,1.544158,1.572890,1.545690,1.543386,1.562420,1.553291,1.525905,1.547568,1.544024,1.593031,1.513476,1.597085,1.538535,1.609149,1.565100,1.549363,1.553498,1.578471,1.550089,1.608066,1.623357,1.587456,1.562049,1.562465,1.578191,1.607473,1.594407,1.581540,1.571870,1.594608,1.558197,1.560791,1.552036
