Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.055215,0.273496,0.341552,0.450588,0.568790,0.884155,0.268592,0.730244,0.950379,0.571276,0.524802,0.688211,0.599019,0.085041,0.615303,0.000887,-0.042986,0.594934,1.188721,0.288023,0.301274,0.397026,0.366792,0.200106,-0.234208,0.128149,0.095350,-0.132182,0.004610,0.486324,-0.415029,-0.319385,-0.123886,0.126206,-0.144251,0.031744,0.513101,-0.263842,0.170734,-0.115723,0.114820,0.471663,0.540386,0.295214,0.599262,0.061550,0.374778,0.835462,0.709238,0.728963,0.182219,0.742240,0.803539,0.948994,0.791111,0.727121,0.836672,0.863764,0.838707,0.194070,0.238769,1.052812,0.852816,0.847177,1.010087,1.049171,1.025528,1.046293,0.793539,0.879574,0.833910,1.132917,1.101277,1.229188,1.215510,1.093550,1.189150,1.171681,0.922150,0.827239,0.959287,0.901044,0.287851,0.284430,0.280398,0.290962,0.035045,-0.247706,-0.121710,-0.101110,-0.111961,0.088874,0.071307,-0.016957,-0.035057,-0.045471,0.056448,0.030375,0.310110,0.324803,0.241736,0.829686,0.799112,0.465085,0.210700,-0.058920,0.204253,-0.069621,0.216352,0.227996,-0.035851,-0.072148,-0.111008,-0.094621,-0.417807,-0.403333,-0.364191,-0.413728,-0.115270,-0.372536,-0.406920,-0.435433,-0.422809,-0.407518,-0.443698,-0.356210,-0.354631,-0.356661,-0.028082,-0.057076,-0.015015,-0.050907,-0.036502,-0.058523,-0.057955,-0.010042,-0.039637,-0.327328,-0.034487,-0.044817,-0.075023,-0.043271,-0.055655,-0.052404,-0.081532,-0.072811,-0.077832,-0.043046,-0.062311,-0.044187
1,-0.213200,-0.210883,-0.262209,0.062654,-0.156833,-0.289146,-0.070970,-0.139910,-0.299076,-0.106960,-0.107688,-0.238988,-0.140754,-0.109273,-0.123248,-0.334506,-0.380521,-0.459303,-0.313298,-0.315614,-0.037766,-0.283703,-0.267833,-0.192245,-0.328133,-0.392853,-0.393859,-0.370763,-0.426737,-0.373397,-0.267801,-0.236018,-0.325233,-0.274779,-0.268248,-0.181315,-0.326026,-0.431901,-0.398908,-0.480815,-0.438690,-0.520315,-0.513705,-0.471557,-0.348550,-0.317240,-0.448732,-0.485552,-0.512951,-0.461152,-0.476158,-0.371649,-0.383587,-0.339939,-0.477115,-0.316242,-0.435410,-0.412662,-0.362990,-0.447998,-0.374275,-0.533986,-0.536027,-0.586029,-0.602066,-0.478946,-0.380579,-0.480611,-0.376311,-0.390734,-0.502867,-0.521033,-0.410861,-0.338398,-0.425011,-0.243533,-0.231496,-0.342290,-0.264340,-0.262835,-0.354660,-0.403249,-0.484219,-0.501045,-0.403582,-0.416372,-0.358483,-0.315584,-0.320263,-0.348368,-0.264411,-0.263563,-0.337859,-0.329958,-0.264887,-0.319452,-0.495119,-0.488369,-0.410130,-0.062184,-0.180246,-0.365213,-0.326944,-0.274275,-0.265010,-0.284792,-0.250029,-0.345292,-0.328873,-0.341555,-0.378060,-0.293897,-0.302876,-0.325804,-0.300933,-0.279213,-0.279883,-0.283379,-0.294385,-0.279523,-0.318671,-0.376541,-0.314016,-0.287472,-0.363976,-0.280226,-0.312778,-0.299119,-0.314099,-0.322400,-0.258605,-0.268751,-0.311114,-0.305187,-0.321231,-0.274854,-0.308267,-0.264465,-0.308400,-0.235040,-0.327581,-0.334973,-0.267876,-0.353069,-0.279939,-0.307361,-0.314263,-0.318375,-0.316121,-0.265340
2,0.968559,1.267978,0.184069,-0.066682,0.066806,-0.139452,0.138002,-0.286365,-0.080904,-0.070552,-0.128891,0.156868,-0.111402,-0.121941,-0.149568,-0.152024,-0.196221,-0.041999,0.060784,-0.109438,-0.084002,-0.109836,-0.084080,-0.264372,-0.122034,-0.184647,-0.262497,-0.233792,-0.257768,-0.259146,-0.251038,0.023683,0.080625,-0.239139,-0.163605,-0.090190,-0.118642,-0.110828,-0.013715,-0.039612,-0.279460,-0.237019,-0.197769,-0.185400,-0.249122,-0.056017,-0.042712,-0.012211,-0.274268,-0.305938,-0.260399,-0.316081,-0.288229,-0.376652,-0.286446,-0.426652,-0.301477,-0.214872,-0.294661,-0.241172,-0.278353,-0.327857,-0.310764,-0.242934,-0.152112,-0.297934,-0.329946,-0.300641,-0.311716,-0.301494,-0.306602,-0.278647,-0.427421,-0.365066,-0.412359,-0.417163,-0.421583,-0.288427,-0.452765,-0.494405,-0.522396,-0.498859,-0.520786,-0.431730,-0.269777,-0.371349,-0.355501,-0.313254,-0.479340,-0.261570,-0.276044,-0.302930,-0.354262,-0.368739,-0.345155,-0.261876,-0.402935,-0.345213,-0.343900,-0.378336,-0.537388,-0.489979,-0.462419,-0.481163,-0.450529,-0.449057,-0.501115,-0.461724,-0.295110,-0.444767,-0.449388,-0.477294,-0.399377,-0.450091,-0.454074,-0.463045,-0.409910,-0.293839,-0.486169,-0.291365,-0.424098,-0.439247,-0.458645,-0.470743,-0.456965,-0.465646,-0.387271,-0.343929,-0.400871,-0.385326,-0.346197,-0.357384,-0.381472,-0.336457,-0.397005,-0.372193,-0.135067,-0.211113,-0.121003,-0.147165,-0.101617,-0.180320,0.189192,-0.228580,-0.156192,-0.147769,-0.323060,-0.207682,-0.206999,-0.276929
3,0.286292,-0.003067,-0.070945,-0.320903,-0.053510,0.351147,-0.021683,-0.070956,0.394374,0.361313,0.301786,0.306175,0.642750,0.497300,0.066657,0.128031,-0.069471,-0.124898,0.140539,-0.031408,-0.028457,0.033188,-0.200487,-0.195146,-0.196350,0.008964,0.086882,-0.260751,-0.245705,-0.160455,-0.303801,-0.235451,-0.534636,-0.373207,-0.511895,-0.329828,-0.366627,-0.347124,-0.514111,-0.245176,-0.368416,-0.396065,-0.507274,0.112448,-0.003663,0.310551,-0.318862,-0.390059,-0.197688,-0.108690,-0.072796,-0.040920,-0.324859,-0.333890,-0.250217,-0.348820,-0.376021,-0.245568,-0.224414,-0.297333,0.230713,-0.014732,-0.028693,-0.019826,-0.387694,-0.182301,-0.400760,-0.194337,-0.571306,-0.487951,-0.545115,-0.424977,-0.451297,-0.555991,-0.606404,-0.471655,-0.222154,-0.336284,-0.370400,-0.350367,-0.289721,-0.165997,-0.235940,-0.246331,-0.256814,-0.294992,-0.153216,-0.175825,-0.173631,-0.166543,-0.260566,-0.282161,-0.276155,-0.271351,0.106402,0.110245,-0.188337,-0.160796,-0.209645,-0.180934,-0.186568,-0.190255,-0.061836,-0.072165,-0.074407,-0.034603,-0.230208,0.159571,0.177823,-0.187027,-0.194442,-0.283687,-0.303601,-0.304331,0.039858,-0.254151,-0.206675,-0.308926,-0.273570,-0.166767,-0.196458,-0.052228,-0.052928,-0.243526,-0.114417,-0.043766,-0.087317,-0.362724,-0.366421,-0.347095,-0.059358,-0.062286,-0.035655,-0.074641,-0.073692,-0.376794,-0.396248,-0.364477,-0.342240,-0.042546,-0.057663,-0.330867,-0.348536,-0.346648,-0.330346,-0.336925,-0.336263,-0.356595,-0.315983,-0.273334
4,0.410916,0.628936,0.891732,0.900353,0.898823,0.775560,0.470789,1.286925,1.133215,1.084526,0.489130,-0.065250,0.114458,0.082691,-0.146540,-0.324523,-0.277348,-0.383949,0.371795,0.330771,0.236201,0.692418,0.161631,0.370617,0.407682,0.203411,0.224982,0.193156,0.176909,0.768348,0.406530,0.206413,0.172366,0.204800,-0.059083,-0.034103,-0.210093,-0.063663,-0.060571,-0.061522,-0.178268,-0.015376,-0.166398,-0.198857,-0.348060,-0.155430,-0.215959,-0.262861,-0.271310,-0.233331,-0.163403,-0.210672,-0.207107,-0.171209,-0.193091,-0.157925,-0.238136,-0.292967,-0.269885,-0.302630,-0.035158,0.013897,-0.064940,0.013719,-0.012203,-0.264102,-0.483907,-0.117845,0.038342,0.023236,-0.000896,0.000299,0.177702,0.176585,-0.026989,-0.051582,0.258460,0.270060,0.012838,0.219629,0.229716,0.241208,0.216624,0.197796,-0.049799,-0.002493,-0.006081,0.024427,-0.021443,0.208050,0.214367,0.175365,0.198225,0.238789,0.205340,0.204782,0.216524,0.064873,0.027689,0.059314,0.115402,0.191628,0.220630,0.085159,0.153860,0.096391,0.229763,0.250741,0.252639,0.272430,0.270315,0.231286,0.270352,0.245560,0.250222,0.278859,0.506816,0.211477,0.173257,0.180615,0.212076,0.214298,0.203477,0.212601,0.198393,0.229121,0.216707,0.188481,0.195029,0.221831,0.194783,0.185782,0.163514,0.213669,0.176293,0.247898,-0.045354,-0.036124,-0.021777,0.200500,0.191187,-0.014052,-0.021593,-0.042453,-0.011501,0.002163,0.028186,-0.028968,-0.037902,-0.014000
5,0.070889,0.151372,-0.071491,-0.189673,0.212393,-0.026553,0.261367,0.289702,0.671888,0.504302,0.086206,0.002423,-0.013230,0.066782,-0.002930,0.113368,0.070097,0.084290,0.077274,-0.048953,0.070063,-0.034180,0.004903,-0.155116,-0.083384,0.009608,-0.052276,-0.077417,-0.030912,-0.039018,-0.086764,-0.078072,-0.056457,-0.119156,0.092128,0.015897,-0.076535,-0.106107,0.019790,-0.132077,-0.015857,0.007767,-0.122378,0.000967,-0.115945,-0.098965,-0.109465,-0.088059,-0.094534,-0.178368,-0.159107,-0.106275,-0.094885,-0.081741,-0.111343,-0.072587,0.024777,0.037078,0.006970,-0.022427,-0.017892,-0.013956,-0.032040,-0.030021,-0.009893,-0.043137,-0.055611,-0.052522,-0.052266,-0.027243,-0.053917,-0.045717,-0.022526,0.009405,-0.093992,-0.157431,-0.109387,-0.111199,-0.214981,-0.086489,-0.053006,-0.113219,-0.320608,-0.359337,-0.352550,-0.365566,-0.332570,-0.190058,-0.377508,-0.390292,-0.112678,-0.208256,-0.177380,-0.217110,-0.394309,-0.367372,-0.377447,-0.318913,-0.259135,-0.256470,-0.117147,-0.074428,-0.405258,-0.426598,-0.401000,-0.234156,-0.306117,-0.297331,-0.268222,-0.291468,-0.093135,-0.093835,-0.230873,-0.085950,-0.109237,-0.092086,-0.093806,-0.076116,0.023712,-0.015726,-0.019592,0.060000,0.095538,0.093313,0.081417,0.060808,0.073066,0.056423,-0.097012,-0.070126,-0.092476,-0.036339,-0.079689,-0.041114,-0.086102,-0.075807,-0.103694,-0.079810,-0.060670,-0.080205,-0.056063,-0.066375,-0.059862,-0.085204,0.071182,0.079009,0.088709,0.069755,0.033613,0.048869
6,0.460865,0.303348,0.035609,0.079161,0.058274,0.143081,-0.004559,-0.068707,-0.281348,-0.396113,-0.047500,-0.012345,-0.067428,0.015540,-0.143834,-0.186826,-0.415330,-0.517027,-0.214740,-0.171496,-0.144196,0.064624,-0.276978,0.236031,-0.059633,-0.084831,-0.077088,-0.208314,-0.333073,-0.332321,-0.016116,-0.091163,-0.262687,-0.068494,0.051913,-0.335801,-0.453035,-0.425997,-0.429714,-0.408997,-0.446973,-0.384944,-0.390880,-0.291490,-0.330917,-0.428008,-0.109733,-0.220906,-0.285138,-0.321839,-0.314892,-0.305733,-0.109894,-0.256165,-0.223673,-0.121820,-0.208885,-0.207446,-0.131495,-0.158852,-0.136834,-0.167798,-0.205448,-0.125243,0.107668,0.155547,-0.104423,0.085211,0.049205,0.078297,0.161404,0.123955,0.112742,-0.112069,0.076884,0.112359,0.073288,0.593085,0.512194,0.176465,-0.172241,-0.200877,0.284738,0.538892,0.162782,0.182942,0.320986,0.209736,0.411714,-0.153158,0.150571,0.031072,0.027921,0.026971,0.409451,0.490287,0.419698,0.456742,0.506734,0.459740,0.434095,0.381847,0.366658,0.493400,0.468391,-0.031183,0.198037,0.157626,0.023213,-0.242672,-0.253131,-0.090872,-0.240744,-0.093178,-0.110477,0.176371,0.191410,0.121862,0.178318,-0.041401,0.008803,0.184202,-0.104578,-0.077136,-0.093834,-0.067842,-0.078043,-0.099554,-0.070124,-0.085487,-0.062529,-0.090957,0.147551,0.145723,0.112712,-0.106542,-0.075641,-0.088922,-0.106275,-0.067636,-0.095547,-0.103808,-0.090459,-0.047736,-0.093646,-0.072822,-0.075526,-0.093892,-0.059228,-0.041527
7,2.330374,2.181715,0.887466,0.400163,0.684120,2.219421,1.027220,1.615025,0.575053,0.721360,0.990493,0.150588,-0.117897,0.343212,0.330496,-0.053774,-0.145161,-0.056866,0.176414,-0.337679,-0.259759,-0.353245,-0.115900,0.050419,-0.140412,0.102589,0.113129,0.113077,-0.092074,0.167568,-0.122026,-0.275077,-0.289977,-0.297350,-0.262777,-0.470444,-0.200774,-0.358598,-0.260798,-0.397581,-0.370662,-0.367974,-0.373740,-0.290747,-0.337955,-0.097478,-0.081282,-0.081922,-0.043942,-0.082700,-0.075778,-0.040316,-0.091288,-0.101953,-0.159935,-0.116393,-0.109145,-0.108115,-0.041798,-0.080125,-0.069509,-0.134183,-0.092193,-0.140192,-0.049538,-0.052249,-0.080614,-0.079105,-0.100183,-0.028945,-0.079671,-0.078412,-0.154736,-0.139994,-0.350226,-0.040377,-0.312620,-0.107885,-0.053954,-0.060027,-0.062140,-0.079595,-0.160232,-0.156245,-0.129970,-0.162030,-0.084116,-0.061467,-0.121717,-0.020370,-0.013844,-0.087653,-0.091863,-0.102067,-0.084611,-0.118375,-0.074537,-0.047225,-0.116331,-0.102671,-0.114191,-0.100545,-0.038471,-0.091830,-0.047618,-0.053842,-0.050433,-0.122108,-0.078915,-0.095813,-0.067978,-0.080908,-0.074655,-0.086577,-0.068919,-0.051611,-0.133845,-0.132662,-0.077537,-0.069302,-0.088723,-0.059246,-0.068940,-0.099242,-0.065679,-0.123514,-0.083636,-0.053226,-0.051429,-0.085301,-0.069609,-0.102965,-0.093012,-0.076616,-0.087938,-0.025020,0.002551,-0.026028,-0.100484,-0.085784,-0.156004,-0.166258,-0.176318,-0.200553,-0.196955,-0.195057,-0.117096,-0.041247,-0.054565,-0.007678
8,0.627793,0.132853,0.545486,0.206698,0.185809,0.165619,0.949603,1.152009,0.525132,0.347752,0.549394,0.699279,0.503872,0.389492,0.387688,0.179347,0.152486,0.326940,0.306453,0.343951,0.339948,0.397164,0.487772,0.436265,0.382903,0.050326,0.068239,0.074997,0.055439,-0.066641,0.084444,0.136916,0.070518,0.106730,0.142289,0.136130,0.141482,0.004850,0.021567,0.025651,0.088380,0.085941,0.136835,0.163349,0.160196,0.126677,0.065840,0.123736,-0.223935,-0.221604,-0.234908,-0.232539,0.160649,0.189337,-0.120978,0.158013,0.159875,0.194902,0.214997,0.178405,0.180054,-0.077157,0.178014,0.156221,0.178093,0.177037,0.131882,0.155418,0.169572,0.175552,0.128730,0.175636,0.153285,0.170972,0.160530,0.175400,0.173325,0.161161,0.139825,0.180648,0.159402,0.160954,0.129093,0.198580,0.101984,0.096124,-0.016116,0.002040,0.137493,-0.030941,0.012781,-0.116498,-0.099785,-0.091991,-0.145503,-0.000917,-0.102815,-0.058863,-0.045296,0.018697,-0.054603,-0.050262,-0.048537,-0.054415,-0.248224,-0.066984,-0.118892,-0.055981,-0.110202,-0.089593,-0.062319,-0.119992,-0.100393,-0.428772,-0.401328,-0.425791,-0.472163,-0.451121,-0.478397,-0.448345,-0.270670,-0.464674,-0.411402,-0.273149,-0.386604,-0.358943,-0.310040,-0.341808,-0.326868,-0.348095,-0.329699,-0.406602,-0.359914,-0.378113,-0.259780,-0.295398,-0.322030,-0.278106,-0.306527,-0.327007,-0.418673,-0.452265,-0.329470,-0.405874,-0.342085,-0.345393,-0.350789,-0.353775,-0.308236,-0.376618
9,1.033554,1.461562,1.685820,0.698257,1.072186,1.242329,0.825701,1.185070,0.897667,0.561365,0.800722,0.664800,0.800199,0.470169,0.838350,0.771035,0.779780,0.797531,0.672529,0.815356,0.665513,0.666015,0.723972,0.661897,0.705361,0.825732,0.820696,0.645621,0.670809,0.848992,0.660280,0.757432,0.761912,0.804874,0.816278,0.622605,0.806627,0.816612,0.820554,0.835354,0.865183,0.848799,0.868693,0.869729,0.865878,0.885272,0.829682,0.865393,0.872056,0.846901,0.849371,0.839078,0.823960,0.790351,0.847068,0.543574,0.913241,0.889747,0.840387,0.905128,0.890667,0.878160,0.896490,0.657386,0.665182,0.633012,0.863949,0.815157,0.840488,0.628706,0.868152,0.886918,0.914321,0.782224,0.906225,0.845458,0.802008,0.820539,0.864170,0.814718,0.878425,0.847314,0.863476,0.834362,0.826883,0.861763,0.827553,0.830683,0.655289,0.798669,0.808131,0.804600,0.675874,0.671635,0.711237,0.670854,0.672766,0.626190,0.651039,0.642526,0.663338,0.656602,0.691148,0.712543,0.648667,0.661637,0.693023,0.642078,0.623654,0.661751,0.621904,0.742206,0.606343,0.632416,0.643054,0.677887,-0.079931,-0.142569,0.653930,0.621226,0.663342,0.019102,-0.131074,-0.140573,-0.070420,-0.168466,-0.141391,-0.268410,0.012618,-0.195115,-0.236708,-0.062108,-0.056852,-0.057665,-0.191295,-0.205981,-0.163534,-0.169240,-0.154916,-0.119233,-0.135111,-0.209319,-0.186938,-0.187993,-0.209737,-0.227695,-0.187090,-0.123775,-0.161796,-0.143080
