Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.159248,2.377607,0.510374,0.666861,0.678868,0.686456,0.826238,0.851584,0.647892,0.672921,0.645684,0.342433,0.706033,0.764959,0.731487,0.767853,0.728856,0.732379,0.649468,0.662008,0.628105,0.679735,0.348283,0.340231,0.987301,0.953375,1.002504,0.926633,0.963037,0.978257,0.352142,0.732515,0.689869,0.751618,0.367014,0.486390,0.509975,0.530146,0.477401,0.477114,0.531590,0.457464,0.396389,0.396358,0.364316,0.391482,0.358152,0.391521,0.369804,0.382294,0.369869,0.387825,0.373660,0.402380,0.399233,0.426603,0.438689,0.375482,0.364659,0.413433,0.489100,0.511282,0.535697,0.498024,0.520369,0.448484,0.457979,0.421886,0.496275,0.489597,0.500856,0.556882,0.506589,0.519834,0.501601,0.418976,0.526736,0.509548,0.490242,0.517087,0.526054,0.492879,0.501533,0.497405,0.488280,0.488057,0.458939,0.519531,0.477306,0.507482,0.454417,0.554353,0.524057,0.498208,0.470471,0.710197,0.690399,0.723820,0.495546,0.712413,0.512538,0.489890,0.496169,0.509370,0.486659,0.507423,0.472250,0.520431,0.519714,0.513007,0.484174,0.479747,0.508601,0.512168,0.531308,0.484308,0.528259,0.483060,0.503084,0.488438,0.504362,0.458785,0.483958,0.534071,0.484875,0.532298,0.436771,0.470925,0.449386,0.502190,0.523660,0.455544,0.454828,0.491150,0.517579,0.526566,0.504833,0.514936,0.510159,0.499111,0.468533,0.526961,0.498021,0.469984,0.479150,0.519504,0.519085,0.507053,0.503049,0.497689
1,1.462105,2.093823,2.264158,1.260107,1.294459,1.249925,1.215328,1.136619,1.930811,1.917786,1.737842,2.077015,1.894230,1.504211,2.059483,1.520640,1.515294,1.645815,1.712226,1.647807,1.614469,1.206908,1.539797,1.536795,1.530312,1.509159,1.523204,1.519821,1.509256,1.512894,1.576864,1.521063,1.508793,0.559573,0.536837,0.567242,1.408237,0.547659,1.483543,1.422910,1.371071,1.422508,0.650426,0.686712,0.706898,1.139942,1.255320,1.958619,1.967982,2.015482,1.914515,1.941908,1.801059,1.839291,1.801752,1.824062,2.033985,1.714701,0.977192,0.980919,1.734117,1.725283,2.043915,1.993795,1.975050,1.722773,1.864169,0.860696,0.798664,0.703922,1.655875,1.289972,1.251671,1.271936,1.216957,0.640847,1.354790,0.614080,0.611225,1.358224,0.623125,0.659713,0.598768,0.654397,0.669192,0.631435,0.661934,0.662214,0.653504,0.614568,0.979048,0.630123,1.247549,1.226123,1.226024,0.660153,0.638865,1.360860,0.657429,0.947651,0.615749,0.637250,0.964176,0.983292,0.617865,0.630970,0.645311,0.633623,1.906638,1.918301,1.557264,1.557325,1.578202,1.547450,1.555948,1.562558,1.528993,1.906063,1.551017,1.568750,1.593479,1.553252,1.568437,1.573841,1.545503,1.545129,1.554460,1.810710,1.544432,1.580565,1.562789,1.574881,1.188909,1.557295,1.590704,1.949438,1.921716,1.920518,1.904306,1.899233,1.964969,1.630203,1.911638,1.922431,1.624134,1.912363,1.917130,1.649014,0.209356,1.050162
2,2.363299,1.453574,2.370859,2.322329,2.331545,2.327567,2.391473,2.354278,2.365930,1.529873,2.318129,2.098940,1.263423,1.304256,1.673394,1.258308,1.225920,1.285160,1.225573,1.163339,1.138550,0.199731,0.226569,0.268687,1.342641,1.553813,1.550373,1.546746,1.583134,0.933278,1.022951,0.131531,0.176025,0.140976,0.166150,0.199854,0.220366,0.217428,0.118288,0.172536,0.204764,0.190053,0.205592,0.208951,0.205877,0.165171,0.398786,0.236206,0.251124,0.194870,0.313838,0.250627,0.300849,0.278334,0.334856,0.256951,0.284714,0.252452,0.279636,0.290757,0.283316,0.256014,0.200383,0.143550,0.197453,0.174818,0.220937,0.211225,0.191349,0.195600,0.175341,0.200716,0.217466,0.185831,0.208617,0.211701,0.244534,0.185111,0.151183,0.178930,0.202357,0.627699,0.659790,0.686385,0.654149,0.660857,0.679775,0.161638,0.187040,0.173785,0.207021,0.169315,0.273582,0.266806,1.013205,1.030504,0.991691,0.999930,1.018340,0.990835,1.203058,0.203783,0.138295,0.122559,1.205714,0.481654,0.455415,0.442737,0.474664,0.483247,0.481098,0.375327,0.346650,1.416776,0.357559,1.411247,1.430609,1.415614,0.551470,0.495226,0.513824,0.486683,1.423698,0.587739,0.566883,1.475028,1.432279,1.385465,1.387079,0.495836,0.526834,1.340442,1.367496,1.163280,1.179775,0.381517,0.378530,0.422307,0.231553,0.401240,0.258952,0.230173,0.172762,0.277876,0.252094,0.316983,0.285084,0.283450,0.274423,0.283898
3,1.703888,2.358339,1.706974,1.712066,2.404168,2.317207,2.357483,1.577584,1.283420,1.294711,1.314573,1.303801,1.281107,1.256571,1.331034,1.318590,1.659758,0.990205,1.013800,1.003341,1.014482,1.028934,1.041709,1.047636,1.013466,1.032419,1.066647,0.987224,0.965841,0.980343,1.087978,1.046147,0.986572,0.978685,0.985191,0.943404,0.977550,1.066529,1.351925,1.086547,1.049489,1.088557,0.987572,1.139653,1.135810,1.156988,1.141635,1.150555,1.129501,1.093500,1.112740,1.105271,1.293469,1.304919,1.255835,1.295445,0.976571,1.303713,1.113658,1.309416,1.352956,1.359700,1.321743,1.340133,1.328145,1.307928,1.298805,1.326978,1.251899,1.342277,1.310090,1.281574,1.264355,1.303838,1.274376,1.327172,1.315373,1.331742,1.292913,1.265530,1.291884,1.309425,1.257281,1.343361,1.284218,1.357657,1.291608,1.326063,1.312498,1.313028,1.299010,1.292250,1.297194,1.311402,1.279281,1.295709,1.324890,1.295131,1.295605,1.312379,2.126747,2.096003,1.344051,1.289395,1.300828,1.323282,1.271841,1.305552,1.327473,1.253039,1.256909,1.268122,1.236730,1.302144,1.279383,2.134425,1.262242,1.280513,1.245416,1.115806,1.276679,1.267927,1.114063,1.311241,1.255978,1.243518,1.094543,1.272640,1.263734,1.274464,1.138474,1.231797,1.145161,1.090870,1.107379,1.156005,1.096363,1.256639,1.285989,1.270088,1.275976,1.289623,1.274301,1.294824,1.244450,1.305841,1.272377,1.262927,1.262763,1.262039
4,1.949113,2.424100,0.579215,0.909748,0.975325,0.554524,0.554940,0.542632,0.493218,0.500524,1.008102,0.534101,0.543591,0.872949,0.800108,0.671232,0.815538,0.662483,0.351665,0.385271,0.313216,0.669627,0.687557,1.017447,1.037982,1.056425,1.081335,1.661131,1.696643,1.643395,1.484833,1.456344,1.086159,1.054982,1.086770,1.117356,1.509549,1.539512,1.684983,1.630767,1.675717,1.662127,1.386448,1.405889,1.397188,1.417043,1.388630,1.117858,1.041454,1.017092,1.030940,1.090515,1.022658,1.049192,1.037687,1.044054,1.027091,1.126327,0.387427,0.316118,1.022250,0.511083,0.521605,0.515109,0.495043,0.570178,0.513987,0.067126,0.073798,0.041150,0.386736,0.493730,0.245515,0.320437,0.226786,0.341236,0.606041,0.547424,0.572971,0.564644,0.587564,0.592432,0.564588,0.545907,0.609684,0.354287,0.391732,0.245295,0.207991,0.294635,0.607595,0.265086,0.287638,0.266491,0.245981,0.259867,0.229954,0.605960,0.604235,0.614540,0.580550,0.265726,0.278193,0.270024,0.217643,0.285803,0.297506,0.241584,0.275521,0.295848,0.592756,0.190338,0.244881,0.221065,0.268416,0.299705,0.237129,0.273686,0.218635,0.256997,0.557567,0.228065,0.254288,0.277971,0.225105,0.191753,0.234603,0.211632,0.310077,0.302792,0.354633,0.261132,0.375125,0.275261,0.248977,0.245619,0.289469,0.374709,0.378111,0.411641,0.368120,0.391290,0.338918,0.410590,0.357774,0.371419,0.347100,0.351670,0.372414,0.371896
5,2.115169,1.173718,1.284613,1.255026,1.264757,1.519063,1.754653,1.453348,1.268206,1.637580,1.747525,1.558601,1.525528,1.621197,2.474983,1.936722,1.912785,1.898282,1.896638,1.535488,1.555644,1.319997,1.305161,1.285216,1.567406,1.430151,1.461676,1.465177,1.502013,1.714694,1.689002,1.737321,1.716605,1.581734,1.595534,1.613470,1.609708,1.552317,1.603032,1.583659,1.531204,1.528862,1.510350,1.512209,1.417570,1.418339,1.492549,1.481248,1.484765,1.498423,1.505644,1.545884,1.571695,1.836376,2.218593,2.234099,2.147370,2.230277,2.252302,1.313469,1.278171,1.322930,1.292799,1.301910,1.292594,1.287411,1.323108,1.326858,1.295668,1.303450,1.277215,1.307199,1.264846,1.274295,1.295766,1.279900,1.258217,1.256837,1.238432,1.212922,1.020345,0.956834,1.283198,1.094309,1.299336,1.318720,1.337015,1.276989,1.116920,1.081953,1.084046,1.290506,1.153512,1.100845,1.114896,1.114145,1.105929,1.103003,1.160718,1.107423,1.113787,1.103816,1.082626,1.122990,1.309908,1.335285,1.343292,1.341868,1.368778,1.320281,1.314364,1.311897,1.123587,1.274215,1.259727,1.140607,1.142969,1.116344,1.136577,1.137014,1.101075,1.153591,1.126201,1.133855,1.113126,1.116502,1.098844,1.124182,1.140578,1.143513,1.124134,1.286867,1.319064,1.109107,1.091842,1.148790,1.097616,1.125482,1.152644,1.097684,1.108130,1.307513,1.124848,1.056974,1.107680,1.091674,1.114873,1.113928,1.075247,1.116529
6,1.628440,1.181217,2.139614,2.138407,2.206547,1.409320,1.190164,1.196872,1.179038,1.204912,1.876333,1.570729,1.607791,1.161006,1.184996,1.169394,1.155739,1.619048,1.080505,1.099249,1.116080,1.174601,1.116834,1.082262,0.185148,1.193248,1.150173,0.981599,0.990818,0.993589,1.035574,0.628205,0.297655,0.316155,0.307728,0.293907,0.332218,0.277642,1.151699,1.091909,1.795013,0.641934,1.324225,1.339318,1.356016,0.504793,0.523635,1.144478,0.521481,0.135759,0.138564,0.175350,0.188380,0.166820,0.532336,0.552065,0.526503,0.365580,0.378714,0.389611,0.405320,0.389601,0.422676,0.391552,0.543903,0.584780,0.545283,0.525220,0.368983,0.388024,0.379593,0.363053,0.384277,0.390482,0.429496,0.406911,0.342065,0.367814,0.584946,0.588342,0.356223,0.341352,0.324406,0.314966,0.324511,0.346094,0.372913,0.320232,0.330814,0.308194,0.344082,0.312862,0.314824,0.290230,0.330490,0.310082,0.329138,0.342100,0.363213,0.341881,0.320065,0.305541,0.269585,0.360373,0.323384,0.309963,0.327000,0.305608,0.310834,0.345449,0.595637,0.374164,0.257958,0.299911,0.329305,0.340045,0.333360,0.369581,0.342446,0.316985,0.368838,0.326374,0.632067,0.576953,0.580572,0.662618,0.610502,0.617468,0.632447,0.696936,0.676612,0.671848,0.664744,0.652998,0.701951,0.697592,0.687253,0.652490,0.689008,0.717491,0.680851,0.945608,0.637721,0.625338,0.624411,0.573478,0.633300,0.376480,0.379920,0.339664
7,2.020991,2.037759,2.629879,2.471993,2.490225,1.994299,1.579533,1.821080,1.327310,1.296030,1.285375,1.321574,1.296531,1.293198,1.265327,1.486864,1.509053,1.499775,1.070977,1.068289,1.115789,1.103310,1.113449,1.093223,1.110615,1.042201,1.072517,1.470753,1.473547,1.499319,1.492538,1.428666,1.438414,1.462301,1.460672,1.474127,1.465799,1.498170,1.095348,1.063597,1.052904,1.088577,1.034850,0.982042,1.033598,0.996770,1.016012,0.994516,1.314908,1.122572,1.102230,1.081945,1.095987,1.069642,1.082747,1.294483,1.293795,1.286680,1.566501,1.582771,0.923422,1.596409,1.580326,1.566620,1.778599,1.569547,1.570046,1.776828,1.754532,1.727002,1.898781,1.883996,1.821504,1.877355,1.860515,1.832833,1.847646,1.605600,1.588189,1.584791,2.115170,1.598861,1.524726,1.585551,1.609710,1.576884,1.601358,1.613117,1.632725,1.600727,1.582602,1.551128,1.602697,1.587548,1.626509,1.558780,1.606849,1.583195,1.625251,1.573066,1.606015,1.607237,1.620240,1.586422,1.568898,1.601928,1.607179,1.579343,1.612752,1.554909,1.602884,1.485967,1.572932,1.620763,1.643038,1.550824,1.523162,1.631242,1.565663,1.633461,1.559033,1.557172,1.596413,1.609451,1.581286,1.599454,1.608466,1.588119,1.607676,1.579358,1.588802,1.577969,1.598791,1.547860,1.077384,1.072575,1.102389,1.095055,1.058034,1.103453,1.080462,1.033586,1.051915,1.091074,1.144880,1.604501,1.587424,1.587855,1.577944,0.675447
8,2.206113,2.162042,2.195921,2.201859,2.205501,2.730779,2.261829,2.203137,2.180570,2.232961,2.199114,2.192314,2.194666,2.221954,2.203840,2.234520,2.169297,2.180252,2.224630,2.210364,2.220843,2.197840,2.215520,1.940396,1.945865,1.435578,1.385558,1.410312,1.416907,0.885387,0.864071,0.420211,0.896629,0.439484,1.384548,1.382631,1.374038,0.412299,1.407622,1.371755,1.363030,0.388339,0.391985,0.416281,0.397986,0.389817,0.408539,0.385527,0.433808,0.329778,0.361379,0.381973,0.349581,0.348049,0.386978,0.348906,0.359815,0.353276,0.052764,0.057509,0.177525,1.148807,1.097062,1.118890,1.118856,0.570999,0.555657,1.363317,1.385716,1.359379,0.870855,0.783373,0.890962,0.851512,0.812447,1.991266,1.969332,0.871686,0.827099,0.861898,0.818301,0.844545,1.922141,1.983506,1.946320,1.963205,1.969709,1.411756,1.367509,1.393181,1.387307,1.312760,1.371839,1.342210,1.380419,1.363367,1.698439,2.114018,2.115770,2.140457,2.128244,2.160283,2.109027,2.111910,2.093779,2.121561,1.972722,1.929675,1.933102,1.920703,1.947490,1.964599,1.954726,1.932879,1.909851,1.959374,2.008421,1.960855,1.401805,1.371875,1.397058,1.383487,1.405920,1.450135,1.473256,1.389481,1.421443,1.678022,1.662851,1.637298,1.592424,1.627810,1.637781,1.137794,1.122116,1.082498,1.623886,1.350027,1.654755,1.616070,1.657545,1.636866,1.654764,1.631871,1.653398,1.628323,1.619957,1.293099,1.637344,1.631794
9,1.457425,1.655984,1.641324,1.089462,1.155099,1.089214,1.074460,1.095968,1.151510,1.114890,1.101657,1.085403,1.129271,0.970391,1.106651,1.727123,1.644520,1.809200,1.673803,1.653198,1.662870,1.712492,1.162253,0.992296,0.993344,0.972855,0.992521,1.071910,0.969340,0.954091,0.958178,0.964438,0.958518,0.964434,0.989871,0.952584,0.967340,0.971777,0.991309,0.967975,0.933849,0.954469,0.992580,1.062093,0.999532,1.010116,1.457051,0.989629,1.060721,1.022097,1.043688,1.072146,0.986828,0.939688,0.979520,0.957895,0.966674,0.905120,1.441405,1.481365,1.436746,1.443101,0.947094,0.989717,0.966605,0.961456,0.997941,0.989680,1.041188,1.027114,1.015363,1.005667,1.068550,0.944353,0.987702,0.950750,0.964223,1.426455,1.029820,1.037991,1.056961,1.047405,1.079551,1.035596,1.031771,1.082321,1.048399,0.914293,0.976324,0.955863,0.981735,0.968346,1.004574,1.004659,0.941302,1.006481,0.964997,0.995621,1.005870,0.976295,1.040143,1.007094,0.996811,1.028480,0.998741,1.021855,1.011088,1.052675,1.027774,0.975690,1.012449,1.145054,1.138358,1.171120,0.963866,0.985245,1.007940,0.987384,1.018373,0.986201,0.720072,1.026258,1.056815,1.011190,1.017985,1.006207,0.973009,0.997091,1.042147,1.021551,0.978247,1.005103,1.018188,0.995915,1.006273,1.003959,0.994794,0.961623,1.020874,0.995301,0.948996,0.978989,0.994032,1.015206,1.054394,0.825573,0.841069,1.004680,0.571809,-0.106854
