Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.110588,1.609825,1.551345,1.582425,1.585526,1.622463,1.577122,1.635502,1.576233,1.600298,1.582310,0.896036,0.875169,0.916727,0.916805,0.926893,0.893225,0.907058,0.911136,0.930202,0.909436,0.953024,0.900539,0.899143,0.931299,0.909262,0.944314,0.873423,0.902515,0.912532,0.922867,0.947137,0.890552,0.961082,0.923632,0.884478,0.909348,0.932599,0.896311,0.881785,0.935988,0.850724,0.911461,0.919913,0.880385,0.919818,0.855259,0.906577,0.895015,0.894267,0.881124,0.930925,0.913733,0.910177,0.926253,0.935358,0.930325,0.902192,0.889912,0.950379,0.884497,0.920288,0.920903,0.891115,0.925151,0.853355,0.866517,0.820279,0.895313,0.900192,0.905851,0.944405,0.915114,0.914831,0.921075,0.812360,0.934281,0.904042,0.879484,0.939839,0.923302,0.901107,0.892796,0.914608,0.886672,0.893335,0.854462,0.913629,0.880184,0.909222,0.850224,0.952843,0.940691,0.894965,0.866135,0.905476,0.892538,0.926340,0.908074,0.915281,0.918647,0.895030,0.909450,0.897261,0.891681,0.905368,0.871239,0.912483,0.922797,0.921784,0.891261,0.876913,0.908918,0.911844,0.928780,0.894281,0.943611,0.887948,0.909322,0.881251,0.910449,0.874433,0.894169,0.929694,0.870243,0.932621,0.854036,0.874437,0.852896,0.884286,0.922412,0.862786,0.856401,0.898217,0.921974,0.921735,0.902864,0.918237,0.901447,0.904430,0.876278,0.935262,0.912395,0.880970,0.882532,0.936743,0.914042,0.916151,0.900745,0.895738
1,2.105433,1.540202,1.558100,6.054377,6.063835,1.583060,2.059063,2.092790,1.604016,1.582779,2.091764,2.128335,0.892558,2.083605,1.598360,0.898176,0.901576,1.668330,1.688304,1.657639,1.632377,0.938287,0.899467,0.914810,0.907493,1.655578,1.674145,1.645493,1.641631,1.659539,1.603133,1.584011,1.548667,1.603098,1.567538,1.572468,1.591493,1.595135,1.613125,1.555021,1.547096,1.608846,1.555519,1.587240,1.609597,1.541573,1.565274,1.764646,1.604840,1.616317,1.645851,1.644855,1.749837,1.780039,1.714328,1.741781,1.776812,1.651302,1.627986,1.636734,1.667152,1.675293,1.669091,1.616400,1.610529,1.673373,1.695335,1.597019,1.622708,1.520858,1.594922,1.614424,1.582459,1.604642,1.559339,1.560216,1.638633,1.562402,1.557757,1.602860,1.571563,1.608717,1.533240,1.583345,1.607177,1.585778,1.619782,1.623389,1.603274,1.554391,1.598013,1.571204,1.587103,1.581307,1.552143,1.576695,1.587896,1.647816,1.589137,1.608439,1.598644,1.596823,1.589038,1.595319,1.579783,1.590570,1.584120,1.589132,1.568050,1.660917,1.657125,1.664297,1.674635,1.653386,1.621843,1.649812,1.644039,1.645907,1.646158,1.682693,1.693126,1.649692,1.677803,1.649892,1.649908,1.663413,1.658750,1.781086,1.623810,1.652399,1.635807,1.645630,1.761213,1.634011,1.651806,1.696044,1.725309,1.643156,1.636515,1.619694,1.622923,1.609987,1.696111,1.599903,1.656187,1.586670,1.608581,1.604830,1.611077,1.551101
2,2.081927,1.499481,1.581855,1.520137,1.548177,1.532590,1.597857,1.573673,1.560339,1.575046,2.345078,1.578781,1.543053,1.604830,1.566715,0.843770,1.505654,0.914411,0.821245,0.923699,0.871187,0.859677,0.885829,0.927336,0.933018,0.867945,0.870860,0.833886,0.891318,0.849548,0.856990,0.839713,0.879742,0.837551,0.845260,0.886395,0.917091,0.913476,0.801790,1.626821,1.638074,1.623949,1.630842,1.645950,2.110971,2.063056,0.849145,1.640526,1.675959,1.628248,1.662893,1.591683,1.655875,1.640081,1.638746,1.606418,1.628389,1.603564,1.649029,1.650652,1.636204,1.680683,1.641630,1.609262,1.643014,1.626239,1.665777,1.631245,1.635695,1.639857,1.629345,1.651630,1.655832,1.647688,1.680772,1.664081,1.636952,1.616877,1.610380,1.608831,1.651942,1.616622,1.592484,1.649864,1.622696,1.622551,1.609184,1.641164,1.655121,1.650681,1.653866,1.622215,1.662844,1.633393,2.069463,1.630550,1.619500,1.606761,1.628410,1.639772,1.630916,1.588075,1.647989,1.599139,2.046850,2.076407,2.089570,2.077060,2.070415,2.109059,2.097087,2.044351,2.082461,2.075568,2.083111,2.056059,2.098991,2.071748,2.070641,2.086962,2.071341,2.056551,2.090860,2.064277,2.072004,2.125486,2.087183,2.057880,2.048014,2.081385,2.062778,2.058956,2.087977,2.073837,2.143722,2.076043,2.079633,2.086502,2.074524,2.076575,2.094682,2.079756,2.109249,2.068385,2.070931,2.102739,1.627435,2.078527,1.637632,1.621295
3,2.036255,2.072297,2.067519,6.044232,6.010182,2.056455,2.067574,2.052709,1.711607,1.724258,1.740851,1.705469,1.691995,1.661181,1.744640,1.720905,1.658174,1.658630,1.707244,1.710243,1.719411,1.706018,1.735134,1.741316,1.717108,1.726757,1.699970,1.703688,1.717693,1.735686,1.706749,1.696618,1.756331,1.744210,1.718231,1.691216,1.743884,1.681731,1.720612,1.723179,1.674494,1.763432,1.712083,1.727785,1.706563,1.718872,1.717507,1.749063,1.703105,1.666741,1.722399,1.681307,1.691083,1.703232,1.675842,1.707047,1.696933,1.714759,1.679899,1.713192,1.685429,1.751085,1.698559,1.693800,1.693010,1.688669,1.685457,1.697373,1.665342,1.738584,1.724131,1.691144,1.683850,1.701248,1.685849,1.739985,1.714074,1.703962,1.685718,1.698075,1.691229,1.696348,1.671347,1.715019,1.686703,1.737694,1.681557,1.708418,1.697721,1.745784,1.727685,1.707726,1.673878,1.722200,1.699705,1.685912,1.709366,1.712367,1.705402,1.717313,1.735403,1.702335,1.744224,1.701675,1.715316,1.732092,1.687437,1.683458,1.731497,1.713225,1.691045,1.714092,1.676676,1.767471,1.732905,1.712914,1.726373,1.740852,1.705285,1.721644,1.685715,1.688396,1.735602,1.710471,1.708780,1.698362,1.699722,1.687731,1.716188,1.728059,1.730258,1.686925,1.727460,1.678129,1.696434,1.717341,1.695177,1.710149,1.711246,1.722018,1.707919,1.707067,1.692111,1.749070,1.676538,1.764960,1.721586,1.703990,1.725302,1.724682
4,2.090057,1.612839,1.587779,1.573205,1.628353,1.342591,1.303752,1.588509,1.296084,1.297370,1.611958,0.894401,0.885361,0.954466,0.897874,0.906622,0.898640,0.894272,0.879114,0.920663,1.623970,1.663403,1.680112,1.628369,1.669110,1.702341,1.632002,0.867919,0.896784,1.643020,1.673561,1.662977,1.636893,1.646306,1.676801,1.676817,1.671484,1.770369,1.765578,1.728680,1.791497,1.739137,1.765668,1.795687,1.734559,1.786497,1.751489,1.754703,1.729481,1.680069,1.731651,0.880036,0.887720,0.914609,0.921312,0.896944,0.907979,0.932028,0.925266,0.856397,1.678903,1.672873,1.667730,1.641305,1.647327,1.686200,1.637909,0.919842,0.903776,0.886479,0.905091,0.862211,0.890767,0.967553,0.860454,0.876368,0.924182,0.863566,0.888980,0.903811,0.924482,0.896556,0.863116,0.881140,0.924390,0.892579,0.922180,0.885409,0.836399,0.963281,0.898485,0.883469,0.929563,0.898092,0.896880,0.916054,0.869015,0.938572,0.913854,0.932214,0.891853,0.908638,0.937458,0.909736,0.906013,0.920643,0.927445,0.853075,0.900777,0.914779,0.897078,0.842578,0.883168,0.862168,0.891183,0.935907,0.874370,0.915981,0.851491,0.921517,0.879766,0.875322,0.908485,0.925485,0.924456,0.880531,0.942368,0.899271,0.946684,0.940467,0.889237,0.880644,0.904990,0.906046,0.873026,0.873088,0.915650,0.920220,0.940102,0.951905,0.910172,0.926522,0.897990,0.944880,0.900245,0.906303,0.896564,0.890060,0.904244,0.919470
5,7.264161,2.053736,2.111705,2.096066,2.115475,2.093737,2.100145,2.062681,2.080253,2.055819,2.082382,2.083630,6.983598,6.952299,6.951317,6.987259,6.938785,6.932784,2.092180,0.889980,0.899476,2.073548,2.047847,4.634427,2.126482,2.075569,2.081857,2.088945,2.115019,2.087594,1.561359,0.930591,1.600173,1.595209,1.603355,0.943801,0.934138,0.859550,0.894125,0.895573,0.932130,0.944160,0.930367,0.934694,0.898026,0.871000,0.894019,0.873583,0.895341,0.901911,0.906277,0.867841,0.888200,1.592532,0.919049,0.961549,0.861574,0.943121,0.950079,0.912375,0.880756,0.913186,0.891074,0.916742,2.086119,1.580741,0.917351,2.136037,0.896410,1.608140,1.571831,1.586308,1.570877,1.574612,0.899609,0.931880,0.895912,0.914076,0.888394,0.841848,0.902404,0.847911,0.847467,0.863872,0.873285,0.915166,0.918109,0.821674,0.899543,0.858746,0.886142,0.879413,0.940824,0.868698,0.905425,0.897605,0.927971,0.879717,0.922376,0.893150,0.911280,0.882408,0.855219,0.909167,0.888836,0.908691,0.924530,0.904345,0.946583,0.883425,0.900494,0.900989,0.893510,0.868017,0.830044,0.925561,0.927215,0.899100,0.921028,0.904796,0.891966,0.929468,0.906083,0.897632,0.905148,0.906318,0.871597,0.903805,0.925701,0.899852,0.898007,0.853292,0.906981,0.900578,0.871112,0.927183,0.877569,0.909219,0.927709,0.863582,0.884438,0.915489,0.923013,0.844608,0.895582,0.873429,0.899827,0.892330,0.846553,0.930847
6,2.093597,1.631676,1.599123,1.578183,1.619505,1.610730,1.615370,1.591097,1.594421,1.612674,2.250479,2.222575,2.326532,1.746915,1.752830,1.739238,1.756901,1.772749,2.011762,2.035945,2.035195,2.102574,2.028913,2.047929,1.976016,2.078753,2.013556,1.975372,2.016355,2.094750,2.139866,1.621031,1.590920,1.631088,1.636002,2.111852,1.624837,1.580484,2.133430,1.585831,2.140828,2.070273,2.093607,2.125071,2.108795,2.060379,2.118218,2.038062,1.618349,2.072021,0.888240,0.912333,0.944598,0.915611,0.885206,0.921960,0.889361,0.907684,0.894627,0.905647,0.942819,0.918199,0.907611,0.913440,0.918433,0.955179,0.927356,0.893587,0.894391,0.937499,0.909043,0.887869,0.908179,0.925590,0.970645,0.932815,0.876101,0.915373,0.914307,0.935916,0.943124,0.935871,0.924358,0.915607,0.910999,0.941432,0.973322,0.899467,0.923049,0.915689,0.926412,0.899670,0.898509,0.883156,0.913757,0.907159,0.928666,0.952092,0.971215,0.931354,0.930103,0.893763,0.874637,0.948748,0.919876,0.895306,0.921662,0.890798,0.909895,0.925593,0.907260,0.943102,0.841877,0.893504,0.915878,0.929079,0.936333,0.957367,0.949834,0.887724,0.955194,0.913191,0.916428,0.889042,0.864403,0.946851,0.876868,0.895668,0.925161,0.936134,0.904584,0.909818,0.890064,0.888054,0.952419,0.924597,0.909834,0.903752,0.921203,0.946112,0.965369,0.900733,0.937156,0.922303,0.925350,0.863728,0.924113,0.922199,0.930800,0.896679
7,2.150071,1.609383,1.550301,2.070066,2.084101,2.124296,2.109249,2.223169,2.282813,2.229517,2.208007,2.245167,2.234311,2.230602,2.216031,2.266992,2.279190,1.681421,1.660869,1.675639,1.672147,1.680388,1.665849,1.665358,1.671825,1.628258,1.716937,1.737920,1.702988,1.760232,1.757999,1.697885,1.751689,1.759966,1.752298,1.739609,1.764247,1.676352,1.681435,1.671686,1.645260,1.662749,1.641059,1.633113,1.669944,1.623317,1.691081,1.764693,1.668029,1.671635,1.684895,1.651007,1.681169,1.649502,1.680005,1.639743,1.653408,1.664294,1.649409,1.679530,1.677432,1.682487,1.658972,1.668728,1.674469,1.660951,1.699122,1.671122,1.644178,1.619195,1.671963,1.660209,2.063387,2.089073,2.097131,2.045637,2.083058,2.118653,2.082002,2.091248,1.565065,2.116514,2.053309,2.094046,2.104850,2.110388,2.107981,2.079228,2.104367,2.090389,2.076511,1.532227,0.914530,1.578242,0.959774,0.854702,0.932645,0.871799,0.932424,0.889911,0.930610,0.932999,2.094152,2.082228,2.078930,0.919436,1.578202,0.889253,0.909533,1.562400,1.617915,1.581662,1.571562,1.628854,1.633344,1.568755,1.525187,1.624774,1.553628,1.644911,1.550467,1.570594,1.594187,1.614274,1.567622,1.590369,1.620076,2.112555,2.116180,1.546765,1.595466,1.582583,1.581173,1.548056,1.582251,0.890063,0.936583,0.900190,1.555377,0.917563,1.566869,0.867040,1.570653,1.589486,1.658538,1.594660,2.101263,1.612404,1.590180,1.612153
8,2.099622,2.061979,2.122706,2.103557,2.102712,1.601226,1.580487,2.262777,2.238968,2.255805,2.270941,2.245872,2.267171,2.279917,2.253126,2.310838,2.226985,1.657270,1.700631,1.672879,1.712743,1.658219,1.673276,1.666384,1.677093,1.698968,1.648822,1.674254,1.679539,1.670382,1.682808,1.645317,1.661083,1.683549,1.661341,1.662646,1.653843,1.653673,1.711431,1.665605,1.640985,1.651184,1.664545,1.691087,1.659107,1.639589,1.659960,1.640725,1.692865,1.650512,1.651323,1.681923,1.651708,1.665176,1.695202,1.641541,1.661149,1.669053,1.646573,1.664288,1.689341,1.689053,1.649877,1.663037,1.661378,1.674399,1.677604,1.669820,1.664307,1.618881,1.676341,1.653613,1.715107,1.693421,1.647776,1.700579,1.695852,1.683107,1.646976,1.667320,1.638422,1.677974,1.631551,1.722877,1.683810,1.667812,1.690074,1.712461,1.685583,1.684676,1.703280,1.647910,1.689514,1.625544,1.655918,1.679765,1.679153,1.658534,1.698365,1.699909,1.680926,1.716392,1.671129,1.674437,1.627436,1.708820,1.675690,1.672955,1.662162,1.684572,1.660129,1.669502,1.697204,1.651083,1.640544,1.678165,1.727240,1.681747,1.708733,1.636044,1.698902,1.678272,1.696128,1.641485,1.664429,1.677672,1.732949,1.697961,1.679759,1.690092,1.639403,1.686114,1.671454,1.723568,1.702956,1.660766,1.646562,1.705989,1.692832,1.652889,1.713656,1.669664,1.705267,1.678242,1.704981,1.658502,1.639642,1.662112,1.661007,1.650004
9,2.040176,2.038856,2.020937,2.005387,2.066094,2.064282,2.061147,2.041500,1.702082,1.689750,1.681082,1.651611,1.687503,2.205230,2.203164,2.245987,1.720303,1.741700,1.693818,1.663238,1.692199,1.710159,1.742185,1.718644,1.702188,1.717658,1.668650,1.676634,1.709461,1.683467,1.714798,1.698569,1.687965,1.728852,1.726624,1.714353,1.686553,1.721893,1.732389,1.685354,1.666870,1.679817,1.747990,1.615752,1.677855,1.590894,1.731644,1.699442,1.609116,1.687071,1.649143,1.739551,1.698330,1.677045,1.687790,1.683143,1.666940,1.644401,1.692760,1.732945,1.694045,1.694414,1.666547,1.729354,1.678785,1.704224,1.722043,1.607891,1.643509,1.605648,1.613993,1.599387,1.634845,1.666268,1.716080,1.702012,1.684587,1.682348,1.614303,1.616893,1.591240,1.616257,1.613984,1.625745,1.620769,1.636132,1.593504,1.639299,1.695708,1.692434,1.699982,1.697067,1.680966,1.707425,1.649128,1.721052,1.675693,1.682754,1.698956,1.707353,1.742131,1.723006,1.709247,1.719864,1.692886,1.747520,1.729281,1.730036,1.733915,1.684367,1.719981,1.708037,1.677633,1.721834,1.677162,1.701640,1.704529,1.686868,1.730049,1.719133,1.686536,1.762796,1.740804,1.714854,1.710928,1.710407,1.690352,1.705745,1.704127,1.720680,1.707499,1.726520,1.710855,1.697519,1.725744,1.708270,1.726773,1.664452,1.676062,1.674565,1.664647,1.700806,1.696270,1.712291,1.748046,1.686960,1.689132,1.716249,1.721828,1.682616
