Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.319579,2.009394,1.185853,1.501306,0.782247,1.395285,0.987203,1.392451,1.245879,1.449240,0.516719,0.095088,1.009985,0.545912,0.173608,1.201234,1.506929,1.278284,1.183797,0.413320,0.293823,1.182380,0.387641,1.418032,0.428267,0.805587,1.305927,0.901507,0.473856,1.210538,1.190603,0.635080,0.470596,0.715628,0.238369,0.537236,0.713042,0.714169,0.186873,0.880477,0.452087,0.199611,0.291000,0.755517,0.718437,0.769550,0.825126,0.821990,0.580222,0.592181,0.457704,0.676140,0.655656,0.506842,0.848319,0.725982,0.872942,0.569818,1.575228,1.575778,1.562609,1.554448,0.710845,0.532251,1.198601,0.466269,0.401043,0.460503,0.413134,0.296576,0.686643,0.385870,0.614006,0.586990,0.831485,0.786486,1.287163,0.222195,0.105259,0.168269,0.008581,0.315133,0.245383,0.289008,0.131913,0.365093,0.469391,0.969670,0.450378,0.558798,1.064367,0.452677,0.487167,0.548554,0.191074,0.524463,0.458431,0.430062,0.416838,0.700948,0.438418,0.435309,0.351490,0.397951,0.448573,0.600071,0.304000,0.223077,0.251524,0.173534,0.207663,0.178091,0.162472,0.169122,0.242181,0.211405,0.031026,0.023633,0.230848,0.246652,0.003124,0.025357,-0.078873,-0.063092,0.146109,0.071232,0.070763,0.083541,0.383987,0.364462,0.353016,0.374213,-0.114011,0.113881,0.016739,0.102662,0.080024,0.125664,0.121534,0.099688,0.069933,0.105471,0.304687,0.034730,0.270530,0.360495,0.297173,0.542856,0.577442,0.531659
1,1.436476,1.459777,1.373061,0.571834,0.366538,0.306282,1.432269,0.999576,1.491890,2.107996,0.478150,0.514689,-0.148447,0.053991,-0.167916,0.202697,0.181125,0.614058,0.382386,-0.108783,0.008327,0.063035,0.526652,-0.218591,0.740899,0.774558,0.769635,0.792236,-0.051961,0.136875,0.404901,0.423992,0.151636,0.116987,-0.038833,0.081437,-0.039084,0.111019,-0.017355,-0.007922,-0.123204,-0.048751,0.442912,0.278054,0.094004,0.101860,0.027321,-0.026191,-0.043121,-0.017244,-0.005783,-0.125239,-0.016515,0.011702,-0.004656,-0.018769,-0.002233,-0.000507,-0.015469,-0.045589,0.352865,0.139213,0.515385,0.815253,0.514782,0.518597,0.821184,0.733200,0.863059,-0.123336,-0.050024,-0.102747,-0.152197,-0.128067,-0.095192,0.506026,0.211554,0.329312,0.404647,0.276947,0.281827,0.295298,0.187185,0.293026,0.307045,0.301826,0.268877,0.166272,0.211781,0.219040,0.128514,0.141556,0.143491,0.408427,0.076905,0.420030,0.884064,0.152371,0.315543,0.226223,0.131438,0.136358,0.152965,0.187791,0.211865,0.057842,0.008351,0.068123,0.043344,0.705300,0.075402,0.052425,0.051141,0.082117,0.052726,0.035888,0.048486,0.052465,0.060518,0.082650,0.092420,0.322065,0.066329,0.065390,0.319748,0.550026,0.046217,0.164275,0.223015,0.096521,0.419259,0.311812,0.056958,0.076057,0.047232,0.223386,0.303548,0.485028,0.522922,0.845670,0.860812,0.822372,0.571387,0.304073,0.302919,0.654206,0.579813,0.670210,0.650693,0.698069
2,2.465157,1.097837,1.391834,1.476044,0.737588,1.070118,0.780309,0.927159,0.538925,0.624298,0.678353,0.857288,0.930972,0.846387,0.810077,0.632624,0.863128,0.545966,0.599260,0.471826,0.577069,0.647864,0.439937,0.545993,0.539092,0.524435,0.490095,0.319333,0.634581,0.882077,0.377054,0.441334,0.727689,0.648060,0.507071,0.577218,0.585622,0.513067,0.693185,0.340419,0.582794,0.520030,0.685718,0.481953,0.671060,0.486876,0.483254,0.677382,0.532026,0.468492,0.475367,0.508276,0.758817,0.760692,0.761534,0.729487,0.787571,0.596007,0.613449,0.635459,0.657011,0.652262,0.645883,0.758233,0.799591,0.749491,0.784377,0.793266,0.632795,0.623132,0.647382,0.663335,0.663582,0.621253,0.629688,0.680160,0.886501,0.650895,0.625702,0.644046,0.801880,0.841550,0.813075,0.780579,0.735349,0.772217,0.795049,0.810672,0.778929,0.753409,0.430924,0.741792,0.420160,0.395228,0.798754,0.400556,0.377188,0.455127,0.407329,0.799673,0.753892,0.754554,0.452558,0.768347,0.437240,0.391766,0.434517,0.588864,0.428338,0.462869,0.510111,0.479672,0.511977,0.479884,0.490294,0.466919,0.526476,0.449920,0.470171,0.490130,0.514967,0.517382,0.255384,0.456299,0.321225,0.289220,0.360776,0.356516,0.495339,0.502753,0.482408,0.301070,0.278268,0.240731,0.267763,0.265698,0.211402,0.277540,0.259907,0.300270,0.290700,0.268325,0.257545,0.323911,0.364720,0.444983,0.306523,0.215505,0.292004,0.217861
3,1.955230,2.374402,1.660792,2.915065,1.998672,1.183445,1.111401,1.314593,1.288498,0.528663,0.784862,1.257572,1.757125,2.622697,1.512866,2.803589,0.708694,1.179784,1.349038,1.527212,1.324890,1.553280,2.226694,2.163499,2.531322,2.387855,1.628280,1.363401,1.747789,2.557379,2.014767,2.534243,2.259531,2.465515,2.135438,1.466347,2.442089,1.638068,2.218255,2.389134,1.746446,1.747423,1.212017,2.109730,2.086318,1.969944,1.168083,1.287635,1.109966,1.270480,1.354991,1.689221,1.247844,1.619686,1.212252,1.490246,1.492707,1.539295,0.969521,1.177247,1.388915,1.084446,1.139222,1.046506,1.082665,0.731145,0.827111,0.795579,0.775318,0.768614,0.828673,0.816483,0.823491,1.257711,1.590595,1.601694,1.286433,1.449501,1.307882,1.290320,1.345931,1.626950,1.643736,1.259620,0.913788,0.945301,0.911330,1.049764,1.183523,1.057719,1.600300,1.187733,1.579878,1.542806,1.584236,1.198689,1.213137,1.517589,1.028812,1.604036,1.515276,1.039368,1.605199,1.048425,1.540650,1.522203,1.186442,1.170776,1.232065,1.222018,1.232352,1.236661,1.256987,1.241969,1.235383,1.222374,1.249472,1.214013,1.205837,1.200846,1.217746,1.213996,1.260718,1.277868,1.195974,1.244469,0.863010,1.065253,1.034619,1.049899,1.038284,1.058589,1.006072,1.047600,1.039606,1.559179,1.547183,1.527154,1.046342,1.012930,1.052581,1.563487,1.558644,1.529244,1.027613,1.041275,1.021882,1.501773,1.533703,1.025849
4,1.368813,3.128085,1.216963,1.313380,2.453536,2.152257,2.150896,1.338326,1.041493,1.083666,1.522046,1.189693,1.207695,1.140704,1.545888,1.861278,1.823303,1.757353,1.770532,1.430549,2.263836,1.804101,1.851432,2.057889,1.955430,1.458824,1.490682,1.640378,1.253986,0.439668,0.961899,0.299314,0.621062,0.249939,0.481733,0.524390,0.554091,0.408849,0.377461,0.506108,0.395149,0.400600,0.457203,0.303837,0.309800,0.378759,0.609762,0.381650,0.392351,0.346169,0.338443,0.667815,0.549135,0.295692,0.609769,0.066265,0.153670,-0.007640,0.048102,-0.026015,0.511128,0.481678,0.544293,0.497983,0.142237,0.192308,0.166599,0.344946,0.255372,0.202417,0.289736,0.437288,0.423270,0.389782,0.277350,0.255726,0.278455,-0.016324,0.364272,0.226847,0.319065,0.219351,0.329431,0.320827,0.499355,0.040817,0.084184,0.407031,-0.053936,0.221300,0.288832,0.369698,0.315845,0.297488,0.333856,0.264735,0.260104,0.295078,0.461497,0.335638,0.431083,0.391305,0.475773,0.589685,0.471674,0.483833,0.529709,0.584008,0.484238,0.462692,0.459634,0.409117,0.426475,0.439357,0.389764,0.311847,0.297059,0.303963,0.286727,0.297378,0.360327,1.032517,1.259096,1.350448,1.472350,0.401196,1.388733,1.410280,1.321441,1.299958,1.010921,1.026031,1.254799,1.016301,1.196147,1.478487,1.237837,1.295756,1.080783,1.419604,1.464262,0.533569,0.320515,0.316807,0.344237,0.377911,0.299931,0.341289,0.325221,0.379682
5,1.418063,2.000050,2.647343,1.671222,2.320679,1.533090,1.796457,1.630038,1.554145,1.609632,1.319332,1.040570,0.970880,0.962580,0.975624,0.730793,0.957603,1.191722,1.511136,0.418605,0.395938,0.831357,0.427571,1.435690,1.404761,0.684756,0.781977,0.783796,0.152646,0.545935,0.477513,0.008563,0.205572,0.567899,0.669031,0.457298,0.422822,0.781416,0.826802,0.278861,0.756738,0.274914,0.138632,0.300300,0.286110,0.332309,0.319140,0.537371,0.183888,0.640183,0.504941,0.531386,0.188701,0.540755,0.398195,0.599635,0.610714,0.402960,0.470098,0.502347,0.614546,0.365497,0.422880,0.466584,0.524720,0.848961,0.035447,0.145518,0.463590,0.343307,0.423650,0.262552,0.405283,0.460845,0.502799,0.510538,0.448172,0.573702,0.552622,0.567597,0.441949,0.454536,0.450277,0.441123,0.544463,0.522259,0.530266,0.513230,0.465622,0.618649,0.648467,0.448080,0.405735,0.683671,0.597601,0.639346,0.616273,0.587694,0.561202,0.709766,0.816118,0.793870,0.802416,0.477488,0.339717,0.794075,0.470118,0.499303,0.228865,0.397855,0.699124,0.764192,0.701191,0.608908,0.655632,0.629859,0.639421,0.697102,0.628595,0.467105,0.184051,0.072903,0.715950,0.273700,0.093223,0.677814,0.135576,0.102822,0.581636,0.185330,0.253336,0.233007,0.270279,0.255540,0.115333,0.945727,0.177220,0.134546,0.213650,0.788474,0.811928,0.812768,0.430157,0.401497,0.238293,0.343983,0.550548,0.270336,0.753681,0.233865
6,2.063175,1.404140,2.022649,0.816971,0.553778,0.504493,0.550832,0.601962,0.860707,0.329847,1.457352,0.857227,1.232627,0.906465,1.484746,0.985298,1.338577,1.547209,1.831799,1.468465,0.949576,0.509808,1.035687,0.581212,0.834932,1.135846,0.716516,1.351916,1.422658,1.823075,1.483390,1.368231,1.493340,0.745384,0.896205,1.208327,0.894934,0.836524,0.895830,0.926503,0.847033,0.889659,0.885743,0.878793,0.854793,0.180516,0.241147,0.151964,0.161259,0.006506,-0.010157,0.017257,-0.018673,0.005142,-0.184510,0.073620,0.115444,0.082368,0.027521,0.018832,0.222518,0.272306,0.277098,0.245315,0.298083,0.261868,0.155011,0.312831,0.127965,0.273012,0.297791,0.329995,0.084254,0.108533,0.274849,0.313974,0.154637,0.231078,0.018328,-0.011577,-0.008598,0.032358,0.001211,0.278531,-0.010156,0.008828,0.104627,0.108921,0.098013,0.104192,0.036209,-0.016992,0.295436,0.010634,0.064493,0.036998,0.013801,0.186460,0.252490,0.168571,0.193882,0.232614,-0.004507,0.064407,0.031578,0.005250,0.039795,0.060115,0.034958,0.082324,0.287305,0.309987,0.331204,0.082337,0.105800,0.073210,0.082317,0.089611,0.058551,0.081109,-0.195713,0.014105,0.031495,-0.059378,0.066159,-0.079392,-0.046946,-0.028570,-0.080203,-0.063178,-0.025359,-0.038753,-0.056798,0.291990,0.439610,0.296984,0.361629,-0.140702,0.446520,0.498985,0.508141,0.053382,0.094548,0.093425,0.082059,0.051773,0.079237,-0.003231,0.027114,0.048391
7,2.270414,1.233959,1.727248,1.028288,1.307470,0.563169,1.573325,1.337437,1.172571,1.014958,1.127970,0.978766,1.277522,0.825687,0.296899,0.173486,0.051077,0.401448,-0.055360,0.002825,0.343952,0.374582,0.531335,0.538022,0.549616,0.578588,0.518704,0.199939,0.326528,0.962237,0.616991,-0.031301,1.576398,0.739893,0.468507,0.393882,0.465601,0.466074,0.296720,0.697294,1.115814,0.862147,0.655818,1.267070,0.643281,0.644112,0.600739,0.356668,0.550169,1.148073,0.591330,1.179470,0.656311,0.636377,0.963877,0.662800,1.256320,1.186722,1.222402,1.216938,1.223884,0.802455,0.813455,0.783084,0.813443,0.816314,0.731554,0.394745,0.375795,0.244147,0.088094,0.816393,0.850047,0.751029,0.791103,0.804131,0.451340,0.524802,0.780544,0.824641,0.336958,0.058552,0.282915,0.339060,0.148760,0.142722,0.299068,0.186464,0.003783,0.131855,0.028225,0.327816,0.746677,0.421750,0.432444,0.428214,0.308858,0.350871,0.155077,0.251972,0.286361,0.371024,0.383459,0.848125,0.645897,0.249242,0.457484,0.433701,0.416009,0.626811,0.417331,0.386895,0.671629,0.673424,0.372256,0.354079,0.459741,0.438839,0.448450,0.594051,0.155365,0.763887,0.848023,0.879958,0.452378,0.711503,0.312067,0.340816,0.395489,0.571536,0.248382,0.785037,0.260553,0.363522,0.330632,1.032700,0.822525,0.802643,0.757109,0.796563,0.623656,0.784416,0.658105,0.474571,0.762231,0.455631,0.783552,0.778737,0.806263,0.825727
8,2.038355,2.272632,1.418555,0.664951,2.085831,1.761853,1.084342,0.887573,0.448038,0.272291,1.254860,1.620521,1.376501,1.667230,1.840633,1.423352,1.905796,1.926866,0.782521,0.663610,0.172215,0.410731,0.918960,0.405130,0.567822,0.591674,0.563875,0.364452,0.395882,0.216760,0.401626,1.347449,1.436932,0.871793,0.386048,0.444227,0.152490,0.699192,0.635872,0.393995,0.537832,0.170838,0.207465,0.311581,0.563738,0.683936,0.494267,0.730126,0.340618,0.303076,0.337000,0.678738,0.644120,0.521762,1.120000,1.063080,1.639058,0.778450,1.061598,0.712587,1.046498,0.401895,0.623582,0.690949,0.487062,0.446771,0.715163,0.675079,0.406295,0.671880,0.238287,0.627587,0.243602,0.706372,0.710307,0.549076,0.725142,0.702821,0.249236,0.681607,0.243997,0.226053,0.420708,0.796846,0.212185,0.250114,0.286605,0.202153,0.192884,0.232974,0.161785,0.177432,0.173654,0.199607,0.103132,0.154401,0.152821,0.535946,0.478094,0.520605,0.496904,-0.148036,-0.143325,-0.006001,-0.033436,0.494310,0.074851,0.061660,0.139594,0.057268,0.131317,0.391463,0.374272,0.355429,0.350658,0.367666,-0.027535,0.285115,0.284125,0.394388,0.350037,0.380199,0.360998,0.327224,0.316598,0.415082,0.343305,0.390824,0.356169,0.387640,0.366986,0.337586,0.355053,0.345921,0.354684,0.328931,0.334017,0.378281,0.359057,0.405141,0.391671,0.328096,0.382250,0.349654,0.913582,0.346783,0.336978,0.346497,0.305925,0.322074
9,1.706808,1.317752,1.283169,1.662498,1.661021,0.562451,0.741991,1.177636,2.071008,2.288923,0.658887,0.992151,0.734298,1.276631,0.738717,0.620233,0.920739,0.912924,0.866439,0.808911,0.869552,1.040392,1.077010,0.958591,1.813147,1.698123,1.549455,0.874568,0.832596,0.601441,0.966390,0.968547,0.687333,0.696252,0.727248,0.720904,0.696025,0.666246,0.509441,0.676041,0.554110,0.910541,0.917136,0.546651,0.619144,0.503499,0.856152,0.737447,0.870073,0.704406,0.735746,0.652157,0.775257,0.759025,0.781584,0.693491,0.790919,0.777356,0.736004,0.680751,0.777428,0.910508,0.764432,0.861630,0.717419,0.733410,0.730194,0.679268,0.463036,0.452201,0.643642,0.628909,0.431374,0.451782,0.457560,0.632638,0.668395,0.632816,0.566934,0.609817,0.348467,0.284907,0.093620,0.268356,0.298798,0.119628,0.328654,0.321940,0.333687,0.329411,0.132757,0.019584,0.041416,-0.027261,0.060060,0.007199,0.057313,0.043985,0.408701,0.494060,0.090970,0.013374,0.065591,0.059101,0.078564,0.050617,0.186968,0.214343,0.198108,0.021233,0.057766,0.046254,0.201712,0.223989,0.206760,0.165181,0.193607,0.268569,0.142126,0.155141,0.629520,0.237005,0.216468,0.081011,0.166365,0.245123,0.194008,0.214910,0.223702,0.210598,0.276541,0.232876,0.179917,0.214529,0.182890,0.227901,0.208554,0.213374,0.196628,0.205406,0.235510,0.223815,0.206337,0.231415,0.206742,0.185660,0.182336,0.238996,0.174168,0.223182
