Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.319579,2.009394,1.185853,1.501306,0.782247,0.798324,0.816055,0.804961,2.281358,0.817777,0.985405,0.095088,0.114966,0.545912,0.139124,0.140060,0.115848,0.111875,0.442225,0.413320,0.390542,0.381763,0.395430,0.193620,0.146660,0.390525,0.131678,0.901507,0.092715,0.152073,0.185663,0.144598,0.188910,0.157849,0.170638,0.537236,0.534886,0.509405,0.186873,0.185883,0.201525,0.196112,0.170696,0.230329,0.182773,0.190018,0.176636,0.177112,0.580222,0.592181,0.457704,0.187131,0.456195,0.195962,0.159416,0.241506,0.217950,0.196793,0.205262,0.201770,0.203024,0.188931,0.218790,0.237284,0.167247,0.466269,0.408805,0.191054,0.371750,0.244547,0.167997,0.214078,0.245020,0.412136,0.391157,0.392027,0.228748,0.151729,0.379727,0.179205,0.365696,0.394173,0.383589,0.377866,0.131913,0.132861,0.110640,0.109801,0.450378,0.098677,0.157657,0.122477,0.488281,0.430280,0.191074,0.233437,0.132218,0.133764,0.118631,0.137334,0.145739,0.130700,0.156537,0.218869,0.170302,0.149278,0.155350,0.172516,0.127574,0.128516,0.148930,0.152161,0.162951,0.165426,0.160404,0.135581,0.150673,0.172237,0.144934,0.161417,0.122003,0.151258,0.189248,0.185650,0.146620,0.129712,0.135632,0.154973,0.186869,0.160442,0.113200,0.157490,0.095239,-0.086381,0.169770,0.164122,0.124113,0.162236,0.169137,0.148964,0.142265,-0.034895,0.105258,0.184730,0.160796,0.176856,0.174458,0.154254,0.168053,0.141415
1,1.087566,1.459777,1.451191,1.462844,0.366538,0.362247,1.432269,1.429553,1.491890,1.421587,0.478150,0.458856,-0.148447,-0.191815,-0.167916,-0.175682,-0.170529,-0.189229,-0.167740,-0.108783,-0.169381,-0.233985,-0.194296,-0.218591,-0.205279,-0.113438,-0.181559,-0.174416,-0.184491,-0.204993,-0.203552,-0.195581,-0.183742,-0.198176,-0.230213,-0.183590,-0.226387,-0.197767,-0.148111,-0.200291,-0.123204,-0.048553,-0.164883,-0.212743,-0.132157,-0.166118,-0.167223,-0.205734,-0.157359,-0.205835,-0.160735,-0.182527,-0.209563,-0.045690,-0.048334,-0.229939,-0.164000,-0.186965,-0.015469,-0.097666,-0.032622,-0.181475,-0.040913,-0.222684,-0.074925,-0.195081,-0.081172,-0.226161,-0.213357,-0.250825,-0.193836,-0.217959,-0.180285,-0.230377,-0.045183,-0.066460,-0.179906,-0.181949,-0.206198,-0.244153,-0.204405,-0.205077,-0.186690,-0.165962,-0.097319,-0.167844,-0.198822,-0.044501,-0.167473,-0.181466,-0.118502,-0.188249,-0.187957,-0.192676,-0.195348,-0.027475,-0.162711,-0.180888,-0.192310,-0.185915,-0.206049,-0.206325,-0.182129,-0.173717,-0.185365,-0.207102,-0.215881,-0.166907,-0.180144,-0.181651,-0.186749,-0.162450,-0.180657,-0.168954,-0.164003,-0.198987,-0.187432,-0.174573,-0.201756,-0.153532,-0.159859,-0.154559,-0.156023,-0.153523,-0.208070,-0.186044,-0.180008,-0.197376,-0.144895,-0.165290,-0.143871,-0.217713,-0.173476,-0.164806,-0.175796,-0.210365,-0.177888,-0.172386,-0.135637,-0.171890,-0.150229,-0.194404,-0.155343,-0.186681,-0.157361,-0.198722,-0.143234,0.105661,0.083408,-0.189020
2,2.465157,1.097837,1.391834,1.149810,1.127728,1.396515,0.780309,0.927159,0.538925,0.624298,0.678353,0.641904,0.930972,0.989058,0.983858,0.632624,0.661913,0.545966,0.561031,0.471826,0.456078,0.595369,0.527689,0.545993,0.555394,0.525715,0.573772,0.539247,0.532440,0.478144,0.491637,0.455257,0.550159,0.437119,0.364548,0.457058,0.551167,0.445920,0.500236,0.478336,0.498184,0.428479,0.380224,0.341301,0.353552,0.323624,0.483254,0.468073,0.369675,0.331259,0.327960,0.359849,0.374488,0.357259,0.332185,0.324086,0.373926,0.340755,0.356487,0.345699,0.359502,0.357161,0.356206,0.340747,0.376180,0.326569,0.366572,0.445576,0.339469,0.603175,0.610637,0.625749,0.663582,0.621253,0.619357,0.640304,0.637144,0.593421,0.655108,0.644046,0.643619,0.386779,0.623288,0.575780,0.318167,0.302439,0.333488,0.368829,0.323016,0.320573,0.430924,0.395291,0.412377,0.395228,0.437236,0.400556,0.385261,0.435009,0.398687,0.450056,0.393139,0.400053,0.440801,0.416312,0.429569,0.381514,0.433911,0.445978,0.418937,0.395130,0.459447,0.426523,0.442268,0.479884,0.433377,0.402718,0.456223,0.384877,0.470171,0.404641,0.426910,0.450437,0.255384,0.223254,0.448757,0.240370,0.242601,0.239567,0.247272,0.249801,0.239268,0.247918,0.270304,0.207860,0.197775,0.245433,0.211402,0.277540,0.218625,0.223536,0.286452,0.253555,0.276728,0.237414,0.279837,0.210614,0.221810,0.210626,0.237949,0.212385
3,1.125384,2.374402,1.155764,1.622574,1.998672,2.008465,2.006508,1.314593,1.346725,0.528663,1.967733,1.972983,1.757125,1.079672,1.512866,1.509259,2.622785,1.702131,1.349038,1.527212,1.511386,1.345601,1.315746,1.413341,1.510427,1.546700,1.578501,1.588297,1.589364,1.306349,1.373450,1.371681,1.333996,1.373372,1.351526,1.373448,1.545679,1.560895,1.599410,1.570467,1.594138,1.513025,1.548349,1.592913,1.565520,1.540645,1.168083,1.153161,1.106535,1.146493,1.163583,1.183738,1.193611,1.165814,1.144737,1.119964,1.170479,1.160166,1.167440,0.966675,0.955789,0.957601,0.933828,0.913212,1.176538,1.130389,0.827111,0.798799,0.793973,0.735839,0.777689,0.774151,0.795202,0.811160,0.788777,0.767367,0.786204,0.818972,0.807580,0.784180,0.790735,0.803012,0.785194,0.778690,0.830677,0.834064,0.784551,0.808311,0.734417,0.807892,0.803808,0.778704,0.768930,0.775407,0.756050,0.773648,0.745093,0.752622,0.790977,0.771680,0.897147,0.802131,0.819161,0.791366,0.780763,0.756571,0.768159,0.788643,0.931729,0.906876,0.917977,0.909896,0.926130,0.935946,0.910449,0.897458,0.918900,0.894290,0.894872,0.881429,0.886858,0.892243,0.927057,0.951468,0.887155,0.918988,0.863010,0.923953,0.873767,0.888946,0.883938,0.890564,0.852162,0.888173,0.901042,0.893872,0.882827,0.894552,0.893121,0.860509,0.931157,0.878560,0.778859,0.861679,0.787018,0.878872,0.868419,0.844015,0.846665,0.874175
4,1.112523,3.128085,3.074748,1.313380,2.453536,2.152257,2.492877,1.338326,1.041493,1.083666,1.095678,1.080441,1.079694,1.101499,1.349811,1.058004,1.055255,1.078077,1.067063,1.038310,1.049902,1.116927,1.109838,1.075012,1.081870,1.061727,1.068466,1.076252,1.071720,0.439668,0.447420,0.299314,0.262741,0.315785,0.247511,0.293174,0.285450,0.262636,0.237900,0.383061,0.393586,0.342668,0.301391,0.283029,0.274772,0.270857,0.397486,0.298822,0.309023,0.277994,0.292582,0.355862,0.356811,0.361828,0.420345,0.066265,0.082891,0.057215,0.048102,0.380449,0.384007,0.339491,0.381035,0.361909,0.142237,0.192308,0.165361,0.216133,0.182042,0.181235,0.218632,0.403055,0.367032,0.152340,0.211775,0.201820,0.197409,0.212218,0.213893,0.226847,0.183506,0.197904,0.170782,-0.036060,-0.035087,0.011737,0.168076,0.030541,-0.053936,-0.052827,-0.027806,-0.002968,-0.038401,-0.069012,0.005922,-0.010512,-0.022908,-0.000563,-0.018662,-0.042789,-0.012473,-0.039868,0.026338,0.022050,0.008408,0.036381,-0.023463,-0.015079,0.062321,-0.056407,0.075854,0.039051,0.049828,0.073349,0.040762,-0.054794,0.066886,0.070372,0.065362,0.027298,0.060006,0.068400,0.063964,0.096773,0.080066,0.097697,0.081012,0.071477,0.053607,0.028861,0.070363,0.054116,0.077422,0.068046,0.029027,0.055474,0.087454,0.077633,0.270434,0.259813,0.242287,0.286402,0.290287,0.308757,0.137153,0.031757,0.311118,0.156978,0.260513,0.385296
5,1.418063,1.418843,1.412182,1.428338,1.400136,1.365439,1.436870,1.418977,1.391175,1.393192,1.438739,1.396363,1.447715,1.056399,1.101688,0.730793,1.439158,1.437504,1.378191,1.469017,1.378937,1.039432,1.043687,1.435690,1.063360,1.083162,1.062719,1.051633,1.084895,1.065412,1.072350,0.480748,1.106181,0.419090,0.498894,0.471811,0.467613,0.482534,0.514090,0.479850,0.366138,0.343326,0.499450,0.502881,0.363955,0.419088,0.516078,0.516949,0.476408,0.424151,0.492610,0.501068,0.501056,0.495170,0.478816,0.484510,0.520431,0.492308,0.487351,0.536179,0.477504,0.463133,0.468949,0.496134,0.441292,0.494141,0.413692,0.526864,0.395493,0.403979,0.396775,0.517195,0.441369,0.531121,0.457539,0.478433,0.478020,0.509467,0.497919,0.493589,0.487864,0.485599,0.487801,0.464948,0.500203,0.471887,0.502467,0.468748,0.487149,0.465974,0.512958,0.460201,0.504327,0.477767,0.497294,0.495576,0.523041,0.519302,0.479654,0.426153,0.509251,0.474271,0.500556,0.500594,0.481848,0.480354,0.469363,0.512617,0.444418,0.637796,0.565182,0.609500,0.541488,0.615732,0.428264,0.484361,0.558170,0.463427,0.468265,0.508275,0.494550,0.497525,0.473934,0.546192,0.514602,0.523134,0.500685,0.494982,0.493585,0.513394,0.510108,0.482822,0.546044,0.509004,0.490823,0.467778,0.510191,0.456501,0.478136,0.484729,0.506593,0.494807,0.494086,0.159820,0.488805,0.043961,0.013721,0.069270,0.040961,0.155337
6,1.117594,1.404140,1.405075,1.411380,1.414461,0.504493,0.509566,0.601962,0.623844,0.509426,0.499974,0.532930,0.516672,0.906465,0.869568,0.931258,0.946427,0.960066,0.937705,0.515257,0.821952,0.509808,0.513969,0.581212,0.535135,0.526180,0.488363,0.580238,0.518566,0.489330,0.583388,0.489543,0.537005,0.523860,0.589407,0.846525,0.894934,0.838328,0.898607,0.896120,0.845733,0.890039,0.885743,0.878793,0.863843,0.180516,0.241147,0.151964,0.161259,0.153538,0.122389,0.154366,0.117244,0.024722,-0.184510,0.073620,-0.186150,-0.183478,-0.196164,-0.219644,-0.244563,-0.213824,0.269244,0.245315,-0.162985,0.224024,0.155011,0.158519,0.152126,0.104382,0.108900,0.138247,0.084254,0.122610,0.137778,0.097102,0.113443,0.142697,0.120773,0.108749,0.120235,0.167804,0.110157,0.149688,0.131219,0.117913,0.123125,0.128445,0.141891,0.145332,0.065728,-0.002563,0.147687,0.035442,0.134910,0.111110,0.078053,0.068977,0.120136,0.087473,0.065222,0.123394,0.071202,0.123270,0.122771,0.084318,0.133661,0.127746,0.111285,0.162278,0.093745,0.118257,0.116117,0.150737,0.146406,0.088508,0.141969,0.095798,0.042672,0.146937,0.093818,0.032283,0.117506,0.034333,0.075732,0.001222,0.028504,0.036534,0.000195,0.014560,0.061313,0.039661,0.020569,-0.061083,0.041856,-0.031008,-0.192314,0.022991,-0.042832,-0.063924,-0.059232,0.053382,0.094548,0.077892,0.092550,0.050237,0.111141,-0.082449,0.047328,-0.030156
7,2.270414,1.233959,1.255200,1.285836,1.281257,1.320262,1.317321,1.037948,1.284445,1.014958,0.994541,0.978766,0.940887,0.917292,0.942336,0.173486,0.871145,0.155649,0.907336,0.921871,0.343952,0.349915,0.338590,0.364294,0.386585,0.383476,0.344665,0.335232,0.367314,0.351015,0.348233,0.307000,0.322840,0.739893,0.468507,0.465570,0.465601,0.466074,0.296720,0.285489,0.302154,0.266378,0.311748,0.444224,0.305374,0.499209,0.475270,0.284075,0.446063,0.370150,0.382449,0.289794,0.361365,0.348719,0.397243,0.456136,0.481977,0.440065,0.511676,0.443414,0.370422,0.418052,0.453697,0.462059,0.444502,0.371638,0.481705,0.301869,0.295982,0.244147,0.227665,0.205274,0.299174,0.226679,0.278318,0.215661,0.405062,0.253701,0.269331,0.382395,0.225816,0.267214,0.251231,0.287509,0.148760,0.144676,0.125975,0.186464,0.003783,0.051798,0.023723,0.049221,0.229908,0.194372,0.237038,0.137386,0.035448,0.074619,0.298056,0.242809,0.258011,0.282614,0.289233,0.380553,0.293619,0.300461,0.337097,0.418461,0.419883,0.452075,0.434279,0.405768,0.405724,0.409283,0.384249,0.444667,0.463853,0.418540,0.450291,0.401978,0.155365,0.171434,0.422071,0.448893,0.304281,0.165044,0.168376,0.403239,0.253925,0.167279,0.134085,0.373144,0.287762,0.403968,0.407516,0.413567,0.441132,0.179243,0.132374,0.198616,0.390864,0.171825,0.187248,0.424204,0.385322,0.181532,0.174187,0.405239,0.193847,0.086228
8,2.038355,2.272632,1.418555,1.374716,1.388227,2.328744,1.084342,0.887573,0.448038,0.458616,0.478346,1.246247,1.223195,0.872772,1.232569,1.256743,1.241820,1.258700,1.745335,0.663610,0.454448,0.410731,0.385587,0.465809,0.444832,0.591674,0.563875,0.591424,0.571943,0.216760,0.261452,0.251973,0.549233,0.616332,0.199489,0.251381,0.344933,0.378569,0.579281,0.393995,0.250160,0.238582,0.255242,0.603929,0.142022,0.145130,0.173057,0.260576,0.340618,0.310311,0.288488,0.338428,0.297000,0.330748,0.316918,0.466774,0.468198,0.301279,0.337283,0.482315,0.324513,0.258257,0.312738,0.311070,0.356413,0.304066,0.320626,0.455736,0.469485,0.305915,0.238287,0.205832,0.454533,0.466342,0.470377,0.515144,0.479813,0.520489,0.477945,0.471162,0.315518,0.277476,0.291992,0.335817,0.353924,0.326446,0.233947,0.266602,0.313838,0.296018,0.475528,0.490109,0.205564,0.342913,0.240851,0.288688,0.195070,0.196989,0.194659,0.248422,0.264868,0.185975,-0.143325,-0.129070,-0.157881,-0.118736,-0.116221,-0.122098,-0.125946,-0.175478,-0.095860,-0.101270,-0.112986,-0.143443,-0.129765,-0.139937,-0.138347,-0.156669,-0.177455,-0.090618,-0.132012,-0.129993,-0.123492,-0.159789,-0.168408,-0.075130,-0.154226,-0.119048,-0.126192,-0.075778,-0.100019,-0.133286,-0.135805,-0.155646,-0.149544,-0.160175,-0.165267,-0.082325,-0.133829,-0.095137,-0.088671,-0.145375,-0.119409,-0.133232,-0.121182,-0.138692,-0.155667,-0.140045,-0.171753,-0.154888
9,1.706808,1.672397,1.283169,1.662498,1.250078,0.562451,1.295171,1.295076,1.704366,1.684136,0.658887,0.992151,0.928670,1.276631,0.520463,0.600795,0.981363,1.027087,0.795378,0.808911,0.544834,0.772653,0.770734,0.958591,0.529931,0.585246,1.549455,0.874568,0.839178,0.601441,0.644623,0.893939,0.687333,0.693000,0.725018,0.720904,0.696025,0.666246,0.509441,0.544727,0.554110,0.728303,0.729166,0.692975,0.744939,0.757514,0.485606,0.477699,0.505552,0.461707,0.473125,0.475443,0.510494,0.765305,0.501896,0.693491,0.703293,0.777367,0.690012,0.650192,0.678847,0.718639,0.574764,0.655033,0.538013,0.664511,0.708997,0.654420,0.676125,0.698181,0.467420,0.417888,0.431374,0.470576,0.457560,0.418601,0.455261,0.454891,0.387226,0.432024,0.433082,0.419736,0.411258,0.402085,0.431333,0.419888,0.474314,0.151999,0.447334,0.099999,0.088958,0.110515,0.116603,0.084718,0.131673,0.127703,0.125612,0.043985,0.066034,0.120462,0.160794,0.092991,0.152094,0.138677,0.153686,0.076017,0.094474,0.055296,0.115901,0.103746,0.129365,0.126163,0.107799,0.134952,0.109111,0.012501,0.130943,0.109458,0.043870,0.053272,0.019740,0.062981,0.065199,0.039975,0.094968,0.059521,0.033994,0.067638,0.073089,0.047991,0.080492,0.049472,0.008819,0.045198,0.019731,0.082921,0.061580,0.056267,0.031640,0.040633,0.073808,0.061003,0.040102,0.070135,0.022702,0.036903,0.018346,0.077331,0.006509,0.061111
