Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.585888,1.851850,0.796216,0.771441,0.773981,1.527876,0.786055,0.767118,0.751111,0.594002,0.632877,0.640848,0.694028,0.678712,0.652033,0.628767,0.664939,0.613515,0.842950,0.835411,0.865691,0.860743,0.816378,0.855612,0.831202,0.847513,0.888826,0.861212,0.664243,0.826132,0.832212,0.660997,1.046115,0.916950,1.082865,1.218987,1.257471,1.217591,1.221088,1.182107,1.240054,1.218821,1.201983,1.234523,1.220556,1.406384,1.397754,1.081263,1.109416,0.598787,0.630703,1.093279,0.621250,1.027025,0.596242,0.702232,1.094198,0.647298,0.610242,0.636712,1.091204,0.605867,0.604506,0.608683,0.605827,0.594187,0.590400,0.038487,-0.002407,0.059554,0.075514,0.023753,0.031579,0.033582,0.689805,0.681228,0.684899,0.682254,0.134947,0.049871,0.041716,0.060699,0.022532,0.033654,0.087423,-0.025356,0.072212,0.091028,0.052655,0.064571,0.080400,0.058348,0.278737,0.534204,0.478298,0.028530,0.253543,0.079823,0.101553,0.111755,0.102573,0.043888,0.179094,0.070433,0.074667,0.006110,0.108754,0.008921,-0.043826,0.007718,-0.055100,0.014339,-0.036387,-0.019397,-0.017190,0.019535,0.040393,0.007229,-0.017591,0.015283,0.026852,0.021368,-0.011466,-0.004942,-0.033834,0.001076,0.046954,-0.028961,-0.002753,-0.017032,-0.002379,-0.035109,-0.006111,-0.022945,-0.039269,0.011109,-0.038049,0.034007,0.054524,-0.069513,-0.015781,-0.000643,-0.047023,0.029184,0.001488,0.016581,0.160727,0.017086,-0.015597,-0.027125
1,1.588930,3.505228,1.871425,1.859773,1.517137,1.551938,1.548825,1.513564,1.498760,1.530123,1.527476,1.125607,1.541338,1.197185,1.130670,1.489189,1.887880,1.858973,1.182248,1.150794,1.129917,1.498914,1.544996,1.828721,1.544965,1.496906,1.515979,1.511685,1.111105,1.153602,1.160652,1.129731,1.320047,1.301356,1.128412,0.818314,0.798800,0.830196,0.836729,0.857790,0.787913,0.830840,0.799276,0.847723,0.859028,0.837663,0.830492,0.825877,0.841014,0.907751,0.833469,0.919009,0.929848,0.949484,0.930243,0.918591,0.756183,0.779824,0.720181,0.786743,0.830847,0.750398,0.718727,0.775179,0.800125,0.760375,0.801198,0.766522,0.714864,0.764959,0.819358,0.809596,0.782814,0.802209,0.768729,0.731411,0.785684,0.749944,0.773958,0.804066,0.806476,0.759020,0.748156,0.774609,0.783119,0.781016,0.769192,0.765181,0.786836,0.931976,0.748787,0.816474,0.722600,0.757498,0.791388,0.785193,0.787064,0.746650,0.764209,0.775618,0.798384,0.947076,0.778207,0.726823,0.796835,0.769232,0.749479,0.786953,0.940175,0.916044,0.786415,0.798620,0.774046,0.908644,0.750521,0.769224,0.974063,0.724483,0.961764,0.793685,0.971004,0.948965,0.791709,0.738931,0.936112,0.946822,0.785909,0.737975,0.739568,0.775077,0.766155,0.795837,0.743543,0.772946,0.771546,0.760715,0.763039,0.809244,0.791977,0.781966,0.794260,0.816844,0.787840,0.742473,0.750535,0.756750,0.738340,0.748754,0.775623,0.815380
2,1.234355,1.602653,1.961397,1.880294,1.920277,0.944351,0.980867,2.028452,1.344180,2.043173,0.978799,0.962188,1.005154,0.616481,0.600407,0.570683,0.643967,1.506653,1.504877,1.518022,1.513786,0.643781,0.632858,0.605973,0.570570,0.605012,0.569106,0.607350,0.120427,0.619530,0.167861,0.149223,0.166275,0.126717,0.144779,0.125586,0.143274,0.161896,0.166339,1.283216,0.175829,1.307760,0.715829,0.165354,0.132669,0.174768,0.155167,0.689654,0.170063,0.190600,0.693616,0.394054,0.149604,0.392466,0.349032,0.164385,0.175423,0.157017,0.094377,0.362983,0.120820,0.146353,0.094413,0.160373,0.171983,0.135922,0.132158,0.139144,0.183709,0.161880,0.115837,0.119699,0.133608,0.137372,0.093712,0.145064,0.158277,0.154135,0.112977,0.140799,0.133994,0.126077,0.146311,0.170985,0.016627,0.188143,0.019099,0.163415,0.084645,0.026404,0.144162,0.132414,0.144731,0.128350,0.167158,0.101297,0.117693,0.157687,0.100958,0.134460,0.129269,0.118397,0.144662,0.136767,0.121056,0.032874,0.609697,0.113434,0.152253,-0.001971,-0.060270,0.160742,-0.009890,0.031942,-0.034738,0.016490,0.160214,0.148025,0.131598,0.106041,0.110211,-0.005195,0.073968,0.135265,0.174117,0.118722,0.131259,-0.001290,0.128107,0.103892,0.127752,-0.012921,0.007244,0.127679,0.145403,0.109673,0.085918,0.044564,-0.081484,-0.013517,0.145315,-0.040528,-0.001220,0.028065,-0.030596,-0.020301,0.048429,0.070978,0.081946,0.018578
3,1.550254,0.980883,0.790719,0.910124,0.904841,0.909523,0.888580,0.925235,1.110576,1.138570,1.127846,0.865891,0.907762,0.873230,0.945347,0.913388,0.898580,0.894697,0.899319,0.914542,0.897337,0.897396,0.859243,0.928485,0.968376,0.914722,0.895170,0.922552,0.895278,0.892719,0.893755,0.885542,0.946176,1.767116,0.906650,0.948608,0.990221,0.996849,0.877308,0.891470,0.882098,0.970534,0.931144,0.487173,0.970023,0.640629,0.974890,0.657868,0.942147,0.930756,0.662368,0.467270,0.526161,0.526272,0.538723,0.530671,0.511684,0.517427,0.529858,0.559657,0.557641,0.511933,0.132391,0.182505,0.171291,0.150447,0.533238,0.551506,0.252398,0.231463,0.303737,0.218373,0.272534,0.454065,0.291777,0.251841,0.267234,0.245200,0.294607,0.195924,0.225668,0.215999,0.210350,0.191252,0.237211,0.196715,0.223549,0.219569,0.216586,0.223175,0.190908,0.247274,0.239752,0.182884,0.224847,0.237716,-0.031169,0.198130,0.188107,0.230593,0.129656,0.144977,0.136947,-0.027741,0.148471,0.107386,0.248618,0.135484,0.178721,0.230455,0.215663,0.175121,0.191700,0.188953,0.236969,0.173967,0.130409,0.206179,0.173619,0.211261,0.171673,0.139203,0.180570,0.163800,0.247527,0.182143,0.136741,0.162398,0.228619,0.132129,0.015218,0.131801,0.044428,-0.002931,0.009151,-0.052376,-0.022931,0.173917,0.030031,0.201136,0.144918,0.200989,0.173972,0.078034,0.161032,0.020837,0.032511,0.095605,0.031884,0.028020
4,1.581794,0.559378,0.413853,1.384396,0.638847,1.380205,1.162081,1.407174,1.671093,1.335191,1.285838,1.240970,1.290617,1.674730,1.749156,1.717116,1.161414,1.156686,1.742785,1.006083,1.029251,1.063637,1.042977,1.009393,1.040143,1.001553,0.150838,0.131225,0.744797,0.736370,0.780352,0.632002,0.715201,0.640640,0.612116,0.609775,0.462433,0.379806,0.752345,0.785537,0.599372,0.630977,1.193579,0.792238,0.404854,0.417385,0.319958,0.328009,0.344266,0.389058,1.155427,1.154338,0.891099,0.307531,1.104208,0.324541,0.362016,0.245179,0.267833,0.330293,0.336739,0.311310,0.354496,0.363412,0.342509,0.305045,0.499421,0.333509,0.310679,0.325852,0.371037,0.360265,0.347504,0.468933,0.308399,0.347645,0.363815,0.514465,0.367460,0.346384,0.316027,0.368362,0.426734,0.312024,0.329469,0.356980,0.332619,0.332046,0.436172,0.418821,0.389615,0.505167,0.411797,0.337929,0.433584,0.333666,0.302894,0.504654,0.327788,0.532868,0.338533,0.215015,0.331963,0.352270,0.351668,0.334656,0.231626,0.327754,0.389536,0.248526,0.409006,0.349330,0.320265,0.235908,0.289402,0.294818,0.225406,0.267186,0.207976,0.366888,0.328165,0.328193,0.277181,0.305588,0.323716,0.296907,0.233120,0.237803,0.209894,0.274914,0.259951,0.256492,0.324402,0.434180,0.405679,0.147299,0.272707,0.363335,0.327330,0.346436,0.318352,0.240818,0.330531,0.329898,0.235817,0.124330,0.302254,0.263556,0.000810,0.309514
5,1.428057,2.247835,2.038239,3.164825,3.285271,2.228529,2.223747,2.205954,2.209148,1.850035,1.868725,1.839404,1.838536,1.200794,0.987464,0.982769,0.981949,0.991797,0.971266,1.007039,0.973334,0.966596,0.998917,0.803599,0.783982,0.632287,0.638542,0.814859,0.792699,0.771054,0.744291,0.797034,0.813253,0.806729,1.006072,0.794907,0.763249,0.767786,0.843690,0.813961,0.849738,0.755100,0.760841,0.867343,0.788989,0.771506,0.965133,0.467642,0.469216,0.969109,0.967694,0.979754,0.462196,0.467127,0.751132,0.757870,0.764218,0.763199,0.790933,0.768904,0.815658,0.794521,0.809360,0.749445,0.750180,0.758784,0.777411,0.786018,0.794217,0.775684,0.766797,0.778650,0.747065,0.787103,0.760229,0.778973,0.799237,0.797232,0.778957,0.815634,0.180678,0.168643,0.194165,-0.094370,-0.094879,-0.103737,-0.102085,-0.093148,0.231930,-0.098435,-0.070730,-0.104107,-0.086743,-0.117583,0.120809,0.145717,0.132898,0.147301,-0.025672,-0.053041,-0.071982,-0.037084,-0.063431,-0.059293,-0.023955,-0.040801,0.001807,-0.075096,-0.029484,-0.009551,-0.058393,0.126917,-0.053559,-0.035205,0.112158,-0.033972,-0.030155,-0.020238,-0.055683,0.004307,0.190215,-0.060545,-0.105765,-0.060810,0.129589,-0.057887,-0.040212,-0.050356,-0.043945,-0.008667,-0.063974,-0.019345,-0.041089,-0.035422,-0.055104,-0.049707,-0.042522,0.126389,0.167697,-0.075301,-0.000532,-0.043830,-0.052198,-0.030865,-0.040120,0.116047,-0.101106,0.114836,-0.060346,-0.026762
6,1.425245,1.364138,1.389417,1.718128,2.033951,1.979793,2.069054,1.045782,1.087392,1.234184,1.182145,1.177792,1.187698,1.515776,1.217317,1.218191,1.151644,1.189167,1.174757,1.162405,1.205080,1.192989,1.193787,1.246813,0.599839,0.608094,0.584763,0.993604,0.637590,0.646342,0.615844,0.591138,1.160573,0.449876,0.326626,0.515385,0.448514,0.468630,0.482022,0.443519,0.510441,0.489321,0.472831,0.311906,0.474782,0.458350,0.505823,0.451110,0.495212,0.448410,0.491726,0.465334,0.463240,0.476393,0.316829,0.490159,0.488266,0.450828,0.505720,0.491385,0.490384,0.500715,0.478968,0.471218,0.438083,0.450194,0.464735,0.439931,0.396356,0.428675,0.447182,0.430940,0.445167,0.460931,0.467415,0.464049,0.452325,0.466193,0.467081,0.463076,0.472514,0.437257,0.458733,0.465260,0.448291,0.491946,0.488299,0.449880,0.445854,0.432846,0.416508,0.456534,0.494320,0.441886,0.491647,0.416448,0.465701,0.458720,0.440836,0.473084,0.468384,0.465870,0.453971,0.468967,0.407793,0.490782,0.448058,0.439044,-0.012279,0.397664,0.449719,0.449055,0.443772,0.479342,0.431072,0.067605,0.038158,0.077678,0.036303,0.053074,-0.005445,0.470251,0.448831,0.443804,0.350223,-0.002303,0.059731,0.039115,0.081624,-0.015140,0.069341,-0.002973,0.045420,0.020862,0.011208,0.086255,0.044796,-0.006748,0.008041,0.029641,-0.015376,0.064497,0.096626,0.000779,0.058458,0.045877,0.039216,0.020130,0.060968,0.036230
7,1.508774,1.511050,1.362103,1.393334,0.884879,1.509165,0.722224,0.752968,0.910558,0.877863,0.943119,0.924697,0.919167,0.348738,1.346723,1.396107,0.368852,0.380070,0.358466,0.327319,0.317189,0.310054,0.316176,0.313644,0.951527,0.983479,0.276781,0.288529,0.174012,0.314716,0.216466,0.177414,0.155084,0.181488,0.379782,0.360950,0.204634,0.342556,0.357138,0.387734,0.160625,0.193620,0.355436,0.192479,0.168847,0.160290,0.150666,0.224919,0.327383,0.652217,0.700360,0.220267,0.732848,0.656310,0.698595,0.711674,0.237498,0.220147,0.181345,0.196222,0.674411,0.674839,0.711310,0.536744,0.245168,0.522828,0.597391,0.552729,0.586286,0.517177,0.206036,0.580004,0.548565,0.025996,-0.079300,-0.101874,-0.100457,-0.079428,-0.084962,-0.077175,0.036565,0.047229,-0.117973,-0.182781,-0.118722,-0.077798,-0.106394,-0.105376,-0.099413,-0.112048,-0.147087,-0.105297,-0.120099,-0.071371,-0.140083,-0.137309,-0.096353,-0.071710,-0.139862,-0.109874,-0.147921,-0.145770,-0.133581,-0.041215,-0.032813,-0.071903,-0.073148,-0.061974,-0.044119,-0.056035,-0.076413,-0.026885,-0.049194,-0.047208,-0.085112,-0.021385,-0.074808,-0.048276,-0.131344,-0.110654,-0.091207,-0.155752,-0.146039,-0.092271,-0.121288,-0.137005,-0.137066,-0.094226,-0.093870,-0.173242,-0.136768,-0.110063,-0.124966,-0.101800,-0.091243,-0.136282,-0.128318,-0.099346,-0.104777,-0.169727,-0.103403,-0.114756,-0.123890,-0.128859,-0.081994,-0.090345,-0.128394,-0.121806,-0.162288,-0.135126
8,1.560567,0.747536,0.745573,1.162028,0.718907,0.766125,1.025991,1.009364,1.036950,1.044776,0.578932,0.551044,0.529674,0.568922,0.561490,0.597481,0.264381,1.272862,0.347355,0.401269,0.367529,0.939074,0.944039,0.920176,0.893020,0.922008,0.351736,0.296738,0.264729,0.320172,0.353395,0.247463,0.314098,0.323716,0.135485,0.305221,0.349880,0.351060,0.379797,0.162766,0.385296,0.363026,0.384014,0.349390,0.359824,0.372348,0.317228,0.362271,0.318439,0.343972,0.334298,0.370426,0.317725,0.342007,0.354164,0.339848,0.312620,0.418369,0.324271,0.352356,0.340706,0.457636,0.377535,0.372012,0.040583,0.040633,-0.005221,0.081870,0.043182,0.032958,0.079539,0.056195,0.286739,0.018911,0.305504,0.067883,0.025364,0.056033,0.025534,0.029543,0.050828,0.049753,-0.012241,0.104847,0.055588,0.041485,0.375882,0.396466,0.270473,-0.003106,0.145154,0.188195,0.255044,0.218131,0.229623,0.049866,0.211596,0.035448,0.050888,0.092777,0.037176,0.004364,0.056433,0.118032,0.002156,0.106701,0.253468,0.232427,0.195292,0.099222,0.113413,0.047478,0.086469,0.120602,0.227378,0.208341,0.169292,0.147554,0.173069,0.126239,0.104515,0.192836,0.102251,0.145513,-0.077795,-0.085335,0.104852,-0.095229,-0.105752,0.175992,0.159573,-0.081335,-0.106172,0.163199,0.170221,0.188764,0.179801,-0.139100,0.159780,0.216336,0.201220,-0.094362,-0.117882,0.198916,-0.059128,-0.112914,-0.088255,0.090984,0.065323,0.214518
9,5.477099,5.467195,2.024835,2.004147,1.496910,1.511027,1.495361,1.378653,1.362592,1.493340,1.370523,1.500425,1.454222,1.521527,1.478095,1.474456,1.469781,1.379959,1.401765,1.288573,1.297071,-0.089492,-0.098873,-0.034572,-0.111952,-0.085796,-0.117910,-0.104254,-0.128829,-0.043889,-0.063561,-0.081721,0.313964,0.325712,0.314133,-0.089639,0.366509,-0.099225,-0.134293,-0.099520,-0.026200,-0.075073,-0.117904,-0.091798,-0.080670,-0.067438,-0.103066,-0.084659,-0.038733,-0.145840,-0.079141,-0.088720,-0.068788,-0.110347,-0.087715,0.336408,0.337602,0.316303,0.341916,0.318585,0.137913,0.362048,-0.081352,-0.070496,-0.060777,-0.104686,-0.095928,-0.069155,-0.127213,-0.077245,-0.094255,-0.093946,-0.074013,-0.076625,-0.043982,-0.068496,-0.089458,-0.120203,-0.131351,-0.073372,-0.086746,-0.124312,-0.056085,-0.059045,-0.066852,-0.082866,-0.073151,-0.044581,-0.125941,-0.037713,-0.082852,-0.063821,-0.047693,0.004481,-0.049030,-0.077463,-0.057048,-0.043867,-0.087262,-0.054438,-0.057969,-0.066836,-0.038680,-0.050763,-0.048142,-0.040481,-0.118302,-0.144102,-0.099371,-0.137746,-0.163653,-0.162226,-0.148478,-0.115228,-0.152343,-0.189247,-0.142938,-0.123085,-0.153690,-0.167066,-0.118485,-0.176775,-0.136736,-0.199343,-0.173582,-0.214619,-0.215220,-0.201304,-0.206345,-0.185647,-0.180009,-0.171145,-0.187554,-0.201762,-0.212097,-0.201591,-0.178161,-0.252131,-0.193857,-0.253945,-0.252632,-0.184764,-0.175681,-0.220835,-0.106333,-0.248830,-0.165383,-0.243663,-0.210223,-0.184329
