Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.288003,0.499682,8.012497,3.885040,1.695899,2.506920,1.603354,1.609267,5.867319,3.578898,2.407884,1.438727,4.364694,1.426797,5.060780,2.475615,6.572857,1.340617,4.339903,0.701182,4.256958,2.722894,6.525945,1.054451,4.882023,0.899002,3.742337,3.209887,8.195127,1.441005,2.506862,1.529910,1.579108,5.804795,3.595147,2.435779,1.482817,4.362808,1.480916,5.068831,2.480993,6.541539,1.299316,4.268285,0.680624,4.270606,2.717328,6.543624,1.072125,4.911397,0.903680,3.716015,3.218182,8.199995,1.443139,2.586485,1.545484,1.601210,5.828828,3.577334,2.416242,1.428005,4.429573,1.446877,5.060343,2.497818,6.549650,1.405520,4.317164,0.687232,4.272353,2.707760,6.579257,1.041061,4.914399,0.942611,3.693786,3.187017,8.193983,1.411852,2.555298,1.541624,1.565750,5.879258,3.582179,2.451387,1.428899,4.383241,1.412391,5.069954,2.525001,6.553998,1.404427,4.302693,0.726764,4.231001,2.699904,6.554018,1.064298,4.844080,0.925850,3.695461,3.195371,8.222891,1.431405,2.524968,1.555624,1.549905,5.824195,3.595476,2.451277,1.482011,4.434588,1.475876,5.076381,2.498870,6.533072,1.383930,4.335811,0.715139,4.305000,2.707907,6.547053,1.065436,4.884026,0.898932,3.713388,3.195006,8.236991,1.424681,2.519101,1.570020,1.612594,5.867248,3.600998,2.430730,1.461656,4.397125,1.424870,5.045399,2.515206,6.524740,1.398442,4.314111,0.697868,4.225204,2.684886,6.591157,1.043145,4.913284
1,4.246549,0.510562,8.009197,3.878535,1.639510,2.550215,1.541968,1.668380,5.829511,3.558946,2.403970,1.436465,4.390111,1.446101,5.030886,2.510869,6.561537,1.384745,4.300567,0.714383,4.252585,2.682750,6.543990,1.047965,4.910072,0.928912,3.696736,3.254965,8.223209,1.417607,2.533125,1.546416,1.603505,5.830408,3.577263,2.439314,1.432547,4.395258,1.406960,5.015961,2.464616,6.541226,1.398384,4.270335,0.733766,4.249470,2.678509,6.596753,1.026748,4.885743,0.884870,3.735281,3.179394,8.157370,1.414555,2.538905,1.520958,1.589947,5.860713,3.581123,2.431049,1.423123,4.368467,1.446831,5.050162,2.467755,6.547022,1.331339,4.348243,0.686458,4.267032,2.706682,6.537545,1.017776,4.908938,0.901331,3.730466,3.223622,8.153324,1.428761,2.534389,1.540094,1.627164,5.802914,3.589923,2.438398,1.459647,4.406555,1.403340,5.121811,2.447915,6.533550,1.343038,4.321315,0.725203,4.275601,2.727010,6.562384,1.022785,4.818887,0.915466,3.723049,3.244916,8.160142,1.408012,2.523387,1.552065,1.600870,5.851148,3.559630,2.436898,1.431912,4.392738,1.405163,5.084783,2.510387,6.536172,1.352113,4.293713,0.759881,4.219291,2.678748,6.552063,1.020073,4.891252,0.878920,3.721195,3.217732,8.169093,1.459361,2.543502,1.578181,1.618191,5.859440,3.551784,2.465395,1.429327,4.371666,1.427362,5.037243,2.503395,6.530828,1.356270,4.315324,0.735284,4.256294,2.721060,6.515003,1.014852,4.916362
2,4.250083,0.478810,8.057362,3.842162,1.701343,2.560347,1.598358,1.601129,5.848248,3.580960,2.441902,1.412354,4.380173,1.417613,5.035956,2.491402,6.569736,1.351739,4.298531,0.674806,4.231565,2.661320,6.555951,1.034988,4.889354,0.889956,3.732695,3.234577,8.156595,1.427845,2.492129,1.531782,1.608411,5.812705,3.576487,2.378738,1.412434,4.376112,1.447789,5.054391,2.467530,6.529617,1.371871,4.325849,0.731308,4.230563,2.700460,6.522878,0.998364,4.871486,0.921971,3.669729,3.197689,8.129381,1.391290,2.555993,1.588712,1.608458,5.870551,3.592649,2.435071,1.462683,4.395712,1.456408,5.076117,2.485874,6.508452,1.332626,4.283022,0.692391,4.228848,2.690077,6.534409,0.983669,4.872132,0.938829,3.725435,3.197435,8.160219,1.399590,2.558876,1.599103,1.593814,5.846008,3.594791,2.429732,1.410513,4.385835,1.395270,5.094832,2.480342,6.514188,1.370365,4.332669,0.680218,4.231855,2.663898,6.573659,1.043541,4.896343,0.914810,3.726653,3.201658,8.180696,1.442443,2.499424,1.546876,1.632171,5.815475,3.572679,2.438120,1.426080,4.375826,1.411440,5.072928,2.470591,6.543067,1.358984,4.315170,0.704969,4.289270,2.719844,6.556463,1.048079,4.878920,0.945926,3.684502,3.208157,8.186022,1.473035,2.510730,1.527715,1.583373,5.855987,3.599739,2.418348,1.421304,4.379323,1.445483,5.052435,2.508556,6.567364,1.331789,4.337458,0.716605,4.224702,2.697393,6.501884,1.043938,4.913687
3,4.317411,0.534457,8.014625,3.867642,1.696356,2.521190,1.539775,1.648704,5.864044,3.571895,2.413532,1.495889,4.407653,1.434571,5.082968,2.555491,6.566472,1.382425,4.319379,0.726056,4.305633,2.768084,6.577378,1.044120,4.925921,0.909187,3.694650,3.191003,8.220186,1.426909,2.548423,1.581462,1.604653,5.857762,3.575100,2.442007,1.450798,4.409374,1.426246,5.047311,2.485381,6.551760,1.370261,4.369526,0.709710,4.292810,2.774102,6.544511,1.060905,4.876617,0.981468,3.769448,3.231126,8.163455,1.476309,2.579456,1.522649,1.651786,5.889705,3.614973,2.438372,1.442378,4.408403,1.435066,5.092253,2.520386,6.556462,1.408772,4.360212,0.688505,4.271803,2.713535,6.609061,1.050543,4.916299,0.945287,3.773315,3.230862,8.232174,1.437259,2.529469,1.586967,1.628010,5.861437,3.601572,2.459090,1.463754,4.415364,1.408666,5.111449,2.508600,6.579661,1.357160,4.354995,0.736955,4.278115,2.692813,6.594064,1.045728,4.916226,0.933739,3.721973,3.216076,8.167601,1.448937,2.556372,1.568630,1.651048,5.886930,3.630336,2.466111,1.466293,4.415694,1.420958,5.098205,2.499177,6.518839,1.376404,4.345646,0.714520,4.250351,2.713159,6.566346,1.028286,4.948486,0.939031,3.756729,3.224084,8.260077,1.436634,2.551681,1.535886,1.616090,5.889977,3.583171,2.520968,1.478941,4.430122,1.460228,5.076127,2.523077,6.588564,1.401674,4.342940,0.743916,4.272065,2.727703,6.586523,1.063378,4.904553
4,4.260806,0.529927,8.059729,3.910352,1.669450,2.546606,1.633382,1.637211,5.847608,3.616992,2.430909,1.448763,4.437895,1.435007,5.103470,2.511407,6.541684,1.427003,4.413350,0.727657,4.244501,2.739795,6.587659,1.087468,4.952570,0.967947,3.736291,3.222729,8.221973,1.463518,2.567052,1.553623,1.671336,5.850429,3.636481,2.452168,1.436914,4.401347,1.411896,5.074174,2.558630,6.541176,1.379037,4.304236,0.705825,4.296131,2.752283,6.576477,1.061016,4.884573,0.955001,3.738819,3.249706,8.183596,1.475557,2.580329,1.601990,1.631242,5.883697,3.634038,2.433122,1.475936,4.504144,1.485494,5.086145,2.484315,6.634610,1.388571,4.371622,0.723936,4.274684,2.701525,6.622558,1.089655,4.899296,0.974134,3.741880,3.257115,8.225713,1.436681,2.564913,1.549707,1.596014,5.902379,3.602809,2.442390,1.462939,4.385978,1.446216,5.091473,2.532163,6.576671,1.350011,4.342048,0.733938,4.266681,2.679010,6.570045,1.076965,4.960174,0.994772,3.757858,3.256537,8.219037,1.450087,2.610746,1.610581,1.616073,5.893644,3.610366,2.457524,1.443826,4.441913,1.458270,5.105844,2.521705,6.572282,1.397719,4.360107,0.733523,4.248243,2.690784,6.593644,1.075646,4.886496,0.940079,3.759798,3.294946,8.190895,1.478423,2.612984,1.562888,1.614948,5.883556,3.620244,2.454673,1.430325,4.411812,1.434770,5.112923,2.571664,6.573653,1.382160,4.361983,0.759132,4.251187,2.724028,6.602282,1.057728,4.935410
5,4.261557,0.513694,8.043463,3.904620,1.685085,2.581401,1.594863,1.672030,5.889390,3.603079,2.431670,1.420010,4.396176,1.474307,5.047854,2.527881,6.493676,1.381599,4.318740,0.731115,4.232966,2.707420,6.604112,1.065928,4.900982,0.927919,3.744300,3.259311,8.154558,1.460094,2.594884,1.587899,1.591654,5.847717,3.619258,2.476608,1.414887,4.387771,1.471443,5.052887,2.526306,6.560876,1.395759,4.351211,0.749478,4.282062,2.717983,6.575235,1.059987,4.951488,0.960290,3.713857,3.225007,8.213408,1.450255,2.536475,1.556741,1.621085,5.816788,3.586745,2.474881,1.423928,4.411480,1.412413,5.098279,2.501523,6.568956,1.350760,4.358661,0.736373,4.257976,2.721385,6.591025,1.084999,4.910793,0.915625,3.780780,3.223582,8.196682,1.446954,2.504622,1.541325,1.668514,5.854516,3.546034,2.455037,1.462507,4.429792,1.463306,5.085460,2.503240,6.563361,1.373490,4.311636,0.702862,4.219344,2.704019,6.611241,1.042927,4.895424,0.847877,3.748491,3.209530,8.204068,1.489589,2.592728,1.581544,1.607336,5.826285,3.680806,2.514801,1.450665,4.388445,1.454994,5.047396,2.493616,6.614090,1.419639,4.354108,0.709411,4.259655,2.719023,6.560455,1.074969,4.894593,0.922703,3.724392,3.227006,8.197175,1.468740,2.493429,1.601091,1.610203,5.815247,3.609672,2.428983,1.486262,4.399782,1.464024,5.044922,2.521922,6.574742,1.392535,4.351345,0.712719,4.275219,2.693154,6.563899,1.050619,4.924919
6,4.246953,0.501702,8.000961,3.867620,1.703061,2.514037,1.593585,1.628623,5.851267,3.598063,2.427430,1.438311,4.405865,1.455527,5.062843,2.487521,6.546418,1.367016,4.304333,0.706851,4.247711,2.776158,6.527082,1.041793,4.905719,0.909322,3.760699,3.207138,8.206913,1.412399,2.524791,1.565167,1.613135,5.830603,3.585469,2.430239,1.436490,4.392771,1.415534,5.080578,2.508785,6.577398,1.388564,4.363159,0.722401,4.246791,2.718633,6.561519,1.068351,4.905228,0.919509,3.683516,3.209499,8.175999,1.438364,2.517371,1.567009,1.604237,5.867908,3.572108,2.410710,1.447227,4.413028,1.446560,5.085481,2.543312,6.580219,1.373636,4.346335,0.746370,4.255440,2.687448,6.599136,1.014169,4.907634,0.937169,3.718698,3.188076,8.161808,1.418160,2.551729,1.564197,1.580940,5.873371,3.616305,2.461897,1.454699,4.420200,1.442104,5.061414,2.512300,6.515175,1.402060,4.341885,0.707526,4.250396,2.720391,6.572799,1.025308,4.898328,0.921449,3.727847,3.227704,8.209098,1.456352,2.514749,1.530377,1.580100,5.821520,3.662206,2.437934,1.433971,4.387744,1.436532,5.060325,2.470845,6.521090,1.346299,4.351643,0.748443,4.286815,2.716914,6.522630,1.041261,4.893328,0.898495,3.734619,3.230482,8.212667,1.466125,2.556485,1.614704,1.606770,5.879566,3.601723,2.456625,1.475591,4.355330,1.414353,5.073618,2.506142,6.539713,1.381656,4.340049,0.740721,4.308268,2.662374,6.507492,1.052424,4.881983
7,4.255365,0.509160,8.031903,3.858200,1.661589,2.559864,1.576328,1.613965,5.866324,3.543976,2.454220,1.449959,4.417636,1.461476,5.076337,2.478862,6.545182,1.394439,4.322109,0.719430,4.259703,2.691609,6.585240,1.004895,4.855977,0.939354,3.725058,3.203876,8.171475,1.450162,2.575805,1.566171,1.627211,5.861933,3.557775,2.467439,1.409003,4.410408,1.462324,5.086940,2.475655,6.523418,1.347588,4.350248,0.710972,4.251141,2.663357,6.586421,1.026795,4.907834,0.875212,3.702194,3.239766,8.176850,1.469016,2.556265,1.570932,1.571742,5.819809,3.607321,2.421947,1.424480,4.379517,1.419496,5.051358,2.534065,6.519656,1.381074,4.335458,0.729813,4.285646,2.685962,6.570952,1.059779,4.901407,0.899509,3.687372,3.189308,8.214728,1.465584,2.546781,1.520298,1.605335,5.857016,3.610638,2.426450,1.459464,4.420999,1.449588,5.053356,2.497195,6.553646,1.336289,4.325998,0.698746,4.300662,2.681792,6.588380,1.039321,4.854808,0.946005,3.703667,3.236869,8.185844,1.388050,2.576843,1.580462,1.640506,5.880002,3.577243,2.422181,1.430014,4.409327,1.476379,5.056303,2.512900,6.561611,1.356563,4.340978,0.753394,4.233583,2.650593,6.584117,1.015367,4.916654,0.919611,3.708164,3.251817,8.172973,1.433403,2.583059,1.585550,1.619027,5.856660,3.567843,2.453151,1.461998,4.386963,1.432720,5.051435,2.476341,6.557486,1.362788,4.350175,0.714468,4.261221,2.710668,6.601299,1.050330,4.846969
8,4.270928,0.514170,8.076864,3.880186,1.729439,2.619334,1.600085,1.681372,5.890940,3.685092,2.511296,1.469205,4.439651,1.468063,5.064456,2.533735,6.563013,1.402107,4.322119,0.733918,4.290027,2.719088,6.609358,1.086674,4.917973,0.948456,3.743585,3.206751,8.235995,1.460512,2.554053,1.559141,1.652231,5.887067,3.648472,2.469330,1.435408,4.425806,1.438984,5.099532,2.529324,6.562752,1.336147,4.332949,0.780951,4.333552,2.726314,6.602969,1.088003,4.930109,0.934437,3.744227,3.225123,8.227689,1.421947,2.552321,1.568720,1.643516,5.850929,3.629923,2.482156,1.492168,4.413736,1.470766,5.111930,2.563371,6.603733,1.379525,4.366634,0.749575,4.311364,2.689186,6.607875,1.065107,4.908541,0.917083,3.741919,3.191975,8.257469,1.433060,2.601602,1.575820,1.620749,5.918022,3.591633,2.473372,1.459237,4.440254,1.455130,5.110718,2.548588,6.554789,1.395761,4.347367,0.757674,4.263067,2.698143,6.567049,1.066126,4.916885,0.999607,3.753572,3.228356,8.229726,1.470192,2.586011,1.575414,1.673920,5.885659,3.643912,2.486794,1.451666,4.412689,1.461830,5.081978,2.494775,6.559751,1.381830,4.333683,0.798744,4.294808,2.770077,6.615267,1.055231,4.919234,0.962312,3.737665,3.258913,8.227599,1.451702,2.533968,1.584894,1.657003,5.835356,3.606242,2.497411,1.470108,4.426813,1.428676,5.104948,2.499676,6.571254,1.383006,4.360576,0.745569,4.297877,2.724801,6.575238,1.010211,4.902386
9,4.262362,0.510152,8.035814,3.884049,1.701188,2.570932,1.556841,1.626929,5.853978,3.593078,2.414911,1.456208,4.383000,1.419057,5.079978,2.506313,6.530856,1.375258,4.316776,0.737938,4.239150,2.713896,6.545983,1.041346,4.895222,0.895185,3.736511,3.202750,8.160213,1.458295,2.555486,1.566406,1.607649,5.831845,3.587558,2.455931,1.421979,4.357320,1.424616,5.085498,2.500412,6.522216,1.341588,4.332514,0.744534,4.265611,2.707021,6.546362,1.034462,4.934213,0.897663,3.706059,3.172008,8.209798,1.437113,2.544959,1.576832,1.584722,5.862171,3.580692,2.419302,1.446024,4.417355,1.433188,5.097008,2.506053,6.533203,1.391946,4.305294,0.708556,4.227336,2.728242,6.600400,0.994068,4.899161,0.930787,3.733261,3.198959,8.161107,1.428915,2.570393,1.566164,1.575640,5.781653,3.619061,2.457959,1.466515,4.363708,1.431508,5.062786,2.502402,6.513156,1.360870,4.340064,0.719407,4.285146,2.721138,6.517832,1.062260,4.905106,0.924309,3.706583,3.217558,8.176412,1.429580,2.520899,1.552477,1.605853,5.860082,3.596020,2.439914,1.446260,4.406991,1.489412,5.043412,2.517682,6.556869,1.345287,4.347162,0.721929,4.232229,2.683429,6.562433,1.042509,4.894378,0.935550,3.714880,3.194774,8.244997,1.482446,2.579249,1.571159,1.607098,5.835542,3.600503,2.450283,1.434248,4.429423,1.430245,5.077073,2.490199,6.571045,1.336673,4.352645,0.694056,4.276145,2.750605,6.551003,1.059524,4.866477
