算法名称,平均优化结果,平均用时
smallest,56.767572,0.000276
cluster,57.073151,0.000759
LCB_max,58.213284,2.978897
improvement,56.761191,0.104893
SAA,56.530861,13.470928
mixed,56.524753,3.012022
#8/50

smallest,55.593694,0.000152
cluster,55.619835,0.000544
LCB_max,57.317117,6.779315
improvement,55.625187,0.372379
SAA,55.357935,27.234017
mixed,55.406709,7.167901
#16/50

smallest,48.770262,0.00013
cluster,48.868031,0.002054
LCB_max,49.264734,3.679323
improvement,48.767191,0.690913
SAA,48.8019,72.128421
mixed,48.761576,4.480909
#10/200

smallest,47.872351,0.000124
cluster,48.327497,0.001889
LCB_max,48.469189,8.970824
improvement,47.970284,2.862064
SAA,47.935084,167.310688
mixed,47.906355,11.827107
#20/200
