算法名称,平均优化结果,平均用时
smallest,54.281615,0.000108
cluster,54.413809,0.000674
LCB_max,56.106356,2.358875
improvement,53.002611,0.101879
SAA,52.671023,12.624167
mixed,52.677077,2.901048
#8/50

smallest,52.531048,0.0002
cluster,53.169979,0.000546
LCB_max,54.779031,4.608834
improvement,52.482807,0.36371
SAA,52.223078,27.222477
mixed,52.208722,7.155543
#16/50

smallest,47.586545,0.000248
cluster,47.085245,0.001684
LCB_max,51.279761,3.664348
improvement,46.192753,0.712694
SAA,45.838259,72.845519
mixed,45.879522,4.568451
#10/200

smallest,44.313143,0.000135
cluster,45.175844,0.002922
LCB_max,50.873341,8.424346
improvement,44.231614,2.829995
SAA,43.980965,169.088009
mixed,44.080071,11.685897
#20/200
