算法名称,平均优化结果,平均用时
smallest,60.715531,0.000161
cluster,58.587682,0.001117
LCB_max,58.594882,2.950598
improvement,57.808896,0.106193
SAA,57.608752,13.147164
mixed,57.746034,2.96661
#8/50

smallest,57.89535,0.000115
cluster,56.719297,0.002742
LCB_max,56.96533,6.85736
improvement,56.635585,0.376115
SAA,56.10405,27.43957
mixed,56.594522,7.032435
#16/50

smallest,52.279828,0.000086
cluster,53.184341,0.001677
LCB_max,52.167266,3.711082
improvement,51.445288,0.678838
SAA,51.119684,73.721477
mixed,51.220945,4.501934
#10/200

smallest,51.89944,0.000112
cluster,51.761883,0.001977
LCB_max,51.331701,8.795287
improvement,50.381062,2.812126
SAA,49.967296,172.297164
mixed,50.11789,12.071281
#20/200
