smallest,cluster,LCB_max,improvement,SAA,mixed
45.935507,47.565943,51.196237,45.430887,45.167013,45.024132
45.727235,45.765325,52.541688,45.167139,44.743856,44.854138
44.649729,46.898858,51.106833,44.602954,44.485663,44.299704
45.801935,47.428095,50.798300,45.801970,44.905969,44.925823
46.268831,46.958048,50.519260,46.280563,45.998809,45.885901
46.654187,48.057107,49.619590,46.264436,45.351731,45.365964
46.004384,46.667632,51.647516,46.005102,45.582353,45.567095
46.278389,47.982134,52.730255,45.804621,45.381949,45.394150
44.850707,45.840097,51.009425,44.853335,44.568963,44.319235
45.558259,46.419144,51.145851,45.344007,44.333909,44.078741
46.284356,47.799588,51.232983,45.752861,45.316778,45.424403
46.928749,49.009000,51.480463,46.937644,46.237862,46.066101
46.027319,46.846812,51.943331,45.470044,45.346649,45.015389
45.287527,45.547832,47.707302,45.052845,44.291466,44.320343
46.305801,47.737351,50.371172,45.960988,45.397834,45.342378
47.184758,47.578990,52.626066,46.848463,46.150597,46.213666
46.947925,47.464731,51.917619,46.311207,45.434475,45.676123
46.908148,46.814067,50.720192,46.554009,45.674480,45.522246
46.261895,46.754704,50.122881,46.286552,44.911374,45.051128
48.110592,48.352895,50.229164,46.850211,45.988024,46.191261
46.057819,45.994620,51.661832,45.160400,44.817212,44.866152
46.524422,46.951611,52.023728,46.524718,45.987443,46.324421
45.753295,47.481747,49.602146,45.763499,45.394986,45.297935
45.598599,46.106827,49.182127,45.622801,44.389118,44.319759
46.083257,46.463111,52.526269,45.457858,45.344525,45.191163
46.872626,47.398785,52.902368,46.557466,45.503308,45.394962
45.576348,46.895573,50.076390,45.034889,44.325392,44.288903
47.078220,47.518887,50.452933,47.067092,46.129938,46.190364
46.552215,47.789305,51.808680,46.544156,45.573297,45.545537
44.970290,45.426542,52.502024,44.971348,44.466441,44.393434
45.342561,46.547586,49.521328,45.333432,44.828869,44.776732
46.269997,46.604289,50.412400,45.050968,44.766661,44.702338
47.049479,48.499795,52.551700,46.748816,46.424989,46.335365
46.359906,47.388925,50.627587,46.362546,45.676465,45.870596
46.533016,46.500073,50.697586,46.094544,45.283584,45.316953
46.937126,47.756412,51.938693,46.741952,45.502591,45.509030
46.517356,47.512863,53.844802,46.512005,45.783427,46.036231
45.207884,46.943185,51.112281,45.207252,45.244794,45.058029
46.138163,47.950599,52.684895,46.159881,45.659248,45.774056
46.299491,47.495348,51.944333,45.194800,44.988522,44.868257
45.654046,46.502275,52.468060,45.667217,45.364431,45.435332
46.256837,47.120410,48.758897,46.236532,45.454810,45.467078
45.495344,46.325249,52.033712,45.283424,44.906342,44.781795
44.241740,44.504025,52.500548,44.236995,43.760520,43.820356
45.172435,45.876353,48.454998,44.623498,43.934813,44.077700
45.227793,46.242090,52.419851,44.621236,44.595956,44.567789
44.939805,45.396291,50.330144,43.930732,43.324946,43.488102
44.288166,46.360500,51.055585,44.284177,43.512130,43.510326
47.181287,47.620030,49.483150,47.196402,45.696567,45.895297
45.582054,45.810855,48.240711,45.429469,45.030487,44.897573
46.354610,47.097789,49.882794,46.014875,45.565213,45.445057
44.994193,46.283574,51.280898,44.972859,43.787521,43.785308
47.650486,47.608564,53.486765,47.140351,46.727209,46.605355
46.873891,47.610267,56.392004,46.875300,46.249654,46.249990
45.695925,46.622013,52.089408,45.362233,44.434669,44.355058
46.045809,45.738887,51.574664,45.540119,45.162825,45.127144
44.818187,45.813650,50.529100,44.510495,44.233457,44.117487
46.228753,47.517852,50.384391,46.228378,44.905936,44.842954
46.639408,46.587954,52.813018,46.263067,45.794237,45.905975
47.165162,47.833279,49.189136,47.004327,45.458721,45.468793
46.208221,46.508538,49.836140,45.644108,44.919160,44.817552
46.692057,47.446960,50.971711,45.975739,45.071974,45.065406
46.246633,47.056562,50.015151,46.254186,45.557781,45.543866
46.743614,47.779648,49.607307,46.738473,46.532172,46.472758
46.900197,48.402043,51.054634,46.133867,45.505401,45.653972
46.121804,46.646606,52.131408,45.476788,44.672125,44.702692
46.036131,45.582232,49.700598,45.461062,44.409708,44.612926
46.975483,47.432932,47.819138,46.564093,45.177044,45.180564
45.343747,46.611996,50.218329,45.336196,44.746671,44.778173
46.394279,47.012860,51.578654,46.388123,45.658839,45.811359
46.328982,46.996738,47.991610,45.668734,44.974882,45.304977
46.077261,46.234302,51.011311,45.826751,45.647741,45.703415
45.293484,45.520164,49.222043,44.874966,44.344785,44.126600
45.289850,47.428836,50.892100,45.292437,44.789229,44.792166
45.904139,47.222319,50.110854,44.858356,44.193549,44.104569
45.732764,46.321557,48.842672,44.873215,44.311262,44.253013
47.414281,47.820202,50.834510,45.900957,45.676811,45.582152
45.887812,47.497755,49.996135,45.899308,45.450257,45.360978
46.725487,47.575852,53.842273,46.134976,45.304856,45.333392
45.790458,47.885435,52.698717,45.788292,44.869498,44.883396
47.634165,47.666225,50.663947,47.120023,45.753178,46.119670
46.283990,46.689150,50.687920,45.980693,45.455378,45.662886
46.875768,47.655100,53.716185,46.286376,45.567755,45.484512
46.241548,47.703043,51.272753,46.230329,45.402816,45.568023
45.492631,45.691799,53.057490,44.786304,44.124597,43.890675
45.043663,46.583094,50.625247,45.035128,44.566893,44.539970
45.886534,46.758076,52.317010,44.575801,44.089764,44.107337
45.894482,46.069798,49.514538,45.421461,45.004257,45.032697
45.896451,45.539259,52.262221,45.897587,44.789668,44.749378
46.182216,47.671037,50.637901,45.562416,44.924676,44.627617
48.489752,48.374369,50.301388,48.242761,46.733262,46.920455
47.063885,47.055385,50.798664,46.215783,45.773518,45.967927
45.964766,47.359642,49.407116,45.769968,45.128877,45.121925
45.413580,47.574497,51.764283,44.870760,44.226308,44.380817
45.956876,46.732411,50.055974,45.214733,44.754620,45.077868
45.329216,46.089781,50.201900,45.340793,44.250599,44.254995
46.564285,47.176203,52.564167,46.253842,45.282701,45.276059
45.527867,47.753675,49.982549,45.226365,44.952105,44.805867
45.383355,46.048539,51.188844,45.386029,45.270314,45.204514
46.318553,47.466646,50.586512,45.872653,45.182628,45.351845
