Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.354879,0.552728,0.521389,0.520674,0.294115,0.220833,0.219170,0.265719,0.238440,0.013640,-0.049966,-0.031314,-0.021513,-0.005907,-0.046700,-0.042938,-0.015055,-0.063202,-0.000798,0.002147,-0.052145,-0.025268,-0.011710,0.025817,0.038140,-0.049226,0.008768,0.017441,0.020653,0.014148,0.040448,-0.005247,0.009385,-0.019807,-0.001345,-0.000904,0.000063,0.015763,0.023572,-0.024013,0.009391,-0.014524,0.038426,-0.009771,0.058290,0.054619,0.020268,0.031110,0.035419,0.006213,-0.049457,0.049041,0.026964,-0.014023,0.019596,0.062296,0.001660,0.002403,0.029054,-0.019111,0.001564,0.037139,0.026480,0.001117,0.002260,0.032068,0.001318,-0.016077,0.001797,0.013938,0.015847,0.003863,0.016053,0.039542,0.037351,0.039441,-0.013904,0.004647,-0.021896,0.016407,0.025193,0.002810,-0.041063,-0.023472,0.030673,0.016185,-0.008199,0.021876,0.021899,-0.014245,0.003646,-0.000453,0.013407,-0.020812,-0.005188,-0.022993,-0.030748,-0.008437,0.011934,-0.004426,-0.019878,-0.007290,0.020460,0.016121,0.014436,-0.008034,0.019759,0.022431,0.038286,0.035579,-0.010927,0.024222,0.009667,0.037795,-0.002816,0.023758,-0.006235,0.036069,-0.018194,0.015185,0.008226,0.002872,-0.013291,0.005986,0.002312,-0.002406,0.013202,0.015457,0.036313,0.024697,0.020499,0.014625,0.011845,-0.008972,-0.000466,0.011028,0.023005,0.027462,0.029690,0.023121,-0.017610,0.006976,0.002659,-0.033664,0.007238,0.013874,-0.012729,0.021424,-0.006226,0.004315
1,1.000051,0.472305,1.286965,0.942453,0.678611,0.723601,0.126750,0.124528,0.068568,0.048471,0.061868,0.046709,0.412075,0.389974,0.454881,0.442053,0.051955,0.107182,0.051408,0.077670,0.723877,0.093746,0.076547,0.039127,0.520464,0.463202,0.446956,0.202645,0.230463,-0.196763,0.199296,0.433336,0.381216,0.376833,0.173028,-0.038555,0.400667,0.488513,0.488021,0.396632,0.391590,0.492882,0.509779,0.502126,0.503128,0.555212,0.473136,0.477539,0.524750,0.497515,0.494575,0.499250,0.491193,0.479404,0.513289,0.403610,0.229602,0.499753,0.494870,0.297432,0.296076,0.271307,0.270794,0.162462,0.113626,0.139513,0.160315,0.127165,0.142022,0.147963,0.072682,0.351251,0.062440,0.375896,0.369140,0.073307,0.057258,0.081452,0.075637,0.237033,0.222147,0.208262,0.227089,0.108180,0.086613,0.220966,0.003014,0.251632,0.233235,0.180683,0.261221,0.245524,0.241310,0.216163,0.192993,0.056726,0.099682,0.087664,0.048180,0.066939,0.072795,0.068960,0.063670,0.122083,0.069336,0.089202,0.077103,0.047601,0.074262,0.082825,0.038040,0.035890,0.088582,0.084793,0.086503,0.041078,0.086224,-0.043455,0.056148,-0.000251,0.070084,0.037329,0.059327,0.046317,0.092640,0.090206,0.081282,0.067514,0.096925,-0.142156,-0.158010,-0.188525,-0.011531,0.012739,-0.039881,-0.015311,-0.021802,-0.015623,-0.009126,-0.068186,-0.049827,-0.032201,-0.016846,-0.010908,-0.039706,-0.007672,-0.017294,-0.018739,0.001368,-0.009228
2,0.989086,0.612889,0.615126,0.505818,0.635656,0.634841,0.527657,0.613919,0.659317,0.607196,0.101333,0.043716,0.314385,0.177200,-0.069943,-0.054977,-0.048113,-0.053084,-0.036703,-0.036793,-0.055349,-0.063761,0.050438,0.033517,-0.101676,-0.083124,-0.091327,0.006300,-0.047401,0.029651,0.026373,0.004527,0.015194,-0.004582,-0.000436,0.053494,-0.007959,0.036102,0.015952,-0.007496,0.055471,0.023289,0.035095,0.027635,0.007740,0.015454,-0.021369,0.026117,0.051389,0.012860,0.040406,0.011671,0.040157,0.027873,-0.009621,0.044548,-0.075436,-0.046392,0.009726,0.010984,-0.079169,0.031819,-0.040955,-0.001705,0.022355,0.030919,0.001363,0.050468,0.026076,0.063893,0.049815,0.038630,0.040568,0.045924,0.072563,0.010288,-0.011199,0.093840,0.095339,0.119205,0.031348,0.015604,0.042970,-0.000106,0.002064,0.024561,0.034001,0.090047,0.064295,0.082725,0.055583,0.092750,0.053992,-0.008209,0.012201,0.023024,0.085355,0.253679,0.280997,0.264836,0.283517,0.293573,0.263719,0.263153,0.259899,0.012752,0.285243,0.278607,0.090126,0.091155,0.072149,0.098829,0.063752,0.084301,0.100048,0.093248,0.007383,0.015787,0.030891,0.040293,0.038112,0.025044,0.007900,0.019879,-0.060882,0.031728,0.011849,0.010007,-0.025984,0.004198,-0.014544,0.018855,-0.009425,0.016385,-0.026311,-0.000518,-0.011621,0.009615,0.016482,0.009385,0.005537,-0.019191,0.012733,-0.013072,-0.013816,-0.021874,0.013242,0.001918,-0.002195,0.012425
3,0.970022,1.512167,0.838866,0.840963,0.558605,0.677064,0.644700,0.415668,0.305194,0.309305,0.662986,0.291498,0.294518,0.505754,0.291431,0.668018,0.420846,0.428160,0.287844,0.418371,0.336433,0.321192,0.300178,0.354847,0.341516,0.237290,0.245811,0.234913,0.221599,0.347037,0.699990,0.280351,0.277269,0.301017,0.277897,0.289816,0.286531,0.332521,0.240741,0.338688,0.440969,0.413479,0.396404,0.424565,0.401767,0.412968,0.262420,0.381615,0.433586,0.415367,0.412323,0.425945,0.409690,0.422755,0.427170,0.422339,0.430109,0.424157,0.424528,0.401164,0.421183,0.383631,0.424098,0.364085,0.286115,0.440698,0.387002,0.428993,0.298067,0.296409,0.405353,0.368005,0.266502,0.392240,0.394485,0.364885,0.414629,0.338014,0.315784,0.414425,0.369899,0.433848,0.402010,0.095489,0.095781,0.103270,0.080277,0.117081,0.101396,0.105799,0.097465,0.115867,0.148417,0.101160,0.138005,0.126902,0.095215,0.073682,0.100350,0.101401,0.112015,0.095628,0.061605,0.130544,0.089035,0.068406,0.090455,0.109093,0.149121,0.126837,0.136159,0.107663,0.093051,0.128434,0.114105,0.122723,0.115060,0.096853,0.118828,0.070846,0.104603,0.102424,0.086770,0.093558,0.088304,0.148803,0.126925,0.143159,0.123199,0.104169,0.089469,0.121359,0.104429,0.124146,0.123825,0.096509,0.148162,0.125736,0.107966,0.129279,0.110379,0.092291,0.141071,0.155699,0.097560,0.100654,0.125546,0.143043,0.147834,0.098868
4,-0.052898,0.160657,0.299158,0.221949,0.243921,0.182571,0.260571,0.482228,0.192360,0.298937,-0.059412,-0.081960,-0.087884,-0.067468,-0.110425,0.162435,-0.079028,-0.094767,-0.048120,-0.046660,0.273838,0.233032,0.013679,0.254653,0.289933,0.018971,0.335484,0.248826,0.306307,0.348403,0.291105,0.326246,0.096539,0.086230,0.118562,0.080610,0.074705,0.119102,0.075655,0.069090,0.050782,0.055137,0.158377,0.310816,0.342787,0.408890,0.366449,0.369640,0.336442,0.335210,0.359982,0.366111,0.339008,0.344652,0.383025,0.371668,0.366502,0.394840,0.355962,0.078926,0.034105,0.032628,0.051566,0.056122,0.019464,0.042377,0.030865,0.032018,0.007921,0.052368,0.034725,0.002799,0.057399,0.077803,0.042631,0.052876,0.051368,0.058890,0.036476,0.051324,0.033507,0.080104,0.043372,0.019264,0.071676,-0.016748,-0.012748,-0.005571,0.006182,0.013045,-0.028327,-0.001908,0.017127,0.059856,-0.010582,-0.019507,0.001588,-0.017186,-0.009883,-0.017943,-0.033092,-0.001835,0.024238,0.046286,0.058006,-0.021491,-0.014931,-0.045381,-0.000825,0.003611,-0.016520,-0.036133,-0.017533,-0.049314,0.003187,-0.020644,0.001347,0.006569,-0.000310,-0.154515,-0.153059,-0.182760,-0.171139,-0.179644,-0.161253,-0.172611,-0.163888,-0.166438,-0.150649,-0.206263,-0.168516,-0.135922,-0.200533,-0.136031,-0.166509,-0.186252,-0.158333,-0.165129,-0.150271,-0.177858,-0.134409,-0.177505,-0.163420,-0.175795,-0.158736,-0.169045,-0.146127,-0.139785,-0.156618,-0.180081
5,0.397015,0.864077,0.746037,0.069616,0.218230,-0.243908,0.141166,0.564522,0.276712,0.289738,0.236859,0.288768,0.191870,0.331363,0.274368,0.265050,0.182695,0.407498,0.028236,0.391573,0.412996,0.113715,0.077226,0.070810,-0.044599,0.100021,-0.030103,-0.054576,-0.275684,-0.066981,-0.326756,-0.074972,-0.053307,-0.008182,-0.063838,-0.065427,-0.053260,-0.069587,-0.047357,-0.045998,-0.053590,-0.011814,-0.067377,-0.083565,-0.027999,-0.023489,-0.056484,-0.013758,-0.014264,-0.021644,-0.020123,0.009789,-0.031382,-0.056241,-0.018087,0.089528,-0.037565,-0.002662,-0.019992,0.011827,-0.013192,-0.032093,0.012374,0.012457,-0.030297,-0.025394,-0.016900,-0.281535,-0.301964,-0.274274,-0.265201,-0.053017,-0.067005,-0.069298,-0.059282,-0.001880,-0.050788,-0.028728,-0.037005,-0.038542,-0.036051,-0.061387,-0.050335,-0.028947,-0.023181,-0.021489,-0.025469,-0.038543,-0.011673,-0.025593,-0.047727,-0.053232,-0.053789,-0.028776,-0.032935,-0.056897,-0.057362,-0.084676,-0.073327,-0.026364,-0.045254,-0.036784,-0.040291,-0.039633,-0.054386,-0.035092,-0.027146,0.044882,0.064655,-0.073009,-0.065397,0.002661,-0.020836,0.047729,0.046640,0.245626,0.279738,0.272482,0.108475,0.111697,0.065720,0.108471,0.085253,0.146153,0.064458,0.132560,0.250565,0.102273,0.095500,0.078369,0.029653,0.048757,0.051483,0.043656,0.038526,0.027309,0.044324,0.059472,0.059318,0.021723,0.043945,0.045259,0.058901,0.035560,0.269976,0.258427,0.052953,0.014251,0.068181,0.062609
6,0.856431,0.259295,0.903142,0.504978,0.190284,0.241226,0.196064,0.502253,0.892993,0.049406,0.032852,0.057080,0.065925,0.125506,0.125714,0.144284,0.136071,0.095109,0.129398,0.119316,0.097769,0.104997,-0.129605,-0.113306,-0.155063,0.133613,0.092751,0.054122,0.126582,0.088180,0.092719,0.099332,0.095293,0.391198,0.142557,0.422824,0.440234,0.407126,0.424096,0.105786,0.107986,0.154368,0.116295,0.125891,0.132478,0.135223,0.140662,0.108398,0.110921,0.131759,0.105849,0.123249,0.097104,0.122678,0.080686,0.105123,0.093594,0.126733,0.115174,0.122325,0.151417,0.120609,0.154515,0.130008,0.110578,0.107700,0.089299,0.100597,0.130895,0.124779,0.106781,0.091094,0.121642,0.118363,0.112931,0.118788,0.115714,0.138086,0.144837,0.114454,0.126669,0.135889,0.109903,0.107375,0.114945,0.156028,0.117702,0.148715,0.115269,0.124478,0.138322,0.143263,0.123854,0.164302,0.159592,0.115484,0.111231,0.154133,0.143444,0.134889,0.112135,0.179551,0.140173,0.154743,0.118481,0.159574,0.129630,0.149708,0.113668,0.140661,-0.111477,0.152510,0.136467,0.159286,0.146328,0.147776,0.161617,0.161452,0.112575,0.144817,0.096373,0.119232,0.121833,0.133981,0.100018,0.078563,0.083517,0.094687,0.048050,0.076994,0.088397,0.107883,-0.157049,0.148714,0.118006,0.151084,-0.124587,0.122008,0.106964,0.081417,0.115174,0.103654,0.151020,0.176826,0.161941,0.094856,0.104932,0.134455,0.169213,0.130724
7,0.255975,0.769548,0.422891,0.353108,0.326306,0.309816,0.306077,0.306308,0.297100,0.200069,0.292437,0.301966,0.303955,0.316869,0.210296,-0.040741,-0.008701,-0.026663,-0.045936,0.004155,-0.009000,0.009235,-0.035416,-0.051892,-0.043165,-0.002865,-0.063761,0.042303,-0.016627,-0.010418,0.028918,0.079747,0.047509,-0.013207,-0.021564,-0.001650,0.000414,0.001906,-0.037032,0.010052,-0.037387,-0.063635,-0.000268,0.021701,-0.039288,0.006426,-0.045273,-0.033826,-0.040436,-0.063182,-0.095259,-0.053556,-0.044492,-0.022320,-0.033611,-0.060949,-0.046635,-0.056231,-0.069063,-0.040650,-0.072434,-0.058750,-0.039438,-0.050144,-0.062550,-0.088060,-0.028151,-0.034783,-0.033310,-0.050905,-0.043303,-0.049184,-0.041401,-0.046231,-0.006982,-0.075827,-0.073674,-0.036344,-0.014160,-0.051103,-0.051817,-0.008922,-0.067465,-0.036688,-0.041077,-0.061040,-0.059807,-0.063364,-0.078272,-0.057786,-0.100261,-0.110404,-0.033328,-0.063201,-0.064917,-0.027809,-0.019303,-0.044433,0.032068,-0.043555,-0.033316,-0.070601,-0.020068,-0.013375,-0.017533,-0.000178,-0.027272,-0.029687,-0.004262,-0.005018,-0.004328,-0.015666,-0.021867,-0.040830,-0.034858,-0.023668,0.017556,-0.035013,-0.032647,0.016733,-0.015313,-0.012275,-0.034510,0.041410,0.024117,-0.031589,-0.017747,-0.029708,-0.008915,-0.000096,-0.027321,-0.000429,-0.026768,-0.030496,-0.044921,-0.007459,0.000483,-0.000818,0.018613,-0.010960,-0.017596,-0.019619,-0.016799,-0.031507,-0.014910,-0.032267,-0.020879,-0.013862,-0.026363,-0.010895
8,0.904804,0.587059,0.208844,0.328915,-0.021772,0.486080,0.313185,-0.020807,-0.011886,0.009020,-0.018634,-0.017919,0.016228,-0.030768,-0.005230,-0.004380,0.011984,-0.010079,-0.030257,0.040392,0.072790,0.080782,0.062211,0.045046,-0.028965,0.031176,-0.033811,0.041071,0.066689,0.054811,0.096122,0.023131,0.047274,0.092236,0.112965,0.073219,0.099566,0.101637,0.085236,0.050912,0.222445,0.233484,0.197515,0.066191,0.070191,0.049071,0.075636,0.242671,0.083992,0.293211,0.287557,0.087403,0.084048,0.066433,0.016605,0.281324,0.270615,0.298648,0.275826,0.295921,0.261704,0.227631,0.184647,0.191620,0.168502,0.136050,0.223234,0.184037,0.177327,0.181052,0.193221,0.192639,0.201441,0.213530,0.179757,0.158873,0.176488,0.147214,0.166329,0.179509,0.199630,0.194166,0.183218,0.174166,0.196042,0.188406,0.203595,0.203534,0.194733,0.183538,0.176412,0.171257,0.193349,0.179195,0.168057,0.142251,0.168078,0.158051,0.171910,0.184994,0.174751,0.189553,-0.005865,0.183106,-0.021272,0.200133,0.221431,0.215672,0.210580,0.183954,0.196021,0.195990,0.203808,0.194776,0.188651,0.198117,0.188785,0.202139,0.208792,0.180946,0.245820,0.213536,0.204197,0.210893,0.340825,0.328770,0.170928,0.182349,0.204607,0.186476,0.218404,0.189602,0.204161,0.141390,0.138314,0.116622,0.130522,0.135576,0.148543,0.130896,0.156697,0.143257,0.154069,0.172743,0.152807,0.167390,0.122322,0.116318,0.154392,0.124404
9,0.590298,1.341920,0.783826,0.663232,0.076038,0.561710,0.236656,0.662189,0.065917,0.371191,0.349326,0.361615,0.345247,0.033569,0.060615,0.017474,0.046808,0.298771,0.326650,0.274090,0.055590,0.299611,0.287451,0.303016,0.276886,0.340883,0.298510,0.271968,0.301092,0.286569,0.295979,0.298110,0.283592,0.295263,0.297123,0.284480,0.312691,0.282822,0.292881,0.604142,0.299754,0.303692,0.273750,0.281504,0.614847,0.284636,0.295824,0.265210,0.286300,0.282291,0.296350,0.248312,0.244019,0.233369,0.271996,0.273160,0.262209,0.255767,0.236693,0.261893,0.239960,0.251857,0.251956,0.241640,0.264447,0.288411,0.309515,0.263683,0.282022,0.297689,0.306462,0.290082,0.260965,0.300260,0.306671,0.283321,0.255325,0.290272,0.288286,0.294008,0.285419,0.251602,0.289646,0.277203,0.307136,0.303478,0.300391,0.286133,0.257836,0.265577,0.402642,0.292547,0.314466,0.270136,0.326744,0.285719,0.272058,0.273395,0.262986,0.256171,0.285785,0.308935,0.274424,0.294054,0.298672,0.279761,0.010163,0.007670,0.100645,0.069473,0.140333,0.083202,0.117806,0.100298,0.110226,0.036566,0.013316,0.043785,0.123357,0.039064,0.001252,0.002432,0.011162,0.120519,0.136994,0.120314,0.117849,0.121454,0.139549,0.268214,0.130991,0.268191,0.261090,0.397137,0.392872,0.391577,0.385772,0.268710,0.277559,0.270019,0.283361,0.242156,0.271419,0.267265,0.205317,0.278950,0.273268,0.287903,0.037931,0.271009
