Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.330211,0.379508,0.272287,0.352914,0.351916,0.166234,0.179450,0.050511,-0.066823,-0.054836,0.156474,0.136093,0.131303,0.196200,0.135615,0.126068,0.160051,0.173826,0.171755,0.143001,0.188865,0.005611,0.018094,0.008041,0.168977,-0.031775,-0.082651,0.032378,-0.070923,0.162641,-0.094387,0.183218,0.162878,-0.052072,-0.101962,0.171429,0.165133,-0.070366,-0.057853,-0.070575,0.152893,0.171940,0.193204,0.185314,0.191701,0.159977,0.193083,0.199331,0.172551,0.184911,0.161409,0.138566,0.187981,0.147027,-0.058909,-0.051289,0.194257,0.180131,0.152001,0.205516,0.164834,0.190420,0.182437,0.152350,0.170759,0.159993,0.210436,0.176906,0.165360,0.055403,0.014153,0.026327,0.052418,0.044908,0.029493,0.041780,0.119257,0.161332,0.158044,0.137244,0.189441,0.135795,0.132477,0.130939,0.044676,0.016801,0.089987,0.063703,0.051260,0.044725,0.037176,0.046738,0.035869,0.023395,0.046294,0.022440,0.028416,0.023646,0.016727,0.064159,0.010609,0.019423,0.003724,0.049018,0.012504,0.022108,0.008153,-0.003872,-0.006945,0.012237,-0.005664,-0.032515,-0.009446,-0.009663,0.005737,0.003390,0.005186,-0.013160,0.000497,0.015029,-0.000486,0.025757,-0.027453,-0.015025,0.018172,0.015220,-0.006377,-0.029382,-0.240101,-0.289457,-0.025551,-0.268688,-0.045158,-0.007828,0.048823,0.000249,-0.008904,0.012368,-0.246523,-0.276934,0.015820,-0.228334,-0.022471,0.007798,0.018386,0.010296,0.039938,0.020316,0.045158,0.001510
1,0.721510,0.055159,-0.044787,0.009364,-0.050874,-0.030013,0.083285,0.013917,0.072041,0.039316,0.058300,0.021874,0.088883,0.337823,0.075267,0.067779,0.060631,0.036067,0.051972,0.045552,0.044776,0.037346,0.043413,0.380821,0.123976,0.078508,0.122580,0.432492,0.075785,0.110336,0.102240,0.126575,0.134588,0.139141,0.116404,0.066295,0.083081,0.125772,0.049407,0.108746,0.101708,0.061161,0.097672,0.053955,0.074792,0.086374,0.068225,0.073862,0.076292,0.126415,0.101328,0.104380,0.078716,0.092513,0.066435,0.092333,0.127114,0.105801,0.093096,0.122684,0.103001,0.097499,0.063347,0.065953,0.075833,0.077269,0.053214,0.044271,0.069748,0.077579,0.097407,0.111884,0.038524,0.076966,0.076272,0.082150,0.059336,0.092840,0.109584,0.075866,0.081242,0.090094,0.079423,0.108638,0.115403,0.078366,0.092712,0.076570,0.102641,0.120909,0.104939,0.100090,0.072162,0.126768,0.070531,0.128216,0.090905,0.107827,0.059237,0.090590,0.100822,0.049920,0.105570,0.096695,0.075961,0.015877,0.071376,0.077064,0.090137,0.073653,0.099486,0.075132,0.074248,0.094166,0.052031,0.087014,0.093526,0.097553,0.049443,0.089322,0.084047,0.058791,0.092355,0.073738,0.064339,0.092191,0.092619,0.076986,0.062408,0.090878,0.088063,0.109903,0.073160,0.098389,0.063585,0.077446,0.079335,0.088143,0.107385,0.105592,0.053456,0.090743,0.079937,0.130385,0.083398,0.112795,0.070200,0.110906,0.077054,0.084813
2,0.615462,0.448722,0.841522,0.477685,0.002381,-0.019624,0.096546,0.116049,0.191771,0.090300,-0.023889,0.124790,0.191366,0.211500,0.222789,0.171531,0.177195,0.166869,0.023586,0.006479,0.121423,0.001063,0.031367,0.011255,0.007202,0.147164,0.153353,0.111927,0.130898,0.023026,0.028180,0.029979,0.010741,0.017949,0.002738,-0.022453,0.005931,-0.057401,-0.033385,0.038573,0.038366,0.029052,-0.044299,-0.044527,-0.028336,-0.059268,-0.040457,-0.044725,-0.056832,-0.011507,-0.045183,-0.039216,0.031849,-0.014430,0.026504,-0.027927,-0.044048,-0.027158,-0.027841,-0.033483,-0.052729,0.001307,-0.034031,-0.024074,-0.005797,0.013542,-0.029424,-0.009401,-0.027682,-0.003376,-0.011291,-0.023611,-0.003610,0.013798,-0.002240,-0.008429,0.017822,0.021425,-0.037100,-0.007335,0.012100,0.000374,-0.007477,-0.032426,0.014499,-0.002939,0.007204,-0.018616,0.011726,-0.004724,-0.017176,-0.014109,0.007296,0.021796,-0.020323,-0.023730,-0.026697,-0.013040,-0.022311,-0.036616,-0.006140,-0.005497,-0.043010,-0.022453,-0.000817,0.019540,0.012470,0.014270,-0.021997,-0.006467,-0.012599,-0.013818,0.004577,-0.020734,-0.031094,-0.019124,-0.015464,-0.014706,0.012960,0.032844,-0.040315,-0.014377,-0.013669,0.005417,0.009123,-0.033208,-0.002369,-0.017253,0.010238,0.001017,-0.000956,-0.009203,-0.008493,-0.007147,0.009665,-0.009571,0.013575,-0.037551,-0.014824,0.021792,0.033448,-0.013288,-0.032615,0.005628,-0.017231,-0.000728,-0.013698,-0.018578,-0.016444,0.015193
3,1.200837,1.259096,0.997521,0.978653,0.415165,0.172474,0.497994,0.488603,0.510363,0.506183,0.509691,0.477647,0.519579,0.519498,0.496935,0.511965,0.487106,0.552431,0.509184,0.530970,0.355486,0.409475,0.398537,0.382158,0.386586,0.397720,0.384204,0.432021,0.374672,0.384902,0.400419,0.384276,0.389319,0.386727,0.381978,0.397309,0.382334,0.364612,0.370512,0.325471,0.412336,0.334931,0.399256,0.051591,0.024973,0.053310,0.048602,0.059442,0.077324,0.064806,0.043009,0.046968,0.073076,0.045897,0.054484,0.081834,0.072176,0.101066,0.083098,0.073664,-0.197485,-0.217772,-0.250162,0.016384,0.085104,-0.210566,-0.220734,-0.211699,-0.209731,-0.244189,-0.241761,-0.212551,-0.212588,-0.192047,-0.243185,-0.214597,0.030641,0.015055,-0.262626,-0.239537,-0.222470,0.052427,0.058896,-0.204735,-0.231378,0.012664,0.036895,-0.209074,0.025127,0.026203,0.015066,0.021350,0.039024,-0.244354,-0.005879,0.014289,-0.003965,0.027587,0.026078,0.007182,0.002092,0.012314,-0.001477,0.046334,0.024215,0.040173,0.042976,0.003395,0.002781,-0.002261,0.001129,0.058350,0.015572,0.027556,0.015599,0.033253,0.005385,0.034685,0.007641,0.022860,0.000682,0.032261,0.039917,0.035348,0.032640,0.008069,0.012074,-0.000254,-0.012838,0.047394,-0.252189,-0.214839,-0.237621,0.009295,-0.248402,-0.197402,-0.270585,-0.222169,-0.244964,-0.242128,-0.234381,-0.206977,-0.220226,-0.266272,-0.245371,-0.225345,-0.212214,-0.240892,-0.244055,-0.219059
4,1.396116,0.887978,0.304899,-0.086108,0.218109,0.027348,0.151999,0.354889,0.426550,0.425786,0.421699,0.426314,0.385834,0.365715,0.146171,0.196684,0.134413,0.427103,0.188763,0.328236,0.332087,0.313441,0.289588,0.308558,0.319497,0.300163,0.058443,0.053397,0.102514,0.027942,0.034254,0.080062,0.033458,0.044483,0.028236,0.138630,0.139305,0.024395,0.035902,0.026968,0.061990,0.055472,0.143081,0.168986,-0.135519,0.145595,-0.074859,0.139679,0.145306,0.133600,0.174488,0.121148,-0.116456,-0.117331,-0.085654,-0.088068,-0.103057,-0.127627,-0.099929,-0.115980,-0.097877,-0.111548,-0.149069,-0.136214,-0.150552,-0.133488,-0.120603,-0.153571,-0.120503,-0.124939,-0.097893,-0.144623,-0.105525,0.169897,0.138319,0.124716,0.110473,0.132893,0.151883,0.156726,0.154236,0.173211,0.155202,0.123276,0.152832,0.152553,0.166681,0.150456,0.136161,0.164276,0.167598,0.158613,0.147671,0.142043,0.165303,0.061132,0.021327,0.042950,0.038539,0.059342,0.019303,0.108878,0.064774,0.071099,0.065561,0.069538,0.069672,0.048089,0.033911,0.087629,0.092458,0.081283,0.075824,0.151539,0.173994,0.135495,0.151078,0.160276,0.125058,0.178948,0.147366,0.158743,0.147525,0.145030,0.146676,0.169148,0.144329,0.125727,0.107121,0.165776,0.146022,0.150118,0.156289,0.149654,0.134640,0.181788,0.116291,0.130209,0.155888,0.153636,0.144552,0.163476,0.144604,-0.107089,-0.114540,0.153064,0.178040,0.145278,0.158251,0.152915
5,0.924431,0.968660,0.457891,0.214800,0.451281,0.590952,0.562481,0.231029,0.545503,0.515402,0.523866,0.208859,0.207727,0.192740,0.227774,0.268937,0.208646,0.190527,0.186057,0.207302,0.186540,0.206409,0.188321,0.186727,0.161057,0.227036,0.180271,0.178781,0.299389,0.342813,0.235059,0.292440,0.277336,0.328622,0.318561,0.328830,0.310497,0.307293,0.098393,0.105619,0.315354,0.152333,0.331228,0.311612,0.129593,0.119162,0.139028,-0.138973,-0.151804,0.130511,-0.121038,0.108377,0.143266,0.149880,0.091871,0.131437,0.153414,0.099030,0.131620,0.148487,0.335976,0.302096,0.153090,0.134480,0.121041,0.091148,0.101571,0.091702,0.130466,-0.167150,-0.129872,-0.126689,-0.142180,-0.121838,-0.137196,-0.097640,-0.160388,-0.152860,-0.128935,-0.146326,-0.141791,-0.132574,-0.107932,-0.154742,-0.144952,-0.134278,-0.107962,-0.132144,-0.102608,-0.122607,-0.116265,-0.160636,-0.153334,-0.140729,-0.121139,-0.164818,-0.164496,-0.123066,-0.129508,-0.100657,-0.125109,-0.148521,-0.127459,-0.129543,-0.130237,-0.150617,-0.176635,-0.141166,-0.140283,-0.137241,-0.140571,-0.135540,-0.161335,-0.159344,-0.147074,0.089573,0.104563,0.112223,0.111535,0.118530,0.076117,0.081019,0.088735,0.131935,0.097495,0.144096,0.093954,0.115344,0.075026,0.089155,0.111805,0.119599,0.120505,0.097163,0.115683,0.083181,0.108456,0.098501,0.086330,0.097130,0.111461,0.130777,0.098960,0.134562,0.091279,0.118016,0.051657,0.081104,0.098044,0.112986
6,0.662011,0.053360,0.237028,0.203813,0.558161,0.560403,0.575774,0.718093,0.212756,0.066208,0.390259,0.198580,0.168824,0.121422,0.095833,0.229971,0.127500,0.099851,0.121126,0.109602,0.067615,0.110325,0.094455,0.072289,0.102837,0.108955,0.134809,0.117750,-0.005300,0.128327,0.109510,0.103051,0.076326,0.095748,0.073514,0.011845,0.054151,0.023489,0.122573,0.008024,0.141657,-0.046378,-0.009063,0.009326,-0.011327,-0.046698,0.030923,-0.008586,-0.039589,0.003309,-0.023213,-0.032668,-0.012690,-0.053575,-0.022060,-0.005846,-0.046472,0.058198,-0.026953,-0.027844,0.012628,0.010733,-0.004172,-0.036113,-0.022893,-0.009747,-0.020582,-0.019242,-0.020509,-0.030631,-0.009401,0.003175,-0.006692,-0.046683,-0.024282,0.006298,-0.026729,-0.025612,-0.021794,-0.011471,-0.010459,-0.012875,0.020759,-0.032589,-0.048979,-0.016631,-0.018859,-0.028827,-0.046575,0.001272,-0.041471,-0.016626,-0.017675,-0.031762,0.001827,-0.039158,-0.020644,-0.018257,0.013399,-0.018199,-0.028558,-0.055754,-0.022932,-0.024990,-0.039484,-0.004293,-0.025559,-0.009888,0.014016,-0.019064,-0.015726,-0.003272,-0.036971,-0.044495,-0.015094,-0.017351,-0.013514,-0.039064,-0.039869,-0.013027,-0.015965,0.003762,-0.014501,-0.011167,-0.012108,-0.045605,-0.045746,-0.003940,-0.033012,-0.026460,-0.046717,-0.032802,-0.031999,-0.004531,-0.007140,-0.010852,-0.010734,-0.027935,-0.004357,-0.007898,-0.038713,-0.032219,-0.032724,-0.042192,-0.014965,-0.016966,-0.008912,0.001033,0.005471,-0.025250
7,1.203545,1.080758,0.749787,0.662768,0.660228,0.704773,0.663084,0.667755,0.671713,0.587969,0.255740,0.253923,0.221730,0.257376,0.242580,0.344636,0.332083,0.294666,0.335845,0.320629,0.161874,0.340756,0.379827,0.149449,0.155803,0.390303,0.372375,0.128827,0.147572,0.143576,0.111812,0.098898,0.118904,0.090925,0.097885,0.082622,0.108997,0.087688,0.034329,0.070441,0.056540,0.126226,0.256239,0.274683,0.243591,0.268268,0.284937,0.221657,0.283648,0.078453,0.061828,0.068138,0.046924,0.055709,0.055990,0.088338,0.066638,0.290409,0.279082,0.283353,0.279124,0.100568,0.064176,0.074374,0.122261,0.071336,0.094690,0.090824,0.096976,0.089640,0.109643,0.119847,0.113565,0.122107,0.092688,0.080974,0.018092,0.004806,-0.011971,0.010742,0.002287,0.019839,-0.037739,-0.017878,0.018014,-0.048580,0.001180,0.141380,0.161122,0.169785,0.130705,0.117112,0.020353,-0.000839,-0.013478,-0.034178,-0.019129,0.014042,0.157840,0.191124,0.000196,-0.003656,-0.005841,-0.033453,-0.002910,0.005341,-0.029037,-0.006957,-0.021838,0.013861,0.005587,-0.012271,-0.003669,-0.001552,0.031128,0.020432,-0.003605,-0.001169,0.000082,0.067364,0.113465,-0.010200,0.015683,-0.011112,-0.015114,-0.007021,-0.022224,-0.010231,0.004712,0.033594,0.092591,0.100643,0.090508,0.091397,0.073984,0.078453,0.089555,0.065837,0.106800,0.079495,0.093793,0.120707,0.013070,0.000009,0.000291,-0.032923,-0.017573,0.011633,-0.011400,-0.008145
8,0.679579,0.380358,0.199771,0.152074,0.162632,0.213341,0.464348,0.384430,0.369752,0.128146,0.480226,0.020915,0.159138,0.175320,0.159536,0.139782,0.195844,0.113740,-0.182475,-0.164541,-0.143405,-0.256318,-0.179799,-0.240006,-0.236604,-0.178646,-0.237983,-0.224975,-0.227649,-0.192692,-0.251634,-0.221251,-0.241423,-0.199792,-0.214420,-0.213771,-0.228728,-0.233416,0.032437,0.002635,0.036530,0.038933,0.007705,0.004305,0.003890,0.013375,0.023085,-0.004377,-0.023096,-0.015970,0.017905,0.024751,0.008454,0.022688,0.024729,0.033108,0.028356,0.025056,0.029142,0.012878,0.005084,-0.017288,0.039274,-0.000336,-0.020581,0.044079,0.006567,-0.023847,0.033665,0.043980,-0.050766,-0.001512,0.028126,0.004575,0.022364,0.001584,-0.009823,-0.021515,0.019996,-0.001185,0.031410,0.019802,0.038491,0.008758,-0.005268,0.028310,0.026575,-0.008977,0.010635,0.019329,-0.005567,0.004008,0.005911,0.033096,0.003731,0.001598,-0.013657,0.030282,0.018987,0.008713,-0.003137,-0.022350,0.041587,0.017477,0.021730,0.036428,-0.003054,-0.018413,0.027757,0.015962,0.002382,0.031694,0.008809,0.020389,-0.002898,0.018580,0.015496,0.035199,0.022150,0.044539,0.028109,0.014540,0.008612,0.016963,0.025388,0.009306,0.004774,0.039825,0.000365,0.021043,0.029727,0.012819,0.022402,0.005535,0.001034,-0.016415,0.036437,0.011671,-0.007364,-0.003915,0.012212,-0.013460,-0.002047,-0.017241,-0.000141,-0.024658,0.010581,0.017853,-0.028482,-0.002493
9,1.137238,1.442642,1.101526,1.283303,1.256169,1.456792,1.150475,0.999590,0.523944,0.258474,0.336035,0.238376,0.257625,0.245321,0.393170,0.289605,0.284637,0.715452,0.528561,0.085930,0.146572,0.099061,0.074741,0.076147,0.059437,0.070345,0.084798,0.046203,0.068713,0.055250,-0.011822,0.088341,0.040865,-0.031611,-0.006716,-0.020491,0.030286,0.034262,0.067373,0.026832,0.032858,0.057344,0.017365,0.072477,-0.029928,-0.061805,-0.064269,0.029316,0.022891,-0.051575,-0.026381,-0.080642,-0.058332,-0.036355,-0.070314,-0.038440,0.014564,0.061723,0.010346,0.023842,-0.028475,-0.051537,0.057827,0.020897,0.044275,0.009211,-0.070071,-0.073691,-0.022347,-0.027092,-0.037493,-0.032744,-0.026119,-0.012953,-0.051687,-0.064293,-0.008528,-0.019663,-0.053673,-0.042072,-0.025390,-0.052069,-0.074013,-0.049644,0.068065,0.062275,0.034353,0.029366,0.080239,0.068131,0.024117,0.000074,-0.049102,0.055333,0.062520,0.041824,0.047627,0.069355,0.036739,0.036948,0.070827,0.023117,0.047927,0.005461,-0.045331,0.017885,0.067599,0.069639,0.067782,0.025824,-0.063417,-0.049931,-0.012604,-0.069917,-0.023933,-0.019690,-0.034551,-0.056587,-0.014533,-0.058251,-0.028744,-0.053529,-0.025292,-0.063620,-0.037035,-0.055091,-0.045246,-0.029765,-0.035981,-0.027029,-0.054687,-0.023597,-0.018789,-0.034975,-0.033086,-0.036591,-0.008360,-0.042037,-0.026053,-0.028111,-0.049783,-0.027730,-0.036219,-0.050118,-0.057363,-0.034857,-0.048581,-0.064101,-0.040861,-0.045783
