Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,7.026857,4.134711,4.214863,5.318138,5.302045,5.317671,5.309389,5.290438,5.277552,5.328112,4.286951,4.292173,4.334960,4.280749,4.225959,4.279297,4.294885,4.270717,4.316370,4.244642,4.284914,4.288563,4.306332,4.300374,4.285832,4.276332,4.281675,4.284590,4.300334,4.270519,4.288459,4.274194,4.295780,2.461743,2.508810,4.246238,4.278529,2.495650,2.517492,2.485018,2.496457,2.498101,2.512453,2.493027,2.453631,2.492635,2.571802,2.601014,2.596593,2.586859,2.613157,2.614215,2.584434,2.632351,2.611906,2.601236,2.609317,2.594634,2.580264,2.595336,2.596450,2.602424,2.599213,2.611772,2.569850,2.617746,2.606270,2.646390,2.582560,2.589224,2.605556,2.580703,2.553135,2.603764,2.572293,2.601222,2.574173,2.571783,2.618868,2.627741,2.596855,2.652587,2.554449,2.578148,2.589431,2.591487,2.621910,1.044488,1.094429,1.034074,1.067328,1.087603,1.034635,2.631817,2.603259,2.613039,2.590394,2.600999,2.637446,2.603443,2.576746,2.590955,2.635031,2.589302,1.058427,1.106343,1.041285,1.086809,1.048259,1.075512,1.059134,1.060270,1.073948,1.081798,1.036586,1.076121,1.076499,1.086260,1.082300,1.081782,1.050707,1.079353,1.084385,1.058833,1.055928,1.099092,1.065257,1.040777,1.055709,1.067712,1.073099,1.082359,1.042695,1.087094,1.078260,1.087763,1.018765,1.056114,1.064467,2.576301,2.570067,1.059518,2.559864,1.041089,1.043111,1.031998,1.053956,1.071361,1.093993,1.079788
1,5.445165,5.422746,5.442848,0.950955,0.926626,0.966538,0.936734,0.989021,0.955958,0.953148,0.959229,0.954563,0.970380,0.983549,0.980831,0.993233,0.976704,0.960709,0.948565,0.985834,0.994496,0.974047,0.953930,0.961496,0.964975,0.962003,0.960640,0.970832,0.961841,0.963389,0.972038,0.963837,0.974807,0.956913,0.975038,0.966848,0.971319,0.979366,0.984702,0.977144,0.976409,0.974388,0.982787,0.990175,0.959023,0.977987,0.969072,0.955313,0.975429,0.906490,0.958786,0.971821,0.970862,0.950591,0.987628,0.971720,0.989331,0.957951,0.973995,0.956525,0.975765,0.971552,0.950564,0.986537,0.967235,0.956001,0.953245,0.957722,0.939709,0.964612,0.959125,0.976420,0.976531,0.956875,0.969075,0.952271,1.722373,1.719206,1.673973,1.665644,1.683631,1.685410,1.722763,1.685506,1.718546,1.707177,1.735006,1.708847,0.959411,1.690553,1.708100,0.951935,0.945748,0.974764,0.956505,0.987312,0.973923,0.981015,0.881305,0.854822,0.863254,0.864598,0.878232,0.894300,0.882724,0.845581,0.906399,0.856019,0.863698,0.865882,0.900535,0.886028,0.908454,0.872526,0.859842,0.878648,0.871625,0.855068,0.872859,0.871437,0.838423,0.869098,0.878577,0.872351,0.897583,0.863734,0.880234,0.887121,0.865570,0.884353,0.921734,0.891563,0.882185,0.879125,0.864543,0.932384,0.832717,0.913717,0.868413,0.876273,0.889056,0.856250,0.862278,0.872967,0.879524,0.889953,0.924206,0.915147,0.876693,0.879310
2,6.326324,6.323593,6.358361,3.893393,3.913419,3.908171,6.063096,6.100169,3.928573,3.894786,3.885587,3.883175,3.907652,4.865739,3.893087,3.007181,3.915908,4.846362,4.838337,3.047646,3.065584,3.094607,4.946099,2.996315,3.051165,2.997513,3.007179,1.086739,1.114263,1.090387,1.078108,1.107218,1.113779,1.083472,1.067846,1.041650,1.094916,1.118959,4.870332,1.103940,1.088674,1.101723,1.093383,1.073700,1.076548,1.101198,1.072971,1.111811,1.056320,1.121062,1.097729,1.119859,1.062060,1.066826,1.109762,2.726772,2.734493,2.722735,2.735004,2.730052,2.710899,2.711032,2.713275,2.709183,2.717627,2.721429,2.733177,2.707705,2.713426,2.719720,2.741683,2.690531,2.737887,2.705625,2.729736,2.738411,2.725870,2.773695,2.742419,2.686478,2.750420,2.701039,2.714391,2.709178,2.728208,2.683912,2.739826,2.685077,1.602378,1.650343,1.650877,1.640396,1.614633,1.675379,1.614310,1.683988,1.605776,1.619551,1.695318,1.644994,1.143340,1.101344,1.077452,1.067392,1.069603,1.098111,1.089276,1.128131,1.087613,1.096065,1.092668,1.119461,1.079809,1.111455,1.088230,1.109026,1.080795,1.083474,1.058581,1.087138,1.102485,1.113024,1.090564,1.085782,1.131801,1.100761,1.071678,1.115231,1.078151,1.093990,1.113232,1.077922,1.075840,1.071857,1.081297,1.099017,1.145768,1.108180,1.122049,1.083585,1.127840,1.081177,1.144029,1.092445,1.135601,1.120506,1.079227,1.077534,1.087846,1.080413
3,5.480363,5.516650,5.498362,2.264812,2.277352,2.313899,5.457509,6.387646,6.345288,2.309184,2.313338,2.297757,2.281854,2.264950,2.308793,2.261296,2.301321,2.241113,2.264967,2.279906,2.285379,2.271010,3.568470,3.554620,3.575060,3.583384,3.577194,3.537206,3.610515,3.589039,3.575458,3.588353,3.523432,3.590634,3.570929,3.571175,3.590057,3.603766,3.614712,3.585776,3.590342,3.561764,3.555719,3.576477,3.598813,3.565046,3.588986,3.560699,1.427521,1.447643,1.478643,1.453575,1.435583,1.488651,1.448072,1.476443,1.458054,1.484291,1.476417,1.495292,3.561617,1.461287,3.567384,3.577798,3.554230,3.578280,3.571850,3.609470,3.618643,2.708962,2.691219,2.684258,2.710573,2.724424,2.672296,2.704769,2.708359,1.459094,1.488263,1.474979,1.477034,1.464446,1.464204,1.490657,2.675426,1.432997,1.478626,0.937677,0.974298,0.917178,0.940420,2.700989,0.954357,0.956827,1.489861,0.952322,0.915427,0.964992,0.941056,0.953776,0.986390,0.973934,0.933355,0.961782,0.944305,0.958785,0.921060,0.931937,0.978724,0.966233,0.921940,0.964027,0.935731,0.929477,0.926947,0.901310,0.955116,0.943060,0.948004,0.964707,0.912540,0.921208,0.932156,0.977479,0.919909,0.922301,0.922981,0.968571,0.935296,0.960826,0.952179,0.945222,0.933606,0.977072,0.903875,0.955662,0.942367,0.946414,0.941183,0.950913,0.944179,0.927728,0.944278,0.948677,0.943339,0.948185,0.973516,0.936756,0.882941,0.947139
4,5.495062,4.199826,4.246539,4.236179,4.265650,4.236715,4.228305,4.227338,7.086061,7.062966,1.387029,1.330568,1.308375,1.329303,2.277930,2.248500,2.254807,2.299248,3.015997,3.013993,3.033148,3.046013,2.968321,3.017683,3.016636,3.003005,2.393274,2.387561,2.373585,4.218789,1.703960,1.666745,1.677084,1.684755,1.725249,1.685282,1.731664,1.672365,1.703663,1.687781,1.704536,1.703789,1.693454,1.692966,1.690831,1.700725,1.701720,1.695118,1.684609,1.674750,1.723332,1.669302,1.716382,1.731098,1.694950,1.663150,1.726909,1.689320,1.706033,1.695283,1.664140,1.695809,1.337817,1.340903,1.351259,1.681777,1.625990,1.660437,1.691817,1.711772,1.664435,1.703850,1.707251,1.682754,1.681755,1.691493,1.695134,1.684762,1.339240,1.362516,1.320692,1.317034,1.305054,1.316930,1.338618,1.350757,1.355930,1.331532,1.342355,1.391677,1.302088,1.331634,1.325703,1.338571,1.325154,1.366950,1.321218,1.314069,1.327418,1.351912,1.314009,1.382589,1.339869,1.335317,1.333708,1.318056,1.342522,1.317929,1.325952,1.320906,1.362374,1.348752,1.327710,1.279515,1.356731,1.378121,1.368616,1.385698,1.329225,1.341496,1.322243,1.308408,1.358529,1.363910,1.371436,1.327772,1.294260,1.332657,1.317460,1.373449,1.337330,1.302072,1.328359,1.285144,1.305997,1.370711,1.356391,1.359951,1.331628,1.368382,1.374554,1.355099,1.336285,1.344004,1.359417,1.354321,1.328727,1.338385,1.318336,1.335489
5,4.082073,4.102649,4.106797,7.144749,7.156549,5.175853,5.126496,5.134103,5.140401,5.164374,2.277025,2.271818,1.512045,1.534891,1.563974,1.528296,1.495472,1.543613,1.549593,1.498299,1.527116,1.559109,1.517067,1.528966,1.530777,1.508813,1.555840,1.551869,1.528942,1.557157,1.526147,1.588429,1.561100,1.539180,1.538849,1.497627,1.556241,1.618139,1.578190,1.591071,1.569620,1.589000,1.612295,1.559534,1.568684,1.646701,1.597366,1.560480,1.512155,1.551406,1.590237,1.570973,1.620155,1.613492,1.623043,1.579413,1.578841,1.609737,1.596911,1.602911,1.618347,1.573515,1.533419,1.596831,1.603079,1.588276,1.583014,1.565856,1.580426,1.616799,1.609037,1.571419,1.557206,1.595077,1.563627,1.549905,1.604642,1.578061,1.523740,1.607606,1.607448,1.582809,1.532558,1.601102,1.543095,1.534168,1.515463,1.600951,1.614845,1.622530,1.629495,1.646671,1.655076,1.656422,1.865233,1.878811,1.863373,1.860226,1.862169,1.842157,1.864953,1.877944,1.853177,1.875961,1.879500,1.864619,1.834282,1.572342,1.605344,1.607701,1.571426,1.595845,1.598701,1.831935,1.858817,1.592250,1.589990,1.597595,1.574974,1.612814,1.587281,1.558706,1.585224,1.616365,1.594839,1.604464,1.597057,1.589595,1.528913,1.568973,1.605762,1.613643,1.593539,1.578339,1.596551,1.583045,1.599461,1.554977,1.576388,1.596765,1.581617,1.642273,1.584026,1.571036,1.556403,1.568006,1.601488,1.581611,1.593662,1.603474
6,2.647511,2.689853,2.691083,2.650556,2.668756,2.690751,2.715800,2.692112,2.709748,2.685588,2.655421,2.680733,2.707341,2.678759,2.689795,2.712642,2.670773,2.654248,2.650614,2.677918,2.648474,2.644249,1.278062,1.232303,1.263102,1.300070,1.230090,1.243489,1.234939,1.260160,1.233897,1.268511,1.257799,1.836046,1.250347,1.274096,1.229709,1.244572,1.241248,1.267396,1.281956,1.276170,1.208719,1.280650,1.279190,1.850664,1.839900,1.837595,1.935834,1.856773,1.896587,1.878776,1.864835,1.831625,1.846696,1.874416,0.838695,0.848145,0.856134,0.856448,0.851615,0.843225,0.855538,0.846427,0.855225,0.844274,0.839851,0.830227,0.865656,1.129113,0.874518,0.822637,0.844548,0.864766,0.820187,0.837896,1.116935,0.807625,0.859211,0.833306,0.841767,0.867665,0.862718,0.876056,0.807674,0.839014,1.134623,0.843320,0.848018,0.818479,0.865308,0.847703,0.812635,0.805638,0.844253,0.841808,0.899244,0.911418,0.941303,0.933802,0.896604,0.896257,0.882850,0.884679,0.953090,0.881379,0.918386,0.874729,0.906461,0.921489,0.961972,0.924584,0.890379,0.910365,0.869513,0.923901,0.817120,0.882714,0.919142,0.902522,0.858113,0.923230,0.869444,0.896909,0.856077,0.892391,0.891354,0.874653,0.893305,0.839215,0.903112,0.940748,0.912427,0.898711,0.903710,0.906758,0.931668,0.910036,0.898353,0.885741,0.859721,0.945932,0.841148,0.803662,0.827233,0.913582,0.874540,0.899150,0.883862,0.903814
7,2.655783,2.689316,2.679563,2.665371,2.685088,2.676328,2.678696,2.672237,2.646782,3.813405,3.745017,3.763114,3.745652,3.794864,3.782918,3.759357,3.756944,3.766476,3.184258,3.234527,3.202843,3.203371,3.236189,3.204300,3.242464,3.197518,3.231890,3.207219,3.198401,3.220027,3.228734,3.157758,3.211416,3.201303,3.197763,2.710316,2.671788,2.669152,2.888026,2.952607,2.678594,2.637452,2.653737,2.670768,2.626538,2.661365,2.693588,2.668270,1.564726,1.576793,1.584915,1.560149,1.570700,1.598184,1.562836,2.696541,2.637099,2.668487,2.627548,1.556823,1.535664,1.607260,1.538349,1.548494,1.539150,1.537985,1.540921,1.547509,1.586248,1.572989,1.575139,1.550044,1.540802,1.550411,1.535496,1.566512,1.563106,1.570130,1.552626,1.579379,1.563405,1.551807,1.576018,1.592874,1.600303,1.604459,1.568293,1.554864,1.558071,1.581057,1.551333,1.583230,1.533534,1.545449,1.580762,1.583620,1.555265,1.579473,1.548209,1.528087,1.553768,1.562509,1.579109,1.557130,1.593823,1.545463,1.571232,1.551362,1.557118,1.553716,1.559949,1.544999,1.537489,1.531478,1.546224,1.545196,1.585066,1.550248,1.518137,1.563428,1.573284,1.575024,1.569780,1.583291,1.563671,1.542037,1.599182,1.562824,1.556527,1.568745,1.587318,1.572950,1.556880,2.495685,1.546185,1.571537,2.495026,2.448774,2.486028,2.523382,2.500611,2.479183,2.512960,2.531677,2.490937,2.492919,2.495014,2.494414,2.480847,2.469953
8,2.716026,2.702604,2.664249,2.700159,2.713261,2.693820,2.673785,2.658353,2.684564,4.378187,2.704231,2.703496,2.677643,2.681912,2.677914,2.720706,2.675938,2.672197,2.723163,3.043995,3.090953,2.683172,2.700713,3.070766,3.081482,3.071017,3.063532,3.056088,3.073395,3.073246,3.039926,3.074696,3.049627,3.080388,3.065909,3.061164,3.056983,3.083236,3.053018,3.063088,3.040582,4.416354,3.078645,3.066454,3.101544,3.104752,3.053524,3.047946,3.090617,3.094633,3.056182,3.062220,3.037320,3.054168,3.045262,3.053192,3.097674,3.040709,3.056953,3.093276,3.072696,3.056026,3.093407,3.045610,3.014074,3.063047,3.059648,3.085146,3.014029,3.073372,3.076614,3.050361,3.094948,3.029202,3.051693,3.072816,3.049991,3.078606,3.116175,3.082405,3.064536,3.081553,3.074380,3.041599,3.040035,3.054615,3.107795,3.029805,3.048923,3.067909,3.110262,3.009312,3.087556,3.104654,3.054822,3.018300,3.058649,3.057420,3.046652,3.047522,3.038857,3.063230,3.073419,3.091638,3.095961,3.064846,3.063021,2.446672,2.481558,2.498843,2.455020,2.495731,2.491527,2.520371,2.478700,2.477097,2.479435,2.491328,2.486596,2.497738,2.456829,2.505578,2.498563,2.451250,2.491840,2.475416,2.433494,2.469846,2.468906,2.452276,2.455844,2.464151,2.531813,2.461706,2.479175,2.477078,2.450386,2.486046,2.478271,2.466735,2.504564,2.485959,2.448204,2.491638,2.435584,2.457364,2.487535,2.454641,2.464833,2.551498
9,4.042423,4.053936,4.096939,4.071477,4.023547,5.166390,5.175565,5.195207,4.097546,4.095428,5.155368,5.162127,5.184989,5.151324,5.176449,5.139947,5.144384,5.112089,5.168418,5.186997,5.138242,5.161312,2.727030,2.661573,5.178052,2.713812,2.667706,2.657028,2.690563,2.693071,2.689337,2.686022,2.649195,2.719370,2.697482,2.675817,2.715877,2.714877,2.349432,2.348270,2.688920,1.579444,1.546386,1.592706,1.572948,1.541655,1.573315,1.550618,1.564516,1.586666,1.565768,1.571096,1.551630,1.568976,1.587230,1.578141,1.586994,1.609173,1.545065,1.596628,1.569358,1.573194,1.569424,1.590209,1.559992,1.585812,1.563998,1.964328,1.585742,1.965040,1.906517,1.573695,1.936614,1.936990,1.959047,1.979481,1.952381,1.945510,1.911174,1.931971,0.424833,0.374477,0.366987,0.383897,0.416540,0.408407,0.382319,0.379140,0.352921,0.423331,0.353148,0.363120,0.384377,0.377485,0.374106,0.408078,0.388078,0.398921,0.409094,0.354022,0.377305,0.396334,0.379521,0.360820,0.396463,0.363130,0.364787,0.376589,0.374332,0.355167,0.387042,0.363989,0.381961,0.403176,0.365126,0.396912,0.385840,0.362482,0.409088,0.408636,0.366428,0.369628,0.354013,0.399167,0.360594,0.403078,0.379308,0.354266,0.405029,0.326743,0.368138,0.397687,0.334272,0.402577,0.369654,0.378327,0.360074,0.398214,0.383213,0.373963,0.361602,0.403325,0.356031,0.352720,0.387397,0.359024,0.396924,0.376632,0.417987,0.391709
