Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,14.921298,14.866894,2.242875,4.031808,3.451406,4.348787,0.581789,5.333263,9.167158,9.324694,3.331140,1.392780,0.416998,6.161024,1.659660,1.379620,0.165680,1.355272,5.415306,3.509069,1.351504,2.733797,1.737916,1.334310,1.381942,0.420824,0.484774,3.630710,2.419376,2.635350,0.017207,1.066038,0.634152,0.347345,1.088545,6.156290,0.181167,0.661141,0.305750,0.388907,1.720375,1.517096,0.175696,0.205802,0.286932,0.441028,5.122219,0.636770,0.172935,0.181207,0.980791,1.474149,0.777979,1.402958,0.537717,1.195381,0.564640,0.519521,1.429407,0.020084,0.190598,0.286629,2.063277,0.195587,0.333404,-0.033632,0.716746,0.232439,2.505573,1.241343,1.016371,0.196964,0.971068,0.308507,3.858936,1.222372,1.358578,0.648381,1.282293,1.459978,1.651627,1.255727,0.653978,0.678465,0.289625,1.466945,0.282153,0.625427,0.721179,0.193312,1.916919,1.666094,3.330912,0.635405,0.895641,0.313792,2.276796,1.293192,0.648108,0.768824,1.650329,0.002110,0.629010,0.779482,1.705692,1.372490,1.043805,2.015491,2.112072,0.327003,0.628964,0.177016,0.010623,0.648640,1.640247,0.396623,1.395285,0.420177,1.077252,0.560619,1.886772,1.289298,0.759465,1.916669,1.992974,1.534039,0.579120,1.515353,0.746552,0.656578,1.627066,1.249202,2.511638,0.621922,0.323680,0.325455,0.838933,1.181792,0.641615,1.098563,0.893099,0.460245,0.849783,0.398015,0.769917,0.624917,0.603964,1.532772,0.306155,1.107124
1,10.237879,5.221637,6.779920,5.266521,0.989927,2.371151,3.613627,0.416502,2.118752,0.945210,2.687156,1.036744,3.392572,2.184112,2.479898,3.778989,3.389863,0.627255,2.075295,0.575322,1.810226,0.217587,1.017059,0.889370,1.301443,1.133204,0.598500,1.308634,0.583441,0.311237,0.455566,0.600301,0.009414,0.013082,1.005394,0.412955,0.418187,0.600811,0.601979,0.394907,0.560646,0.611694,0.557490,1.662707,0.597725,0.560926,-0.003450,0.906501,0.321512,0.988088,1.351525,0.552284,1.388997,1.242946,1.352085,0.009904,3.571563,0.006232,0.577526,0.431004,0.559007,0.954076,1.538232,-0.030352,1.374493,0.013346,1.046292,0.999114,0.975012,0.953015,0.017773,0.029621,0.605627,0.578176,-0.008694,0.596140,0.025285,2.841500,-0.010815,1.011286,0.585831,0.628231,0.659684,0.014185,2.040538,0.023486,0.017899,0.019892,0.018651,0.395990,0.719844,0.009050,0.000065,1.208599,0.012160,0.605528,0.012740,0.023710,3.561197,0.915954,-0.003138,1.994721,0.580917,0.024542,-0.020148,0.006061,0.001021,0.012460,0.023302,1.930981,1.801657,-0.008794,0.024565,0.301938,0.567062,0.008479,0.400221,0.320109,0.002533,0.012597,0.035555,-0.000804,0.023314,0.013588,-0.000698,0.186718,0.000829,0.044372,1.305815,0.019073,-0.010545,-0.003281,0.004516,-0.022343,0.998643,1.112212,0.590837,-0.000966,0.003995,-0.008719,0.745174,0.008869,1.224203,2.505862,0.005794,0.584164,0.320261,0.038581,0.022342,0.964261
2,4.941763,3.648917,4.405686,0.422730,2.896283,2.365032,0.735257,1.112173,4.519090,1.566271,10.530905,1.101281,4.368852,0.878235,3.433869,1.196993,2.204915,0.864731,4.592220,3.727330,2.167974,1.502549,4.132023,2.171460,1.449667,2.881127,-0.021541,1.455760,2.153623,0.977145,0.986765,3.006256,0.986257,0.977250,-0.015220,0.451403,2.396683,1.943884,0.508498,1.967661,1.910805,1.230107,0.434657,5.793183,0.024838,1.162755,1.048276,1.146916,0.361993,0.007877,0.450871,1.030964,1.087587,0.814302,1.011423,1.140642,0.429325,1.052435,2.540743,0.649119,0.788954,0.358087,1.096070,0.420313,2.365302,1.638255,0.342610,1.147837,1.399768,0.984573,0.985741,1.657806,0.626592,1.851812,0.849004,1.504556,2.306145,0.413495,2.967874,1.398526,0.596948,0.547919,0.423580,1.015880,0.984161,1.691522,1.000932,0.420801,0.616771,0.416877,0.465063,0.610588,1.022093,1.260675,1.772580,1.677646,0.945958,-0.007144,0.998037,0.687413,1.369415,-0.015774,1.629153,1.065283,0.414748,0.630444,1.754970,2.697653,1.467259,1.984821,0.627142,-0.023894,0.973715,2.140439,0.849819,1.726539,1.811315,-0.000401,0.409770,1.330965,-0.006112,1.002611,0.817075,0.597206,0.998028,0.027306,0.008527,0.419793,0.668165,1.202421,-0.001083,1.074440,2.777358,0.014773,1.153413,0.927262,-0.020278,0.602665,1.510781,0.692531,0.018132,0.905710,0.193111,0.417434,-0.022009,1.753457,1.854682,-0.004992,0.572851,0.417962
3,11.465848,4.081835,6.558782,10.239910,2.546282,1.885036,1.376747,5.884979,3.469240,1.004426,9.575092,6.780039,9.052379,6.773253,4.577228,3.336702,3.286867,6.037100,2.434555,0.151441,2.423510,3.638125,2.152707,1.378598,3.058590,3.787217,3.695056,2.719727,1.103905,3.972387,0.440286,1.034327,0.770860,1.734975,3.209858,1.975305,1.969900,3.007161,1.657286,1.342777,0.267237,2.395866,2.423142,2.565427,1.068905,0.545673,0.893629,1.173105,0.583536,1.019798,1.177654,1.788670,2.312967,0.972256,1.916660,0.718487,1.492023,2.976238,1.629780,1.583099,0.978476,0.570757,0.544192,0.970411,0.251666,0.280916,0.623150,1.060161,0.537284,0.522199,1.971266,0.930615,1.067665,1.181395,1.622177,0.000781,1.041913,0.549629,1.073007,1.780720,-0.036434,1.838418,0.244256,0.424821,0.840110,0.322821,0.800287,0.686235,-0.025539,-0.007337,0.288321,0.682428,0.571084,0.587167,1.836910,0.560201,0.574060,-0.046728,-0.006515,0.550088,0.175774,0.154697,1.675214,0.549135,-0.012437,0.175895,-0.036902,-0.021401,0.694959,-0.027436,0.549854,0.149932,0.942088,0.317334,0.328265,0.414175,0.392000,0.171865,-0.044517,0.980193,0.544705,0.137724,-0.024814,2.088203,-0.050173,-0.051981,0.361716,0.400728,-0.040981,1.435560,0.295206,0.364361,0.689697,0.377282,-0.044545,-0.016026,-0.057131,1.852804,-0.024736,0.162962,0.531989,0.427998,0.280358,0.578796,0.374237,1.381366,0.606024,0.405767,1.246149,0.981331
4,12.453445,4.963490,3.276522,3.675180,5.527237,7.325161,5.890492,3.008121,7.142373,2.882066,3.824389,5.252605,4.183835,3.813387,5.899661,6.931908,6.023693,2.589551,3.683422,3.459215,5.343419,4.047640,3.707078,5.764094,3.456800,3.093028,2.619377,1.244301,2.976997,5.947772,3.944141,3.114846,4.482665,5.097414,2.927137,2.624215,3.530553,3.398323,4.629311,3.000775,6.402570,3.171230,3.120776,1.500297,3.431455,3.343011,2.634077,4.009189,2.614997,3.375500,1.930403,1.270947,1.540503,0.610183,2.460262,3.238946,2.762297,2.752522,1.299809,0.593740,1.503983,3.366481,1.287801,0.161579,3.680165,1.502324,0.996599,4.092707,1.295376,1.237235,1.299438,1.286123,2.237304,1.337399,1.251133,3.123706,1.479064,1.857202,1.281461,1.808249,0.601032,0.920960,-0.003031,0.914008,1.289554,1.699086,1.283764,0.590807,1.252426,1.301932,0.447371,0.598959,0.352474,0.932114,0.301038,0.028076,-0.014420,0.448342,0.630204,0.703364,-0.018455,0.588081,1.156983,0.014498,0.621854,0.306161,0.641056,0.929765,0.453128,0.803609,0.010841,-0.045853,-0.022254,0.627324,1.276901,0.036634,0.006478,0.948968,1.915935,0.630251,0.613978,1.043511,1.195012,1.831687,1.197321,1.468715,0.024820,0.631073,1.501978,0.644307,0.001001,1.266945,0.607211,0.644089,0.582789,-0.003372,0.621448,0.618624,0.449832,0.039944,1.001333,0.632006,-0.012266,0.637106,0.003037,0.037869,0.305288,0.627094,0.605772,0.628899
5,0.429778,3.479171,3.618178,1.680756,3.904524,4.303357,2.369092,10.247566,2.638318,3.508398,2.324979,5.977101,2.202241,2.690893,1.488428,2.223324,4.377933,1.106536,8.364257,1.166365,1.693824,4.032217,0.668676,1.297578,3.732909,1.198362,2.413478,5.996085,1.025667,8.398205,3.944231,0.897216,1.879006,0.699615,4.462919,1.801941,3.396603,0.566458,2.687793,3.098972,0.646029,-0.001156,1.136081,1.549324,1.536570,3.720334,2.469554,0.307104,2.223418,2.784882,3.237479,1.711028,1.655712,3.410407,2.942223,0.200134,1.288892,0.928850,0.610080,0.604588,0.975452,0.647107,-0.001531,2.355978,2.208767,2.946485,2.471617,0.331733,1.311070,3.022861,2.010271,0.414056,0.710869,0.669526,0.709844,0.959100,0.583030,0.302730,0.146163,0.572634,0.626559,1.292126,0.964588,0.536300,1.180250,0.984372,0.574684,-0.033373,0.869201,0.666675,1.588891,0.266788,0.029064,-0.009380,0.575822,0.541834,0.421281,1.464250,0.446054,1.776121,0.414402,0.421937,-0.037015,0.001645,0.273748,0.329085,0.013824,0.012376,0.337988,0.014400,0.285007,0.295284,0.682611,-0.039900,-0.043928,0.586035,0.029683,0.417676,0.601979,0.009153,-0.033560,1.087699,0.993468,0.398337,0.274671,-0.008714,0.905851,1.612377,1.069704,0.803915,0.820910,2.309369,1.604581,0.159326,4.563566,0.590939,0.497859,0.310551,0.669606,0.147981,0.594874,0.635381,1.259926,1.625257,1.319284,0.286659,0.019891,0.019009,-0.019380,3.351704
6,10.651068,10.402463,4.495934,9.873614,7.565260,3.393172,7.659420,0.602712,2.012714,10.395709,5.672731,5.592464,12.065691,4.415026,2.978233,4.869374,3.845087,3.367896,3.058103,5.592049,4.043708,4.189417,0.435371,4.201348,0.422612,3.713795,1.719547,1.343471,2.990121,0.170466,0.661118,1.068733,1.300024,1.853500,1.066099,0.336427,2.334987,4.379421,1.725769,3.396302,1.617332,1.063615,3.584779,1.931090,1.817590,1.643244,3.682754,1.369111,2.214967,0.517519,0.681966,1.066310,3.121274,1.976013,0.998322,0.414911,0.306467,1.470867,2.137392,2.398004,1.684318,1.023272,0.687737,0.437600,3.267112,1.747759,1.800979,0.924720,0.589939,1.173569,0.624172,1.538477,2.380498,0.216481,0.670863,0.562013,0.409884,0.219540,1.164526,2.733800,0.026963,1.504487,0.316828,0.199562,0.615818,0.909099,0.242757,1.395218,0.653926,0.435295,0.691215,0.006260,1.636010,-0.002237,1.006024,0.446344,0.703499,1.703185,0.740780,0.041276,1.084355,0.182901,-0.017359,1.104445,1.002804,0.443613,0.020286,0.627001,0.034789,0.323905,0.016604,0.488316,-0.020102,0.208943,0.184501,0.018791,0.024837,0.765674,0.209255,0.696449,1.186772,1.026312,0.215257,-0.011246,0.185921,0.028678,0.006653,0.301470,0.012371,0.040346,0.022530,0.459076,0.396916,0.433485,0.254723,0.312690,0.622192,0.322771,0.204853,0.242269,0.248151,0.206211,0.629065,0.019238,-0.007363,0.403907,0.055007,0.196171,0.467399,0.447437
7,1.028334,7.332978,17.476566,11.167815,4.330231,6.500878,2.533220,5.883825,3.627421,3.727782,0.587904,3.907694,4.432402,2.490708,0.957047,2.186199,3.934415,1.816170,3.220011,5.983706,1.656158,3.830196,1.739732,1.727665,2.396479,0.377878,0.673193,0.409214,2.126363,4.455476,0.210055,1.270215,0.532673,0.438121,0.291304,-0.013669,0.317881,0.144546,0.275148,0.376283,0.714014,-0.003956,-0.026632,0.813568,0.311225,-0.034782,0.293897,0.394115,-0.002531,0.316146,0.303878,0.628296,1.032199,0.281663,2.502346,0.692479,0.296753,0.289187,0.300605,2.717774,0.307731,0.322626,0.292827,0.006703,-0.002809,0.640532,0.325317,0.198853,-0.004172,-0.038425,0.831807,0.283429,0.778513,0.301406,0.508431,0.245100,0.654136,0.311258,0.315393,-0.002723,0.279081,0.009437,-0.071223,0.282988,0.299223,1.990436,0.578506,-0.010316,0.310485,0.623509,0.648748,-0.021930,-0.010779,0.296886,1.311116,-0.033319,0.629177,0.260958,0.016078,0.616135,0.020343,0.019038,0.638810,1.370644,-0.013301,0.321345,0.003691,0.293057,0.609895,0.284958,0.315694,0.170668,1.857927,0.038704,0.683510,0.279750,0.858287,0.838988,0.675734,0.233489,0.268356,-0.036678,-0.006553,0.307743,-0.002744,0.293375,0.552606,0.305413,0.003185,-0.015254,0.297836,-0.017166,0.626730,-0.037964,-0.017007,0.297023,0.008069,0.326301,2.747626,0.016438,0.307009,3.388760,-0.058108,1.622385,0.050884,0.292385,0.294661,0.615453,0.300948,0.697014
8,0.584971,2.353311,7.748275,6.643520,2.443438,4.891655,9.649905,1.152793,3.387916,6.263868,3.394632,1.038297,1.775144,2.993571,5.195408,0.456136,2.192758,1.282876,0.473736,1.656366,0.751609,1.666050,2.088582,2.113065,0.441087,0.911864,1.361176,0.735586,0.732010,0.432982,0.171173,0.883021,2.096952,2.963682,4.735138,0.869165,2.358774,0.977264,1.253415,0.573575,0.710262,0.425631,1.548487,0.448191,0.574282,-0.011042,1.006982,0.405269,0.462869,-0.014172,1.192940,0.943940,0.016955,1.418488,0.038007,1.178073,1.797117,0.448811,0.407809,0.313008,0.019008,0.464176,-0.004132,0.434006,0.446095,0.440829,2.911030,0.583741,0.432850,0.735993,2.306664,-0.019068,1.252676,1.845653,0.400517,0.056559,0.471004,1.750735,0.439560,1.832749,0.435682,0.025646,3.592404,1.860712,0.603527,0.719929,0.609004,0.459353,0.023254,0.460391,0.017738,0.414943,0.475712,0.630242,-0.002815,0.465695,0.477980,0.010283,0.027939,0.474458,2.594869,0.473434,0.193457,0.458258,0.415751,0.035935,0.620458,0.425692,0.449336,0.196079,0.699537,0.457091,0.038671,0.446276,0.159264,0.482929,0.489626,0.442465,1.081409,0.015529,0.215402,0.202902,0.477022,0.431562,0.217406,0.464581,0.499445,0.040060,0.179252,0.472942,0.160673,0.453523,0.027696,0.660815,0.228309,0.428978,1.825047,1.242355,0.480691,0.189403,0.215824,0.809333,0.046316,0.454745,0.026755,1.197672,0.432003,0.462337,1.375044,0.833528
9,8.401453,3.377331,3.255765,0.518997,1.825229,3.310139,9.361591,7.462406,6.555894,3.350699,2.674346,2.104479,4.938887,3.501229,4.548467,6.143772,3.532100,1.513653,4.873890,3.003764,3.028719,4.596406,5.864398,1.622761,1.290306,1.027941,3.724904,0.350196,0.983202,0.398521,3.361490,2.039012,1.630091,2.849900,0.372293,2.839491,0.945338,1.659532,1.511077,1.623240,5.193860,3.163003,1.660578,4.028480,1.589394,0.576689,2.243026,5.860303,1.898284,1.488344,1.105261,0.636199,1.681990,1.317166,1.593295,3.093067,1.547427,0.367485,0.960835,1.647644,1.976934,1.325927,0.334927,0.537796,-0.055132,0.550944,0.137267,0.372939,0.370127,0.572229,3.687610,1.522981,5.199377,0.497250,0.395097,0.617706,0.526258,1.580213,0.380509,1.435583,0.399630,1.622844,1.704775,0.543366,0.410073,2.260699,0.404156,0.623304,0.399529,2.066077,2.315371,0.374190,0.140337,1.374505,1.646457,1.296615,0.603237,0.578400,0.575025,1.599176,0.564763,0.366051,0.722121,1.769947,0.402931,0.557193,0.375821,0.805274,0.601521,0.376607,1.685412,6.091641,0.381944,-0.025334,0.522845,1.973036,-0.027611,1.011968,0.369660,1.858452,1.429256,0.404914,0.539210,1.735256,-0.022458,0.384889,0.362006,1.032956,0.518171,0.667524,0.375087,0.989708,0.746934,0.946772,0.395491,0.684704,0.561580,1.195421,0.546058,0.536835,0.526263,1.859483,0.974375,0.390856,2.311626,1.421420,-0.029924,0.543302,0.773177,1.158300
