Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,8.779000,8.495323,7.500794,5.906233,7.126878,4.410175,6.396032,10.158068,8.811360,6.646006,8.210424,13.283197,4.862304,6.209312,5.887827,6.125210,6.251278,10.521695,7.450736,6.672941,8.235520,13.345558,4.884503,6.187759,5.924892,6.099925,6.289257,10.504083,7.462027,6.670813,8.296354,13.310102,4.883100,6.227091,5.913000,6.090090,6.237272,10.495657,7.484777,6.642234,8.225325,13.285768,4.888955,6.214276,5.896731,6.092644,6.234353,10.504026,7.489126,6.651953,8.204263,13.324824,4.890313,6.232945,5.931412,6.150617,6.238040,10.491161,7.454971,6.687110,8.259143,13.296787,4.905325,6.212110,5.914536,6.060172,6.196341,10.470017,7.474893,6.656054,8.220778,13.307689,4.884688,6.206936,5.924248,6.045345,6.299989,10.504548,7.461831,6.684663,8.269590,13.264805,4.871586,6.194943,5.875220,6.083594,6.211559,10.516123,7.447110,6.670463,8.236548,13.343070,4.892905,6.198629,5.903051,6.095271,6.248892,10.533916,7.510201,6.671599,8.255374,13.292487,4.891271,6.202443,5.896003,6.114475,6.224649,10.518698,7.514505,6.674843,8.247496,13.286896,4.892392,6.234823,5.915316,6.090497,6.258329,10.519375,7.469823,6.666927,8.240363,13.329181,4.881449,6.210715,5.894701,6.110950,6.143059,10.477383,7.429693,6.639811,8.250449,13.282243,4.854221,6.192151,5.935667,6.123889,6.285582,10.545106,7.467908,6.656006,8.203879,13.328721,4.898494,6.198311,5.901802,6.110348,6.255804,10.533956,7.472534,6.652910
1,8.794309,8.434547,7.505866,5.900135,7.117661,4.414959,6.396794,10.136245,8.841426,6.670980,8.219410,13.362513,4.897140,6.203703,5.916997,6.125105,6.243006,10.528164,7.537495,6.668256,8.240937,13.371244,4.888625,6.226448,5.933878,6.087874,6.250966,10.511191,7.502795,6.665741,8.282381,13.310459,4.887218,6.220588,5.916403,6.092598,6.272978,10.529273,7.514964,6.641364,8.256950,13.323156,4.874432,6.195869,5.920363,6.080333,6.236322,10.548353,7.485683,6.715524,8.234413,13.300954,4.865371,6.226956,5.897182,6.093618,6.293114,10.514558,7.461601,6.671171,8.279124,13.322421,4.912836,6.201490,5.884496,6.127119,6.258224,10.548126,7.526114,6.634090,8.306975,13.343816,4.903815,6.219787,5.923020,6.068727,6.317890,10.502389,7.472634,6.699828,8.289522,13.325911,4.855863,6.219798,5.928090,6.103223,6.259459,10.562552,7.499555,6.655398,8.236615,13.290834,4.895276,6.209236,5.899750,6.111968,6.258221,10.532983,7.486448,6.686792,8.236417,13.304044,4.901953,6.238875,5.892396,6.108964,6.254536,10.507479,7.471565,6.671938,8.257663,13.316241,4.902957,6.207550,5.900474,6.090553,6.233558,10.511241,7.491128,6.684822,8.294917,13.284586,4.909657,6.219170,5.913212,6.103129,6.241672,10.543345,7.450002,6.673461,8.258897,13.308307,4.916622,6.205790,5.925868,6.140873,6.278328,10.516555,7.503855,6.671702,8.277384,13.325978,4.884282,6.225507,5.913529,6.112245,6.274441,10.573215,7.477287,6.642886
2,8.794080,8.415985,7.539177,5.879944,7.115279,4.375450,6.432216,10.113580,8.830549,6.650699,8.231289,13.287936,4.868393,6.252381,5.913401,6.080980,6.206032,10.534633,7.435659,6.684697,8.252319,13.307826,4.900441,6.227019,5.927925,6.109249,6.235169,10.483455,7.500475,6.639026,8.258398,13.297848,4.895459,6.173971,5.897210,6.119118,6.281703,10.512620,7.442556,6.651137,8.228668,13.308485,4.898419,6.229203,5.935035,6.061607,6.267027,10.548919,7.522995,6.663365,8.231300,13.251610,4.900030,6.215683,5.897849,6.099862,6.242213,10.524794,7.479478,6.673258,8.242231,13.340760,4.909347,6.171790,5.903060,6.081328,6.302497,10.541024,7.493754,6.669474,8.277718,13.308865,4.890246,6.221359,5.922418,6.114324,6.276437,10.516184,7.468284,6.650976,8.290343,13.294587,4.886229,6.223068,5.907492,6.115420,6.292259,10.489056,7.491344,6.656856,8.285089,13.293110,4.914465,6.225942,5.880944,6.112127,6.233145,10.532032,7.471153,6.642352,8.258586,13.296941,4.892512,6.176290,5.913961,6.113850,6.224980,10.511219,7.511068,6.672937,8.277472,13.291121,4.885317,6.185904,5.913425,6.088131,6.278581,10.531375,7.438888,6.660521,8.239891,13.264933,4.884866,6.189871,5.867433,6.157887,6.234442,10.489726,7.463060,6.653692,8.270519,13.297811,4.917775,6.215828,5.938924,6.079438,6.239805,10.560236,7.477920,6.650622,8.264395,13.309659,4.893421,6.163469,5.890228,6.095927,6.267560,10.514956,7.497949,6.666389
3,8.768782,8.459116,7.493323,5.884858,7.074880,4.373976,6.390734,10.119528,8.788557,6.623944,8.235098,13.255130,4.859704,6.135301,5.898589,6.066255,6.198003,10.464819,7.462514,6.636962,8.233007,13.245473,4.894378,6.230288,5.880683,6.077843,6.212304,10.478529,7.451266,6.644466,8.242509,13.261033,4.890868,6.162785,5.872847,6.064416,6.268939,10.477419,7.467682,6.669399,8.215180,13.327698,4.874876,6.189098,5.907042,6.109630,6.213935,10.537336,7.463574,6.623064,8.230459,13.258202,4.870382,6.164571,5.870143,6.069142,6.230965,10.509141,7.454751,6.641496,8.188637,13.335619,4.865485,6.174425,5.868588,6.066096,6.228276,10.516677,7.425987,6.663880,8.253548,13.259590,4.814211,6.195611,5.881059,6.104889,6.230180,10.498809,7.461450,6.601172,8.227029,13.278966,4.821087,6.215432,5.875887,6.126483,6.224193,10.503903,7.432658,6.644036,8.248225,13.277430,4.867954,6.186536,5.879939,6.086159,6.234647,10.502057,7.471589,6.647379,8.258180,13.278133,4.911931,6.189547,5.889501,6.099631,6.212118,10.487326,7.459819,6.626092,8.226182,13.280983,4.837741,6.223507,5.912441,6.094478,6.266259,10.502557,7.439890,6.647815,8.192541,13.275098,4.851176,6.195730,5.899783,6.048019,6.216937,10.477723,7.437765,6.652363,8.234748,13.264670,4.880018,6.155395,5.880639,6.104526,6.228349,10.474462,7.459132,6.645083,8.228976,13.288374,4.868456,6.189282,5.892133,6.088860,6.256942,10.500057,7.445561,6.645037
4,8.784310,8.490140,7.529008,5.888850,7.130964,4.458475,6.415763,10.142327,8.828098,6.667507,8.288104,13.303248,4.881786,6.261383,5.924735,6.114066,6.241038,10.466781,7.470943,6.663559,8.231350,13.298251,4.914671,6.208631,5.918744,6.140816,6.252324,10.468672,7.484643,6.647291,8.282283,13.273273,4.885569,6.206372,5.892050,6.115070,6.292022,10.532595,7.534915,6.678278,8.297502,13.315041,4.897854,6.245124,5.897616,6.095007,6.258868,10.512023,7.458326,6.678400,8.231214,13.324617,4.877825,6.213905,5.918997,6.087829,6.251006,10.519210,7.490598,6.627243,8.237940,13.314100,4.878620,6.217062,5.898496,6.097944,6.263010,10.527382,7.474397,6.646378,8.274532,13.300569,4.896305,6.234008,5.914358,6.088183,6.265520,10.499640,7.457999,6.653574,8.289619,13.293142,4.873639,6.196255,5.945295,6.097507,6.234530,10.512373,7.432393,6.699193,8.243797,13.297402,4.937115,6.214918,5.911360,6.121790,6.270718,10.512997,7.498495,6.672847,8.239869,13.318357,4.931080,6.212638,5.925113,6.123484,6.282407,10.517230,7.466651,6.677024,8.259804,13.249294,4.868605,6.177723,5.917711,6.127829,6.233595,10.555825,7.449394,6.669721,8.230007,13.257983,4.885563,6.234028,5.912849,6.072514,6.310143,10.512829,7.489042,6.693368,8.233536,13.305006,4.896481,6.236399,5.909265,6.066739,6.270758,10.546160,7.498772,6.701274,8.279442,13.338396,4.879917,6.230553,5.898646,6.117003,6.250435,10.532130,7.494851,6.676712
5,8.755158,8.412751,7.506374,5.881435,7.095554,4.393683,6.437154,10.109240,8.784246,6.638107,8.244025,13.276492,4.909427,6.197369,5.916795,6.111339,6.213255,10.491468,7.469730,6.646785,8.252894,13.303583,4.872146,6.161282,5.926858,6.077831,6.260123,10.520538,7.506939,6.658794,8.199611,13.327811,4.880567,6.229973,5.921671,6.114209,6.275535,10.482670,7.489068,6.656444,8.281829,13.311227,4.900303,6.204649,5.901931,6.083768,6.229560,10.491813,7.480186,6.652961,8.247821,13.282012,4.869734,6.199251,5.908243,6.138310,6.257032,10.503488,7.510863,6.656777,8.238909,13.297781,4.885665,6.223514,5.910222,6.087420,6.265345,10.557165,7.491115,6.671231,8.218310,13.325910,4.852032,6.186274,5.912193,6.112248,6.247330,10.500225,7.463276,6.614370,8.250356,13.253731,4.842732,6.193123,5.905881,6.107814,6.276040,10.492819,7.458845,6.632103,8.253134,13.280156,4.912816,6.173675,5.888722,6.063574,6.240092,10.477142,7.502676,6.654650,8.274486,13.295051,4.856894,6.212784,5.909696,6.117240,6.282627,10.503213,7.519117,6.651673,8.228461,13.286050,4.886333,6.192740,5.879225,6.099388,6.276569,10.517247,7.479448,6.656827,8.227717,13.330874,4.887716,6.187183,5.903728,6.103118,6.214208,10.517468,7.474135,6.667538,8.260947,13.249555,4.893472,6.176462,5.890525,6.118682,6.241669,10.529481,7.480233,6.647760,8.212202,13.304173,4.904796,6.173465,5.908198,6.042501,6.274336,10.526970,7.436910,6.672966
6,8.794427,8.513915,7.551224,5.911666,7.153906,4.430655,6.427169,10.158096,8.860346,6.689102,8.237638,13.306128,4.899417,6.217798,5.940279,6.117221,6.249427,10.548780,7.460656,6.650978,8.237962,13.389817,4.895007,6.169212,5.872002,6.116190,6.249257,10.472856,7.485963,6.649810,8.267844,13.337747,4.899264,6.218587,5.931273,6.112334,6.301195,10.517587,7.527373,6.646315,8.293167,13.286104,4.864253,6.209533,5.928002,6.121411,6.268576,10.531141,7.469146,6.662014,8.231837,13.326981,4.926538,6.224359,5.886337,6.108353,6.286074,10.497832,7.447610,6.674465,8.258645,13.328324,4.893164,6.240398,5.918827,6.108277,6.312417,10.539557,7.499318,6.677328,8.284741,13.293486,4.898943,6.220637,5.930956,6.135653,6.252665,10.535666,7.497995,6.687216,8.290056,13.311512,4.920288,6.210210,5.940790,6.120405,6.278074,10.532500,7.493878,6.682629,8.269960,13.301805,4.898424,6.179895,5.925042,6.103307,6.249567,10.549995,7.520377,6.690109,8.263107,13.287632,4.879863,6.220443,5.913691,6.117560,6.233169,10.518287,7.487580,6.697295,8.254857,13.349633,4.857882,6.207410,5.929387,6.122436,6.293817,10.575507,7.497427,6.671024,8.303976,13.344415,4.911127,6.194256,5.880878,6.153926,6.260878,10.501082,7.508957,6.691767,8.244019,13.325592,4.897234,6.212285,5.958222,6.124493,6.261812,10.504375,7.488343,6.698025,8.305514,13.325570,4.914021,6.240353,5.902492,6.088350,6.283754,10.537313,7.505383,6.674132
7,8.758466,8.468957,7.479598,5.867621,7.120015,4.409777,6.414852,10.101250,8.841297,6.655774,8.200040,13.314555,4.882294,6.201821,5.899430,6.074216,6.267573,10.518925,7.488319,6.659965,8.300458,13.304629,4.906198,6.196920,5.920225,6.059764,6.203632,10.491423,7.427286,6.666868,8.233476,13.237405,4.878056,6.216724,5.881256,6.097548,6.254617,10.499641,7.473446,6.621983,8.229778,13.302443,4.861057,6.172139,5.896421,6.083159,6.283158,10.511554,7.474875,6.673857,8.230879,13.266284,4.887928,6.184418,5.868051,6.081586,6.252666,10.512943,7.460050,6.667058,8.264281,13.303815,4.897720,6.195275,5.919014,6.089550,6.273421,10.527853,7.463198,6.619294,8.248513,13.302999,4.825249,6.214126,5.907809,6.059237,6.245672,10.521715,7.476037,6.668530,8.246180,13.321084,4.824396,6.202964,5.886723,6.090365,6.272191,10.506965,7.504332,6.662220,8.235565,13.258580,4.891492,6.185910,5.924518,6.042925,6.266976,10.510520,7.491305,6.649740,8.273744,13.315829,4.914205,6.190367,5.887523,6.117228,6.239240,10.527296,7.471074,6.631299,8.269949,13.313204,4.896999,6.223210,5.932783,6.062107,6.227145,10.502535,7.445796,6.691964,8.211692,13.260801,4.881937,6.190711,5.907216,6.079932,6.285940,10.526418,7.487583,6.638068,8.236134,13.305454,4.881640,6.165317,5.909173,6.100194,6.278004,10.525528,7.464720,6.663972,8.237782,13.272297,4.874774,6.231895,5.943301,6.105657,6.245111,10.515868,7.488731,6.671688
8,8.789643,8.431206,7.541339,5.910281,7.097237,4.421816,6.418659,10.152870,8.777594,6.691552,8.276533,13.294116,4.877772,6.236203,5.904963,6.139378,6.228325,10.504477,7.499261,6.673159,8.265427,13.315609,4.911199,6.217528,5.898763,6.133053,6.250574,10.519068,7.495440,6.647959,8.235774,13.299104,4.889707,6.249329,5.915297,6.134068,6.261845,10.533499,7.522659,6.662432,8.234485,13.292687,4.901301,6.205773,5.906025,6.081660,6.275199,10.527120,7.497486,6.654563,8.249201,13.338055,4.880597,6.213935,5.941222,6.110020,6.221846,10.535545,7.467562,6.674103,8.302066,13.332928,4.889601,6.209754,5.882711,6.129441,6.285606,10.532116,7.502617,6.654963,8.250045,13.292106,4.931379,6.232764,5.937471,6.156198,6.288771,10.516027,7.483160,6.673183,8.264173,13.307300,4.889142,6.268792,5.912759,6.148262,6.302865,10.564257,7.515515,6.688922,8.254916,13.301147,4.908182,6.192223,5.915692,6.089726,6.277755,10.500935,7.496891,6.680084,8.272399,13.337408,4.897768,6.215252,5.900219,6.111284,6.246728,10.488259,7.449463,6.645233,8.246346,13.312754,4.909313,6.194941,5.922437,6.125615,6.317059,10.523490,7.512818,6.663757,8.290591,13.325518,4.907511,6.186317,5.922234,6.116894,6.276285,10.544010,7.488628,6.670821,8.223087,13.313967,4.908881,6.235879,5.934784,6.098222,6.266875,10.550425,7.504492,6.647526,8.293392,13.311642,4.905241,6.203778,5.935354,6.112178,6.243975,10.531038,7.507725,6.681550
9,8.731583,8.402727,7.439837,5.824110,7.056499,4.382639,6.370123,10.049823,8.768249,6.611647,8.223538,13.207573,4.858657,6.170177,5.865542,6.065417,6.209794,10.528007,7.416473,6.603636,8.184612,13.269427,4.879110,6.162103,5.888945,6.045589,6.179729,10.432592,7.441838,6.602892,8.178685,13.265905,4.829923,6.137721,5.867918,6.032482,6.201448,10.502451,7.463633,6.624673,8.167143,13.232864,4.836513,6.158012,5.837853,6.015818,6.238595,10.452630,7.437513,6.602899,8.229705,13.285695,4.833203,6.160189,5.865092,6.054783,6.181225,10.426848,7.434153,6.636960,8.185682,13.243503,4.823652,6.154120,5.859339,6.022722,6.257866,10.449462,7.467127,6.609040,8.209694,13.221561,4.852299,6.137055,5.876544,6.049522,6.182755,10.426330,7.437261,6.610062,8.225892,13.241499,4.876587,6.176323,5.829954,6.094171,6.202571,10.398952,7.421552,6.594196,8.208341,13.227970,4.857269,6.160995,5.829991,6.047935,6.173547,10.471483,7.417426,6.604917,8.214491,13.270179,4.831904,6.175944,5.860797,6.063904,6.240402,10.494067,7.451891,6.605102,8.212897,13.250681,4.850233,6.171667,5.844863,6.030743,6.205790,10.442687,7.447943,6.611143,8.163909,13.300445,4.885061,6.153264,5.872194,6.067006,6.210425,10.458377,7.430276,6.624387,8.190426,13.274200,4.873902,6.153605,5.853701,6.027018,6.237641,10.422594,7.415483,6.617126,8.152167,13.260180,4.812095,6.175145,5.882206,6.043919,6.200744,10.478226,7.439348,6.614308
