Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,5.610618,6.056787,0.418476,0.438507,1.064961,1.096560,1.057790,1.114269,1.069448,1.074146,1.045281,1.072469,1.249089,0.653860,0.635103,0.666780,0.614209,0.629285,1.255771,1.288585,1.272394,1.286419,0.644136,0.627199,0.660041,0.644143,0.679514,0.618585,0.646163,0.629409,0.646187,0.651867,0.628831,1.106057,1.086943,1.057136,1.267154,1.299175,1.253843,1.235755,1.287957,1.236210,1.260603,1.094955,1.249798,1.273230,1.243008,1.258576,1.485120,1.252526,1.263124,1.272836,1.088125,1.072326,1.064993,1.108813,1.117655,1.068750,1.226522,1.284417,1.266479,1.251625,1.600024,1.078530,0.964803,1.037430,0.901797,0.887487,0.932076,0.917205,0.938080,0.968545,0.937135,0.945129,0.941319,0.891122,0.964531,0.940467,0.954839,0.939452,0.961817,0.927292,0.953600,0.949683,0.941555,0.408932,0.379884,0.393863,0.366003,0.429719,0.385548,0.441488,0.428265,-0.004256,-0.017576,0.008072,-0.039038,0.009232,0.423265,0.418678,0.435952,0.412449,0.403745,0.417872,0.392329,0.433629,0.390882,0.413468,0.449173,0.436415,0.929214,0.929507,0.961194,0.953529,0.974156,0.934517,0.962047,0.945344,0.959270,0.943663,0.642196,0.636074,0.626894,0.664633,0.613590,0.653520,0.582579,0.619612,0.625328,0.924854,0.940603,0.917492,0.609978,0.620714,0.638202,0.663606,0.636194,0.653268,0.640853,0.928489,0.923518,0.972755,0.949088,0.925520,0.936892,0.960782,0.943148,0.949667,0.949446,0.581365
1,1.901148,0.431010,0.422254,0.407169,0.426103,2.607830,1.374899,1.391554,1.410033,1.405233,1.414275,1.456301,0.436033,0.556905,0.017983,0.017188,0.002124,0.014896,0.049751,0.005478,-0.016944,0.043233,0.023085,0.011576,0.017282,0.003153,0.022436,0.001898,-0.001216,0.010695,0.044501,0.013919,0.008673,0.027689,0.020460,-0.006846,0.012613,0.017091,0.031797,-0.008497,0.598679,0.642205,0.593588,0.620961,0.619526,0.590750,0.597414,0.635660,0.626324,0.656834,0.594137,0.601331,0.595818,0.026670,-0.015867,0.013305,0.610721,0.602822,0.581408,0.589094,0.604966,0.597449,0.029770,-0.030935,-0.029596,0.019139,0.037966,0.024686,0.031557,-0.050479,0.020567,0.042029,0.001414,0.043775,0.000734,0.007812,0.037746,-0.013214,-0.005027,0.041338,0.010422,0.027599,-0.028458,0.021422,0.029408,0.017874,0.027653,0.024654,0.021836,-0.026785,0.032284,-0.005904,0.016816,0.007883,-0.002680,0.017727,0.026840,0.037245,0.602029,0.026485,-0.006493,0.013381,0.036732,0.609927,0.574651,0.588612,0.589198,0.593788,0.601581,0.593516,0.592595,0.591750,0.609278,0.587568,0.567802,0.591802,0.575393,0.588502,0.582546,0.618047,0.620480,0.587576,0.603653,0.591935,0.583765,0.591668,0.595822,0.629845,0.567435,0.600289,0.571606,0.592563,0.582943,0.571778,0.593458,0.618238,0.591150,0.593909,0.588197,0.567929,0.621467,0.603624,0.609050,0.603757,0.600714,0.587380,0.594935,0.613713,0.599516,0.562444
2,0.441666,0.381310,0.443338,0.400994,0.423940,0.415057,0.461030,0.442406,0.441104,0.441720,0.392995,0.440349,-0.016838,0.449162,-0.017003,0.414013,-0.033580,0.032988,0.391878,0.460800,0.405847,0.429832,0.461289,0.448453,0.481317,0.434240,0.417848,0.408377,0.447747,0.416867,0.426119,0.421073,0.428044,0.411841,0.417943,0.448486,0.457104,0.458727,0.374959,0.423911,0.458336,0.426959,0.448743,0.463009,0.458091,0.407664,0.436102,0.454378,0.500001,0.427745,0.488201,0.417435,0.456587,0.439418,0.445221,0.418799,0.443568,0.418780,0.437304,0.466749,0.449353,0.475375,0.450613,0.411750,0.440053,0.429658,0.474971,0.457984,0.444879,0.439379,0.420115,0.444009,0.452859,0.982489,0.455829,0.457387,0.444830,0.435982,0.407752,0.429407,0.448960,0.411231,0.436954,0.462708,0.436844,0.433333,0.446893,0.438089,0.443283,0.429536,0.458092,0.425439,0.458686,0.013248,0.581365,0.586328,0.565503,0.570671,0.578409,0.579993,0.572712,0.581150,0.582255,0.569781,0.561424,0.592974,0.588366,0.567837,0.594220,0.597288,0.602189,0.562564,0.583355,0.572099,0.582897,0.580079,0.594118,0.590665,0.568937,0.575379,0.572854,0.533689,0.571688,0.566277,0.555640,0.595174,0.566994,0.538453,0.529712,0.562007,0.560157,0.564247,0.575748,0.570741,0.040973,0.005711,0.538987,0.590774,-0.017522,-0.010893,0.016000,0.584878,0.015213,-0.021058,-0.025463,0.021768,-0.002958,-0.005814,0.007047,-0.006891
3,0.710192,0.438619,0.425303,0.417102,0.597478,1.364453,1.393710,1.370046,2.731340,0.405318,1.418536,1.391275,1.363535,1.335164,1.408290,1.391453,0.111503,0.121751,0.162087,0.153177,0.160141,0.164111,1.105189,1.117074,1.068407,1.087931,1.076100,1.079963,1.392457,1.402069,1.402816,1.361795,0.812865,1.503910,1.482677,1.464747,1.472483,1.446970,1.504770,1.506694,1.452976,1.502230,1.461771,1.490044,1.472219,1.509356,1.508670,1.481154,1.493458,1.455157,1.455536,1.468301,1.452515,1.049794,0.378251,0.403005,0.415258,0.416467,-0.043015,-0.021656,-0.003077,0.008129,-0.026896,-0.022027,0.413516,0.413566,0.417981,0.426728,0.374860,0.440195,0.418425,0.373678,0.381309,-0.015991,-0.037138,0.007234,-0.016522,-0.028037,-0.036013,-0.046571,-0.033945,-0.020072,-0.067690,0.000452,-0.034219,0.033993,-0.043006,-0.015956,-0.020623,0.433797,0.414787,0.418216,0.414002,0.445405,0.380817,0.406875,0.413158,0.399542,0.441320,0.427903,0.430354,0.400340,0.453246,0.410257,0.418152,0.431359,0.411218,0.404342,0.427743,-0.019160,-0.027419,-0.024163,0.394674,0.462875,0.445538,0.422321,0.410023,0.427198,0.408380,0.399745,0.391794,0.388996,0.392858,0.415221,0.381510,0.383460,0.404144,0.397254,0.397368,0.430418,0.432746,0.389930,0.401649,0.362788,0.373371,0.415608,0.358410,0.385310,0.401802,0.396289,0.396069,0.404714,0.382644,-0.002057,-0.052977,0.001125,-0.014817,-0.022907,0.387455,-0.016827
4,3.284696,10.661155,0.843844,0.174971,0.952370,0.220312,1.935217,0.162922,0.173143,0.169864,0.219195,0.179446,0.165323,0.240406,0.177818,0.201734,0.185592,0.167423,0.182371,0.192528,0.160811,0.194128,0.208394,0.157789,0.198783,0.468559,0.166959,0.165162,0.177577,0.155640,0.199915,0.170287,-0.009975,-0.021491,-0.001079,0.024740,0.025090,0.042695,0.040317,0.009672,0.041269,-0.020371,0.013999,0.042186,0.287143,0.322660,0.315815,0.327746,0.013687,0.016091,-0.000744,-0.001166,-0.009782,0.002956,0.009392,0.025217,0.003622,0.017613,0.019583,-0.036091,0.002232,0.011131,0.002207,-0.006177,-0.011792,0.031074,-0.007570,0.006283,0.013316,-0.039635,0.027371,-0.017118,-0.010286,0.045112,-0.027331,-0.013124,0.020439,-0.027549,-0.018318,0.015254,0.010067,0.005235,-0.024042,-0.011998,0.029227,-0.015601,-0.002278,-0.010782,-0.040431,0.011100,0.013643,-0.013282,0.037242,0.428697,0.426124,0.436075,0.395663,0.430305,0.008553,0.003659,-0.013795,-0.009903,0.022584,0.301294,0.318965,0.316073,0.324175,0.304399,-0.003548,0.003840,0.003284,0.268031,0.274943,-0.005741,0.005720,0.036405,-0.016524,0.023926,-0.016663,0.303751,0.299949,0.278072,0.315794,0.015708,0.000846,-0.014638,0.031391,-0.000499,0.339457,0.333910,0.299453,0.297991,0.315824,0.320768,0.278594,0.293344,0.310819,0.307007,0.013314,0.035805,0.014357,0.017469,-0.004430,0.031740,0.002468,0.036154,-0.000505,-0.003002,0.033000,0.017625
5,4.558287,0.360778,0.705305,0.673844,0.699294,0.417787,0.724549,0.637726,0.670358,0.397959,0.417302,0.614678,0.652852,0.427867,0.440760,0.446980,0.421516,0.414264,0.413580,0.416556,0.428926,0.421693,0.395428,0.408637,0.444113,0.385536,0.412060,0.441042,0.457454,0.425530,0.398824,0.455525,0.437384,0.432117,0.443556,0.446070,0.460572,0.408642,0.439346,0.425867,0.452020,0.448356,0.446901,0.439957,0.429528,0.444474,0.435704,0.421575,0.428591,0.429702,0.430248,0.406408,0.421540,0.423661,0.449900,0.459758,0.401020,0.449292,0.477605,0.445673,0.414518,0.439829,1.063508,0.445052,0.415928,0.432338,0.448709,0.473687,0.801279,0.806010,0.798397,0.814758,0.762379,0.773617,0.800788,0.819680,0.806940,0.791751,0.789338,0.771610,0.801832,0.766831,0.762452,0.777775,0.800474,0.801158,0.814825,0.774316,0.790263,0.780298,0.164247,0.152156,0.207925,0.166760,0.173182,0.181543,0.175657,0.160880,0.215629,0.167983,0.178854,0.169544,0.138952,0.177297,0.144493,0.184473,0.196868,0.204608,0.219874,0.187110,0.173900,0.153380,0.196076,0.133850,0.125704,0.184857,0.197723,0.169080,0.185064,0.194066,0.151787,0.201135,0.182735,0.179119,0.161459,0.170427,0.165857,0.173615,0.185948,0.016219,0.000238,-0.031775,-0.017046,-0.038779,-0.037616,0.010578,-0.038177,0.011983,0.032108,-0.046885,-0.017788,-0.005798,0.002527,-0.048700,0.000463,-0.011859,-0.007968,0.025582,-0.030010,0.001174
6,3.076516,0.998872,1.009102,1.013113,2.116235,2.112325,3.577842,1.630500,1.527273,2.399443,2.909577,2.373585,2.098557,1.063356,2.109648,0.571270,0.602281,0.618309,0.586710,0.597876,0.973164,0.641832,0.661819,0.646407,0.603064,0.680395,1.811175,1.772024,1.799899,0.755405,0.801790,1.849772,0.314049,0.460387,0.470067,0.320617,0.460306,0.408915,0.476487,0.437037,0.453326,0.287179,0.285943,0.306308,0.306314,0.287851,0.332479,0.603617,0.607569,0.571488,0.572898,0.607202,0.621087,0.608006,0.585917,0.586794,0.574665,0.586178,0.573678,0.597725,0.597429,0.600143,0.585403,0.607490,0.597279,0.617535,0.598535,0.577089,0.994315,1.003246,1.002166,0.982209,0.425645,0.441982,0.468044,0.448236,0.392978,0.444396,0.024931,-0.005232,0.036539,0.023908,0.009873,-0.000825,0.021001,0.037798,0.043772,0.002274,0.015396,0.004855,0.060760,0.007795,0.007711,-0.022774,0.017489,0.004355,0.001458,0.041330,0.038693,0.030028,0.022032,-0.003618,-0.023983,0.035068,0.012654,0.014432,0.013064,-0.016715,0.020361,0.036689,0.023659,0.050316,-0.016240,0.007338,0.012843,0.017782,0.018213,0.061276,0.030338,0.008252,0.050709,0.036272,0.015939,-0.038591,-0.006026,0.039200,0.005010,-0.017610,0.028927,0.023677,0.022523,0.026850,0.000320,-0.027331,0.066312,0.021110,0.013108,-0.005666,0.026272,0.052422,0.063431,-0.004504,0.027205,0.028553,-0.007364,-0.012689,0.050501,0.012708,0.034688,0.002980
7,2.434522,1.353858,2.372531,2.616154,2.664189,2.188793,3.102140,3.088208,4.201677,0.433574,0.410790,0.445947,0.545692,0.556966,0.394539,0.583807,0.603708,0.584553,0.570404,0.576353,0.594781,0.440614,0.440896,0.422645,0.429653,0.959688,0.969203,0.979474,0.951722,1.002100,0.424658,0.363445,0.985223,1.631785,1.638400,1.637534,1.619868,1.624019,1.647547,1.668649,1.600930,1.633809,1.639409,1.652326,1.681001,1.639302,1.695263,3.036202,2.917447,2.924789,2.935293,2.906421,2.576569,2.045332,2.053569,2.064231,2.070105,2.070792,2.056560,1.060829,1.069234,1.073502,1.050412,1.060338,1.072665,1.053329,1.075854,1.070522,1.036144,1.015657,1.060199,1.050822,1.018319,1.049426,1.040742,1.017510,1.038056,1.070339,1.059369,1.042925,1.030040,1.074164,1.014920,1.049470,1.072333,1.043086,1.064971,1.044097,0.607791,0.603961,0.586971,0.569036,0.633214,0.604041,0.631551,0.587393,0.625942,0.577300,0.628129,0.883529,0.961799,0.929713,0.925492,0.603571,0.584632,0.613182,0.599515,0.592716,0.605876,0.599279,0.621344,0.600796,0.575485,0.944410,0.645037,0.594361,0.559606,0.624652,0.880795,0.962714,0.883430,0.891339,0.918690,0.623909,0.584271,0.620913,0.620609,0.633826,0.631205,0.598952,0.590919,0.599553,0.615405,0.566145,0.607798,0.608502,0.632655,0.627779,0.588258,0.637150,0.595250,0.577512,0.575024,0.608374,0.670747,0.610144,0.599756,0.604088,0.616898,0.631718
8,0.998729,0.970798,3.001264,2.999423,1.028064,0.998634,1.379756,2.482595,2.462260,2.799332,2.998427,3.360322,2.990636,2.014448,0.984461,1.030087,0.962795,0.970068,1.031169,1.005583,1.029124,1.000007,2.007138,1.994549,1.999973,2.010309,1.991473,1.993215,2.012016,1.999912,2.003422,1.984037,1.990889,2.025089,2.001563,2.010223,1.997753,1.991739,2.014171,1.996353,2.982059,2.992553,2.996824,2.022515,1.989570,1.995571,2.000949,2.970998,3.022465,1.990850,2.001033,2.000885,2.162561,2.667706,2.184847,2.152700,2.157955,2.164059,2.135801,2.147623,2.158320,2.195241,2.166907,2.147728,2.135185,2.167228,2.173961,2.163159,2.152066,2.137059,2.176722,2.134794,2.194626,2.718184,2.667159,2.721685,2.718947,2.713732,2.703591,2.720342,2.685995,2.698518,2.685575,2.737585,2.089707,2.124066,2.719910,2.721447,2.704940,2.699981,2.111874,2.655843,2.097984,2.071766,2.113836,2.103035,2.132087,2.107515,1.021989,2.945572,1.011779,1.032454,0.998433,1.000188,0.978265,1.024062,0.992542,0.986046,0.992383,1.013579,0.988759,1.006953,1.010247,0.976601,0.994849,1.010618,1.038535,1.001412,1.023445,0.990303,1.006210,1.011190,1.017573,0.976792,1.002911,0.603164,0.644959,0.618865,0.594134,0.618120,0.568199,0.596947,0.586979,0.632613,0.622111,0.579101,0.574521,0.620162,0.608967,0.568034,0.610794,0.588667,0.620349,0.589722,0.605111,0.575869,0.569808,0.582714,0.593059,0.609865
9,0.930558,0.928145,0.913337,2.871456,2.907198,2.546820,2.911696,2.877159,3.225496,3.208061,2.887589,2.864477,2.894521,2.906996,2.921607,2.413149,2.619478,2.632622,2.598355,2.601356,2.415966,2.426226,2.944596,2.901043,2.898336,2.404423,2.392127,2.374535,2.407966,2.399115,2.412246,2.400220,2.143942,2.164102,2.155619,2.396263,2.403449,2.400198,2.414520,2.302346,2.275508,2.276435,2.191597,2.153679,1.059859,0.616539,0.667812,0.656279,0.642258,0.638130,0.664050,0.681157,0.651079,0.620811,0.638717,0.632078,0.629849,0.603167,0.667322,0.677497,0.641408,0.664221,0.618197,0.657959,0.635495,0.637512,0.651194,0.642435,0.661337,0.528914,0.531521,0.501263,0.958556,0.908668,0.946660,0.374503,0.375619,0.374768,0.525548,0.525231,0.537580,0.535036,0.569077,0.536807,0.530831,0.564666,0.546338,0.492395,0.540553,0.524814,0.543641,0.506975,0.533798,0.527473,0.494379,0.547202,0.528663,0.524421,0.541009,0.526369,0.552156,0.535452,0.533298,0.551392,0.531406,0.550954,0.533252,0.565069,0.546334,0.524602,0.559397,0.526502,0.534623,0.550779,0.515177,0.525187,0.547780,0.516807,0.542571,0.522925,0.518408,0.566298,0.562235,0.535184,0.540323,0.550599,0.525691,0.523460,0.522800,0.544775,0.509675,0.540573,0.552901,0.529987,0.552871,0.520406,0.533415,0.519020,0.513931,0.514155,0.496707,0.528145,0.521389,0.536657,0.556918,0.543259,0.536157,0.532235,0.561335,0.536843
