Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,5.489514,5.506523,5.442534,5.461947,7.126878,7.102414,7.112217,7.147077,8.811360,8.792592,8.776112,8.803495,8.756622,5.476986,4.901032,4.892246,4.881156,4.875968,7.450736,7.452005,7.465828,7.526011,7.495866,7.454796,7.473731,7.459635,7.507700,7.470289,4.891180,4.893883,4.888744,4.902173,4.397433,7.506840,7.502355,7.436224,7.452990,6.214255,6.212617,6.196878,6.191884,6.197695,6.196586,6.214276,6.196913,7.488856,7.453860,7.479743,7.489126,7.466737,7.435315,7.500865,7.484027,7.482082,7.482401,7.481152,7.497052,7.456210,6.201837,6.226854,6.194185,6.198981,6.199700,6.212110,7.506266,6.169368,6.178574,6.183614,6.204231,6.200741,6.191349,6.224399,6.206695,4.404978,4.400851,4.346105,4.417015,4.398479,4.414468,4.393428,4.430449,4.367398,4.393822,4.406459,4.390761,4.392900,4.360394,4.386371,4.355232,4.414294,4.380267,4.442445,4.415590,4.396717,4.367699,4.413876,4.379455,4.392978,4.428066,4.393662,4.418539,4.393574,4.401757,4.396431,4.390542,4.437098,4.369478,4.396094,4.444999,4.416376,4.387995,4.374300,4.397251,4.394758,4.414563,4.394763,4.432335,4.399162,4.420957,4.403900,4.378525,4.418279,4.373732,4.425805,4.376704,4.421348,4.342805,4.368573,4.387921,4.384228,4.410435,4.388061,4.370593,4.392144,4.401777,4.432310,4.396599,4.411080,4.429725,4.395086,4.373331,4.434496,4.430061,4.371769,4.389424,4.430550,4.412316,4.400277,4.401097,4.425828
1,5.461007,5.461650,7.505866,7.523240,7.506687,4.414959,4.401542,4.385885,4.425195,4.418823,4.401733,4.457362,4.438637,4.386262,4.415007,4.406065,4.403753,4.410389,4.440460,4.415736,4.393385,4.460624,4.406574,4.414499,4.433612,4.421009,4.442452,4.410350,4.406540,4.424846,4.438924,4.389691,4.404338,4.422146,4.415802,4.416830,4.415775,4.418970,4.433909,4.398851,4.392649,4.430718,4.387851,4.392921,4.413052,4.376720,4.382203,4.417692,4.429564,4.459680,4.374783,4.422014,4.372057,4.441983,4.367082,4.429495,4.443919,4.429758,4.401042,4.405592,4.435906,4.420320,4.426953,4.369943,4.375989,4.423605,4.449215,4.424483,4.459235,4.349070,4.439257,4.445137,4.411915,4.430247,4.394448,4.426395,4.446913,4.383985,4.398831,4.423127,4.403491,4.416120,4.372249,4.421853,4.437348,4.427448,4.425032,4.427766,4.420312,4.371135,4.406829,4.404347,4.433687,4.412398,4.401048,4.424253,4.423426,4.435546,4.417662,4.427766,4.406719,4.400469,4.452103,4.439203,4.395528,4.389270,4.398563,4.434464,4.406959,4.416309,4.402987,4.420399,4.435495,4.410150,4.384543,4.404094,4.387739,4.408383,4.395482,4.421133,4.432985,4.412306,4.438947,4.394272,4.405477,4.419735,4.411150,4.467423,4.385194,4.415885,4.412993,4.409836,4.414756,4.386340,4.439293,4.444599,4.403931,4.425018,4.412259,4.396964,4.437454,4.420754,4.407050,4.416026,4.413828,4.397685,4.414920,4.438464,4.424478,4.373978
2,5.488673,5.446571,5.486422,5.457808,5.461950,5.442210,5.519685,5.459548,5.486028,5.459042,5.420631,4.398320,5.422187,5.491982,5.469063,5.443415,5.422944,5.465687,5.418024,4.440365,4.389389,4.418549,4.448665,4.417488,4.465400,4.386178,4.378778,4.368074,4.430019,4.389274,4.403301,4.380300,4.392762,4.376717,4.382704,4.401832,4.453874,4.452865,4.364266,4.389148,4.425414,4.398499,4.410233,4.449013,4.416792,4.381833,4.392866,4.424633,4.463224,4.391400,4.433434,4.360182,4.422259,4.409110,4.421677,4.393923,4.419772,4.369034,4.411061,4.411468,4.417718,4.445338,4.416689,4.381723,4.406479,4.408140,4.426446,4.418573,4.400141,4.404598,4.397100,4.419267,4.426059,4.416933,4.420444,4.425240,4.403656,4.398429,4.384680,4.402152,4.437433,4.399677,4.379567,4.427435,4.387342,4.384385,4.394269,4.397803,4.426665,4.405149,4.416214,4.398016,4.426095,4.417409,4.403928,4.402234,4.382184,4.373379,4.404724,4.398089,4.405963,4.389936,4.406066,4.379789,4.380997,4.406884,4.419325,4.410032,4.406729,4.421879,4.417980,4.384636,4.404011,4.399516,4.413164,4.396771,4.407730,4.412818,4.382346,4.410943,4.389227,4.364384,4.410930,4.382544,4.411635,4.430885,4.401980,4.387918,4.364562,4.398346,4.400392,4.393385,4.416446,4.417622,4.439494,4.399422,4.377261,4.431745,4.388433,4.396308,4.424062,4.406445,4.425228,4.384625,4.365723,4.420897,4.391652,4.393983,4.413371,4.400563
3,5.460090,5.456521,5.449839,5.451772,5.436734,4.373976,4.409314,4.364326,4.374277,4.384460,4.382694,4.363940,4.373038,4.343176,4.419793,4.398154,4.351786,4.338007,4.374007,4.359805,4.385569,4.369969,4.414693,4.436981,4.378603,4.877194,4.360846,4.375678,4.406480,4.388141,4.411004,4.380290,4.411510,5.882988,5.882652,5.880489,5.885094,5.854674,5.919230,4.416805,4.355203,5.906279,4.380382,4.409858,4.377721,4.418302,4.411073,4.389401,4.393766,4.350411,4.374568,4.374691,4.383209,4.375530,4.337020,4.386388,4.384848,4.382401,4.335372,4.402999,4.364110,4.420004,4.366795,4.380419,4.385066,4.382130,4.379972,4.376609,4.344447,4.419171,4.384971,4.343230,4.335462,4.379448,4.353209,4.387627,4.357075,4.373937,4.356585,4.358916,4.363255,4.376474,4.323695,4.423477,4.375549,4.438042,4.362911,4.401734,4.379915,4.406739,4.392722,4.406074,4.363730,4.421194,4.341313,4.373052,4.371389,4.373387,4.399849,4.409078,4.407327,4.368398,4.430655,4.381212,4.403815,4.400406,4.376129,4.372972,4.395598,4.385955,4.382281,4.372196,4.360332,4.423262,4.414919,4.385683,4.391061,4.419306,4.367598,4.383445,4.368317,4.376400,4.378012,4.421425,4.376392,4.365578,4.369363,4.360445,4.368503,4.407817,4.416835,4.372705,4.383463,4.346252,4.366340,4.410615,4.357754,4.377858,4.379889,4.383958,4.376235,4.382012,4.355179,4.425023,4.354881,4.421349,4.394233,4.388540,4.373506,4.405678
4,5.463204,8.490140,7.529008,5.888850,5.919382,4.458475,6.415763,4.371076,4.409208,4.368282,4.437833,4.412347,4.881786,4.896793,4.898254,4.890222,4.894271,4.900264,4.876399,4.878325,4.860899,4.906773,4.914671,4.870438,4.421637,4.443752,4.379744,4.398658,4.415620,4.375060,4.435727,4.365792,4.412231,4.380068,4.424302,4.421762,4.424185,4.445213,4.451566,4.400012,4.429543,4.395590,4.420011,4.418350,4.385623,4.438660,4.440035,4.446738,4.398465,4.440436,4.400153,4.397437,4.378783,4.421361,4.415704,4.421224,4.411893,4.406981,4.420140,4.368510,4.422985,4.434577,4.405184,4.398561,4.405685,4.421866,4.377956,4.393470,4.417686,4.366514,4.427101,4.397083,4.410512,4.454604,4.369140,4.385976,4.432506,4.376598,4.372161,4.414871,4.419383,4.384560,4.372246,4.392153,4.415540,4.389399,4.392040,4.381822,4.353547,4.432645,4.407866,4.402544,4.460009,4.404753,4.412204,4.441082,4.388619,4.434389,4.407490,4.415169,4.391356,4.408906,4.424105,4.387027,4.433101,4.406407,4.419868,4.388071,4.390045,4.419170,4.415424,4.367694,4.367028,4.394409,4.402241,4.440356,4.392237,4.416403,4.386809,4.403249,4.410771,4.358025,4.400411,4.422708,4.422340,4.371404,4.446953,4.417555,4.431648,4.438425,4.383069,4.403521,4.403168,4.424964,4.362383,4.397338,4.401309,4.393317,4.434754,4.428049,4.393336,4.430932,4.415411,4.426290,4.416252,4.405025,4.413125,4.395612,4.427887,4.422147
5,5.426332,5.408374,5.470935,5.432412,5.479544,5.446550,5.481590,5.401669,5.429172,4.367562,4.395306,4.381209,4.413297,4.379037,4.407008,4.417398,4.380441,4.383348,4.384819,4.382759,4.429169,4.398525,4.345721,4.371874,4.405544,4.364923,4.384051,4.407433,4.443916,4.390371,4.364649,4.394239,4.412099,4.416394,4.416486,4.405931,4.419239,4.397262,4.398823,4.394644,4.418156,4.410697,4.423323,4.421957,4.405478,4.411587,4.396239,4.396879,4.405533,4.408466,4.386409,4.373582,4.403648,4.393149,4.413584,4.421195,4.359116,4.448218,4.431745,4.417573,4.394078,4.387915,4.400414,4.409777,4.379144,4.418765,4.417019,4.444957,4.386608,4.411604,4.386657,4.402573,4.369150,4.352658,4.389494,4.450173,4.422877,4.398475,4.373688,4.363426,4.419667,4.353848,4.370442,4.371679,4.387182,4.401308,4.407945,4.350879,4.398783,4.372475,4.369515,4.371002,4.429131,4.393779,4.388172,4.397656,4.416995,4.392526,4.436756,4.388734,4.423696,4.390994,4.355820,4.393627,4.376519,4.415448,4.423283,4.424982,4.445045,4.401864,4.395917,4.376873,4.402306,4.353371,4.347765,4.401567,4.412725,4.392931,4.407696,4.404653,4.388283,4.433111,4.419288,4.388987,4.386340,4.390389,4.371306,4.394170,4.401392,4.394622,4.397163,4.359935,4.361451,4.372489,4.370177,4.430978,4.356686,4.420901,4.418767,4.366664,4.397673,4.393954,4.405956,4.352668,4.399193,4.382999,4.412979,4.412228,4.373071,4.427131
6,8.794427,8.807116,7.551224,5.911666,5.947064,4.430655,6.427169,6.410210,6.406739,6.393180,6.405947,6.383457,5.922817,6.413860,6.387777,6.117221,6.107593,6.110098,6.098128,6.100884,6.136503,6.161491,6.094081,6.091557,6.081574,4.907702,4.904445,4.876618,4.881796,4.876812,4.924585,4.920425,4.899264,4.923066,4.959882,4.892114,4.947626,4.886401,4.915379,4.870304,4.908307,4.895175,4.388730,4.414735,4.428467,4.377571,4.433271,4.421872,4.421155,4.400618,4.401474,4.410353,4.457969,4.428965,4.397345,4.392063,4.386803,4.409084,4.365033,4.403089,4.414005,4.427840,4.427151,4.405875,4.405687,4.448800,4.409736,4.378904,4.406327,4.413652,4.414569,4.391244,4.418258,4.432111,4.443472,4.442286,4.372680,4.427904,4.426051,4.412866,4.421453,4.428547,4.431932,4.414854,4.401393,4.422910,4.448120,4.394598,4.422677,4.404304,4.449083,4.402760,4.410573,4.396804,4.400451,4.399076,4.402967,4.458365,4.444066,4.409356,4.420318,4.388792,4.390266,4.442845,4.419848,4.413811,4.415238,4.388409,4.431045,4.442264,4.421925,4.464489,4.378074,4.421813,4.411190,4.446834,4.425406,4.448712,4.446044,4.417267,4.445315,4.428415,4.427752,4.366761,4.414348,4.432923,4.394926,4.395250,4.428067,4.427100,4.416505,4.439883,4.402655,4.373594,4.465561,4.408217,4.384473,4.410611,4.426130,4.441032,4.457727,4.408020,4.456498,4.431330,4.412804,4.380109,4.440376,4.411981,4.423408,4.411736
7,5.459799,5.462245,5.444251,5.428062,5.466374,5.471206,5.445086,5.444198,5.494068,4.403793,4.363743,4.420500,4.394780,4.401838,4.363150,4.396171,4.437839,4.402779,4.386676,4.393348,4.408570,4.411519,4.395566,4.399170,4.399552,4.353617,4.376948,4.393184,4.354151,4.416604,4.414111,4.346099,4.404777,4.413059,4.408513,4.393323,4.428949,4.406700,4.407705,4.400689,4.367586,4.400825,4.368929,4.382117,4.417931,4.383705,4.407139,4.400424,6.191097,6.218533,4.414796,6.185142,6.220556,6.184418,6.225855,6.191185,6.158244,6.194629,6.177616,6.222609,6.234686,6.211025,6.200184,6.195275,6.190249,6.194771,5.913470,6.196193,6.177951,6.163923,5.930292,4.407912,5.857093,6.214126,6.193925,6.151353,6.175768,6.213958,6.202102,6.193002,6.183778,6.199703,6.155264,4.404889,4.429094,4.388060,4.405615,4.386986,4.388216,4.403340,4.366657,4.348611,4.431881,4.395041,4.422751,4.378864,4.414171,4.362377,4.418572,4.370441,4.446794,4.412913,5.930849,5.894920,5.870253,5.904737,5.897810,5.892569,5.910402,5.883020,5.916697,5.897287,5.901687,5.922767,5.932226,5.892016,5.829919,5.926322,5.873189,5.951965,5.875727,5.885545,5.909147,5.916787,5.901911,5.896414,5.897878,5.907625,5.889230,5.874849,5.901334,5.897817,5.887941,5.881491,5.876411,5.908980,5.916402,5.898949,5.874393,5.921014,5.869775,5.898914,5.884582,5.909346,5.928680,5.897553,5.894350,5.903488,5.904557,5.912801
8,5.483689,5.436003,5.452126,5.476026,5.483610,5.478857,5.432558,5.463419,5.435280,5.504664,5.471604,5.459146,5.459457,4.421432,4.411285,6.139378,6.117588,6.076984,6.096289,6.099749,6.122916,6.101422,6.104401,6.118751,6.108042,6.133053,6.099835,6.127691,6.125647,6.083991,6.125261,6.090607,6.066165,6.131203,6.114865,6.134068,6.114778,6.130564,6.129861,6.089340,6.093550,6.104406,6.109688,6.149563,6.105011,6.081660,6.100160,6.076859,6.141397,6.081319,6.107436,6.115016,6.094756,6.072866,6.153709,6.110020,6.119052,6.094807,6.098148,6.109594,6.081256,6.125215,6.088485,6.082754,6.078446,6.129441,6.118800,6.084194,6.138784,6.092096,6.140035,6.053286,6.133692,6.107224,6.089452,6.156198,6.126221,6.139648,6.105503,6.107643,6.081248,6.107892,6.089546,6.139274,6.120613,6.148262,6.138186,6.120081,6.098605,6.126251,6.137177,6.043955,6.124305,6.095455,6.119839,6.089726,6.167747,6.393692,6.435017,6.428079,6.415752,6.144599,6.414089,6.414643,6.083416,4.436461,4.397991,4.407499,4.418559,4.414065,4.393750,4.418653,4.422296,4.398371,4.378396,4.412969,4.447125,4.416982,4.433652,4.385215,4.440092,4.411262,4.401762,4.392744,4.407585,4.428445,4.458208,4.457251,4.435183,4.416356,4.350500,4.423325,4.420042,4.465902,4.454873,4.406868,4.398321,4.444906,4.438705,4.387719,4.449250,4.417273,4.432866,4.420713,4.430286,4.395414,4.385948,4.389116,4.399101,4.407402
9,5.417534,8.704769,8.678829,5.824110,5.853706,4.382639,4.373503,4.332655,6.362419,6.376273,4.335852,4.308162,6.362602,4.341377,4.400697,6.065417,6.064975,6.071266,6.037465,6.047219,6.031330,6.077425,6.112317,4.353519,6.084703,6.045589,6.054853,5.990799,6.040536,6.058611,6.054017,6.044009,6.034037,6.066238,6.038807,6.032482,6.082065,6.052929,6.042974,6.057549,6.015427,6.018806,6.054414,6.061428,6.046588,4.326651,4.359318,4.365346,4.349028,4.345068,4.365565,4.389847,4.354527,4.354377,4.332228,4.340720,4.334500,4.296431,4.376367,4.372242,4.326136,4.346612,4.327799,4.368703,4.350261,4.347379,4.367635,4.336129,4.362277,4.343957,4.361856,4.322212,4.361270,4.308596,4.360521,4.346522,4.368183,4.349703,4.352932,4.356840,4.350168,4.343696,4.392978,4.353082,4.363378,4.379137,4.342997,4.314874,4.374730,4.354388,4.361219,4.354571,4.367118,4.349321,4.301908,4.384161,4.315470,4.334024,4.353021,4.348702,4.375497,4.372373,4.372047,4.391227,4.341379,4.392289,4.361037,4.394128,4.401572,4.338249,4.386711,4.357911,4.356500,4.385332,4.336045,4.342500,4.351042,4.346289,4.362799,4.356468,4.338298,4.391886,4.384639,4.349372,4.370937,4.370356,4.324840,4.352359,4.355508,4.362582,4.341528,4.355156,4.363620,4.341109,4.387286,4.340762,4.366584,4.324123,4.326996,4.327617,4.304476,4.334430,4.351057,4.354224,4.367428,4.352743,4.362388,4.370756,4.385233,4.368601
