Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.739623,1.780963,1.902948,3.746054,2.337355,3.124231,1.067154,2.088864,1.234718,1.664804,1.738399,1.803927,1.170568,2.088877,1.958680,1.567850,2.148032,2.400688,1.863725,2.102829,1.925130,1.610325,1.895553,1.832639,1.938353,1.519607,0.763158,1.513048,1.470955,1.687318,1.367585,1.248363,0.584916,0.568549,0.586885,0.601414,0.587227,0.576656,0.574858,-0.027528,0.595350,-0.017283,-0.035343,0.007112,-0.012926,-0.024021,-0.046218,-0.024279,-0.039031,-0.035283,-0.054351,-0.052079,-0.032503,-0.030161,-0.035334,0.009032,-0.014320,-0.007583,-0.006029,-0.018204,-0.015010,-0.019208,-0.013802,0.004483,-0.021656,0.038606,-0.012359,-0.006588,-0.057797,0.010983,0.151715,-0.004281,0.007149,-0.014181,-0.025958,-0.010522,0.000141,-0.018703,-0.031350,-0.052479,-0.047508,-0.007804,-0.019377,-0.036422,0.014210,0.002147,-0.004886,-0.029320,-0.024153,0.163844,-0.003053,-0.019506,0.004770,-0.002095,0.014995,0.007853,-0.026046,-0.033435,-0.041050,-0.025224,-0.008779,0.158422,-0.001129,0.035720,-0.016187,-0.024623,-0.005452,-0.006389,-0.057880,-0.031536,-0.007007,-0.033314,-0.027164,-0.010219,-0.022728,-0.027019,-0.012192,-0.001281,-0.019031,0.001874,-0.057952,0.174165,0.013300,0.006262,-0.052683,-0.024101,-0.008970,-0.019931,-0.005493,-0.017887,-0.046910,-0.014694,-0.058064,-0.013190,-0.012502,-0.023224,-0.015665,-0.007610,0.279999,-0.026665,-0.019655,0.013718,-0.054368,-0.005901,-0.009906,-0.007740,0.008856,-0.019719,-0.009804,-0.017486
1,3.349860,3.547276,2.665859,1.384296,1.808298,2.918856,2.876455,2.429385,0.231350,0.885354,0.153303,-0.069342,0.344079,0.088779,0.100084,0.081730,0.101344,0.583203,0.571807,0.656442,0.342626,0.289918,0.580831,0.564076,0.695479,0.708582,0.334681,0.366401,0.634256,0.445024,0.688740,0.529908,0.753432,0.448995,1.022295,0.804769,0.815285,0.126020,0.832758,0.630026,0.825273,0.617805,0.690163,0.453516,0.661840,0.478797,0.822515,1.142198,0.915963,0.628737,0.575999,0.581110,0.575957,0.091328,0.573569,0.620087,0.635279,0.408277,0.673494,0.547903,0.665586,0.591238,0.830486,0.546099,0.550782,0.537198,0.533834,0.075100,0.074565,0.041173,0.586376,0.087933,0.595482,0.557253,0.078086,0.105709,0.565798,0.793473,0.583240,0.069264,0.082422,0.090607,0.104719,0.093335,0.892619,0.100519,0.081939,0.086789,0.094523,0.090602,0.108354,0.087238,0.092025,0.076552,0.093278,0.101772,0.086193,0.082685,0.094413,0.103230,0.066921,0.088512,0.068872,0.101101,0.422695,0.067745,0.069221,0.104449,0.090230,0.085621,0.112763,0.101818,0.081746,0.102007,0.111235,0.082455,0.129650,0.130897,0.088744,0.107244,0.112370,0.097950,0.097399,0.107469,0.059327,0.096798,0.085784,0.079600,0.140231,0.112714,0.097883,0.083510,0.079042,0.093857,0.073766,0.074278,0.089187,0.062750,0.133221,0.071101,0.113354,0.082970,0.100246,0.098728,0.096338,0.080839,0.121806,0.091049,0.072646,0.079015
2,3.251458,2.270208,3.142978,1.235684,4.217772,1.599872,3.063309,2.643216,5.007973,2.403796,1.781739,0.647794,0.373889,0.385198,0.382929,0.006747,0.374193,0.005991,0.021185,-0.002334,0.016082,0.056230,-0.010435,0.166244,0.002674,0.152977,0.194127,0.168170,0.011835,0.117679,0.146129,0.105393,0.105608,0.087435,0.123319,0.107813,0.125974,0.081302,0.078242,0.036205,0.066367,0.025795,0.025705,-0.030183,0.008907,0.077251,0.010340,0.013809,0.003487,0.026064,-0.015817,0.168990,0.023704,0.030109,0.001587,-0.035756,0.032910,-0.012174,0.007154,-0.004433,0.007439,-0.008640,0.009948,-0.020380,0.012114,0.016261,0.008095,0.017574,0.000709,-0.000854,0.006577,0.501463,-0.004394,0.428843,0.006047,0.010530,0.025934,1.568091,0.180193,0.000696,0.112305,0.034487,0.017676,0.006972,-0.022372,0.081670,0.138226,0.132755,0.118680,-0.020475,0.016637,-0.017789,-0.007089,-0.009754,0.362114,-0.020438,-0.034127,0.029333,-0.010531,0.034266,-0.009637,-0.018198,0.052921,0.014232,0.021925,-0.014859,0.344556,0.028355,0.011881,-0.020981,0.049710,0.015025,0.032972,0.007267,0.008136,0.000473,0.034409,-0.001577,-0.006967,0.001110,0.008076,0.030145,0.016270,-0.015609,0.016391,-0.009201,-0.004206,0.008736,-0.013434,0.009425,-0.005121,0.006703,-0.012439,-0.038457,-0.014209,-0.001667,-0.011549,0.030953,-0.009324,-0.012319,0.011680,0.024657,0.030455,0.007414,0.029517,-0.015146,-0.040597,-0.023340,0.004669,0.009078
3,1.627355,2.938300,2.897901,4.481720,0.990165,1.888753,0.982810,1.112116,0.024189,1.042411,0.153398,0.773155,0.232348,0.192134,0.027274,1.201516,1.047236,0.275397,1.422135,0.604405,0.631965,1.127351,-0.200402,0.246044,0.817687,0.825476,0.190744,0.149338,0.139427,0.540835,1.360167,0.831127,0.785914,0.225905,-0.212631,0.217159,0.102092,0.882799,-0.163859,0.134742,0.158588,0.093241,-0.228232,-0.195994,-0.202948,-0.191758,-0.192644,-0.211383,-0.246611,-0.218418,-0.208507,0.148507,-0.171176,-0.207764,-0.221320,0.492910,0.600999,1.015377,-0.196725,-0.197193,0.152818,-0.195533,-0.192126,-0.221674,-0.190703,-0.230766,-0.194724,-0.200000,-0.193966,0.045678,-0.234552,-0.215959,-0.232222,0.013926,-0.003911,0.003551,-0.232097,-0.192705,-0.194743,-0.209944,-0.202704,-0.199501,-0.205789,-0.226030,-0.204295,-0.192926,-0.219677,0.104389,0.083651,0.104341,-0.175049,-0.243531,-0.201689,-0.213260,-0.203679,-0.229435,0.096710,0.102458,0.082133,0.124372,0.078665,0.856087,0.104036,0.108333,0.085604,1.789907,0.406178,0.372856,0.590138,0.072471,0.106693,0.086913,0.950371,0.107673,0.107545,0.085993,0.120684,-0.224614,-0.013411,-0.017500,-0.000655,-0.024818,0.511932,0.036256,-0.017244,0.660079,0.631652,1.488923,1.177785,0.443153,0.430515,1.193044,1.142456,1.194122,0.765667,0.815513,0.830420,0.009261,-0.001558,-0.012228,0.033042,0.474737,-0.002273,-0.004244,0.019251,-0.192721,0.021128,0.467603,0.464689,0.468277
4,3.435842,5.848933,1.159144,0.832064,5.667328,1.759780,0.925873,1.586755,0.616168,1.512248,1.670939,0.522017,1.891149,1.575565,1.695012,2.071726,0.362558,0.360617,0.347038,0.132908,0.097631,0.556788,0.915237,1.431633,0.901447,0.377220,0.288197,0.274123,0.482211,0.216042,0.393002,0.388104,-0.079420,-0.066242,0.289430,-0.064867,0.413355,0.154448,-0.071295,0.379596,0.333661,0.593436,0.341062,0.172063,-0.057259,0.079283,0.079695,0.733519,0.086102,0.231890,0.738153,0.137760,0.345479,0.270728,0.397293,0.743046,0.255994,0.062850,0.106353,0.060437,0.062861,0.064787,0.075233,0.054703,0.055112,0.061961,0.043461,0.078792,0.068869,0.028101,0.092994,0.080033,0.067315,0.046930,0.076216,0.066594,0.053411,0.078410,0.064502,0.076044,0.069513,0.062331,0.060867,0.046031,0.056162,0.078457,0.062654,0.094122,0.080356,0.055480,0.554896,0.088398,0.047172,0.033599,0.104468,0.071387,0.082294,0.101948,0.051680,0.078782,0.052050,0.023396,0.073590,0.069890,0.076947,0.073964,0.044450,0.093347,0.087037,0.047336,0.061991,0.049503,0.064715,0.048290,0.067794,0.041649,0.071559,0.081735,0.073235,0.044543,0.069370,0.065766,0.070282,0.074301,0.070693,0.070693,0.056719,0.071444,0.063523,0.042527,0.073889,0.066124,0.073129,0.058081,0.057854,0.057761,0.082306,0.073903,0.071724,0.057354,0.086833,0.065898,0.058039,0.086233,0.035378,0.084590,0.016996,0.060812,0.056341,0.067853
5,5.076191,3.743960,1.433473,3.031133,4.148048,1.268129,0.829236,0.907975,1.914538,1.227260,2.340206,1.606318,1.538961,0.680059,0.482634,0.358419,0.344668,1.043449,0.295880,0.850453,0.447150,0.460869,0.481516,0.532358,0.473256,0.494912,0.477783,0.897051,0.474535,0.439138,0.130057,1.773456,0.700626,0.190324,0.497097,0.134885,0.289197,0.696619,0.488148,1.133818,1.156401,0.818076,0.505961,0.174888,0.014680,0.046454,0.190298,0.032125,-0.038214,0.193704,-0.019381,0.478538,0.154541,0.454300,0.605513,0.127583,0.140824,0.141926,0.135861,0.157852,0.134573,0.107704,0.161300,0.130947,0.137471,0.144073,0.100591,0.158795,0.123913,0.085593,0.115992,0.141477,0.122578,0.177048,0.086039,0.133680,0.131226,0.160870,0.143390,0.118772,0.137239,0.298710,0.132225,0.120742,0.132864,0.092591,0.154925,0.259452,0.115832,0.134027,0.157853,0.256389,0.047224,0.217803,0.223917,0.090687,0.090149,0.251903,0.652502,0.639523,0.670678,0.662598,0.648050,0.282453,0.292719,0.219438,0.203706,0.224623,0.200195,0.094008,0.221374,0.263986,0.224183,0.262807,0.138296,0.124317,0.112850,0.131716,0.098294,0.223653,0.221121,0.237444,0.222743,0.187419,0.149890,0.153613,0.149390,0.126488,0.138975,0.237546,0.146549,0.224566,0.250632,0.280200,0.324236,0.134895,0.156710,0.200404,0.119286,0.297543,0.139416,0.137582,0.154731,0.099016,0.119249,0.137034,0.223608,0.243106,0.249068,0.212308
6,3.545715,4.563794,5.367435,0.419385,0.906346,2.237436,0.588678,1.176780,1.031039,1.061660,1.824050,0.907514,0.927373,0.555578,1.677665,1.712590,0.893574,0.940628,3.097617,1.305966,1.448125,1.485527,1.582119,1.369785,2.526201,1.309767,1.302901,1.550174,1.397002,1.352431,1.369818,1.258665,1.333133,1.205946,0.779427,1.344475,0.818140,0.761476,0.812349,0.778964,0.701590,0.744805,0.781799,0.701040,0.403148,0.446247,0.491215,-0.241802,-0.246076,-0.273992,-0.281826,-0.273032,-0.289419,-0.273274,-0.229976,-0.255524,-0.228874,0.045887,0.064144,0.010523,0.001214,0.046437,0.069662,0.034140,0.106332,0.033385,-0.232139,-0.230958,-0.219871,-0.272262,-0.249283,-0.253552,-0.261531,-0.261179,-0.255327,0.070147,0.070490,0.119552,-0.250526,-0.255631,-0.242750,-0.197172,-0.267272,-0.214485,-0.253361,-0.232674,-0.252832,-0.247602,-0.230500,-0.236917,-0.246315,-0.282139,-0.241522,0.047083,-0.238377,0.048436,-0.271777,-0.266864,-0.252134,-0.231959,-0.296334,0.073828,0.047415,0.087238,0.071652,0.042402,-0.259028,0.086531,0.059099,-0.203303,0.053393,0.065838,0.088244,0.078156,0.079225,0.085273,0.099095,0.068174,0.023749,0.139743,0.103659,0.082109,0.112522,0.099663,0.167438,0.100947,0.106049,0.038609,0.017190,0.031825,0.084160,0.050557,0.024355,0.053458,0.020580,0.058266,0.048927,0.027465,0.048009,0.015034,0.322236,0.053492,0.055500,0.068014,0.054835,0.021309,0.070622,0.010895,0.034645,0.049016
7,0.458753,8.742294,5.117651,0.814849,2.496916,0.221176,1.151233,1.755229,1.134350,1.294325,1.035404,1.926460,0.904561,0.680691,1.089844,1.842692,0.115726,1.786676,0.047493,0.262318,0.010311,1.074785,1.078387,2.036151,0.813530,0.032567,0.691423,0.428826,1.347585,0.182160,0.166429,0.171761,0.131349,0.165479,0.275467,0.239485,0.304036,0.261590,0.394744,0.335513,0.359328,0.331033,0.365231,1.783910,-0.000116,0.036362,0.766485,0.765063,0.784833,0.754024,0.851706,-0.013150,0.023244,0.011553,0.861628,0.987903,1.012206,0.328712,1.150703,1.177444,1.862003,1.840255,1.582060,1.512403,1.531112,1.287108,2.228921,1.312474,0.471202,0.463915,0.481165,0.461245,0.469261,0.459573,0.465219,0.484292,0.484119,1.034625,0.452339,0.475312,0.454166,0.463809,0.788355,0.835034,0.840878,0.822526,0.851172,0.801254,0.800767,0.501903,0.788484,0.868720,0.818371,0.471064,0.461103,0.900807,0.482628,0.512803,0.738003,0.432133,0.633895,0.673729,0.656072,0.466042,0.811487,0.840034,0.858274,0.826948,0.829680,0.014880,0.008940,0.003829,0.373568,0.026466,-0.012937,0.011201,0.065487,0.018030,0.158745,-0.011525,-0.005735,-0.000792,0.028610,0.042199,0.037373,0.001831,0.023131,0.001152,-0.015115,0.012485,-0.003880,0.614972,0.659599,0.006768,0.659090,0.019153,0.022364,0.038759,-0.027712,0.025511,-0.007980,0.032569,0.008298,0.018243,-0.012356,0.011239,0.031369,-0.003635,0.012717,-0.043464
8,2.497967,2.731440,3.906384,3.022965,3.785980,0.662607,1.424168,-0.017896,0.270578,-0.136251,0.842752,0.458819,0.651249,0.847863,1.166700,1.203170,1.180746,-0.025190,1.058462,0.547718,0.484741,0.602435,0.126386,0.774033,0.747197,0.321279,0.771305,0.345613,0.166485,-0.063118,-0.035152,0.402984,-0.051239,-0.018813,-0.075545,-0.014620,0.353042,0.531711,0.350660,1.109936,0.056899,1.665399,0.511413,1.239302,1.440722,0.853388,0.152275,0.337843,0.161463,0.235783,0.029891,0.069102,0.043692,0.085017,0.621209,0.283139,0.300417,0.385316,0.654945,0.065766,0.180469,0.476979,0.574766,0.279372,1.530140,1.273285,0.915004,0.844975,0.412109,1.084249,0.429514,0.441300,0.406235,0.407389,-0.003593,0.002894,0.880515,0.877114,0.063267,0.029390,-0.084932,-0.018402,-0.021728,0.016102,0.032725,0.013616,0.014415,-0.036435,0.016744,0.341320,0.001390,-0.014425,-0.006013,0.016876,-0.060620,-0.017854,-0.043793,-0.012973,-0.012248,0.008114,0.001210,-0.011422,-0.028033,-0.012879,-0.021656,-0.010355,-0.001276,0.005668,-0.015004,-0.062682,0.013316,0.002097,-0.007873,-0.022829,-0.009666,-0.008301,-0.030423,-0.031979,-0.054389,0.006194,-0.009877,-0.005826,-0.004083,-0.032038,-0.026231,0.005962,-0.018260,0.002485,-0.002339,0.021843,0.008986,-0.006426,-0.000804,-0.014571,-0.035511,-0.014314,-0.019277,0.016215,-0.006930,0.017592,0.022719,-0.001060,-0.004339,-0.012851,-0.005814,-0.019638,-0.016013,0.005205,-0.049472,-0.040649
9,5.758576,2.703201,8.289158,3.474782,3.949593,3.867098,0.729862,0.672063,0.640450,0.711930,0.754217,0.729875,0.688792,0.304252,0.317778,0.379551,-0.023129,0.017267,0.005559,0.206275,0.180366,-0.014255,-0.021382,0.275189,0.254882,0.317992,0.312577,0.019377,-0.006376,-0.016046,0.034413,0.006052,-0.020868,-0.004993,0.012436,-0.019532,-0.042573,-0.039134,-0.069170,-0.255158,-0.237369,0.465757,0.376139,-0.261904,0.111344,0.085461,0.051126,-0.010193,0.086257,0.448486,0.102085,0.272426,0.535785,0.219219,0.536094,0.213567,0.575150,0.569405,0.511103,0.195815,0.177115,0.209141,0.407824,0.867048,1.280554,0.412958,0.428228,0.393674,0.858639,0.412556,0.902218,0.411155,1.174648,0.446706,1.198510,0.674244,0.398418,0.702227,-0.144684,-0.089457,-0.087825,-0.095963,-0.101460,-0.112308,-0.081278,-0.100414,-0.060921,-0.087257,-0.060976,-0.089479,-0.116193,-0.105527,-0.079591,0.705852,-0.073760,-0.100851,-0.078012,-0.085872,-0.077455,-0.105135,-0.074544,-0.132577,-0.065786,0.153085,0.165102,0.180414,0.144179,0.153291,0.154002,0.123786,0.142973,0.148791,0.138943,0.137371,0.141177,0.099027,0.151170,0.182084,0.148983,0.150982,0.157402,0.855373,0.161559,0.152887,0.165988,0.155344,1.365110,1.364949,1.039218,0.913764,1.041232,1.337330,0.898278,1.368852,0.828165,0.853158,0.827824,0.833924,0.815013,0.829039,0.874295,-0.011061,-0.042868,-0.019599,-0.016055,-0.049083,-0.053694,-0.005143,-0.064671,-0.011179
