Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
independent,1,16,55_52_112_134_33_1_140_34_11_139,49.758494
independent,1,17,51_116_67_35_88_53_127_7_69_70,51.634595
independent,1,18,119_114_110_92_80_54_27_74_130_38,56.208356
independent,1,19,129_91_16_102_93_45_135_3_65_75,51.425915
independent,1,20,111_94_104_76_57_73_0_32_40_121,55.836282
independent,1,21,48_65_70_24_50_7_132_148_2_62,52.586709
independent,1,22,56_103_25_63_107_69_106_62_36_8,51.580225
independent,1,23,107_17_144_78_1_140_82_69_101_115,53.264797
independent,1,24,23_26_75_46_104_113_43_69_1_125,50.698143
independent,1,25,97_18_87_137_9_69_25_138_142_96,56.169595
independent,1,26,102_122_127_69_104_65_22_119_113_141,51.325701
independent,1,27,104_146_140_42_1_145_69_86_115_52,52.068109
independent,1,28,28_89_112_119_83_118_65_37_69_1,51.859660
independent,1,29,65_85_140_115_119_120_104_1_10_112,52.690860
independent,1,30,117_134_80_62_119_69_8_139_47_112,51.415261
independent,1,31,103_104_91_143_65_35_109_69_112_119,50.324868
independent,1,32,65_95_101_127_102_35_15_88_69_112,50.783785
independent,1,33,119_33_12_86_98_1_88_59_69_112,51.110752
independent,1,34,54_86_30_58_139_88_69_35_15_112,52.758509
independent,1,35,119_102_104_35_112_103_122_55_63_69,49.397604
independent,1,36,75_1_122_63_127_35_14_103_112_69,49.531115
independent,1,37,55_62_1_119_124_104_120_35_0_69,49.154726
independent,1,38,69_65_118_102_112_133_43_0_45_81,51.141215
independent,1,39,92_65_136_127_112_19_7_31_70_69,50.228914
independent,1,40,129_75_114_65_1_104_112_127_102_69,49.683028
independent,1,41,134_12_127_1_104_60_112_65_102_69,49.532710
independent,1,42,62_70_103_102_104_75_63_65_112_69,48.426559
independent,1,43,1_55_75_15_104_65_70_7_112_69,47.864619
independent,1,44,7_39_65_70_129_75_104_37_112_69,49.779933
independent,1,45,143_62_55_3_1_104_0_69_112_144,49.874397
independent,1,46,103_1_91_104_52_139_135_69_112_0,50.282369
independent,1,47,127_65_134_103_126_69_139_71_112_146,49.676823
independent,1,48,50_75_103_8_65_139_102_118_69_112,50.628744
independent,1,49,103_122_70_0_75_65_104_55_69_112,47.687693
independent,1,50,62_134_1_102_69_112_75_104_65_37,48.864910
independent,1,51,38_7_13_4_129_75_65_102_112_69,49.526230
independent,1,52,35_139_111_130_65_129_112_75_69_38,50.330978
independent,1,53,119_113_104_135_92_112_26_75_69_38,50.164981
independent,1,54,26_119_129_1_55_103_104_112_75_69,48.585939
independent,1,55,103_62_7_65_75_118_104_32_112_69,49.168607
independent,1,56,93_40_25_102_104_75_121_112_65_69,50.765317
independent,1,57,121_55_65_15_104_112_93_75_69_105,49.361673
independent,1,58,64_134_103_65_104_55_15_112_75_69,47.987615
independent,1,59,127_119_7_65_134_55_75_112_56_69,47.273883
independent,1,60,55_103_109_104_89_91_65_75_112_69,48.530420
independent,1,61,7_35_75_0_65_15_28_67_112_69,49.515422
independent,1,62,101_75_104_65_112_70_131_7_69_48,49.611860
independent,1,63,104_92_65_70_81_112_69_7_2_48,50.310385
independent,1,64,1_50_75_70_104_112_69_7_48_2,49.719406
independent,1,65,75_111_1_70_104_2_112_48_69_7,49.808379
independent,1,66,38_65_20_70_75_48_104_112_69_7,49.480046
independent,1,67,108_8_1_143_75_65_104_112_7_69,49.371068
independent,1,68,118_101_17_65_104_57_75_112_7_69,49.813588
independent,1,69,92_1_75_112_7_104_122_17_144_69,49.504948
independent,1,70,127_65_35_114_7_75_104_112_119_69,48.832817
independent,1,71,1_127_134_104_63_119_75_7_112_69,48.369776
independent,1,72,75_119_45_1_7_104_134_112_55_69,47.686516
independent,1,73,134_119_63_127_1_104_75_112_55_69,48.359469
independent,1,74,91_1_103_75_122_104_112_134_55_69,47.920439
independent,1,75,65_119_75_88_1_104_134_55_112_69,47.856462
independent,1,76,65_75_102_119_134_1_55_104_112_69,47.760940
independent,1,77,38_75_63_134_119_1_104_55_112_69,48.451733
independent,1,78,63_134_38_75_119_1_104_112_55_69,48.455897
independent,1,79,65_38_75_119_55_1_134_104_112_69,47.991184
independent,1,80,65_38_119_75_1_104_112_134_55_69,47.963709
independent,1,81,65_69_63_75_1_119_104_112_134_55,47.854632
independent,1,82,134_65_7_75_1_104_119_112_55_69,47.210811
independent,1,83,65_7_1_75_119_104_112_134_55_69,47.206872
independent,1,84,35_7_1_75_104_112_134_119_55_69,47.298325
independent,1,85,48_7_1_75_119_104_69_112_134_55,47.419146
independent,1,86,65_7_1_75_119_134_104_112_55_69,47.203612
independent,1,87,65_7_75_1_104_112_119_134_55_69,47.223421
independent,1,88,103_7_1_75_104_119_112_134_55_69,47.460188
independent,1,89,65_62_75_1_104_119_112_134_55_69,47.710829
independent,1,90,62_65_75_1_112_104_119_134_55_69,47.719480
independent,1,91,7_65_75_119_1_104_112_134_55_69,47.184164
