Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cluster,1,9,37_133_5_143_73_86_11_105_61_21_47_71_109_131_40_140_48_85_80_68,52.662371
cluster,1,10,99_17_81_143_20_57_94_49_55_111_47_52_109_91_40_56_100_43_4_102,50.721147
cluster,1,11,99_66_98_143_75_92_94_32_55_134_29_52_109_26_40_65_10_43_46_102,48.703563
cluster,1,12,99_133_98_143_75_57_94_32_55_134_78_52_109_26_40_56_10_146_4_102,49.107846
cluster,1,13,99_133_98_143_75_57_94_32_55_134_29_52_109_26_40_56_10_146_4_102,49.206134
cluster,1,14,99_133_98_143_75_57_94_32_55_134_78_52_109_26_40_56_2_146_145_102,49.046999
cluster,1,15,104_133_98_143_75_129_94_32_55_134_29_52_109_26_40_56_2_146_4_102,48.643704
cluster,1,16,99_133_98_143_75_129_94_32_55_134_29_52_109_26_40_56_2_146_4_102,49.057984
cluster,1,17,99_133_98_143_75_129_94_32_55_134_72_52_109_26_40_56_2_146_4_102,49.070282
cluster,1,18,99_133_98_143_75_129_30_32_55_134_72_52_109_26_40_56_10_146_4_102,49.197512
cluster,1,19,99_133_98_143_75_35_94_32_55_134_72_52_109_26_40_56_2_146_4_102,48.705212
cluster,1,20,99_133_98_143_75_35_11_32_55_134_72_52_109_26_40_56_2_146_4_102,48.387890
cluster,1,21,99_133_98_143_75_35_11_32_55_134_72_52_109_26_40_56_10_146_80_102,48.558105
cluster,1,22,99_133_98_143_75_35_11_32_55_134_72_52_109_26_40_56_10_146_4_102,48.512868
cluster,1,23,99_133_98_143_75_129_11_32_55_134_72_52_109_26_40_56_10_146_4_102,48.863587
cluster,1,24,99_133_98_143_75_129_11_32_55_134_72_52_109_26_40_56_10_146_4_102,48.890029
cluster,1,25,104_133_98_143_75_35_11_32_55_134_29_52_109_26_40_56_10_146_46_102,48.073026
cluster,1,26,104_133_98_143_75_35_11_32_55_134_29_1_109_26_40_56_10_146_46_102,47.822200
cluster,1,27,104_133_98_143_75_57_11_32_55_134_29_1_109_26_40_56_10_146_4_102,48.168563
cluster,1,28,104_133_98_143_75_57_11_32_55_134_29_1_109_26_40_56_10_146_4_102,48.160293
cluster,1,29,104_133_98_143_75_57_11_32_55_134_29_1_135_26_40_56_10_146_4_102,48.041499
