Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cyclic,1,9,74_65_28_45_33_69_73_43_62_25_55_92_17_134_118_139_81_94_67_91,47.614520
cyclic,1,10,34_62_3_125_36_93_0_30_57_116_119_127_88_89_22_2_97_114_113_23,52.636856
cyclic,1,11,148_45_49_145_135_112_1_75_80_55_143_146_65_38_60_35_104_111_70_47,47.593870
cyclic,1,12,66_56_33_24_52_55_78_62_94_120_101_110_12_92_103_119_139_54_130_59,49.600069
cyclic,1,13,127_129_117_75_26_62_134_139_136_17_8_98_119_55_109_2_34_81_140_0,48.154561
cyclic,1,14,12_67_52_118_140_115_120_75_86_126_7_119_11_2_81_18_37_3_92_62,49.276872
cyclic,1,15,17_120_11_126_62_91_115_51_74_58_70_102_55_35_140_144_36_139_73_127,48.401583
cyclic,1,16,119_25_48_133_75_140_129_116_13_33_50_20_127_62_92_55_134_51_81_141,48.307394
cyclic,1,17,74_62_65_11_127_108_113_59_7_92_75_15_134_53_103_135_120_139_55_32,47.173742
cyclic,1,18,8_93_11_14_75_92_119_118_103_2_63_54_131_62_69_139_97_5_122_50,48.853155
cyclic,1,19,139_92_134_62_39_94_26_83_81_2_136_104_34_69_43_56_35_75_3_11,47.777189
cyclic,1,20,17_69_52_12_81_35_36_134_92_34_54_104_75_55_43_65_2_62_11_61,46.821270
cyclic,1,21,11_46_104_17_43_75_62_1_68_130_134_92_55_127_101_69_94_140_129_59,47.200773
cyclic,1,22,127_62_7_1_10_11_75_69_91_67_4_60_134_0_46_65_104_139_94_55,46.157264
cyclic,1,23,107_81_48_34_56_92_69_40_11_127_112_55_121_119_2_35_75_134_0_62,46.780940
cyclic,1,24,126_129_69_87_97_134_127_48_59_78_104_92_1_55_91_118_43_75_7_11,46.619094
cyclic,1,25,89_35_94_134_11_65_92_43_120_97_56_69_62_75_1_70_91_59_55_104,46.157873
cyclic,1,26,69_62_7_35_17_134_9_91_11_75_29_1_26_59_85_126_140_92_55_64,46.792647
cyclic,1,27,55_11_120_75_92_129_126_89_104_110_69_7_59_91_62_127_1_134_33_56,46.617771
