Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.839942,0.828755,0.877599,0.539049,0.520277,0.560299,0.54152,0.508876,0.344214,0.409342,0.327437,0.358939,0.189409,0.309866,0.328272,0.219255,0.222537,0.360499,0.298789,0.333814,0.33557,0.214308,0.212007,0.274028,0.301791,0.313225,0.29215,0.186958,0.167317,0.154911,0.16454,0.196517,0.199361,0.15623,0.135029,0.171961,0.133253,0.143774,0.157338,0.146543,0.111838,0.112126,0.134671,0.009225,0.079243,0.060754,0.128612,0.107443,0.106319,0.138695,0.119978,0.115848,0.037267,0.001992,0.088685,0.003624,0.176839,0.042433,0.129496,0.102954,0.036456,0.11186,0.048724,0.087897,-0.005017,0.072511,0.036742,0.06337,0.10987,0.128407,0.049744,-0.005029,-0.034419,0.094241,0.087122,0.09902,0.072789,0.046616,0.090762,0.081731,0.117874,0.095792,0.063433,0.115707,0.054725,0.050615,0.01213,0.061303,0.041071,0.040071,0.126089,0.015258,0.13457,0.078005,0.058783,0.103774,0.030303,0.117145,0.074183,0.083531,0.064875,0.039482,0.110781,0.0123,0.079486,0.082859,0.032142,-0.018899,0.056162,0.047709,0.036643,0.013526,0.066479,0.06548,0.067073,0.095035,0.045279,0.060277,0.019372,0.072567,0.046453,0.116858,0.121957,0.034122,0.003351,0.008288,0.019062,0.119923,0.080783,0.045475,0.063398,0.057564,0.066363,0.125907,0.04059,0.065697,0.030014,0.121494,0.044306,0.017647,-0.003801,0.040689,0.022534,0.022862,-0.016124,0.085388,,,,
1,3.049102,1.54551,0.529195,0.592194,0.560955,0.535642,0.590315,0.241781,0.5795,0.312105,0.265985,0.317267,0.33553,0.625527,0.317332,0.562825,0.19991,0.196548,0.210606,0.191569,0.245783,0.170938,0.327815,0.407907,0.387555,0.208744,0.235624,0.205605,0.148612,0.15592,0.131539,0.23181,0.124783,0.126028,0.136039,0.19946,0.223319,0.110674,0.232719,0.100944,0.114476,0.123893,0.134007,0.135563,0.189982,0.132713,0.144174,0.131108,0.115542,0.101698,0.170594,0.139459,0.111661,0.158987,0.236961,0.172901,0.25607,0.245645,0.128981,0.221515,0.141499,0.076874,0.208672,0.184327,0.197368,0.241722,0.118859,0.157604,0.218628,0.169691,0.126389,0.138615,0.132628,0.150353,0.1456,0.201529,0.166209,0.157113,0.255353,0.095851,0.163392,0.122136,0.153283,0.169832,0.154955,0.127834,0.154563,0.15629,0.239795,0.12763,0.245754,0.129918,0.071371,0.092615,0.100912,0.145048,0.064672,0.175038,0.056405,0.082114,0.188541,0.075579,0.092339,0.137062,0.176527,0.055101,0.177611,0.113562,0.06164,0.081391,0.177711,0.178748,0.088995,0.172837,0.055958,0.090071,0.08387,0.100088,0.196515,0.13544,0.16295,0.156238,0.126677,0.077129,0.077391,0.043201,0.11226,0.031646,0.013109,0.155093,0.039284,0.186721,0.142211,0.145576,0.070176,0.063711,0.161317,0.050597,0.176138,0.105737,0.152107,0.040399,0.175083,0.124084,0.167728,0.080538,,,,
2,1.247844,0.627578,0.658515,0.575396,0.52099,0.549135,0.233833,0.315151,0.324622,0.299878,0.062993,0.117876,0.048953,0.095461,0.063952,0.092162,0.328543,0.066004,0.34653,0.358705,0.141585,0.196517,0.196655,0.21231,0.363825,0.333877,0.110009,0.084788,0.137456,0.126251,0.077616,0.17455,0.109301,0.121246,0.082767,0.170939,0.034235,0.081496,0.110089,0.239319,0.143797,0.122152,0.118666,0.141149,0.123367,0.119055,0.098236,0.109413,0.072273,0.117629,0.109992,0.221269,0.050191,0.149818,0.11317,0.074255,0.062638,0.144488,0.07275,0.138176,0.078339,0.124619,0.113154,0.048993,0.105781,0.101922,0.186801,0.02844,0.026778,0.048622,0.04712,0.126736,0.066905,0.113396,0.101791,0.105679,0.086153,0.075349,0.163678,0.015676,0.103875,0.234636,0.205357,0.088232,0.084549,0.095442,0.149573,0.061309,0.099221,0.101613,0.081877,0.103539,0.093605,0.070462,0.106929,0.115856,0.1773,0.091017,0.090595,0.106362,0.073466,0.062125,0.059435,0.071272,0.140129,0.008126,0.054866,0.084182,0.090242,0.077475,0.105031,0.062045,0.084077,0.096992,0.053085,0.119995,0.088999,0.072354,0.065931,0.065298,0.093015,0.111111,0.043592,0.079756,0.072237,0.053492,0.070853,0.022314,0.069071,0.054817,0.11419,0.114351,0.046442,0.102588,0.026782,0.074812,0.040781,0.128419,0.122384,0.063125,0.068894,0.138624,0.059173,0.08792,0.026892,0.042101,,,,
3,2.239129,2.183159,0.628872,0.346755,0.342608,0.25758,0.264543,0.23039,0.211142,0.207035,0.216003,0.238039,0.261732,0.239017,0.154612,0.167546,0.223864,0.206265,0.177413,0.214306,0.2431,0.432746,0.199669,0.165101,0.348772,0.386798,0.134433,0.183616,0.192491,0.162562,0.190693,0.161037,0.149482,0.165414,0.145052,0.397303,0.180135,0.190901,0.174723,0.204079,0.179376,0.161372,0.305634,0.332959,0.170337,0.433512,0.212998,0.165951,0.213922,0.114122,0.137424,0.145661,0.184016,0.153005,0.145824,0.165051,0.173213,0.140642,0.154037,0.188531,0.185068,0.151408,0.194567,0.12395,0.167651,0.172449,0.154471,0.197055,0.081904,0.094269,0.123044,0.080924,0.089687,0.123468,0.173373,0.218153,0.064062,0.168222,0.104195,0.157301,0.080436,0.152473,0.22271,0.088885,0.150761,0.120959,0.076219,0.062644,0.190521,0.094889,0.080377,0.110719,0.187502,0.176937,0.169571,0.196122,0.081757,0.09463,0.051664,0.264775,0.059241,0.191916,0.19481,0.065254,0.147346,0.082496,0.081437,0.076902,0.155469,0.194987,0.14586,0.059327,0.083067,0.176245,0.069604,0.136618,0.060757,0.167634,0.062497,0.069916,0.208768,0.14387,0.168688,0.149938,0.128564,0.103802,0.13275,0.121728,0.27908,0.138104,0.184754,0.104226,0.088101,0.193406,0.146649,0.058992,0.130162,0.138226,0.102228,0.097716,0.065234,0.158855,0.088864,0.14602,0.135175,0.108334,,,,
4,2.041441,2.13628,1.098407,0.657781,0.655261,0.574852,0.535879,1.210744,1.049316,1.113301,1.028884,1.110775,1.074389,1.002773,1.123166,1.014398,0.999427,1.051585,1.087939,1.090683,1.027589,0.166831,0.144262,0.159794,0.150426,0.139222,0.180625,0.22163,0.143205,0.121468,0.151999,0.152012,0.123823,0.160154,0.101015,0.154585,0.148533,0.160021,0.189834,0.191277,0.150113,0.156595,0.158199,0.162414,0.104518,0.112515,0.169856,0.163867,0.143817,0.109992,0.16781,0.200235,0.176088,0.111458,0.217856,0.256054,0.10086,0.176496,0.158649,0.145711,0.06677,0.146777,0.204857,0.101362,0.143367,0.095989,0.168628,0.091195,0.058368,0.044228,0.073868,0.157272,0.093163,0.176583,0.047794,0.174894,0.073221,0.076952,0.090398,0.145223,0.0955,0.186626,0.109108,0.205629,0.068489,0.090902,0.099989,0.158874,0.120368,0.177694,0.124327,0.102183,0.107788,0.091936,0.126803,0.115992,0.160466,0.097341,0.061395,0.190521,0.156401,0.122502,0.050508,0.15157,0.074157,0.041077,0.017587,0.130183,0.155021,0.043262,0.065565,0.066308,0.072653,0.069773,0.022825,0.094651,0.044127,0.168708,0.022095,0.027223,0.034895,0.068457,0.140986,0.075867,0.054698,0.062166,0.146868,0.05734,0.124124,0.023906,0.058127,0.057587,0.050632,0.103417,0.161763,0.03525,0.08986,0.143133,0.12952,0.028857,0.027358,0.058462,0.06387,0.035895,0.081197,0.061316,,,,
5,1.631329,2.060817,2.064787,0.579215,0.964646,1.064707,1.123932,1.108368,0.972094,0.951722,0.979169,0.636412,0.301132,0.316944,0.291594,0.298642,0.191031,0.172271,0.198207,0.225723,0.165965,0.185812,0.152052,0.228799,0.224159,0.1863,0.211067,0.132649,0.278213,0.281425,0.084199,0.254822,0.184222,0.050117,0.288935,0.12444,0.112071,0.112392,0.068184,0.295233,0.235781,0.134664,0.110492,0.13065,0.116087,0.258153,0.109477,0.283567,0.092265,0.319978,0.112414,0.092691,0.130692,0.130908,0.14484,0.140029,0.095104,0.100547,0.292395,0.135488,0.106347,0.107825,0.243866,0.117225,0.089608,0.189347,0.147877,0.048457,0.110272,0.250845,0.044369,0.102695,0.077618,0.091936,0.117725,0.211716,0.081502,0.134371,0.080295,0.176383,0.167463,0.094132,0.017087,0.061761,0.160906,0.153617,0.185549,0.067751,0.118018,0.061123,0.152123,0.159558,0.078163,0.106252,0.083594,0.095617,0.102639,0.107343,0.078883,0.084765,0.184754,0.087686,0.13814,0.219621,0.088167,0.155063,0.089658,0.08904,0.134562,0.109652,0.025021,0.102403,0.145234,0.099234,0.06508,0.17372,0.083917,0.074908,0.074288,0.091536,0.222164,0.156673,0.060842,0.09535,0.026085,0.057101,0.107918,0.107916,0.094188,0.080757,0.115001,0.046138,0.049527,0.128583,0.142674,0.054521,0.106825,0.011715,0.052501,0.08093,0.043336,0.077749,0.130889,0.185613,0.06178,0.115892,,,,
6,2.031177,1.352287,0.645048,0.831867,0.622208,0.387215,0.311676,0.614852,0.311328,0.641794,0.334732,0.30241,0.326815,0.297999,0.336652,0.317223,0.266391,0.103812,0.138825,0.147389,0.097435,0.114259,0.120114,0.285872,0.115726,0.082461,0.299621,0.300796,0.292571,0.069047,0.324005,0.04395,0.09869,0.073718,0.062842,0.108064,0.078955,0.173691,0.068926,0.130367,0.042173,0.150468,0.0419,0.124048,0.061552,0.149282,0.09787,0.049608,0.064894,0.131952,0.069636,0.045628,0.14288,0.057326,0.089934,0.038373,0.039602,0.051552,0.143628,0.152833,0.165401,0.092213,0.127654,0.039512,0.144802,0.097864,0.061652,0.090767,0.029063,0.148476,0.088854,0.06819,0.139507,0.038912,0.097014,0.125053,0.033051,0.137805,0.053704,0.037821,0.087031,0.061873,0.044205,0.043044,0.056788,0.11385,0.110397,0.043595,0.051824,0.07744,0.061443,0.074986,0.015479,0.074736,0.051223,0.046705,0.006999,0.109055,0.041499,0.062269,0.089753,0.080501,0.049879,0.040485,0.057515,0.045866,0.038872,0.062299,0.069486,0.111782,0.052805,0.073205,0.088223,0.065997,0.060064,0.06575,0.063396,0.064568,0.089321,0.043941,0.039454,0.073183,0.070241,0.083829,0.045333,0.071766,0.070448,0.069426,0.01501,0.033791,0.06981,0.053065,0.056809,0.053557,0.134758,0.071959,0.041477,0.071298,0.080679,0.091121,0.032801,0.083014,0.060359,0.06501,0.044845,0.057844,,,,
7,1.044023,2.274026,2.257042,0.931319,0.933002,0.937474,0.613865,0.786895,0.797185,0.959044,0.55748,0.496222,0.460133,0.532478,0.531035,0.511942,0.435458,0.426896,0.372038,0.322854,0.418868,0.413068,0.070796,0.075283,0.065761,0.096717,0.208528,0.282304,0.04482,0.086724,0.08725,0.248819,0.084984,0.344688,0.025344,0.30635,0.105038,0.091807,0.098135,0.087469,0.318986,0.087333,0.287108,0.075566,0.340893,0.290934,0.095595,0.104186,0.271832,0.104524,0.117281,0.136396,0.455079,0.098464,0.117966,0.092763,0.130998,0.079496,0.136063,0.071126,0.10965,0.164925,0.131388,0.070663,0.222353,0.083371,0.275808,0.10414,0.094184,0.099471,0.09489,0.092905,0.098047,0.095605,0.052095,0.128363,0.074617,0.098114,0.108868,0.064306,0.098454,0.0918,0.086391,0.135174,0.10548,0.098911,0.122405,0.082282,0.105399,0.098002,0.104116,0.093169,0.12695,0.094011,0.088735,0.110423,0.082403,0.104526,0.159768,0.125913,0.139935,0.117342,0.111772,0.122847,0.128398,0.105456,0.107771,0.088766,0.105912,0.109971,0.110986,0.085431,0.070463,0.102604,0.087492,0.090514,0.083594,0.097022,0.083208,0.090055,0.099051,0.090575,0.096828,0.117007,0.106328,0.075153,0.095757,0.076277,0.113199,0.106803,0.075076,0.093327,0.088229,0.107134,0.098539,0.107557,0.093389,0.070149,0.109881,0.096217,0.086555,0.120198,0.100856,0.092749,0.11204,0.090651,,,,
8,2.134058,0.389797,1.510691,0.714745,0.375755,0.634499,0.539517,0.650575,0.612665,0.324145,0.643853,0.425619,0.257733,0.644236,0.259634,0.33949,0.363957,0.174578,0.160004,0.141657,0.344026,0.222211,0.173987,0.113527,0.133404,0.135563,0.172142,0.121886,0.227934,0.333416,0.340096,0.10078,0.196612,0.277422,0.192891,0.163379,0.256869,0.168733,0.15896,0.272824,0.27421,0.153532,0.166168,0.11584,0.15789,0.160126,0.130215,0.205801,0.14567,0.157044,0.17882,0.098434,0.113114,0.141612,0.112719,0.283159,0.159128,0.156311,0.176741,0.163379,0.157767,0.06475,0.131865,0.084091,0.126688,0.158136,0.117884,0.105998,0.135663,0.169526,0.186916,0.090619,0.136378,0.133837,0.084842,0.165095,0.114505,0.131338,0.123628,0.115769,0.144951,0.143561,0.085695,0.123228,0.14062,0.170341,0.097472,0.14931,0.164894,0.083008,0.111513,0.120613,0.083593,0.149876,0.089217,0.105295,0.132786,0.089179,0.144964,0.131868,0.099766,0.122607,0.217178,0.095434,0.109379,0.156191,0.071138,0.10461,0.078007,0.094293,0.112707,0.141493,0.111179,0.146431,0.110332,0.131386,0.132904,0.083663,0.189178,0.140002,0.132492,0.083765,0.10188,0.151449,0.096333,0.127951,0.14997,0.093893,0.114241,0.154452,0.105238,0.059275,0.134446,0.043563,0.137299,0.133081,0.088944,0.12883,0.120135,0.070445,0.129,0.060572,0.099031,0.092069,0.122843,0.130995,,,,
9,2.822719,2.146381,1.258365,0.619276,0.367752,0.395162,0.406504,0.352555,0.244141,0.26723,0.238525,0.210189,0.301838,0.460085,0.406519,0.475319,0.41759,0.223189,0.31697,0.433159,0.321257,0.301765,0.660795,0.266067,0.287108,0.364572,0.160881,0.266413,0.260969,0.162534,0.155914,0.180762,0.15847,0.139698,0.188805,0.253911,0.16473,0.156944,0.164609,0.183986,0.128048,0.198861,0.159319,0.191629,0.150303,0.15959,0.169862,0.339377,0.151585,0.235762,0.256539,0.250473,0.204239,0.182709,0.112804,0.115354,0.128888,0.244836,0.164021,0.140345,0.10705,0.124741,0.137516,0.106577,0.10901,0.067836,0.072923,0.148736,0.132568,0.067233,0.096802,0.248146,0.270916,0.177816,0.112587,0.156223,0.160813,0.153677,0.106163,0.125221,0.122945,0.194424,0.156813,0.146759,0.205377,0.227792,0.15126,0.121464,0.152984,0.201332,0.168224,0.163772,0.210229,0.158051,0.037368,0.201142,0.292781,0.283361,0.13396,0.147395,0.138767,0.193104,0.183123,0.095172,0.119693,0.093374,0.206964,0.193628,0.18187,0.246151,0.091715,0.078831,0.174868,0.175376,0.095148,0.106791,0.122367,0.172074,0.194195,0.106844,0.204155,0.202224,0.07861,0.097951,0.098493,0.142944,0.096973,0.219945,0.096516,0.235018,0.10086,0.132779,0.170345,0.130336,0.216902,0.102665,0.07146,0.094211,0.117754,0.051519,0.119521,0.175704,0.177355,0.083937,0.213907,0.109643,,,,
