Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.390233,1.581898,1.343745,1.554946,0.859391,2.474719,0.415462,0.04986,0.189117,0.07668,0.185806,0.274467,0.701001,0.735272,0.528303,0.340063,0.248681,0.247059,0.351688,0.360404,0.740087,0.119171,0.699596,0.845599,0.738531,0.759165,0.358646,0.072619,0.095674,0.098184,0.070704,0.115371,0.028542,0.298656,0.315759,0.054981,0.088114,0.55185,0.730937,0.663757,0.756181,0.722666,0.64877,0.587349,0.666559,0.577716,0.560445,0.656844,0.815071,0.778714,0.660853,0.751494,0.768124,0.741919,0.740395,0.740247,0.705414,0.710461,0.238305,0.250778,0.283016,0.253613,0.70654,0.679618,0.916488,0.656004,0.392967,0.685098,0.663229,0.695994,0.263764,0.24374,0.739751,0.824055,0.767602,0.654376,0.579078,0.614029,0.151454,0.141186,0.23261,0.155022,0.660649,0.154383,0.156874,0.175105,0.166453,0.213058,0.183113,0.151503,0.667685,0.660793,0.689826,0.636596,0.62657,0.649107,0.694453,0.667815,0.67836,0.66663,0.651495,0.654178,0.659486,0.661996,0.623347,0.688049,0.657393,0.671989,0.687645,0.642011,0.710812,0.615039,0.66022,0.652651,0.644821,0.657794,0.644185,0.624031,0.669018,0.661185,0.713999,0.687293,0.688643,0.667085,0.646606,0.640251,0.686509,0.672737,0.653093,0.665207,0.631533,0.656536,0.690445,0.626753,0.674135,0.633841,0.658443,0.661273,0.681398,0.626981,0.643647,0.6149,0.672428,0.669181,0.672607,0.631735,,,,
1,2.736782,0.133245,0.720868,0.814931,1.661675,1.446276,1.034029,1.067544,1.010497,0.967369,0.763367,1.018948,0.615156,0.946699,1.198451,0.633178,0.545159,0.439616,0.198807,0.736581,0.417251,1.251474,1.235128,1.086446,1.151071,0.736407,0.651321,0.704902,0.771681,1.057363,0.963807,1.007505,1.027059,0.952762,0.933267,0.942488,0.905496,0.90804,0.865135,0.916893,0.901849,0.955362,0.890424,0.828842,0.878094,0.911903,0.987099,0.973369,0.952408,0.942621,0.931563,0.979217,0.970835,0.975191,0.927618,0.962001,0.949682,0.524273,0.514119,0.508385,1.072939,0.514897,0.541792,0.938088,0.952923,0.992351,0.963408,0.87604,0.472721,0.462401,0.935587,0.970925,0.961089,0.86483,0.825298,0.908524,0.892495,0.937921,0.91316,0.920863,0.942197,0.956237,0.909377,0.994817,0.949581,0.923145,0.412795,0.408842,0.42316,0.443849,0.420373,0.634405,0.618619,0.433485,0.402603,0.913184,0.49936,0.547109,0.504489,0.693263,0.445784,0.933841,0.902844,0.963081,1.038039,1.005204,0.962163,0.956542,0.913953,0.942149,1.036866,1.034085,0.995054,0.986273,0.991763,0.967915,0.988096,0.969726,0.908194,0.931835,0.675452,0.48088,0.89686,0.854399,0.899198,0.849719,0.901324,0.889132,0.907566,0.885722,0.882398,0.653554,0.909687,0.650165,0.683213,0.65003,0.870641,0.805323,0.86087,0.835655,0.849682,0.866229,0.86746,0.87023,0.850832,0.89443,,,,
2,1.036333,0.661493,0.688354,0.591309,0.259047,0.114814,0.326606,0.141204,0.057389,0.115977,0.022611,0.891905,0.981618,0.989899,1.047981,0.469009,0.525696,0.506761,0.948753,0.984965,0.48804,0.511345,1.086737,1.072806,0.706824,0.734532,1.00955,1.061124,0.982287,1.006694,1.01578,1.021533,0.996229,1.012244,1.013563,0.994654,1.031154,0.978231,0.743968,0.748468,0.737964,0.714375,0.701797,0.74953,0.750738,0.861923,0.93898,0.936552,1.03002,0.962926,0.937706,0.873708,0.992167,0.858948,0.905025,0.94267,0.859757,0.74585,0.442158,0.469252,0.471361,0.495621,0.473398,0.756438,0.47024,0.464074,0.983712,0.644265,0.407491,0.492621,0.49641,0.51414,0.774779,0.718934,0.456209,0.75625,0.777674,0.777809,0.704596,0.648617,0.706193,0.689475,0.702333,0.674319,0.686111,0.6467,0.751366,0.699388,0.68777,0.652078,0.726201,0.659234,0.73185,0.68712,0.64796,0.752971,0.747804,0.733419,0.732438,0.779665,0.679459,0.74109,0.743221,0.746187,0.738774,0.673287,0.667948,0.724278,0.760298,0.761316,0.725259,0.717276,0.729422,0.774925,0.666797,0.758225,0.764921,0.758687,0.748019,0.744289,0.6596,0.672518,0.741504,0.752287,0.69275,0.679169,0.760054,0.69663,0.731642,0.699259,0.687653,0.679379,0.733392,0.72584,0.674095,0.656102,0.670668,0.692026,0.684936,0.692364,0.718103,0.684337,0.667538,0.678281,0.670512,0.686178,,,,
3,3.219938,0.817795,1.715629,0.64635,1.102754,0.784802,0.679285,0.590746,0.874357,0.554718,0.54067,0.553843,0.635575,0.608657,0.540859,0.606096,0.640511,0.537783,0.586085,0.555242,0.562804,0.538053,0.564368,0.639498,0.636397,1.078486,1.082238,0.525001,0.987972,0.973271,0.997505,0.550845,0.448417,0.508071,0.490351,0.487398,0.266595,0.380052,0.870501,0.603668,0.957391,0.977142,0.994221,1.10208,1.078617,1.105014,1.030161,0.521387,0.987775,1.067253,1.030062,1.103892,0.726927,0.49942,0.799613,0.765567,0.810596,1.006579,0.838169,0.769772,0.782507,0.792441,0.809085,0.764375,0.810577,0.935723,0.605318,0.506316,0.968376,0.874289,0.981163,0.941675,1.003434,0.902087,0.880189,0.935696,0.92506,1.012525,1.035665,1.020016,0.554547,0.520961,0.533004,0.538152,0.510141,0.458105,0.458187,0.425273,0.223434,0.277845,0.249704,0.927149,0.478633,0.453713,0.449459,0.468887,0.471627,0.426806,0.869714,0.938471,0.958869,0.927393,0.95431,0.925851,0.932707,0.958181,0.955346,0.935408,0.961243,0.918016,0.947298,0.97753,0.939559,0.877996,0.864597,0.67241,0.479449,0.545094,0.721556,0.900499,0.884823,0.838565,0.609209,0.858097,0.834812,0.85594,0.661316,0.664742,0.94055,0.864718,0.857642,0.832943,0.863575,0.849393,0.846031,0.880918,0.897298,0.861441,0.847623,0.859482,0.868494,0.646656,0.924489,0.892595,0.903804,0.820888,,,,
4,1.301289,1.213789,0.361768,0.580326,0.199417,0.582672,0.162694,1.209175,0.821771,0.718451,1.260458,0.784405,0.595253,1.107521,0.104973,0.511522,0.460355,1.219563,1.278311,1.096915,0.853049,1.474652,1.352568,0.7518,1.043411,0.765494,1.461118,0.810431,0.830606,1.238666,0.91146,0.525453,0.457565,0.609385,0.490242,1.01563,0.52661,0.947201,0.477435,0.849838,0.847476,0.840624,0.778109,0.877085,0.812082,0.45186,0.479683,0.819331,0.371699,0.830168,0.953363,0.835764,0.493218,0.840962,0.837145,0.822506,0.855532,0.841698,1.26312,1.133565,1.114786,0.839096,0.874664,0.881887,0.855354,0.886665,0.916128,0.911195,0.925422,0.911312,0.952297,0.945262,0.852921,0.852524,0.837111,0.868145,0.850289,0.811708,0.831271,0.843609,1.027443,0.891972,0.859438,0.384346,0.798146,0.633003,0.625023,0.635576,0.761766,0.647978,0.633853,0.40248,0.400269,0.487296,0.64936,0.388599,0.378614,0.674491,0.66263,0.385052,0.387055,0.466071,0.415182,0.415091,0.387005,0.409506,0.377748,0.379383,0.399371,0.400166,0.370025,0.383822,0.432289,0.45661,0.474986,0.461988,0.499491,0.540443,0.511818,0.557868,0.394557,0.387896,0.474972,0.504605,0.46974,0.464923,0.533598,0.451138,0.430846,0.614764,0.481114,0.495386,0.502639,0.484312,0.564929,0.496308,0.445086,0.551871,0.527565,0.473867,0.44746,0.375316,0.402084,0.40585,0.505742,0.491723,,,,
5,2.301042,0.906853,1.265635,0.416982,0.160747,0.865716,0.849844,1.125379,0.831981,0.683768,0.590682,1.044593,0.59537,0.542952,0.588463,0.695876,0.483478,0.347296,0.302695,1.007622,0.068488,1.028995,1.027734,0.460377,0.709107,0.95412,0.688593,0.632738,0.486835,0.505513,0.589738,0.789362,0.701614,0.671169,0.701232,0.684412,0.69288,0.669594,0.675548,0.426844,0.67141,0.65426,0.724939,0.493704,0.488858,0.512365,0.562103,0.463178,0.659767,0.244416,0.683054,0.723224,0.446876,0.695719,0.460178,0.688114,0.47331,0.475965,0.448255,0.649534,0.707906,0.492537,0.551412,0.512187,0.043492,0.018088,-0.003993,0.038114,0.058373,0.719646,0.200424,0.44074,0.180739,0.231585,0.175299,0.219354,0.162199,0.171555,0.188031,0.162781,0.191775,0.175113,0.216458,0.152994,0.221814,0.204069,0.17678,0.65094,0.167459,0.656788,0.246695,0.676706,0.662218,0.182643,0.28405,0.256917,0.266272,0.241144,0.241276,0.26668,0.202869,0.23393,0.219625,0.249991,0.180382,0.210102,0.199183,0.239314,0.232803,0.183851,0.232574,0.255187,0.212609,0.223411,0.278189,0.244405,0.65404,0.635829,0.629407,0.615187,0.621671,0.609939,0.638339,0.647292,0.630832,0.695185,0.702477,0.731722,0.23286,0.715053,0.222949,0.753792,0.739799,0.61434,0.610504,0.625027,0.621731,0.643659,0.636403,0.649819,0.594914,0.626217,0.623608,0.582444,0.555082,0.662521,,,,
6,2.524038,1.393191,1.188012,1.171527,1.150203,1.617545,0.767188,2.310545,1.586007,2.432171,0.73497,0.577975,0.602504,0.934574,1.025454,0.726163,0.812745,0.585894,0.180545,0.402246,0.999586,0.353975,0.982287,0.835046,0.779435,0.716008,0.13627,0.633251,0.88882,0.970431,0.428795,0.818306,0.578298,0.952629,0.644623,0.824752,0.382594,0.449167,0.901525,0.84133,0.903978,0.871221,0.826832,0.995373,0.994473,0.889219,0.932061,0.86845,0.943594,0.904859,0.915178,0.924014,1.012519,0.793082,0.771576,0.747216,0.493478,0.466242,0.420758,0.705933,0.739846,0.732187,0.48927,0.947793,0.792025,0.827133,0.570165,0.974349,1.004349,0.706625,0.669698,0.681483,0.656176,0.664654,0.704589,0.650485,0.449861,0.454287,0.594842,0.473198,0.430245,0.443077,0.441724,0.477378,0.478112,0.473955,0.461324,0.688849,0.694612,0.640038,0.610723,0.414143,0.436001,0.442401,0.450728,0.426978,0.438134,0.462658,0.435403,0.448412,0.448652,0.66458,0.65267,0.654007,0.437966,0.46621,0.441205,0.696513,0.655199,0.655163,0.664329,0.643857,0.65563,0.630438,0.646355,0.66504,0.638998,0.646244,0.706628,0.639639,0.643686,0.666373,0.671058,0.661007,0.658734,0.657932,0.644414,0.658747,0.672948,0.681952,0.626624,0.68432,0.67106,0.652325,0.931992,0.62945,0.650026,0.643412,0.620712,0.800451,0.807272,0.821734,0.899128,0.906175,0.839431,0.830029,,,,
7,1.042786,1.064688,0.821069,0.837338,2.249082,0.890125,0.907498,0.373458,1.50475,1.47188,0.42855,0.38434,0.59683,1.018619,0.099461,0.039593,0.331271,0.589433,1.091477,0.890576,0.758681,1.045313,0.829758,0.600613,0.555553,0.565684,0.602869,0.597761,0.641625,0.659951,0.51959,0.783019,0.513821,0.532623,0.572615,0.500355,0.630231,0.770646,0.541452,0.445095,0.77013,1.092758,0.614042,0.605118,0.554004,0.625904,0.569933,0.453615,0.78966,0.607569,0.714156,0.441644,0.600089,0.73198,0.571471,0.870839,0.902771,0.951461,0.889672,1.104618,0.799888,0.967092,0.915767,0.834703,0.78899,0.879837,1.081029,0.934593,0.561747,0.590192,0.648197,0.767998,0.622876,0.722332,0.65643,0.878474,0.826915,0.902452,0.889149,0.638305,0.930654,0.461002,0.91532,0.883527,0.692762,0.597522,0.636514,0.683008,0.668992,0.672812,0.57697,0.625933,0.606386,0.619626,0.694291,0.580661,0.632973,0.648328,0.635499,0.640097,0.674617,0.49101,0.49118,0.687801,0.665146,0.498029,0.672085,0.649176,0.640714,0.658034,0.613617,0.6351,0.637895,0.651553,0.627364,0.682444,0.661523,0.63983,0.635334,0.657126,0.656749,0.641612,0.67941,0.695335,0.651698,0.666328,0.687762,0.675414,0.65221,0.681155,0.677712,0.758952,0.747181,0.76539,0.741801,0.737181,0.752926,0.681167,0.652325,0.632963,0.666737,0.667181,0.679272,0.644936,0.668316,0.651072,,,,
8,4.408423,1.150133,1.3552,1.380896,0.502118,0.419488,1.070047,0.538571,1.190644,0.980818,1.087431,1.457576,1.058584,1.366818,0.903967,0.935335,1.577398,0.678808,1.385347,1.428496,1.474628,1.428455,0.906787,1.389714,1.470922,0.423479,1.429502,1.473432,0.976066,1.012867,0.915584,0.891445,1.014324,0.881218,0.920259,0.938393,0.526661,0.91684,0.970299,0.822945,1.003369,0.827629,0.815556,0.877072,0.913576,0.884429,0.834999,0.804022,0.876028,0.857771,0.825307,0.949966,0.445824,0.411063,0.520906,0.917508,0.916661,0.847464,0.804234,0.922623,0.854454,0.430758,0.399774,0.404568,0.429792,0.503126,0.458649,0.486161,0.418639,0.434946,0.404471,0.511364,0.460831,0.424926,0.459439,0.94035,0.494109,0.405317,0.938613,1.008512,0.479604,0.476937,0.495797,0.93135,0.918179,0.93251,0.793562,0.885736,0.865582,0.885934,0.868057,0.868601,0.845913,0.864609,0.954186,0.974031,0.938766,0.877604,0.943972,0.991975,0.954708,0.939836,0.855338,0.891425,0.948209,0.958063,0.951245,0.947183,0.962852,0.891672,1.042773,0.455877,0.461178,0.473849,0.906523,0.973367,0.886946,0.439918,0.434779,0.441457,0.443932,0.413256,0.447101,0.429541,0.43523,0.427361,0.475812,0.447018,0.508313,0.420124,0.46727,0.943432,0.946927,0.965236,0.919619,0.942063,0.959739,0.946602,0.949707,0.972826,0.937928,0.928655,0.945538,0.451286,0.437706,0.442421,,,,
9,1.696383,1.385437,0.654134,1.0353,0.936995,0.598036,0.458753,1.007801,0.48006,0.54199,0.585247,0.768956,0.618564,0.488556,0.519913,0.618184,0.894476,0.91852,0.899223,0.920292,0.956899,0.92234,0.725865,0.460667,0.652824,0.754616,0.786477,0.746637,0.729876,0.848384,1.000973,0.693485,0.664073,0.719203,0.92169,0.960167,0.773184,0.72054,0.757828,0.720992,0.729685,0.70793,0.740412,0.615538,0.647609,0.673941,0.636453,0.468343,0.689545,0.663052,0.6086,0.686735,0.758437,0.727923,0.747575,0.756588,0.695102,0.705991,0.688947,0.648028,0.668967,0.697036,0.951442,0.942981,0.898728,0.873409,0.689404,0.654338,0.632479,0.627394,0.647884,0.849415,0.703943,0.465853,0.609104,0.715114,0.641038,0.610758,0.46441,0.385691,0.379545,0.401486,0.399451,0.420135,0.479013,0.432899,0.441483,0.424241,0.665518,0.636441,0.738576,0.727074,0.630648,0.445528,0.633083,0.657163,0.647075,0.623637,0.674923,0.653613,0.633979,0.669756,0.643917,0.668943,0.665732,0.621246,0.66637,0.653038,0.631149,0.660771,0.659361,0.651592,0.669881,0.664564,0.663668,0.680236,0.654276,0.46448,0.4324,0.47105,0.496121,0.468657,0.480697,0.571337,0.479468,0.503369,0.478231,0.440539,0.501755,0.485742,0.491037,0.490343,0.465243,0.471338,0.492163,0.458408,0.631306,0.656989,0.659514,0.655459,0.68507,0.656135,0.684892,0.707506,0.668353,0.654902,,,,
