Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.546523,1.929997,1.877196,0.602373,0.771755,0.804263,0.33076,0.317206,0.800406,0.340619,1.108298,0.322023,0.274855,0.863173,0.819357,0.807175,1.128276,0.836782,0.801693,0.853659,0.866359,0.836403,0.84045,0.812433,0.831811,0.498172,0.311763,0.561917,0.424917,0.459528,0.316409,0.446481,0.460536,0.306501,0.319017,0.452545,0.429581,0.511071,0.307649,0.549285,0.400702,0.345405,0.376663,0.465131,0.295954,0.277162,0.450471,0.314261,0.266618,0.285741,0.365979,0.397015,0.354904,0.288782,0.277706,0.394152,0.3267,0.292847,0.269879,0.280816,0.30995,0.334739,0.264892,0.311206,0.414451,0.337171,0.291338,0.263342,0.293807,0.327786,0.325678,0.363811,0.288358,0.31872,0.312538,0.315289,0.383516,0.367183,0.369887,0.295677,0.29137,0.268987,0.279403,0.297832,0.278542,0.334167,0.332729,0.510674,0.299456,0.43073,0.499223,0.362969,0.41311,0.417926,0.297725,0.306252,0.310321,0.395313,0.333105,0.278285,0.284653,0.301524,0.273136,0.352676,0.312726,0.331478,0.290686,0.34074,0.285185,0.302578,0.333152,0.412355,0.287341,0.281237,0.320139,0.29204,0.313623,0.291042,0.374731,0.296087,0.338268,0.331443,0.425126,0.423966,0.33666,0.284552,0.330279,0.308273,0.295716,0.325606,0.324625,0.335376,0.328922,0.303879,0.329487,0.322473,0.326977,0.333573,0.420374,0.258919,0.296646,0.369068,0.310614,0.313433,0.371219,0.324948,,,,
1,2.274331,1.54373,0.943685,1.155067,0.935756,0.811812,0.809355,0.826127,0.826138,0.831441,0.819524,0.919518,0.942887,0.846973,0.941359,0.947175,0.816353,0.786829,0.700132,0.678408,0.704692,0.6808,0.680656,0.689821,0.65482,0.703863,0.687672,0.725428,0.695067,0.250557,0.271907,0.283605,0.253905,0.236501,0.535016,0.299151,0.31453,0.496821,0.262119,0.410312,0.295484,0.264041,0.26398,0.261813,0.250105,0.234966,0.272651,0.286936,0.273596,0.640891,0.248009,0.358744,0.361442,0.337547,0.287769,0.529127,0.369174,0.342549,0.252523,0.386926,0.346389,0.285925,0.36172,0.354166,0.538756,0.335446,0.376488,0.35905,0.378753,0.375527,0.537642,0.54087,0.542657,0.266014,0.551279,0.488737,0.372584,0.465118,0.383947,0.474142,0.46873,0.482749,0.331331,0.281318,0.384293,0.493727,0.511036,0.339083,0.512465,0.376553,0.402293,0.525134,0.272721,0.276017,0.467978,0.484481,0.358238,0.290383,0.342654,0.525914,0.509383,0.254882,0.367403,0.523056,0.379784,0.455447,0.516029,0.515142,0.538207,0.309336,0.504959,0.54273,0.503455,0.496792,0.368357,0.384675,0.341402,0.514819,0.354904,0.500058,0.518842,0.490625,0.328809,0.522293,0.498257,0.530132,0.377943,0.542994,0.526151,0.472603,0.523222,0.524718,0.529124,0.5199,0.508536,0.522612,0.47646,0.499829,0.530105,0.561482,0.510144,0.510613,0.525965,0.496125,0.458465,0.539427,,,,
2,3.025903,1.886712,1.594382,0.781899,0.828856,1.030979,0.832081,0.778495,0.808679,0.987581,0.810832,0.968432,0.959549,1.014061,1.018877,0.983684,1.00899,0.737099,0.984022,0.984152,1.025236,0.972435,0.972983,0.401654,0.420462,0.354226,0.423188,0.414891,0.394715,0.484177,0.326325,0.305616,0.279473,0.254179,0.277109,0.404752,0.26185,0.259209,0.266547,0.221632,0.222052,0.197182,0.235014,0.21784,0.257746,0.232145,0.335494,0.274662,0.203454,0.257077,0.278189,0.213334,0.192993,0.470042,0.219172,0.274856,0.207051,0.20641,0.299653,0.300085,0.280136,0.276955,0.221192,0.308317,0.283184,0.283658,0.199173,0.309396,0.287828,0.279084,0.289583,0.2842,0.265139,0.231343,0.314601,0.225638,0.295695,0.275854,0.24844,0.407741,0.202902,0.28733,0.198602,0.284513,0.259035,0.193917,0.229413,0.295332,0.30643,0.263341,0.278803,0.215297,0.310703,0.276502,0.303111,0.258034,0.193744,0.305818,0.268227,0.356193,0.249174,0.230266,0.193663,0.183046,0.255121,0.297238,0.300923,0.274942,0.290852,0.246639,0.290803,0.294355,0.195438,0.287442,0.263858,0.271432,0.297389,0.29054,0.271317,0.3419,0.28518,0.281561,0.265882,0.318665,0.264179,0.328481,0.312369,0.267977,0.270504,0.265049,0.263378,0.270492,0.298744,0.2565,0.268852,0.319292,0.281422,0.245354,0.274128,0.254543,0.285468,0.235048,0.283831,0.25968,0.298198,0.287086,,,,
3,1.682778,1.283737,1.313738,0.459414,0.446095,0.403275,0.389918,0.383941,0.732021,0.581179,0.590751,0.456166,0.652952,0.702758,0.418554,0.579264,0.596257,0.394435,0.445255,0.309576,0.279146,0.318425,0.571193,0.538419,0.342049,0.347468,0.329531,0.326593,0.364969,0.316753,0.346371,0.273897,0.357768,0.330793,0.373386,0.339089,0.278058,0.324076,0.334879,0.3163,0.316581,0.338599,0.365753,0.339089,0.324976,0.380951,0.354452,0.430718,0.312748,0.426411,0.346423,0.342431,0.436333,0.451124,0.339604,0.395957,0.331968,0.389074,0.430141,0.604788,0.311026,0.321574,0.349062,0.419193,0.35352,0.319483,0.396028,0.39468,0.304881,0.323589,0.394964,0.302621,0.331441,0.514896,0.528927,0.432073,0.441831,0.288241,0.317945,0.573967,0.315954,0.302399,0.491067,0.520388,0.315916,0.647483,0.442153,0.318805,0.50492,0.355512,0.400147,0.379541,0.520596,0.333966,0.323457,0.396988,0.332961,0.345129,0.334926,0.37429,0.31118,0.622284,0.313861,0.325991,0.409945,0.350927,0.373864,0.442487,0.514387,0.333612,0.360016,0.397509,0.329018,0.478614,0.309886,0.4453,0.326989,0.348285,0.321663,0.604366,0.310876,0.362731,0.321521,0.325166,0.446545,0.285366,0.328795,0.590692,0.440921,0.443109,0.448691,0.355711,0.276956,0.416218,0.334434,0.310559,0.297374,0.378323,0.338363,0.536978,0.314337,0.28743,0.336479,0.351896,0.541275,0.450761,,,,
4,5.646941,2.131251,1.521072,1.525575,1.523463,0.415489,0.722983,0.718822,0.36673,0.343867,0.649213,0.547548,0.730741,0.378319,0.716922,0.64196,0.61219,0.57012,0.568631,0.580589,0.598158,0.614186,0.397056,0.386824,0.393382,0.412115,0.374047,0.400986,0.461883,0.362064,0.421735,0.416925,0.338576,0.389846,0.383739,0.346999,0.391427,0.390919,0.358818,0.340824,0.344619,0.300578,0.403268,0.412414,0.364099,0.299713,0.329117,0.286785,0.367867,0.314405,0.390177,0.315355,0.346167,0.421468,0.430743,0.415808,0.31408,0.405626,0.359317,0.403395,0.436864,0.228373,0.324416,0.235549,0.243725,0.260415,0.264011,0.249974,0.312836,0.227607,0.270553,0.274708,0.282988,0.257041,0.350662,0.283132,0.270584,0.279375,0.276374,0.250735,0.249686,0.246624,0.24102,0.244718,0.269996,0.262481,0.259304,0.262624,0.251568,0.259905,0.204271,0.384409,0.254025,0.284096,0.353082,0.427856,0.25454,0.232344,0.285092,0.275445,0.29383,0.256498,0.231222,0.274855,0.30318,0.237659,0.19423,0.328452,0.248941,0.324661,0.234745,0.25094,0.27601,0.247208,0.220117,0.267505,0.234346,0.229927,0.253322,0.295484,0.266435,0.252076,0.301694,0.267668,0.399468,0.397282,0.233808,0.273384,0.253367,0.245657,0.238739,0.29267,0.238478,0.262155,0.268026,0.24241,0.253312,0.263899,0.234809,0.231506,0.255669,0.270237,0.231588,0.253588,0.255577,0.226648,,,,
5,1.486352,1.270776,2.10139,1.150858,1.186259,0.914885,0.828914,0.829939,0.312449,0.840191,0.350382,0.41781,0.41349,0.241708,0.245859,0.225991,0.26051,0.242335,0.216627,0.633361,0.268316,0.197008,0.296251,0.223021,0.254644,0.26589,0.613876,0.254814,0.214944,0.232266,0.222278,0.25418,0.279994,0.26167,0.273405,0.245294,0.24105,0.214501,0.277571,0.258456,0.220538,0.224404,0.22025,0.317856,0.233381,0.219226,0.252685,0.323601,0.30703,0.212946,0.240984,0.217602,0.216845,0.241133,0.2547,0.261875,0.218431,0.29487,0.272893,0.308499,0.200479,0.201499,0.211714,0.320292,0.256944,0.250774,0.19567,0.327117,0.221275,0.20817,0.212031,0.211134,0.293121,0.221123,0.242322,0.230358,0.265607,0.221241,0.325018,0.208817,0.217952,0.289833,0.264521,0.31181,0.276479,0.21637,0.216924,0.22399,0.206584,0.220108,0.239414,0.254507,0.222442,0.232739,0.229391,0.334505,0.258656,0.211884,0.253332,0.202034,0.310351,0.283598,0.23525,0.266684,0.218485,0.277389,0.247928,0.325572,0.227693,0.296934,0.288064,0.262555,0.277392,0.25013,0.301279,0.312858,0.292711,0.299969,0.229809,0.26598,0.277406,0.258223,0.199306,0.199424,0.316733,0.317844,0.22686,0.19179,0.337399,0.306622,0.307388,0.249108,0.24715,0.21839,0.228075,0.22512,0.299285,0.305183,0.239745,0.196871,0.280045,0.266116,0.262785,0.212465,0.237756,0.231836,,,,
6,1.875913,1.384812,1.811731,1.332483,1.412402,1.265079,0.87196,0.837943,0.876994,0.732969,0.705456,0.774189,0.754493,1.002668,0.863094,0.967895,0.76263,0.728624,1.036006,0.993461,0.987189,0.949241,0.944668,0.897673,1.014652,1.012647,0.863398,0.885865,0.795315,0.881193,0.901635,0.914418,0.911498,0.887369,0.876208,0.917864,0.887506,0.923301,0.818141,0.901566,0.86326,0.767217,0.887562,0.921197,0.896636,0.948085,0.902084,0.895421,0.85425,0.912732,0.904034,0.940903,0.885543,0.755843,0.892085,0.923755,0.608033,0.733163,0.724908,0.754399,0.697298,0.71131,0.738311,0.699989,0.692521,0.66737,0.734569,0.694338,0.687068,0.71336,0.705079,0.498632,0.719188,0.490052,0.477954,0.700906,0.524285,0.503848,0.524439,0.490573,0.493087,0.460683,0.510944,0.475657,0.523596,0.705451,0.538678,0.51554,0.490334,0.498174,0.508433,0.432917,0.495187,0.511771,0.524803,0.504598,0.449259,0.43206,0.529676,0.461922,0.40713,0.451572,0.444602,0.444078,0.38085,0.462654,0.46608,0.43684,0.430279,0.486659,0.298371,0.486761,0.313748,0.317875,0.313569,0.311222,0.333994,0.298339,0.285229,0.309575,0.299924,0.316293,0.309587,0.299103,0.3194,0.286786,0.332746,0.326456,0.294993,0.328444,0.297261,0.316305,0.334506,0.286872,0.344316,0.347795,0.304303,0.292137,0.307618,0.308073,0.343143,0.454956,0.311904,0.309709,0.33959,0.321933,,,,
7,1.426434,1.389819,1.161822,0.891099,0.92608,0.965658,0.888199,0.999258,0.895522,0.443185,0.45254,0.43735,0.40589,0.408186,0.48152,0.438797,0.432996,0.448123,0.289196,0.244515,0.235106,0.257468,0.227827,0.283021,0.212921,0.262877,0.213926,0.215372,0.250507,0.396254,0.419123,0.356911,0.244766,0.269277,0.374604,0.266838,0.388905,0.201383,0.353148,0.251073,0.225936,0.257231,0.23724,0.208495,0.208996,0.261307,0.280271,0.25048,0.315831,0.296471,0.312009,0.204767,0.222182,0.21665,0.264053,0.239792,0.204645,0.243519,0.22876,0.258051,0.295688,0.229741,0.344158,0.216031,0.197133,0.244857,0.256927,0.215413,0.276134,0.227242,0.207694,0.243244,0.230858,0.222992,0.271485,0.190052,0.226987,0.214366,0.23482,0.392787,0.29609,0.210302,0.292688,0.304618,0.257729,0.19847,0.305389,0.244606,0.311668,0.306193,0.242789,0.201635,0.379587,0.192612,0.157015,0.272885,0.227229,0.2045,0.216385,0.22485,0.221345,0.22387,0.258589,0.243363,0.26372,0.247434,0.249189,0.219065,0.228662,0.185583,0.18834,0.177232,0.176521,0.175452,0.177535,0.179552,0.209226,0.142555,0.265684,0.198389,0.224164,0.20247,0.211238,0.177993,0.305736,0.314288,0.214632,0.220346,0.168729,0.195131,0.232382,0.231908,0.210086,0.175168,0.276806,0.198336,0.217617,0.223176,0.20176,0.249235,0.316807,0.177102,0.210034,0.236117,0.279927,0.154069,,,,
8,1.520213,1.153253,0.882338,0.89531,0.883781,0.885458,0.856386,0.849553,0.755806,0.78515,0.821181,0.902205,0.861305,0.916866,0.899345,0.78845,0.870542,0.759737,0.765549,0.378974,0.389016,0.347977,0.391607,0.418625,0.332306,0.458146,0.202581,0.254843,0.263301,0.242164,0.240161,0.233774,0.261057,0.225422,0.195231,0.243113,0.237235,0.266705,0.204161,0.227373,0.314494,0.272226,0.229997,0.362797,0.22575,0.242725,0.173264,0.26164,0.243935,0.359061,0.244749,0.230192,0.23245,0.255101,0.225795,0.378144,0.224705,0.267447,0.352999,0.275336,0.38284,0.299354,0.219947,0.206882,0.242236,0.232323,0.226168,0.377782,0.242884,0.213608,0.210974,0.234714,0.239089,0.370525,0.26108,0.246828,0.246646,0.202873,0.261215,0.283013,0.234565,0.314602,0.235668,0.257565,0.255039,0.256835,0.240297,0.227123,0.319555,0.273647,0.213456,0.221517,0.263239,0.23137,0.24636,0.269032,0.247845,0.241643,0.190101,0.249932,0.21131,0.150529,0.200443,0.245397,0.247992,0.234824,0.180073,0.248992,0.211911,0.208776,0.18552,0.184149,0.203685,0.201427,0.251898,0.246983,0.242511,0.231376,0.228218,0.269251,0.24752,0.194743,0.188586,0.181054,0.259134,0.2212,0.245499,0.223143,0.230219,0.180979,0.178683,0.197434,0.200118,0.179305,0.274063,0.182385,0.157047,0.195254,0.234544,0.177105,0.184303,0.201067,0.247876,0.273285,0.193944,0.189409,,,,
9,1.758216,1.567188,1.40212,1.389527,0.862835,0.859484,0.809227,0.824234,0.820418,0.840151,0.798491,0.822345,0.462924,0.857376,0.451965,0.81775,0.508701,0.519784,0.795627,0.514648,0.512709,0.508987,0.413721,0.446406,0.841391,0.638144,0.458572,0.549626,0.651529,0.672439,0.419071,0.348564,0.341529,0.673531,0.3422,0.345391,0.339887,0.557097,0.34538,0.340613,0.322817,0.310427,0.321684,0.327807,0.352824,0.349682,0.373526,0.323234,0.2787,0.286301,0.320108,0.268654,0.276521,0.324642,0.304664,0.319777,0.250317,0.3017,0.333958,0.305286,0.376206,0.335592,0.341047,0.345936,0.302398,0.361343,0.369736,0.351135,0.288778,0.378374,0.375445,0.335336,0.320486,0.333051,0.361134,0.282855,0.268137,0.349887,0.272028,0.28963,0.314159,0.410959,0.31315,0.330176,0.275885,0.354,0.263483,0.27477,0.369783,0.327403,0.328248,0.260058,0.26652,0.246582,0.277862,0.265971,0.305861,0.331208,0.389003,0.306936,0.369909,0.369518,0.373549,0.25107,0.31798,0.296273,0.288803,0.301639,0.304426,0.313513,0.257941,0.279172,0.304052,0.276304,0.272486,0.38676,0.298928,0.287534,0.289444,0.272731,0.284441,0.276978,0.254175,0.299014,0.308259,0.259074,0.268488,0.261028,0.377305,0.2787,0.301527,0.293468,0.290297,0.263645,0.292054,0.271053,0.31198,0.286192,0.317707,0.283761,0.276103,0.270844,0.256613,0.307482,0.293428,0.386764,,,,
