Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.476252,2.051324,4.392847,6.259187,3.024987,1.522366,3.239044,1.897567,2.085007,1.676288,1.799328,2.515085,1.700944,4.323864,2.716122,1.628622,1.324773,2.03031,2.824184,1.099232,1.434021,1.790352,2.025198,2.2134,1.125696,1.489319,1.809011,2.337972,1.57647,1.979606,1.403264,2.02528,1.989073,1.637901,1.908593,1.769922,1.957132,1.72791,1.575415,1.739891,1.944865,1.701756,1.655841,1.827154,1.942833,1.85641,1.945929,1.940284,1.555024,1.5293,1.540487,1.390313,1.387364,1.374198,1.555494,1.512836,1.51696,1.551016,1.520843,1.440806,1.384134,1.569757,1.701137,1.63992,1.516742,1.529095,1.396141,1.582783,1.651861,1.650267,1.603251,1.597293,2.398241,1.522765,1.404216,1.380744,1.624991,1.375179,1.67971,1.734594,1.062659,1.381827,1.382869,1.616874,1.412425,1.406721,1.363319,1.400819,1.40764,1.575079,1.387052,1.399789,1.372344,1.365421,1.384846,1.381927,1.376708,1.382436,1.36236,1.351778,1.373102,1.377883,1.362992,1.411314,1.712035,1.382703,1.40129,1.584763,1.378963,1.388596,1.394617,1.416378,1.719187,1.72071,1.716805,1.575097,1.729905,1.407287,1.721793,1.404013,1.387575,1.430064,1.343068,1.357764,1.391153,1.402787,1.386359,1.413413,1.386689,1.407623,1.388159,1.390515,1.392058,1.381489,1.355119,1.374118,1.398722,1.394258,1.367092,1.384102,1.365358,1.373306,1.386283,,,,,,,
1,2.992653,5.939146,3.323497,5.013529,2.875467,3.23084,2.161227,5.369367,1.526667,3.561289,1.408806,1.307791,3.202952,2.146291,2.184037,1.4865,1.960564,1.389302,1.482951,1.035033,1.47216,1.496642,3.032991,1.761777,1.230324,1.770322,1.015024,0.867056,2.056204,2.204009,1.47169,1.284827,3.226622,1.157509,1.822943,1.630079,1.494272,1.639919,1.483394,1.788786,1.581338,1.528314,1.654515,1.497303,1.519093,1.618839,1.660996,1.592937,1.248212,1.793613,1.697735,1.345674,1.416785,1.514626,1.170568,1.692756,1.530913,1.63104,1.393387,1.108902,1.656921,1.446376,1.026335,1.382777,1.497669,1.369715,1.130836,1.340049,1.383983,1.363237,1.130678,1.434845,1.577984,1.381972,1.38241,1.457548,1.379085,1.348081,1.37446,1.106506,1.453396,1.368674,1.378137,1.346343,1.386074,1.386933,1.364526,1.38038,1.341786,1.38991,1.362366,1.404493,1.472341,1.362806,1.491583,1.430521,1.431609,1.430828,1.386932,1.35762,1.372354,1.33892,1.384141,1.565389,1.424957,1.408584,1.397475,1.395131,1.390928,1.445688,1.415241,1.407723,1.394774,1.367325,1.400098,1.391103,1.392983,1.365873,1.379846,1.377431,1.352589,1.380777,1.379249,1.384235,1.394198,1.374385,1.368246,1.372339,1.391849,1.406031,1.355859,1.406209,1.40384,1.38892,1.372919,1.402043,1.389543,1.397988,1.393548,1.405802,1.387342,1.401999,1.373972,,,,,,,
2,2.488937,1.922795,6.897811,2.489001,1.233189,3.089744,2.736237,4.38134,3.615054,6.494015,2.368494,4.130502,2.511559,1.936784,2.4605,4.253572,3.181123,3.920764,2.774594,2.792883,2.229995,1.813282,1.383688,3.692509,2.171793,2.211966,1.621067,2.180038,1.646228,2.411023,1.215028,1.376602,2.433775,1.690176,1.711875,1.706175,1.545493,1.827586,1.586207,1.538164,1.374756,1.552756,1.617785,1.551445,1.770554,1.772916,1.826268,1.780874,1.813944,1.790056,1.518647,1.660648,1.62811,1.625201,1.60591,1.636424,1.653751,1.839214,1.627629,1.68378,1.742943,1.647215,1.635085,1.626342,1.884275,1.653721,1.670526,1.643968,1.313272,1.618222,1.847923,1.876227,1.899617,1.874662,1.837223,1.605209,1.870737,1.919936,1.635235,1.647752,1.608962,1.597041,1.680206,1.668785,1.660583,1.452204,1.706435,1.512696,1.825318,1.898513,1.637884,1.777671,1.642196,1.690357,1.691966,1.500533,1.665229,1.58545,1.629163,1.620798,1.648029,1.592261,1.620448,1.137034,1.653,1.644098,1.8807,1.624142,1.642219,1.597571,1.60554,1.639949,1.89214,1.500208,1.62314,1.75865,1.623608,1.262554,1.615261,1.707496,1.636229,1.637153,1.634692,1.640288,1.252394,1.2337,1.568184,1.494253,1.451936,1.839628,1.882676,1.476602,1.258704,1.616137,1.257089,1.548026,1.557646,1.521003,1.435378,1.408218,1.374796,1.405714,1.347732,,,,,,,
3,4.716311,3.536676,3.611845,4.050915,4.325561,1.91043,1.008897,1.408974,1.489903,2.354861,2.616561,1.316652,1.12922,1.722836,2.40938,2.997557,4.974639,2.982107,1.767636,1.258957,3.953099,1.692655,0.849183,1.043212,0.922672,1.265261,0.937727,1.809459,1.228319,3.916038,3.166821,3.468916,1.349929,1.279693,1.294252,1.817829,1.685939,1.466929,1.706682,1.524753,1.410803,1.391886,1.476993,1.417207,1.404108,1.478755,1.399177,1.137415,1.194707,1.665415,1.156426,1.108962,1.12912,1.083567,1.371555,1.159083,1.132352,1.112828,1.164762,1.15552,1.230602,1.136209,1.131804,1.693284,1.472175,1.10126,1.134598,1.130414,1.088259,1.121715,1.107278,1.116472,1.194891,1.137403,1.136704,1.155759,1.141394,1.145907,1.185987,1.411717,1.782352,1.140532,1.157465,1.368977,1.645437,1.385589,1.373426,1.455579,1.095863,1.402074,1.765793,1.37636,1.378355,1.364563,1.365272,1.408237,1.405669,1.405705,1.367489,1.38413,1.408082,1.410653,1.391569,1.367322,1.394667,1.355731,1.376374,1.384362,1.41179,1.381392,1.419176,1.463274,1.412687,1.357465,1.398227,1.359971,1.462716,1.477046,1.368896,1.768194,1.413531,1.466258,1.404338,1.458344,1.364186,1.398026,1.444003,1.383902,1.385333,1.371312,1.37195,1.37201,1.36145,1.428179,1.390802,1.381322,1.381502,1.365188,1.359574,1.702665,1.738707,1.402413,1.373959,,,,,,,
4,2.871084,1.277989,7.968302,4.187622,2.10869,5.018012,2.919371,3.49234,3.524994,2.576114,2.787173,2.174147,2.731582,2.197002,1.737348,2.022608,5.352201,2.163875,1.535896,2.446643,2.374025,2.009663,2.171854,1.870505,1.425754,3.996654,1.611067,2.062624,2.008974,1.374772,1.589829,1.889845,1.750191,2.169606,1.701654,1.964103,1.952542,2.021196,1.669566,1.805361,1.665076,2.13209,2.069497,2.077742,2.118819,2.444773,2.447147,2.478952,1.782817,1.56279,1.635709,1.693772,2.014258,1.94323,2.477985,2.463578,2.484239,2.471986,2.474297,2.522112,2.460071,2.464491,2.4991,2.447736,1.955023,1.920316,2.052304,2.155569,2.630769,2.477038,2.232463,2.38597,1.602745,1.938631,1.964619,1.71777,1.993611,2.233926,1.937847,1.705675,1.759512,1.967684,1.967713,1.94507,1.970342,1.705132,1.940818,1.72219,1.939627,2.217152,2.053605,1.898649,1.795021,2.053042,2.015346,1.984484,1.994031,2.026139,1.981329,2.000756,1.842502,2.014468,2.052858,2.010039,2.185824,2.017151,1.818891,2.024796,2.023942,1.997327,2.019719,1.852026,1.753061,1.74765,1.769162,1.902573,1.723201,1.73402,1.696167,1.739594,1.723544,1.739905,1.730209,1.702612,1.722219,1.692984,1.719509,1.715746,1.828511,1.750079,1.773999,1.751252,1.732107,1.786095,1.686727,1.989507,1.775698,1.745736,1.748204,1.745375,2.001141,1.682927,1.76513,,,,,,,
5,4.616589,4.499954,4.792143,4.406997,1.671961,1.817007,1.390996,2.804456,1.812528,1.810543,1.53357,1.658854,4.134504,1.917709,1.89362,1.540987,1.931131,1.904131,1.897617,1.906688,1.88158,1.508082,1.382921,1.593156,1.885527,1.864172,1.608115,1.645639,1.67554,2.467589,1.989503,2.041329,2.300112,1.635598,1.695806,1.532204,1.653567,1.760126,2.274771,1.655182,1.183648,1.512773,1.549282,1.232034,1.5892,1.517203,1.415378,1.373043,1.537306,1.540365,1.691371,1.40213,1.358514,1.561276,1.554857,1.491449,1.519249,1.533792,2.142934,1.47976,1.405195,1.963291,1.385092,1.412761,2.054775,1.423166,1.385143,1.400971,1.411227,1.422978,1.412158,1.390061,1.409017,1.387874,1.383844,1.156489,1.417964,1.387366,1.652455,1.636962,1.382186,1.36523,1.408429,1.400712,1.364642,1.413884,1.390518,1.394217,1.37502,1.356841,1.357283,1.380314,1.386394,1.379149,1.426453,1.363784,1.354478,1.42275,1.39057,1.383883,1.431729,1.390024,1.374437,1.42631,1.377152,1.3847,1.381225,1.055444,1.415747,1.397823,1.408527,1.391086,1.400165,1.352508,1.133745,1.370554,1.388152,1.422201,1.408394,1.394435,1.389446,1.374883,1.341573,1.404191,1.419397,1.373462,1.388887,1.413355,1.382869,1.369632,1.370882,1.359084,1.396439,1.413578,1.37058,1.35953,1.384635,1.365024,1.385458,1.393994,1.392806,1.388301,1.377691,,,,,,,
6,4.538242,1.581317,5.665776,4.293822,3.560039,3.735997,2.40074,1.289315,4.415035,1.920603,1.920896,1.903991,1.742583,3.711242,3.422146,2.33251,1.440449,2.05772,1.530841,1.346872,2.141557,1.515726,3.266536,1.722178,2.070334,1.714873,1.117981,1.108938,1.863933,0.836597,0.815451,1.321795,1.629797,1.710078,1.93305,1.731765,1.698568,1.666165,1.645657,1.59917,2.082039,1.470848,1.401674,2.109803,1.711315,1.660604,1.392131,1.725119,1.658292,1.434946,1.494457,1.213194,1.663376,1.463902,1.871738,1.917643,1.618927,1.661506,1.669554,0.938822,1.470971,0.909427,1.101359,1.488111,1.158443,1.126969,1.33589,1.331793,1.295147,1.688685,1.375637,1.695897,1.582339,1.522102,1.152514,1.365844,1.714378,1.386977,1.406412,1.4127,1.34653,1.360822,1.385938,1.339118,1.336767,1.480592,1.399578,1.358586,1.349734,1.397351,1.380924,1.035603,1.900764,1.662115,1.742534,1.740648,1.380973,1.899929,1.75076,1.899405,1.451788,1.355943,1.361723,1.356298,1.419078,1.455888,1.516774,1.425547,1.395193,1.386537,1.392555,1.416623,1.419315,1.42229,1.401327,1.419218,1.354852,1.340557,1.380604,1.365596,1.400329,1.400789,1.403066,1.41256,1.39646,1.394581,1.366953,1.348892,1.567647,1.450236,1.40425,1.394717,1.380988,1.06236,1.37093,1.410284,1.070168,1.390616,1.38481,1.381159,1.400858,1.416379,1.349745,,,,,,,
7,1.840041,6.302752,2.149593,2.534201,1.829173,2.286198,2.273547,1.834467,1.14436,1.016988,2.203058,1.705356,1.778923,2.732993,1.964613,1.631279,1.341221,2.979734,2.781519,2.381818,1.745874,2.230522,1.412246,1.832212,3.038379,1.598644,1.7576,1.506568,2.073091,1.824993,2.503397,1.986602,2.121644,1.499467,1.944112,1.592869,2.064328,1.863707,1.836722,1.616669,1.894481,1.735133,1.590743,1.978339,1.431732,1.485441,1.108065,2.082705,1.048257,2.897842,1.379746,1.378181,1.383341,1.068114,1.394898,1.379677,1.378612,2.792936,1.686077,1.070301,1.470223,1.024157,1.367485,1.061555,1.408783,1.209841,1.911519,1.478485,1.459653,1.691173,1.284179,1.281019,1.28532,1.483344,1.581436,2.000684,1.988782,1.697921,1.511614,1.452185,1.709166,1.433664,1.492759,1.474831,1.459318,1.482876,1.281044,1.297074,1.252619,1.170327,1.139887,1.293787,1.419974,1.455018,1.835617,1.359164,1.378651,1.431884,1.393421,1.384041,1.370504,1.60167,1.211905,1.188765,1.18924,1.145082,1.172062,1.194861,1.190482,1.156389,1.490442,1.487544,1.201521,1.337414,1.365287,1.400419,1.358193,1.338304,1.398284,1.434949,1.364073,1.353437,1.381068,1.700325,1.384973,1.742016,1.073937,1.555011,1.338596,1.406471,1.054133,1.119643,1.070181,1.074681,1.388401,1.374302,1.458873,1.486184,1.440954,1.471337,1.477875,1.427999,1.466237,,,,,,,
8,4.609571,2.646833,3.721533,3.237981,6.016062,2.103248,1.378814,1.794729,2.73058,1.903907,1.811418,1.682958,1.806452,2.081171,1.844573,2.217263,1.702013,1.851214,2.727753,1.956193,2.244839,1.878542,1.968735,2.268695,1.81242,2.420324,1.374365,1.861504,1.948486,1.610585,1.559638,1.530375,1.519593,1.163018,0.949176,1.464191,1.744833,1.573946,1.765554,1.588691,0.938031,1.043652,1.558952,1.497084,1.184275,1.740662,2.086885,1.830558,1.455065,1.64585,2.166274,2.279761,1.224584,1.796843,1.819721,2.999204,1.826609,1.483461,1.434654,1.465773,1.449348,1.459651,1.606268,1.696872,1.452242,1.499992,1.444962,1.454671,1.498988,1.447303,1.629447,1.614396,1.607443,1.305253,1.626988,1.740328,1.455736,1.650604,1.661503,1.643126,1.442765,1.451554,1.368469,1.735433,1.768395,1.595547,1.476499,1.46525,1.61507,1.454786,1.468832,1.641622,1.501382,1.47453,1.288234,1.4951,1.476604,1.476743,1.484619,1.513858,1.462956,1.544316,1.584624,1.59306,1.598354,1.585877,1.589185,1.521981,1.444344,1.486614,1.47292,1.468897,1.615065,1.482192,1.435705,1.456401,1.470528,1.483685,1.483371,1.473125,1.453563,1.506787,1.470901,1.452315,1.494582,1.485845,1.449687,1.459199,1.487165,1.470009,1.469117,1.502005,1.561877,1.867416,1.60668,1.611813,1.572778,1.590189,1.625033,1.612422,1.546496,1.164357,1.597995,,,,,,,
9,4.243127,4.370664,1.983681,4.90415,2.052271,1.366076,2.000855,1.508543,1.579063,1.946356,1.48008,1.529693,0.934906,2.206044,1.802437,1.109352,1.83245,1.385456,1.191664,1.913822,1.967975,1.079914,2.38133,1.628352,1.382066,1.329718,1.861764,1.225067,1.278358,1.48893,1.578211,2.4752,2.527392,1.535972,1.89053,1.786246,1.574125,1.450461,1.767174,1.420471,1.485477,1.079736,1.119229,1.847841,1.763218,1.738664,1.744695,1.766429,1.732923,1.73137,1.976915,1.586475,1.765862,1.594115,1.757404,2.012024,1.790822,1.405269,1.402108,1.776132,3.748799,1.389932,1.635753,1.341963,1.431029,1.391894,1.389586,1.501396,1.457348,1.048841,1.373824,1.381035,1.397549,1.346759,1.362746,1.586843,1.538018,1.40198,1.62722,1.39566,1.387054,1.430413,1.700176,1.35707,1.349874,1.663934,1.72564,1.42545,1.423135,1.38245,1.382772,1.203942,1.412926,1.388009,1.408415,1.446337,1.3819,1.394378,1.403008,1.407597,1.218683,1.675942,1.411356,1.367706,1.48229,1.394244,1.399955,1.430294,1.417481,1.683025,1.735662,1.39341,1.395816,1.418013,1.403649,1.409134,1.420402,1.150332,1.424276,1.547181,1.422978,1.432935,1.427466,1.397906,1.39305,1.397374,1.441503,1.448907,1.429697,1.432006,1.018897,1.063564,1.449234,1.435759,1.500487,1.383289,1.417275,1.388533,1.398072,1.389098,1.514762,1.400996,1.428844,,,,,,,
