Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
smallest,1,8,39_0_43_12_2_32_24_15,52.362899
smallest,1,9,32_2_39_12_0_43_1_10,52.139279
smallest,1,10,1_2_12_31_32_39_0_43,51.196949
smallest,1,11,31_1_2_12_39_32_10_0,51.690180
smallest,1,12,31_1_2_39_0_32_43_12,51.227463
smallest,1,13,31_1_2_32_39_0_43_12,51.229853
smallest,1,14,31_1_2_32_12_43_39_0,51.245350
smallest,1,15,31_1_32_2_12_39_43_0,51.190390
smallest,1,16,31_1_32_2_12_43_0_49,51.217693
smallest,1,17,31_1_32_2_12_43_0_39,51.213067
smallest,1,18,31_1_2_32_12_43_0_39,51.227197
smallest,1,19,31_1_2_32_12_43_0_39,51.208421
smallest,1,20,31_1_2_32_43_0_12_39,51.234611
smallest,1,21,31_1_2_32_43_0_12_39,51.221961
smallest,1,22,31_1_2_32_12_43_0_39,51.187154
smallest,1,23,31_1_2_32_43_12_0_39,51.202143
smallest,1,24,31_1_2_32_12_43_0_39,51.222298
smallest,1,25,31_1_2_32_12_43_0_39,51.268655
smallest,1,26,31_1_2_32_12_43_0_39,51.196322
smallest,1,27,31_2_1_32_12_43_0_39,51.206260
smallest,1,28,31_2_32_1_12_43_0_39,51.239584
smallest,1,29,31_2_32_1_12_43_0_39,51.207910
smallest,1,30,31_32_2_1_12_43_0_39,51.243162
smallest,1,31,31_32_2_1_12_43_0_39,51.231254
smallest,1,32,31_32_2_1_12_43_0_39,51.190561
smallest,1,33,31_32_2_1_12_43_0_39,51.212145
smallest,1,34,31_32_2_1_43_12_0_39,51.221206
smallest,1,35,31_32_2_1_43_12_0_39,51.211544
smallest,1,36,31_32_2_1_43_12_0_39,51.171496
smallest,1,37,31_32_2_1_12_43_0_39,51.233506
smallest,1,38,31_32_2_1_12_43_0_39,51.246082
smallest,1,39,31_32_2_1_12_43_0_39,51.231599
smallest,1,40,31_32_2_1_43_12_0_39,51.228557
smallest,1,41,31_32_2_1_43_12_0_39,51.223835
smallest,1,42,31_32_2_1_12_43_0_39,51.220587
smallest,1,43,31_32_2_1_12_43_0_39,51.207972
smallest,1,44,31_32_2_1_43_12_0_39,51.199715
smallest,1,45,31_32_2_1_12_43_0_39,51.209772
smallest,1,46,31_32_2_1_12_43_0_39,51.200816
smallest,1,47,31_32_2_12_1_43_0_39,51.199226
smallest,1,48,31_32_2_1_12_43_0_39,51.188713
smallest,1,49,31_32_2_1_12_43_0_39,51.256030
smallest,1,50,31_32_2_1_12_43_0_39,51.242352
smallest,1,51,31_32_2_1_12_43_0_39,51.209553
smallest,1,52,31_32_2_1_12_43_0_39,51.231947
smallest,1,53,31_32_2_1_12_43_0_39,51.207809
smallest,1,54,31_32_2_1_12_43_0_39,51.204824
smallest,1,55,31_32_2_1_12_43_0_39,51.212302
smallest,1,56,31_32_2_12_1_43_0_39,51.199536
smallest,1,57,31_32_2_12_1_43_0_39,51.215378
smallest,1,58,31_32_2_12_1_43_0_39,51.209743
smallest,1,59,31_32_2_12_1_43_0_39,51.246085
smallest,1,60,31_32_2_12_1_43_0_39,51.213030
smallest,1,61,31_32_2_12_1_43_0_39,51.197185
smallest,1,62,31_32_2_12_1_43_0_39,51.259198
smallest,1,63,31_32_12_2_1_43_0_39,51.231330
smallest,1,64,31_32_12_2_1_43_0_39,51.259888
smallest,1,65,31_32_2_12_1_43_0_39,51.205511
smallest,1,66,31_32_2_12_1_43_0_39,51.182333
smallest,1,67,31_32_2_12_1_43_0_39,51.206144
smallest,1,68,31_32_12_2_1_43_0_39,51.212183
smallest,1,69,31_32_2_12_1_43_0_39,51.221272
smallest,1,70,31_32_2_12_43_1_0_39,51.233802
smallest,1,71,31_32_2_12_1_43_0_39,51.214867
smallest,1,72,31_32_2_12_1_43_0_39,51.239401
smallest,1,73,31_32_2_12_1_43_0_39,51.199703
smallest,1,74,31_32_2_12_1_43_0_39,51.205661
smallest,1,75,31_32_2_12_1_43_0_39,51.236352
smallest,1,76,31_32_2_12_1_43_0_39,51.206643
smallest,1,77,31_32_2_12_1_43_0_39,51.179159
smallest,1,78,31_32_2_12_1_43_0_39,51.197873
smallest,1,79,31_32_2_12_1_43_0_39,51.253876
smallest,1,80,31_32_2_12_1_43_0_39,51.217915
smallest,1,81,31_32_2_12_1_43_0_39,51.190688
smallest,1,82,31_32_2_12_1_43_0_39,51.249504
smallest,1,83,31_32_2_12_1_43_0_39,51.207186
smallest,1,84,31_32_2_12_1_43_0_39,51.207369
smallest,1,85,31_32_2_12_1_43_0_39,51.186311
smallest,1,86,31_32_2_12_1_43_0_39,51.202649
smallest,1,87,31_32_2_12_1_43_0_39,51.209417
smallest,1,88,31_32_2_12_1_43_0_39,51.236081
smallest,1,89,31_32_2_12_1_43_0_39,51.219183
smallest,1,90,31_32_2_12_1_43_0_39,51.186185
smallest,1,91,31_32_2_12_1_43_0_39,51.163197
smallest,1,92,31_32_2_12_1_43_0_39,51.225995
smallest,1,93,31_32_2_1_12_43_0_39,51.206011
smallest,1,94,31_32_2_1_12_43_0_39,51.213880
smallest,1,95,31_32_2_1_12_43_0_39,51.219873
smallest,1,96,31_32_2_1_12_43_0_39,51.243364
smallest,1,97,31_32_2_1_12_43_0_39,51.201727
smallest,1,98,31_32_2_1_12_43_0_39,51.203222
smallest,1,99,31_32_2_1_12_43_0_39,51.222155
smallest,1,100,31_32_2_1_12_43_0_39,51.243067
smallest,1,101,31_32_2_1_12_43_0_39,51.213228
smallest,1,102,31_32_2_1_12_43_0_39,51.223844
smallest,1,103,31_32_2_1_43_12_0_39,51.208709
smallest,1,104,31_32_2_1_43_12_0_39,51.218913
smallest,1,105,31_32_2_1_43_12_0_39,51.229885
smallest,1,106,31_32_2_1_43_12_0_39,51.259265
smallest,1,107,31_32_2_1_43_12_0_39,51.230749
