Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cyclic,1,11,51_33_8_2_92_52_55_80_34_1,50.590000
cyclic,1,12,73_89_91_87_25_11_41_70_48_43,50.730505
cyclic,1,13,68_30_19_3_75_23_0_94_96_27,51.988177
cyclic,1,14,12_11_53_28_9_22_24_34_20_17,50.479029
cyclic,1,15,29_67_7_84_85_69_47_80_52_35,55.108863
cyclic,1,16,62_15_9_45_82_16_95_74_32_65,54.252806
cyclic,1,17,80_6_40_60_69_76_11_18_7_24,49.945555
cyclic,1,18,44_61_86_27_99_97_15_24_11_80,49.084153
cyclic,1,19,80_25_73_24_14_4_69_50_54_11,49.242037
cyclic,1,20,54_52_15_1_81_80_11_50_5_27,48.377381
cyclic,1,21,10_51_80_76_73_27_8_24_93_11,48.483226
cyclic,1,22,27_26_89_8_70_25_15_36_73_11,48.602285
cyclic,1,23,63_55_81_39_79_24_88_11_15_27,47.766814
cyclic,1,24,46_53_1_52_80_3_15_24_27_11,47.962091
cyclic,1,25,25_98_37_8_46_73_15_11_76_27,48.625986
cyclic,1,26,1_59_8_6_73_91_36_51_11_69,49.691431
cyclic,1,27,89_48_94_76_8_11_66_24_51_69,49.331320
cyclic,1,28,53_55_69_94_80_42_15_24_73_11,47.797714
cyclic,1,29,69_38_30_67_76_80_6_15_73_11,48.875404
cyclic,1,30,80_25_69_76_81_88_11_15_66_73,48.283272
cyclic,1,31,56_25_23_73_80_69_7_88_24_11,49.494703
cyclic,1,32,67_80_25_14_88_15_27_73_76_11,48.307331
cyclic,1,33,89_88_16_73_67_25_15_1_69_11,48.752253
cyclic,1,34,21_76_15_67_54_88_73_52_27_11,48.615107
cyclic,1,35,15_11_88_25_13_2_73_69_55_1,48.186873
cyclic,1,36,1_69_55_50_24_25_73_15_23_11,47.627320
cyclic,1,37,24_15_80_73_1_25_55_6_69_11,47.621900
cyclic,1,38,55_94_73_11_15_69_78_1_24_25,47.856286
cyclic,1,39,63_55_15_1_30_24_73_94_69_11,48.027960
cyclic,1,40,52_1_15_55_24_80_8_73_11_27,47.385825
cyclic,1,41,1_50_23_11_25_67_27_15_55_73,47.715396
cyclic,1,42,1_11_0_73_27_41_18_67_94_15,48.820848
cyclic,1,43,1_53_11_25_55_96_27_15_73_19,47.769001
cyclic,1,44,27_55_24_73_25_1_6_15_11_23,47.525112
cyclic,1,45,25_53_1_50_55_15_24_73_27_11,47.169205
cyclic,1,46,25_15_80_27_11_1_73_24_94_55,47.380825
cyclic,1,47,24_1_15_94_30_55_54_27_73_11,47.757371
cyclic,1,48,1_53_11_55_24_94_73_30_15_27,47.497000
cyclic,1,49,81_1_63_15_27_8_24_94_73_11,47.846951
cyclic,1,50,53_30_16_94_1_24_15_73_27_11,48.156697
cyclic,1,51,73_41_70_1_24_15_27_94_8_11,48.250624
cyclic,1,52,94_54_55_15_24_80_73_11_27_1,47.614479
cyclic,1,53,89_1_80_55_15_45_24_11_73_27,47.507790
cyclic,1,54,25_55_3_11_95_24_15_94_27_73,47.520848
cyclic,1,55,0_24_18_76_75_15_73_27_86_11,48.180937
cyclic,1,56,48_55_73_11_27_10_3_1_24_15,47.669690
cyclic,1,57,80_89_24_94_55_1_73_15_27_11,47.523817
cyclic,1,58,24_11_50_34_80_52_69_55_73_15,47.586212
cyclic,1,59,53_80_50_24_52_55_15_73_27_11,47.218889
cyclic,1,60,1_73_50_24_11_80_55_52_15_27,47.343629
cyclic,1,61,75_25_50_69_55_53_15_24_73_11,47.406746
cyclic,1,62,50_71_11_1_15_55_25_69_73_24,47.613627
cyclic,1,63,25_69_17_88_53_24_73_11_34_15,48.054134
cyclic,1,64,1_67_34_69_25_88_11_73_17_15,48.640667
cyclic,1,65,53_74_73_34_94_55_24_97_15_11,48.138792
cyclic,1,66,14_1_69_11_50_49_73_55_24_15,47.950825
cyclic,1,67,55_25_80_24_73_23_50_15_11_69,47.567611
cyclic,1,68,41_55_88_25_23_73_24_69_15_11,47.939499
cyclic,1,69,27_18_76_73_24_80_50_15_11_55,47.507810
cyclic,1,70,80_73_45_8_24_15_69_11_34_55,47.708683
cyclic,1,71,1_55_22_94_30_24_15_11_73_27,47.793416
cyclic,1,72,54_1_55_73_24_11_15_69_34_6,47.877270
cyclic,1,73,6_80_53_34_69_24_15_55_73_11,47.622943
cyclic,1,74,1_15_24_25_88_53_55_73_27_11,47.246211
cyclic,1,75,1_81_18_55_6_73_24_15_27_11,47.448252
cyclic,1,76,23_25_27_73_1_94_11_15_24_55,47.526083
cyclic,1,77,11_34_25_55_69_22_73_24_15_23,47.899085
cyclic,1,78,34_69_24_0_55_23_15_22_73_11,48.114940
cyclic,1,79,25_69_80_23_73_55_15_43_24_11,47.814714
cyclic,1,80,34_23_52_80_69_73_15_24_55_11,47.801088
cyclic,1,81,39_88_89_73_55_69_23_15_24_11,47.749589
cyclic,1,82,25_15_69_34_73_88_23_24_55_11,47.736450
cyclic,1,83,76_24_27_3_55_25_6_11_73_15,47.475187
cyclic,1,84,55_15_24_1_11_73_41_3_6_27,47.624842
cyclic,1,85,88_1_27_10_24_3_15_73_11_55,47.516308
cyclic,1,86,34_23_80_73_11_94_15_24_55_27,47.672620
cyclic,1,87,80_27_24_19_62_15_45_73_55_33,48.701539
cyclic,1,88,88_25_24_73_34_69_80_55_11_15,47.596473
cyclic,1,89,81_53_86_73_27_24_48_15_55_11,47.417165
cyclic,1,90,23_25_48_50_73_55_15_24_27_11,47.485639
cyclic,1,91,94_24_81_53_48_55_15_11_73_27,47.365606
cyclic,1,92,23_73_25_88_27_48_24_55_15_11,47.598708
cyclic,1,93,9_48_81_24_73_55_11_94_15_27,47.634456
cyclic,1,94,55_27_11_39_48_53_22_15_24_73,47.599924
cyclic,1,95,94_81_80_53_55_73_24_15_27_11,47.232967
cyclic,1,96,25_88_1_19_73_27_33_24_55_15,48.406582
cyclic,1,97,27_8_53_24_94_3_15_55_11_73,47.297691
cyclic,1,98,8_59_23_27_94_11_24_15_73_55,47.703264
cyclic,1,99,55_22_25_11_34_23_73_69_24_15,47.885600
cyclic,1,100,55_81_52_23_15_73_11_24_88_27,47.375712
cyclic,1,101,90_23_25_6_27_15_73_24_55_11,47.644277
cyclic,1,102,53_1_25_50_24_15_73_55_11_27,47.137452
cyclic,1,103,69_81_3_25_34_55_73_2_15_11,47.780235
cyclic,1,104,62_53_69_24_6_34_73_55_11_15,47.674709
cyclic,1,105,25_53_81_11_50_15_24_73_55_27,47.010800
