Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
independent,1,11,90_45_63_10_70_60_56_81_32_26,51.168998
independent,1,12,84_38_67_29_91_75_13_76_36_19,54.853773
independent,1,13,73_31_59_42_92_48_2_54_34_53,52.347969
independent,1,14,98_62_18_3_64_23_28_27_9_65,56.109641
independent,1,15,16_77_12_65_40_24_30_95_86_69,53.202025
independent,1,16,39_37_57_79_83_68_53_74_1_35,55.039080
independent,1,17,8_60_48_70_82_97_40_69_71_41,51.380976
independent,1,18,90_28_30_65_45_35_31_21_14_67,52.081352
independent,1,19,35_90_78_96_20_53_70_28_44_84,52.771271
independent,1,20,60_6_70_40_42_65_53_88_93_46,52.822586
independent,1,21,43_70_60_51_31_26_32_69_74_49,49.136335
independent,1,22,69_65_40_84_53_70_31_4_58_32,49.309345
independent,1,23,2_74_53_40_70_32_31_69_58_43,48.124717
independent,1,24,48_70_30_40_35_37_15_65_32_2,48.926825
independent,1,25,31_37_42_69_74_2_53_70_32_5,48.576294
independent,1,26,43_90_64_0_65_53_79_70_31_32,49.428381
independent,1,27,64_2_70_40_74_65_53_42_37_32,49.232668
independent,1,28,92_65_64_69_40_42_2_53_70_32,48.780035
independent,1,29,30_75_2_24_69_19_53_32_70_64,48.502184
independent,1,30,52_69_60_40_31_53_2_32_64_70,48.373421
independent,1,31,84_67_69_31_74_40_2_32_64_70,48.264253
independent,1,32,57_32_54_31_65_61_69_64_2_70,48.781477
independent,1,33,56_90_53_26_69_17_2_64_32_70,49.390509
independent,1,34,47_12_79_65_53_69_64_2_32_70,48.891402
independent,1,35,31_48_29_69_42_90_64_2_32_70,48.752151
independent,1,36,24_69_2_48_42_90_31_64_32_70,48.832608
independent,1,37,75_85_29_69_31_64_40_2_70_32,48.589200
independent,1,38,69_64_90_42_67_31_19_2_32_70,48.339437
independent,1,39,31_35_69_45_42_67_64_2_32_70,48.565001
independent,1,40,69_37_30_53_42_2_64_35_70_32,48.608909
independent,1,41,80_10_65_60_58_87_53_2_70_32,49.363035
independent,1,42,92_19_16_69_60_31_84_70_2_32,48.618313
independent,1,43,48_30_31_69_54_9_60_2_70_32,48.492480
independent,1,44,2_69_57_76_48_30_9_60_70_32,49.067635
independent,1,45,56_40_69_60_72_30_48_2_70_32,48.645559
independent,1,46,57_69_65_4_60_48_30_2_70_32,48.737970
independent,1,47,31_42_67_69_76_30_60_2_70_32,48.423081
independent,1,48,65_31_2_69_53_30_46_60_70_32,48.168132
independent,1,49,79_90_30_69_65_13_60_2_70_32,48.803932
independent,1,50,31_9_90_69_65_60_99_2_32_70,48.478076
independent,1,51,13_76_70_90_69_53_65_60_2_32,48.996919
independent,1,52,63_53_31_69_65_90_60_2_32_70,48.374067
independent,1,53,69_31_53_60_65_90_63_2_32_70,48.358766
independent,1,54,9_65_26_90_63_53_60_2_70_32,48.937363
independent,1,55,30_69_26_90_65_53_60_2_32_70,48.315617
independent,1,56,42_69_76_26_49_60_65_2_32_70,48.949193
independent,1,57,38_40_84_69_13_65_60_2_70_32,48.901322
independent,1,58,90_67_40_69_65_60_38_2_70_32,48.675012
independent,1,59,67_53_40_69_38_70_65_60_2_32,48.673709
independent,1,60,76_93_69_90_2_67_60_65_32_70,48.931895
independent,1,61,50_74_97_76_60_69_65_2_32_70,48.967495
independent,1,62,48_31_69_13_76_60_65_2_32_70,48.620593
independent,1,63,30_76_31_69_67_60_65_2_32_70,48.226659
independent,1,64,30_58_43_59_69_60_65_2_32_70,48.338128
independent,1,65,30_84_69_5_35_60_65_2_32_70,48.515780
independent,1,66,69_26_60_35_70_30_84_65_2_32,48.403874
independent,1,67,26_69_30_35_84_70_60_2_65_32,48.364628
independent,1,68,43_63_69_30_84_60_65_2_70_32,48.454291
independent,1,69,69_31_74_84_30_60_65_2_70_32,48.133420
independent,1,70,31_69_19_30_84_60_2_65_70_32,47.933077
independent,1,71,58_69_19_84_30_60_2_65_70_32,48.189405
independent,1,72,69_31_30_19_84_60_2_65_32_70,47.945115
independent,1,73,90_35_31_30_60_69_2_65_32_70,48.068657
independent,1,74,31_67_69_90_30_70_60_2_65_32,48.121580
independent,1,75,53_69_30_90_31_32_60_2_65_70,48.077501
independent,1,76,46_31_69_30_90_60_2_65_70_32,48.319125
independent,1,77,69_64_76_30_2_60_31_65_70_32,48.177781
independent,1,78,40_23_69_42_60_31_2_65_70_32,48.348609
independent,1,79,48_69_84_32_40_31_60_2_65_70,48.316605
independent,1,80,84_37_30_69_31_60_2_65_70_32,48.376022
