Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cluster,1,21,10_6_82_98_79_188_142_162_86_29,57.598827
cluster,1,22,24_194_170_196_4_195_179_7_122_91,52.874718
cluster,1,23,25_26_134_2_65_35_41_140_12_36,53.769791
cluster,1,24,116_85_9_111_74_171_67_8_178_103,51.310132
cluster,1,25,16_149_32_47_28_132_45_11_38_183,55.410850
cluster,1,26,169_114_167_62_50_104_14_130_110_139,53.515560
cluster,1,27,155_27_64_90_5_186_193_51_3_34,52.385473
cluster,1,28,169_159_93_192_99_0_84_15_123_22,52.931058
cluster,1,29,107_144_120_172_190_78_88_60_133_77,55.355264
cluster,1,30,169_19_87_62_115_132_112_58_72_184,51.874876
cluster,1,31,173_27_143_76_115_23_126_150_3_56,49.884177
cluster,1,32,155_18_145_136_74_68_168_163_3_161,51.538501
cluster,1,33,169_33_129_62_54_166_175_151_72_127,51.626476
cluster,1,34,169_85_73_146_74_121_84_150_3_103,48.495663
cluster,1,35,155_85_120_62_115_61_83_150_3_176,52.197240
cluster,1,36,169_39_177_62_108_132_95_141_38_37,54.385488
cluster,1,37,169_40_138_62_44_152_88_150_3_105,50.446177
cluster,1,38,169_189_165_94_74_132_84_150_118_103,50.035638
cluster,1,39,89_85_70_43_74_147_84_150_3_184,50.009830
cluster,1,40,169_18_177_2_115_121_88_150_72_22,48.691445
cluster,1,41,169_27_73_101_74_0_88_156_3_109,48.129923
cluster,1,42,169_6_120_62_74_23_88_150_178_22,48.289623
cluster,1,43,169_27_117_146_115_132_88_150_72_22,49.176777
cluster,1,44,169_27_64_76_74_57_95_150_123_183,48.061206
cluster,1,45,10_33_70_106_74_92_142_150_12_22,51.358744
cluster,1,46,155_128_129_158_74_59_88_150_178_113,49.902767
cluster,1,47,169_27_165_90_74_185_41_150_3_103,48.867520
cluster,1,48,169_33_181_146_50_137_175_150_3_105,50.647560
cluster,1,49,169_85_73_62_115_199_84_150_38_34,49.747638
cluster,1,50,169_18_177_2_74_152_84_150_178_22,49.479620
cluster,1,51,169_27_138_62_74_132_67_150_12_135,49.241580
cluster,1,52,169_159_87_154_74_132_67_8_72_184,49.801006
cluster,1,53,169_27_73_111_74_132_142_150_3_103,48.587438
cluster,1,54,169_18_9_76_74_121_88_58_72_34,47.188849
cluster,1,55,169_27_70_62_65_23_95_58_123_183,51.258789
cluster,1,56,169_85_120_31_74_23_67_150_178_103,49.133314
cluster,1,57,169_33_64_146_74_0_175_150_3_22,49.413048
cluster,1,58,169_6_66_80_74_132_88_150_72_37,49.391641
cluster,1,59,169_27_165_76_74_23_88_156_178_22,47.117290
cluster,1,60,169_18_177_136_74_121_88_150_123_113,47.150300
cluster,1,61,169_18_177_90_74_121_88_150_3_105,47.849407
cluster,1,62,169_55_87_21_74_147_88_198_178_176,48.398540
cluster,1,63,173_55_87_180_74_199_88_140_96_184,50.894812
cluster,1,64,169_159_177_111_74_121_88_151_178_103,47.477943
cluster,1,65,169_27_143_1_79_121_88_51_178_184,48.367691
cluster,1,66,169_6_177_119_74_132_88_198_178_183,48.361854
cluster,1,67,16_27_32_97_74_132_88_150_72_22,49.623972
cluster,1,68,169_85_64_52_74_68_88_58_3_34,49.063490
cluster,1,69,25_27_138_30_74_68_88_150_3_22,48.554981
cluster,1,70,25_19_64_30_74_68_88_150_178_22,48.961453
cluster,1,71,169_49_64_153_53_121_88_156_178_135,49.550934
cluster,1,72,155_189_64_76_74_121_88_156_123_29,48.783384
cluster,1,73,169_27_64_47_74_188_88_156_12_103,48.320436
cluster,1,74,169_27_64_76_75_147_88_151_72_157,48.944785
cluster,1,75,169_27_64_76_74_186_88_150_72_103,46.953035
cluster,1,76,169_27_120_1_74_121_88_156_38_113,46.835536
cluster,1,77,169_27_64_76_74_68_88_156_123_22,47.699154
