Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
30,4.077746,4.073079,1.612715,1.578228,1.710717,1.671411,1.479182,1.460562,1.454555,1.435907,0.765386,0.764883,0.73146,0.76424,0.798099,0.758221,0.775643,0.751954,0.716022,0.778521,0.728203,0.765917,0.764802,0.871509,0.721063,0.902707,0.873048,0.886008,0.918351,0.920779,0.904272,0.89434,0.881306,0.877773,0.903004,0.937371,0.338089,0.358766,0.312138,0.368453,0.374217,0.328871,0.357793,0.355016,0.361229,0.348311,0.351776,0.36329,0.324626,0.344021,0.382473,0.336163,0.336894,0.318071,0.33154,0.328744,0.341165,0.315993,0.330747,0.363966,0.338113,0.368543,0.335226,0.324767,0.302984,0.348659,0.357892,0.295551,0.433629,0.476965,0.353727,0.325539,0.35481,0.288196,0.483443,0.34304,0.323138,0.321069,0.487984,0.326059,0.335286,0.460759,0.488961,0.449184,0.345382,0.45395,0.467198,0.358009,0.333533,0.349298,0.441482,0.475606,0.327024,0.436002,0.474511,0.440138,0.445479,0.453272,0.456119,0.430406,0.433301,0.461906,0.436335,0.470568,0.471191,0.4487,0.465099,0.46962,0.460104,0.43288,0.444078,0.449209,0.460106,0.470888,0.450841,0.450255,0.466331,0.475385,0.465352,0.487256,0.453712,0.481347,0.418345,0.428222,0.4395,0.47273,0.429982,0.447517,0.4644,0.502242,0.481947,0.454787,0.476945,0.449716,0.4648,0.424144,0.442678,0.469978,0.464428,0.471719,0.435755,0.472554,0.447544,,,,,,,
31,2.426811,3.592808,3.649585,2.919736,2.921154,3.634229,0.952259,0.9787,0.972913,0.924961,0.75347,0.743351,0.723967,0.704301,0.713263,0.730544,0.773649,0.840137,0.851725,0.80909,0.812846,0.808654,0.779321,0.833467,0.834487,0.973203,0.973703,0.799234,0.942084,0.966878,0.799305,0.775297,0.809954,0.818719,0.787972,0.761395,0.818098,0.768565,0.784344,0.814772,0.777954,0.826276,0.656178,0.803037,0.367974,0.378296,0.344027,0.342868,0.371693,0.362264,0.392218,0.379982,0.357292,0.363405,0.405112,0.378284,0.37287,0.391593,0.398197,0.383844,0.358359,0.398625,0.359414,0.379322,0.423696,0.381424,0.629415,0.596132,0.601817,0.554564,0.601317,0.583492,0.586135,0.615915,0.616429,0.617096,0.613206,0.546842,0.569056,0.557273,0.56864,0.558748,0.574218,0.552095,0.566882,0.589371,0.567022,0.568768,0.563115,0.531301,0.566865,0.594283,0.557321,0.567044,0.598539,0.600955,0.562007,0.581155,0.576193,0.570919,0.541643,0.520913,0.560871,0.527681,0.525813,0.567945,0.544036,0.549989,0.565563,0.569443,0.375258,0.576235,0.587904,0.532501,0.564613,0.378372,0.384842,0.354538,0.380593,0.352952,0.563558,0.56294,0.555223,0.366878,0.367352,0.555205,0.380083,0.391859,0.369058,0.552616,0.351605,0.398613,0.558863,0.568793,0.369713,0.568533,0.384376,0.597117,0.570631,0.387436,0.571763,0.58039,0.567373,,,,,,,
32,1.893038,1.919898,2.711001,2.703896,2.739415,1.912064,1.95731,1.80954,1.955274,1.01629,1.971678,1.194932,1.223057,1.174461,1.196743,1.209299,0.733362,0.710469,0.733871,0.709145,0.725398,0.742613,0.720193,0.708948,0.713724,0.677708,0.711843,1.462066,1.126876,0.764381,0.713671,0.712115,0.725455,0.682492,0.725689,1.133991,0.550317,0.293034,0.314043,0.333158,0.318291,0.322988,0.326759,0.313448,0.334475,0.336781,0.276063,0.295636,0.287035,0.304361,0.271983,0.551243,0.486723,0.503571,0.497706,0.517652,0.499865,0.50823,0.489331,0.477155,0.514859,0.394322,0.380782,0.362133,0.400205,0.420295,0.40873,0.400216,0.496674,0.404358,0.394044,0.375481,0.426543,0.317739,0.394146,0.432337,0.398089,0.432359,0.389891,0.399758,0.355076,0.366205,0.409482,0.410124,0.419111,0.401327,0.445677,0.429438,0.401156,0.398365,0.39023,0.421951,0.469946,0.406862,0.420749,0.406926,0.419416,0.379427,0.39519,0.410895,0.375328,0.403596,0.413688,0.394824,0.408986,0.306915,0.365431,0.388544,0.397529,0.376033,0.402139,0.403197,0.362265,0.398845,0.383604,0.38512,0.41645,0.378059,0.433507,0.396316,0.396588,0.368304,0.400593,0.406394,0.420752,0.389087,0.426777,0.443779,0.38713,0.38895,0.353769,0.411333,0.394431,0.424291,0.409775,0.41488,0.417489,0.374422,0.45648,0.379817,0.417795,0.384324,0.382652,,,,,,,
33,2.482771,3.443459,2.494535,2.120219,2.402629,2.305938,2.250793,0.824007,0.793833,0.782681,0.786269,0.7699,1.944591,1.972265,0.741019,0.73823,0.774138,0.685314,0.668865,0.678462,0.803765,0.651124,0.669166,0.653737,0.698254,0.670087,0.690105,0.690468,0.660364,0.65625,0.292482,0.427392,0.443575,0.410364,0.4123,0.394795,0.395619,0.410967,0.391026,0.445821,0.405328,0.393868,0.411562,0.42411,0.409593,0.437632,0.435545,0.432018,0.441969,0.411921,0.401164,0.410521,0.405295,0.378104,0.407573,0.432855,0.390034,0.422412,0.435904,0.402447,0.415946,0.398,0.421659,0.431285,0.427157,0.40577,0.390985,0.404285,0.372262,0.410153,0.389911,0.411602,0.42284,0.371585,0.42573,0.420495,0.421264,0.423609,0.424084,0.414902,0.419357,0.424646,0.411131,0.37838,0.394821,0.394056,0.393058,0.37382,0.365526,0.413732,0.403827,0.415468,0.392628,0.627444,0.404263,0.634584,0.450017,0.410512,0.369817,0.396079,0.39122,0.385941,0.40999,0.63846,0.431931,0.373597,0.622664,0.418755,0.456258,0.619149,0.501581,0.649047,0.450458,0.607966,0.429312,0.598501,0.395719,0.393449,0.659261,0.430403,0.648767,0.417607,0.694123,0.378233,0.390807,0.421905,0.475998,0.631435,0.41662,0.389191,0.427068,0.404365,0.609644,0.672821,0.404795,0.63264,0.423163,0.639692,0.628142,0.380185,0.553417,0.626858,0.397813,,,,,,,
34,4.650569,4.641537,2.152599,0.985048,0.917286,0.985749,0.981408,0.69397,0.681489,0.70139,0.707581,0.673103,0.399436,0.397835,0.403927,0.385048,0.379043,0.481284,0.503671,0.381368,0.497234,0.511226,0.516343,0.501014,0.495694,0.486971,0.493992,0.42625,0.455197,0.46408,0.458918,0.446358,0.427236,0.396242,0.483995,0.633617,0.449722,0.374778,0.440097,0.421333,0.475215,0.476431,0.459843,0.461748,0.427195,0.429597,0.407849,0.445238,0.469259,0.478247,0.430693,0.47563,0.441505,0.443705,0.445919,0.468272,0.456692,0.4217,0.405466,0.458665,0.45202,0.688719,0.457891,0.573438,0.426772,0.443655,0.466858,0.411704,0.46166,0.432486,0.388475,0.485343,0.401438,0.420955,0.62411,0.463,0.448973,0.492868,0.588032,0.460783,0.423804,0.504474,0.446819,0.68849,0.420979,0.476183,0.462302,0.44912,0.419729,0.423369,0.439661,0.455887,0.425024,0.435037,0.434933,0.436436,0.450418,0.464641,0.421056,0.431612,0.421033,0.433293,0.458175,0.462517,0.409445,0.477246,0.458948,0.449795,0.508373,0.439485,0.453682,0.40312,0.460696,0.450908,0.44627,0.497934,0.446158,0.440904,0.416264,0.47008,0.411852,0.432609,0.436548,0.433754,0.4484,0.417856,0.415036,0.443327,0.416042,0.405428,0.439945,0.286467,0.430835,0.438754,0.420343,0.502671,0.32938,0.3795,0.446346,0.387586,0.426316,0.401562,0.405537,,,,,,,
35,2.327739,2.30138,2.339426,2.2966,2.799433,1.208475,0.880426,0.83364,0.889155,0.863291,0.878882,0.470914,0.885864,0.857241,0.920403,0.88439,0.881056,1.407251,1.399029,0.885939,1.406588,0.997096,0.873386,1.38263,0.899833,0.890503,0.884096,0.966933,0.892131,1.003895,0.976683,0.978514,0.988987,1.002999,0.99891,1.012187,0.988701,1.008926,0.871276,0.991742,0.991368,0.936217,0.990291,0.890817,0.898475,0.879739,0.420415,0.391243,0.366629,0.596421,0.666883,0.621825,0.606851,0.65067,0.63085,0.369305,0.614426,0.605942,0.42901,0.620913,0.396018,0.421585,0.416246,0.171919,0.15869,0.179039,0.154717,0.177531,0.166073,0.190081,0.409359,0.39574,0.388752,0.155215,0.147975,0.414017,0.41071,0.36971,0.361253,0.339239,0.393003,0.387877,0.375688,0.384411,0.382871,0.405696,0.331384,0.391107,0.389089,0.307058,0.34084,0.397567,0.417081,0.406097,0.430513,0.398949,0.414824,0.407548,0.381765,0.411481,0.396242,0.382373,0.414071,0.433758,0.396676,0.398558,0.364227,0.400554,0.41468,0.397335,0.413927,0.398049,0.396317,0.355213,0.396814,0.385385,0.394942,0.41627,0.448173,0.398339,0.382838,0.394466,0.338575,0.353484,0.378242,0.392954,0.367669,0.389262,0.406268,0.379467,0.29757,0.369893,0.394418,0.441788,0.424239,0.401631,0.380451,0.39872,0.386997,0.416847,0.407249,0.335827,0.374693,,,,,,,
36,2.882383,4.869582,4.86305,3.363849,1.591167,1.649353,1.145061,1.167558,1.152578,1.154473,1.108867,1.054999,1.065617,1.070559,0.441604,1.123543,0.405046,0.429146,0.429468,0.448777,0.431907,0.43119,0.455182,0.427126,0.416906,0.41861,0.438606,0.411372,0.421164,0.388406,0.425424,0.440572,0.408406,0.428637,0.411934,0.407348,0.436054,0.406622,0.46413,0.398086,0.424392,0.4512,0.460283,0.479188,0.443078,0.435448,0.400031,0.415521,0.414386,0.391175,0.387109,0.405494,0.424627,0.423109,0.406399,0.40025,0.440853,0.460075,0.456245,0.396779,0.407001,0.415771,0.381588,0.37598,0.408884,0.40388,0.439985,0.399964,0.453707,0.41534,0.409368,0.408079,0.425128,0.408798,0.429709,0.357982,0.414057,0.412999,0.400927,0.452507,0.407944,0.399288,0.438265,0.389073,0.39615,0.428011,0.430855,0.410803,0.425107,0.434945,0.424663,0.407339,0.429005,0.428791,0.402709,0.423088,0.423504,0.426834,0.396705,0.389119,0.412323,0.42547,0.421669,0.369676,0.436648,0.404089,0.446358,0.459384,0.430074,0.394617,0.417572,0.43166,0.429074,0.421991,0.443849,0.465907,0.376106,0.404767,0.419308,0.409956,0.444388,0.449568,0.433212,0.413981,0.399432,0.419991,0.409984,0.406665,0.410892,0.468688,0.407625,0.461073,0.482825,0.452096,0.399519,0.455481,0.440341,0.467756,0.439134,0.462198,0.46605,0.473712,0.411624,,,,,,,
37,3.570337,3.565163,3.580138,1.680413,1.690322,1.677589,1.072599,0.801798,1.072171,1.082405,1.084261,1.089985,1.296825,1.286523,1.290324,0.908521,0.909985,0.490668,0.48341,0.525544,0.529255,0.504795,0.481686,0.528755,0.535079,0.53492,0.529154,0.537705,0.528208,0.477918,0.3648,0.156085,0.219547,0.195136,0.212851,0.519455,0.173287,0.502863,0.515716,0.508475,0.533689,0.51015,0.493745,0.459655,0.549534,0.517548,0.491658,0.537599,0.510132,0.489336,0.516366,0.501385,0.485338,0.533891,0.496503,0.496089,0.493803,0.482734,0.498585,0.48721,0.475638,0.480396,0.515008,0.509851,0.541913,0.515655,0.510047,0.545132,0.540378,0.499414,0.535407,0.513958,0.523242,0.481919,0.194009,0.509784,0.186771,0.215461,0.206748,0.201853,0.160384,0.172623,0.191598,0.209873,0.522391,0.519251,0.211091,0.218826,0.204439,0.214077,0.201307,0.196237,0.226657,0.202215,0.204019,0.175589,0.207486,0.226322,0.205511,0.194471,0.170779,0.224593,0.241353,0.214111,0.222336,0.181569,0.224934,0.193692,0.202407,0.197378,0.23047,0.213641,0.210576,0.150892,0.208005,0.190819,0.191428,0.141652,0.211906,0.222303,0.171162,0.167995,0.219633,0.245549,0.212342,0.202596,0.172197,0.192806,0.177143,0.204504,0.187776,0.224343,0.192854,0.200858,0.20627,0.186048,0.170122,0.21213,0.148577,0.214964,0.22141,0.161233,0.224847,,,,,,,
38,2.452311,5.509553,3.952794,3.957355,2.628507,0.897952,0.953836,0.921204,0.928057,0.992873,0.820947,0.805658,0.796112,0.926644,0.756436,0.793498,1.045831,1.055565,1.024829,1.025882,1.036147,1.005748,1.013303,0.895383,1.005941,1.056146,1.024804,1.02626,1.042769,0.920759,1.07012,1.021731,1.036771,1.00068,1.002062,1.058182,1.039257,1.060857,0.682757,1.052444,1.001556,1.022687,0.705816,0.722651,0.640975,0.706083,1.022585,0.723273,0.99844,1.00075,1.026156,1.003715,1.071197,0.69543,1.041701,1.025616,0.735975,1.064454,0.986461,0.713506,0.703857,0.692631,0.993688,0.708039,1.007278,0.715481,0.673655,0.791213,0.723487,0.667835,0.722937,0.698229,1.003375,1.042047,0.800887,1.009234,1.015211,0.811968,0.819752,0.766356,0.759327,0.784282,1.032492,0.772029,0.827044,0.773671,1.033421,0.776037,1.045641,1.017795,1.045553,1.02511,0.825953,1.03099,0.798931,0.786321,1.083141,0.780997,1.047287,0.832291,0.793172,0.98312,0.777076,1.047165,1.030587,0.801705,1.013809,0.86781,0.789073,0.778759,0.802593,0.822411,0.790155,0.686531,0.659446,0.677403,0.703542,0.824716,0.803889,0.685436,0.63337,0.832844,0.808741,0.784855,0.837368,0.724178,0.687389,0.766441,0.820742,0.766445,1.026744,0.82456,0.801718,0.802627,0.810874,0.81945,0.776908,1.039703,0.820043,0.788897,0.67771,0.78982,0.701736,,,,,,,
39,2.430277,2.448314,2.419402,1.117507,0.515809,0.526476,0.526596,0.510588,0.528223,0.476791,1.104637,0.946563,0.832579,0.85299,0.801073,0.867656,0.888193,0.813288,0.833448,0.846352,0.825385,0.850847,0.86168,0.582592,0.835635,0.849932,0.863227,0.824933,0.821889,0.845673,0.832794,0.697928,0.710707,0.711544,0.693206,0.753224,0.713162,0.700773,0.704021,0.682454,0.719866,0.402871,0.691474,0.696549,0.680791,0.683991,0.688067,0.711707,0.708329,0.679193,0.705993,0.695923,0.689377,0.674494,0.675948,0.662826,0.709099,0.269329,0.252666,0.260133,0.267548,0.223765,0.255825,0.270407,0.262798,0.256039,0.28813,0.250509,0.288032,0.475313,0.257484,0.28248,0.710607,0.674663,0.713723,0.280077,0.281674,0.729023,0.671305,0.709221,0.230601,0.283478,0.237545,0.248804,0.212068,0.260522,0.229581,0.288667,0.304329,0.255139,0.253909,0.487965,0.258261,0.220289,0.271988,0.269759,0.198417,0.254871,0.258632,0.270781,0.289358,0.489685,0.25743,0.224943,0.261535,0.24294,0.262676,0.278843,0.235424,0.252519,0.231515,0.256205,0.25962,0.37175,0.462983,0.237385,0.396814,0.368752,0.38116,0.424398,0.235138,0.272004,0.395251,0.237791,0.360667,0.26316,0.260165,0.264569,0.251883,0.295073,0.341051,0.390812,0.422899,0.416047,0.386179,0.369834,0.372287,0.344219,0.3833,0.240645,0.361392,0.245104,0.385406,,,,,,,
