Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
120,4.891793,3.763405,1.595082,3.655228,1.604802,3.27923,1.323527,1.595821,1.626141,2.618897,2.117,2.061391,1.675527,2.725152,1.43936,0.845205,0.861847,1.311584,0.935076,1.259288,1.271737,0.845,2.083683,1.658918,2.117355,1.042001,0.916354,1.322624,2.111275,1.408644,1.521195,0.894792,0.579372,0.509951,1.642461,1.00687,1.485961,1.451656,1.182554,0.777012,1.085341,0.693754,1.600116,1.812559,1.538545,1.5866,0.56226,0.843095,0.753058,1.284424,0.629162,1.162883,0.83075,0.616826,0.2118,0.738453,0.408789,0.48962,0.849894,0.571094,0.380975,0.395329,0.439352,0.306079,0.558811,0.673089,0.641888,0.623492,0.585554,0.528583,0.646957,0.502723,0.557035,0.83703,0.9953,1.379604,0.50776,0.663595,0.629949,0.599614,0.961844,0.456941,1.142077,1.059027,0.960702,1.007245,0.936126,0.633224,1.215234,0.659126,0.605203,0.946974,0.956107,0.600814,0.586878,0.577641,0.571746,0.611603,0.583748,0.623146,0.607062,1.516172,0.622379,0.758978,0.554374,0.937341,1.508609,1.512145,0.603128,0.612023,0.60563,0.662772,0.665821,0.680461,0.704288,0.534383,0.581839,0.577492,0.595583,0.609418,0.55342,0.565897,0.843406,0.567212,0.573028,0.553671,0.536107,0.584315,0.57241,0.536011,0.71854,0.71477,0.710396,0.767255,0.744734,0.640397,0.316282,0.552039,0.259522,0.687259,1.042785,0.264791,0.9802,,,,,,,
121,7.507763,4.552214,4.003195,2.75825,2.194049,3.348899,1.454697,1.853774,2.007236,1.800051,1.423882,1.143367,1.70885,1.437496,1.240831,1.24551,1.44716,1.307709,1.269865,1.46351,0.688283,1.825458,0.694329,0.633657,0.294477,0.229,0.431036,0.540677,0.795231,0.457866,0.525572,0.067884,0.636566,1.159887,1.039239,0.894551,0.580565,0.336887,0.646515,1.350224,1.407942,1.129492,1.132303,1.296545,0.847723,1.43236,1.881585,1.051843,0.941774,0.611862,0.95798,1.332197,1.317058,1.10555,1.482277,1.77698,1.640778,1.462573,1.109049,1.137046,0.885309,0.831472,1.096372,1.075776,1.133839,1.227642,0.970453,0.926261,1.141714,1.138697,1.355758,0.580781,0.513007,0.597642,0.67011,0.619557,0.573493,0.589561,0.553871,0.562451,0.738594,0.586725,0.631947,0.64132,0.609376,1.107121,1.267073,0.718035,0.590837,0.541027,0.584974,0.5867,0.573538,0.60479,0.598761,0.589802,0.575236,0.580977,0.569697,0.599055,0.548152,0.574072,0.583493,0.934895,0.908362,0.933505,0.887359,0.566504,0.609518,0.613465,0.583232,0.581088,0.529892,0.925992,0.911797,0.956513,0.871205,0.878191,0.893389,1.134138,0.929017,0.887046,0.901035,0.926755,0.871718,0.932135,0.901677,1.180454,1.556968,0.807543,0.868507,0.921433,0.905635,0.952091,0.603438,0.588141,0.954452,1.13167,0.868873,1.067791,0.847373,0.844258,0.866414,,,,,,,
122,3.029467,2.233739,5.490333,2.169058,1.496376,2.897653,1.671426,3.513328,1.640377,1.469155,2.072141,1.523466,1.510665,1.132721,1.351036,0.640997,1.16238,0.811303,0.706776,1.636593,1.201291,1.800671,1.153828,0.758238,0.822536,1.281074,1.054878,1.212885,0.716203,0.738025,1.415543,1.064817,1.05817,1.02896,1.248234,1.306536,1.505626,0.90073,0.919534,0.915594,0.929764,0.90915,0.976043,0.920753,0.93257,0.899966,0.963197,1.431955,1.215992,1.511852,1.467319,2.128427,1.158283,1.172604,1.73878,1.489282,1.188032,1.3237,0.919846,1.553015,1.636603,0.802138,1.562438,0.618729,1.04908,1.795024,0.933325,0.628433,0.916612,0.799291,1.259342,1.592738,1.29242,1.478942,2.003378,1.967623,1.947324,0.968962,0.953113,0.611417,1.067612,0.940922,0.634243,1.129222,0.606594,0.571052,0.974534,0.933165,0.658737,0.553784,0.546232,0.538965,0.767758,0.751617,0.633816,0.629522,0.61768,1.003808,0.630741,0.654578,0.610722,0.594505,0.624559,0.908677,0.601882,0.604901,0.911466,0.884139,0.994036,0.908274,1.243989,1.104235,1.562218,0.956844,1.296841,0.881575,1.081157,0.75511,0.661086,0.600412,0.734137,0.607745,0.901631,0.99775,0.795025,0.7719,0.612109,0.593717,0.622569,0.56276,1.055472,0.636164,0.624122,0.650441,0.645273,0.992345,0.62136,0.624214,0.599724,0.736274,1.009663,1.550338,1.027487,,,,,,,
123,2.645423,6.810596,1.674986,1.548463,1.577655,3.614385,1.681089,1.14082,2.720432,1.307497,0.895022,2.39766,2.002935,1.75399,1.033694,1.76319,1.110435,0.646694,0.711077,1.168194,2.595363,0.673936,0.665891,0.999137,0.645855,0.549272,0.840715,0.614294,1.38718,0.883353,0.654534,0.721453,1.123595,0.780941,1.536583,1.060381,0.756206,1.11896,0.637483,0.60251,0.251367,0.81298,1.163004,1.816278,1.297925,1.232154,0.852695,0.824253,1.094983,1.024638,0.807703,0.738524,0.494622,0.980693,0.399679,0.41586,0.719467,0.89336,0.938718,0.682527,0.829602,0.987101,0.396464,0.610904,0.853497,0.919098,1.22753,0.8246,0.84409,0.851812,0.732785,0.784906,0.766242,0.87767,1.148708,0.65824,0.50127,0.504626,0.524805,0.508308,0.54863,0.754217,0.801636,0.748531,0.580014,0.756849,0.741004,1.228164,0.596053,1.083259,0.799687,1.305408,1.21471,1.155025,1.492817,1.314721,1.018425,0.930973,1.121931,0.862055,1.106279,1.23684,0.971135,1.166742,0.900494,1.336768,0.621916,0.629254,0.66377,0.633397,0.683583,0.676034,0.690388,0.802471,0.823055,1.320244,1.207008,0.835421,0.815472,1.018057,1.274684,1.158744,1.028326,0.658743,0.665762,0.667792,0.621822,0.672067,0.683539,0.657182,0.69955,0.685809,0.778123,0.754539,1.045781,0.964928,1.110079,1.072221,1.214302,1.183304,0.753389,0.753352,0.815376,,,,,,,
124,5.004457,3.944142,4.099227,2.046078,2.233548,1.820517,2.49179,0.932052,0.786567,0.45574,1.101116,0.301334,0.775715,1.005984,0.41907,1.174857,1.294694,1.335982,0.93193,0.440283,1.023265,1.00188,0.350413,0.38576,1.014202,0.56077,0.829979,0.545923,0.528431,0.854612,0.419888,1.305569,0.650741,1.436231,1.887313,0.837429,0.865846,1.313378,0.986386,0.846405,0.779697,1.381507,1.215897,0.69416,0.815514,0.743691,0.745002,1.05216,1.049715,0.812598,0.786276,0.640198,0.824312,1.307325,0.664146,0.820152,1.531211,0.656014,0.829687,0.812832,0.7599,0.57419,0.793823,0.747287,0.972924,0.953919,0.9472,0.939759,0.97121,0.939561,0.692604,0.620835,1.775422,0.938533,0.929256,0.76342,0.603852,0.641266,0.638414,0.637595,0.63411,0.952888,0.992042,1.217838,0.609527,0.730059,0.708727,0.640401,0.873711,0.617639,0.766252,0.729483,0.723955,0.630338,0.727059,0.965136,1.002217,0.624238,0.628672,0.660482,0.685052,0.982656,0.942566,0.936223,0.975964,0.70303,0.726138,0.940553,0.662658,0.627521,0.991866,0.899003,0.925205,0.857529,0.91967,1.039712,0.858229,0.750574,0.744658,0.718233,1.000095,1.030869,0.961633,0.970772,0.954718,0.755059,0.703594,0.72198,0.72498,0.725728,0.736411,0.715762,0.709792,0.744801,0.759399,0.707257,0.507091,0.784675,0.536599,0.481654,0.530595,0.960861,0.503293,,,,,,,
125,6.127772,5.156838,1.959723,1.568656,3.693729,2.765041,2.306192,1.975755,2.630337,1.840407,1.022687,1.519131,1.756741,1.114618,0.979083,1.344172,2.004573,1.673046,1.613285,1.111024,1.124152,0.978427,0.846485,1.302158,1.215036,1.446201,2.557935,1.43197,0.992138,1.767332,0.868434,1.561861,0.974362,1.416969,2.327952,1.725561,0.776474,0.686993,0.709057,0.509709,0.527479,0.525471,0.536066,0.398929,0.959903,0.923875,0.869413,0.886235,0.939381,0.942559,0.980024,0.966268,0.94828,0.939515,0.865079,0.852712,1.266191,0.955374,0.998202,0.995111,1.038861,0.832228,0.902885,1.233529,0.913334,0.908817,1.193259,0.893735,0.781072,0.74572,0.891459,0.993782,0.950614,1.140917,1.205579,0.819495,0.771818,0.805063,0.906747,0.743624,0.846513,0.991666,0.880902,1.421849,1.251506,1.036348,1.261544,0.947224,1.083624,0.832408,0.791011,0.77238,0.782891,0.80333,1.033986,1.163092,0.83226,0.827052,0.700611,0.976593,0.815693,1.045263,0.657506,0.477619,0.839591,0.836009,0.84202,0.698914,0.715357,0.825138,0.948388,0.546807,0.530415,0.496099,0.416866,0.389336,0.391781,0.385809,0.428128,0.402392,0.758345,0.761847,0.762,0.782826,0.811823,0.786138,0.788376,0.960412,0.962987,0.986543,0.922082,0.951497,0.778026,0.712191,0.96624,0.786923,0.974855,0.942686,0.889607,0.909878,0.510444,0.424339,0.420273,,,,,,,
126,5.55676,3.414012,2.536961,4.238246,1.953366,2.867258,2.299317,1.190351,3.57217,2.163952,1.316834,2.347123,1.425917,1.056612,1.370399,1.942806,1.907295,1.866973,1.404282,1.747652,1.419007,0.564313,0.811588,1.310548,1.367364,1.451133,1.308063,0.92058,1.359601,1.105416,2.09522,1.293536,1.06183,1.541931,0.949379,0.808321,0.85234,1.731127,1.095685,0.828899,1.481386,0.93642,1.003237,1.0275,1.002663,1.060991,0.99192,1.019994,1.364772,1.252213,0.949197,0.805629,0.735747,0.766117,0.733007,0.614455,0.801315,0.594461,0.723441,0.948363,1.046145,1.052744,0.832099,0.829059,1.207386,1.063925,0.785418,1.110441,0.800504,0.785021,0.663315,0.676949,1.093291,1.096511,1.403687,0.899147,0.953898,0.706956,1.082753,1.049072,1.003472,1.048062,1.063636,1.044794,1.075338,1.072141,1.079262,1.109299,1.146905,1.111309,1.093192,1.152416,1.044152,0.885476,1.232216,1.336394,1.445497,1.061126,1.079608,1.032178,1.381845,1.355605,1.376948,1.080662,0.750046,0.820911,0.684372,0.942335,0.636013,0.92989,1.025267,1.061324,1.065838,1.062949,1.080546,1.029538,1.072791,1.07267,1.024357,0.834513,1.014907,1.049138,1.058503,0.792391,0.791786,0.811372,0.791452,0.801588,0.81602,0.824491,0.805344,0.790166,0.745553,0.763881,0.792227,0.807491,0.827827,0.822168,0.801605,0.814491,0.812028,0.760214,0.838681,,,,,,,
127,1.894096,4.470827,1.399673,3.040824,3.688846,3.505741,1.074811,0.947529,1.619806,0.754284,1.737763,0.677268,0.609525,1.678314,1.766473,0.926974,0.911142,0.764294,1.125118,1.855329,2.886402,0.770753,0.890829,0.584461,0.825337,0.712015,1.033804,1.21397,1.123263,1.224451,1.186176,0.924023,0.828445,1.078531,0.934787,0.689063,0.918102,0.969255,0.674741,0.666523,1.777536,0.82529,1.058559,1.225338,0.727281,0.673611,1.055725,1.386177,1.374676,1.41443,1.385971,1.017245,1.019953,1.037331,1.020636,0.797823,0.850579,0.835639,1.061848,0.834021,1.13068,1.018492,1.057063,1.064689,0.785592,0.617945,0.791569,0.837379,1.236133,0.961816,0.939755,1.186376,0.938143,1.130188,0.692697,0.722386,0.70775,1.23744,1.216283,1.216825,1.423378,1.403239,1.412809,1.569507,0.914662,1.608537,0.877162,1.223089,1.507917,1.165668,0.998191,0.763749,0.489071,0.529355,0.691423,0.70524,0.717778,0.611422,0.713578,0.733566,0.705743,0.733185,0.707222,0.721633,0.730862,0.74546,0.699389,0.486553,0.506242,0.509051,0.68579,0.80362,0.482616,0.62296,0.692894,0.706183,0.710753,0.707524,0.740138,0.732352,0.753535,0.708859,0.671714,0.673408,0.788963,0.706859,0.693893,0.656201,0.62661,0.635083,0.632441,0.617838,0.595296,0.611251,0.598983,0.573168,0.577273,0.632157,1.028643,0.473944,0.170626,0.173171,0.592136,,,,,,,
128,4.693834,1.910349,2.176836,1.630276,1.292659,1.246514,1.372538,1.054793,1.503881,1.087038,0.762582,2.76306,1.1189,1.982933,1.398504,2.939831,1.577286,0.870348,0.638848,0.945851,1.503532,0.90784,0.777074,1.207097,3.569961,1.942946,1.733777,1.462632,1.001938,1.737775,1.786835,1.213751,1.252436,0.544697,0.934609,0.655042,0.534446,0.941349,0.776385,0.819462,0.599833,0.523476,0.819698,0.862098,0.846241,0.646212,0.725267,0.425799,1.225265,1.862022,0.974027,1.142705,0.972792,1.234068,0.918236,1.032684,1.007416,1.29943,0.982908,1.083565,1.424164,0.94588,0.950134,0.994418,1.71068,1.225833,1.08111,1.350902,1.31674,1.61893,0.55868,0.85399,0.709652,0.502045,0.770792,0.728282,1.483109,1.193565,0.517953,0.966613,1.233906,1.519531,1.006873,0.935698,1.190891,1.385935,1.131538,1.309084,1.265956,1.272226,1.254513,1.315161,1.300178,1.046789,0.907692,0.951356,0.943608,1.059254,1.016118,1.232155,1.114273,1.164536,1.118479,1.140488,1.053069,1.526818,1.1937,0.968738,1.140726,1.221937,1.233095,1.047723,0.991818,0.98434,1.179021,0.823203,0.84418,1.168611,1.307342,1.156088,1.261924,1.288941,1.00025,0.934869,1.234305,0.733205,0.675649,0.842349,1.314175,0.865819,1.261285,1.375556,1.255678,1.313439,1.067547,1.297159,1.402494,0.913481,1.057388,1.230986,1.092838,1.120666,1.011614,,,,,,,
129,2.4262,3.598924,4.595574,3.125856,4.677333,4.247927,0.240607,1.298834,3.501484,2.606658,2.471473,1.852657,3.205996,3.209539,1.583195,1.805287,1.217537,1.577076,0.943031,0.841745,0.720129,1.922558,1.280896,1.626567,1.660299,1.566298,1.134772,2.043145,1.446888,2.593423,0.851458,1.327738,1.643585,1.288092,1.42406,0.635638,0.957482,0.759501,0.705033,1.071903,1.666594,1.015784,0.963624,1.36086,1.743895,1.619675,2.087766,2.109241,1.765501,1.026167,1.091048,0.939529,1.655926,1.116298,1.669505,1.489232,1.663864,1.658568,1.447528,1.18168,1.17693,1.225216,1.227606,1.198154,1.22553,1.184027,1.182677,0.719915,1.063786,1.237819,0.92484,0.727526,2.147042,1.238352,1.2504,1.223133,1.189672,1.208045,1.209105,1.505647,1.654402,1.629131,1.653869,1.065592,1.48297,1.471916,1.462916,1.476527,1.178078,1.117977,1.04411,0.966322,1.615565,1.665077,1.625988,1.130326,1.328354,1.133776,1.640192,1.762619,1.656437,1.643597,1.663125,1.045263,1.038501,1.042052,1.056616,1.054688,1.037555,1.057684,1.062184,1.049989,1.093946,1.065322,1.04287,1.033506,0.944856,1.053057,1.044739,0.941258,1.057815,1.035025,1.052156,1.070847,1.057748,1.037004,1.048326,1.069402,1.031442,1.072668,1.055773,1.086095,1.104724,1.060895,1.015369,1.053143,1.034938,1.066299,1.087126,1.075722,1.055313,1.052238,1.079764,,,,,,,
