Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.607229,2.904428,1.170622,1.156329,1.154153,1.452332,1.185023,1.171499,1.160976,0.742659,1.462123,0.695766,0.75063,0.717962,0.615417,0.752439,0.757186,0.622965,0.579004,0.580804,0.626464,0.602799,0.572551,0.614991,0.599895,0.601861,0.562654,0.604158,0.586845,0.609451,0.599966,0.612704,0.581658,0.58092,0.58732,0.477741,0.612331,0.56516,0.608752,0.576964,0.594896,0.574594,0.57602,0.76721,0.48467,0.579555,0.602893,0.598359,0.533518,0.594908,0.49191,0.489868,0.507568,0.497479,0.532829,0.488097,0.4728,0.498927,0.497302,0.484969,0.472445,0.482209,0.4574,0.484184,0.482966,0.479486,0.405717,0.451743,0.495157,0.461851,0.525342,0.473271,0.37974,0.478332,0.383213,0.404826,0.44672,0.377446,0.504356,0.392388,0.199939,0.145819,0.147929,0.145119,0.132905,0.15576,0.180622,0.181125,0.164141,0.170715,0.150096,0.204539,0.155256,0.136699,0.159544,0.16074,0.162698,0.151822,0.183181,0.166013,0.175211,0.153786,0.139741,0.168541,0.067871,0.085692,0.058069,0.0849,0.08068,0.061444,0.081541,0.076402,0.087588,0.067383,0.076992,0.079611,0.077345,0.079997,0.094107,0.070487,0.070297,0.061167,0.09151,0.060382,0.068479,0.087883,0.083668,0.076168,0.108146,0.082703,0.080614,0.099927,0.084019,0.09101,0.067273,0.081626,0.087441,0.103787,0.084807,0.058598,0.077578,0.155157,0.066763,0.079345,0.082762,0.092411,,,,
1,2.139158,2.635494,2.161045,0.577205,0.589775,0.341741,0.347262,1.113126,0.653724,0.670681,0.667801,0.665889,0.578086,0.424884,0.479407,0.446166,0.410739,0.445171,0.454454,0.348262,0.347302,0.449675,0.432819,0.458101,0.415388,0.461053,0.452456,0.46055,0.372063,0.436898,0.382048,0.393956,0.464621,0.405251,0.517822,0.402599,0.53707,0.412016,0.370315,0.363551,0.411567,0.276031,0.356013,0.395695,0.41199,0.385253,0.238295,0.400621,0.382333,0.221621,0.208411,0.204819,0.240005,0.253484,0.239117,0.266208,0.212644,0.26274,0.218306,0.260522,0.195726,0.213606,0.149875,0.201876,0.199605,0.175321,0.219675,0.147083,0.207212,0.187244,0.224141,0.204945,0.202415,0.168469,0.260726,0.179141,0.212217,0.183167,0.223166,0.19856,0.150491,0.210995,0.170034,0.168289,0.218388,0.176844,0.191913,0.178707,0.221853,0.079213,0.018409,0.017228,0.006391,0.0318,0.012819,0.032829,0.035958,0.043573,-0.016459,0.010052,0.012752,0.022882,0.025624,0.024786,0.030057,-0.011248,0.009465,0.017465,0.022047,0.020334,0.028156,0.021446,0.0287,-0.001812,0.040263,0.02487,-0.003232,0.014843,0.020931,0.013813,0.010658,-0.009113,0.000749,0.02682,0.007114,0.011864,0.015016,0.027667,0.031965,0.011218,0.006698,0.018997,0.016761,0.013044,-0.002043,0.023957,0.029909,0.003586,0.01806,0.017828,0.010341,0.057074,0.011855,0.029204,0.007522,0.015865,,,,
2,2.400052,0.80005,1.371535,1.342639,1.383494,1.377058,1.405421,1.410709,1.403647,0.64701,0.666974,0.732919,0.651457,0.672763,0.618667,0.669681,0.423708,0.650644,0.670407,0.661285,0.664587,0.638656,0.662687,0.657473,0.506135,0.508196,0.507227,0.575891,0.536009,0.538979,0.502868,0.556265,0.540316,0.545466,0.532862,0.350644,0.530209,0.35262,0.545798,0.570524,0.560137,0.332237,0.326725,0.464689,0.450117,0.451541,0.433237,0.362094,0.341872,0.421204,0.429452,0.342791,0.4588,0.444334,0.363358,0.362888,0.372269,0.432552,0.418597,0.445617,0.42437,0.416966,0.519441,0.533911,0.418247,0.441561,0.52892,0.352048,0.450523,0.438295,0.429273,0.315807,0.418401,0.436357,0.443229,0.321069,0.424745,0.527304,0.450943,0.512246,0.425294,0.440029,0.429856,0.534883,0.529878,0.414198,0.421816,0.41961,0.414348,0.419953,0.421266,0.366498,0.447124,0.402298,0.365474,0.420244,0.419675,0.335346,0.425105,0.442239,0.353218,0.444877,0.523599,0.421649,0.428079,0.339559,0.423774,0.410386,0.440268,0.440884,0.43645,0.436942,0.369236,0.360926,0.323598,0.271667,0.324627,0.263758,0.245951,0.356392,0.280389,0.311063,0.273154,0.26273,0.221486,0.204812,0.271222,0.203797,0.261946,0.215331,0.23793,0.256955,0.223831,0.232188,0.360971,0.26433,0.236887,0.211981,0.271285,0.239707,0.258975,0.256607,0.242324,0.234649,0.271258,0.180226,,,,
3,4.212836,2.379787,1.458457,1.471892,1.451303,1.434571,1.498048,1.448847,1.470725,0.816676,0.824845,0.831124,0.857962,0.575492,0.855864,0.856341,0.857409,0.821537,0.860561,0.825498,0.834802,0.831987,0.559466,0.467469,0.553242,0.562482,0.465855,0.688905,0.555736,0.506509,0.54543,0.43328,0.44349,0.515567,0.527679,0.716996,0.411507,0.411951,0.453654,0.353729,0.709767,0.47528,0.525024,0.52774,0.446939,0.545076,0.45865,0.52651,0.450994,0.545623,0.516235,0.466928,0.479239,0.520499,0.542392,0.449254,0.534763,0.463236,0.42682,0.540587,0.503664,0.438165,0.464436,0.416703,0.461677,0.444064,0.346681,0.471033,0.437284,0.389105,0.384457,0.381443,0.37297,0.383337,0.38124,0.459179,0.367325,0.388473,0.36478,0.36412,0.361248,0.379023,0.448556,0.457249,0.528068,0.443417,0.367329,0.501873,0.366904,0.483832,0.366984,0.473091,0.350229,0.384012,0.372281,0.378234,0.368986,0.371601,0.363828,0.385036,0.373842,0.397373,0.368457,0.373295,0.404584,0.496918,0.403702,0.44538,0.485137,0.383364,0.371886,0.457313,0.343284,0.352226,0.485491,0.375151,0.357081,0.361687,0.489199,0.373086,0.385415,0.394087,0.396572,0.389687,0.379909,0.370599,0.472319,0.38745,0.48796,0.385593,0.385246,0.374748,0.335291,0.495424,0.351326,0.367178,0.34222,0.359318,0.368402,0.371621,0.383249,0.385952,0.371609,0.427789,0.389393,0.375903,,,,
4,1.719302,0.708208,0.837142,0.693985,0.665197,0.698949,0.379752,0.627877,1.017806,1.192339,1.10599,1.120757,1.075575,1.082173,1.145573,0.640709,0.825009,0.82744,0.829482,0.632576,0.641257,0.649616,0.650986,0.787756,0.65181,0.543451,0.440638,0.437693,0.424435,0.41635,0.444895,0.456904,0.438271,0.438146,0.404439,0.387571,0.405209,0.418776,0.491961,0.506773,0.503986,0.508501,0.482359,0.468172,0.484607,0.491411,0.499788,0.505165,0.524445,0.517704,0.513976,0.516069,0.505009,0.504809,0.474471,0.52109,0.511245,0.48168,0.506282,0.527859,0.496769,0.53197,0.522793,0.506101,0.505824,0.495088,0.496956,0.590156,0.508791,0.518073,0.503368,0.504244,0.478875,0.511457,0.501773,0.84277,0.650248,0.467685,0.518112,0.577307,0.484771,0.484,0.497082,0.492398,0.497927,0.486134,0.626441,0.495809,0.57874,0.526997,0.515529,0.503668,0.48605,0.468449,0.493903,0.56938,0.560231,0.498605,0.435079,0.51126,0.543631,0.406088,0.520302,0.511487,0.382283,0.494357,0.507488,0.494741,0.491534,0.369818,0.519574,0.510405,0.355554,0.484844,0.341403,0.497155,0.590896,0.532275,0.50325,0.519967,0.497807,0.502389,0.366872,0.19194,0.352623,0.379676,0.583536,0.569346,0.351538,0.348784,0.474682,0.338482,0.501088,0.510916,0.483574,0.35009,0.100226,0.361115,0.23734,0.261601,0.123044,0.106019,0.15764,0.141237,0.227464,0.207747,,,,
5,4.090106,0.711646,1.154746,1.138987,1.402735,1.416999,1.18647,0.55776,0.546365,0.554843,0.457854,0.48704,0.573001,0.437502,0.406142,0.415198,0.473256,0.214979,0.260618,0.464743,0.459472,0.230724,0.445186,0.21727,0.232916,0.239556,0.210438,0.252243,0.232171,0.24318,0.173015,0.247473,0.215343,0.184233,0.261437,0.212001,0.234189,0.208542,0.225854,0.237507,0.247954,0.211165,0.245052,0.202317,0.184623,0.238202,0.233679,0.215097,0.180899,0.200177,0.231944,0.194408,0.170076,0.241574,0.205201,0.232777,0.198032,0.209637,0.196661,0.240291,0.044661,0.192631,0.187894,0.059154,0.055587,0.056452,0.207676,0.069846,0.181835,0.054407,0.066681,0.213911,0.065229,0.057223,0.090416,0.052102,0.058771,0.059835,0.085633,0.051753,0.04124,0.054156,0.081251,0.028186,0.066283,0.067875,0.043689,0.021611,0.108532,0.033401,0.019893,0.040609,0.066545,0.040823,0.01437,0.045918,0.059351,0.04488,0.057491,0.069259,0.068841,0.134419,0.029895,0.040324,0.041381,0.05409,0.011918,0.03085,-0.002404,0.018828,0.06985,0.055999,0.023281,0.02575,0.018161,0.034898,-0.000214,-0.001508,0.005788,-0.007018,0.012287,0.052736,0.011607,0.015905,0.013704,0.021465,0.045475,-0.011456,0.051688,0.007973,0.011969,-0.00644,0.006824,-0.006454,0.021507,0.028316,0.012713,0.002923,0.017363,0.004736,0.009634,0.024999,0.054419,0.013237,-0.003152,0.024268,,,,
6,2.916243,1.391533,2.24079,2.228328,1.062841,1.102207,1.099613,1.082432,1.067598,1.044749,0.350678,0.350313,1.083013,0.557765,0.567618,0.569565,0.574078,0.575708,0.67576,0.677943,0.299339,0.282162,0.301742,0.317855,0.320267,0.262871,0.305711,0.30328,0.263896,0.17443,0.155336,0.118362,0.13481,0.100965,0.105816,0.139478,0.119872,0.135996,0.131451,0.128827,0.108017,0.134214,0.107468,0.111402,0.13482,0.121394,0.128746,0.104069,0.077243,0.141716,0.128873,0.109084,0.094924,0.110769,0.081242,0.106762,0.116463,0.121384,0.105392,0.103724,0.105032,0.099065,0.152665,0.106887,0.095634,0.117888,0.130516,0.171002,0.112735,0.099276,0.175745,0.136213,0.110855,0.162584,0.167511,0.098949,0.128194,0.11811,0.142903,0.120941,0.161297,0.103919,0.090797,0.269663,0.093641,0.081457,0.150263,0.102146,0.257484,0.266291,0.129172,0.109102,0.124304,0.263684,0.121196,0.133337,0.245337,0.054123,0.102185,0.103517,0.139906,0.088762,0.102668,0.26018,0.080471,0.1,0.122169,0.131984,0.097711,0.114701,0.142475,0.149106,0.140242,0.062597,0.097986,0.136051,0.155332,0.122617,0.112087,0.133277,0.109,0.140362,0.116336,0.101436,0.092898,0.072465,0.139125,0.085831,0.127595,0.092492,0.105065,0.117371,0.100519,0.099525,0.092745,0.117443,0.107878,0.113154,0.106412,0.087613,0.117238,0.14476,0.084089,0.095928,0.145761,0.121105,,,,
7,1.104817,0.519005,0.611378,0.599985,0.558039,0.558009,0.539024,0.541685,0.698768,0.646317,0.64157,0.629006,0.710906,0.616008,0.557285,0.532793,0.556255,0.526225,0.539401,0.542018,0.323652,0.339426,0.414752,0.547964,0.293973,0.58319,0.328921,0.542314,0.589415,0.543363,0.705854,0.685234,0.691636,0.694061,0.703374,0.713425,0.688382,0.688365,0.695985,0.696694,0.700346,0.696659,0.417021,0.684043,0.711305,0.695367,0.402553,0.399101,0.462951,0.429197,0.338408,0.425286,0.29125,0.388109,0.407701,0.321142,0.3512,0.314456,0.334571,0.328708,0.247706,0.366005,0.442075,0.271263,0.40339,0.715318,0.375087,0.696248,0.452814,0.363903,0.449691,0.432804,0.33298,0.421019,0.435514,0.435972,0.447575,0.406178,0.403059,0.719056,0.701199,0.420391,0.699611,0.703498,0.690485,0.699558,0.470427,0.397737,0.432108,0.446773,0.709806,0.387346,0.418498,0.391625,0.685655,0.438081,0.422477,0.408884,0.411132,0.407493,0.406813,0.698972,0.416309,0.487669,0.425949,0.308014,0.427763,0.439923,0.698631,0.416852,0.406968,0.706183,0.696464,0.441424,0.356826,0.364495,0.404316,0.361661,0.702555,0.330189,0.355998,0.393051,0.347483,0.371747,0.344182,0.324326,0.339223,0.361404,0.348695,0.370986,0.368893,0.364185,0.375118,0.369314,0.26697,0.35688,0.338286,0.276773,0.375464,0.268764,0.372448,0.267439,0.265231,0.351958,0.371017,0.287882,,,,
8,2.430108,0.816798,0.84939,0.806311,0.852319,0.794531,0.649417,0.613374,0.652668,0.64017,0.797999,0.63846,0.406293,0.358676,0.412596,0.35513,0.38385,0.408021,0.133802,0.147702,0.167087,0.14302,0.144236,0.256721,0.152492,0.167626,0.262331,0.164653,0.155863,0.156502,0.150492,0.135469,0.116923,0.098895,0.146848,0.129431,0.141881,0.145045,0.0846,0.121038,0.154854,0.166165,0.154963,0.248375,0.144565,0.173733,0.13564,0.135957,0.163536,0.188512,0.152462,0.127761,0.147783,0.148757,0.166657,0.167119,0.127488,0.136781,0.169075,0.159256,0.153572,0.15786,0.162296,0.129344,0.177279,0.175863,0.174088,0.163554,0.159285,0.169874,0.137111,0.167489,0.169711,0.11953,0.159767,0.14482,0.135122,0.184894,0.198246,0.145464,0.043666,0.153852,0.034129,0.145745,0.138138,0.133403,0.178996,0.133472,0.132808,0.05073,0.137906,0.153397,0.207722,0.161255,0.171966,0.202593,0.209004,0.140507,0.125252,0.028048,0.157274,0.144429,0.186715,0.100456,0.178315,0.117517,0.12737,0.115702,0.037764,0.115505,0.163595,0.16182,0.149692,0.152491,0.175313,0.226591,0.14152,0.101711,0.122038,0.122146,0.018336,0.14253,0.177354,0.116571,0.151023,0.05573,0.167115,0.055075,0.037104,0.088405,0.148362,0.022054,0.09756,0.089342,0.111415,0.161876,0.261682,0.256063,0.251665,0.242321,0.24504,0.243729,0.255388,0.269817,0.220699,0.259319,,,,
9,1.022613,0.709518,0.503509,0.209323,0.216548,0.222718,0.227261,0.449404,0.509348,0.398193,0.415516,0.401449,0.43024,0.512054,0.524863,0.590885,0.600211,0.508764,0.581081,0.597665,0.577933,0.580343,0.435515,0.412335,0.530417,0.41718,0.53957,0.606297,0.437734,0.417768,0.407702,0.196186,0.358927,0.234914,0.171159,0.16471,0.258843,0.1686,0.190114,0.181602,0.158192,0.152533,0.16244,0.163617,0.179397,0.42272,0.137838,0.399216,0.169056,0.453464,0.155471,0.144721,0.150861,0.157347,0.161053,0.20002,0.154305,0.158072,0.319917,0.139063,0.154837,0.158388,0.174385,0.173532,0.362662,0.179399,0.169694,0.339267,0.325573,0.240786,0.175324,0.164713,0.156692,0.187294,0.145159,0.134729,0.130582,0.200441,0.243606,0.116787,0.168419,0.140188,0.125745,0.155102,0.119616,0.098261,0.113678,0.248741,0.138528,0.1648,0.11574,0.0984,0.098246,0.110835,0.079496,0.125319,0.085707,0.097032,0.169682,0.150417,0.14538,0.174685,0.139549,0.1233,0.112761,0.10433,0.129956,0.125036,0.096687,0.144703,0.146616,0.120829,0.116725,0.11826,0.108572,0.103122,0.11081,0.114635,0.142406,0.096659,0.131861,0.107362,0.131273,0.125512,0.108782,0.094965,0.116253,0.111114,0.107021,0.121691,0.095769,0.093449,0.099745,0.094091,0.12187,0.123013,0.121679,0.100337,0.099695,0.117311,0.139384,0.11339,0.143667,0.114616,0.083169,0.123017,,,,
