Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.712597,1.678824,1.899314,1.5431,1.489896,1.477802,1.82637,1.320816,1.229975,1.931121,1.483763,1.260274,1.337274,1.266024,1.816839,1.334434,1.493339,1.54826,1.728497,1.277086,1.850708,1.550217,1.69506,1.537833,1.464676,1.288526,1.295538,1.853305,1.642948,1.317897,1.274752,1.407342,1.623337,1.620722,1.748122,1.575143,1.477704,1.274803,1.638352,1.569947,1.382317,1.495738,1.481581,1.254809,1.729096,1.753785,1.477887,1.574052,1.625176,1.492983,1.402336,1.59401,1.657009,1.195858,1.799171,1.653673,1.157016,1.449833,1.326688,1.55797,1.477513,1.594051,1.640902,1.288927,1.877313,1.801099,1.454598,1.47599,1.526599,1.063264,1.0664,1.4985,0.940003,1.463828,1.935068,1.695712,1.3582,1.364206,1.392859,1.349444,1.654613,1.493949,1.378915,1.274406,1.442514,1.462379,1.283954,1.232333,1.613288,1.863513,1.288293,1.396531,1.338657,1.045483,1.671751,1.407129,1.434823,1.532121,1.077378,1.461288,1.251788,1.142582,1.238515,1.318204,1.040635,1.304797,1.392849,1.333446,1.458763,1.434238,1.604373,1.406859,1.548718,1.418201,1.239537,1.265734,1.419938,1.366994,1.197956,1.55128,1.434344,1.450506,1.386481,1.497605,1.495454,1.369137,1.315772,1.394858,1.459076,1.686162,1.681695,1.534999,1.275475,1.553535,1.591132,1.480938,1.738909,1.270806,1.264377,1.333853,1.333332,1.357113,1.424331,,,,,,,
1,1.632502,1.971938,1.669501,1.792355,1.912042,1.213237,1.360816,1.764258,1.743601,1.390277,1.628476,1.627786,1.618768,1.698262,1.613195,1.611664,1.236284,1.528494,1.655951,1.89346,1.625561,1.577661,1.139383,1.473877,1.854855,1.430949,1.4481,1.247917,1.422984,1.790203,1.358079,1.829255,1.74397,1.427131,1.387087,1.89747,1.436474,1.451836,1.353703,1.348956,1.144657,1.312121,1.65813,1.71752,1.061882,1.832878,1.355278,1.612112,1.536606,1.147416,1.894824,1.055237,1.408557,1.772375,1.580839,1.794296,1.812573,1.224343,1.652674,1.530688,1.620293,1.415684,1.415389,1.438041,1.471502,1.31783,1.011785,1.070791,1.453273,1.920789,1.388816,1.206279,1.374212,1.741295,1.527357,1.472421,1.158825,1.370978,1.484032,1.649052,1.360775,1.611993,1.403739,1.617388,1.45784,1.386337,1.67611,1.606265,1.452071,1.543618,1.405142,1.180372,1.667066,1.50447,1.412724,1.310977,1.590938,1.383263,1.311572,1.370123,1.087084,1.445241,1.494277,1.507648,1.416798,1.369412,1.497982,1.468807,1.713396,1.752551,1.604478,1.347049,1.676382,1.295212,1.329843,1.346423,1.159915,1.62329,1.594368,1.682742,1.594531,1.405537,1.454061,1.790966,1.492747,1.699077,1.654892,1.447466,1.548555,1.028778,1.29065,1.36787,0.984546,1.44145,1.393094,1.176127,1.223266,1.566325,1.84179,1.348291,1.583804,1.394794,1.260189,,,,,,,
2,1.432596,1.839354,1.805389,1.927964,1.760796,1.491382,1.591379,1.748882,1.481138,1.627592,1.395441,1.904058,1.980576,1.267077,1.471657,1.818801,1.77559,1.463524,1.909709,1.507795,1.374074,1.323431,1.556375,1.416478,1.25092,1.639158,1.479575,1.69387,1.45134,1.583564,1.73957,1.274763,1.255454,1.021165,1.575427,1.932516,1.360935,1.478154,1.106161,1.769938,1.577523,1.790918,1.473933,1.672497,1.671494,1.284803,1.516482,1.388604,1.882093,1.500565,1.808867,1.884587,1.52986,1.220271,1.614164,1.479627,1.712357,1.780516,1.443732,1.550346,1.523286,1.364581,1.574452,1.456875,1.74038,1.811449,1.395092,1.222556,1.321024,1.719616,1.510147,1.785723,1.595851,1.289531,1.5399,1.112785,1.252778,1.536304,1.487673,1.383095,1.215439,1.355397,1.372475,1.425142,1.590554,1.357184,1.310449,1.499139,1.415182,1.483839,1.669575,1.285941,1.556283,1.362231,1.584172,1.448546,1.445623,1.660806,1.812336,1.52398,1.226919,1.478862,1.466281,1.09639,1.082313,1.116046,1.494819,1.473467,1.329304,1.111868,1.674786,1.475902,1.712353,1.392438,1.527897,1.3114,1.421586,1.359778,1.61647,1.542732,1.57015,1.357144,1.175162,1.5197,1.679688,1.334449,1.42212,1.636193,1.679438,1.250729,1.52444,1.496493,1.105051,1.31957,1.412365,1.408736,1.187265,1.336569,1.69032,1.628946,1.304205,1.659594,1.258687,,,,,,,
3,1.656335,1.456267,1.829846,1.386976,1.921407,1.31031,1.892175,1.681285,1.546418,1.797713,1.535528,1.469833,1.400637,1.812122,1.666286,1.904166,1.521597,1.475474,1.119381,1.71702,1.719019,1.314812,1.888993,1.301793,1.460139,1.399655,1.646105,1.773542,1.496398,1.522544,1.644428,1.666056,1.555113,1.453167,1.379821,1.796909,1.484869,1.812023,1.181964,1.616582,1.295104,1.572116,1.638215,1.671042,1.312513,1.105596,1.458171,1.397329,1.322887,1.361781,1.560777,1.641193,1.53584,1.54692,1.758512,1.151039,1.839305,1.397451,1.604435,1.501354,1.416165,1.515353,1.155059,1.696918,1.599478,1.212886,1.17622,1.191019,1.607551,1.626394,1.27201,1.575108,1.278321,1.739556,1.756561,1.67309,1.484177,1.870621,1.562011,1.729484,1.835327,1.46584,1.43665,1.616285,1.264918,1.841692,1.514767,1.392439,1.842549,1.563865,1.531904,1.638583,1.731233,1.771184,1.487511,1.422848,1.853242,1.70965,1.388639,1.719631,1.327798,1.325226,1.679597,1.47745,1.7272,1.332179,1.263979,1.574002,1.574432,1.653451,1.729941,1.654689,1.679697,1.538535,1.419933,1.477939,1.393649,1.76006,1.673492,1.371294,1.413633,1.441938,1.763557,1.697534,1.706773,1.714604,1.385387,1.577937,1.379822,1.692482,1.380687,1.429592,1.256145,1.818866,1.494869,1.480022,1.10715,1.10457,1.204462,1.411212,1.132542,1.415945,1.079455,,,,,,,
4,1.711644,1.519398,1.502772,1.136132,1.866101,1.79447,1.624912,1.962107,1.79569,1.450397,1.302756,1.873441,1.077563,1.361359,1.438349,1.552567,1.409549,1.646226,1.362302,1.481239,1.571167,1.829722,1.584939,1.56591,1.506747,1.619357,1.28223,1.187636,1.135436,1.669283,1.573085,1.621513,1.390579,1.282766,1.431592,1.40459,1.589278,1.555676,1.500759,1.682752,1.807287,1.737841,1.681092,1.509473,1.443251,1.461765,1.207569,1.421646,1.436899,1.312007,1.103269,1.328388,1.188866,1.244719,1.587239,1.379091,1.795545,1.435686,1.486822,1.47775,1.439211,1.43613,1.154024,1.273434,1.26917,1.489763,1.571366,1.508375,1.291365,1.27168,1.229691,1.235933,1.558979,1.464924,1.514151,1.581739,1.193448,1.198272,1.299028,1.538594,1.523839,1.350703,1.198574,1.703391,1.311641,1.518436,1.47229,1.772808,1.359592,1.371249,1.700452,1.278525,1.484951,1.466224,1.188758,1.363939,1.310598,1.197485,0.882474,1.385931,1.287809,1.320715,0.928679,1.249266,1.234852,0.903353,1.223559,1.233894,1.426597,1.264012,1.468071,1.206133,1.503599,1.333237,1.413543,1.328581,1.272797,1.290306,1.360949,1.454786,1.285155,1.392545,1.362827,1.404957,1.30166,1.310631,1.524477,1.508774,1.48916,1.458053,1.163949,1.382864,1.36372,1.385011,1.371047,1.375406,1.417033,1.383244,1.405291,1.411742,1.509398,1.487207,1.538287,,,,,,,
5,1.880579,1.959384,1.746666,1.615821,1.552238,1.331343,1.065217,1.314841,1.103127,1.468075,1.301732,1.85802,1.30002,1.544403,1.244099,1.350154,1.850381,1.58924,1.19916,1.177963,1.584718,1.705474,1.551198,1.19567,1.46124,1.384049,2.020521,1.574388,1.542414,1.472042,1.44893,1.512948,1.673619,1.567099,1.408288,1.50801,1.446439,1.299305,1.449382,1.593676,1.241139,1.691768,1.548299,1.638045,1.544365,1.69326,1.680135,1.903452,1.316028,1.663555,1.119798,1.694371,1.509222,1.407718,1.675049,1.641741,1.674062,1.66264,1.590211,1.562976,1.205397,1.415057,1.42036,1.454178,1.615757,1.498807,1.510892,1.470075,1.58753,1.860768,1.54514,1.667415,1.472615,1.700526,1.586718,1.546257,1.830503,1.378878,1.224021,1.57634,1.327548,1.417311,1.181439,1.29565,1.66111,1.595747,1.340004,1.288452,1.163948,1.344529,1.670741,1.583935,1.473714,1.401075,1.565161,1.393672,1.40355,1.340943,1.479049,1.55771,1.383016,1.440543,1.580349,1.32366,1.845995,1.463936,1.310922,1.440126,1.224193,1.505916,1.703174,1.363261,1.567445,1.166585,1.737829,1.667551,1.530762,1.415221,1.713491,1.703821,1.602649,1.400857,1.442609,1.445246,1.485872,1.383801,1.674492,1.668708,1.525637,1.448849,1.286753,1.354722,1.36912,1.545401,1.410991,1.132521,1.277337,1.506199,1.467809,1.612347,1.444916,1.209091,1.704512,,,,,,,
6,1.424937,1.843702,1.586877,1.738263,1.625386,1.316032,1.255268,1.655562,1.101787,1.483452,1.459342,1.315597,1.561754,1.636799,1.366522,1.456712,1.655657,1.713824,1.394111,1.661456,1.562003,1.934192,1.208776,1.413308,1.670805,1.700421,1.517308,1.485223,1.4948,1.554931,1.553975,1.672289,1.305252,1.273077,1.246156,1.129962,1.476763,1.43719,1.71312,1.583589,1.364378,1.366047,1.417343,1.436092,1.39728,1.432149,1.575457,1.596011,1.567984,1.260995,1.18999,1.555407,1.516556,1.697002,1.395996,1.552062,1.518252,1.383762,1.260767,1.271729,1.422163,1.246981,1.392524,1.41154,1.393284,1.611468,1.519225,1.783153,1.440846,1.180705,1.514851,1.47137,1.644493,1.434941,1.37765,1.557934,1.464474,1.450818,1.488889,1.489951,1.427844,1.95277,1.431316,1.255928,1.675169,1.264415,1.264815,1.231428,1.281253,1.509809,1.29122,1.543807,1.534269,1.285427,1.522117,1.448144,1.488477,1.413345,1.701583,1.338933,1.565032,1.200527,1.686714,1.673293,1.342835,1.696588,1.429182,1.676868,1.82389,1.564351,1.53207,1.562994,1.472461,1.633428,1.651383,1.776362,1.823053,1.849998,1.711657,1.582541,1.74847,1.689374,1.664702,1.465703,1.400124,1.787503,1.380652,1.677072,1.648356,1.680657,1.639536,1.723061,1.616471,1.610008,1.69218,1.317267,1.172633,1.406211,1.655245,1.604999,1.60479,1.668816,1.606315,,,,,,,
7,1.219389,1.936316,1.834689,1.909014,1.331882,1.796898,1.624938,1.316477,1.623226,1.264173,1.582693,1.28417,1.192915,0.948542,1.538373,1.570931,1.780067,1.829532,1.695107,1.233937,1.398497,1.616966,1.62197,1.84281,1.283035,1.542492,1.569803,1.210729,0.911907,1.279832,1.569519,0.960983,1.813521,1.256312,1.18796,1.534578,1.445712,1.575054,1.320764,1.196719,1.47021,1.312618,0.940376,1.39756,1.381739,1.454977,1.299608,1.059206,1.269317,1.7975,1.472993,1.577925,1.378978,1.547121,1.294259,1.615899,1.263077,1.70268,1.856079,1.355783,1.758464,1.619432,1.41339,1.234844,1.148309,1.59332,1.116298,1.703732,1.508046,1.216166,1.608174,1.359092,1.56941,1.882546,1.275759,1.317686,1.455611,1.597991,1.91403,1.792313,1.445441,1.844384,1.643323,1.71867,1.620319,1.600059,1.577087,1.679199,1.58231,1.611255,1.733422,1.639819,1.420462,1.278744,1.586432,1.547472,1.641855,1.840788,1.603367,1.431203,1.554387,1.727581,1.581913,1.545094,1.518501,1.038742,1.34255,1.061817,1.391392,1.542754,1.306139,1.505253,1.634956,1.548811,1.250794,1.562327,1.482189,1.684122,1.613866,1.637009,1.231212,1.505058,1.384321,1.450073,1.709271,1.294825,1.562391,1.511689,1.44026,1.360556,1.411539,1.450399,1.412862,1.260058,1.067351,1.368936,1.109413,1.438429,1.09829,1.433039,1.446608,1.401576,1.269912,,,,,,,
8,1.134553,1.592227,1.493862,1.591715,1.632431,1.4732,1.515569,1.474022,1.501429,1.417126,1.614004,1.500818,1.523742,1.072566,1.761368,1.831785,1.88955,1.023637,1.663773,1.467602,1.054003,1.743421,1.714167,1.645956,1.965431,1.377003,1.624919,1.671141,1.588643,1.303333,1.720213,1.568935,1.46359,1.769792,1.457975,1.728979,1.826029,1.844056,1.637431,1.580705,1.811246,1.392322,1.776317,1.637842,1.477666,1.638805,1.445348,1.368227,1.638137,1.815802,1.403375,1.733943,1.650781,1.492711,1.974573,1.473881,1.487568,1.609035,1.386637,1.73259,1.814405,1.71567,1.272543,1.434036,1.304612,1.347977,1.498101,1.762654,1.284771,1.748664,1.899544,1.593691,1.634084,1.701764,1.809622,1.340037,1.564182,1.531877,1.359074,1.645746,1.565155,1.5452,1.943189,1.569607,1.707232,1.639369,1.654086,1.377385,1.690714,1.669887,1.484983,1.696314,1.37105,1.612882,1.840089,1.728669,1.740453,1.30108,1.406738,1.685233,1.696539,1.731981,1.346399,1.27882,1.758056,1.398672,1.468074,1.642442,1.466745,1.768888,1.608734,1.409264,1.61716,1.721143,1.787825,1.808369,1.525422,1.811814,1.532468,1.531953,1.680969,1.577437,1.546968,1.800015,1.784704,1.555094,1.804574,1.523319,1.818942,1.533961,1.423436,1.733994,1.406189,1.428589,1.422632,1.728781,1.518902,1.433145,1.559313,1.801506,1.535122,1.453027,1.81962,,,,,,,
9,1.590902,1.532886,1.497744,1.394235,1.182503,1.750874,1.162518,1.210851,1.843356,1.069478,1.435971,1.733951,1.383661,1.723672,1.470301,1.553424,1.54415,1.664564,1.359965,1.487105,1.230789,1.25257,1.294081,1.769178,1.129465,1.484967,1.856461,1.371067,1.734608,1.553165,1.688077,1.273969,1.791456,1.808794,1.608451,1.572731,1.387279,1.71795,1.519817,1.866559,1.55535,1.646709,1.614373,1.661229,1.544394,1.308783,1.418608,1.546434,1.479415,1.372151,1.768828,1.714751,1.819597,1.729404,1.434646,1.679446,1.63342,1.606405,1.68659,1.409586,1.291006,1.592036,1.633812,1.285069,1.295038,1.209662,1.326193,1.179977,1.572308,1.42084,1.592089,1.325593,1.536025,1.30185,1.4701,1.52651,1.496828,1.536621,1.191795,1.206755,1.543626,1.716327,1.522174,1.532548,1.510846,1.749493,1.489377,1.52375,1.33985,1.553766,1.309409,1.439071,1.754197,1.124733,1.321438,1.628377,1.617404,1.571984,1.727538,1.779257,1.459892,1.613527,1.61601,1.583344,1.551796,1.629865,1.662003,1.515391,1.608497,1.753232,1.599594,1.566739,1.756034,1.666404,1.61044,1.54314,1.549046,1.466615,1.39513,1.584768,1.325932,1.344369,1.437876,1.585615,1.495616,1.61461,1.409062,1.621946,1.699077,1.601745,1.408254,1.627583,1.741896,1.668785,1.50478,1.326883,1.429665,1.393084,1.347438,1.036116,1.494473,1.510793,1.521093,,,,,,,
