Algorithm,Repetition,Iteration,Selected_Modules,Expected_Minimum
cluster,1,5,43_42_15_48_18_46_19_47_21_7_49_5_34_32_33_2,53.719091
cluster,1,6,8_37_15_38_17_20_19_47_21_7_6_5_31_1_30_2,53.688066
cluster,1,7,8_37_15_45_18_20_19_47_21_7_36_5_34_32_33_2,53.752362
cluster,1,8,8_27_15_48_16_20_22_25_21_28_49_5_3_1_33_2,54.187796
cluster,1,9,43_37_15_40_41_20_24_47_21_7_35_5_3_1_33_2,53.854702
cluster,1,10,43_37_15_48_18_23_22_25_21_7_35_5_3_1_33_2,54.041033
cluster,1,11,8_9_15_48_17_23_24_25_21_28_35_5_4_1_33_2,54.105423
cluster,1,12,8_10_15_38_18_20_19_26_21_28_29_5_31_32_33_2,53.598693
cluster,1,13,8_27_15_48_18_20_22_26_21_28_29_5_31_32_33_2,53.593002
cluster,1,14,13_9_15_48_18_20_22_47_21_28_29_5_0_32_30_2,53.471179
cluster,1,15,8_27_15_48_39_20_19_26_21_28_29_5_0_1_30_2,53.553075
cluster,1,16,8_27_15_40_41_20_19_26_21_28_29_5_0_1_30_2,53.541209
cluster,1,17,8_37_15_38_39_23_22_25_21_28_29_5_31_1_30_2,53.667891
cluster,1,18,8_37_15_38_17_46_19_47_21_28_36_5_0_1_33_2,53.693638
cluster,1,19,8_37_15_38_39_20_19_26_21_28_35_5_34_1_33_2,53.904091
cluster,1,20,8_37_15_40_41_46_24_47_21_28_29_5_31_32_30_2,53.387551
cluster,1,21,8_9_15_48_17_20_19_47_21_28_6_5_31_32_30_2,53.512876
cluster,1,22,8_37_15_48_18_46_19_47_21_28_49_5_31_32_30_2,53.734675
cluster,1,23,8_42_15_45_44_46_19_47_21_28_29_5_0_1_33_2,53.613148
cluster,1,24,43_42_15_45_44_46_24_26_21_28_35_5_31_32_33_2,53.679575
cluster,1,25,43_42_15_40_41_46_24_26_21_28_29_5_3_1_30_2,53.510543
cluster,1,26,8_27_15_45_44_46_24_26_21_28_29_5_3_1_30_2,53.695628
cluster,1,27,8_27_15_38_39_46_24_26_21_28_29_5_3_1_30_2,53.516010
cluster,1,28,8_37_15_38_16_46_19_47_21_28_35_5_3_1_33_2,53.871111
cluster,1,29,8_37_15_38_17_46_19_47_21_28_36_5_3_32_33_2,53.548980
cluster,1,30,8_10_15_38_39_46_19_26_21_7_35_5_3_1_33_2,53.757743
cluster,1,31,8_37_15_40_39_46_19_25_21_28_29_5_3_1_30_2,53.595016
cluster,1,32,8_37_15_38_41_23_19_26_21_28_29_5_31_32_33_2,53.575355
cluster,1,33,8_37_15_40_39_23_19_26_21_28_29_5_31_32_33_2,53.516741
cluster,1,34,8_37_15_38_17_20_19_25_21_7_35_5_31_32_33_2,53.675720
cluster,1,35,8_14_15_38_16_46_19_26_21_7_6_5_31_1_33_2,53.836694
cluster,1,36,8_37_15_38_17_46_19_26_21_7_6_5_31_32_33_2,53.526433
cluster,1,37,8_27_15_40_17_23_19_25_21_28_29_5_31_32_33_2,53.536757
cluster,1,38,8_37_15_38_41_46_19_47_21_7_29_5_4_32_30_2,53.394175
cluster,1,39,8_37_15_38_18_46_19_47_21_7_29_5_3_32_30_2,53.381415
cluster,1,40,8_37_15_38_17_46_19_47_21_7_29_5_3_32_33_2,53.354005
cluster,1,41,8_37_15_38_39_46_19_47_21_28_29_5_3_32_30_2,53.323645
cluster,1,42,8_37_15_48_18_46_19_47_21_28_29_5_31_1_33_2,53.764747
cluster,1,43,8_37_15_45_44_46_19_47_21_7_35_5_31_1_33_2,53.964737
cluster,1,44,8_37_15_48_18_46_19_47_21_28_35_5_3_1_33_2,53.868586
cluster,1,45,8_37_15_45_16_46_19_47_21_28_29_5_31_1_33_2,53.808714
cluster,1,46,8_37_15_48_17_46_19_47_21_28_29_5_31_1_30_2,53.600267
cluster,1,47,8_37_15_48_44_46_19_47_21_28_35_5_31_32_33_2,53.740887
cluster,1,48,43_37_15_45_44_46_19_47_21_28_29_5_31_1_30_2,53.715819
cluster,1,49,8_27_15_48_18_46_19_47_21_28_29_5_3_1_33_2,53.751641
cluster,1,50,8_9_15_45_17_46_19_47_21_28_29_5_3_1_33_2,53.701500
cluster,1,51,8_37_15_48_18_46_19_47_21_28_29_5_3_1_33_2,53.774132
cluster,1,52,8_27_15_45_18_46_19_47_21_28_29_5_3_32_33_2,53.455082
cluster,1,53,8_27_15_45_17_46_19_47_21_28_29_5_3_32_33_2,53.441225
cluster,1,54,8_27_15_38_44_46_19_47_21_28_29_5_31_1_30_2,53.594993
cluster,1,55,8_27_15_45_16_46_19_26_21_28_29_5_31_32_30_2,53.508225
cluster,1,56,43_27_15_45_17_46_19_26_21_28_29_5_31_32_30_2,53.414317
cluster,1,57,43_27_15_45_44_46_19_26_21_28_29_5_31_32_30_2,53.532933
cluster,1,58,8_27_15_45_18_46_19_47_21_28_29_5_31_32_30_2,53.437755
cluster,1,59,8_27_15_48_44_46_19_47_21_28_29_5_31_32_30_2,53.498462
cluster,1,60,8_27_15_45_41_46_19_47_21_28_29_5_31_32_30_2,53.454390
cluster,1,61,8_27_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.307105
cluster,1,62,8_27_15_38_18_46_19_47_21_28_29_5_31_32_30_2,53.370172
cluster,1,63,8_37_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.312948
cluster,1,64,8_27_15_40_17_46_19_26_21_28_29_5_31_32_30_2,53.305537
cluster,1,65,43_42_15_40_41_46_19_26_21_28_29_5_31_32_30_2,53.353469
cluster,1,66,8_27_15_38_17_46_19_26_21_28_29_5_31_32_30_2,53.292949
cluster,1,67,8_27_15_45_18_46_19_47_21_28_29_5_31_32_30_2,53.391727
cluster,1,68,8_27_15_45_44_46_19_26_21_28_29_5_31_32_30_2,53.498067
cluster,1,69,8_27_15_38_16_46_19_26_21_28_29_5_31_32_30_2,53.450475
cluster,1,70,8_27_15_38_17_46_19_26_21_28_29_5_31_32_30_2,53.330833
cluster,1,71,8_27_15_38_17_46_19_26_21_28_29_5_31_32_30_2,53.315802
cluster,1,72,8_10_15_38_39_46_19_26_21_28_29_5_31_32_30_2,53.342935
cluster,1,73,8_9_15_38_41_46_19_26_21_28_29_5_31_32_30_2,53.392482
cluster,1,74,8_9_15_40_39_46_19_26_21_28_29_5_31_32_30_2,53.309729
cluster,1,75,8_9_15_40_41_46_19_26_21_28_29_5_31_32_30_2,53.381770
cluster,1,76,8_27_15_40_41_46_19_26_21_28_29_5_31_32_30_2,53.381989
cluster,1,77,8_42_15_40_41_46_19_26_21_28_29_5_31_32_30_2,53.306808
cluster,1,78,8_27_15_40_39_46_19_26_21_28_29_5_31_32_30_2,53.301314
cluster,1,79,8_42_15_40_41_46_19_26_21_28_29_5_31_32_33_2,53.399321
cluster,1,80,8_37_15_38_39_46_19_47_21_28_29_5_31_32_30_2,53.312395
cluster,1,81,8_37_15_38_39_46_19_47_21_28_29_5_31_32_30_2,53.324226
cluster,1,82,8_37_15_38_39_46_19_26_21_28_29_5_31_32_30_2,53.339831
cluster,1,83,8_37_15_38_39_46_19_47_21_28_29_5_31_32_30_2,53.329453
cluster,1,84,8_37_15_38_39_46_19_47_21_28_29_5_31_32_30_2,53.332707
cluster,1,85,8_37_15_38_44_46_19_47_21_28_29_5_31_32_30_2,53.470318
cluster,1,86,8_37_15_38_44_46_19_47_21_28_29_5_31_32_30_2,53.426792
cluster,1,87,8_37_15_38_16_46_19_47_21_28_29_5_31_32_30_2,53.442571
cluster,1,88,8_10_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.330638
cluster,1,89,8_37_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.307778
cluster,1,90,8_37_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.329441
cluster,1,91,8_37_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.314722
cluster,1,92,8_37_15_38_17_46_19_47_21_28_29_5_31_32_30_2,53.336850
cluster,1,93,8_37_15_38_16_46_19_47_21_28_29_5_31_32_30_2,53.464984
cluster,1,94,8_37_15_38_17_46_19_47_21_28_29_5_0_32_30_2,53.275337
cluster,1,95,8_27_15_40_41_46_19_47_21_28_29_5_31_32_30_2,53.338517
cluster,1,96,8_27_15_38_41_46_19_26_21_28_29_5_31_32_30_2,53.371823
cluster,1,97,8_27_15_38_17_46_19_26_21_28_29_5_31_32_33_2,53.405940
cluster,1,98,8_27_15_40_16_46_19_26_21_28_29_5_31_32_33_2,53.510497
cluster,1,99,8_27_15_38_17_46_19_26_21_28_29_5_31_32_33_2,53.395808
cluster,1,100,8_37_15_38_16_46_19_47_21_28_29_5_0_32_33_2,53.471481
cluster,1,101,8_27_15_38_17_46_19_26_21_28_29_5_31_32_30_2,53.331032
