Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.057045,1.447926,1.496371,0.999109,0.457261,0.579764,1.014305,0.407653,0.575047,0.418052,0.512301,0.388337,0.433887,0.576027,0.594029,0.458103,0.513461,0.501597,0.474314,0.524169,0.498189,0.457923,0.889516,1.228671,0.918727,0.432005,0.758817,1.222123,0.603054,0.508439,0.43117,0.436809,0.761068,0.360857,0.352842,0.471982,0.501159,0.496636,0.630862,0.505975,0.511651,0.371861,0.637903,1.845367,0.371189,0.377416,0.494984,0.520742,0.350876,0.37951,0.522317,0.504912,0.534496,0.90438,3.143225,1.387632,0.775546,0.360873,0.49203,0.391697,0.365685,0.392094,0.375033,0.354999,0.376087,0.498826,0.750874,0.348041,0.492905,0.502699,0.488749,0.483532,0.499938,0.474476,0.375334,0.489269,0.486575,0.359476,0.523432,0.487674,0.486001,0.494752,0.506457,0.49059,0.392396,0.509425,0.549684,0.509716,1.137972,0.489455,0.64217,3.14189,0.478968,0.48661,0.52598,0.480809,0.486824,0.498192,0.487679,0.469808,0.482446,0.497029,0.615932,0.505715,0.359095,0.364293,0.499269,0.501666,0.63537,0.751719,0.484626,0.512865,0.482788,0.496439,0.496484,0.498222,0.50853,0.509548,0.498878,0.514379,0.491845,0.514264,0.489507,0.484313,0.498949,0.498652,0.487848,0.477304,0.505697,0.525975,0.507562,0.494578,0.50678,0.492915,0.486869,0.474019,0.499102,0.51154,0.489071,0.500158,0.477415,0.491346,0.499914,,,,,,,
1,4.583757,1.903,1.015497,1.126029,0.684523,0.647891,0.578623,1.4099,0.739793,0.729011,0.369317,0.377925,0.468528,0.749975,0.490722,0.487476,0.525444,0.510934,0.481608,0.365682,0.505513,1.284712,0.523099,0.932629,0.381425,0.570828,0.496169,0.487432,0.481212,0.507463,0.489036,0.493781,0.768035,0.523331,0.504784,0.479517,0.507631,0.490699,0.494614,1.809419,0.491027,0.517211,0.483813,0.49932,0.498156,0.502851,0.484914,0.459436,0.482746,0.497669,0.502979,0.503514,0.496583,0.490096,0.514399,0.491651,0.512898,0.513878,0.497437,0.507833,0.488103,0.509839,0.497305,0.522157,0.518526,0.516483,0.494389,0.493352,0.495638,0.480633,0.497978,0.484168,0.500248,0.502351,0.510645,0.507167,0.51951,0.476901,0.514846,0.501975,0.496276,0.48954,0.497433,0.480198,0.526258,0.514165,0.490395,0.510803,0.48432,0.485473,0.495178,0.508069,0.513593,0.503043,0.497789,0.501365,0.495722,0.523985,0.508532,0.49773,0.494056,0.470798,0.494838,0.478468,0.908777,0.505159,0.488419,0.487064,0.500693,0.508873,0.507998,0.521836,0.501697,0.486441,0.500691,0.491115,0.50906,0.482918,0.474175,0.498425,0.479721,0.487541,0.488365,0.482722,0.509084,0.512116,0.479454,0.496441,0.501283,0.50566,0.474998,0.509562,0.503037,0.496756,0.497783,0.484225,0.49119,0.503216,0.510235,0.500403,0.493994,0.507331,0.488826,,,,,,,
2,4.222984,1.259181,1.742736,0.677615,0.65781,0.632678,0.925348,0.371946,0.585026,0.42528,0.757524,0.433287,0.578227,0.431823,0.447864,0.496561,0.491799,0.351985,0.450593,0.581233,0.580737,0.463984,1.043652,2.172402,0.748371,0.565143,0.416079,0.382907,0.357819,0.348083,0.374602,0.490209,0.918022,0.218528,0.465675,0.42356,0.59949,1.163004,0.429184,0.208328,0.453775,0.453981,0.443995,0.44161,0.444076,0.823269,0.558223,0.576925,0.592822,0.580332,0.595614,0.465751,0.449208,0.446977,0.441521,0.454934,0.45108,0.575761,1.383464,2.397652,1.047562,2.146667,0.569018,0.554066,0.585405,0.567122,1.043887,0.564361,0.447871,0.436925,0.446913,0.429873,0.6011,0.587378,0.567527,0.583189,0.577002,0.452216,0.582281,0.589228,0.473519,0.55846,0.566431,0.577541,0.581831,0.573392,0.599619,0.587715,0.48366,0.503858,0.486353,0.503956,0.568113,0.495775,0.503441,0.511162,0.58487,0.484539,0.504518,0.574655,0.568187,0.56671,0.578016,0.478944,0.499041,0.51375,0.478878,0.496512,0.50989,0.473232,0.469098,0.50023,0.479369,0.500881,0.479123,0.484703,0.499354,0.491693,0.507141,0.48389,0.50163,0.491204,0.844962,0.753513,0.508233,0.487787,0.515046,0.506614,0.487148,0.494833,0.451735,0.498169,0.492066,0.498649,0.4848,0.499926,0.493732,0.481855,0.517544,0.48711,0.483243,0.487805,0.478997,,,,,,,
3,10.264307,2.138379,3.575262,0.975188,1.397962,1.589544,0.497806,0.37385,0.505146,0.375634,0.566598,0.574796,1.093311,0.450675,0.523927,0.557645,0.619546,0.357882,0.911008,0.492606,0.398299,1.247477,0.346267,0.888015,0.498226,0.504065,0.507648,0.368951,0.436733,1.214601,0.406247,0.729308,0.879776,0.624864,0.613613,0.410327,0.479497,0.509066,0.486372,0.449854,0.692425,0.364653,0.481934,0.505545,0.498267,0.508264,0.51656,0.37419,0.370025,0.491725,0.505536,0.637806,0.361447,0.350178,0.345128,0.369546,0.347032,0.489462,0.505775,0.505735,0.907931,0.508309,0.495764,0.4963,0.365294,0.354167,0.492927,0.491973,0.46907,0.493127,0.350491,0.355911,0.518741,0.483827,0.49589,0.503165,0.512424,0.506047,0.498738,0.503815,0.375576,0.360932,0.354099,0.344034,0.342117,0.497519,0.484046,0.480254,0.474345,0.507626,0.506169,0.487376,0.545512,1.795961,0.750728,0.487287,0.557975,0.979596,0.477316,0.483545,0.508112,0.541164,0.557289,0.492794,0.507525,0.481148,0.493411,0.493364,0.500568,0.488619,0.526516,0.506285,0.515457,0.471316,0.50184,0.468951,0.485851,0.47629,0.48121,0.49375,0.509481,0.356904,0.516426,0.491785,0.485438,0.501187,0.52218,0.492081,0.502162,0.478151,0.503469,0.472691,0.864634,0.515334,0.500073,0.497818,0.500012,0.474559,0.602099,0.486218,0.50199,0.496089,0.487472,,,,,,,
4,4.637707,1.144884,2.579889,2.29106,2.680425,1.858356,1.614637,0.377008,1.168669,0.503878,1.073157,0.555462,0.362937,1.65819,0.653618,1.186582,1.630822,1.716926,0.675204,0.782231,0.566476,0.512989,0.517462,0.371576,0.493422,0.500398,1.087248,0.37154,0.497213,0.364767,0.503837,0.497536,0.494939,0.476547,0.517395,0.51079,0.49496,1.274215,1.304114,0.362619,0.513148,0.506782,0.511488,0.498199,0.362883,0.4928,0.622892,0.656387,0.644593,0.49914,0.47943,0.497238,0.502591,0.508686,0.484938,0.498461,0.5027,0.503156,0.645169,0.522064,0.49903,0.486855,0.517695,0.492209,0.500953,0.495508,0.521908,0.495195,0.512104,0.488754,0.485806,0.504752,0.461179,0.492166,0.491352,0.505507,0.494698,0.515268,0.494573,0.516176,1.116113,0.511813,0.506498,0.50241,0.488563,0.501151,0.491555,0.445624,0.483286,0.491379,0.520061,0.487755,0.502641,0.487514,0.492591,0.495374,0.485611,0.512215,0.487142,0.495032,0.494502,0.487091,0.51669,0.503322,0.490017,0.509453,0.504839,0.500165,0.527699,0.485597,0.489763,0.469968,0.501357,0.354146,0.524134,0.519155,1.283834,0.910371,0.485966,0.508523,0.481248,0.495233,0.502203,0.477243,0.497749,0.482641,0.479417,0.493014,0.473027,0.483932,0.51344,0.489677,0.485791,0.490429,0.551997,0.920628,0.505304,0.486599,0.498917,0.500003,0.496021,0.485292,0.51546,,,,,,,
5,4.852542,1.258529,0.938051,1.527572,0.425179,0.653349,0.593468,1.768596,0.736823,0.856587,1.085215,0.89131,0.606122,1.992621,0.851826,1.297882,1.051201,0.568914,0.727358,1.468795,1.262824,0.960025,0.565357,0.49986,0.364334,0.521279,1.053834,0.583957,0.784976,0.517384,0.814842,0.555761,0.581979,0.929338,0.77674,0.846083,1.063001,0.447421,0.495435,0.501998,0.421004,0.754333,0.368917,0.498368,0.345804,0.604657,0.632155,0.61711,0.594049,0.625065,0.605129,0.452173,0.531701,0.445266,0.777112,0.569399,0.561645,1.352549,0.598938,0.492278,0.559395,0.554745,0.560957,0.560616,0.342687,0.579164,0.571178,0.491761,0.488051,0.515343,0.505334,0.486665,0.492263,0.486745,0.362089,0.493465,0.500684,0.502653,0.505353,0.49449,0.486628,0.481222,0.485412,0.508964,0.497487,0.391085,0.365127,0.498925,0.356401,0.333168,0.341112,0.364977,0.690484,0.47439,0.445061,0.566166,0.377347,0.508476,0.625801,0.2341,0.429838,0.484873,0.486261,0.512128,0.483504,0.365174,0.501053,0.343413,1.007527,1.163992,0.364854,0.364166,0.374277,0.330845,0.342175,0.495064,0.501436,0.524708,0.539068,0.504971,0.506307,0.480299,0.474052,0.49495,0.508491,0.498549,0.509278,0.529424,0.49987,0.372549,0.398836,0.459123,0.364346,0.384756,0.504392,0.475246,0.482916,0.510476,0.493827,0.517641,0.503357,0.491055,0.475071,,,,,,,
6,1.918489,5.894414,0.73307,0.629117,3.378849,2.077044,2.667622,0.483329,0.368372,0.753035,1.323152,1.404936,1.417051,0.449617,1.356115,0.928637,0.539815,1.306968,0.374714,0.57603,0.553013,0.571702,1.896931,0.375953,0.449298,0.495041,0.374665,0.487722,0.362851,0.474027,0.64332,1.539199,0.617102,0.502104,0.494209,0.856482,0.420663,0.541748,0.54483,0.474821,0.488474,0.668737,0.488569,0.375341,0.832339,0.658433,0.543443,0.570199,0.63317,0.532226,0.630468,0.349179,0.371905,0.368407,0.486529,0.353424,0.499093,0.504503,0.475479,0.419379,0.546465,0.348077,0.683439,0.49599,0.356227,0.570666,0.512241,0.50255,0.517136,0.49472,0.494567,0.492644,0.502692,0.489152,0.507028,0.465252,0.50072,0.503537,0.365473,0.504502,0.482632,0.488576,0.53623,0.481775,0.466259,0.494568,0.503538,0.481048,0.485436,0.905086,0.498585,0.345645,0.368173,0.513931,0.491982,0.487667,0.51257,0.4926,0.48085,0.602873,0.495921,0.493015,0.498814,0.482615,0.495229,0.478795,0.35626,0.494822,0.476214,0.487537,0.488133,0.506477,0.511043,0.494352,0.50035,1.681373,0.570952,0.483546,0.504901,0.496399,0.523338,0.510931,0.495568,0.369201,0.4902,0.483571,0.493811,0.4958,0.494774,0.514643,0.48903,0.488131,0.671648,0.490925,0.491195,0.502525,0.492417,0.367431,0.656737,0.501297,0.504886,1.221188,1.708905,,,,,,,
7,6.280634,2.478288,0.742877,3.478286,0.819493,2.485337,1.933112,1.794618,0.741523,0.267607,1.228294,0.404573,0.504442,0.721297,1.607687,0.489983,0.412046,0.662509,0.383797,0.275939,0.500427,0.483421,0.479504,0.419126,0.23521,0.695525,0.489434,0.445152,0.937964,1.615089,0.687627,0.474862,0.508651,0.381759,0.387616,0.421212,0.413199,0.375716,0.416776,0.539909,0.397503,0.430443,0.258798,0.379763,0.460143,0.408935,0.538798,0.422273,0.406357,0.477565,0.428712,0.480795,0.472736,0.515644,0.352512,0.404577,0.490025,0.488096,0.508754,0.496455,0.501534,0.472938,0.497181,0.500786,0.509051,0.503034,0.499332,0.5152,0.511056,0.507719,0.864308,0.499778,0.981152,0.547855,0.552082,0.574791,0.493536,0.5001,0.493901,0.352712,0.462903,0.49842,0.50855,0.499705,0.502236,0.506362,0.365941,0.509697,0.514803,0.513734,0.49318,0.495389,0.372087,0.493029,0.359544,0.562084,0.509977,0.514378,0.503301,0.486813,0.63954,0.656302,0.50727,0.496344,0.51157,0.477701,0.499047,0.494677,0.491745,0.476017,0.511422,0.502469,0.502056,0.468491,0.501359,0.517428,0.490791,0.45388,0.499375,0.510172,0.484629,0.485939,0.509755,0.517177,0.506945,0.492808,0.484396,0.550022,0.357691,0.362042,0.355788,0.518052,0.49492,0.506587,0.52068,0.47989,0.476291,0.375975,0.459927,0.362597,0.377257,0.335956,0.376198,,,,,,,
8,5.447159,2.244594,1.773693,2.302474,0.635135,0.346571,0.582133,0.579676,1.443271,0.632254,0.856098,0.479965,0.432439,0.379376,1.051793,0.701167,0.429418,0.782741,0.671223,0.885669,0.496634,0.514853,0.342749,0.589732,0.413318,0.449818,0.362759,0.664307,0.79238,0.491338,0.505361,0.839969,0.569049,0.461875,0.420817,0.490978,0.391305,0.410136,0.361409,0.370514,0.494046,0.985811,0.537916,0.495912,0.467506,0.507065,0.515522,0.516185,0.489011,0.47737,0.492881,0.475031,0.499555,0.487919,0.506382,0.48881,0.535546,0.501331,0.471841,0.494985,0.49162,0.510046,0.493768,0.491248,0.48487,0.502635,0.482885,0.351452,0.518955,0.482129,0.383055,0.506621,0.490221,0.46933,0.5077,0.490012,0.486353,0.510902,0.516517,0.484789,0.352727,0.490166,0.505323,0.487116,0.515685,0.366425,0.425571,0.677384,0.501171,0.502107,0.50134,0.503852,0.510625,0.489549,0.487228,0.502137,0.520158,0.846826,0.516586,0.513006,0.503312,0.468712,0.501093,0.565761,0.513299,0.488697,0.492565,0.528085,0.496158,0.485028,0.503994,0.498534,0.496321,0.493299,0.467827,0.495245,0.503002,0.506904,0.501813,0.496007,0.473191,0.508407,0.493622,0.48365,0.521023,0.50681,0.487989,0.478752,0.509951,0.494242,0.514886,0.508033,0.490436,0.500941,0.512609,0.658084,0.483272,0.511945,0.518578,0.50284,0.470165,0.484708,0.492791,,,,,,,
9,0.480224,4.137521,0.604266,1.402529,0.370421,3.36703,0.886308,0.988713,1.109801,0.612386,0.580088,0.440404,0.857837,0.572692,0.519041,1.006662,0.726339,0.585521,0.768161,0.506869,0.576793,0.641012,0.366915,0.389901,0.450872,0.765367,0.383043,0.564651,0.490956,0.363486,0.364856,0.440964,0.44181,0.514816,0.223966,0.379583,0.230173,0.357548,0.372765,0.77152,0.360537,0.513903,0.505425,0.358237,0.497567,0.480278,1.181222,1.465302,1.902911,1.370619,0.485677,0.667655,0.671528,0.48517,0.490693,0.466188,0.506113,0.371495,0.829386,0.503703,0.507968,0.476853,0.493547,0.497279,0.498059,0.484439,0.511428,0.480344,0.39378,0.498364,0.499375,0.505983,0.503682,0.355733,0.750604,0.37726,0.494213,0.518548,0.336264,0.362923,0.35758,0.517937,0.498295,0.490154,0.467167,0.500178,0.488803,0.518944,0.853282,0.481325,0.489911,0.514443,0.493497,0.487473,0.508824,0.510996,0.494796,0.486866,0.495162,0.517718,0.50526,0.496392,0.494456,0.471282,0.486171,0.502129,0.513804,0.510723,0.736295,0.49903,0.477171,0.856937,0.475214,1.055812,0.363228,0.700069,0.510374,0.493867,0.503671,0.535066,0.501413,0.498414,0.521443,0.477898,0.487482,0.508499,0.826867,0.517606,0.504515,0.515441,0.484072,0.386607,0.383906,0.37435,0.499977,0.348907,0.489173,0.474502,0.495217,0.496319,0.500733,0.375694,0.515188,,,,,,,
