Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,6.032927,3.619544,1.017007,0.495028,0.856091,0.513755,0.037746,0.354457,0.229837,0.2906,0.244516,0.295749,0.553268,0.12038,0.144647,0.727323,0.64961,1.118503,0.14596,0.286878,0.088216,0.07373,0.294887,0.31379,0.565827,0.082241,0.080119,0.060341,0.098681,0.154098,0.343473,0.184653,0.256701,0.431974,0.049887,0.195889,0.204544,0.127147,0.229121,-0.084951,0.218443,0.216176,0.307025,0.323259,0.334521,0.180843,0.445412,0.126333,-0.087412,0.116309,0.397114,-0.101128,-0.093544,-0.094802,0.076445,0.247141,-0.096364,0.253484,-0.050128,-0.096408,-0.075428,-0.101142,-0.078369,0.197766,-0.099123,-0.085706,0.115527,0.620614,-0.072381,-0.080165,-0.061916,-0.080807,-0.06299,-0.086193,-0.124508,-0.088532,-0.106796,-0.067166,-0.053746,-0.1165,0.109339,0.126311,0.108733,0.111537,0.110795,0.142743,0.114038,0.067733,-0.084681,-0.120017,-0.076848,-0.1164,-0.067174,-0.094982,0.345946,0.029614,-0.100459,-0.080206,-0.090513,0.508837,-0.068716,0.186498,0.324511,-0.114794,-0.091189,0.191384,-0.06698,-0.098397,-0.08701,-0.090588,-0.09121,-0.096629,-0.097047,0.20909,0.516862,-0.102586,-0.071656,-0.076636,-0.057204,-0.081146,-0.091793,0.097196,0.102617,0.1198,-0.108956,-0.111773,-0.083308,0.139572,0.116581,-0.092334,-0.078251,-0.113078,0.080853,0.223307,-0.07816,-0.072772,-0.096503,-0.082326,-0.09369,0.182141,-0.101537,-0.11494,-0.090561,,,,,,,
1,2.965442,1.415969,1.957438,0.240383,0.179052,0.061474,0.353321,0.341688,0.309447,0.371602,0.761892,0.841147,0.615631,0.897934,0.382394,0.432322,0.432641,0.44043,0.50888,0.845683,0.559161,0.182142,0.529538,-0.094733,-0.113478,-0.061287,0.15761,0.078426,-0.037479,0.251962,0.074646,0.770501,1.432102,0.21396,-0.068522,0.261106,-0.08721,-0.110761,0.111315,-0.043956,0.050142,-0.071259,-0.101163,-0.068761,0.316258,0.203626,0.111905,0.071047,0.097542,-0.066172,-0.024664,-0.063581,0.06425,0.004507,-0.107638,-0.126618,0.195653,0.193778,0.543195,0.292179,0.189076,0.477379,0.43732,1.065427,-0.093594,-0.093554,-0.081588,-0.078166,-0.069424,-0.09802,-0.094562,-0.08391,-0.10432,-0.086883,-0.097988,0.075626,0.071226,0.079134,0.036417,0.045928,0.046936,0.311822,0.337952,0.050617,0.055606,0.018991,0.086417,0.045966,0.336392,0.057972,0.059442,0.081856,-0.066014,0.041307,0.089076,-0.087871,-0.092728,-0.076957,0.342552,-0.045569,-0.057084,-0.100711,-0.069378,-0.058416,0.215371,0.323103,-0.086074,-0.098079,-0.080267,-0.107445,0.213659,-0.074177,0.082227,0.178619,-0.08189,-0.0729,-0.079394,-0.089194,-0.111343,-0.085196,-0.083844,-0.073907,-0.066285,-0.092876,-0.077874,-0.083665,-0.07631,-0.102448,-0.096046,-0.088965,-0.104356,-0.094516,-0.092974,-0.114717,-0.080269,-0.109261,-0.124014,-0.064312,-0.123988,-0.072526,-0.062572,-0.095502,0.086972,,,,,,,
2,1.557755,8.998604,1.265333,1.069605,0.939444,1.794901,0.812103,0.80118,0.735859,0.679277,0.535472,0.584301,0.407874,0.164743,0.751332,0.297494,0.325247,0.463693,0.194828,0.305599,0.195801,0.526557,0.524,0.181185,0.410898,0.362953,0.200715,0.220255,0.421285,0.197794,0.525338,0.543145,0.409033,0.529428,0.405548,0.308461,0.307066,0.28897,0.329495,0.189377,-0.097525,0.340716,0.190487,0.313448,0.322075,0.499507,0.195927,0.30557,0.335412,0.335533,0.493773,0.349013,0.369243,0.679446,0.592013,0.320634,0.33021,0.315619,0.299898,0.301017,0.311945,0.286231,0.363858,0.354204,0.320201,0.326571,0.346871,0.353455,0.321338,0.360703,0.362215,0.212609,0.362864,0.61308,0.337401,0.346697,0.355005,0.412654,0.524983,0.305386,0.344668,0.308326,0.207877,0.483194,0.327395,0.30531,0.30092,0.315271,0.20186,0.187914,0.214633,0.171157,0.193689,0.160562,0.181816,0.178773,0.195125,0.200124,0.218804,0.185626,0.21973,0.190721,0.165266,0.493686,0.216725,0.190945,0.236993,0.217275,0.208817,0.195395,0.216685,0.201031,0.386037,0.216285,0.207383,0.483391,0.513112,0.243211,0.240483,0.198603,0.455064,0.188875,0.205648,0.217018,0.174598,0.187846,0.179677,0.211875,0.213919,0.189627,0.210794,0.205068,0.603453,0.21077,0.212644,0.21484,0.185842,0.22073,0.188767,0.212585,0.198951,0.231722,0.194301,,,,,,,
3,1.573076,0.526769,3.41321,0.657955,1.371546,0.59473,0.611043,0.367033,0.537967,0.971848,0.433042,0.167276,0.214082,0.564571,0.392076,0.037987,0.231232,-0.106276,-0.079685,0.126168,0.029291,0.075162,0.230766,-0.066287,0.32905,0.489993,0.228181,-0.110287,0.03179,0.525128,0.517418,0.069114,0.270347,-0.073162,0.017947,-0.087646,-0.083555,-0.095751,0.660015,0.265771,-0.094738,0.241165,0.234606,0.264912,0.24653,-0.089402,-0.060415,-0.057301,-0.069064,-0.069836,-0.091514,-0.096748,0.215528,0.418408,0.229627,-0.098369,-0.090255,-0.067866,-0.08717,-0.106724,-0.083809,-0.068705,-0.055363,-0.102634,-0.103923,0.240446,0.191237,-0.088556,-0.07443,-0.092838,-0.085687,-0.110475,-0.070343,-0.064255,-0.093274,-0.09223,-0.090559,-0.064302,-0.089278,-0.071285,-0.084026,-0.080092,-0.110845,-0.097377,-0.064407,-0.079714,-0.102827,-0.086507,-0.096728,-0.071976,-0.086455,-0.127277,-0.078796,-0.072279,-0.05495,-0.080915,-0.05937,0.032809,-0.079357,-0.069668,-0.041212,-0.080039,0.009704,-0.097906,-0.071837,-0.061317,-0.078663,-0.092392,-0.084352,-0.101466,-0.06622,-0.095864,-0.040442,0.22121,0.161557,-0.062596,-0.065518,-0.066189,-0.04821,0.323322,0.322308,0.332281,0.294011,-0.058937,-0.081639,-0.057184,0.302033,-0.090061,0.53209,-0.063412,-0.070326,-0.076258,0.179526,-0.070528,-0.034607,-0.059197,-0.070837,-0.078081,-0.050848,-0.062756,-0.067362,-0.081003,-0.051178,,,,,,,
4,5.791354,0.346376,1.532401,1.239052,0.919459,1.131665,1.330586,1.879478,0.335712,0.24752,0.25474,0.859273,0.182769,0.061108,0.042941,0.79212,0.783378,0.532625,0.704378,1.048992,1.215813,0.569911,0.371919,-0.073526,0.082175,0.418498,0.504455,0.554511,-0.056223,-0.081662,0.180882,-0.083334,-0.06288,0.374553,-0.069003,-0.067606,0.322097,0.218582,-0.044677,-0.054299,-0.076058,-0.101156,-0.077612,-0.084796,-0.100615,0.31692,0.242044,0.92675,-0.068168,-0.05811,-0.082379,-0.108298,0.041043,-0.10034,-0.075084,0.212539,-0.074234,-0.061375,-0.085801,-0.075479,0.247964,-0.093188,0.487885,0.04952,0.0267,0.060196,0.23442,0.057449,0.146975,0.037874,-0.087438,-0.073835,-0.081159,-0.077804,-0.08617,0.060361,0.020689,-0.090764,0.197534,-0.04444,-0.098681,0.076302,0.196982,0.02863,-0.058786,0.087957,0.052337,0.064857,-0.070475,-0.094383,-0.046705,0.02952,-0.094686,-0.063046,-0.054245,-0.063946,-0.081717,-0.012546,-0.085011,-0.082627,-0.08742,-0.053834,-0.10537,-0.023577,-0.088104,-0.084717,-0.094985,-0.084761,-0.079624,-0.080454,-0.082191,-0.075943,-0.113132,-0.094677,-0.087927,-0.084881,-0.101646,-0.073016,-0.074815,-0.084574,-0.095081,-0.086241,-0.077304,-0.105192,-0.08154,-0.084937,-0.074987,-0.094477,-0.059112,0.249048,-0.095555,-0.095943,-0.084137,-0.078538,-0.111733,-0.09095,-0.097649,-0.080225,-0.099399,-0.106292,-0.095378,-0.078342,-0.105448,,,,,,,
5,11.32787,1.499128,3.566753,1.249858,0.661873,1.116824,0.412727,0.372429,0.782074,0.862467,0.516791,0.330867,0.494827,0.439922,0.379751,0.933974,0.599352,0.448019,0.338434,0.472414,0.392177,0.367921,0.38035,0.514486,0.404474,0.440996,0.560285,0.44029,0.371655,0.681149,0.69003,0.401696,0.361152,0.366549,0.352245,0.399749,0.375971,0.378302,0.404765,0.54537,0.512691,0.420867,0.379819,0.453548,0.361313,0.475051,-0.070159,0.490746,0.049883,0.125375,0.262583,0.07422,0.288291,0.083122,0.04592,0.141984,0.056163,0.130302,0.118162,0.128356,0.106707,0.125257,0.046762,-0.073453,0.01487,0.020777,0.004239,0.024998,0.050561,0.035084,0.053734,0.039443,0.034455,0.037354,-0.019286,0.06608,-0.074127,0.025426,0.04025,0.061865,-0.078025,0.014383,0.03786,-0.055455,-0.060855,-0.061545,-0.063342,-0.049071,-0.067211,-0.054292,-0.06096,-0.063776,-0.09117,-0.047135,-0.101042,-0.12074,-0.079322,-0.059023,-0.082839,-0.071983,-0.064447,-0.062746,-0.087191,-0.091191,-0.077037,-0.08587,-0.09017,-0.071594,-0.059147,-0.056455,-0.093031,-0.046494,-0.042189,-0.108029,-0.032933,-0.046023,-0.099002,-0.098678,-0.087686,-0.100918,-0.061764,-0.070338,-0.057043,-0.059209,-0.046369,-0.052506,-0.077946,0.006375,-0.003149,-0.061901,-0.015692,-0.043171,-0.031206,-0.091173,-0.087141,-0.118708,-0.102377,-0.077668,-0.094652,-0.069785,-0.050725,-0.040589,-0.039633,,,,,,,
6,3.760323,1.602223,5.24101,3.084941,2.420869,0.611738,1.426634,1.38194,1.289807,1.39158,1.613107,0.742684,1.446141,1.022394,0.300876,0.10006,0.515523,1.358288,0.30949,0.064753,-0.06326,-0.058883,0.176989,0.052686,0.072914,0.078541,0.171019,0.185835,0.487116,-0.110349,0.388478,0.220291,0.206984,0.054469,-0.037184,0.127586,0.499323,0.246793,-0.063318,0.564939,0.532407,0.207492,-0.089626,-0.041706,-0.096122,-0.069389,0.033405,-0.049474,-0.089247,0.044757,-0.09876,-0.05603,-0.082902,0.07369,-0.100352,-0.111538,-0.079459,-0.080172,-0.111181,-0.068917,-0.097358,-0.080093,-0.099574,0.047391,-0.072002,-0.054804,-0.071516,-0.05276,-0.114688,0.057395,-0.084917,-0.102908,-0.088536,-0.091754,0.065055,-0.089884,0.060868,-0.048218,-0.089604,-0.057451,-0.058085,-0.053177,-0.054753,-0.049811,0.063963,-0.084461,-0.054673,0.079447,-0.081457,0.078265,0.063817,0.054804,0.052883,0.07151,0.053872,0.055662,0.073385,0.066008,-0.057704,0.227516,-0.065013,-0.062633,-0.073934,0.216617,0.18726,-0.096305,0.118188,-0.007511,-0.008405,0.16673,-0.052233,-0.059787,-0.051253,-0.060546,-0.04326,0.149846,-0.071168,-0.075199,0.065827,0.078951,-0.083716,-0.067466,-0.071296,-0.068284,0.242732,-0.042241,-0.051962,-0.03791,0.06766,-0.040825,0.076776,-0.051945,-0.002397,-0.018426,-0.054016,0.060699,-0.053197,0.061787,-0.034032,-0.047671,-0.056873,-0.047898,-0.073756,,,,,,,
7,10.763603,1.259373,0.900411,2.269332,2.502127,1.777912,2.287217,1.805179,1.957737,1.179836,0.828837,0.552056,0.407205,0.420344,0.42195,0.372211,0.381024,0.528298,0.573735,0.404128,0.441842,0.532358,0.348874,0.571216,0.052268,0.05439,0.448838,0.73609,0.403503,0.425125,0.560879,0.029826,0.540095,0.076692,0.366559,0.442333,0.248505,0.232523,1.123683,0.274084,0.238068,0.57377,0.529326,0.555154,0.047669,0.251703,0.206053,0.299135,0.23849,0.42051,0.387335,0.053866,0.448721,0.225382,0.253179,0.561643,0.257923,0.444459,0.411537,0.545794,0.063931,0.53442,0.411756,0.412977,0.374232,0.378297,0.389567,0.400867,0.420252,0.385696,0.413392,0.395706,0.417325,0.088756,0.409765,0.3648,0.552884,0.393591,0.605563,0.065065,0.070797,0.087941,-0.029712,0.060473,-0.052126,0.075758,0.076814,-0.058801,0.082087,0.071929,-0.060471,-0.100309,0.082973,-0.090524,0.061174,-0.094316,-0.041898,-0.072101,-0.07279,0.059013,0.028522,-0.091723,-0.077037,-0.080055,-0.104077,-0.093995,-0.090376,-0.0726,-0.079128,-0.104318,-0.063935,-0.085705,-0.08791,-0.078977,-0.105012,-0.100701,-0.092856,-0.079415,-0.101608,-0.062217,-0.069116,-0.121174,-0.031465,0.07716,-0.10282,-0.079883,-0.098102,-0.049563,-0.101091,-0.100741,-0.075265,-0.079037,-0.086799,-0.108123,-0.074475,-0.085379,-0.092438,-0.114574,-0.06594,0.229704,-0.091627,0.110091,-0.084617,,,,,,,
8,3.079887,1.563975,6.459881,0.868774,0.704398,0.971487,1.267737,0.77229,0.590538,0.843805,0.291356,0.725048,0.327462,0.596679,0.979711,0.725723,0.669368,0.823005,0.456158,0.394708,1.072474,1.025181,0.590226,0.849244,0.14944,0.469952,0.183248,0.412895,-0.074068,0.754963,0.293424,0.294938,0.073043,0.025753,0.751783,0.928929,0.646118,1.173305,-0.079232,0.09842,0.218147,0.250607,0.211301,0.278761,0.294747,0.21496,0.370116,0.461318,0.257855,0.26469,0.214711,0.053016,0.759351,0.390649,0.412496,0.367953,0.382615,0.391456,0.359228,0.290645,0.297181,0.065931,0.356503,0.059707,0.076024,0.013777,0.033715,0.069199,0.080758,-0.090224,0.066067,0.054224,0.06255,0.152664,0.067503,0.221493,0.056512,-0.049589,0.193445,0.081736,0.051503,-0.0632,-0.03592,0.064942,0.068548,0.151165,0.064059,0.072237,0.094307,0.101014,-0.096943,0.07271,0.042468,0.049317,0.080339,0.166715,0.046937,-0.08269,-0.068835,-0.050143,-0.029081,-0.057768,-0.052651,-0.063642,-0.109115,-0.117326,-0.099773,-0.078928,-0.064947,-0.027709,-0.060728,-0.07224,-0.068031,-0.091124,0.066205,0.074204,0.258911,-0.082584,0.231754,-0.011444,-0.08258,-0.050705,-0.061249,0.090849,0.065032,0.072804,0.054752,0.061338,0.081294,0.077556,0.099561,0.040433,0.083285,0.053371,0.061114,0.057514,0.074276,0.07027,-0.058077,0.051016,0.05452,0.080536,0.059814,,,,,,,
9,1.734761,2.403991,3.729655,0.829176,1.836669,0.485057,1.101567,0.269274,1.737963,0.299681,0.529998,0.410567,0.940833,0.393795,0.043938,0.338274,0.728289,0.364883,0.24837,0.489206,0.382323,0.375238,0.715021,0.412961,0.174644,0.404029,0.177072,0.20166,0.600734,0.404218,0.021691,0.60138,0.42502,0.606803,0.428669,0.705592,0.68877,0.620617,0.18432,0.024376,0.005993,-0.028883,0.011379,0.014126,0.464073,0.597839,0.638705,0.005795,0.180224,0.042991,0.026044,0.024865,0.034832,0.054147,0.041484,-0.007866,0.019812,0.047379,-0.062542,0.029888,0.354373,2.790494,1.877474,1.285148,0.631583,0.031695,0.052596,0.051623,0.024879,0.030364,0.054177,0.060098,0.033042,0.028021,0.023437,0.037518,-0.071709,0.048916,-0.084677,-0.099009,-0.067405,-0.073323,-0.075403,-0.076993,-0.05618,-0.063893,-0.077131,-0.083923,-0.059479,-0.095717,-0.088462,-0.095443,-0.094082,-0.077615,-0.115737,-0.096235,-0.097312,-0.112202,-0.07711,-0.104578,-0.106362,-0.084224,-0.080426,-0.088135,-0.074816,-0.092808,-0.06297,-0.077701,-0.093901,-0.045998,-0.063446,0.20572,-0.057615,-0.070698,-0.085326,-0.059519,-0.083102,-0.09929,-0.096895,0.058415,-0.068542,-0.085241,-0.085155,-0.117909,-0.072584,-0.087734,-0.037321,-0.048222,-0.047354,-0.001628,-0.038002,-0.052561,-0.035724,-0.046257,0.018291,-0.026097,-0.038955,0.173431,-0.071969,-0.089996,-0.083399,0.080572,-0.083961,,,,,,,
