Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.969089,2.9592,1.179088,1.646712,0.741405,0.263161,0.408839,0.384342,0.420613,0.39788,0.223274,0.231705,0.272347,0.250772,0.249544,0.711095,0.738133,0.712822,0.227927,0.242947,0.195738,0.250958,0.22066,0.22109,0.218074,0.238748,0.212066,0.234487,0.205105,0.22491,0.226763,0.240322,0.222755,0.1976,0.226102,0.227168,0.214886,0.222392,0.238991,0.214223,0.211541,0.209281,0.2163,0.21364,0.214744,0.202266,0.200712,0.185406,0.149594,0.193623,0.200351,0.159602,0.194998,0.177747,0.174824,0.156445,0.168903,0.198246,0.204442,0.189787,0.191854,0.190373,0.185408,0.210965,0.190793,0.178536,0.178237,0.221324,0.1661,0.173203,0.195017,0.175721,0.198186,0.177505,0.179324,0.182844,0.171352,0.184144,0.169708,0.16124,0.187309,0.175336,0.175889,0.199307,0.194972,0.200796,0.164351,0.179992,0.182773,0.185103,0.202242,0.184304,0.187426,0.169229,0.18765,0.204366,0.211124,0.165771,0.189638,0.185217,0.185246,0.190367,0.188874,0.189098,0.176415,0.177551,0.146475,0.205871,0.183246,0.180802,0.211445,0.190554,0.197758,0.179201,0.16162,0.182795,0.168623,0.177489,0.170249,0.174371,0.185968,0.21274,0.190159,0.166605,0.194375,0.172731,0.196038,0.170174,0.195918,0.159815,0.168192,0.173275,0.152924,0.18826,0.168953,0.167634,0.176976,0.192393,0.176723,0.166946,0.189701,0.184174,0.167905,,,,,,,
1,3.17066,3.217021,3.168194,1.268811,1.256323,1.283036,1.262546,1.246708,1.268447,1.265237,1.284923,1.252562,1.252254,1.261189,1.274462,1.249831,1.256359,1.257282,1.303094,1.295802,1.253703,0.821319,0.826754,0.810069,1.121415,0.416173,0.432549,0.412186,0.450416,1.030875,1.018866,1.050181,1.049256,1.04709,0.429322,0.436405,0.785758,0.777306,0.79533,0.780663,0.790601,0.801896,0.782258,0.775644,0.790139,0.801092,0.811655,0.781663,0.773588,0.80585,0.882222,0.885347,0.868332,0.877135,0.883393,0.897749,0.865933,0.899674,0.87971,0.873199,0.881284,0.892396,0.902442,0.857004,0.916789,0.895017,0.88224,0.864873,0.866908,0.897413,0.873875,0.88869,0.880567,0.856119,0.89319,0.896238,0.901949,0.858198,0.885382,0.886902,0.901851,0.878912,0.865041,0.725226,0.903241,0.714533,0.888835,0.874054,0.871571,0.8968,0.871771,0.871654,0.866799,0.878877,0.869834,0.885208,0.732615,0.882599,0.863381,0.902668,0.852059,0.894669,0.859968,0.875542,0.885499,0.869874,0.852331,0.759066,0.872008,0.880635,0.8914,0.713725,0.713892,0.870868,0.861909,0.855983,0.737467,0.879582,0.862877,0.862512,0.898335,0.876021,0.870611,0.88113,0.888438,0.869854,0.864483,0.877818,0.790224,0.808833,0.875651,0.896089,0.873911,0.875942,0.903226,0.890575,0.888548,0.859819,0.875971,0.872399,0.304828,0.305355,0.303357,,,,,,,
2,2.170291,2.882269,1.275449,1.684992,1.268636,1.286277,1.344419,0.395746,0.384163,0.247575,0.228237,0.246221,0.267381,0.247601,0.252003,0.261786,0.261209,0.252993,0.245259,0.257416,0.237586,0.262403,0.259788,0.231254,0.246994,0.394609,0.269523,0.234463,0.249121,0.236431,0.250133,0.227404,0.256458,0.240674,0.410767,0.236865,0.250552,0.402485,0.250031,0.233086,0.256121,0.241094,0.249759,0.239999,0.249595,0.245643,0.243106,0.257258,0.253889,0.244985,0.262359,0.236853,0.261899,0.26946,0.264086,0.241572,0.26875,0.239832,0.229376,0.230242,0.236961,0.284554,0.227056,0.241664,0.271023,0.252587,0.252116,0.22194,0.260825,0.26098,0.227529,0.263546,0.254654,0.262262,0.242892,0.263383,0.260494,0.272839,0.252825,0.260032,0.264608,0.253073,0.27723,0.242041,0.238266,0.259491,0.248701,0.268091,0.263653,0.231128,0.249562,0.236599,0.25227,0.24296,0.249636,0.24907,0.264469,0.268007,0.275734,0.244014,0.241931,0.234222,0.248011,0.24265,0.244923,0.228297,0.240662,0.362436,0.404131,0.40101,0.251529,0.26341,0.377808,0.242875,0.380474,0.251264,0.240851,0.261232,0.244978,0.258536,0.219803,0.245759,0.254291,0.27308,0.25178,0.246837,0.252763,0.237653,0.262068,0.238225,0.287018,0.238928,0.226006,0.24485,0.262984,0.238945,0.251427,0.269275,0.257033,0.240068,0.244684,0.249814,0.258664,,,,,,,
3,2.942513,2.952591,2.932989,0.832319,0.416035,0.512183,0.603053,0.625226,0.606693,0.603892,0.589246,0.585701,0.592905,0.592634,0.609473,0.584369,0.571572,0.592864,0.574285,0.59437,0.596136,0.580862,0.59193,0.572007,0.590764,0.575429,0.600017,0.606036,0.567455,0.599894,0.599025,0.591345,0.609332,0.58864,0.583822,0.578438,0.576988,0.600516,0.589852,0.5796,0.618466,0.585248,0.603923,0.584584,0.593389,0.532558,0.597365,0.58308,0.606255,0.614978,0.558069,0.275874,0.287018,0.304489,0.321422,0.282344,0.282312,0.274813,0.311337,0.319948,0.324347,0.29548,0.302653,0.301719,0.298404,0.310899,0.308638,0.314756,0.273343,0.307029,0.528548,0.565853,0.560809,0.541948,0.543386,0.540543,0.554137,0.56729,0.549129,0.553453,0.54746,0.54285,0.533196,0.565738,0.545487,0.554611,0.559371,0.545697,0.555461,0.561733,0.357319,0.363231,0.338478,0.341633,0.381337,0.356921,0.354445,0.346688,0.361913,0.379903,0.373839,0.37162,0.358447,0.346897,0.35646,0.348959,0.353917,0.325276,0.352608,0.34567,0.350261,0.374296,0.325734,0.359967,0.357645,0.371997,0.346162,0.359132,0.363342,0.345005,0.346319,0.351588,0.333799,0.359559,0.33881,0.35419,0.365543,0.33693,0.32774,0.344119,0.340933,0.356632,0.346618,0.339462,0.378098,0.332222,0.365843,0.35014,0.376078,0.346904,0.336738,0.347263,0.383586,,,,,,,
4,1.869413,3.977002,2.273441,1.091179,1.091128,1.073475,0.289722,0.286837,0.274388,0.268259,0.284018,0.28676,0.266814,0.288789,0.306603,0.304766,0.393878,0.37742,0.189991,0.159788,0.192104,0.187195,0.169908,0.208427,0.16079,0.16987,0.191179,0.193082,0.201378,0.185042,0.196177,0.194798,0.171301,0.196285,0.198906,0.191968,0.195785,0.198988,0.172324,0.195009,0.175529,0.18711,0.183124,0.187881,0.202984,0.193178,0.173486,0.183595,0.193756,0.172268,0.198321,0.17682,0.178185,0.155174,0.193948,0.194326,0.180032,0.172669,0.173316,0.15623,0.185773,0.177526,0.180599,0.185592,0.174764,0.181431,0.182469,0.167086,0.188802,0.178906,0.189164,0.193989,0.183449,0.179247,0.187929,0.187769,0.174143,0.186946,0.190403,0.1914,0.206041,0.199377,0.174714,0.194185,0.210711,0.162887,0.185449,0.186936,0.168109,0.1976,0.169231,0.172905,0.18762,0.201456,0.175055,0.16952,0.162075,0.198149,0.173459,0.173023,0.177412,0.170064,0.170946,0.195057,0.175851,0.175864,0.189747,0.19072,0.207255,0.194817,0.186373,0.180675,0.206869,0.177389,0.205309,0.163359,0.193545,0.162413,0.200226,0.185448,0.180343,0.194196,0.192211,0.182239,0.188834,0.18134,0.189869,0.178247,0.193782,0.167733,0.179221,0.169038,0.17332,0.192268,0.19205,0.186058,0.183184,0.191328,0.188789,0.173477,0.177977,0.218182,0.191778,,,,,,,
5,4.934117,6.049454,6.06232,1.479654,0.595704,0.571521,0.568668,0.620812,0.9678,1.02863,1.053609,1.059122,1.066627,0.664552,0.644091,0.685305,0.59596,0.571669,0.558043,0.532209,0.569895,0.567222,0.397844,0.411916,0.41696,0.434937,0.429482,0.441681,0.362144,0.320518,0.350871,0.3506,0.34125,0.423153,0.409092,0.356575,0.343559,0.415771,0.387175,0.410269,0.419591,0.337664,0.187666,0.171376,0.144783,0.156237,0.129753,0.362068,0.162825,0.15021,0.135112,0.165127,0.158147,0.170753,0.148522,0.15838,0.13312,0.148213,0.134216,0.172678,0.163009,0.160796,0.140486,0.187055,0.137307,0.139028,0.154617,0.149921,0.140766,0.146649,0.259948,0.232524,0.226846,0.214571,0.18807,0.209262,0.236118,0.230243,0.225817,0.227877,0.207856,0.225445,0.172822,0.199651,0.15566,0.205908,0.211295,0.172754,0.239911,0.151587,0.228026,0.240819,0.151915,0.235661,0.217299,0.234981,0.198804,0.225304,0.22211,0.235554,0.231122,0.211623,0.202328,0.227584,0.19246,0.236683,0.243333,0.214228,0.227397,0.23078,0.247387,0.231415,0.201305,0.239407,0.208305,0.206241,0.241709,0.201207,0.193672,0.218797,0.227287,0.142276,0.21433,0.212179,0.233366,0.214474,0.195106,0.235124,0.217326,0.216098,0.227662,0.235234,0.243781,0.232289,0.216095,0.198951,0.218631,0.226145,0.219494,0.223429,0.22053,0.214325,0.227029,,,,,,,
6,1.507811,1.531862,1.535757,1.512682,1.109852,1.122716,0.772249,0.76752,0.343524,0.359838,0.416548,0.431786,0.396265,0.422924,0.428707,0.395137,0.178374,0.21766,0.171013,0.413422,0.200707,0.212742,0.201617,0.176271,0.31493,0.294828,0.199706,0.324813,0.195748,0.310853,0.215026,0.322771,0.312908,0.313268,0.188873,0.165454,0.177458,0.211696,0.174392,0.184285,0.196582,0.185914,0.197758,0.202045,0.203166,0.205681,0.225737,0.19666,0.200168,0.199197,0.190442,0.223499,0.201325,0.197231,0.18155,0.201713,0.195957,0.20591,0.218819,0.206663,0.203416,0.209307,0.182405,0.175987,0.200365,0.223686,0.21625,0.221574,0.166032,0.194147,0.211493,0.215947,0.185476,0.189517,0.200652,0.212085,0.204612,0.201095,0.21717,0.177528,0.189045,0.201348,0.204025,0.19381,0.187486,0.192587,0.183052,0.195056,0.198775,0.20776,0.181921,0.188095,0.203229,0.180769,0.181293,0.187044,0.185653,0.213766,0.207883,0.185962,0.205712,0.170099,0.161548,0.214505,0.215128,0.220659,0.192397,0.179667,0.197894,0.185489,0.193754,0.204442,0.239574,0.189493,0.17977,0.179912,0.201549,0.17871,0.194994,0.207174,0.204887,0.196128,0.211911,0.206488,0.199163,0.192094,0.207453,0.189351,0.200023,0.183995,0.178862,0.200535,0.20985,0.197287,0.208531,0.18169,0.223055,0.162331,0.217946,0.17683,0.215066,0.173861,0.192307,,,,,,,
7,0.410287,0.440563,4.337204,3.053397,1.632626,1.623105,1.639786,2.020526,1.180923,1.165518,1.163763,0.813184,0.818124,0.804234,0.801261,0.818626,0.807799,0.805535,0.804231,0.761276,0.760544,0.782784,0.794728,0.80015,0.779658,0.78703,0.528777,0.479036,0.491471,0.475774,0.499028,0.786234,0.487233,0.486075,0.454668,0.807033,0.480296,0.510417,0.494862,0.502965,0.493153,0.511222,0.470051,0.568989,0.545114,0.682516,0.658447,0.563679,0.68074,0.522406,0.540927,0.669564,0.533974,0.556933,0.569521,0.677628,0.540447,0.543845,0.557548,0.569561,0.554928,0.528832,0.530201,0.552377,0.671757,0.536121,0.675861,0.656366,0.681684,0.661534,0.649711,0.671872,0.676628,0.675145,0.667186,0.66717,0.678325,0.664682,0.672594,0.665232,0.427543,0.654347,0.669316,0.434601,0.419888,0.419249,0.435464,0.424884,0.437328,0.413956,0.443819,0.42544,0.418247,0.451118,0.436231,0.431254,0.430109,0.403183,0.417035,0.430192,0.406152,0.407785,0.428172,0.440879,0.440881,0.420441,0.442184,0.418673,0.428914,0.449437,0.428629,0.439273,0.425928,0.404943,0.41583,0.425564,0.409131,0.425852,0.405603,0.401025,0.408686,0.416608,0.430757,0.412424,0.438389,0.428051,0.41369,0.421248,0.406173,0.433512,0.449389,0.447271,0.416609,0.432436,0.42363,0.412326,0.415006,0.400172,0.404994,0.427298,0.420533,0.43359,0.456965,,,,,,,
8,0.495248,0.516705,0.480478,0.467098,0.491288,1.637626,0.771396,0.770913,0.7853,0.743174,0.773071,0.763441,0.524224,0.538994,0.995468,0.528259,0.712032,0.726081,0.739391,0.716045,0.729535,0.75206,0.54009,0.533369,0.731236,0.44757,0.474085,0.447332,0.463772,0.712115,0.720001,0.701543,0.470559,0.719098,0.728156,0.145514,0.144858,0.163032,0.141584,0.150646,0.176,0.155129,0.171196,0.158419,0.141757,0.145796,0.127951,0.167477,0.148136,0.154788,0.149386,0.161137,0.272168,0.148411,0.289298,0.160383,0.165163,0.179281,0.147554,0.142794,0.131222,0.16379,0.116535,0.129005,0.158679,0.147945,0.149563,0.159796,0.171198,0.12755,0.152045,0.154522,0.152386,0.15822,0.146216,0.138369,0.154868,0.1337,0.166333,0.165997,0.13432,0.142729,0.156937,0.153684,0.144653,0.167371,0.162002,0.164496,0.139866,0.158742,0.141098,0.173095,0.16642,0.130587,0.169723,0.161695,0.136867,0.172127,0.152745,0.151324,0.149177,0.142239,0.153104,0.17078,0.147212,0.146466,0.154308,0.155505,0.145511,0.146042,0.142435,0.162417,0.155821,0.135033,0.171256,0.147659,0.166167,0.168051,0.146783,0.169632,0.142922,0.165351,0.160294,0.146796,0.135479,0.165639,0.139642,0.153177,0.141101,0.154737,0.16302,0.145153,0.149835,0.154355,0.15263,0.128253,0.148459,0.15961,0.137522,0.168013,0.16052,0.172616,0.142914,,,,,,,
9,5.177031,1.777852,1.540121,1.524728,0.885975,0.880048,0.864943,0.866234,0.41543,0.415888,0.716971,0.699645,0.439693,0.437874,0.443325,0.461743,0.426396,0.42693,0.241404,0.266049,0.228855,0.266778,0.256619,0.257417,0.290734,0.244323,0.247239,0.263141,0.26186,0.240223,0.247204,0.254138,0.2521,0.255175,0.250573,0.236484,0.264308,0.230491,0.238461,0.264513,0.245516,0.266675,0.255748,0.253232,0.26034,0.239092,0.244823,0.267316,0.256013,0.254671,0.254503,0.24855,0.255709,0.235651,0.237997,0.259403,0.244687,0.230551,0.23845,0.266759,0.264026,0.263274,0.253005,0.238788,0.239258,0.252404,0.249816,0.263364,0.238508,0.272936,0.266617,0.2531,0.231097,0.236547,0.265669,0.24826,0.232679,0.255481,0.396357,0.405811,0.236128,0.428919,0.425887,0.438822,0.247669,0.255582,0.272151,0.221334,0.247208,0.253942,0.254399,0.239572,0.244391,0.224964,0.253204,0.227474,0.237452,0.242533,0.252428,0.272294,0.222763,0.251869,0.255076,0.255298,0.234252,0.247832,0.231433,0.238965,0.275516,0.246853,0.241787,0.255841,0.230993,0.25883,0.282966,0.277005,0.253022,0.244027,0.284681,0.280208,0.254921,0.270686,0.253461,0.232973,0.270913,0.251063,0.268264,0.25407,0.264458,0.23777,0.220338,0.229233,0.241893,0.241809,0.251453,0.261528,0.22816,0.243961,0.262268,0.260748,0.25333,0.238973,0.269151,,,,,,,
