Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.778185,2.068368,1.79721,1.587692,1.573648,1.248496,1.266081,1.590756,1.817133,1.658912,1.418733,1.46315,0.911094,0.970781,1.139346,1.261377,1.327841,1.285624,1.29365,2.56536,1.684026,1.535262,1.183083,1.758785,1.621615,1.623369,1.577884,2.087136,0.998854,1.124031,1.511546,1.688941,1.147203,1.534038,1.489225,1.578282,1.29928,1.486648,1.762502,1.668138,1.640833,1.759567,1.767687,1.752585,1.250492,1.5722,1.568737,1.269704,1.311603,1.352706,1.346428,1.329119,1.335258,1.072692,1.049974,1.35806,1.497381,1.586053,1.329539,1.341269,1.2487,1.555219,1.406647,1.585051,1.531258,1.59191,1.52401,1.29671,1.598919,1.45589,1.481193,1.520353,1.624539,1.517713,1.564423,1.577838,1.227926,1.293535,1.343262,1.742094,1.5372,1.533771,1.520917,1.836848,1.852432,1.817223,1.780618,1.761515,1.791427,1.785019,1.903652,1.798627,1.806705,1.817822,1.826783,1.823914,1.831913,1.853559,1.847093,1.792885,1.800803,1.763831,1.702722,1.782614,1.754488,1.768816,1.745038,1.743985,1.740038,1.75857,1.74915,1.726052,1.84612,1.731458,1.651995,1.725987,1.674862,1.730802,1.726228,1.750123,1.803644,1.830916,1.783193,1.806625,1.85214,1.818176,1.769138,1.822111,1.756642,1.737203,1.745168,1.79005,1.749772,1.788417,1.780522,1.752647,1.857843,1.803273,1.836178,1.822798,1.737602,1.775238,1.745285,1.834448,1.834906,1.843858,,,,
1,1.559502,1.512379,1.830282,1.750546,2.022252,1.733002,1.342444,1.798729,1.292899,1.370504,1.742665,1.336387,1.683053,1.74135,1.816215,1.715429,1.769702,1.748649,1.697346,1.477114,1.628288,1.663289,1.701471,1.658315,1.725185,1.715917,1.73874,1.376064,0.852286,1.362878,1.251832,1.319089,1.244671,1.232811,1.409871,1.027962,1.7154,1.7676,1.504712,1.748562,1.728602,1.732742,1.739474,1.730474,1.730449,1.408241,1.217996,1.822469,1.013108,0.986794,0.992664,1.254113,0.984259,1.030748,1.20992,1.40995,1.361394,1.475429,1.726259,1.391657,1.457851,1.889336,1.861181,1.895562,1.935639,2.262054,1.917856,1.83729,1.87601,1.926247,1.997272,1.986503,1.943097,1.804463,1.812548,1.708472,1.68675,1.413311,1.423954,1.490023,1.696579,1.768909,1.687792,1.722798,1.755306,1.537516,1.469586,1.528003,1.572436,1.457868,1.487144,1.517747,1.833943,1.839646,1.824416,1.770448,1.745146,1.704401,1.724971,1.722367,1.682396,1.777824,1.765786,1.830646,1.843089,1.810284,1.824829,1.547249,1.531727,1.519816,1.530812,1.532629,1.485154,1.537572,1.520847,1.526816,1.530614,1.509925,1.538688,1.532049,1.540281,1.531663,1.529726,1.562873,1.553976,1.527517,1.454527,1.488658,1.445215,1.474773,1.754098,1.789228,1.734601,1.840358,1.471663,1.712095,1.791812,1.755035,1.736695,1.762103,1.741134,1.766873,1.778155,1.788561,1.75173,1.750356,,,,
2,2.031484,1.165127,3.163298,4.064405,1.345162,1.630515,1.822645,3.033742,1.678422,2.519379,1.491221,1.763665,1.677216,1.324979,1.43094,1.227458,1.810342,1.526604,1.794328,1.810416,1.565197,1.605883,2.043276,1.896266,1.736269,1.774905,1.745795,1.534987,1.470572,1.807695,1.521148,1.781291,2.030858,1.799427,1.914763,1.790221,1.392853,1.794821,1.743521,1.689401,1.554669,1.44585,1.733985,2.237945,1.566929,1.721816,1.576894,1.537887,1.395318,1.500853,1.51472,1.617508,1.831899,1.749179,1.625586,2.108453,1.044846,1.828051,1.793007,1.835365,1.2227,1.340148,1.583705,1.41367,1.382721,1.723926,1.291763,1.870731,1.31034,1.821856,1.76086,1.484632,1.798732,1.773359,1.726133,1.714054,1.681295,1.514915,1.356125,1.199034,1.392705,1.313849,1.338081,1.353454,1.345538,1.347677,1.368635,1.302986,1.267845,1.701091,1.71727,1.712317,1.57117,1.578305,1.58001,1.523666,1.577238,1.708514,1.703601,1.764743,1.715044,1.68411,1.712137,1.722173,1.724157,1.697271,1.521476,1.712339,1.677358,1.689761,1.72378,1.835285,1.692953,1.720166,1.721269,1.699235,1.776202,1.711034,1.693925,1.778709,1.815359,1.754551,1.78384,1.761603,1.792296,1.780091,1.751077,1.742686,1.788909,1.755592,1.768402,1.769329,1.768925,1.772036,1.815259,1.835894,1.833366,1.758922,1.754548,1.708647,1.691809,1.71853,1.74267,1.81619,1.768503,1.748035,,,,
3,1.320897,3.295858,1.048072,1.902617,1.076073,0.604885,0.841399,0.804875,0.920264,1.069504,1.049584,0.770463,1.057259,0.845969,1.736752,1.147959,1.274275,1.112821,1.218912,1.20861,1.396614,1.775431,1.399383,1.928478,1.761869,1.186496,1.584878,2.116261,1.907775,1.83517,1.205734,1.699105,1.756686,1.681492,1.74343,1.019765,1.072613,1.202109,1.290587,1.334216,1.341378,1.289628,1.033152,1.049004,1.308381,1.240019,1.281955,1.299601,1.251849,1.34053,1.277357,1.354984,1.321311,1.281811,1.396652,1.274772,1.282929,1.26707,1.198349,1.099669,1.224903,1.288225,1.385307,1.389074,1.222595,1.238357,1.235663,1.246895,1.236778,1.25428,1.079258,1.21959,1.23461,1.247518,1.230966,1.247677,1.327455,1.288451,1.333141,1.32797,1.302562,1.301979,1.262638,1.317967,1.301204,1.328038,1.265541,1.333942,1.254108,1.376356,1.407929,1.389872,1.36678,1.602617,1.573491,1.143682,1.538946,1.492616,1.81996,1.841456,1.342586,1.355822,1.820838,1.829032,1.861783,1.865962,1.868224,1.85769,1.83313,1.3969,1.416044,1.381041,1.406521,1.388986,1.386488,1.87914,1.862824,1.552984,1.108264,1.879066,1.876897,1.859982,1.860932,1.843354,1.877855,1.821643,1.790637,1.839502,1.786423,1.800844,1.881105,1.868483,1.843485,1.79936,1.845362,1.874701,1.842827,1.871417,1.852959,1.862403,1.835817,1.851233,1.827625,1.85373,1.851459,1.839422,,,,
4,2.048922,1.407683,1.022555,1.515846,1.190866,1.987716,1.828798,1.5946,1.488632,1.744037,1.324374,1.874276,1.884137,2.290007,1.456364,1.803165,1.51556,1.735111,1.504016,2.000861,1.653822,1.731402,1.71397,1.275011,1.824087,1.471316,1.486499,1.863781,1.790713,1.513087,1.461141,1.770585,1.764676,1.804534,1.741756,1.739218,1.707082,1.709299,1.300657,1.029539,1.530005,1.829609,1.734626,1.753449,1.748818,1.920483,1.767644,1.772313,1.7356,1.748078,1.825353,2.135751,1.823551,1.9358,1.822309,1.395598,1.362695,1.265988,1.389754,1.862929,1.519278,1.816729,1.865453,1.841831,1.855843,1.852942,1.837966,1.738101,1.794209,1.80495,1.813114,1.701883,1.857904,1.741637,1.843192,1.81252,1.75242,1.756896,1.731055,1.308409,1.253215,1.712558,1.699239,1.310145,1.334813,1.235763,1.321892,1.309486,1.265386,1.227588,1.671723,1.281143,1.24299,1.239018,1.234801,1.274072,1.343221,1.25688,1.228785,1.481407,1.298386,1.212718,1.345181,1.260498,1.250503,1.230917,1.234596,1.277796,1.258608,1.232691,1.736906,1.719185,1.675616,1.866157,1.685235,1.736088,1.673779,1.68287,1.734224,1.72157,1.715351,1.686001,1.697968,1.714566,1.654956,1.659239,1.717119,1.636459,1.661617,1.715069,1.6697,1.741096,1.736953,1.732117,1.777809,1.748354,1.662682,1.77995,1.735835,1.734329,1.75356,1.77371,1.691136,1.749166,1.77077,1.727626,,,,
5,1.306752,2.095443,1.344729,1.183936,1.028493,1.496226,0.429363,1.099656,1.137473,1.012763,1.078631,1.113817,1.441028,1.275741,1.200563,1.060874,0.838436,0.710367,0.66118,1.146389,1.103136,1.168477,1.06136,1.13463,1.007284,1.163368,1.906541,1.56681,0.981901,0.70191,1.08417,0.766082,0.771152,0.757941,1.240755,0.831765,0.750737,0.668821,1.263791,1.126376,1.154114,1.042347,0.777181,0.807181,0.828952,1.065987,0.82883,0.831175,1.069135,1.328477,1.041366,1.467493,0.95163,0.744195,1.031445,1.059866,1.029688,0.998767,1.480101,1.564035,1.511705,1.336394,1.766861,1.528681,1.469551,1.520647,1.483619,1.030419,1.041349,1.052277,0.817412,1.034273,1.071132,1.346075,1.048156,1.295819,1.146236,1.45232,0.919764,1.089355,1.087961,1.486814,0.903422,0.895166,1.076907,1.114748,0.956006,0.942186,0.940528,0.955656,0.966196,1.1238,1.005246,1.099925,0.997957,1.095956,1.309634,1.123915,0.960625,0.900687,0.985298,0.934645,0.972038,0.938101,1.280112,0.968202,0.965427,1.033402,0.986822,1.031076,1.027528,1.060352,1.048795,1.053347,1.014867,1.024599,1.097416,1.013913,1.024858,1.104777,1.075767,1.017609,1.017748,0.986997,0.90786,0.980286,1.113346,1.087476,0.861209,0.904125,0.914651,0.856228,1.043907,1.039017,0.985769,0.950074,1.074738,1.274014,1.017359,1.023076,1.020746,1.01107,1.050064,0.998559,1.028992,1.021833,,,,
6,1.927841,1.798942,0.821276,0.978165,0.669541,1.36404,0.818758,1.460418,1.301904,1.268841,1.89702,1.894309,1.003923,1.084724,1.352043,1.446596,1.455921,1.595927,1.752547,1.575893,1.656001,1.624319,1.172886,1.435327,1.738184,1.546461,1.813751,1.869711,1.590163,1.829566,1.7958,1.778027,1.373831,1.615247,1.5466,1.560894,1.167808,1.111872,1.14992,1.605114,1.557084,1.500966,1.648621,1.354853,1.28728,1.448792,1.335494,1.325312,1.633139,1.616295,1.576298,1.909323,1.547776,1.599785,1.779434,1.768672,1.586681,1.491214,1.525145,1.531301,1.542806,1.483168,1.106013,1.564138,1.523691,1.576545,1.53828,1.727466,1.738999,1.496434,1.691642,1.538669,1.58645,1.333511,1.748561,1.309521,1.358215,1.830941,1.824302,1.592071,1.538244,1.575226,1.542671,1.569688,1.552861,1.348629,1.780423,1.819407,1.764415,1.794985,1.795538,1.802116,1.788511,1.773155,1.803517,1.787109,1.803051,1.789402,1.787676,1.842899,1.846318,1.804308,1.787981,1.786323,1.812917,1.784639,1.825114,1.787439,1.496326,1.788274,1.803212,1.789878,1.862922,1.809304,1.328484,1.78041,1.825577,1.783939,1.815847,1.393878,1.240581,1.817204,1.676212,1.769438,1.788664,1.465457,1.503037,1.535453,1.513081,1.745306,1.712105,1.69526,1.711554,1.692858,1.695132,1.528336,1.700336,1.675648,1.746963,1.769123,1.740966,1.732573,1.738359,1.754988,1.761559,1.79154,,,,
7,2.714123,1.454354,1.52754,1.261342,1.214967,1.189188,1.069086,1.508261,1.530463,1.481073,1.664139,1.085168,1.270606,1.194971,1.185123,1.434242,1.278562,1.027936,1.442692,0.953399,1.415876,1.234325,1.535815,1.264907,1.539748,1.531008,1.757044,1.568409,1.728331,1.452767,1.551533,1.477975,1.763557,1.800082,1.489277,1.538151,1.709573,1.831735,1.725603,1.68173,1.749115,1.711224,1.450659,1.835069,1.532465,1.788598,1.397349,1.531176,1.350133,1.810449,1.785941,1.754699,1.844977,1.852611,1.147932,1.537002,1.539368,1.465347,1.458765,1.473374,1.471593,1.524303,1.022494,1.46081,1.483671,1.826803,1.490022,1.238654,1.528273,1.834855,1.555906,1.52389,1.54169,1.830006,1.790999,1.839433,1.739803,1.792473,1.805253,1.799679,1.797333,1.815916,1.774496,1.69506,1.68092,1.711783,1.717959,1.68091,1.646381,1.663618,1.696925,1.653791,1.666345,1.657925,1.679893,1.643163,1.717127,1.796268,1.752334,1.787429,1.818522,1.794093,1.74915,1.789345,1.737532,1.764838,1.702215,1.713722,1.687533,1.813433,1.833369,1.75276,1.798218,1.756885,1.771416,1.853577,1.769653,1.750914,1.52567,1.481442,1.756244,1.652551,1.405278,1.651084,1.686586,1.736893,1.67153,1.829024,1.779195,1.791377,1.786996,1.833101,1.778665,1.829517,1.747749,1.759984,1.811238,1.777719,1.766409,1.757561,1.323019,1.35168,1.821483,1.744381,1.82752,1.690693,,,,
8,1.575639,1.824849,2.02967,1.660094,1.402649,1.514928,1.826475,1.847742,1.76383,1.617929,1.929196,1.809603,1.584207,1.067875,1.213274,0.819736,1.084686,1.090184,1.16709,1.060958,1.548492,1.968018,1.518411,1.980119,2.387256,1.621107,1.440599,1.355625,1.44059,1.949262,1.642159,1.508551,1.605503,1.677826,1.921765,1.867269,1.708438,1.74921,1.716518,1.95202,2.150134,1.628706,1.543578,1.282843,1.344742,1.114228,1.304811,1.287273,1.666904,1.477637,1.487632,1.731762,1.308129,1.299207,1.585898,1.646379,1.706396,1.784627,1.801345,1.496517,1.677632,1.753382,1.670025,1.475747,1.026426,1.51338,1.535002,1.432949,1.38611,1.015103,1.778031,1.50954,1.751334,1.743795,1.75017,1.807857,1.548247,1.730777,1.551597,1.536967,1.64197,1.679779,1.680124,1.657294,1.739162,1.317045,1.234009,1.267568,1.365068,1.290656,1.752961,1.711122,1.743443,1.683591,1.661137,1.856435,1.810199,1.829692,1.739932,1.840287,1.795191,1.793779,1.749296,1.755118,1.769431,1.756433,1.798462,1.767149,1.817667,1.529916,1.684511,1.746318,1.750896,1.504632,1.561324,1.747055,1.695888,1.547994,1.848517,1.735522,1.763261,1.501064,1.736162,1.816497,1.828776,1.81801,1.79612,1.808003,1.821879,1.828617,1.752611,1.754443,1.750016,1.727126,1.767158,1.718433,1.83552,1.831196,1.824335,1.816903,1.81361,1.863532,1.856334,1.743979,1.766677,1.757645,,,,
9,2.902959,1.552555,1.101937,1.52143,1.271654,1.526466,1.130362,0.842038,1.530204,1.370242,0.964935,1.818161,2.084997,1.501994,1.539059,1.210437,1.66159,1.446316,1.085998,1.170016,1.497944,1.456166,1.588257,1.541544,1.493085,1.710075,1.466817,1.436249,1.651758,1.477573,1.651228,1.513136,1.501363,1.251394,1.286518,1.500011,1.229629,1.240645,1.482756,1.655932,1.665396,1.63349,1.617373,1.49254,1.494572,1.456018,1.460648,1.413071,1.478342,1.421302,1.827588,1.502061,1.500585,1.501881,1.503877,1.507746,1.544311,1.425088,1.491743,1.447975,1.779037,1.750848,1.478324,1.482775,1.473979,1.437077,1.514313,1.774025,1.501376,1.610351,1.6373,1.657741,1.634431,1.908571,1.938861,1.833815,1.832944,1.628512,1.505261,1.730574,1.738083,1.727837,1.792643,1.512599,1.56738,1.74829,1.728551,1.806437,1.833707,1.73399,1.776015,1.828288,1.747002,1.750665,1.769861,1.759238,1.752885,1.812013,1.53829,1.464944,1.773853,1.021845,1.054174,1.011083,1.462602,1.460075,1.471589,1.798381,2.003521,0.994579,1.304998,1.306853,1.320376,1.294242,1.272708,0.99105,1.010132,1.467522,1.016443,1.03718,1.462149,1.463955,1.446386,1.476382,1.399366,1.412996,1.509835,1.451265,1.461152,1.468851,1.45252,1.00726,1.012898,1.007906,1.063057,0.984685,1.579264,1.487591,1.469694,1.729524,1.737352,1.741453,1.743935,1.806942,1.294002,1.679646,,,,
